"unidad_policial","departamento","municipio","direcci_n","barrio","n_mero_telef_nico","correo_electr_nico"
"PUNTO DE ATENCIÓN AL CIUDADANO REGIONAL 3","CALDAS","MANIZALES","CARRERA 12A N° 64 C 67","LA TOSCANA","(6) - 8750910","dinco.rinco3-at@policia.gov.co"
"GRUPO DE INCORPORACIÓN CALDAS","CALDAS","MANIZALES","CARRERA 12A N° 64 C 67","LA TOSCANA","3205573308
8750910 - 8753368","dinco.gical@policia.gov.co"
"GRUPO INCORPORACIÓN RISARALDA","RISARALDA","PEREIRA","CARRERA 4 BIS NO. 24-39","SAN JORGE","3503404761 - 3505527646","dinco.giris@policia.gov.co"
"GRUPO INCORPORACIÓN QUINDÍO","QUINDÍO","ARMENIA","AVENIDA CENTENARIO CON CALLE 2 NORTE",,"3207838981 - (6) 7383981","dinco.giqui@policia.gov.co"
"OFICINA PRINCIPAL - REGIONAL DE INCORPORACIÓN No. 4","VALLE DEL CAUCA","TULUÁ","KILÓMETRO 1 VÍA LA RIVERA","ESCUELA DE POLICÍA SIMÓN BOLÍVAR","3503848564 - 3503404897
3503848592","dinco.rinco4@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO REGIONAL 4","VALLE DEL CAUCA","TULUÁ","KILÓMETRO 1 VÍA LA RIVERA","ESCUELA DE POLICÍA SIMÓN BOLÍVAR","3503848564 - 3503404897
3503848592","dinco.rinco4oac@policia.gov.co"
"GRUPO DE INCORPORACIÓN VALLE","VALLE DEL CAUCA","TULUÁ","KILÓMETRO 1 VÍA LA RIVERA","ESCUELA DE POLICÍA SIMÓN BOLÍVAR","3503848564 - 3503404897
3503848592","dinco.gival@policia.gov.co"
"GRUPO DE INCORPORACIÓN CALI","VALLE DEL CAUCA","CALI","CARRERA 3 NORTE 24N-16","FRAY DAMIÁN","3503840235 - 8808090
3213052954","dinco.ginca@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO - GRUPO CALI","VALLE DEL CAUCA","CALI","CARRERA 3 NORTE 24N-16","FRAY DAMIÁN","3503840235 - 8808090
3213052954","dinco.ginca-oac@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN BUENAVENTURA","VALLE DEL CAUCA","BUENAVENTURA","AVENIDA SIMON BOLÍVAR # 50-110","GALEÓN","3105572317","dinco.uibue@policia.gov.co"
"GRUPO DE INCORPORACIÓN NARIÑO","PASTO","NARIÑO","CALLE 20 CON CRA 27, ESQUINA","LAS CUADRAS","3505527648 - 3503404771
3503119110","dinco.ginar@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO - GRUPO NARIÑO","PASTO","NARIÑO","CALLE 20 CON CRA 27, ESQUINA","LAS CUADRAS","3505527648 - 3503404771
3503119110","dinco.ginar-oac@policia.gov.co"
"GRUPO DE INCORPORACIÓN CAUCA","CAUCA","POPAYÁN","CARRERA 11 17N-31","ANTONIO NARIÑO","3184755656","dinco.gicau@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO - GRUPO CAUCA","CAUCA","POPAYÁN","CARRERA 11 17N-31","ANTONIO NARIÑO","3208263919","dinco.gicau-oac@policia.gov.co"
"OFICINA PRINCIPAL - REGIONAL DE INCORPORACIÓN No. 5","SANTANDER","BUCARAMANGA","CARRERA 12 N° 41-13","ALFONSO LÓPEZ","3503848579 - 3508340233 6307291","dinco.rinco5@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO REGIONAL 5","SANTANDER","BUCARAMANGA","CARRERA 12 N° 41-13","ALFONSO LÓPEZ","3503848579 - 3508340233 6307291","dinco.rinco5-at@policia.gov.co"
"GRUPO INCORPORACIÓN SANTANDER","SANTANDER","BUCARAMANGA","CARRERA 12 N° 41-13","ALFONSO LÓPEZ","3503848579 - 3508340233 6307291","dinco.gisan@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN MAGDALENA MEDIO","SANTANDER","BARRANCABERMEJA","AVENIDA CIRCUNVALAR CARRERA 24 CALLE 67 ESQUINA","BARRIO EL PARNASO","3503848578 - 3503119114","dinco.uimam@policia.gov.co"
"GRUPO INCORPORACIÓN VÉLEZ","SANTANDER","VÉLEZ","KILÓMETRO 1, FINCA VILLA ELVIA","VEREDA EL TUN TUN. (INSTALACIONES DE LA ESCUELA DE CARABINEROS PROVINCIA DE VÉLEZ)","(7) 7564236 - 3102286105","dinco.givel@policia.gov.co"
"GRUPO INCORPORACIÓN NORTE DE SANTANDER","NORTE DE SANTANDER","CÚCUTA","AVENIDA DEMETRIO MENDOZA N° 21-51","SAN MATEO","3503848586 - 3505527650","dinco.ginor@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO  - GRUPO NORTE DE
SANTANDER","NORTE DE SANTANDER","CÚCUTA","AVENIDA DEMETRIO MENDOZA N° 21-51","SAN MATEO","3503848586 - 3505527650","denor.ginco-oac@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN OCAÑA","NORTE DE SANTANDER","OCAÑA","CALLE 7 N° 33-98","LA PRIMAVERA","3222728563","dinco.ginor@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN ARAUCA","ARAUCA","ARAUCA","CARRERA 20 Nº 18-62","ESTACIÓN DE POLICÍA ARAUCA","3503848577-3503119101","dinco.uiara@policia.gov.co"
"REGIONAL DE INCORPORACIÓN No. 6","ANTIOQUIA","MEDELLÍN","CALLE 111ª N° 64C-180","BOYACÁ LAS BRISAS","3204273117- (4) 4628360","dinco.rinco6@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO - REGIONAL 6","ANTIOQUIA","MEDELLÍN","CALLE 111ª N° 64C-180","BOYACÁ LAS BRISAS","3204273117- (4) 4628360","dinco.rinco6-oa@policia.gov.co"
"GRUPO INCORPORACIÓN ANTIOQUIA","ANTIOQUIA","MEDELLÍN","CALLE 111ª N° 64C-180","BOYACÁ LAS BRISAS","3204273117- (4) 4628360","dinco.giant@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN CHOCÓ","QUIBDÓ","CHOCÓ","CALLE 29 N° 1- 60","CRISTO REY","3232757017","dinco.uicho@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN URABÁ","APARTADÓ","URABÁ","KILÓMETRO 5 VÍA CAREPA","CORREGIMIENTO EL REPOSO","3203047011","dinco.uiura@policia.gov.co"
"REGIONAL DE INCORPORACIÓN No. 7","META","VILLAVICENCIO","CARRERA 37 N° 47-00","LA ESMERALDA","3213942220","dinco.rinco7@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO - REGIONAL 7","META","VILLAVICENCIO","CARRERA 37 N° 47-00","LA ESMERALDA","3505527652","dinco.rinco7-oa@policia.gov.co"
"GRUPO INCORPORACIÓN META","META","VILLAVICENCIO","CARRERA 37 N° 47-00","LA ESMERALDA","3232757018","dinco.gimet@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN CASANARE","CASANARE","YOPAL","DIAGONAL 15 N° 13B - 05","BARRIO LA COROCORA","3214946371 - 3503848574","dinco.uicas@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN GUAVIARE","GUAVIARE","SAN JOSÉ DEL GUAVIARE","CALLE 9 N° 21-20","LA ESPERANZA","3202667772","dinco.uiguv@policia.gov.co"
"REGIONAL DE INCORPORACIÓN No. 8","ATLANTICO","SOLEDAD","AVENIDA CIRCUNVALAR N° 45-300","LAS GAVIOTAS","3809154 - 3505527654","dinco.rinco8@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO REGIONAL 8","ATLANTICO","SOLEDAD","AVENIDA CIRCUNVALAR N° 45-300","LAS GAVIOTAS","(5) 3809154","dinco.rinc8-oac@policia.gov.co"
"GRUPO INCORPORACION ATLANTICO","ATLANTICO","SOLEDAD","AVENIDA CIRCUNVALAR N° 45-300","LAS GAVIOTAS","3809153 - 3505603568","dinco.giata@policia.gov.co"
"GRUPO INCORPORACION SUCRE","SUCRE","COROZAL","CARRETERA TRONCAL DE OCCIDENTE KM 2, VÍA A CARTAGENA","VEREDA LAS BRUJAS","3102359371","dinco.gisuc@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO - GRUPO SUCRE","SUCRE","COROZAL","CARRETERA TRONCAL DE OCCIDENTE KM 2, VÍA A CARTAGENA","VEREDA LAS BRUJAS","3503848584","dinco.gisuc-oac@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN CÓRDOBA","CÓRDOBA","MONTERIA","TRANSVERSAL 7 N° 11-15","LA GRANJA (ESTACIÓN DE POLICÍA SUR LA GRANJA)","3504814343 - 35119123","dinco.uicor@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN CESAR","CESAR","VALLEDUPAR","CARRERA 7ª Nº 23-96","B/ 12 OCTUBRE","3503119095 - 3503840232","dinco.uices@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN MAGDALENA","MAGDALENA","SANTAMARTA","CALLE 22 Nº 1C – 74","CENTRO","3503840230","dinco.uimag@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN GUAJIRA","RIOACHA","GUAJIRA","CARRERA 7 Nº 15 -77","CAMILO TORRES","3232757019","dinco.uigua@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN BOLÍVAR","BOLÍVAR","CARTAGENA","CALLE 25 N° 24 - 03","MANGA","3505527655 - 3503119112","dinco.uibol@policia.gov.co"
