"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","removal_rate","type_of_rate","number_of_removals","number_of_removals_notes","number_of_removals_description","total_number_of_children","total_number_of_children_1","total_number_of_children_2","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column"
"County","Berks County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","0.52","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","49",,"Number of dependent children in kinship care where parental drug use was a factor","94476",,"Children in area, estimated by American Community Survey","6","06","42","011","(40.4193963513, -75.9307732705)","POINT (-75.93077327050001 40.4193963513)"
"State","Commonwealth","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","0.57","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","1517",,"Number of dependent children in kinship care where parental drug use was a factor","2662391",,"Children in area, estimated by American Community Survey","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"County","Clearfield County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","2.20","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","33",,"Number of dependent children in kinship care where parental drug use was a factor","14990",,"Children in area, estimated by American Community Survey","17","17","42","033","(41.0004290024, -78.4755834299)","POINT (-78.4755834299 41.0004290024)"
"County","Lebanon County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","31635",,"Children in area, estimated by American Community Survey","38","38","42","075","(40.3675970024, -76.4618257486)","POINT (-76.4618257486 40.3675970024)"
"County","Wayne County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","6.04","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","52",,"Number of dependent children in kinship care where parental drug use was a factor","8606",,"Children in area, estimated by American Community Survey","64","64","42","127","(41.6496980525, -75.3051535022)","POINT (-75.3051535022 41.6496980525)"
"County","McKean County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","2.51","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","21",,"Number of dependent children removed where parental drug use was a factor","8373",,"Children in area, estimated by American Community Survey","42","42","42","083","(41.810370736, -78.5712201998)","POINT (-78.57122019980001 41.810370736)"
"County","Northumberland County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","1.19","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","22",,"Number of dependent children in kinship care where parental drug use was a factor","18476",,"Children in area, estimated by American Community Survey","49","49","42","097","(40.8515092572, -76.7118842273)","POINT (-76.7118842273 40.8515092572)"
"County","McKean County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","3.33","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","28",,"Number of dependent children removed where parental drug use was a factor","8401",,"Children in area, estimated by American Community Survey","42","42","42","083","(41.810370736, -78.5712201998)","POINT (-78.57122019980001 41.810370736)"
"County","Elk County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","6074",,"Children in area, estimated by American Community Survey","24","24","42","047","(41.4281941606, -78.6494771322)","POINT (-78.6494771322 41.4281941606)"
"County","Clarion County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","7305",,"Children in area, estimated by American Community Survey","16","16","42","031","(41.1927912877, -79.4248360769)","POINT (-79.4248360769 41.1927912877)"
"County","Fulton County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","2918",,"Children in area, estimated by American Community Survey","29","29","42","057","(39.9248751086, -78.1148504535)","POINT (-78.1148504535 39.9248751086)"
"County","Northampton County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","0.92","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","56",,"Number of dependent children removed where parental drug use was a factor","60725",,"Children in area, estimated by American Community Survey","48","48","42","095","(40.754595404, -75.3126372576)","POINT (-75.3126372576 40.754595404)"
"County","Lawrence County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","17835",,"Children in area, estimated by American Community Survey","37","37","42","073","(40.9932503514, -80.3375411446)","POINT (-80.3375411446 40.9932503514)"
"County","Potter County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","3550",,"Children in area, estimated by American Community Survey","53","53","42","105","(41.7442064382, -77.8987922939)","POINT (-77.8987922939 41.7442064382)"
"County","Northumberland County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","15.15","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","273",,"Number of dependent children in kinship care where parental drug use was a factor","18023",,"Children in area, estimated by American Community Survey","49","49","42","097","(40.8515092572, -76.7118842273)","POINT (-76.7118842273 40.8515092572)"
"County","Pike County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","10797",,"Children in area, estimated by American Community Survey","52","52","42","103","(41.332571995, -75.0327092448)","POINT (-75.0327092448 41.332571995)"
"County","Centre County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","0.53","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","13",,"Number of dependent children removed where parental drug use was a factor","24547",,"Children in area, estimated by American Community Survey","14","14","42","027","(40.9193135008, -77.8250011212)","POINT (-77.8250011212 40.9193135008)"
"County","Northampton County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","0.52","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","32",,"Number of dependent children in kinship care where parental drug use was a factor","61453",,"Children in area, estimated by American Community Survey","48","48","42","095","(40.754595404, -75.3126372576)","POINT (-75.3126372576 40.754595404)"
"County","Indiana County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","15306",,"Children in area, estimated by American Community Survey","32","32","42","063","(40.6529549748, -79.0933349286)","POINT (-79.0933349286 40.6529549748)"
"County","Sullivan County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","722",,"Children in area, estimated by American Community Survey","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)"
"County","Beaver County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","32213",,"Children in area, estimated by American Community Survey","4","04","42","007","(40.6834924548, -80.3510735648)","POINT (-80.3510735648 40.6834924548)"
"County","Clearfield County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","14877",,"Children in area, estimated by American Community Survey","17","17","42","033","(41.0004290024, -78.4755834299)","POINT (-78.4755834299 41.0004290024)"
"County","Union County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","7955",,"Children in area, estimated by American Community Survey","60","60","42","119","(40.9647313096, -77.0641580308)","POINT (-77.0641580308 40.9647313096)"
"County","Cumberland County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","0.78","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","39",,"Number of dependent children in kinship care where parental drug use was a factor","50118",,"Children in area, estimated by American Community Survey","21","21","42","041","(40.167598388, -77.268662705)","POINT (-77.268662705 40.167598388)"
"County","Potter County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","3601",,"Children in area, estimated by American Community Survey","53","53","42","105","(41.7442064382, -77.8987922939)","POINT (-77.8987922939 41.7442064382)"
"County","Crawford County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","2.11","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","39",,"Number of dependent children removed where parental drug use was a factor","18464",,"Children in area, estimated by American Community Survey","20","20","42","039","(41.6854690692, -80.1132108295)","POINT (-80.1132108295 41.6854690692)"
"County","Montgomery County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","0.44","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","78",,"Number of dependent children removed where parental drug use was a factor","179099",,"Children in area, estimated by American Community Survey","46","46","42","091","(40.209898739, -75.3725200072)","POINT (-75.3725200072 40.209898739)"
"County","Erie County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","2.01","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","120",,"Number of dependent children removed where parental drug use was a factor","59836",,"Children in area, estimated by American Community Survey","25","25","42","049","(41.9941378702, -80.0407591036)","POINT (-80.0407591036 41.9941378702)"
"County","Cameron County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","767",,"Children in area, estimated by American Community Survey","12","12","42","023","(41.4388026531, -78.2091693241)","POINT (-78.2091693241 41.4388026531)"
"County","Potter County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","3498",,"Children in area, estimated by American Community Survey","53","53","42","105","(41.7442064382, -77.8987922939)","POINT (-77.8987922939 41.7442064382)"
"County","Clarion County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","7296",,"Children in area, estimated by American Community Survey","16","16","42","031","(41.1927912877, -79.4248360769)","POINT (-79.4248360769 41.1927912877)"
"County","Elk County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","6007",,"Children in area, estimated by American Community Survey","24","24","42","047","(41.4281941606, -78.6494771322)","POINT (-78.6494771322 41.4281941606)"
"County","Clearfield County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","3.63","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","54",,"Number of dependent children removed where parental drug use was a factor","14877",,"Children in area, estimated by American Community Survey","17","17","42","033","(41.0004290024, -78.4755834299)","POINT (-78.4755834299 41.0004290024)"
"County","Sullivan County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","740",,"Children in area, estimated by American Community Survey","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)"
"County","Mifflin County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","10390",,"Children in area, estimated by American Community Survey","44","44","42","087","(40.6127492804, -77.6200308901)","POINT (-77.6200308901 40.6127492804)"
"County","Butler County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","1.02","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","39",,"Number of dependent children removed where parental drug use was a factor","38197",,"Children in area, estimated by American Community Survey","10","10","42","019","(40.9108318483, -79.9171177889)","POINT (-79.9171177889 40.9108318483)"
"County","Sullivan County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","722",,"Children in area, estimated by American Community Survey","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)"
"County","Fulton County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","3075",,"Children in area, estimated by American Community Survey","29","29","42","057","(39.9248751086, -78.1148504535)","POINT (-78.1148504535 39.9248751086)"
"County","Cameron County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","779",,"Children in area, estimated by American Community Survey","12","12","42","023","(41.4388026531, -78.2091693241)","POINT (-78.2091693241 41.4388026531)"
"County","Franklin County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","34785",,"Children in area, estimated by American Community Survey","28","28","42","055","(39.9278619704, -77.7239884483)","POINT (-77.7239884483 39.9278619704)"
"County","Mercer County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","22842",,"Children in area, estimated by American Community Survey","43","43","42","085","(41.302377765, -80.2600941079)","POINT (-80.26009410790002 41.302377765)"
"County","Northumberland County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","2.27","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","41",,"Number of dependent children removed where parental drug use was a factor","18023",,"Children in area, estimated by American Community Survey","49","49","42","097","(40.8515092572, -76.7118842273)","POINT (-76.7118842273 40.8515092572)"
