"geographic_area","geographic_name","sex","age","year","time_period","time_period_dates","hepatitis_c_rate","type_of_rate","hepatitis_c_count","hepatitis_c_count_description","hepatitis_c_count_notes","oud_estimate","oud_description","oud_notes","county_code_number","county_code_text","state_fips_code","county_fips_code","geo_2"
"State","Commonwealth","All","25-29 years","2016","2016 Annual","1/1/2016-12/31/2016","82.77","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","1802","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","21770","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Lebanon","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017","66.79","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","37","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","554","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","38","38","42","075","POINT (-76.4618257486 40.3675970024)"
"County","Chester","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019","8.71","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","36","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","4133","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","15","15","42","029","POINT (-75.7562649818 39.9748705566)"
"County","Lawrence","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019","36.36","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","40","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1100","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","37","37","42","073","POINT (-80.3375411446 40.9932503514)"
"County","Monroe","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","53.90","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","67","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1243","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","45","45","42","089","POINT (-75.3408360302 41.0609178653)"
"County","Armstrong","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","34.89","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","59","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1691","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","3","03","42","005","POINT (-79.4731689893 40.8150952555)"
"County","Northumberland","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","79.14","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","88","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1112","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","49","49","42","097","POINT (-76.7118842273 40.8515092572)"
"County","Union","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017",,"Rate suppressed due to small OUD estimate size","40","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","60","60","42","119","POINT (-77.0641580308 40.9647313096)"
"County","Jefferson","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","31.03","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","9","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","290","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","33","33","42","065","POINT (-79.0010181419 41.1313909115)"
"State","Commonwealth","All","15-19 years","2018","2018 Annual","1/1/2018-12/31/2018","67.74","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","76","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1122","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Clearfield","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","170.05","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","134","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","788","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","17","17","42","033","POINT (-78.4755834299 41.0004290024)"
"County","Franklin","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","54.57","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","43","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","788","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","28","28","42","055","POINT (-77.7239884483 39.9278619704)"
"County","Lackawanna","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","50.14","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","128","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","2553","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","35","35","42","069","POINT (-75.6121834524 41.4391006428)"
"County","Clearfield","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","264.24","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","116","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","439","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","17","17","42","033","POINT (-78.4755834299 41.0004290024)"
"County","Somerset","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019","227.59","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","132","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","580","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","56","56","42","111","POINT (-79.0310020611 39.9714629901)"
"State","Commonwealth","Female","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","36.70","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","1519","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","41387","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Carbon","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","47.34","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","32","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","676","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","13","13","42","025","POINT (-75.7110703866 40.9193670081)"
"County","Greene","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","26.00","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","22","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","846","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","30","30","42","059","POINT (-80.2294381655 39.8548039342)"
"County","Clinton","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","24.69","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","12","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","486","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","18","18","42","035","POINT (-77.6428376046 41.2328627374)"
"County","Erie","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019","52.73","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","116","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","2200","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","25","25","42","049","POINT (-80.0407591036 41.9941378702)"
"County","Monroe","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","60.47","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","54","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","893","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","45","45","42","089","POINT (-75.3408360302 41.0609178653)"
"County","Blair","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","118.67","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","171","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1441","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","7","07","42","013","POINT (-78.349076871 40.4855502384)"
"County","Forest","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018",,"Rate suppressed due to small OUD estimate size","27","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","27","27","42","053","POINT (-79.2378099483 41.5135787577)"
"County","Westmoreland","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","42.21","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","155","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","3672","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","65","65","42","129","POINT (-79.471341176 40.3103149985)"
"County","Franklin","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017","53.47","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","47","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","879","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","28","28","42","055","POINT (-77.7239884483 39.9278619704)"
"County","Mercer","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017","57.48","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","73","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1270","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","43","43","42","085","POINT (-80.2600941079 41.302377765)"
"County","Lawrence","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","25.58","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","30","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1173","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","37","37","42","073","POINT (-80.3375411446 40.9932503514)"
"County","Perry","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","15.35","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","7","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","456","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","50","50","42","099","POINT (-77.2590738496 40.4041531744)"
"County","Lehigh","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","39.01","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","139","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","3563","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","39","39","42","077","POINT (-75.6009948118 40.6146479416)"
"State","Commonwealth","All","35-39 years","2018","2018 Annual","1/1/2018-12/31/2018","69.83","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","1645","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","23558","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Indiana","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","44.33","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","43","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","970","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","32","32","42","063","POINT (-79.0933349286 40.6529549748)"
"County","Carbon","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","29.48","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","24","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","814","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","13","13","42","025","POINT (-75.7110703866 40.9193670081)"
"County","Lehigh","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","34.48","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","108","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","3132","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","39","39","42","077","POINT (-75.6009948118 40.6146479416)"
"County","Cambria","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017","51.55","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","136","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","2638","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","11","11","42","021","POINT (-78.7189417385 40.4912749067)"
"County","Pike","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019","25.45","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","14","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","550","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","52","52","42","103","POINT (-75.0327092448 41.332571995)"
"County","Clinton","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate suppressed due to small OUD estimate size","9","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","18","18","42","035","POINT (-77.6428376046 41.2328627374)"
"State","Commonwealth","Male","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","37.20","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","3952","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","106240","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","15-19 years","2019","2019 Annual","1/1/2019-12/31/2019","54.73","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","48","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","877","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Sullivan","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate suppressed due to small number of unique individuals with Hepatitis C",,"Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","57","57","42","113","POINT (-76.5147922046 41.4480993958)"
"County","Perry","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","17.20","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","7","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","407","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","50","50","42","099","POINT (-77.2590738496 40.4041531744)"
"County","Bucks","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","19.59","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","116","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","5922","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","9","09","42","017","POINT (-75.1129124111 40.335011331)"
"State","Commonwealth","All","15-19 years","2017","2017 Annual","1/1/2017-12/31/2017","51.49","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","109","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","2117","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Fulton","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate suppressed due to small number of unique individuals with Hepatitis C",,"Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","29","29","42","057","POINT (-78.1148504535 39.9248751086)"
"County","Dauphin","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","27.89","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","76","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","2725","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","22","22","42","043","POINT (-76.7796056802 40.4197463597)"
"County","Tioga","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018",,"Rate suppressed due to small OUD estimate size","23","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","59","59","42","117","POINT (-77.2578807579 41.7733383358)"
"County","Blair","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","266.18","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","218","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","819","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","7","07","42","013","POINT (-78.349076871 40.4855502384)"
"County","Forest","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017",,"Rate suppressed due to small OUD estimate size","26","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","27","27","42","053","POINT (-79.2378099483 41.5135787577)"
"County","Dauphin","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","26.69","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","104","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","3896","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","22","22","42","043","POINT (-76.7796056802 40.4197463597)"
