"the_geom","x","y","name","address","city_1","state","zip","phone","directions"
"POINT (-77.484600999641 41.855916999543)","-77.484600999999998","41.855916999999998","BEECHWOOD TACKLE","89 SHORT HILL RD","WESTFIELD","PA","16950","8143673015","http://maps.google.com/maps?q=41.855917,-77.484601"
"POINT (-79.39453000475 41.198710001745)","-79.394530000000003","41.198709999999998","FAMILY FARM & HOME 70","22631 ROUTE 68 SUITE 100","CLARION","PA","16214","8142970737","http://maps.google.com/maps?q=41.19871,-79.39453"
"POINT (-75.439159138765 41.407013123234)","-75.439159000000004","41.407015999999999","ON THE ROAD AGAIN AUTO SALES","109 MOUNT COBB HWY","LAKE ARIEL","PA","18436","5707955332","http://maps.google.com/maps?q=41.407016,-75.439159"
"POINT (-79.319585799197 41.852127999566)","-79.319585799999999","41.852128","KAMS LOGGING SUPPLIES AND OUTDOOR WEAR","16 W MAIN ST","YOUNGSVILLE","PA","16371","8147301840","http://maps.google.com/maps?q=41.852128,-79.3195858"
"POINT (-76.933802998652 40.050011997445)","-76.933802999999997","40.050012000000002","BOWHUNTERS SUPERSTORE","1045 ZEIGLER RD","WELLSVILLE","PA","17365","7174323710","http://maps.google.com/maps?q=40.050012,-76.933803"
"POINT (-76.862019457037 40.292338547065)","-76.862019459999999","40.292338549999997","PFBC FRONT DESK","1601 ELMERTON AVENUE","HARRISBURG","PA","17110","7177057938","http://maps.google.com/maps?q=40.2941429,-76.862635"
"POINT (-76.308274933407 40.170645021763)","-76.308274929999996","40.170645020000002","BOMBERGERS STORE","555 FURNACE HILLS PIKE","LITITZ","PA","17543","7176263333","http://maps.google.com/maps?q=40.17064502,-76.30827493"
"POINT (-78.24187840272 40.91006285512)","-78.241878400000004","40.910062859999996","PHILIPSBURG TRUE VALUE HARDWRE","1687 PHILIPSBURG BIGLER HIGHWY","PHILIPSBURG","PA","16866","8143423040","http://maps.google.com/maps?q=40.91006286,-78.2418784"
"POINT (-79.890650192746 40.48877645971)","-79.890650190000002","40.488776459999997","DUNHAMS SPORTS 29","972 FREEPORT RD SPACE 127","PITTSBURGH","PA","15238","4127840700","http://maps.google.com/maps?q=40.48877646,-79.89065019"
"POINT (-77.017540658011 40.402390739705)","-77.017540659999995","40.402390740000001","RENT A BOAT-RIVERFRONT CMPGRND","9 NEWPORT RD","DUNCANNON","PA","17020","7178345252","http://maps.google.com/maps?q=40.40239074,-77.01754066"
"POINT (-79.788735660806 40.372147188848)","-79.78873566","40.37214719","DUNHAMS SPORTS 94","1701 LINCOLN HWY","NORTH VERSAILLES","PA","15137","4128298066","http://maps.google.com/maps?q=40.37214719,-79.78873566"
"POINT (-75.45581573939 40.598121063903)","-75.455815740000006","40.598121059999997","ARCHERY THE GLENN","7 AUBURN STREET","ALLENTOWN","PA","18103","6107917665","http://maps.google.com/maps?q=40.59812106,-75.45581574"
"POINT (-77.572068102936 40.63185348026)","-77.572068099999996","40.631853479999997","DUNHAMS SPORTS 209","224 N LOGAN BLVD SUITE 750","BURNHAM","PA","17009","7172420647","http://maps.google.com/maps?q=40.63185348,-77.5720681"
"POINT (-75.3191296102 41.311041633042)","-75.319129610000005","41.311041629999998","ROUNDHOUSE TRUE VALUE HARDWARE","1020 MAIN STREET","NEWFOUNDLAND","PA","18445","5706769560","http://maps.google.com/maps?q=41.31104163,-75.31912961"
"POINT (-76.854662862121 40.296221959198)","-76.854662860000005","40.296221959999997","PA GAME LICENSE DIVISION","2001 ELMERTON AVE","HARRISBURG","PA","17110",,"http://maps.google.com/maps?q=40.29622196,-76.85466286"
"POINT (-77.801609293054 40.832545528709)","-77.801609290000002","40.832545529999997","DUNHAMS SPORTS 234","2901 E COLLEGE AVE STE 800","STATE COLLEGE","PA","16801","8142370764","http://maps.google.com/maps?q=40.83254553,-77.80160929"
"POINT (-77.195979000285 40.075551000211)","-77.195978999999994","40.075550999999997","GREEN MTN GENERAL STORE N DELI","4640 CARLISLE RD","GARDNERS","PA","17324","7174489987","http://maps.google.com/maps?q=40.075551,-77.195979"
"POINT (-76.017030837077 40.985462450963)","-76.017030840000004","40.98546245","DUNHAMS SPORTS 233","230 LAUREL MALL SUITE 61","HAZLE TOWNSHIP","PA","18202","5704550914","http://maps.google.com/maps?q=40.98546245,-76.01703084"
"POINT (-75.278096697927 41.369222713863)","-75.278096700000006","41.369222710000003","IRONWOOD POINT RECREATION AREA","155 BURNS HILL RD","GREENTOWN","PA","18426","5708570880","http://maps.google.com/maps?q=41.36922271,-75.2780967"
"POINT (-79.14757593225 41.897864439095)","-79.147575930000002","41.897864439999999","DUNHAMS SPORTS 242","4000 MARKSET ST STE A","WARREN","PA","16365","8147254959","http://maps.google.com/maps?q=41.89786444,-79.14757593"
"POINT (-76.18999171628 40.705294631694)","-76.189991719999995","40.705294629999997","DUNHAMS SPORTS 255","7165 FAIRLANE VILLAGE MALL","POTTSVILLE","PA","17901","5709555960","http://maps.google.com/maps?q=40.70529463,-76.18999172"
"POINT (-78.619308848193 41.979168703244)","-78.619308849999996","41.979168700000002","DUNHAMS SPORTS 230","1001 EAST MAIN ST UNIT 17","BRADFORD","PA","16701","8143683978","http://maps.google.com/maps?q=41.9791687,-78.61930885"
"POINT (-78.73564650396 41.420794427946)","-78.735646500000001","41.420794430000001","LAZY RIVER CANOE RENTAL","40 WEST MAIN STREET","RIDGWAY","PA","15853",,"http://maps.google.com/maps?q=41.42079443,-78.7356465"
"POINT (-75.57848461977 41.152514384069)","-75.578484619999998","41.15251438","ARROWHEAD LAKE COMMUNITY ASSOC","961 ARROWHEAD DRIVE","POCONO LAKE","PA","18347","5706438131","http://maps.google.com/maps?q=41.15251438,-75.57848462"
"POINT (-79.824918609284 41.801075522888)","-79.824918609999997","41.801075519999998","VANTASSELS TIMBERLAND BAIT SHP","36320 DUTCH HILL ROAD","UNION CITY","PA","16438","8146943474","http://maps.google.com/maps?q=41.80107552,-79.82491861"
"POINT (-78.333668671676 40.599516345318)","-78.333668669999994","40.599516350000002","TANNERS HARDWARE","432 MAIN ST","BELLWOOD","PA","16617","8147428800","http://maps.google.com/maps?q=40.59951635,-78.33366867"
"POINT (-80.01828514956 40.489636797957)","-80.018270000000001","40.489570000000001","FISH ON BAIT AND TACKLE","3868 BAYTREE ST","PITTSBURGH","PA","15214","4122287742","http://maps.google.com/maps?q=40.48957,-80.01827"
"POINT (-75.654648199387 41.459746537744)","-75.64817223","41.461795029999998","FIELD AND STREAM 4618","440 VIEWMONT MALL","N SCRANTON","PA","18508","5704833442","http://maps.google.com/maps?q=41.46179503,-75.64817223"
"POINT (-79.710503594364 40.646295689895)","-79.710503590000002","40.646295690000002","DUNHAM'S SPORTS 111","40 HIGHLANDS MALL PLAZA","NATRONA HEIGHTS","PA","15065","7242300102","http://maps.google.com/maps?q=40.64629569,-79.71050359"
"POINT (-75.392294391515 40.08814127537)","-75.392294390000004","40.088141280000002","DICKS SPORTING GOODS 1110","160 N GULPH RD STE 4000","KING OF PRUSSIA","PA","19406","4847510071","http://maps.google.com/maps?q=40.08814128,-75.39229439"
"POINT (-80.005283774063 40.523443092015)","-80.005283770000005","40.523443090000001","AAA EAST CENTRAL NORTH HLS","4790 MCKNIGHT RD","PITTSBURGH","PA","15237-3426","4123677600","http://maps.google.com/maps?q=40.52344309,-80.00528377"
"POINT (-77.140403859257 40.531470002793)","-77.140401999999995","40.531471000000003","LONGHORN FAMILY CAMPGROUND AND STORE","226 W JUNIATA PKWY","MILLERSTOWN","PA","17062","7175983422","http://maps.google.com/maps?q=40.531471,-77.140402"
"POINT (-77.173182907868 40.200183012063)","-77.173182909999994","40.200183010000003","DUNHAM'S SPORTS 117","800 E HIGH ST SUITE 470","CARLISLE","PA","17013","7172497667","http://maps.google.com/maps?q=40.20018301,-77.17318291"
"POINT (-78.428584999668 40.425022999914)","-78.428584999999998","40.425023000000003","ALLEGHENY TRADE CO","928 3RD AVE","DUNCANSVILLE","PA","16637","8146953131","http://maps.google.com/maps?q=40.425023,-78.428585"
"POINT (-74.869377121725 40.185781930303)","-74.869377119999996","40.185781929999997","DICKS SPORTING GOODS 81","150 COMMERCE BLVD.","FAIRLESS HILLS","PA","19030","2159468750","http://maps.google.com/maps?q=40.18578193,-74.86937712"
"POINT (-79.941598960653 40.635350535789)","-79.941598959999993","40.635350539999997","DUNHAM'S SPORTS 163","200 NORTHTOWNE SQUARE","GIBSONIA","PA","15044","7244440100","http://maps.google.com/maps?q=40.63535054,-79.94159896"
"POINT (-80.519620499752 41.310972000026)","-80.519620500000002","41.310972","FIVE POINTS COUNTRY MART","8430 STATE ROUTE 305","BURGHILL","OH","44404","3307723410","http://maps.google.com/maps?q=41.310972,-80.5196205"
"POINT (-76.982596011999 40.684914469203)","-76.982596009999995","40.684914470000002","ALINE COUNTRY STORE","4959 RTE 104","MOUNT PLEASANT MILLS","PA","17853","5705398340","http://maps.google.com/maps?q=40.68491447,-76.98259601"
"POINT (-75.285378438026 40.114883730127)","-75.285378440000002","40.114883730000003","DICKS SPORTING GOODS 99","500 W GERMANTOWN PIKE","PLYMOUTH MEETING","PA","19462","6102604400","http://maps.google.com/maps?q=40.11488373,-75.28537844"
"POINT (-77.770091746801 40.578604480345)","-77.770091750000006","40.578604480000003","D AND R FIREARMS","2459 STATE ROUTE 655","BELLEVILLE","PA","17004","7174839954","http://maps.google.com/maps?q=40.57860448,-77.77009175"
"POINT (-78.86981176463 40.291629787953)","-78.869812319999994","40.291633560000001","ADVANTAGE AUTO SERVICE","692 SCALP AVE","JOHNSTOWN","PA","15904","8142660872","http://maps.google.com/maps?q=40.29163356,-78.86981232"
"POINT (-75.841324642586 41.241015407157)","-75.841324639999996","41.241015410000003","DICKS SPORTING GOODS 07","479 ARENA HUB PLAZA","WILKES BARRE","PA","18702","5708238288","http://maps.google.com/maps?q=41.24101541,-75.84132464"
"POINT (-76.494086860434 40.333897797536)","-76.494086859999996","40.333897800000003","BOMBERGERS ANNVILLE","1200 E MAIN ST","ANNVILLE","PA","17003","7176857936","http://maps.google.com/maps?q=40.3338978,-76.49408686"
"POINT (-78.405908869172 40.458891276162)","-78.405908870000005","40.458891280000003","SPORTSMANS WAREHOUSE 606","SIERRA N PLAZA 141 SIERRA DR","ALTOONA","PA","16601","8146935000","http://maps.google.com/maps?q=40.45889128,-78.40590887"
"POINT (-79.79181663699 40.572640388007)","-79.791816639999993","40.572640389999997","DICKS SPORTING GOODS 188","329 PITTSBURGH MILLS CIRCLE","TARENTUM","PA","15084","7242733226","http://maps.google.com/maps?q=40.57264039,-79.79181664"
"POINT (-76.3011709178 41.289291859802)","-76.3011585","41.289289500000002","RED ROCK CORNER STORE","121 STATE ROUTE 118","BENTON","PA","17814-7501","5708543622","http://maps.google.com/maps?q=41.2892895,-76.3011585"
"POINT (-75.520908198477 40.810711300664)","-75.520905999999997","40.810713","BLUE MOUNTAIN RESORT","1660 BLUE MOUNTAIN DRIVE","PALMERTON","PA","18071","6108267700","http://maps.google.com/maps?q=40.810713,-75.520906"
"POINT (-80.164475391575 40.452357239158)","-80.164475390000007","40.452357239999998","AAA EAST CENTRAL ROBINSON","1760 PARK MANOR BLVD","PITTSBURGH","PA","15205-4807","4128092800","http://maps.google.com/maps?q=40.45235724,-80.16447539"
"POINT (-80.102877153466 42.064992695545)","-80.102877149999998","42.064992699999998","SPORTSMANS WAREHOUSE 611","2075 INTERCHANGE RD","ERIE",,"16509-8315","8015666681","http://maps.google.com/maps?q=42.0649927,-80.10287715"
"POINT (-78.446827282179 41.809537220143)","-78.446827279999994","41.809537220000003","MCKEAN COUNTY TREASURER","500 W MAIN ST","SMETHPORT","PA","16749","8148873220","http://maps.google.com/maps?q=41.80953722,-78.44682728"
"POINT (-75.680464316399 40.017795973727)","-75.680464319999999","40.017795970000002","DICKS SPORTING GOODS 83","1026 E LANCASTER AVE","DOWNINGTOWN","PA","19335","6105185200","http://maps.google.com/maps?q=40.01779597,-75.68046432"
"POINT (-75.605384839836 40.752673301543)","-75.605384839999999","40.752673299999998","A F BOYER HARDWARE","130 MAIN ST","SLATINGTON",,"18080","6107673162","http://maps.google.com/maps?q=40.7526733,-75.60538484"
"POINT (-76.666328306774 39.983248661829)","-76.666328309999997","39.983248660000001","DICKS SPORTING GOODS 274","2955 CONCORD RD","YORK","PA","17402","7177514450","http://maps.google.com/maps?q=39.98324866,-76.66632831"
"POINT (-77.231780092004 41.191260087825)","-77.231780090000001","41.19126009","PGC-NORTHCENTRAL REGIONAL HDQ","1566 S STATE ROUTE 44","JERSEY SHORE","PA","17740","5703984744","http://maps.google.com/maps?q=41.19126009,-77.23178009"
"POINT (-79.927844842762 40.460069558887)","-79.927844840000006","40.460069560000001","AAA EAST CENTRAL E LIBERTY","5900 BAUM BLVD","PITTSBURGH","PA","15206-3803","4123657196","http://maps.google.com/maps?q=40.46006956,-79.92784484"
"POINT (-75.351403674466 40.634315083157)","-75.351403669999996","40.63431508","AAA EAST CENTRAL BETHLEHEM","1520 STEFKO BLVD","BETHLEHEM","PA","18017-6229","6108677502","http://maps.google.com/maps?q=40.63431508,-75.35140367"
"POINT (-76.802203329128 40.310642231096)","-76.802203329999998","40.310642229999999","DICKS SPORTING GOODS 39","5086 JONESTOWN ROAD","HARRISBURG","PA","17112","7176523174","http://maps.google.com/maps?q=40.31064223,-76.80220333"
"POINT (-78.405737307122 40.470979551701)","-78.405737310000006","40.470979550000003","DUNHAM'S SPORTS 86","241 PARK HILLS PLAZA","ALTOONA","PA","16601","8149423311","http://maps.google.com/maps?q=40.47097955,-78.40573731"
"POINT (-80.053275773145 40.341991643006)","-80.053275769999999","40.341991640000003","DICKS SPORTING GOODS 638","301 SOUTH HILLS VLG SUITE 201","UPPER ST CLAIR","PA","15241","4128315570","http://maps.google.com/maps?q=40.34199164,-80.05327577"
"POINT (-76.975016975354 39.799023492789)","-76.975016980000007","39.799023490000003","W E SELL SPORTING GOODS","401 YORK STREET","HANOVER","PA","17331","7176321293","http://maps.google.com/maps?q=39.79902349,-76.97501698"
"POINT (-75.109935912546 40.210484309197)","-75.109936000000005","40.210487999999998","SPORTSMANS WAREHOUSE 258","970 W STREET RD","WARMINSTER","PA","18974","8015666681","http://maps.google.com/maps?q=40.210488,-75.109936"
"POINT (-75.479451426018 40.571780086449)","-75.479451429999997","40.571780089999997","AAA EAST CENTRAL ALLENTOWN","2072 DOWNYFLAKE LN","ALLENTOWN","PA","18103-4779","6104345141","http://maps.google.com/maps?q=40.57178009,-75.47945143"
"POINT (-79.078528226002 40.008544105356)","-79.078528230000003","40.008544110000003","AAA EAST CENTRAL SOMERSET","110 N CENTER AVE","SOMERSET","PA","15501-2070","8144436526","http://maps.google.com/maps?q=40.00854411,-79.07852823"
"POINT (-79.746576575577 40.587719093624)","-79.746576579999996","40.58771909","AAA EAST CENTRAL LW BURRELL","2501 LEECHBURG RD  XRDS STE E","LOWER BURRELL","PA","15068-3060","7243394440","http://maps.google.com/maps?q=40.58771909,-79.74657658"
"POINT (-80.373512343991 40.774944909346)","-80.373512340000005","40.774944910000002","DUNHAM'S SPORTS 173","2556 CONSTITUTION BLVD","BEAVER FALLS","PA","15010","7248435705","http://maps.google.com/maps?q=40.77494491,-80.37351234"
"POINT (-78.898090499806 40.294827000198)","-78.898090499999995","40.294826999999998","JRS TACKLEBOX","435 OHIO ST","JOHNSTOWN","PA","15902","8142447925","http://maps.google.com/maps?q=40.294827,-78.8980905"
"POINT (-78.819258000326 41.051490000108)","-78.819258000000005","41.051490000000001","814 HOME & HARDWARE LLC","119 E MAIN ST","SYKESVILLE","PA","15865","8148940040","http://maps.google.com/maps?q=41.05149,-78.819258"
"POINT (-76.87930313024 42.151860285955)","-76.879303129999997","42.151860290000002","SPORTSMANS WAREHOUSE 604","830 COUNTY ROAD 64 STE 17","ELMIRA","NY","14903","6077398190","http://maps.google.com/maps?q=42.15186029,-76.87930313"
"POINT (-79.905910532044 40.893880091815)","-79.90591053","40.893880090000003","AAA EAST CENTRAL BUTLER","138 CLEARVIEW CIR","BUTLER","PA","16001-1565","7242872713","http://maps.google.com/maps?q=40.89388009,-79.90591053"
"POINT (-78.385836904378 40.487818769033)","-78.385836900000001","40.487818769999997","DICKS SPORTING GOODS 97","149 FALON LANE LOGAN TOWN CENT","ALTOONA","PA","16602","8149412273","http://maps.google.com/maps?q=40.48781877,-78.3858369"
"POINT (-79.755455130383 39.916928406367)","-79.755455130000001","39.916928409999997","DICKS SPORTING GOODS 1233","320 WALMART DR","UNIONTOWN","PA","15401","7244153460","http://maps.google.com/maps?q=39.91692841,-79.75545513"
"POINT (-76.828407521936 41.243319645919)","-76.828407519999999","41.243319649999997","DICKS SPORTING GOODS 277","300 LYCOMING MALL CIRCLE","MUNCY","PA","17756","5705462625","http://maps.google.com/maps?q=41.24331965,-76.82840752"
"POINT (-76.486452889115 41.016009819207)","-76.486452889999995","41.016009820000001","DUNHAM'S SPORTS 87","225 COLUMBIA MALL DRIVE","BLOOMSBURG","PA","17815","5703899681","http://maps.google.com/maps?q=41.01600982,-76.48645289"
"POINT (-79.905223974825 40.896354993647)","-79.905223969999994","40.896354989999999","DUNHAM'S SPORTS 102","101 CLEARVIEW CIR UNIT 4B","BUTLER","PA","16001","7242877899","http://maps.google.com/maps?q=40.89635499,-79.90522397"
"POINT (-79.51050050828 40.303038949295)","-79.51050051","40.303038950000001","DICKS SPORTING GOODS 252","5280 ROUTE 30 SUITE 1","GREENSBURG","PA","15601","7242734294","http://maps.google.com/maps?q=40.30303895,-79.51050051"
"POINT (-80.053401662151 40.344338603814)","-80.053401660000006","40.3443386","AAA EAST CENTRAL SOUTH HLS","160 FORT COUCH RD","PITTSBURGH","PA","15241-1032","4128335203","http://maps.google.com/maps?q=40.3443386,-80.05340166"
"POINT (-76.322651837115 39.728678851277)","-76.322651840000006","39.728678850000001","DELTA TAGS TITLE AND NOTARY","805 MAIN ST","DELTA",,"17314-8945","7174565008","http://maps.google.com/maps?q=39.72867885,-76.32265184"
"POINT (-79.497257777923 40.300919412672)","-79.497263399999994","40.300930200000003","AAA EAST CENTRAL GREENSBURG","5142 STATE ROUTE 30 STE 135","GREENSBURG","PA","15601-7657","7248348300","http://maps.google.com/maps?q=40.3009302,-79.4972634"
"POINT (-75.264354398271 40.998848899709)","-75.264354400000002","40.998848899999999","DICKS SPORTING GOODS 1127","500 COMMERCE BLVD","STROUDSBURG","PA","18360","5704217501","http://maps.google.com/maps?q=40.9988489,-75.2643544"
"POINT (-78.834345741818 40.299239919776)","-78.834345740000003","40.299239919999998","DUNHAM'S SPORTS 41","594 GALLERIA DRIVE","JOHNSTOWN","PA","15904","8142629990","http://maps.google.com/maps?q=40.29923992,-78.83434574"
"POINT (-77.578337725578 39.960935433872)","-77.578337730000001","39.960935429999999","SPORTSMANS WAREHOUSE 215","3285 BLACK GAP RD","CHAMBERSBURG","PA","17202","7177537800","http://maps.google.com/maps?q=39.96093543,-77.57833773"
"POINT (-79.753854443938 39.915029569346)","-79.753849000000002","39.915034900000002","AAA EAST CENTRAL UNIONTOWN","209 WALMART DR STE C-10","UNIONTOWN","PA","15401-8423","7244388575","http://maps.google.com/maps?q=39.9150349,-79.753849"
"POINT (-75.986367812339 39.772298476736)","-75.986367810000004","39.772298480000003","CAMERONS  HARDWARE & SUPPLY","2195 BALTIMORE PIKE","OXFORD","PA","19363","6109322416","http://maps.google.com/maps?q=39.77229848,-75.98636781"
"POINT (-75.242008208199 40.234087260886)","-75.242008209999995","40.234087260000003","DICKS SPORTING GOODS 341","113 MONTGOMERY MALL","NORTH WALES","PA","19454","2153682186","http://maps.google.com/maps?q=40.23408726,-75.24200821"
"POINT (-76.835885030089 40.841954786856)","-76.83588503","40.841954790000003","DICKS SPORTING GOODS 389","486 MARKETPLACE BLVD.","SELINSGROVE","PA","17870","5707431780","http://maps.google.com/maps?q=40.84195479,-76.83588503"
"POINT (-79.384709873592 40.286410307994)","-79.384709869999995","40.286410310000001","DUNHAM'S SPORTS 195","1020 LATROBE 30 SHOPPES","LATROBE","PA","15650","7245374325","http://maps.google.com/maps?q=40.28641031,-79.38470987"
"POINT (-80.342858137116 41.000909335151)","-80.342858140000004","41.00090934","AAA EAST CENTRAL NEWCASTLE","40 EAST ST","NEW CASTLE","PA","16101-3676","7246588551","http://maps.google.com/maps?q=41.00090934,-80.34285814"
"POINT (-75.368556323894 40.460058525295)","-75.368556319999996","40.460058529999998","AAA EAST CENTRAL QUAKERTOWN","632 N WEST END BLVD","QUAKERTOWN","PA","18951-4100","2155385150","http://maps.google.com/maps?q=40.46005853,-75.36855632"
"POINT (-79.185839814609 41.121087870745)","-79.185839810000004","41.121087869999997","RICHS OUTDOOR WORLD INC","12860 HARRISON STREET","SUMMERVILLE","PA","15864","8148562395","http://maps.google.com/maps?q=41.12108787,-79.18583981"
"POINT (-80.179670227519 40.446811575171)","-80.1796693","40.446814000000003","SPORTSMANS WAREHOUSE 219","120 QUINN DR","PITTSBURG","PA","15275","8015666681","http://maps.google.com/maps?q=40.446814,-80.1796693"
"POINT (-79.718843850804 41.351737051007)","-79.718843849999999","41.351737049999997","DUNHAM'S SPORTS 158","6945 US ROUTE 322 SUITE 2000B","CRANBERRY","PA","16319","8146765705","http://maps.google.com/maps?q=41.35173705,-79.71884385"
"POINT (-77.236711769252 40.351339840863)","-77.236711769999999","40.351339840000001","TRIPLE CREEK ROD AND GUN","914 LANDISBURG RD","LANDISBURG",,"17040","7172150273","http://maps.google.com/maps?q=40.35133984,-77.23671177"
"POINT (-80.220515869801 40.190522340984)","-80.22051587","40.190522340000001","SPORTSMANS WAREHOUSE 608","60 OLD MILL RD","WASHINGTON","PA","15301","7248738740","http://maps.google.com/maps?q=40.19052234,-80.22051587"
"POINT (-75.67888131329 41.405670783786)","-75.678881309999994","41.405670780000001","ONE STOP SPORT SHOP","628 LUZERNE ST","SCRANTON","PA","18504","5703463474","http://maps.google.com/maps?q=41.40567078,-75.67888131"
"POINT (-79.593787782897 40.306376939156)","-79.59378778","40.30637694","DICKS SPORTING GOODS 110","6291 ROUTE 30","HEMPFIELD TWP","PA","15601","7245229777","http://maps.google.com/maps?q=40.30637694,-79.59378778"
"POINT (-80.104077214651 42.069925538253)","-80.10407721","42.06992554","DICKS SPORTING GOODS 30","2088 INTERCHANGE ROAD MILLCREE","ERIE","PA","16565","8148643500","http://maps.google.com/maps?q=42.06992554,-80.10407721"
"POINT (-75.58537945368 41.052185399994)","-75.585378000000006","41.052196000000002","BOULDER LAKE CLUB","127 LAKE HARMONY ROAD","LAKE HARMONY","PA","18624","5704438433","http://maps.google.com/maps?q=41.052196,-75.585378"
"POINT (-76.425362108412 40.336608042148)","-76.425362109999995","40.336608040000002","DUNHAM'S SPORTS 160","829 E WALNUT ST ROUTE 422","LEBANON","PA","17042","7172281683","http://maps.google.com/maps?q=40.33660804,-76.42536211"
"POINT (-80.476968967067 41.233358265457)","-80.476968970000001","41.233358269999997","AAA EAST CENTRAL HERMITAGE","1749 E STATE ST","HERMITAGE","PA","16148-1863","7249819141","http://maps.google.com/maps?q=41.23335827,-80.47696897"
"POINT (-80.311118874972 40.737744799921)","-80.311117899999999","40.737744999999997","FUNTASTIC CARDS BAIT TACKLE","1106 ALLEGHENY ST","NEW BRIGHTON","PA","15066-1549","7216010067","http://maps.google.com/maps?q=40.737745,-80.3111179"
"POINT (-79.153366535453 41.872932759175)","-79.153364999999994","41.872934600000001","AAA EAST CENTRAL WARREN","2285 MARKET ST","WARREN","PA","16365-4668","8147236660","http://maps.google.com/maps?q=41.8729346,-79.153365"
"POINT (-75.286364739699 40.656477888984)","-75.286364739999996","40.656477889999998","DICKS SPORTING GOODS 230","4423 BIRKLAND PLACE","EASTON","PA","18045","6103300383","http://maps.google.com/maps?q=40.65647789,-75.28636474"
"POINT (-80.104208268969 40.691261186599)","-80.104213000000001","40.691262999999999","PUBLIC LANDS","1000 CRANBERRY SQUARE DR","CRANBERRY TWP","PA","16066-6143","7244274427","http://maps.google.com/maps?q=40.691263,-80.104213"
