"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","deliveries_with_oud_diagnosis","type_of_rate","deliveries_with_oud_diagnosis_receiving_mat_percent","type_of_percent","number_of_women_with_a","number_of_women_with_a_1","number_of_women_with_a_2","number_of_women_with_a_3","number_of_women_with_a_4","number_of_women_with_a_5","county_code_number","county_code_text","state_fips_code","county_fips_code","geocoded_column"
"County","Bucks County","Female","12 to 55 years","2017","2017 Q2","4/1/2017-6/30/2017","432.43","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","43.24","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","16",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","37",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","9","09","42","017","POINT (-75.11291241 40.33501133)"
"County","Delaware County","Female","12 to 55 years","2017","2017 Q2","4/1/2017-6/30/2017","366.67","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","36.67","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","11",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","30",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","23","23","42","045","POINT (-75.40627712 39.91657867)"
"County","Philadelphia County","Female","12 to 55 years","2017","2017 Q2","4/1/2017-6/30/2017","567.16","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","56.72","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","38",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","67",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","51","51","42","101","POINT (-75.140236 40.00444354)"
"County","Luzerne County","Female","12 to 55 years","2017","2017 Q3","7/1/2017-9/30/2017","600.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","60.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","12",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","20",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","40","40","42","079","POINT (-75.9919961 41.17836439)"
"County","Fayette County","Female","12 to 55 years","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","21",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","26","26","42","051","POINT (-79.65189635 39.9194478)"
"State","Commonwealth","Female","35 to 39 years","2018","2018 Q2","4/1/2018-6/30/2018","729.41","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","72.94","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","62",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","85",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Berks County","Female","12 to 55 years","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","15",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","6","06","42","011","POINT (-75.93077327 40.41939635)"
"County","Erie County","Female","12 to 55 years","2018","2018 Q2","4/1/2018-6/30/2018","695.65","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","69.57","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","16",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","23",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","25","25","42","049","POINT (-80.0407591 41.99413787)"
"County","Philadelphia County","Female","12 to 55 years","2018","2018 Q3","7/1/2018-9/30/2018","594.06","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","59.41","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","60",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","101",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","51","51","42","101","POINT (-75.140236 40.00444354)"
"County","Allegheny County","Female","12 to 55 years","2018","2018 Q4","10/1/2018-12/31/2018","691.18","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","69.12","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","47",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","68",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","2","02","42","003","POINT (-79.98619843 40.46735543)"
"County","Fayette County","Female","12 to 55 years","2018","2018 Q4","10/1/2018-12/31/2018","680.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","68.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","17",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","25",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","26","26","42","051","POINT (-79.65189635 39.9194478)"
"County","Monroe County","Female","12 to 55 years","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","11",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","45","45","42","089","POINT (-75.34083603 41.06091787)"
"County","Beaver County","Female","12 to 55 years","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","16",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","4","04","42","007","POINT (-80.35107356 40.68349246)"
"County","Bucks County","Female","12 to 55 years","2019","2019 Q1","1/1/2019-3/31/2019","441.18","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","44.12","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","15",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","34",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","9","09","42","017","POINT (-75.11291241 40.33501133)"
"County","Bucks County","Female","12 to 55 years","2019","2019 Q2","4/1/2019-6/30/2019","615.38","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","61.54","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","16",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","26",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","9","09","42","017","POINT (-75.11291241 40.33501133)"
"County","Montgomery County","Female","12 to 55 years","2019","2019 Q2","4/1/2019-6/30/2019","640.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","64.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","16",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","25",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","46","46","42","091","POINT (-75.37252001 40.20989874)"
"County","Fayette County","Female","12 to 55 years","2019","2019 Q3","7/1/2019-9/30/2019","583.33","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","58.33","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","14",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","24",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","26","26","42","051","POINT (-79.65189635 39.9194478)"
"County","Cambria County","Female","12 to 55 years","2019","2019 Q4","10/1/2019-12/31/2019","736.84","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","73.68","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","14",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","19",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","11","11","42","021","POINT (-78.71894174 40.49127491)"
"County","Delaware County","Female","12 to 55 years","2019","2019 Q4","10/1/2019-12/31/2019","555.56","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","55.56","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","15",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","27",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","23","23","42","045","POINT (-75.40627712 39.91657867)"
"County","Montgomery County","Female","12 to 55 years","2019","2019 Q4","10/1/2019-12/31/2019","571.43","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","57.14","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","16",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","28",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","46","46","42","091","POINT (-75.37252001 40.20989874)"
"County","Luzerne County","Female","12 to 55 years","2020","2020 Q1","1/1/2020-3/31/2020","541.67","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","54.17","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","13",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","24",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","40","40","42","079","POINT (-75.9919961 41.17836439)"
"County","Bucks County","Female","12 to 55 years","2020","2020 Q2","4/1/2020-6/30/2020","565.22","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","56.52","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","13",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","23",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","9","09","42","017","POINT (-75.11291241 40.33501133)"
"County","Dauphin County","Female","12 to 55 years","2020","2020 Q2","4/1/2020-6/30/2020","846.15","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","84.62","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","11",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","13",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","22","22","42","043","POINT (-76.77960568 40.41974636)"
"County","Luzerne County","Female","12 to 55 years","2020","2020 Q2","4/1/2020-6/30/2020","548.39","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","54.84","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","17",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","31",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","40","40","42","079","POINT (-75.9919961 41.17836439)"
"County","Allegheny County","Female","12 to 55 years","2020","2020 Q3","7/1/2020-9/30/2020","515.15","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","51.52","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","34",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","66",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","2","02","42","003","POINT (-79.98619843 40.46735543)"
"County","Philadelphia County","Female","12 to 55 years","2020","2020 Q3","7/1/2020-9/30/2020","400.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","40.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","36",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","90",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","51","51","42","101","POINT (-75.140236 40.00444354)"
"County","Cambria County","Female","12 to 55 years","2020","2020 Q4","10/1/2020-12/31/2020","700.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","70.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","14",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","20",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","11","11","42","021","POINT (-78.71894174 40.49127491)"
"County","Delaware County","Female","12 to 55 years","2020","2020 Q4","10/1/2020-12/31/2020","518.52","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","51.85","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","14",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","27",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","23","23","42","045","POINT (-75.40627712 39.91657867)"
"County","Butler County","Female","12 to 55 years","2020","2020 Annual","1/1/2020-12/31/2020","454.55","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","45.45","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","20",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","44",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","10","10","42","019","POINT (-79.91711779 40.91083185)"
"County","Crawford County","Female","12 to 55 years","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","20","20","42","039","POINT (-80.11321083 41.68546907)"
"County","Lancaster County","Female","12 to 55 years","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","19",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","36","36","42","071","POINT (-76.25138768 40.04590796)"
"County","Union County","Female","12 to 55 years","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","60","60","42","119","POINT (-77.06415803 40.96473131)"
"County","Beaver County","Female","12 to 55 years","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","12",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","4","04","42","007","POINT (-80.35107356 40.68349246)"
"County","Lehigh County","Female","12 to 55 years","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","39","39","42","077","POINT (-75.60099481 40.61464794)"
"County","Lawrence County","Female","12 to 55 years","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","37","37","42","073","POINT (-80.33754114 40.99325035)"
"County","Fulton County","Female","12 to 55 years","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","29","29","42","057","POINT (-78.11485045 39.92487511)"
"County","Greene County","Female","12 to 55 years","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","30","30","42","059","POINT (-80.22943817 39.85480393)"
"County","Dauphin County","Female","12 to 55 years","2020","2020 Annual","1/1/2020-12/31/2020","660.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","66.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","33",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","50",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","22","22","42","043","POINT (-76.77960568 40.41974636)"
"County","Columbia County","Female","12 to 55 years","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","19","19","42","037","POINT (-76.4100218 41.04912086)"
"County","Chester County","Female","12 to 55 years","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","13",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","15","15","42","029","POINT (-75.75626498 39.97487056)"
"County","Clarion County","Female","12 to 55 years","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","16","16","42","031","POINT (-79.42483608 41.19279129)"
"County","Beaver County","Female","12 to 55 years","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","12",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","4","04","42","007","POINT (-80.35107356 40.68349246)"
"County","Centre County","Female","12 to 55 years","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid",,"Not displayed when total number of deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","14","14","42","027","POINT (-77.82500112 40.9193135)"
"State","Commonwealth","Female","35 to 39 years","2019","2019 Annual","1/1/2019-12/31/2019","563.81","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","56.38","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","243",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","431",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Northampton County","Female","12 to 55 years","2016","2016 Annual","1/1/2016-12/31/2016","586.21","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","58.62","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","17",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","29",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","48","48","42","095","POINT (-75.31263726 40.7545954)"
