"county","age","count"
"WESTMORELAND","30-39","13082"
"CLARION","50-59","1458"
"CHESTER","30-39","15981"
"FAYETTE","90-99","413"
"BERKS","40-49","15585"
"MIFFLIN","80-89","652"
"ADAMS","90-99","299"
"BUCKS","30-39","20424"
"ADAMS","60-69","3212"
"PIKE","20-29","1575"
"BERKS","70-79","6469"
"POTTER","0-9","198"
"WARREN","20-29","1152"
"BLAIR","0-9","1646"
"INDIANA","80-89","841"
"HUNTINGDON","40-49","1933"
"JEFFERSON","20-29","1464"
"LEHIGH","0-9","9303"
"CHESTER","40-49","14603"
"VENANGO","100-109","7"
"LACKAWANNA","Age unknown","19"
"CLINTON","70-79","651"
"PERRY","50-59","1566"
"LACKAWANNA","30-39","8005"
"BUCKS","10-19","17146"
"PENNSYLVANIA","90-99","39436"
"WYOMING","0-9","428"
"CRAWFORD","0-9","1166"
"WESTMORELAND","80-89","3456"
"LANCASTER","90-99","1892"
"MONTGOMERY","Age unknown","129"
"CLEARFIELD","90-99","281"
"LYCOMING","10-19","3665"
"YORK","30-39","21337"
"LEHIGH","20-29","16820"
"FULTON","50-59","727"
"CUMBERLAND","100-109","32"
"ELK","Age unknown",
"SUSQUEHANNA","20-29","1292"
"LUZERNE","10-19","9672"
"WARREN","90-99","153"
"LEBANON","30-39","6210"
"CUMBERLAND","20-29","9484"
"LYCOMING","20-29","4839"
"MONTGOMERY","90-99","2354"
"CLARION","30-39","1248"
"LACKAWANNA","10-19","6452"
"CAMBRIA","60-69","4884"
"MONROE","60-69","4633"
"LACKAWANNA","60-69","5004"
"GREENE","20-29","1360"
"TIOGA","90-99","118"
"BUCKS","0-9","9402"
"LEBANON","70-79","2884"
"INDIANA","60-69","2310"
"LANCASTER","Age unknown","14"
"BUCKS","40-49","19375"
"ELK","0-9","367"
"CUMBERLAND","40-49","8056"
"DAUPHIN","100-109","29"
"LEHIGH","100-109","50"
"LAWRENCE","20-29","3312"
"MONROE","0-9","3113"
"ALLEGHENY","30-39","54641"
"CLEARFIELD","80-89","861"
"LANCASTER","30-39","21498"
"LYCOMING","70-79","2064"
"YORK","10-19","16472"
"FOREST","100-109",
"MONTOUR","40-49","615"
"CHESTER","0-9","8585"
"NORTHUMBERLAND","40-49","3518"
"UNION","90-99","196"
"JEFFERSON","70-79","831"
"BEAVER","100-109","18"
"FOREST","90-99","16"
"GREENE","60-69","1153"
"FULTON","Age unknown",
"CARBON","40-49","2476"
"CRAWFORD","50-59","3335"
"GREENE","70-79","740"
"MERCER","20-29","4151"
"LUZERNE","60-69","8236"
"BEAVER","30-39","6950"
"FULTON","100-109",
"GREENE","Age unknown",
"WAYNE","10-19","1234"
"BRADFORD","Age unknown",
"MERCER","Age unknown","5"
"CAMERON","70-79","89"
"FAYETTE","30-39","5285"
"LAWRENCE","0-9","1024"
"GREENE","100-109",
"HUNTINGDON","Age unknown","8.0"
"MIFFLIN","20-29","1960"
"BUCKS","70-79","8486"
"TIOGA","10-19","920"
"DAUPHIN","90-99","693"
"BRADFORD","50-59","2606"
"BEDFORD","60-69","1611"
"INDIANA","Age unknown",
"WESTMORELAND","10-19","9637"
"PHILADELPHIA","10-19","35790"
"FOREST","50-59","370"
"LEBANON","50-59","5733"
"CAMBRIA","40-49","5607"
"CLINTON","10-19","1142"
"CLEARFIELD","30-39","3215"
"PENNSYLVANIA","50-59","442167"
"NORTHAMPTON","30-39","13509"
"JUNIATA","80-89","313"
"JUNIATA","100-109","5"
"LEBANON","20-29","6319"
"BLAIR","100-109","20"
"SCHUYLKILL","50-59","5743"
"INDIANA","0-9","906"
"PERRY","70-79","741"
"MCKEAN","20-29","1307"
"LEHIGH","50-59","13313"
"WESTMORELAND","50-59","14035"
"NORTHUMBERLAND","30-39","4034"
"BLAIR","90-99","553"
"BERKS","80-89","3554"
"PERRY","90-99","122"
"MERCER","60-69","3116"
"SUSQUEHANNA","0-9","688"
"PERRY","20-29","1350"
"WASHINGTON","50-59","8623"
"NORTHAMPTON","0-9","7416"
"BLAIR","10-19","3522"
"GREENE","90-99","92"
"JUNIATA","10-19","478"
"ARMSTRONG","30-39","2380"
"YORK","90-99","1210"
"WASHINGTON","90-99","628"
"BEDFORD","10-19","1163"
"CLARION","40-49","1199"
"SNYDER","80-89","338"
"LAWRENCE","Age unknown",
"MCKEAN","40-49","1245"
"TIOGA","40-49","1193"
"LUZERNE","50-59","11615"
"LEBANON","90-99","576"
"ELK","30-39","1081"
"WARREN","70-79","687"
"MONTOUR","30-39","827"
"LEHIGH","60-69","9299"
"WYOMING","20-29","840"
"COLUMBIA","20-29","3072"
"MERCER","50-59","3921"
"BUTLER","70-79","3420"
"UNION","20-29","2247"
"MONTOUR","90-99","135"
"SULLIVAN","30-39","176"
"SCHUYLKILL","10-19","4111"
"NORTHAMPTON","40-49","12041"
"LEHIGH","Age unknown","40"
"TIOGA","0-9","643"
"LYCOMING","Age unknown",
"WAYNE","20-29","1604"
"COLUMBIA","10-19","2094"
"FRANKLIN","30-39","6955"
"ALLEGHENY","70-79","16783"
"LUZERNE","Age unknown","38"
"LAWRENCE","30-39","3138"
"JEFFERSON","50-59","1490"
"SOMERSET","80-89","855"
"WAYNE","100-109","9"
"MCKEAN","100-109",
"ARMSTRONG","0-9","866"
"WAYNE","80-89","438"
"LYCOMING","0-9","1858"
"YORK","80-89","3878"
"PENNSYLVANIA","Age unknown","804"
"SULLIVAN","70-79","135"
"LACKAWANNA","90-99","821"
"PHILADELPHIA","50-59","42406"
"MONTOUR","70-79","446"
"NORTHAMPTON","20-29","14980"
"ELK","70-79","577"
"VENANGO","20-29","1641"
"DAUPHIN","60-69","6591"
"LANCASTER","10-19","15200"
"WARREN","40-49","1114"
"ELK","60-69","1003"
"CENTRE","80-89","1067"
"NORTHAMPTON","50-59","12373"
"LEHIGH","90-99","1028"
"YORK","60-69","13448"
"MONTOUR","60-69","577"
"POTTER","90-99","47"
"ADAMS","40-49","3722"
"LANCASTER","20-29","22000"
"SCHUYLKILL","Age unknown","6"
"NORTHAMPTON","Age unknown","15"
"CARBON","10-19","2088"
"JEFFERSON","60-69","1283"
"FULTON","20-29","625"
"SOMERSET","90-99","321"
"SNYDER","10-19","951"
"WASHINGTON","100-109","26"
"HUNTINGDON","100-109","7"
"UNION","100-109","9"
"JUNIATA","50-59","857"
"CLEARFIELD","0-9","1161"
"UNION","80-89","502"
"BUTLER","40-49","6749"
"PIKE","30-39","1529"
"NORTHUMBERLAND","Age unknown",
"CARBON","90-99","247"
"PIKE","0-9","865"
"SOMERSET","40-49","3058"
"FRANKLIN","90-99","500"
"CAMERON","60-69","131"
"CAMERON","90-99","24"
"BUTLER","30-39","7297"
"UNION","10-19","1584"
"CRAWFORD","40-49","3036"
"NORTHUMBERLAND","90-99","429"
"PENNSYLVANIA","10-19","365660"
"INDIANA","30-39","2760"
"BEDFORD","40-49","1627"
"DELAWARE","70-79","6757"
"FAYETTE","20-29","5618"
"PERRY","100-109","6.0"
"SULLIVAN","50-59","183"
"WAYNE","70-79","836"
"WYOMING","10-19","784"
"SOMERSET","20-29","2671"
"MONROE","90-99","316"
"PIKE","Age unknown",
"SULLIVAN","20-29","129"
"BEDFORD","90-99","194"
"JUNIATA","90-99","120"
"WAYNE","60-69","1341"
"HUNTINGDON","80-89","477"
"CUMBERLAND","10-19","6143"
"PERRY","30-39","1410"
"NORTHAMPTON","60-69","9007"
"VENANGO","80-89","571"
"NORTHAMPTON","10-19","11611"
"SNYDER","20-29","1262"
"FRANKLIN","20-29","6871"
"ARMSTRONG","20-29","2488"
"POTTER","100-109",
"FRANKLIN","40-49","6259"
"CAMBRIA","0-9","2389"
"BUCKS","90-99","1882"
"PERRY","Age unknown","11"
"HUNTINGDON","50-59","1893"
"MONROE","100-109","13"
"INDIANA","40-49","2663"
"PHILADELPHIA","60-69","32316"
"LUZERNE","30-39","13650"
"COLUMBIA","40-49","2327"
"FRANKLIN","100-109","9"
"SOMERSET","70-79","1634"
"WYOMING","70-79","416"
"LAWRENCE","10-19","2212"
"BRADFORD","0-9","1527"
"MERCER","80-89","1143"
"LAWRENCE","40-49","2804"
"CUMBERLAND","0-9","3807"
"BUTLER","10-19","5818"
"UNION","0-9","562"
"MONTGOMERY","50-59","24766"
"SULLIVAN","100-109",
"SUSQUEHANNA","Age unknown",
"PIKE","10-19","1758"
"COLUMBIA","30-39","2484"
"BEAVER","Age unknown",
"WARREN","10-19","800"
"CARBON","60-69","2026"
"BLAIR","50-59","4799"
"ADAMS","30-39","4006"
"TIOGA","Age unknown",
"BRADFORD","80-89","749"
"VENANGO","40-49","1714"
"PENNSYLVANIA","30-39","511438"
"MONROE","20-29","6848"
"UNION","Age unknown",
"MCKEAN","60-69","1007"
"CAMERON","0-9","47"
"FRANKLIN","80-89","1670"
"CHESTER","60-69","10296"
"PHILADELPHIA","30-39","70141"
"INDIANA","100-109","17"
"VENANGO","Age unknown",
"BRADFORD","100-109","7"
"BERKS","100-109","56"
"ERIE","Age unknown","7"
"DELAWARE","100-109","81"
"LUZERNE","100-109","59"
"LUZERNE","80-89","2746"
"FAYETTE","60-69","4264"
"LEHIGH","40-49","14413"
"WARREN","Age unknown",
"WYOMING","60-69","614"
"CENTRE","70-79","1908"
"CAMBRIA","80-89","1432"
"COLUMBIA","100-109","13"
"WARREN","100-109","12.0"
"CRAWFORD","70-79","1784"
"WESTMORELAND","0-9","5168"
"CAMBRIA","Age unknown","12"
"COLUMBIA","50-59","2382"
"FAYETTE","70-79","2619"
"FOREST","40-49","409"
"WASHINGTON","20-29","8513"
"WAYNE","Age unknown",
"LEBANON","10-19","4620"
"FAYETTE","0-9","1820"
"PHILADELPHIA","100-109","180"
"CHESTER","100-109","54"
"WYOMING","80-89","182"
"PIKE","100-109","5"
"BUTLER","Age unknown","21"
"SCHUYLKILL","30-39","5863"
"SOMERSET","10-19","1912"
"MONTOUR","20-29","696"
"CAMERON","50-59","126"
"MERCER","100-109","35"
"NORTHAMPTON","70-79","5211"
"GREENE","30-39","1430"
"INDIANA","10-19","2145"
"DAUPHIN","Age unknown","30"
"GREENE","0-9","492"
"WYOMING","Age unknown",
"UNION","40-49","1659"
"MIFFLIN","70-79","1171"
"ADAMS","50-59","4327"
"CENTRE","10-19","6224"
"CLEARFIELD","10-19","2325"
"WYOMING","100-109",
"LAWRENCE","50-59","3146"
"PIKE","70-79","720"
"BEAVER","70-79","3153"
"MONROE","50-59","6758"
"BERKS","30-39","18382"
"GREENE","50-59","1537"
"BRADFORD","30-39","2628"
"BEDFORD","50-59","1869"
"BUTLER","90-99","854"
"ERIE","50-59","8626"
"CENTRE","90-99","372"
"CUMBERLAND","30-39","9599"
"INDIANA","90-99","268"
"BEDFORD","80-89","591"
"POTTER","60-69","483"
"DAUPHIN","50-59","8667"
"CLEARFIELD","100-109","12"
"SNYDER","50-59","1340"
"LACKAWANNA","80-89","1788"
"ELK","20-29","1094"
"CLEARFIELD","40-49","3133"
"FULTON","40-49","646"
"DAUPHIN","80-89","1833"
"UNION","50-59","1724"
"LYCOMING","30-39","5311"
"ARMSTRONG","60-69","2164"
"CLINTON","60-69","1172"
"CLEARFIELD","60-69","2490"
"CLINTON","90-99","114"
"WAYNE","90-99","143"
"CARBON","0-9","1323"
"CLARION","10-19","1048"
"HUNTINGDON","70-79","953"
"SOMERSET","60-69","2724"
"HUNTINGDON","30-39","2178"
"SCHUYLKILL","70-79","2618"
"COLUMBIA","0-9","1201"
"VENANGO","30-39","1803"
"ADAMS","80-89","1077"
"DELAWARE","10-19","15144"
"BEAVER","40-49","6175"
"FAYETTE","50-59","5438"
"CLARION","80-89","382"
"BUCKS","Age unknown","21"
"BEDFORD","70-79","1037"
"CUMBERLAND","Age unknown","50"
"LANCASTER","70-79","8856"
"TIOGA","20-29","1304"
"ARMSTRONG","50-59","2600"
"WESTMORELAND","60-69","11103"
"MIFFLIN","Age unknown",
"WASHINGTON","0-9","4203"
"CAMBRIA","10-19","4241"
"SOMERSET","0-9","1109"
"BRADFORD","60-69","1968"
"FULTON","80-89","168"
"LAWRENCE","60-69","2710"
"GREENE","40-49","1485"
"WYOMING","30-39","896"
"BUTLER","100-109","42"
"WESTMORELAND","90-99","1358"
"WESTMORELAND","100-109","48"
"CHESTER","Age unknown","35"
"JEFFERSON","30-39","1464"
"LYCOMING","90-99","549"
"SNYDER","40-49","1207"
"CRAWFORD","90-99","300"
"LEHIGH","70-79","4708"
"PHILADELPHIA","40-49","45779"
"SUSQUEHANNA","80-89","326"
"ARMSTRONG","80-89","751"
"MONTGOMERY","80-89","5739"
"ARMSTRONG","40-49","2327"
"MONROE","10-19","5691"
"ALLEGHENY","80-89","9044"
"SOMERSET","30-39","2990"
"SNYDER","Age unknown",
"CARBON","100-109","11"
"CRAWFORD","20-29","3138"
"ALLEGHENY","90-99","3864"
"SOMERSET","Age unknown","15"
"ERIE","60-69","6618"
"ALLEGHENY","20-29","58678"
"WARREN","50-59","1357"
"CENTRE","30-39","4728"
"CLEARFIELD","20-29","3249"
"MONROE","40-49","5985"
"WAYNE","30-39","1840"
"ADAMS","0-9","1948"
"LAWRENCE","90-99","366"
"DELAWARE","60-69","13591"
"JEFFERSON","100-109","5"
"ELK","100-109","5"
"HUNTINGDON","60-69","1435"
"CLARION","60-69","1119"
"SCHUYLKILL","0-9","2444"
"VENANGO","90-99","177"
"CLEARFIELD","70-79","1562"
"WASHINGTON","30-39","8763"
"FRANKLIN","0-9","3127"
"HUNTINGDON","10-19","1061"
"LUZERNE","70-79","5125"
"ERIE","20-29","11398"
"MCKEAN","90-99","174"
"SUSQUEHANNA","50-59","1271"
"DAUPHIN","10-19","7781"
"FRANKLIN","50-59","6542"
"YORK","20-29","20418"
"COLUMBIA","90-99","202"
"MONTOUR","Age unknown","25"
"LANCASTER","80-89","5019"
"CRAWFORD","30-39","3382"
"MERCER","70-79","1964"
"LANCASTER","50-59","18175"
"FAYETTE","80-89","1298"
"DELAWARE","30-39","21223"
"PENNSYLVANIA","40-49","430049"
"POTTER","50-59","532"
"CUMBERLAND","90-99","802"
"POTTER","30-39","429"
"CAMBRIA","50-59","5782"
"FULTON","0-9","307"
"YORK","0-9","10315"
"CRAWFORD","100-109","18"
"MIFFLIN","60-69","1637"
"HUNTINGDON","0-9","452"
"ALLEGHENY","10-19","33082"
"CRAWFORD","10-19","2367"
"PIKE","50-59","1930"
"NORTHAMPTON","100-109","47"
"JUNIATA","0-9","241"
"PIKE","80-89","319"
"NORTHUMBERLAND","70-79","1933"
"MONTOUR","80-89","267"
"FULTON","30-39","590"
"MONTGOMERY","60-69","18421"
"FULTON","10-19","535"
"VENANGO","50-59","1953"
"LEBANON","Age unknown","8"
"ALLEGHENY","40-49","39624"
"CLEARFIELD","50-59","3421"
"PERRY","0-9","496"
"DAUPHIN","20-29","11613"
"FAYETTE","100-109","13"
"FRANKLIN","70-79","3319"
"MERCER","40-49","3425"
"FOREST","80-89","67"
"BRADFORD","70-79","1330"
"MERCER","30-39","3653"
"WYOMING","50-59","811"
"TIOGA","70-79","711"
"LEBANON","80-89","1587"
"NORTHAMPTON","80-89","2873"
"SUSQUEHANNA","30-39","1224"
"MERCER","10-19","2920"
"JUNIATA","20-29","685"
"FOREST","60-69","250"
"ALLEGHENY","60-69","32308"
"SUSQUEHANNA","40-49","1109"
"DELAWARE","Age unknown","35"
"LACKAWANNA","100-109","51"
"FRANKLIN","60-69","4977"
"CENTRE","100-109","14"
"PIKE","40-49","1658"
"WESTMORELAND","40-49","12242"
"BUCKS","100-109","87"
"NORTHUMBERLAND","0-9","1701"
"HUNTINGDON","20-29","2047"
"JEFFERSON","0-9","522"
"CLARION","20-29","1395"
"BUCKS","60-69","16674"
"NORTHUMBERLAND","80-89","1081"
"BLAIR","30-39","4893"
"GREENE","80-89","287"
"CHESTER","50-59","15241"
"SCHUYLKILL","100-109","32"
"ERIE","100-109","43"
"BUTLER","20-29","7705"
"MONTOUR","0-9","388"
"SCHUYLKILL","90-99","577"
"GREENE","10-19","984"
"MONROE","70-79","2279"
"YORK","70-79","7825"
"UNION","70-79","897"
"LEBANON","40-49","5676"
"JUNIATA","70-79","481"
"JUNIATA","30-39","671"
"ELK","50-59","1362"
"WASHINGTON","70-79","3917"
"DELAWARE","90-99","1575"
"PENNSYLVANIA","100-109","1842"
"BUCKS","50-59","22152"
"BUCKS","80-89","4644"
"NORTHAMPTON","90-99","1276"
"FRANKLIN","10-19","5227"
"ADAMS","10-19","3399"
"PENNSYLVANIA","70-79","192034"
"DELAWARE","50-59","17555"
"CLINTON","80-89","383"
"PERRY","40-49","1384"
"ERIE","40-49","8862"
"CAMBRIA","70-79","2794"
"LUZERNE","0-9","6091"
"YORK","40-49","18908"
"LEHIGH","10-19","12968"
"CAMERON","80-89","48"
"PENNSYLVANIA","0-9","227148"
"CHESTER","70-79","5411"
"LAWRENCE","80-89","943"
"BEAVER","0-9","2655"
"DAUPHIN","70-79","3714"
"BLAIR","40-49","4454"
"WASHINGTON","Age unknown","6"
"BRADFORD","10-19","2135"
"MIFFLIN","100-109","13"
"BRADFORD","90-99","225"
"NORTHUMBERLAND","10-19","2737"
"BERKS","90-99","1358"
"MONROE","80-89","939"
"MIFFLIN","0-9","706"
"ALLEGHENY","100-109","164"
"MCKEAN","80-89","426"
"DAUPHIN","0-9","4815"
"VENANGO","0-9","595"
"BERKS","20-29","19093"
"ELK","40-49","1060"
"CHESTER","20-29","17409"
"VENANGO","60-69","1707"
"SUSQUEHANNA","70-79","600"
"SULLIVAN","90-99","28"
"FULTON","90-99","35"
"SULLIVAN","60-69","180"
"BUTLER","50-59","7710"
"FAYETTE","40-49","4902"
"BLAIR","70-79","2462"
"LACKAWANNA","70-79","3117"
"FOREST","70-79","166"
"TIOGA","80-89","452"
"ADAMS","20-29","4010"
"LYCOMING","60-69","3417"
"YORK","100-109","47"
"PENNSYLVANIA","80-89","103160"
"CRAWFORD","80-89","938"
"CENTRE","0-9","2358"
"CLARION","0-9","423"
"LYCOMING","100-109","31"
"MONTGOMERY","0-9","14758"
"WASHINGTON","60-69","6992"
"YORK","Age unknown","18"
"LYCOMING","50-59","4410"
"CLINTON","50-59","1468"
"WASHINGTON","80-89","1849"
"FOREST","30-39","569"
"MERCER","0-9","1151"
"MERCER","90-99","521"
"BERKS","Age unknown","25"
"MONTGOMERY","40-49","24999"
"PHILADELPHIA","70-79","16777"
"POTTER","70-79","353"
"LEBANON","100-109","29"
"FAYETTE","10-19","3670"
"SNYDER","100-109","6"
"SULLIVAN","40-49","137"
"LANCASTER","100-109","94"
"CUMBERLAND","60-69","5721"
"MONTGOMERY","20-29","28049"
"SUSQUEHANNA","90-99","115"
"CRAWFORD","60-69","2743"
"BLAIR","20-29","4816"
"DELAWARE","40-49","17513"
"DAUPHIN","30-39","11254"
"CARBON","30-39","2637"
"SNYDER","0-9","524"
"ARMSTRONG","100-109","8"
"CAMERON","40-49","103"
"WARREN","30-39","1261"
"SOMERSET","100-109","21"
"SCHUYLKILL","80-89","1388"
"BEAVER","20-29","6442"
"BEDFORD","100-109","9"
"PIKE","90-99","94"
"NORTHUMBERLAND","100-109","26"
"CAMBRIA","100-109","30"
"CAMERON","20-29","124"
"WARREN","60-69","1081"
"CENTRE","20-29","12149"
"DELAWARE","20-29","20240"
"SULLIVAN","10-19","127"
"ERIE","80-89","1965"
"CARBON","80-89","639"
"MONTGOMERY","100-109","111"
"MONTGOMERY","70-79","9887"
"BEAVER","10-19","4883"
"CARBON","70-79","1185"
"BUTLER","80-89","1957"
"CARBON","50-59","2694"
"LANCASTER","0-9","9629"
"MONROE","Age unknown","11"
"SCHUYLKILL","40-49","5607"
"MCKEAN","30-39","1302"
"PHILADELPHIA","80-89","8248"
"WASHINGTON","10-19","6693"
"WAYNE","0-9","807"
"NORTHUMBERLAND","20-29","3782"
"FRANKLIN","Age unknown","32"
"ADAMS","70-79","2135"
"BERKS","50-59","16401"
"BLAIR","80-89","1403"
"BERKS","0-9","8515"
"CAMERON","10-19","97"
"ELK","80-89","344"
"WESTMORELAND","70-79","6569"
"LANCASTER","60-69","14591"
"CAMBRIA","90-99","599"
"PHILADELPHIA","20-29","75655"
"SUSQUEHANNA","60-69","1053"
"LACKAWANNA","0-9","4355"
"LACKAWANNA","50-59","6448"
"POTTER","40-49","441"
"LUZERNE","90-99","1257"
"MIFFLIN","30-39","1956"
"INDIANA","70-79","1415"
"CAMERON","30-39","128"
"MONROE","30-39","6264"
"ERIE","70-79","3752"
"WYOMING","40-49","800"
"HUNTINGDON","90-99","161"
"WYOMING","90-99","56"
"CENTRE","60-69","3165"
"DELAWARE","0-9","10568"
"WAYNE","40-49","1609"
"LEHIGH","80-89","2559"
"NORTHUMBERLAND","50-59","3586"
"LAWRENCE","70-79","1475"
"FOREST","20-29","326"
"BRADFORD","20-29","2625"
"SNYDER","60-69","1100"
"SUSQUEHANNA","100-109","7"
"WARREN","80-89","388"
"LEHIGH","30-39","16482"
"PERRY","60-69","1136"
"SCHUYLKILL","60-69","4370"
"BUCKS","20-29","20910"
"ARMSTRONG","70-79","1277"
"VENANGO","10-19","1279"
"ALLEGHENY","0-9","23653"
"CHESTER","10-19","15201"
"PHILADELPHIA","0-9","27743"
"POTTER","10-19","389"
"LUZERNE","20-29","13802"
"TIOGA","50-59","1301"
"WASHINGTON","40-49","8306"
"JEFFERSON","90-99","170"
"MIFFLIN","90-99","212"
"MCKEAN","70-79","667"
