"geographic_area","geographic_name","gender","age","ethnicity","year","time_period","time_period_dates","hiv_incidence_rate","hiv_incidence_rate_description","newly_diagnosed_hiv_count","newly_diagnosed_hiv_count_1","population_estimate","population_estimate_1","population_estimate_notes","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","longitude","geocoded_column"
"County","Crawford","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","20","20","42","39","41.68546907","-80.11321083","POINT (-80.11321083 41.68546907)"
"County","Cumberland","All","All (0 to 99 years)","All","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","21","21","42","41","40.16759839","-77.26866271","POINT (-77.26866271 40.16759839)"
"County","Snyder","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"County","Fayette","All","All (0 to 99 years)","All","2016","2016 Q4","10/1/2016-12/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","26","26","42","51","39.9194478","-79.65189635","POINT (-79.65189635 39.9194478)"
"County","Clearfield","All","All (0 to 99 years)","All","2017","2017 Annual","1/1/2017-12/31/2017","8.69","Rate of new HIV diagnoses per 100,000 individuals","7","New HIV diagnoses","80539","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","17","17","42","33","41.000429","-78.47558343","POINT (-78.47558343 41.000429)"
"State","Commonwealth","All","25 to 29 years","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","4","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Snyder","All","All (0 to 99 years)","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"County","Fulton","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","29","29","42","57","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Wyoming","All","All (0 to 99 years)","All","2019","2019 Annual","1/1/2019-12/31/2019","0","Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses","27327","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","66","66","42","131","41.51892488","-76.01813003","POINT (-76.01813003 41.51892488)"
"County","Cameron","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020","0","Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses","4512","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","12","12","42","23","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"County","Somerset","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","56","56","42","111","39.97146299","-79.03100206","POINT (-79.03100206 39.97146299)"
"County","Clearfield","All","All (0 to 99 years)","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","17","17","42","33","41.000429","-78.47558343","POINT (-78.47558343 41.000429)"
"County","Bucks","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses per 100,000 individuals","4","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","9","9","42","17","40.33501133","-75.11291241","POINT (-75.11291241 40.33501133)"
"State","Commonwealth","All","All (0 to 99 years)","Asian/Pacific","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Centre","All","All (0 to 99 years)","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","14","14","42","27","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Juniata","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","34","34","42","67","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"County","Union","All","All (0 to 99 years)","All","2018","2018 Q2","4/1/2018-6/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","60","60","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"State","Commonwealth","All","30 to 34 years","All","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","43","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Armstrong","All","All (0 to 99 years)","All","2016","2016 Annual","1/1/2016-12/31/2016","4.44","Rate of new HIV diagnoses per 100,000 individuals","3","New HIV diagnoses","67512","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","3","3","42","5","40.81509526","-79.47316899","POINT (-79.47316899 40.81509526)"
"County","Union","All","All (0 to 99 years)","All","2017","2017 Q2","4/1/2017-6/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","60","60","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Venango","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","61","61","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Juniata","All","All (0 to 99 years)","All","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","34","34","42","67","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"County","Jefferson","All","All (0 to 99 years)","All","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","33","33","42","65","41.13139091","-79.00101814","POINT (-79.00101814 41.13139091)"
"State","Commonwealth","All","All (0 to 99 years)","Native American","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Schuylkill","All","All (0 to 99 years)","All","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","54","54","42","107","40.70751243","-76.22332385","POINT (-76.22332385 40.70751243)"
"County","Indiana","All","All (0 to 99 years)","All","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","32","32","42","63","40.65295498","-79.09333493","POINT (-79.09333493 40.65295498)"
"County","Lycoming","All","All (0 to 99 years)","All","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","41","41","42","81","41.34459792","-77.06942457","POINT (-77.06942457 41.34459792)"
"County","Pike","All","All (0 to 99 years)","All","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","52","52","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Erie","All","All (0 to 99 years)","All","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","25","25","42","49","41.99413787","-80.0407591","POINT (-80.0407591 41.99413787)"
"County","Bradford","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","8","8","42","15","41.79117814","-76.51825624","POINT (-76.51825624 41.79117814)"
"County","Lycoming","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","41","41","42","81","41.34459792","-77.06942457","POINT (-77.06942457 41.34459792)"
"County","Tioga","All","All (0 to 99 years)","All","2018","2018 Q4","10/1/2018-12/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","59","59","42","117","41.77333834","-77.25788076","POINT (-77.25788076 41.77333834)"
"County","Schuylkill","All","All (0 to 99 years)","All","2017","2017 Q4","10/1/2017-12/31/2017",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","54","54","42","107","40.70751243","-76.22332385","POINT (-76.22332385 40.70751243)"
"County","Huntingdon","All","All (0 to 99 years)","All","2020","2020 Q2","4/1/2020-6/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","31","31","42","61","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"County","Adams","All","All (0 to 99 years)","All","2016","2016 Q3","7/1/2016-9/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","1","1","42","1","39.87209565","-77.22224271","POINT (-77.22224271 39.87209565)"
"State","Commonwealth","All","All (0 to 99 years)","Hispanic","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses per 100,000 individuals","57","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","All (0 to 99 years)","Black/African American (non-Hispanic)","2016","2016 Q3","7/1/2016-9/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","5","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Wyoming","All","All (0 to 99 years)","All","2017","2017 Annual","1/1/2017-12/31/2017","0","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs","606","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","66","66","42","131","41.51892488","-76.01813003","POINT (-76.01813003 41.51892488)"
"County","Forest","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020","0","Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses","7190","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","27","27","42","53","41.51357876","-79.23780995","POINT (-79.23780995 41.51357876)"
"County","Northumberland","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020","2.19","Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses","91234","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","49","49","42","97","40.85150926","-76.71188423","POINT (-76.71188423 40.85150926)"
"County","Union","All","All (0 to 99 years)","All","2019","2019 Q2","4/1/2019-6/30/2019",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","60","60","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Lackawanna","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","4","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","35","35","42","69","41.43910064","-75.61218345","POINT (-75.61218345 41.43910064)"
"County","York","All","All (0 to 99 years)","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","3","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","67","67","42","133","39.92192531","-76.72576052","POINT (-76.72576052 39.92192531)"
"County","Bradford","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","8","8","42","15","41.79117814","-76.51825624","POINT (-76.51825624 41.79117814)"
"State","Commonwealth","All","35 to 39 years","All","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","87","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Juniata","All","All (0 to 99 years)","All","2019","2019 Annual","1/1/2019-12/31/2019","4.06","Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses","24624","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","34","34","42","67","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"County","Greene","All","All (0 to 99 years)","All","2020","2020 Annual","1/1/2020-12/31/2020","0","Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs","748","Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","30","30","42","59","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Huntingdon","All","All (0 to 99 years)","All","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","31","31","42","61","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"County","Allegheny","All","All (0 to 99 years)","All","2020","2020 Q3","7/1/2020-9/30/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","2","2","42","3","40.46735543","-79.98619843","POINT (-79.98619843 40.46735543)"
"County","Fulton","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","0","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","29","29","42","57","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Forest","All","All (0 to 99 years)","All","2018","2018 Annual","1/1/2018-12/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","27","27","42","53","41.51357876","-79.23780995","POINT (-79.23780995 41.51357876)"
"State","Commonwealth","All","All (0 to 99 years)","Native American","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Bucks","All","All (0 to 99 years)","All","2016","2016 Q2","4/1/2016-6/30/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","9","9","42","17","40.33501133","-75.11291241","POINT (-75.11291241 40.33501133)"
"County","McKean","All","All (0 to 99 years)","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","42","42","42","83","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"County","Delaware","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","23","23","42","45","39.91657867","-75.40627712","POINT (-75.40627712 39.91657867)"
"County","Huntingdon","All","All (0 to 99 years)","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","31","31","42","61","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"State","Commonwealth","All","All (0 to 99 years)","Black/African American (non-Hispanic)","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","36","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","50 to 54 years","All","2019","2019 Q4","10/1/2019-12/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","17","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Snyder","All","All (0 to 99 years)","All","2018","2018 Q3","7/1/2018-9/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
