"county","sex","count"
"NORTHAMPTON","O","9"
"GREENE","O",
"COLUMBIA","O",
"PENNSYLVANIA","O","223"
"MONTGOMERY","M","85191"
"LEBANON","M","18681"
"BEDFORD","O",
"MONTOUR","M","2412"
"DAUPHIN","F","36211"
"BUTLER","M","23298"
"ALLEGHENY","O",
"MERCER","U","123"
"WAYNE","M","6017"
"BLAIR","O",
"BEAVER","O",
"BERKS","M","52870"
"ERIE","F","35160"
"HUNTINGDON","M","6895"
"GREENE","F","4880"
"CARBON","F","9772"
"SUSQUEHANNA","O",
"FRANKLIN","O",
"BUTLER","O",
"POTTER","F","1919"
"ELK","F","4247"
"SUSQUEHANNA","M","4108"
"LUZERNE","M","38736"
"INDIANA","F","10771"
"VENANGO","M","5543"
"CAMERON","U",
"INDIANA","M","8927"
"CHESTER","F","56605"
"PERRY","U","23"
"CENTRE","O",
"JEFFERSON","M","4528"
"BUCKS","F","75126"
"PHILADELPHIA","F","199735"
"LEHIGH","O","7"
"CLINTON","F","5468"
"DAUPHIN","M","29988"
"BLAIR","F","17866"
"CLEARFIELD","O",
"BUTLER","F","27359"
"LACKAWANNA","M","23644"
"BRADFORD","M","8058"
"SNYDER","F","4744"
"LANCASTER","M","62032"
"UNION","M","5897"
"SNYDER","U","16"
"SULLIVAN","M","561"
"CUMBERLAND","O",
"UNION","U","680"
"PHILADELPHIA","M","157837"
"DAUPHIN","O",
"MONTOUR","F","2869"
"MCKEAN","M","4235"
"LEHIGH","U","155"
"ELK","U","5.0"
"CHESTER","U","382"
"CAMERON","F","488"
"FULTON","U","5"
"LEBANON","F","22248"
"JUNIATA","M","2389"
"LAWRENCE","U","44"
"CAMBRIA","F","21038"
"DELAWARE","U","500"
"YORK","M","61742"
"SULLIVAN","F","680"
"CAMERON","O",
"LACKAWANNA","O","6"
"SCHUYLKILL","M","18300"
"MERCER","M","11806"
"DELAWARE","F","69915"
"JEFFERSON","U",
"MCKEAN","F","4781"
"NORTHAMPTON","M","42045"
"BRADFORD","O",
"LAWRENCE","F","11747"
"CAMBRIA","U","59"
"LANCASTER","O",
"CLEARFIELD","M","10352"
"WASHINGTON","U","283"
"LAWRENCE","O",
"CRAWFORD","O",
"BEDFORD","F","6525"
"ADAMS","U","109"
"MONTGOMERY","F","94782"
"LUZERNE","O",
"BEDFORD","U","29"
"ERIE","U","160"
"TIOGA","U","43"
"LAWRENCE","M","9459"
"ADAMS","F","15228"
"PIKE","F","6204"
"MONROE","O",
"CARBON","M","8165"
"ADAMS","M","12987"
"LUZERNE","F","45566"
"GREENE","M","4698"
"CAMBRIA","M","18075"
"POTTER","O",
"SNYDER","O",
"UNION","O",
"WYOMING","O",
"YORK","O",
"BRADFORD","U","83"
"GREENE","U","82"
"LANCASTER","U","171"
"ERIE","O","5"
"LACKAWANNA","U","93"
"MONTOUR","U","32"
"MONROE","U","87"
"BUTLER","U","123"
"CRAWFORD","U","89"
"CENTRE","U","296"
"CUMBERLAND","U","357"
"YORK","U","334"
