"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","court_of_common_pleas_opioid","court_of_common_pleas_opioid_1","court_of_common_pleas_cases","court_of_common_pleas_cases_1","rate_of_court_of_common_pleas","type_of_rate","percent_of_court_of_common","percent_of_court_of_common_1","drug_court_cases","drug_court_cases_description","successfully_completed_drug","successfully_completed_drug_1","opioid_drug_court_cases","opioid_drug_court_cases_1","successfully_completed_opioid","successfully_completed_opioid_1","percent_of_drug_court_cases","percent_of_drug_court_cases_1","percent_of_drug_court_cases_2","percent_of_drug_court_cases_3","percent_of_drug_court_cases_4","percent_of_drug_court_cases_5","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude","longitude","geocoded_column"
"County","Somerset","All","All (18+ years)","2018","2018 Q2","4/1/2018-6/30/2018","6","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","56","56","42","111","39.97146299010","-79.03100206110","POINT (-79.0310020611 39.9714629901)"
"County","Elk","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","432","Total number of annual Court of Common Pleas cases","9.26","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","10","Count of discharged drug court cases","2","Count of successfully completed discharged drug court cases","5","Count of discharged drug court cases with an opioid as the drug of choice","1","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.5","Percent of drug court cases list an opioid as the drug of choice","0.2","Percent of drug court cases discharged graduating successfully from the program","0.2","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","24","24","42","047","41.42819416060","-78.64947713220","POINT (-78.6494771322 41.4281941606)"
"State","Commonwealth","All","20 to 24 years","2017","2017 Q4","10/1/2017-12/31/2017","177","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","796","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.22200","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Allegheny","All","All (18+ years)","2016","2016 Q4","10/1/2016-12/31/2016","98","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","2","02","42","003","40.46735542980","-79.98619842820","POINT (-79.9861984282 40.4673554298)"
"County","Adams","All","All (18+ years)","2017","2017 Q4","10/1/2017-12/31/2017","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","1","01","42","001","39.87209565030","-77.22224270760","POINT (-77.2222427076 39.8720956503)"
"County","Fayette","All","All (18+ years)","2017","2017 Q2","4/1/2017-6/30/2017","3","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","26","26","42","051","39.91944780300","-79.65189634640","POINT (-79.6518963464 39.919447803)"
"State","Commonwealth","All","50 to 55 years","2019","2019 Q2","4/1/2019-6/30/2019","33","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","613","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.05400000000000000600","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Venango","All","All (18+ years)","2016","2016 Q1","1/1/2016-3/31/2016","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","61","61","42","121","41.40341258630","-79.76286561040","POINT (-79.7628656104 41.4034125863)"
"State","Commonwealth","Female","All (18+ years)","2016","2016 Q4","10/1/2016-12/31/2016","162","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","916","Total Court of Common Pleas cases are not available",,"Rates by gender are not available","0.17700","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Schuylkill","All","All (18+ years)","2018","2018 Q2","4/1/2018-6/30/2018","3","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","54","54","42","107","40.70751243100","-76.22332385100","POINT (-76.223323851 40.707512431000005)"
"County","Lebanon","All","All (18+ years)","2017","2017 Annual","1/1/2017-12/31/2017","45","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1934","Total number of annual Court of Common Pleas cases","23.27","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","38","38","42","075","40.36759700240","-76.46182574860","POINT (-76.4618257486 40.3675970024)"
"County","Potter","All","All (18+ years)","2016","2016 Q1","1/1/2016-3/31/2016","3","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","53","53","42","105","41.74420643820","-77.89879229390","POINT (-77.8987922939 41.7442064382)"
"County","Lycoming","All","All (18+ years)","2017","2017 Annual","1/1/2017-12/31/2017","46","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1914","Total number of annual Court of Common Pleas cases","24.03","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","12","Count of discharged drug court cases","6","Count of successfully completed discharged drug court cases","10","Count of discharged drug court cases with an opioid as the drug of choice","6","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.8333333333333334","Percent of drug court cases list an opioid as the drug of choice","0.5","Percent of drug court cases discharged graduating successfully from the program","0.6","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","41","41","42","081","41.34459792260","-77.06942456800","POINT (-77.069424568 41.3445979226)"
"County","Clinton","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","18","18","42","035","41.23286273740","-77.64283760460","POINT (-77.6428376046 41.2328627374)"
"County","Westmoreland","All","All (18+ years)","2016","2016 Q3","7/1/2016-9/30/2016","51","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","65","65","42","129","40.31031499850","-79.47134117600","POINT (-79.471341176 40.3103149985)"
"County","Philadelphia","All","All (18+ years)","2017","2017 Q1","1/1/2017-3/31/2017","194","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","51","51","42","101","40.00444353840","-75.14023600200","POINT (-75.140236002 40.0044435384)"
"County","Lehigh","All","All (18+ years)","2016","2016 Q4","10/1/2016-12/31/2016","23","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","39","39","42","077","40.61464794160","-75.60099481180","POINT (-75.6009948118 40.6146479416)"
"County","Montour","All","All (18+ years)","2016","2016 Q3","7/1/2016-9/30/2016","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","47","47","42","093","41.02801824380","-76.66470526680","POINT (-76.6647052668 41.0280182438)"
"County","Somerset","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","5","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","56","56","42","111","39.97146299010","-79.03100206110","POINT (-79.0310020611 39.9714629901)"
"County","Clearfield","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1013","Total number of annual Court of Common Pleas cases","0.99","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","17","17","42","033","41.00042900240","-78.47558342990","POINT (-78.4755834299 41.0004290024)"
"County","Bradford","All","All (18+ years)","2016","2016 Q1","1/1/2016-3/31/2016","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","8","08","42","015","41.79117814010","-76.51825623840","POINT (-76.5182562384 41.7911781401)"
"State","Commonwealth","Female","All (18+ years)","2017","2017 Annual","1/1/2017-12/31/2017","561","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","3589","Total Court of Common Pleas cases are not available",,"Rates by gender are not available","0.15600","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","All (18+ years)","2016","2016 Q2","4/1/2016-6/30/2016","1036","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Fulton","All","All (18+ years)","2018","2018 Q4","10/1/2018-12/31/2018","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","29","29","42","057","39.92487510860","-78.11485045350","POINT (-78.1148504535 39.9248751086)"
"County","Venango","All","All (18+ years)","2018","2018 Q2","4/1/2018-6/30/2018","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","61","61","42","121","41.40341258630","-79.76286561040","POINT (-79.7628656104 41.4034125863)"
"County","Mifflin","All","All (18+ years)","2017","2017 Q1","1/1/2017-3/31/2017","2","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","44","44","42","087","40.61274928040","-77.62003089010","POINT (-77.6200308901 40.6127492804)"
"State","Commonwealth","Male","All (18+ years)","2016","2016 Q1","1/1/2016-3/31/2016","891","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1035","Total Court of Common Pleas cases are not available",,"Rates by gender are not available","0.86100","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Schuylkill","All","All (18+ years)","2017","2017 Q3","7/1/2017-9/30/2017","3","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","54","54","42","107","40.70751243100","-76.22332385100","POINT (-76.223323851 40.707512431000005)"
"County","Butler","All","All (18+ years)","2017","2017 Annual","1/1/2017-12/31/2017","37","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","2720","Total number of annual Court of Common Pleas cases","13.6","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","13","Count of discharged drug court cases","3","Count of successfully completed discharged drug court cases","10","Count of discharged drug court cases with an opioid as the drug of choice","2","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.7692307692307693","Percent of drug court cases list an opioid as the drug of choice","0.23076923076923078","Percent of drug court cases discharged graduating successfully from the program","0.2","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","10","10","42","019","40.91083184830","-79.91711778890","POINT (-79.9171177889 40.9108318483)"
"County","Dauphin","All","All (18+ years)","2018","2018 Q1","1/1/2018-3/31/2018","26","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","22","22","42","043","40.41974635970","-76.77960568020","POINT (-76.7796056802 40.4197463597)"
"County","Chester","All","All (18+ years)","2019","2019 Q1","1/1/2019-3/31/2019","17","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","15","15","42","029","39.97487055660","-75.75626498180","POINT (-75.7562649818 39.9748705566)"
"County","Montgomery","All","All (18+ years)","2017","2017 Q2","4/1/2017-6/30/2017","39","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","46","46","42","091","40.20989873900","-75.37252000720","POINT (-75.3725200072 40.209898739)"
"State","Commonwealth","All","20 to 24 years","2018","2018 Q3","7/1/2018-9/30/2018","124","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","615","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.2019999999999999900","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","50 to 55 years","2017","2017 Q2","4/1/2017-6/30/2017","33","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","935","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.03500","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","40 to 44 years","2017","2017 Q2","4/1/2017-6/30/2017","70","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","935","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.07500","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Mifflin","All","All (18+ years)","2019","2019 Annual","1/1/2019-12/31/2019",,"Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,,,"Percent of total Court of Common Pleas opioid cases are not available","16","Count of discharged drug court cases","13","Count of successfully completed discharged drug court cases","2","Count of discharged drug court cases with an opioid as the drug of choice","2","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.125","Percent of drug court cases list an opioid as the drug of choice","0.8125","Percent of drug court cases discharged graduating successfully from the program","1","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program",,,,,,,
"County","Perry","All","All (18+ years)","2016","2016 Annual","1/1/2016-12/31/2016","10","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","501","Total number of annual Court of Common Pleas cases","19.96","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","50","50","42","099","40.40415317440","-77.25907384960","POINT (-77.2590738496 40.4041531744)"
"County","Lycoming","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","57","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1810","Total number of annual Court of Common Pleas cases","31.49","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","33","Count of discharged drug court cases","16","Count of successfully completed discharged drug court cases","27","Count of discharged drug court cases with an opioid as the drug of choice","14","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.8181818181818182","Percent of drug court cases list an opioid as the drug of choice","0.48484848484848486","Percent of drug court cases discharged graduating successfully from the program","0.5185185185185185","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","41","41","42","081","41.34459792260","-77.06942456800","POINT (-77.069424568 41.3445979226)"
