"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","number_of_days_hospitalized","number_of_days_hospitalized_1","number_of_days_hospitalized_notes","estimated_lost_wages","estimated_lost_wages_desc","estimated_lost_state_income_tax","estimated_lost_state_income_tax_desc","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column","latitude","longitude"
"County","Monroe","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","286","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","34843.86","Lost wages dues to hospitalization for opioid use","1069.71","Estimated state income tax revenue lost during hospitalizations due to opioid use","45","45","42","089","(41.0609178653, -75.3408360302)","POINT (-75.3408360302 41.0609178653)","41.06091787","-75.34083603"
"County","Mifflin","All","All (21 to 64 years)","2019","2019 Q3","7/1/2019-9/30/2019",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","44","44","42","087","(40.6127492804, -77.6200308901)","POINT (-77.6200308901 40.6127492804)","40.61274928","-77.62003089"
"County","Columbia","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","96","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","10146.86","Lost wages dues to hospitalization for opioid use","311.51","Estimated state income tax revenue lost during hospitalizations due to opioid use","19","19","42","037","(41.0491208559, -76.4100217975)","POINT (-76.4100217975 41.0491208559)","41.04912086","-76.4100218"
"County","Wyoming","All","All (21 to 64 years)","2018","2018 Q4","10/1/2018-12/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","66","66","42","131","(41.5189248803, -76.0181300338)","POINT (-76.0181300338 41.5189248803)","41.51892488","-76.01813003"
"County","Mifflin","All","All (21 to 64 years)","2018","2018 Q4","10/1/2018-12/31/2018","15","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1686.43","Lost wages dues to hospitalization for opioid use","51.77","Estimated state income tax revenue lost during hospitalizations due to opioid use","44","44","42","087","(40.6127492804, -77.6200308901)","POINT (-77.6200308901 40.6127492804)","40.61274928","-77.62003089"
"County","Lebanon","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017","71","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","8033.14","Lost wages dues to hospitalization for opioid use","246.62","Estimated state income tax revenue lost during hospitalizations due to opioid use","38","38","42","075","(40.3675970024, -76.4618257486)","POINT (-76.4618257486 40.3675970024)","40.367597","-76.46182575"
"State","Commonwealth","All","50 to 64 years","2018","2018 Q2","4/1/2018-6/30/2018","3338","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","506367.71","Lost wages dues to hospitalization for opioid use","15545.49","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Warren","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","46","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","5625.14","Lost wages dues to hospitalization for opioid use","172.69","Estimated state income tax revenue lost during hospitalizations due to opioid use","62","62","42","123","(41.8167523652, -79.278581578)","POINT (-79.278581578 41.8167523652)","41.81675237","-79.27858158"
"County","Erie","All","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016","326","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","35953.14","Lost wages dues to hospitalization for opioid use","1103.76","Estimated state income tax revenue lost during hospitalizations due to opioid use","25","25","42","049","(41.9941378702, -80.0407591036)","POINT (-80.0407591036 41.9941378702)","41.99413787","-80.0407591"
"County","Northampton","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018","259","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","32893.00","Lost wages dues to hospitalization for opioid use","1009.82","Estimated state income tax revenue lost during hospitalizations due to opioid use","48","48","42","095","(40.754595404, -75.3126372576)","POINT (-75.3126372576 40.754595404)","40.7545954","-75.31263726"
"County","Forest","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","27","27","42","053","(41.5135787577, -79.2378099483)","POINT (-79.2378099483 41.5135787577)","41.51357876","-79.23780995"
"County","Montgomery","All","All (21 to 64 years)","2019","2019 Q1","1/1/2019-3/31/2019","776","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","171385.14","Lost wages dues to hospitalization for opioid use","5261.52","Estimated state income tax revenue lost during hospitalizations due to opioid use","46","46","42","091","(40.209898739, -75.3725200072)","POINT (-75.3725200072 40.209898739)","40.20989874","-75.37252001"
"County","Sullivan","All","All (21 to 64 years)","2017","2017 Q3","7/1/2017-9/30/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)","41.4480994","-76.5147922"
"County","Potter","All","All (21 to 64 years)","2017","2017 Q4","10/1/2017-12/31/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","53","53","42","105","(41.7442064382, -77.8987922939)","POINT (-77.8987922939 41.7442064382)","41.74420644","-77.89879229"
"County","Carbon","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","179","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","18254.57","Lost wages dues to hospitalization for opioid use","560.42","Estimated state income tax revenue lost during hospitalizations due to opioid use","13","13","42","025","(40.9193670081, -75.7110703866)","POINT (-75.7110703866 40.9193670081)","40.91936701","-75.71107039"
"County","Luzerne","All","All (21 to 64 years)","2016","2016 Q4","10/1/2016-12/31/2016","114","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","13289.14","Lost wages dues to hospitalization for opioid use","407.98","Estimated state income tax revenue lost during hospitalizations due to opioid use","40","40","42","079","(41.1783643884, -75.991996098)","POINT (-75.991996098 41.178364388400006)","41.17836439","-75.9919961"
"County","Lycoming","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018","44","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","5261.14","Lost wages dues to hospitalization for opioid use","161.52","Estimated state income tax revenue lost during hospitalizations due to opioid use","41","41","42","081","(41.3445979226, -77.069424568)","POINT (-77.069424568 41.3445979226)","41.34459792","-77.06942457"
"County","Washington","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","305","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","46348.14","Lost wages dues to hospitalization for opioid use","1422.89","Estimated state income tax revenue lost during hospitalizations due to opioid use","63","63","42","125","(40.1910966345, -80.2518008276)","POINT (-80.2518008276 40.1910966345)","40.19109663","-80.25180083"
"County","Lawrence","All","All (21 to 64 years)","2017","2017 Q4","10/1/2017-12/31/2017","106","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","12311.14","Lost wages dues to hospitalization for opioid use","377.95","Estimated state income tax revenue lost during hospitalizations due to opioid use","37","37","42","073","(40.9932503514, -80.3375411446)","POINT (-80.3375411446 40.9932503514)","40.99325035","-80.33754114"
"County","Sullivan","All","All (21 to 64 years)","2019","2019 Q2","4/1/2019-6/30/2019",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)","41.4480994","-76.5147922"
"County","Wayne","All","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","64","64","42","127","(41.6496980525, -75.3051535022)","POINT (-75.3051535022 41.6496980525)","41.64969805","-75.3051535"
"County","Fayette","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018","66","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","7194.00","Lost wages dues to hospitalization for opioid use","220.86","Estimated state income tax revenue lost during hospitalizations due to opioid use","26","26","42","051","(39.919447803, -79.6518963464)","POINT (-79.6518963464 39.919447803)","39.9194478","-79.65189635"
"County","Lehigh","All","All (21 to 64 years)","2018","2018 Q1","1/1/2018-3/31/2018","162","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","24786.00","Lost wages dues to hospitalization for opioid use","760.93","Estimated state income tax revenue lost during hospitalizations due to opioid use","39","39","42","077","(40.6146479416, -75.6009948118)","POINT (-75.6009948118 40.6146479416)","40.61464794","-75.60099481"
"County","Centre","All","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016","78","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","10106.57","Lost wages dues to hospitalization for opioid use","310.27","Estimated state income tax revenue lost during hospitalizations due to opioid use","14","14","42","027","(40.9193135008, -77.8250011212)","POINT (-77.8250011212 40.9193135008)","40.9193135","-77.82500112"
"County","Northampton","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","913","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","116283.86","Lost wages dues to hospitalization for opioid use","3569.91","Estimated state income tax revenue lost during hospitalizations due to opioid use","48","48","42","095","(40.754595404, -75.3126372576)","POINT (-75.3126372576 40.754595404)","40.7545954","-75.31263726"
"County","Clinton","All","All (21 to 64 years)","2018","2018 Q1","1/1/2018-3/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","18","18","42","035","(41.2328627374, -77.6428376046)","POINT (-77.6428376046 41.2328627374)","41.23286274","-77.6428376"
"State","Commonwealth","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","57115","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","8363675.14","Lost wages dues to hospitalization for opioid use","256764.83","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Snyder","All","All (21 to 64 years)","2018","2018 Q4","10/1/2018-12/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","55","55","42","109","(40.7711373692, -77.0725596804)","POINT (-77.0725596804 40.7711373692)","40.77113737","-77.07255968"
"County","Snyder","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","55","55","42","109","(40.7711373692, -77.0725596804)","POINT (-77.0725596804 40.7711373692)","40.77113737","-77.07255968"
"County","Juniata","All","All (21 to 64 years)","2016","2016 Q3","7/1/2016-9/30/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","34","34","42","067","(40.5343300836, -77.405775001)","POINT (-77.405775001 40.5343300836)","40.53433008","-77.405775"
"County","Cambria","All","All (21 to 64 years)","2017","2017 Q1","1/1/2017-3/31/2017","120","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","12325.71","Lost wages dues to hospitalization for opioid use","378.40","Estimated state income tax revenue lost during hospitalizations due to opioid use","11","11","42","021","(40.4912749067, -78.7189417385)","POINT (-78.7189417385 40.4912749067)","40.49127491","-78.71894174"
"County","Lawrence","All","All (21 to 64 years)","2019","2019 Q2","4/1/2019-6/30/2019","40","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","4640.00","Lost wages dues to hospitalization for opioid use","142.45","Estimated state income tax revenue lost during hospitalizations due to opioid use","37","37","42","073","(40.9932503514, -80.3375411446)","POINT (-80.3375411446 40.9932503514)","40.99325035","-80.33754114"
"State","Commonwealth","All","35 to 49 years","2017","2017 Q2","4/1/2017-6/30/2017","5013","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","743093.00","Lost wages dues to hospitalization for opioid use","22812.96","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Potter","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","53","53","42","105","(41.7442064382, -77.8987922939)","POINT (-77.8987922939 41.7442064382)","41.74420644","-77.89879229"
"County","Forest","All","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","27","27","42","053","(41.5135787577, -79.2378099483)","POINT (-79.2378099483 41.5135787577)","41.51357876","-79.23780995"
"County","Indiana","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","138","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","18013.71","Lost wages dues to hospitalization for opioid use","553.02","Estimated state income tax revenue lost during hospitalizations due to opioid use","32","32","42","063","(40.6529549748, -79.0933349286)","POINT (-79.0933349286 40.6529549748)","40.65295497","-79.09333493"
"County","Bucks","All","All (21 to 64 years)","2019","2019 Q1","1/1/2019-3/31/2019","993","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","145545.43","Lost wages dues to hospitalization for opioid use","4468.24","Estimated state income tax revenue lost during hospitalizations due to opioid use","9","09","42","017","(40.335011331, -75.1129124111)","POINT (-75.1129124111 40.335011331)","40.33501133","-75.11291241"
"County","Cumberland","All","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","382","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","49496.29","Lost wages dues to hospitalization for opioid use","1519.54","Estimated state income tax revenue lost during hospitalizations due to opioid use","21","21","42","041","(40.167598388, -77.268662705)","POINT (-77.268662705 40.167598388)","40.16759839","-77.26866271"
"County","Schuylkill","All","All (21 to 64 years)","2018","2018 Q1","1/1/2018-3/31/2018","141","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","16476.86","Lost wages dues to hospitalization for opioid use","505.84","Estimated state income tax revenue lost during hospitalizations due to opioid use","54","54","42","107","(40.707512431, -76.223323851)","POINT (-76.223323851 40.707512431000005)","40.70751243","-76.22332385"
"County","Philadelphia","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","14619","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2514762.71","Lost wages dues to hospitalization for opioid use","77203.22","Estimated state income tax revenue lost during hospitalizations due to opioid use","51","51","42","101","(40.0044435384, -75.140236002)","POINT (-75.140236002 40.0044435384)","40.00444354","-75.140236"
"County","Crawford","All","All (21 to 64 years)","2019","2019 Q1","1/1/2019-3/31/2019","202","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","22912.57","Lost wages dues to hospitalization for opioid use","703.42","Estimated state income tax revenue lost during hospitalizations due to opioid use","20","20","42","039","(41.6854690692, -80.1132108295)","POINT (-80.1132108295 41.6854690692)","41.68546907","-80.11321083"
"County","Allegheny","All","All (21 to 64 years)","2016","2016 Q3","7/1/2016-9/30/2016","959","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","150563.00","Lost wages dues to hospitalization for opioid use","4622.28","Estimated state income tax revenue lost during hospitalizations due to opioid use","2","02","42","003","(40.4673554298, -79.9861984282)","POINT (-79.9861984282 40.4673554298)","40.46735543","-79.98619843"
"County","Juniata","All","All (21 to 64 years)","2018","2018 Q4","10/1/2018-12/31/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","34","34","42","067","(40.5343300836, -77.405775001)","POINT (-77.405775001 40.5343300836)","40.53433008","-77.405775"
"County","Venango","All","All (21 to 64 years)","2016","2016 Q3","7/1/2016-9/30/2016","34","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","3623.43","Lost wages dues to hospitalization for opioid use","111.24","Estimated state income tax revenue lost during hospitalizations due to opioid use","61","61","42","121","(41.4034125863, -79.7628656104)","POINT (-79.7628656104 41.4034125863)","41.40341259","-79.76286561"
"County","Luzerne","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017","85","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","9690.00","Lost wages dues to hospitalization for opioid use","297.48","Estimated state income tax revenue lost during hospitalizations due to opioid use","40","40","42","079","(41.1783643884, -75.991996098)","POINT (-75.991996098 41.178364388400006)","41.17836439","-75.9919961"
"County","Chester","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018","313","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","60319.57","Lost wages dues to hospitalization for opioid use","1851.81","Estimated state income tax revenue lost during hospitalizations due to opioid use","15","15","42","029","(39.9748705566, -75.7562649818)","POINT (-75.7562649818 39.9748705566)","39.97487056","-75.75626498"
"County","Centre","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","11","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1618.57","Lost wages dues to hospitalization for opioid use","49.69","Estimated state income tax revenue lost during hospitalizations due to opioid use","14","14","42","027","(40.9193135008, -77.8250011212)","POINT (-77.8250011212 40.9193135008)","40.9193135","-77.82500112"
"State","Commonwealth","All","35 to 49 years","2019","2019 Q3","7/1/2019-9/30/2019","5191","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","825679.00","Lost wages dues to hospitalization for opioid use","25348.35","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Franklin","All","All (21 to 64 years)","2017","2017 Q1","1/1/2017-3/31/2017","151","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","17192.43","Lost wages dues to hospitalization for opioid use","527.81","Estimated state income tax revenue lost during hospitalizations due to opioid use","28","28","42","055","(39.9278619704, -77.7239884483)","POINT (-77.7239884483 39.9278619704)","39.92786197","-77.72398845"
"County","Bradford","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017","16","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1933.71","Lost wages dues to hospitalization for opioid use","59.37","Estimated state income tax revenue lost during hospitalizations due to opioid use","8","08","42","015","(41.7911781401, -76.5182562384)","POINT (-76.5182562384 41.7911781401)","41.79117814","-76.51825624"
"County","Indiana","All","All (21 to 64 years)","2019","2019 Q2","4/1/2019-6/30/2019","35","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","4455.00","Lost wages dues to hospitalization for opioid use","136.77","Estimated state income tax revenue lost during hospitalizations due to opioid use","32","32","42","063","(40.6529549748, -79.0933349286)","POINT (-79.0933349286 40.6529549748)","40.65295497","-79.09333493"
"County","Huntingdon","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","113","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","11656.86","Lost wages dues to hospitalization for opioid use","357.87","Estimated state income tax revenue lost during hospitalizations due to opioid use","31","31","42","061","(40.4161050032, -77.9827661036)","POINT (-77.9827661036 40.4161050032)","40.416105","-77.9827661"
"County","Delaware","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","12727","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","2094380.14","Lost wages dues to hospitalization for opioid use","64297.47","Estimated state income tax revenue lost during hospitalizations due to opioid use","23","23","42","045","(39.9165786652, -75.4062771212)","POINT (-75.40627712120002 39.9165786652)","39.91657867","-75.40627712"
"County","Cambria","All","All (21 to 64 years)","2018","2018 Q3","7/1/2018-9/30/2018","30","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","3235.71","Lost wages dues to hospitalization for opioid use","99.34","Estimated state income tax revenue lost during hospitalizations due to opioid use","11","11","42","021","(40.4912749067, -78.7189417385)","POINT (-78.7189417385 40.4912749067)","40.49127491","-78.71894174"
"County","Philadelphia","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","3874","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","774800.00","Lost wages dues to hospitalization for opioid use","23786.36","Estimated state income tax revenue lost during hospitalizations due to opioid use","51","51","42","101","(40.0044435384, -75.140236002)","POINT (-75.140236002 40.0044435384)","40.00444354","-75.140236"
"County","Beaver","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018","53","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","6738.57","Lost wages dues to hospitalization for opioid use","206.87","Estimated state income tax revenue lost during hospitalizations due to opioid use","4","04","42","007","(40.6834924548, -80.3510735648)","POINT (-80.3510735648 40.6834924548)","40.68349245","-80.35107356"
"County","Bucks","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","591","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","90929.57","Lost wages dues to hospitalization for opioid use","2791.54","Estimated state income tax revenue lost during hospitalizations due to opioid use","9","09","42","017","(40.335011331, -75.1129124111)","POINT (-75.1129124111 40.335011331)","40.33501133","-75.11291241"
"County","Greene","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","30","30","42","059","(39.8548039342, -80.2294381655)","POINT (-80.2294381655 39.8548039342)","39.85480393","-80.22943817"
"County","Snyder","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","13","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1342.43","Lost wages dues to hospitalization for opioid use","41.21","Estimated state income tax revenue lost during hospitalizations due to opioid use","55","55","42","109","(40.7711373692, -77.0725596804)","POINT (-77.0725596804 40.7711373692)","40.77113737","-77.07255968"
"County","Columbia","All","All (21 to 64 years)","2017","2017 Q2","4/1/2017-6/30/2017","28","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","3036.00","Lost wages dues to hospitalization for opioid use","93.21","Estimated state income tax revenue lost during hospitalizations due to opioid use","19","19","42","037","(41.0491208559, -76.4100217975)","POINT (-76.4100217975 41.0491208559)","41.04912086","-76.4100218"
