"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility","none"
"Local Health Department","Southeastern Utah District Health Department Carbon County","Public Health","28 South 100 East Price UT 84501","PO Box 800      Price UT  84501","435-637-3671","435-637-1933","www.southeastuthealth.org",,"M-F 8:00am - 5:00 pm","Baby your Baby, Cancer Screening, Early Intervention, Environmental Health, Family Planning, Immunizations, Infant Development, Infectious Disease Control, Medicaid-Newborn Health Visits, School Health, STD/HIV, Well Child Physicals, WIC, Family Health, Cholesterol Screening, Blood Pressure Checks & Adult Physical Exams, Work Site Community Heath Fair Screenings.",,"Dependant on Services Provided","Carbon, Emery, Grand, San Juan Counties",,"x",
"Local Health Department","Emery County","Public Health","25 West Main     Castle Dale UT  84513","PO Box 644    Castle Dale UT 84513","435-381-2252","435-381-5635",,,"M-F 8:00 am - 12:00pm. Closed for Lunch 1:00 pm - 5:00pm ",,,,"Emery County Area",,"x",
"Local Health Department","Grand County","Public Health","471 South Main      Suite 4                Moab UT  84532","PO Drawer E     Moab UT  84532","435-259-5602",,,,"Please call for appointment",,,,"Grand County",,"x",
"Local Health Department","San Juan County","Public Health","117 South Main       Monticello UT  84535","PO Box 127      Monticello UT  84535","435-587-2021",,,,"Please call for appointment. Closed for lunch daily.",,,,"San Juan County Monticello Area",,"x",
"Local Health Department","San Juan County","Public Health","196 East Center               Blanding UT 84511","PO Box E         Blanding UT  84511","435-678-2723",,,,"Please call for appointment. Closed on Fridays.",,,,"San Juan County/Blanding Area",,"x",
"Mental Health/ Counseling","Four Corners Community Behavioral Health East Carbon Outreach Clinic","Mental Health Services ","305 Four Corners St East Carbon UT 84520",,"435-888-4411",,"http://www.fourcorners.ws/","Access on web site",,"Outpatient Mental Health treatment, including assessments, therapy, counseling, psychiatrist medication prescription and evaluation. Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, education and prevention","Sliding fee scale based on family income and size, Medicaid accepted","Services determined by initial assessment","East Carbon and surrounding area",,,
"Mental Health/ Counseling","Green River Community Center","Parenting and Life skills classes","155 S Broadway    Green River UT  84525","PO Box 191      Green River UT  84525","435-564-8221",,,,"M-F 8:00am - 6:00pm","Parenting and life skills classes, Certified PRI (substance abuse) classes.  Distance learning and other community services/referral services","none",,"Emery County Area",,,
"Mental Health/ Counseling","LDS Family Services/ Price Agency","Counseling, Resource and Support Group services, Adoption Services","630 W Price River Dr Price UT  84501",,"435-637-2991",,"www.providentliving.org","Access on web site","M-F 8:00am - 5:00pm","Counseling and Resources for individuals, couples and families. Assistance for birth parents facing unplanned pregnancy, Help for couples interested in adoption, Addiction Recovery Program. Eating Disorders, Anger Managers, AMAC program, Educational Related family classes","Fees are dependant on services provided and/or insurance coverage",,"Carbon and Emery counties and surrounding area",,,
"Mental Health/ Counseling","Mountainview Counseling Center","Mental Health and Substance Abuse Services","23 S Carbon Ave #16 Price UT  84501",,"435-613-1160",,,,"M-F 8:00am - 5:00pm by appointment","Psychotherapy to perpetrators and victims, and any court ordered therapy. Substance Abuse and anger management classes. Therapy provided for individuals, couples, and families. ","Sliding Fee scale based on family size, private insurance accepted",,"Carbon and Emery counties and surrounding area",,,
"Mental Health/ Counseling","Carbon County Family Resource Center","Parenting classes","755 N Cedar Hills Drive Castle Valley Center Price UT 84501",,"435-650-3830",,"www.readysetschool.org","Access on web site",,"Parenting classes and resource and referral information, resource library",,,"Carbon county","Spanish","x",
"Mental Health/ Counseling","Delvin McFarlane Counseling","Counseling services","446 E 3000 S      Price UT 84501",,"435-637-3080",,,,"Call for hours, By Appointment","Counseling Services to individuals, couples, and children, including Marriage & couples, depression, anxiety, relationship, school, ADHD, LD, substance abuse. Court ordered counseling, court ordered divorce classes","Dependant on services provided, sliding fee scale available","Services determined by initial assessment","Carbon and Emery counties and surrounding area",,,
"Mental Health/ Counseling","Family Support Center","Parenting classes","108 N 300 E        Price UT 84501",,"435-637-0281 or after hours nursery 435-637-0268",,"www.familysupportcenter.org",,"24 hour on call service available","Parenting classes and resource and referral information, Group and Individual counseling, Crisis/respite nursery ","Sliding fee scale based on family income and size, Medicaid accepted","Counseling services determined by intake procedure","Carbon and Emery counties and surrounding area",,"x",
"Mental Health/ Counseling","Four Corners Community Behavioral Health Emery County/Castle Dale ","Mental Health Services ","45 E 100 S           Castle Dale UT  84513","PO Box 387      Castle Dale UT  84513","435-381-2432",,"http://www.fourcorners.ws/","Access on web site","M-F 8:00am - 5:00pm","Outpatient Mental Health treatment, including assessments, therapy, counseling, psychiatrist medication prescription and evaluation. Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, education and prevention","Sliding fee scale based on family income and size, Medicaid accepted","Services determined by initial assessment","Emery County Area",,"x",
"Mental Health/ Counseling","Lighthouse Life & Learning Center","Counseling and Substance Abuse services","251 W 400 N       Price UT  84502",,"435-637-7540",,,,"M-F 7:30am - 3:30pm  ","Counseling for individuals and groups,  Substance Abuse treatment, parenting classes, victim group and gang prevention.",,,"Carbon and Emery counties and surrounding area",,,
"Mental Health/ Counseling","Four Corners Community Behavioral Health","Mental Health and Substance Abuse Services","575 E 100 S            Price UT  84501","PO Box 867      Price UT  84501","435-637-2358 after hours 435-637-0893","435-637-9141","http://www.fourcorners.ws/","Access on web site","M-F 8:00am - 5:00pm","Outpatient Mental Health treatment, including assessments, therapy, counseling, psychiatrist medication prescription and evaluation. Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, education and prevention, New Heights Club House","Sliding fee scale based on family income and size, Medicaid accepted","Services determined by initial assessment","Carbon and Emery counties surrounding area",,,
"People With Disabilities","Division of Services for People with Disabilities (DSPD) Price","Children and Adults with qualifying disabilities","475 W Price River Dr #262    Price UT 84501",,"435-636-2390","435-623-2892","www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,"Carbon & Emery counties",,"x",
"People With Disabilities","Active Re-Entry","Assistance and services for individuals with disabilities","10 S Fairgrounds Rd Price UT  84501",,"435-637-4950",,"www.arecil.org","active@arecil.org","M-F 8:00am - 5:00pm","Support groups, education and training, PERKIE travels (daily transportation for cancer patients receiving radiation treatment in Provo), Older Blind Program ","Dependent on services provided",,"Carbon & Emery counties","Spanish","x",
"People With Disabilities","Division of Rehabilitation Services (Voc Rehab) Eastern Utah District, Price","Assistance for individuals with disabilities","662 W Price River Dr Price UT  84501-2839",,"435-636-2820 or 1-800-491-7734 Voice/TTY",,"www.usor.utah.gov",,"M-F 8:00am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, guidelines for eligibility on website","Carbon & Emery counties",,"x",
"People With Disabilities","Rise, Inc. ","Services for People with Disabilities and their families","29 N 600 E           Price UT 84501",,"435-613-1640 or 435-613-8183",,"http://www.riseinc.net/","letusknow@utahrise.com",,"Provide support and services to adults and children with developmental disabilities and their families",,"Eligibility determined through the Department of Human Services, Division of Services for People with Disabilities","Carbon and Emery counties and surrounding area","Spanish","x",
"Pregnancy   (Also see Hospitals/Clinics)","Life Line Pregnancy Assistance and Support Center","Pregnancy Support Services","Price UT 84501",,"435-636-0700 or toll free 24 hr line 1-877-636-0700",,"www.lifelinepregnancy.org",,"Call for 24 hours a day, by appointment only","Counseling, Pregnancy Tests, referrals for adoption and foster care. Resource referrals, supplies. Call for an appointment, counselor will meet client at center.",,,"Carbon and Emery counties and surrounding area",,,"x"
"Senior Citizens","Southeastern Utah Area Agency on Aging","Services for Seniors, disabled adults and their caregivers","375 S Carbon Ave    Price UT  84501","PO Box 1106     Price UT  84501","435-637-4268 or 435-637-5444 ","435-637-5448","www.brag.utah.gov/aging.html","mguymon@seualg.dst.ut.us",,"In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,"Residence of Carbon, Emery, and Grand Counties","Carbon, Emery, and Grand counties",,"x",
"Substance Abuse ","Intermountain Specialized Abuse Treatment Center (ISAT)","Mental Health and Substance Abuse Services","23 S Carbon Ave #10 Price UT  84501",,"435-637-4852",,"http://www.isatcenter.org/",,"M-H 9:00am-7:30pm ","Counseling for individuals, couples, families and group therapy. Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, Domestic Violence Victims and Offenders.","Self payment, Medicare, Private health insurance, Military insurance. Sliding fee scale",,"Carbon and Emery counties and surrounding area",,,
"Substance Abuse ","Alcoholics Anonymous (AA) ","Group meetings for alcohol dependency",,,"435-637-7629",,"www.utahaa.org","Access on web site","Call for meetings and locations","Conduct Open and Closed Group Sessions in a 12 Step Program, Locate local meetings and times on web site or by calling 435-637-7629.",,,"Carbon and Emery counties and surrounding area",,,
