"type","name","po_box","phone","contact","title","location_1"
"State Credit Unions","Beckstrand & Associates Emp. CU",,"801-944-7722","Mariam Bahashti","President","6330 S 3000 E #250
SALT LAKE CITY, UT 84121
(40.63493717400007, -111.80588267099995)"
"State Credit Unions","Hercules Credit Union","PO BOX 26977","801-968-9011","Brett Blackburn","President","3141 W 4700 S
SALT LAKE CITY, UT 84126-0977
(40.66756302500005, -111.96642828799997)"
"Federal Credit Unions","DesertView Federal Credit Union","PO BOX 580","435-687-2472","Michael H. Nelson","President","196 N MAIN
HUNTINGTON, UT 84528
(39.329851776000055, -110.96459494899995)"
"State Credit Unions","Employees First Credit Union",,"435-752-8175","Kenneth R. McDaniel","President","885 N 600 W
LOGAN, UT 84321-3424
(41.74676979600008, -111.84942408799998)"
"Federal Credit Unions","Devils Slide Federal Credit Union","PO BOX 588","801-829-6900","Jill J. Carrigan","President","243 E 125 N
MORGAN, UT 84050
(41.04099112100005, -111.67452340699998)"
"Holding Companies","Alliance Data Systems Corp.",,"614-944-5802","Karen A. Morauski","VP","3100 EASTON SQUARE PLACE
COLOMBUS, OH 43219
(40.037108526000054, -82.91192888899997)"
"State Credit Unions","Grand County Credit Union","PO BOX 1047","435-259-6124","Samuel Crane","President","725 N MAIN
MOAB, UT 84532-1047
(38.58465729900007, -109.55570919199994)"
"Financial Associations","Utah Bankers Association",,"801-364-4303","Howard Headlee","President","175 S MAIN ST STE 1420
SALT LAKE CITY, UT 84111
(40.76546900000005, -111.89096339999998)"
"Federal Credit Unions","St. Mark's Employees Federal CU",,"801-268-7660","Steve Fifield","President","1220 E 3900 S STE 2M
SALT LAKE CITY, UT 84124
(40.687043637000045, -111.85628349699999)"
"State Banks","Prime Alliance Bank",,"801-296-2200","Jason F. Price","President","1868 S 500 W
WOODS CROSS, UT 84087
(40.87171844100004, -111.89228254899996)"
"Federal Credit Unions","Goldenwest Federal Credit Union","PO BOX 1111","801-337-8300","Kerry Wahlen","President","5025 S ADAMS
OGDEN, UT 84402
(41.21587681500006, -111.97058872699995)"
"Holding Companies","Peoples Utah Bancorp",,"801-642-3130","Wolf Muelleck","CFO","33 E MAIN ST
AMERICAN FORK, UT 84003
(40.376827708000064, -111.79779033999995)"
"Holding Companies","CMS Energy Corp",,"517-788-1030","Catherine Reynolds","VP & Corporate Secretary","ONE ENERGY PLAZA
JACKSON, MI 49201
(42.246664087000056, -84.40308053999996)"
"Federal Credit Unions","Nephi Western Employees Federal CU","PO BOX 252","435-623-1895","Judy Truscott","President","155 N MAIN ST
NEPHI, UT 84648
(39.710712027000056, -111.83612560399996)"
"State Banks","CIT Bank",,"801-412-6800","Randall Chesler","President","2150 S 1300 E STE 400
SALT LAKE CITY, UT 84106
(40.72430866000008, -111.85384654599994)"
"State Credit Unions","Education First Credit Union",,"801-392-4877","Kent Greenfield","President","1250 COUNTRY HILL DR
OGDEN, UT 84403
(41.18612707900007, -111.94742219999995)"
"State Industrial Banks","Optum Bank, Inc.",,"801-963-6040","Kelvin L. Anderson","President","2525 LAKE PARK BLVD
WEST VALLEY CITY, UT 84120
(40.71525405800003, -111.98896245999998)"
"State Industrial Banks","Transportation Alliance Bank, Inc.",,"801-624-4800","Steven R. Sala","President","4185 HARRISON BLVD STE 200
OGDEN, UT 84403
(41.18710191000008, -111.94904691699998)"
"Federal Credit Unions","Varian SL Employees Federal CU",,"801-973-5052","Tammy Phillips","President","1678 S PIONEER RD
SALT LAKE CITY, UT 84104-4205
(40.73416066900006, -111.95804623799995)"
"National Banks","Chase Bank, N.A.",,"801-481-5350","M. Craig Zollinger","President/CEO","80 W BROADWAY STE 200
SALT LAKE CITY, UT 84101-2024
(40.76293461600005, -111.89340095699998)"
"Federal Credit Unions","American United Family Federal CU",,"801-583-5015","Phillip T. Patten","President","2687 W 7800 S
WEST JORDAN, UT 84088
(40.609482625000055, -111.95733067099997)"
"Federal Credit Unions","Logan Cache Rich Credit Union",,"435-563-6882","Ann J. Godfrey","President","72 E 700 N
LOGAN, UT 84321
(41.74466568500003, -111.83269962699995)"
"Holding Companies","OptumHealth Financial Services Inc.",,"952-917-7631","James Murphy","EVP, Optum","13625 TECHNOLOGY DR
EDEN PRAIRIE, MN 55344
(44.85786271200004, -93.45536510999995)"
"Federal Credit Unions","Grantsville Federal Credit Union","PO BOX 1015","435-884-3804","Melanie G. Allred","President","50 COMMERCIAL AVE
GRANTSVILLE, UT 84029
(40.60044066900008, -112.46546390599997)"
"Holding Companies","Cardworks, Inc.",,"516-576-0404","Albert T. Jaronczyk","CFO","101 CROSSWAYS PARK WEST
WOODBURY, NY 11797
(40.810014229000046, -73.48835042399998)"
"Holding Companies","FJ Management, Inc.",,"801-624-1525","Mark Farmer","Acting CFO","185 S STATE STE 201
SALT LAKE CITY, UT 84111
(40.765281962000074, -111.88819120999995)"
"Holding Companies","First Utah Bancorporation",,"801-274-2136","Ronald E. Sperry","EVP/CFO","3826 S 2300 E
SALT LAKE CITY, UT 84109
(40.68800026000008, -111.82454632399998)"
"State Industrial Banks","USAA Financial Services Corp.",,"210-498-7479","Michael J. Broker","Attorney","USAA BLDG (BK-4-W)
SAN ANTONIO, TX 78288-0553
(29.54025071700005, -98.57255031399995)"
"State Credit Unions","Uintah Credit Union","PO BOX 805","435-789-8353","Dan Olsen","President","789 W MAIN #100
VERNAL, UT 84078-0805
(40.455505026000026, -109.54176998899999)"
"State Credit Unions","S E A Credit Union","PO BOX 355","435-201-2085","William Jolley","President","637 S 720 W
RICHFIELD, UT 84701-0355
(38.75879829300004, -112.09737300399996)"
"State Industrial Banks","The Pitney Bowes Bank, Inc.",,"801-832-4440","Sheldon Woods","President","1245 E BRICKYARD RD STE 250
SALT LAKE CITY, UT 84106-2565
(40.702618107000035, -111.85685515399996)"
"Holding Companies","Capital Community Bancorporation",,"801-356-6699","Chad B. Christensen","CFO","3280 N UNIVERSITY AVE
PROVO, UT 84604
(40.27701475300006, -111.65762447599997)"
"State Banks","Home Savings Bank",,"801-487-0811","John G. Sorensen, Jr.","President","1455 E 2100 S
SALT LAKE CITY, UT 84105
(40.72587806800004, -111.84921091599995)"
"Holding Companies","Brighton Bancorp",,"801-467-3009","Michael Jensen","SVP/CFO","93 W 3300 S
SALT LAKE CITY, UT 84115
(40.69975353400008, -111.89311054899997)"
"Holding Companies","IB Finance Holding Co. LLC",,"313-656-6304","Barbara Taylor","Assistant Secretary","200 RENAISSANCE CTR MC 482 B09 C24
DETROIT, MI 48265
(42.32996048700005, -83.04049712599993)"
"State Industrial Banks","WebBank",,"801-456-8350","Kelly Barnett","President","215 S STATE ST STE 800
SALT LAKE CITY, UT 84111
(40.76464015700003, -111.88819121099999)"
"State Credit Unions","South Sanpete Credit Union",,"435-835-2261","Jake Hill","President","39 S MAIN
MANTI, UT 84642
(39.264846334000026, -111.63698109599994)"
"Federal Credit Unions","Teamsters Local #222 Federal CU","PO BOX 30749","801-972-8122","Alisa Morill","President","2641 S 3270 W STE B
WEST VALLEY CITY, UT 84119
(40.71202072700004, -111.96917382399994)"
"State Credit Unions","UCB Credit Union",,"801-220-0800","Teresa Wilko","President","250 N 1950 W STE B
SALT LAKE CITY, UT 84116-7902
(40.77470759400006, -111.94730879699995)"
"State Credit Unions","Provo Police & Fire Department CU","PO BOX 1402","801-377-5634","Sheldon Lindsay","President","250 W CTR ST STE 114
PROVO, UT 84601
(40.233847971000046, -111.66311048899996)"
"Federal Credit Unions","Dugway Federal Credit Union",,"435-831-4572","Jackie Carnahan","President","BLDG 5326 VALDEZ CIR
DUGWAY, UT 84022
(40.21996342800003, -112.74959219699997)"
"Federal Savings Associations","Washington Federal",,"801-366-2265","Lori Fike","Manager","505 E 200 S
SALT LAKE CITY, UT 84102
(40.76504758300007, -111.87639093999996)"
"State Credit Unions","Kings Peak Credit Union",,"435-722-3795","Paul Nielson","President","180 N 300 E
ROOSEVELT, UT 84066-2005
(40.301842048000026, -109.98729086399999)"
"State Credit Unions","Pacific Horizon Credit Union","PO BOX 166","801-489-3605","Steve Clayson","President","96 E CENTER
SPRINGVILLE, UT 84663-0166
(40.16665265700004, -111.60905003599999)"
"Holding Companies","Celtic Investment, Inc.",,"801-353-6500","Jake Barney","CFO","268 S STATE ST STE 300
SALT LAKE CITY, UT 84111
(40.763541909000025, -111.88826245299998)"
"Holding Companies","Lease Corporation of America",,"248-743-5112","Theodore J. Katikos","SVP/CFO","3150 LIVERNOIS STE 300
TROY, MI 48083
(42.562771991000034, -83.14764311399995)"
"Holding Companies","Steel Partners Holdings LP",,"212-520-2342","John McNamara Jr.",,"590 MADISON AVE 32ND FL
NEW YORK, NY 10022
(40.76222590800006, -73.97244509499996)"
"Federal Credit Unions","Jordan Federal Credit Union","PO BOX 1888","801-566-4195","James Hofeling","President","9260 S 300 E
SANDY, UT 84091-1888
(40.58342398900004, -111.88176807499997)"
"State Credit Unions","Tanner Employees Credit Union",,"801-483-8396","Kevin Louder","President","1865 S MAIN STE 2
SALT LAKE CITY, UT 84115-2385
(40.72967022700004, -111.891084837)"
"Holding Companies","Central Bancorporation",,"801-375-1000","Matt Packard","President","75 N UNIVERSITY AVE
PROVO, UT 84601
(40.23468107100007, -111.65872605699997)"
"State Industrial Banks","Target Bank",,"801-512-8500","Grace Lin","President","299 S MAIN STE 2050
SALT LAKE CITY, UT 84111
(40.76322121700008, -111.89095462999995)"
"State Banks","American Bank of Commerce",,"801-377-4222","Leonel Castillo","President","3670 N UNIVERSITY AVE
PROVO, UT 84604-4424
(40.282455827000035, -111.65840572299999)"
"National Banks","First National Bank of Layton","PO BOX 248","801-544-4241","K. John Jones","President","12 S MAIN ST
LAYTON, UT 84041-0248
(41.05991304300005, -111.96614793199996)"
"State Industrial Banks","BMW Bank of North America, Inc.",,"801-461-6500","Kenneth H. Petersen","Chairman/Pres.","2735 E PARLEY'S WAY STE 301
SALT LAKE CITY, UT 84109
(40.718585276000056, -111.81372639799997)"
"National Banks","U.S. Bank, N.A.",,"801-534-6071","Damon Miller","Utah Market President","15 W S TEMPLE 6TH FL
SALT LAKE CITY, UT 84101
(40.76060713900006, -111.89735800399995)"
"Federal Credit Unions","Associated Federal Emp. Federal CU","PO BOX 11565","801-364-5718","Spring Jensen","President","125 S STATE ST RM 2205
SALT LAKE CITY, UT 84147-0565
(40.76658423300006, -111.88819120899996)"
"State Industrial Banks","Sallie Mae Bank",,"801-320-3700","Paul F. Thome","President & CEO","175 S W TEMPLE STE 600
SALT LAKE CITY, UT 84101
(40.76546111500005, -111.89392158399994)"
"State Credit Unions","Alpine Credit Union","PO BOX 217","801-225-0256","Paul Atkinson","President","1510 N STATE ST
OREM, UT 84059-0217
(40.32482017900003, -111.70712219499995)"
"State Credit Unions","Presto Lewiston Employees Cr. Union",,"435-258-2431","Gaylene Stone","President","1110 E 200 S
LEWISTON, UT 84320
(41.97156395600007, -111.83005758699994)"
"Federal Credit Unions","Utah First Federal Credit Union","PO BOX 2197","801-320-2600","Darin B. Moody","President","200 E S TEMPLE
SALT LAKE CITY, UT 84111
(40.76932250600004, -111.88524779099998)"
"Federal Credit Unions","Midvalley Federal Credit Union",,"801-265-2111","Linda F. Buell","President","5284 COMMERCE DR STE C164
MURRAY, UT 84107
(40.65640469300007, -111.89908743499996)"
"Federal Credit Unions","University First Federal Cr. Union","PO BOX 58025","801-481-8800","Jack Buttars","President","3450 S HIGHLAND DR STE 201
SALT LAKE CITY, UT 84158
(40.69642486500004, -111.84951680899997)"
"National Banks","Wells Fargo Bank NW, N.A.",,"801-246-5526","Greg Winegardner","Regional President","299 S MAIN ST 10TH
SALT LAKE CITY, UT 84111
(40.76293101200008, -111.89095111999995)"
"State Banks","Gunnison Valley Bank","PO BOX 220","435-528-7221","Paul Andersen","President","10 S MAIN ST
GUNNISON, UT 84634-0220
(39.15496078800004, -111.81834544399999)"
"Federal Credit Unions","C U P Federal Credit Union","PO BOX 50526","801-374-1170","Ann Brinkerhoff","President","302 E 1860 S
PROVO, UT 84605-0526
(40.20874721000007, -111.65350299699998)"
"Holding Companies","Home Credit Corporation","PO BOX 651480","801-487-0811","Perry Joyner","Accountant","3539 S MAIN ST
SALT LAKE CITY, UT 84165
(40.69426121400005, -111.89108385299994)"
"State Banks","Capital Community Bank",,"801-356-6699","H. Don Norton","President","3280 N UNIVERSITY AVE
PROVO, UT 84604
(40.27701475300006, -111.65762447599997)"
"State Industrial Banks","Celtic Bank",,"801-363-6500","Wade L. Newman","President","268 S STATE ST #300
SALT LAKE CITY, UT 84111
(40.763541909000025, -111.88826245299998)"
"Holding Companies","Medallion Financial Corp.",,"212-328-2100","Jeffery Yin","General Counsel","437 MADISON AVE 38TH FL
NEW YORK, NY 10022
(40.757551990000024, -73.97578406899999)"
"Federal Credit Unions","Box Elder County Federal Cr. Union","PO BOX 624","435-723-3437","Scott Webre","President","1023 S MEDICAL DR
BRIGHAM CITY, UT 84302
(41.489269239000066, -112.02595738299999)"
"State Credit Unions","Utah Heritage Credit Union","PO BOX 50","435-436-8288","Don Watson","President","84 W MAIN
MORONI, UT 84646
(39.524958266000056, -111.58532809799999)"
"State Credit Unions","Utah Power Credit Union",,"801-708-8900","Dennis Hymas","President","957 E 6600 S
MURRAY, UT 84121
(40.63158799900003, -111.863780368)"
"State Industrial Banks","EnerBank USA",,"801-832-0700","Louise P. Kelly","President","1245 E BRICKYARD RD STE 600
SALT LAKE CITY, UT 84106
(40.702618107000035, -111.85685515399996)"
"State Industrial Banks","American Express Centurion Bank",,"801-945-3000","Robert Garinger","CEO","4315 S 2700 W
SALT LAKE CITY, UT 84184
(40.67689237800005, -111.95794018399994)"
"Holding Companies","SLM Corporation",,"302-283-4009","Laurent Lutz","EVP General Counsel & Secretary","300 CONTINENTAL DR
NEWARK, DE 19713
(39.68509449800007, -75.66148018099994)"
"State Credit Unions","Bailey, Inc. Employees Credit Union",,"801-955-9326","Joyce McDonald","President","5392 PEGGY LANE
WEST VALLEY CITY, UT 84120
(40.67942728300005, -112.01967142199999)"
"State Industrial Banks","Medallion Bank",,"801-284-7065","John M. Taggart","President","1100 E 6600 S STE 510
SALT LAKE CITY, UT 84121
(40.63153269000003, -111.86059085099998)"
"Out-of-State State Banks","Bank of the West",,"801-531-3411","James E. Smith","President","142 E 200 S
SALT LAKE CITY, UT 84111
(40.76497268500003, -111.88669003499996)"
"National Banks","Wells Fargo Bank, N.A.",,"801-246-5526","Greg Winegardner","Regional President","299 S MAIN ST 10TH
SALT LAKE CITY, UT 84111
(40.76293101200008, -111.89095111999995)"
"State Banks","Utah Community Bank",,"801-545-6000","Kent Landvatter","President","820 E 9400 S
SANDY, UT 84094
(40.58058446000007, -111.86886968599998)"
"Holding Companies","Cache Valley Banking Company",,"435-753-3000","Mike Lemon","CFO","101 N MAIN
LOGAN, UT 84321
(41.73354160100007, -111.83496756099998)"
"State Credit Unions","Utah Prison Employees Credit Union","PO BOX 250","801-576-7490","Kristine Argyle","President","14425 BITTER BRUSH LN
DRAPER, UT 84020-0250
(40.48892842500004, -111.89575989799994)"
"Holding Companies","Fry's Electronics, Inc.",,"408-487-4747","Lisa Sovza","Director of ERM","600 BROKAW RD
SAN JOSE, CA 95112
(37.38076593300008, -121.90766439699996)"
"Federal Credit Unions","America First Federal Credit Union","PO BOX 9199","801-627-0900","John Lund","President","4774 S 1300 W BLDG # 3
RIVERDALE, UT 84409-0199
(41.17591757400004, -112.01373852799998)"
"Federal Credit Unions","Utah Community Federal Credit Union",,"801-223-8188","Jeffrey L. Sermon","President","188 W RIVER PARK DR
PROVO, UT 84604
(40.30314653100004, -111.65951239499998)"
"Holding Companies","CIT Group, Inc.",,"973-740-5109","Linda Seufert","Chief Corporate Paralegal","1 CIT DR #3279-1
LIVINGSTON, NJ 7039
(40.770971512000074, -74.36380526199997)"
"Holding Companies","Green Dot Corporation",,"626-765-2003","Jess Unruh","VP","3465 E FOOTHILL BLVD
PASADENA, CA 91107
(34.150168663000045, -118.07825088299995)"
"State Industrial Banks","UBS Bank USA",,"801-741-0310","Lee Carter","President","299 S MAIN STE 2275
SALT LAKE CITY, UT 84111
(40.76322121700008, -111.89095462999995)"
"State Banks","Utah Independent Bank","PO BOX 9","435-529-7459","Craig A. White","President","55 S STATE ST
SALINA, UT 84654-0009
(38.95679450500006, -111.86003880899995)"
"Federal Credit Unions","LU 354 I B E W Federal Credit Union",,"801-975-9693","Linda J. Perschon","President","3405 W 1987 S
SALT LAKE CITY, UT 84104-4942
(40.728285339000024, -111.97269851999994)"
"State Banks","Bank of Utah",,"801-409-5000","Douglas L. DeFries","President","2605 WASHINGTON BLVD
OGDEN, UT 84401-0231
(41.21829072200006, -111.97056693199994)"
"Holding Companies","GV Bancorp, Inc.","PO BOX 220","435-528-7221","Paul Andersen","President","10 S MAIN
GUNNISON, UT 84634-0220
(39.15496078800004, -111.81834544399999)"
"State Industrial Banks","LCA Bank Corporation","PO BOX 684382","435-658-5446","Timothy V. Talbert","President","1375 DEER VALLEY DR STE 218
PARK CITY, UT 84068-4382
(40.65662871500007, -111.50338495099999)"
"State Banks","Lewiston State Bank","PO BOX 32","435-258-2456","Anthony J. Hall","President","17 E CENTER ST
LEWISTON, UT 84320-0032
(41.97594827900008, -111.85564064899995)"
"Holding Companies","All West Bancorp",,"801-545-6000","Phillip C. Gibson","SVP","820 E 9400 S
SANDY, UT 84094
(40.58058446000007, -111.86886968599998)"
"State Credit Unions","Firefighters Credit Union",,"801-487-3219","Thomas R. Gourdin","President","124 W 1400 S
SALT LAKE CITY, UT 84115-5227
(40.739277953000055, -111.89479057599999)"
"Federal Credit Unions","North Sanpete Federal Credit Union",,"435-462-9075","Julie Strate","President","521 E MAIN ST #81
MOUNT PLEASANT, UT 84647
(39.54687592100004, -111.44529862199994)"
"Holding Companies","BOU Bancorp, Inc.",,"801-409-5163","Menah C. Strong","Treasurer","2605 WASHINGTON BLVD
OGDEN, UT 84401
(41.21829072200006, -111.97056693199994)"
"State Credit Unions","Freedom Credit Union",,"801-375-2120","Ken Payne","President","815 N FREEDOM BLVD
PROVO, UT 84604
(40.24463995200006, -111.66213851399999)"
"Federal Savings Associations","Heritage Bank",,"435-628-0433","Brian D. Chadaz","President","95 E TABERNACLE
ST. GEORGE, UT 84770
(37.108217868000054, -113.58156061499994)"
"Out-of-State State Banks","Glacier Bank",,"208-415-5310","Dennis Durfee","Branch President","49 COMMONS LOOP
KALISPELL, MT 59901
(48.21969915300008, -114.32899177899998)"
"State Banks","Grand Valley Bank",,"435-654-7400","David Armbruster","President","2 S MAIN ST
HEBER CITY, UT 84032
(40.50746074500006, -111.41350665999994)"
"State Banks","Liberty Bank",,"801-355-7411","Kendall E. Phillips","President","326 S 500 E
SALT LAKE CITY, UT 84102-4022
(40.76208045800007, -111.87680691299994)"
"Federal Credit Unions","Orem City Employees Federal CU",,"801-229-7168","Thomas J. Phelps","President","56 N STATE ST
OREM, UT 84057
(40.29787451000004, -111.69529948199994)"
"State Industrial Banks","Franklin Templeton Credit Corp.",,"801-952-3300","Tonya Roemer","Executive VP, COO","47 W 200 S STE 500
SALT LAKE CITY, UT 84101
(40.76498305600006, -111.89254016899997)"
"Federal Credit Unions","Gibbons & Reed Emp. Federal CU","PO BOX 30429","801-322-4010","L. William Christopherson","President","1000 WARM SPRINGS RD
SALT LAKE CITY, UT 84130
(40.78687368400006, -111.91099530499997)"
"Federal Savings Associations","Synchrony Bank",,"801-816-4760","Margaret Keane","President & CEO","170 W ELECTION RD STE 125
DRAPER, UT 84020
(40.53517773200008, -111.89507979799998)"
"State Industrial Banks","First Electronic Bank",,"801-572-4004","John Taylor","President","280 W 10200 S STE 200
SANDY, UT 84070
(40.56602777300003, -111.89786025399997)"
"State Banks","State Bank of Southern Utah","PO BOX 340","435-865-2300","Eric J. Schmutz","President","377 N MAIN ST
CEDAR CITY, UT 84721-0340
(37.68375674600003, -113.06188439099998)"
"Federal Credit Unions","Logan Medical Federal CU",,"435-716-5392","Dale D. Howe","President","1400 N 500 E
LOGAN, UT 84341
(41.75658232700005, -111.82119776899998)"
"State Banks","Continental Bank",,"801-595-7000","Michael Fosmark","President","15 W S TEMPLE STE 420
SALT LAKE CITY, UT 84101
(40.76925531900008, -111.89160418899996)"
"State Credit Unions","National J.A.C.L. Credit Union","PO BOX 526178","801-424-5225","Dean Hirabayashi","President","3776 S HIGHLAND DR
SALT LAKE CITY, UT 84152
(40.689374384000075, -111.84613888099994)"
"State Credit Unions","Tri County Credit Union","PO BOX 153","435-676-2754","Nick Reynolds","President","25 W 400 S
PANGUITCH, UT 84759
(37.81649890500006, -112.43607188299995)"
"Out-of-State State Banks","Goldman Sachs Bank USA",,"801-884-1500","Michael J. Civitella","President","222 S MAIN ST
SALT LAKE CITY, UT 84101
(40.76451323600003, -111.89121867999995)"
"State Banks","Marlin Business Bank",,"888-479-9111","Raymond J. Dardano","President","2795 E COTTONWOOD PKWY STE 120
SALT LAKE CITY, UT 84121
(40.63258818000003, -111.81298087099998)"
"National Banks","Morgan Stanley Bank N.A.",,"801-236-3600","Frank K Stepan","Executive Director","201 S MAIN ST 5TH FL
SALT LAKE CITY, UT 84111
(40.764942990000065, -111.89096340099996)"
"Federal Credit Unions","Cyprus Federal Credit Union","PO BOX 9002","801-260-7600","Todd E. Adamson","President","3876 W CENTER VIEW WAY
WEST JORDAN, UT 84084-5661
(40.617728353000075, -111.98298046399998)"
"Holding Companies","American Express TRS Company, Inc.",,"212-640-3532","Juliana O'Reily","VP & Chief Regulatory Counsel","200 VESEY ST
NEW YORK, NY 10285
(40.713844908000056, -74.01418832399997)"
"State Banks","Green Dot Bank",,"801-374-9500","Lewis Goodwin","President","1675 N 200 W BLDG #1
PROVO, UT 84604-2540
(40.25671489500007, -111.66188953399995)"
"Federal Credit Unions","Granite Furniture Emp. Federal CU",,"801-485-1052","Ralph Jenkins","President","1475 W 9000 S
WEST JORDAN, UT 84088
(40.58773330500003, -111.93372963499996)"
"Financial Associations","Utah Assoc. of Financial Services",,"801-355-9188","Doug Foxley","Director","60 S 600 E #150
SALT LAKE CITY, UT 84102
(40.76773724800006, -111.87403194499996)"
"State Banks","Republic Bank",,"801-397-0613","Boyd Lindquist","President","1560 RENAISSANCE TOWNE DR STE 260
BOUNTIFUL, UT 84010
(40.87391056000007, -111.88798519899996)"
"Out-of-State State Banks","AmericanWest Bank",,"509-467-6993","Patrick J. Rusnak","President","41 W RIVERSIDE AVE STE 400
SPOKANE, WA 99201
(47.657952462000026, -117.41289880199997)"
"State Credit Unions","Provo Postal Credit Union","PO BOX 1545","801-374-5856","Scott Johnson","President","345 W 100 S
PROVO, UT 84603-1545
(40.232319963000066, -111.66474322899995)"
"State Credit Unions","San Juan Credit Union",,"435-678-2124","Sherrie Patterson","President","792 S 200 W
BLANDING, UT 84511-0199
(37.613700563000066, -109.48154482299998)"
"State Banks","Bank of American Fork",,"801-756-7681","Richard T. Beard","President","33 E MAIN ST
AMERICAN FORK, UT 84003-2360
(40.376827708000064, -111.79779033999995)"
"State Banks","Cache Valley Bank",,"435-753-3020","J. Gregg Miller","President","101 N MAIN ST
LOGAN, UT 84321-3917
(41.73354160100007, -111.83496756099998)"
"Federal Credit Unions","Valley Wide Federal CU","PO BOX 461","435-789-6918","Monica Marchant","President","1330 E HIGHWAY 40
VERNAL, UT 84078
(40.44977751700003, -109.50322044999996)"
"Federal Credit Unions","Horizon Utah Credit Union","PO BOX 687","801-451-5064","Randy S. Gailey","President","225 S 200 W
FARMINGTON, UT 84025-0687
(40.97648092600008, -111.89188452099995)"
"State Banks","Proficio Bank",,"801-947-6000","Steve Chapton","Interim President","6985 S UNION PARK CTR STE 150
COTTONWOOD HEIGHTS, UT 84047
(40.623861103000024, -111.85808215799995)"
"State Banks","Ally Bank",,"801-790-5000","Barbara Yastine","President","6985 UNION PARK CTR STE 435
MIDVALE, UT 84047
(40.623861103000024, -111.85808215799995)"
"Holding Companies","GE Consumer Finance, Inc.",,"801-816-4784","Jay Simmons","Counsel","170 ELECTION RD STE 125
DRAPER, UT 84020
(40.53517773200008, -111.89507979799998)"
"State Banks","First Utah Bank",,"801-272-9454","Brad R. Baldwin","President","3826 S 2300 E
SALT LAKE CITY, UT 84109-3499
(40.68800026000008, -111.82454632399998)"
