"location_1","county","geoid","unemployment_rate","median_household_income","gini_index","below_poverty_level","below_poverty_level_male","below_poverty_level_male_under_5_years","below_poverty_level_male_5_years","below_poverty_level_male_6_to_11_years","below_poverty_level_male_12_to_14_years","below_poverty_level_male_15_years","below_poverty_level_male_16_and_17_years","below_poverty_level_male_18_to_24_years","below_poverty_level_male_25_to_34_years","below_poverty_level_male_35_to_44_years","below_poverty_level_male_45_to_54_years","below_poverty_level_male_55_to_64_years","below_poverty_level_male_65_to_74_years","below_poverty_level_male_75_years_and_over","below_poverty_level_female","below_poverty_level_female_under_5_years","below_poverty_level_female_5_years","below_poverty_level_female_6_to_11_years","below_poverty_level_female_12_to_14_years","below_poverty_level_female_15_years","below_poverty_level_female_16_and_17_years","below_poverty_level_female_18_to_24_years","below_poverty_level_female_25_to_34_years","below_poverty_level_female_35_to_44_years","below_poverty_level_female_45_to_54_years","below_poverty_level_female_55_to_64_years","below_poverty_level_female_65_to_74_years","below_poverty_level_female_75_years_and_over","at_or_above_poverty_level","at_or_above_poverty_level_male","at_or_above_poverty_level_male_under_5_years","at_or_above_poverty_level_male_5_years","at_or_above_poverty_level_male_6_to_11_years","at_or_above_poverty_level_male_12_to_14_years","at_or_above_poverty_level_male_15_years","at_or_above_poverty_level_male_16_and_17_years","at_or_above_poverty_level_male_18_to_24_years","at_or_above_poverty_level_male_25_to_34_years","at_or_above_poverty_level_male_35_to_44_years","at_or_above_poverty_level_male_45_to_54_years","at_or_above_poverty_level_male_55_to_64_years","at_or_above_poverty_level_male_65_to_74_years","at_or_above_poverty_level_male_75_years_and_over","at_or_above_poverty_level_female","at_or_above_poverty_level_female_under_5_years","at_or_above_poverty_level_female_5_years","at_or_above_poverty_level_female_6_to_11_years","at_or_above_poverty_level_female_12_to_14_years","at_or_above_poverty_level_female_15_years","at_or_above_poverty_level_female_16_and_17_years","at_or_above_poverty_level_female_18_to_24_years","at_or_above_poverty_level_female_25_to_34_years","at_or_above_poverty_level_female_35_to_44_years","at_or_above_poverty_level_female_45_to_54_years","at_or_above_poverty_level_female_55_to_64_years","at_or_above_poverty_level_female_65_to_74_years","at_or_above_poverty_level_female_75_years_and_over"
"
Hinckley, Utah 
(39.330803, -112.678576)","MIllard","16000US4935740",,"48500","0.4244","127","44","11","0","6","0","0","4","0","0","5","3","15","0","0","83","17","0","6","0","0","0","23","26","0","6","2","0","3","504","279","5","0","8","9","2","14","19","39","29","58","37","30","29","225","25","3","15","9","7","2","25","11","24","26","20","37","21"
"
Smithfield, Utah 
(41.836509, -111.832686)","Cache","16000US4969640",,"56106","0.33429999999999999","779","286","23","0","0","66","18","61","0","34","14","53","17","0","0","493","51","7","82","10","0","48","92","63","52","29","0","11","48","9011","4555","393","127","586","178","112","159","467","574","627","512","402","203","215","4456","443","124","590","233","49","151","330","544","612","539","407","202","232"
"
Tropic, Utah 
(37.625385, -112.081772)","Garfield","16000US4977560",,"48438","0.38879999999999998","50","15","0","0","2","1","0","0","0","9","0","0","2","0","1","35","5","2","2","1","0","0","3","8","3","0","2","2","7","507","275","25","9","33","29","4","14","16","16","32","27","23","35","12","232","4","4","19","5","5","12","11","29","25","34","40","30","14"
"
Maeser, Utah 
(40.462684, -109.586182)","Uintah","16000US4947180",,"62457","0.37190000000000001","190","59","0","0","0","0","0","0","0","0","23","22","0","14","0","131","0","6","11","6","0","0","18","40","12","12","0","19","7","3290","1593","229","33","148","53","8","59","129","213","177","248","140","105","51","1697","115","0","212","172","80","38","192","195","198","195","151","72","77"
"
Boulder, Utah 
(37.909891, -111.424279)","Garfield","16000US4907470",,"39063","0.3594","17","5","0","0","0","0","0","0","0","0","0","3","2","0","0","12","0","0","0","0","0","0","4","0","5","3","0","0","0","154","80","9","0","5","0","0","0","0","9","16","5","18","9","9","74","4","0","0","2","0","0","4","3","9","20","23","8","1"
"
Lindon, Utah 
(40.344688, -111.723086)","Utah","16000US4945090",,"89286","0.35959999999999998","1021","410","74","0","61","26","33","10","32","89","56","23","6","0","0","611","95","1","133","14","13","22","55","102","115","38","15","0","8","9249","4827","311","91","710","369","100","250","577","389","524","775","403","156","172","4422","317","91","503","305","119","206","593","414","581","635","359","160","139"
"
Ogden, Utah 
(41.222761, -111.970419)","Weber","16000US4955980","6","39357","0.43090000000000001","18326","9035","1471","367","939","399","191","249","1261","1103","965","808","1078","117","87","9291","617","94","1106","498","316","263","1761","1455","972","705","596","297","611","63246","32025","2862","462","2871","752","209","603","3400","6609","3658","3678","3310","2105","1506","31221","3001","313","1991","1503","448","374","3096","6427","3686","3812","3367","1675","1528"
"
Grantsville, Utah 
(40.599837, -112.457893)","Tooele","16000US4931120",,"63202","0.32879999999999998","767","304","30","30","63","8","0","0","46","63","33","23","0","8","0","463","0","20","48","65","17","0","44","40","58","40","113","8","10","8344","4009","473","32","490","214","31","160","225","559","669","600","279","104","173","4335","373","112","651","136","214","232","248","670","490","523","301","141","244"
"
Granite, Utah 
(40.577661, -111.806698)","Salt Lake","16000US4930900",,"111875","0.4738","77","24","0","0","0","0","0","0","0","5","0","0","7","12","0","53","0","0","0","0","0","0","0","11","0","0","7","12","23","1506","616","30","6","6","14","0","17","65","34","36","135","172","94","7","890","46","0","8","26","18","33","122","104","91","130","189","85","38"
"
Tselakai Dezza, Utah 
(37.206051, -109.60766)","San Juan","16000US4977697",,"58750","0.34079999999999999","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","15","0","0","0","0","6","0","0","0","0","0","150","82","0","0","6","0","0","0","0","24","24","11","8","9","0","68","0","0","0","0","0","0","0","31","11","9","17","0","0"
"
Bluff, Utah 
(37.282989, -109.555385)","San Juan","16000US4906700",,"39313","0.41539999999999999","27","27","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","177","0","0","0","0","0","0","10","0","49","0","102","16","0","77","0","0","0","0","0","0","0","0","0","12","65","0","0"
"
North Ogden, Utah 
(41.303916, -111.968726)","Weber","16000US4955100",,"74666","0.32340000000000002","771","331","62","0","35","15","0","35","59","18","39","26","15","27","0","440","47","0","51","24","0","0","91","57","89","31","36","14","0","16647","8124","636","154","967","526","171","169","674","1105","905","1110","884","444","379","8523","868","159","954","268","115","351","480","1321","928","1130","919","554","476"
"
Fremont, Utah 
(38.460292, -111.612444)","Wayne","16000US4927270",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","3","0","0","0","0","0","0","0","3","0","0","0","0","0","9","0","0","7","0","0","0","0","0","2","0","0","0","0"
"
Spring City, Utah 
(39.482346, -111.496066)","Sanpete","16000US4971730",,"44191","0.40649999999999997","133","50","11","7","20","0","0","0","0","0","0","3","6","0","3","83","22","0","9","0","0","0","13","12","8","4","10","0","5","939","498","36","7","98","31","4","8","19","62","67","23","87","48","8","441","55","15","30","40","10","15","2","74","18","39","81","52","10"
"
Aurora, Utah 
(38.92084, -111.933923)","Sevier","16000US4902740",,"55547","0.34860000000000002","45","18","2","0","2","0","0","0","0","0","3","0","5","4","2","27","2","0","5","2","0","0","0","2","0","5","5","2","4","897","389","47","0","67","8","11","12","4","57","24","39","61","33","26","508","47","13","78","19","11","15","31","73","27","66","52","63","13"
"
Lyman, Utah 
(38.395473, -111.589497)","Wayne","16000US4946410",,"52656","0.46250000000000002","16","5","0","0","0","0","0","0","0","5","0","0","0","0","0","11","6","0","0","0","0","0","0","5","0","0","0","0","0","338","181","18","7","24","4","6","7","17","34","12","20","16","9","7","157","9","0","20","19","7","3","14","28","10","20","19","5","3"
"
Midvale, Utah 
(40.610799, -111.908041)","Salt Lake","16000US4949710","4.5","47452","0.38729999999999998","5492","2430","87","64","637","130","0","102","180","534","343","138","80","116","19","3062","192","88","272","95","0","205","597","620","446","187","276","15","69","24113","11969","724","208","987","402","151","317","1346","3031","1475","1114","1058","700","456","12144","899","116","626","378","104","244","1060","2806","1571","1540","1223","763","814"
"
Levan, Utah 
(39.557451, -111.863824)","Juab","16000US4944650",,"62039","0.32390000000000002","27","6","0","0","0","0","0","0","0","0","0","4","0","2","0","21","0","0","0","0","0","0","4","0","3","0","0","11","3","922","483","53","0","44","31","8","0","51","81","68","63","47","37","0","439","18","16","36","36","7","13","36","70","31","62","94","17","3"
"
Providence, Utah 
(41.706123, -111.817852)","Cache","16000US4962360",,"62880","0.35639999999999999","277","146","13","14","15","0","0","8","51","14","0","16","8","0","7","131","0","0","13","8","0","0","19","13","28","19","16","0","15","6692","3330","469","103","422","216","35","79","210","441","471","295","238","233","118","3362","379","53","489","183","37","98","201","458","426","342","279","273","144"
"
South Ogden, Utah 
(41.191869, -111.969659)","Weber","16000US4970960",,"53012","0.40150000000000002","1780","676","106","69","39","58","0","38","69","72","49","81","53","16","26","1104","158","44","149","50","14","19","97","204","73","55","79","82","80","14664","7467","557","51","602","469","120","324","896","1096","754","944","677","585","392","7197","510","112","592","273","123","217","638","1097","842","738","806","634","615"
"
Newcastle, Utah 
(37.663848, -113.54918)","Iron","16000US4954330",,"55875","0.20749999999999999","6","6","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","237","121","0","0","12","12","12","0","0","0","52","0","0","33","0","116","0","12","0","0","0","11","12","0","16","20","32","0","13"
"
Snowville, Utah 
(41.971735, -112.710448)","Box Elder","16000US4969970",,"51875","0.34139999999999998","9","4","0","0","1","0","0","0","0","0","1","2","0","0","0","5","0","0","2","0","0","0","0","0","1","0","2","0","0","119","52","4","0","4","0","0","0","8","1","0","12","13","9","1","67","2","0","5","5","2","4","13","0","10","11","7","5","3"
"
South Jordan, Utah 
(40.562242, -111.938666)","Salt Lake","16000US4970850","3.9","86775","0.3296","2463","1197","29","0","56","48","14","81","323","257","26","72","171","19","101","1266","37","16","271","81","36","15","46","470","128","56","96","0","14","53572","27127","2151","419","3304","1894","341","1026","2264","4168","3674","3276","2431","1355","824","26445","2424","473","3171","1566","567","759","2267","3435","3792","3154","2759","1193","885"
"
Moroni, Utah 
(39.524962, -111.58193)","Sanpete","16000US4952130",,"36648","0.32919999999999999","274","106","13","0","23","10","0","12","5","4","5","34","0","0","0","168","28","13","21","0","4","0","38","8","3","19","31","0","3","1105","476","23","0","89","27","4","14","25","54","108","37","33","35","27","629","52","11","106","18","14","20","32","75","85","28","63","71","54"
"
West Valley City, Utah 
(40.696682, -111.959172)","Salt Lake","16000US4983470","4.8","51027","0.38469999999999999","26525","10999","1388","569","1602","881","137","430","1031","1907","1157","1088","386","119","304","15526","2124","344","1766","901","166","897","1737","2347","2240","1313","1251","232","208","106064","53773","3954","729","3740","3518","962","1567","5005","9721","8560","5999","5465","3000","1553","52291","4414","1355","5410","2226","825","1449","5104","8704","7258","5728","5359","2990","1469"
"
Charleston, Utah 
(40.469172, -111.471737)","Wasatch","16000US4912420",,"69500","0.439","35","10","0","0","0","0","0","0","0","2","0","8","0","0","0","25","0","0","2","0","6","0","0","0","9","8","0","0","0","547","255","4","2","21","5","7","3","26","18","29","40","73","17","10","292","18","0","16","19","7","14","14","21","35","63","54","12","19"
"
Eureka, Utah 
(39.955046, -112.117825)","Juab","16000US4924080",,"42857","0.4173","84","43","0","0","2","0","3","5","2","7","12","10","2","0","0","41","0","0","0","0","0","7","9","0","15","2","8","0","0","512","296","17","0","31","19","5","6","35","23","38","32","39","15","36","216","14","0","10","10","0","4","13","24","27","29","38","18","29"
"
Genola, Utah 
(39.996765, -111.824491)","Utah","16000US4928810",,"62917","0.36770000000000003","109","44","4","0","2","4","0","0","4","2","4","11","13","0","0","65","5","4","10","9","4","3","0","3","9","13","5","0","0","1210","628","80","10","80","36","10","28","45","93","74","48","81","30","13","582","43","16","68","18","8","35","56","56","85","57","59","56","25"
"
Bryce Canyon City, Utah 
(37.672367, -112.156841)","Garfield","16000US4908787",,"21250","0.47799999999999998","38","13","0","0","0","0","0","0","6","0","0","7","0","0","0","25","0","0","0","0","0","0","18","7","0","0","0","0","0","82","41","0","0","2","0","1","4","14","5","5","2","2","2","4","41","7","0","8","0","0","6","3","1","6","3","7","0","0"
"
Eden, Utah 
(41.298766, -111.812824)","Morgan","16000US4921990",,"74375","0.32519999999999999","25","25","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","791","349","33","0","39","0","0","21","44","34","32","62","11","37","36","442","0","16","26","16","0","16","85","60","29","89","46","12","47"
"
Perry, Utah 
(41.465116, -112.033386)","Box Elder","16000US4959390",,"85625","0.28349999999999997","94","49","0","0","27","9","0","0","0","0","7","0","0","0","6","45","0","0","0","0","0","8","0","0","17","0","13","7","0","4372","2194","220","70","255","128","20","120","160","223","280","228","201","193","96","2178","118","54","330","224","34","83","58","264","366","197","186","141","123"
"
Emigration Canyon, Utah 
(40.7495, -111.796799)","Salt Lake ","16000US4922875",,"167639","0.42220000000000002","63","36","0","0","0","0","0","0","0","36","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","27","0","1647","876","0","0","126","106","18","51","75","42","57","149","194","46","12","771","0","10","44","74","8","9","46","69","86","181","159","28","57"
"
Midway, Utah 
(40.512226, -111.474479)","Wasatch","16000US4949820",,"77244","0.39600000000000002","213","108","6","9","0","3","0","0","0","16","9","10","20","35","0","105","17","7","0","0","0","0","0","0","7","26","41","0","7","3730","1990","73","41","188","207","29","98","240","164","316","198","212","165","59","1740","138","43","157","97","12","69","70","263","173","251","229","188","50"
"
Mona, Utah 
(39.814673, -111.855228)","Juab","16000US4951140",,"64500","0.30530000000000002","99","60","0","0","14","0","0","10","8","2","10","0","5","8","3","39","3","0","0","8","0","0","0","4","9","0","13","0","2","1256","669","57","15","83","60","4","34","51","59","116","88","51","22","29","587","37","2","89","35","0","11","42","80","97","72","63","35","24"
"
Springdale, Utah 
(37.188902, -112.998596)","Washington","16000US4971840",,"48750","0.43840000000000001","35","26","0","0","0","0","0","0","8","15","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","6","0","3","439","226","0","0","0","4","5","2","19","24","29","26","61","32","24","213","15","2","0","3","0","0","14","25","18","22","60","22","32"
"
Rocky Ridge, Utah 
(39.932477, -111.820813)","Juab","16000US4964590",,"41000","0.44109999999999999","469","196","41","4","73","19","13","6","7","1","17","15","0","0","0","273","41","10","79","17","1","18","23","44","21","9","0","0","10","817","433","83","2","83","28","14","38","62","52","20","24","23","4","0","384","33","25","37","50","10","20","77","41","27","34","30","0","0"
"
Wellington, Utah 
(39.542405, -110.735656)","Carbon","16000US4982510",,"44205","0.42430000000000001","222","132","28","0","18","1","10","0","6","17","44","8","0","0","0","90","11","0","6","1","2","0","10","34","0","21","5","0","0","1442","712","50","14","94","10","3","13","55","129","54","81","107","67","35","730","44","2","36","35","0","2","57","106","101","123","79","97","48"
"
River Heights, Utah 
(41.721371, -111.822424)","Cache","16000US4964120",,"66141","0.35139999999999999","136","62","6","11","11","0","0","9","4","6","13","0","0","0","2","74","4","0","23","9","0","0","13","12","13","0","0","0","0","1697","840","86","17","75","46","20","35","65","109","133","86","88","31","49","857","53","9","121","79","16","47","38","110","130","73","85","55","41"
"
Murray, Utah 
(40.656114, -111.886241)","Salt Lake","16000US4953230","4.4000000000000004","51549","0.43149999999999999","6172","3290","399","158","188","269","110","50","616","492","328","172","304","78","126","2882","343","52","202","73","15","106","343","432","414","370","250","0","282","41469","20205","1039","226","1383","870","296","427","2364","3363","2656","2428","2604","1490","1059","21264","969","165","1615","573","104","398","2214","3478","2729","2473","2879","1774","1893"
"
Manti, Utah 
(39.266899, -111.637031)","Sanpete","16000US4947730",,"50691","0.3861","308","113","13","0","9","15","0","0","18","6","15","2","14","10","11","195","29","0","20","5","0","9","34","24","38","6","11","15","4","2962","1521","140","17","127","132","19","102","192","102","190","186","117","134","63","1441","63","24","94","89","83","70","108","109","167","229","178","148","79"
"
Monroe, Utah 
(38.630251, -112.12141)","Sevier","16000US4951360",,"48887","0.37969999999999998","462","225","23","11","21","12","0","16","12","24","4","26","42","29","5","237","0","0","32","10","11","5","18","12","13","70","26","8","32","2237","1236","96","10","172","63","49","73","78","105","162","149","102","83","94","1001","78","10","114","48","0","36","18","99","126","161","110","129","72"
"
Millville, Utah 
(41.681532, -111.823647)","Cache","16000US4950370",,"71850","0.30059999999999998","147","86","0","0","2","2","8","0","0","27","26","0","3","18","0","61","0","0","13","0","3","0","14","12","2","0","17","0","0","1867","977","80","0","94","62","34","37","115","112","91","146","114","53","39","890","53","23","103","9","43","16","127","108","93","164","87","44","20"
"
Kamas, Utah 
(40.643138, -111.280795)","Summit","16000US4939810",,"46250","0.37459999999999999","263","126","29","0","37","0","0","4","10","34","7","5","0","0","0","137","19","11","34","0","0","5","0","44","9","15","0","0","0","1670","867","58","10","93","24","10","27","106","92","192","88","84","58","25","803","62","12","104","45","34","8","89","64","159","68","55","71","32"
"
Pine Valley, Utah 
(37.391121, -113.513939)","Washington","16000US4960270",,"90433","0.18079999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","59","0","0","0","0","0","0","0","0","0","26","14","14","5","42","0","0","0","0","0","0","0","0","0","9","18","8","7"
