"company","parent_company","location","county","project_description","naics_industry_code","year","subsidy_value","megadeal_contribution","subsidy_value_adjusted_for_megadeal","program_name","awarding_agency","type_of_subsidy","number_of_jobs_or_training_slots","wage_data","wage_data_type","investment_data","source_of_data","notes","subsidy_source","cfda_program_number","loan_value","state_in_which_facility_is_located","location_1"
"Goldman Sachs","Goldman Sachs","Utah",,,,"2008","20000000","0","20000000","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","375","886727000","payroll","20200000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/Annual_Report_Final_Print_Copy_2008.pdf"," year is fiscal year ","state",,"0",,"
Salt Lake City,  
(40.758478, -111.888142)"
"Goldman Sachs","Goldman Sachs","Utah",,,,"2010","47283409","0","47283409","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","690","1713742314","payroll","51000000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/AnnualReport-web.pdf"," year is fiscal year ","state",,"0",,"
Salt Lake City,  
(40.758478, -111.888142)"
"Solarwinds","SolarWinds","Utah",,,,"2013","32864576","0","32864576","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","1040",,,"50000000","http://business.utah.gov/GOED/about/annualreports/","Year is fiscal year. Jobs figure is number of contracted jobs over term of the agreement. ","state",,"0",,"
Draper,  
(40.52505, -111.864203)"
"ATK Aerospace Systems","Orbital ATK","Utah",,,,"2011","18514","0","18514","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","76",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"ATK Launch Systems - Mike B","Orbital ATK","Utah",,,,"2009","13927","0","13927","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","88",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"IM Flash Technologies","Micron Technology","Utah",,,,"2010","20843","0","20843","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","77",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"Royal Bank of Scotland","Royal Bank of Scotland","Utah",,,,"2013","5275124","0","5275124","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","310",,,"2642908","http://business.utah.gov/GOED/about/annualreports/","Year is fiscal year. Jobs figure is number of contracted jobs over term of the agreement. ","state",,"0",,"
Taylorsville,  
(40.653066, -111.955295)"
"Adobe Systems Inc.","Adobe Systems","Utah","Salt Lake",,,"2011","40239126","0","40239126","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","927",,,,"http://business.utah.gov/site-media/page-media/content/other/Annual-Report-2011.pdf"," Year is fiscal year. ","state",,"0",,
"eBay","eBay","Utah",,,,"2010","2128139","0","2128139","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","207","61375816","payroll","81000000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/AnnualReport-web.pdf"," year is fiscal year ","state",,"0",,"
Draper,  
(40.52505, -111.864203)"
"Oracle","Oracle","Utah",,,,"2008","15124000","0","15124000","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","100","73574249","payroll","260000000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/Annual_Report_Final_Print_Copy_2008.pdf"," year is fiscal year ","state",,"0",,"
West Jordan,  
(40.610919, -111.938765)"
"ATK Aerospace Structures","Orbital ATK","Utah",,,,"2010","7074","0","7074","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","16",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"Procter & Gamble","Procter & Gamble","Utah","Box Elder","distribution center",,"2007","85000000","0","0","multiple","Governor's Office of Economic Development","MEGADEAL","1000",,,"540000000","The subsidy amount and the jobs and investment projections came from: Steve Oberbeck, ""State makes pitch for P&G,"" Salt Lake Tribune, October 10, 2007.","The state awarded up to $85 million in tax rebates over 20 years through the Economic Development Tax Increment Financing (EDTIF) program, which diverts multiple types of taxes to the recipient. The main Subsidy Tracker data contains the $85 million award in a 2008 EDTIF entry, along with some small training awards.","state",,"0",,
"IM Flash Technologies","Micron Technology","Utah",,,,"2009","99050","0","99050","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","273",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"ITT Corporation","ITT Corporation","Utah","Salt Lake",,,"2011","33656000","0","33656000","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","2707",,,,"http://business.utah.gov/site-media/page-media/content/other/Annual-Report-2011.pdf"," Year is fiscal year. ","state",,"0",,
"eBay","eBay","Utah","Salt Lake",,,"2012","38156092","0","38156092","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","2200",,,,"http://business.utah.gov/site-media/page-media/files/AnnualReport2012.pdf"," Year is fiscal year. ","state",,"0",,
"Oracle","Oracle","Utah",,,,"2014","2829602","0","2829602","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","351",,,"6142500","http://business.utah.gov/GOED/about/annualreports/","Year is fiscal year. Subsidy value is maximum incentive. Jobs figure is number of contracted jobs over term of the agreement. ","state",,"0",,"
Lehi,  
(40.387876, -111.849167)"
"ATK Launch Systems","Orbital ATK","Utah",,,,"2010","44459","0","44459","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","397",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"Procter & Gamble","Procter & Gamble","Utah",,,,"2008","85000000","0","85000000","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","1185","1278000000","payroll","540000000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/Annual_Report_Final_Print_Copy_2008.pdf"," year is fiscal year ","state",,"0",,"
Box Elder Co.,  
(44.151166, -103.070913)"
"eBay","eBay","Utah",,,,"2008","27277000","0","27277000","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","50","23799980","payroll","436000000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/Annual_Report_Final_Print_Copy_2008.pdf"," year is fiscal year ","state",,"0",,"
South Jordan,  
(40.562242, -111.938666)"
"ATK Aerospace Systems","Orbital ATK","Utah","Davis",,,"2011","18898061","0","18898061","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","802",,,,"http://business.utah.gov/site-media/page-media/content/other/Annual-Report-2011.pdf"," Year is fiscal year. ","state",,"0",,
"Royal Bank of Scotland","Royal Bank of Scotland","Utah",,,,"2010","8607261","0","8607261","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","260","389488515","payroll","6270000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/AnnualReport-web.pdf"," year is fiscal year ","state",,"0",,"
Taylorsville,  
(40.653066, -111.955295)"
"ITT Pro Services","ITT Corporation","Utah",,,,"2009","494","0","494","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","1",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"Procter & Gamble","Procter & Gamble","Utah",,,,"2011","11073","0","11073","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","40",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"ATK Aerospace Structures","Orbital ATK","Utah",,,,"2009","16483","0","16483","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","192",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
