"name","fullname","featureuri","label","description","symbol","otherid","specificationuri","featuretype","geologichistory","representativeageuri","youngerageuri","olderageuri","intervalsincemovement","observationmethod","positionaccuracymeters","positionaccuracy","displacement","sliprate","slipaccumulationinterval","movementtype","movementsense","dipdirection","datemostrecentevent","recurrenceinterval","totalslip","source","none"
"Castle Valley faults","Castle Valley faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2477/","Castle Valley","Castle Valley 2477 possible salt dissolution","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","NE; SW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2477, Castle Valley faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cedar City-Parowan monocline (and faults)","Cedar City-Parowan monocline (and faults)","http://resources.usgin.org/uri-gin/utgs/activefault/id:2530/","Cedar-Parowan Mon.","Cedar-Parowan Mon. 2530","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"0.2-1.0 mm/yr",,"folding","normal","NW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2530, Cedar City-Parowan monocline (and faults), in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cedar Mountains (east side) faults","Cedar Mountains (east side) faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2385/","Cedar Mtns. E","Cedar Mtns. E 2385","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","E",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2385, Cedar Mountains (east side) faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cedar Valley (north end) faults","Cedar Valley (north end) faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2529/","Cedar Valley N.","Cedar Valley N. 2529","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NW; SE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2529, Cedar Valley (north end) faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cedar Valley (south side) fault","Cedar Valley (south side) fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2408/","Cedar V.","Cedar Valley 2408","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2408, Cedar Valley (south side) fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cedar Valley (west side) faults","Cedar Valley (west side) faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2527/","Cedar Valley W.","Cedar Valley W. 2527","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","E",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2527, Cedar Valley (west side) faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clear Lake fault zone","Clear Lake fault zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:2436/","Clear Lake","Clear Lake 2436","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","E",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 1999, Fault number 2436, Clear Lake fault zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Clover fault zone","Clover fault zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:2396/","Clover","Clover 2396","2.13.3",,,"Normal fault","late Quaternary",,,,"< 130 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2396, Clover fault zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cove Fort fault zone","Cove Fort fault zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:2491/","Cove Fort","Cove Fort 2491","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NE; SW",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 2004, Fault number 2491, Cove Fort fault zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Location to provide feedback for data providers to implement necessary edits to the data to conform to schema conventions, but is also meant to serve as a revision history for the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crater Bench faults","Crater Bench faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2433/","Crater Bench","Crater Bench 2433","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 1999, Fault number 2433, Crater Bench faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Crawford Mountains (west side) fault","Crawford Mountains (West Side) fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2346/","Crawford Mtns.","Crawford Mtns. 2346","2.13.3",,,"Normal fault","late Quaternary",,,,"< 130 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","unspecified",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2346, Crawford Mountains (west side) fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cricket Mountains (north end) faults","Cricket Mountains (north end) faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2434/","Cricket Mtns.","Cricket Mtns. 2434","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 1999, Fault number 2434, Cricket Mountains (north end) faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cricket Mountains (west side) fault","Cricket Mountains (west side) fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2460/","Cricket Mtns. W.","Cricket Mtns. W. 2460","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 2004, Fault number 2460, Cricket Mountains (west side) fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Cross Hollow Hills faults","Cross Hollow Hills faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2524/","Cross Hollow","Cross Hollow 2524","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","E; W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2524, Cross Hollow Hills faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Dayton fault","Dayton fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2370/","Dayton","Dayton 2370","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","E",,"null",,"Black, B.D., Hecker, S., and Christenson, G.E., compilers, 1999, Fault number 2370, Dayton fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Deep Creek Range (east side) faults","Deep Creek Range (east side) faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2416/","Deep Cr. E.","Deep Cr. E. 2416","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","SE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2416, Deep Creek Range (east side) faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Deep Creek Range (northwest side) fault zone","Deep Creek Range (northwest side) fault zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:2403/","Deep Cr.","Deep Cr. 2403","2.13.3",,,"Normal fault","late Quaternary",,,,"< 130 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2403, Deep Creek Range (northwest side) fault zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deseret faults","Deseret faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2435/","Deseret","Deseret 2435","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W; E",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 1999, Fault number 2435, Deseret faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Diamond Gulch faults","Diamond Gulch faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2393/","Diamond Gulch","Diamond Gulch 2393","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","NE; SW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2393, Diamond Gulch faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Dolphin Island fracture zone","Dolphin Island fracture zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:2367/","Dolphin Is.","Dolphin Is. 2367","2.13.3",,,"fracture zone","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"missing","missing","unspecified",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2367, Dolphin Island fracture zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Drum Mountains fault zone","Drum Mountains fault zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:2432/","Drum Mtns.","Drum Mtns. 2432","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","E; W",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 1999, Fault number 2432, Drum Mountains fault zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Dry Wash fault and syncline","Dry Wash fault and Syncline","http://resources.usgin.org/uri-gin/utgs/activefault/id:2496/","Dry Wash","Dry Wash 2496","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2496, Dry Wash fault and syncline, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"This work is licensed under a Creative Commons Attribution 3.0 Unported License.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duchesne-Pleasant Valley fault system","Duchesne-Pleasant Valley fault system","http://resources.usgin.org/uri-gin/utgs/activefault/id:2414/","Pleasant V.","Pleasant Valley 2414","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","N; S",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2414, Duchesne-Pleasant Valley fault system, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"East Cache fault zone central section","East Cache fault zone central section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2352b/","East Cache central","East Cache central 2352b","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"0.2 - 1.0 mm/yr",,"dip separation","normal","W",,"9.0-11.5 k.y. (<15.5 ka)",,"Black, B.D., Hylland, M.D., Haller, K.M., and Hecker, S., compilers, 1999, Fault number 2352b, East Cache fault zone, central section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov",
"East Cache fault zone northern section","East Cache fault zone northern section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2352a/","East Cache north","East Cache north 2352a","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., Hylland, M.D., Haller, K.M., and Hecker, S., compilers, 2004, Fault number 2352a, East Cache fault zone, northern section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.go",
"East Cache fault zone southern section","East Cache fault zone southern section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2352c/","East Cache south","East Cache south 2352c","2.13.3",,,"Normal fault","late Quaternary",,,,"< 130 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"15-30 k.y. (< 150 ka - 1 Ma)",,"Black, B.D., Hylland, M.D., Haller, K.M., and Hecker, S., compilers, 1999, Fault number 2352c, East Cache fault zone, southern section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.go",
"East Canyon (east side) fault","East Canyon (East Side) fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2350/","East Canyon","East Canyon 2350","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","unspecified",,"null",,"Hylland, M.D., compiler, 2001, Fault number 2350, East Canyon (east side) fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"East Canyon fault Northern East Canyon section","East Canyon fault northern section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2354a/","East Cny. north","East Cny. north 2354a ( Class B)","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","SE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2354a, East Canyon fault, Northern East Canyon section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Canyon fault Southern East Canyon section","East Canyon fault southern section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2354b/","East Cny. south","East Cny. south 2354b","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","SE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2354b, East Canyon fault, Southern East Canyon section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"East Great Salt Lake fault zone Antelope Island section","E GSL Fault Zone Antelope Island section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2369c/","E. GSL Antelope","E. GSL Antelope 2369c","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"0.2-1.0 mm/yr",,"dip separation","normal","W",,"3.8-5.6 k.y. (< 9.2-9.3 ka)",,"Black, B.D., Hecker, S., and Christenson, G.E., compilers, 2004, Fault number 2369c, East Great Salt Lake fault zone, Antelope Island section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.",
"East Great Salt Lake fault zone Fremont Island section","E GSL Fault Zone Fremont Island section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2369b/","E. GSL Fremont","E. GSL Fremont 2369b","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"0.2-1.0 mm/yr",,"dip separation","normal","W",,"3.8-5.6 k.y. (< 9.2-9.3 ka)",,"Black, B.D., Hecker, S., and Christenson, G.E., compilers, 2004, Fault number 2369b, East Great Salt Lake fault zone, Fremont Island section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.u",
"East Great Salt Lake fault zone Promontory section","E GSL Fault Zone Promontory section","http://resources.usgin.org/uri-gin/utgs/activefault/id:2369a/","E. GSL Promontory","E. GSL Promontory 2369a","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"0.2-1.0 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., Christenson, G.E., DuRoss, C.B., and Hecker, S., compilers, 2004, Fault number 2369a, East Great Salt Lake fault zone, Promontory section, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://ear",
"East Kamas fault","East Kamas fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2391/","E. Kamas","E. Kamas 2391","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2391, East Kamas fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"East Lakeside Mountains fault zone","East Lakeside Mountains fault zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:2368/","E. Lakeside Mtns.","E. Lakeside Mtns. 2368","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","E",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2368, East Lakeside Mountains fault zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
