"case_type","ein","pn","plan_year","plan_name","plan_admin","plan_admin_state","plan_admin_zip_code","final_close_reason","final_close_date","penalty_amount"
"Deficient Filer","87-0639599","1","2009","ROCKY MOUNTAIN RECYCLING, L.L.C. RETIREMENT PLAN","ROCKY MOUNTAIN RECYCLING, L.L.C.","Utah","84126- ","Closed after Correspondence","2011-09-26T00:00:00.000","$0-$10,000"
"Deficient Filer","71-1009611","1","2009","DESERET HEALTH GROUP 401(K) PLAN","DESERET HEALTHCARE, INC.","Utah","84014- ","Closed after Correspondence","2012-06-05T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","87-0410426","1","2010","FFKR ARCHITECTS/PLANNERS II 401K PROFIT SHARING PLAN","FFKR ARCHITECTS/PLANNERS II","Utah","84104-1021","No Enforcement Action Taken","2013-09-10T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","87-0650093","1","2010","ALLIANCE 401(K) PLAN","EAGLE AIR MED","Utah","84003- ","Closed after Correspondence","2012-06-11T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","22-3863257","1","2010","MERIDIAN RESTAURANTS UNLIMITED 401(K) & PROFIT SHARING PLAN","MERIDIAN RESTAURANTS UNLIMITED","Utah","84401- ","Closed after Correspondence","2012-07-23T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","87-0536150","1","2010","SANSEGAL SPORTSWEAR 401K PENSION PLAN AND TRUST","SANSEGAL SPORTSWEAR","Utah","84070- ","Closed after Correspondence","2013-05-06T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","87-0474292","1","2010","VISTA STAFFING SOLUTIONS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","VISTA STAFFING SOLUTIONS","Utah","84111- ","Closed after Correspondence","2013-12-23T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","84-1470690","1","2011","GEMSTONE HOTELS & RESORTS, LLC 401(K) PLAN","GEMSTONE HOTELS & RESORTS, LLC","Utah","84060- ","Closed after Correspondence","2013-08-19T00:00:00.000","$0-$10,000"
"DFVC Underpay","80-0027170","1","2012","ROCKY MOUNTAIN CARE 401(K) PLAN","ROCKY MOUNTAIN CARE","Utah","84010- ","Closed after Correspondence","2014-08-13T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","88-0090855","1","2002","Leavitt Group Profit Sharing and Retirement Savings Plan","Leavitt Group Enterprises, Inc.","Utah"," - ","Closed after Correspondence","2005-01-14T00:00:00.000","$10,001 - $50,000"
"Non Filer","87-0393217","2",,"Salt Lake Air Cargo 401(k) Plan","Salt Lake Air Cargo","Utah"," - ","Closed after Correspondence","2007-05-29T00:00:00.000","$50,001 - $100,000"
