"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
,"LDS Family Services/ St George Agency","Counseling, Resource and Support Group services, Adoption Services","2480 E Redcliffs Drive    St George UT         84790-5457",,"435-673-6446","435-652-8020","www.providentliving.org","Access on web site",,"Counseling and Resources for individuals, couples and families. Assistance for birth parents facing unplanned pregnancy, Help for couples interested in adoption, Addiction Recovery Program. Eating Disorders, Anger Management, Substance Abuse Recovery, Pornography Addiction Recovery, AMAC program, Educational Related family classes","Fees are dependant on services provided and/or insurance coverage",,"Washington county and surrounding area",,
,"Southwest Center","Mental Health and Substance Abuse Services","474 W 200 N Suite 202  St George UT  84770",,"435-634-5600 ",,"www.southwestcenter.com","Access on web site","M-F 8:00am - 5:00pm","Adult and Youth Substance Abuse, Adult and Youth Mental Health, Inpatient/Outpatient Services, Individual, Group, and Family Counseling, Emergency Services, Education and Referral information","Dependant on Services Provided","Services determined by initial assessment","Washington county and surrounding area","yes","x"
,"Independence House","Mental Health Clubhouse","960 N Dixie Downs Rd  St George UT 84770",,"435-628-0612",,,,,"Adult and Youth Mental Health and Substance Abuse services",,,,,
,"Washington County Family Center","Training and Referral services for families","189 W Tabernacle         St George UT 84770",,"435-652-4725","435-674-1421","www.dsamh.utah.gov/preventionresources.htm",,,"Provides resources, training, support and referral services to families on a number of issues.",,,"Washington county and surrounding area",,
"Domestic Violence","Dove Center","Domestic Violence Shelter","St George UT 84771","PO Box 2972          St George UT 84771","435-628-0458",,,,"24 hours a day","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. ","none","Call for eligibility requirements","Washington county and surrounding area",,
,"Erin Kimball Memorial Foundation","Housing and Support services for domestic violence victims","321 N Mall Dr Ste M102 St George UT 84790",,"435-673-1659","435-673-7716","www.erinkimbal.org","Access on web site",,"Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. ",,"Call for eligibility requirements","Washington county and surrounding area",,
"People With Disabilities","Division of Rehabilitation Services (Voc Rehab) Southern Utah District, ","Assistance for individuals with disabilities","1067 E Tabernacle St  Suite 10                         St George UT 84770-3163",,"435-673-5091 or toll free 1-800-281-5091 Voice/TTY",,"http://www.usor.utah.gov/division-of-rehabilitation-services",,"M-F 8:00am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, guidelines for eligibility on website","southwestern Utah area",,"x"
,"Division of Services for People with Disabilities (DSPD)","Children and Adults with qualifying disabilities","377 E Riverside Dr           Bldg B Suite A              St George UT 84790 ",,"435-674-3961","435-674-3939","www.hsdspd.state.ut.us",,"M-F 8:00am - 5:00pm","Assistance for Children and Adults with qualifying disabilities",,,"southwestern Utah area",,"x"
,"Rise, Inc. ","Services for People with Disabilities and their families","50 E 100 S Ste 302 St. George UT 84770",,"435-673-1108","435-656-3925","http://www.riseinc.net/","letusknow@utahrise.com",,"Provide support and services to adults and children with developmental disabilities and their families",,"Eligibility determined through the Department of Human Services, Division of Services for People with Disabilities","southwestern Utah area","Spanish","x"
,"Services for the Blind and Visually Impaired","Services for the Blind and Visually impaired and their families","515 W 300 N Suite B      St George UT 84770-4578",,"435-986-0055",,"www.usor.utah.gov/division-of-services-for-the-blind-and-visually-impaired",,"M-F 8:00am - 5:00pm",,,,,,
,"Turn Community Services","Services for individuals with disabilities and their families","334 W Tabernacle         St George UT  84770",,"435-673-5251","435-673-5265","http://www.turn.nu/","Access on web site",,"Assistance for individuals with disabilities and their families",,"Eligibility determined by DSPD ","Richfield, Kanab, Beaver, Cedar City, Enterprise, Panguitch, St. George areas","yes","x"
"Pregnancy  ","Hope Pregnancy Care Center","Services and referrals for women who are pregnant and their families"," 354 E 600 S          St George UT 84770",,"435-656-5331",,"www.hopepregnancyutah.org/",,"MTH 10:00am - 4:00pm                W 4:00pm - 7:00pm","Pregnancy tests, referral and education information, parenting classes, post abortion support. ",,,"Washington county and surrounding area",,"x"
"Senior Citizens","Five-County Area Agency on Aging","Services for Seniors, disabled adults and their caregivers","1070 W 1600 S Bldg B                  St. George UT 84770","PO Box 1550         St. George UT    84771-1550","435-673-3548","435-673-3540","www.brag.utah.gov/aging.html","mguymon@seualg.dst.ut.us",,"In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,"Residence of Beaver, Garfield, Iron, Kane, Washington counties","Beaver, Garfield, Iron, Kane and Washington counties","yes","x"
"Substance Abuse","Alcoholics Anonymous (AA) ","Group meetings for alcohol dependency",,,"435-674-47911",,"www.utahaa.org","Access on web site","Call for meetings and locations","Conduct Open and Closed Group Sessions in a 12 Step Program, Locate local meetings and times ",,,"southeastern Utah area",,
,"Narcotics Anonymous ","Group meetings for narcotics dependency",,,"435-673-0608",,,,"Call for meetings and locations","Conduct Open and Closed Group Sessions in a 12 Step Program, Locate local meetings and times ",,,"southeastern Utah area",,
