"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
,"Intermountain Ephraim Health Center","Primary Medical care","525 N Main St     Ephraim UT 84627",,"435-283-4076","435-283-4078","http://intermountainhealthcare.org/xp/public/","Access on web site","M-F 8:00am - 5:00pm ","Family Practice, Lab/Radiology, General Surgery, Planned Parenthood contract provider","Dependant on services provided",,"Sanpete and Sevier counties and surrounding area",,"x"
,"Intermountain Homecare","Hospice care","85 W Main St        Mt. Pleasant UT  84647",,"435-462-3431","435-462-3401","http://intermountainhealthcare.org/xp/public/","Access on web site","M-F 8:30am - 5:00pm","Hospice care ","Dependant on services provided",,"Millard and Sanpete counties","yes","x"
,"Intermountain Manti Clinic","Primary Medical care","159 N Main       Manti UT 84642",,"435-835-3344","435-835-3081","http://intermountainhealthcare.org/xp/public/","Access on web site","M-F 9:00am - 5:00pm Closed 12:00pm -2:00pm ","Primary Medical Care including pharmacy. Planned Parenthood contract provider","Dependant on services provided",,"Sanpete and Sevier counties and surrounding area",,"X"
,"Mount Pleasant Health Clinic","Primary Medical care","20 S 100 W Ste 30   Mt Pleasant UT 84647",,"435-462-2449",,,,,"Primary Medical Care, Planned Parenthood contract provider",,,,,
,"Sanpete Valley Hospital","Hospital Care","1100 S Medical Dr   Mt Pleasant UT  84647",,"435-462-2441",,"http://intermountainhealthcare.org/xp/public/sanpete/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide ","yes","x"
,"Sevier Valley Medical Center","Hospital Care","1100 N Main St    Richfield UT 84701",,"435-893-4100",,"http://intermountainhealthcare.org/xp/public/sevier/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide ","yes","x"
,"Veterans Community Based Outpatient Clinic","Outpatient care for Veterans","300 W 300 S     Fountain Green UT 84632",,"435-623-3129 ext 2975",,"www.va.gov",,,"Outpatient and Mental Health Care for Veterans Only","Dependant on services provided","Must be a Veteran","Sanpete and Sevier counties and surrounding area",,
"Mental Health/ Counseling","Central Utah Counseling Center Ephraim","Mental Health and Substance Abuse Services ","390 W 100 N   Ephraim UT  84627",,"435-283-4065 toll free 1-877-283-4065","435-462-9350 (Main Office Location)","http://www.cucc.us/","Access on web site","M-F 8:30am - 5:00pm","Adult Substance Abuse, Adult Mental Health, Inpatient/Outpatient Services, Emergency Services, Education and Referral information, Testing and Evaluations","Dependant on services provided/ Medicaid","Eligibility requirements determined by assessment","Sanpete county and surrounding area","Interpreters Available, Info in Spanish at 1-800-523-7412","x"
,"Central Utah Counseling Center Mount Pleasant","Mental Health and Substance Abuse Services Administration","255 W Main            Mt Pleasant UT  84647",,"435-462-2416 or toll free 1-800-523-7412",,"www.cucc.us","Access on web site","M-F 8:30am - 5:00pm","Administration services for Central Utah Counseling Centers",,,,,"x"
,"Central Utah Counseling Center Richfield","Mental Health and Substance Abuse","255 S Main       Richfield UT 84701",,"435-896-8236 or toll free 1-800-742-9070   crisis 1-877-386-0194",,"http://www.cucc.us/","Access on web site","M-F 8:30am - 5:00pm","Adult Substance Abuse, Adult Mental Health, Inpatient/Outpatient Services, Emergency Services, Education and Referral information, Testing and Evaluations, Nightly classes available","Dependant on services provided/ Medicaid","Eligibility requirements determined by assessment","Sevier county and surrounding area",,"x"
"Domestic Violence","New Horizons Crisis Center","Domestic Violence Shelter","146 N Main Street  Richfield UT  84701","PO Box 9     Richfield UT 84701","1-800-343-6302","435-896-4655","www.newhorizonscrisiscenter.com","Access on web site","24 hours a day","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. ","none","Call for eligibility requirements","Sevier county and surrounding area",,
"People With Disabilities","Division of Rehabilitation Services (Voc Rehab)  Manti","Assistance for individuals with disabilities","55 S Main #2      Manti UT  84642-1332",,"435-835-0750 or toll free 1-800-531-9913 Voice/TTY",,"www.usor.utah.gov",,,"Assist individuals with disabilities to prepare for and obtain employment and increase their independence","Dependant on services provided","Eligibility for services determined at intake procedure, guidelines for eligibility on website","Sanpete county and surrounding area",,
,"Division of Rehabilitation Services (Voc Rehab)  Richfield","Assistance for individuals with disabilities","1158 S Highway 118 Richfield UT 84701-3116",,"435-896-1470 or toll free 1-800-953-6479 Voice/TTY",,"www.usor.utah.gov",,,"Assist individuals with disabilities to prepare for and obtain employment and increase their independence","Dependant on services provided","Eligibility for services determined at intake procedure, guidelines for eligibility on website","Sevier county and surrounding area"," "," "
,"Division of Services for People with Disabilities (DSPD) Manti","Children and Adults with qualifying disabilities","50 S Main St Suite 5 Manti UT 84642",,"435-835-0795","435-835-0798","www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,"Sanpete county and surrounding area",,
,"Division of Services for People with Disabilities (DSPD) Richfield","Children and Adults with qualifying disabilities","201 E 500 N     Richfield UT 84701",,"435-896-1281","435-896-1272","www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,"Sevier county and surrounding area",,
"Pregnancy  ","LDS Family Services/ Richfield","Counseling, Resource and Support Group services, Adoption Services","681 N Main      Richfield UT  84701",,"435-896-6446","435-896-8769","www.providentliving.org","Access on web site",,"Counseling and Resources for individuals, couples and families. Assistance for birth parents facing unplanned pregnancy, Help for couples interested in adoption, Addiction Recovery Program. Eating Disorders, Anger Managers, AMAC program, Educational Related family classes","Fees are dependant on services provided and/or insurance coverage",,"Sevier county and surrounding area",,
"Senior Citizens","Six-County Area Agency on Aging","Services for Seniors, disabled adults and their caregivers","683 N Main St    Richfield UT  84701","PO Box 820 Richfield UT  84701","435-893-0725, 435-893-9222, or toll free       1-888-899-4447","435-893-0701","www.hsdaas.utah.gov","jchriste@sixaog.state.ut.us",,"In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,,"Juab, Millard, Piute, Sanpete, Sevier, Wayne counties",,"x"
"Substance Abuse","MATR Behavioral Health Services","Substance Abuse and Mental Health services","265 N State           Mt. Pleasant UT  84647","PO Box 31            Mt. Pleasant UT  84647","435-462-2781","435-462-0155","www.matrbehaviorhealth.com","Access on web site",,"Residential short-term (30 -) long-term (30 +) Substance Abuse treatment and detoxification, Outpatient, Partial hospitalization, and Day treatment Substance Abuse treatment, DUI/DWI offenders ","Sliding fee scale based on income and other factors, payment assistance available","Eligibility for services determined at intake assessment",,"Spanish, Navajo and American Sign Language",
