"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility","none"
,"Division of Rehabilitation Services (Voc Rehab) Vernal ","Assistance for individuals with disabilities","1680 West Hwy 40, #106D                    Vernal UT  84078-4135     ",,"435-789-0273 or 1-800-286-0273 Voice/TTY",,"http://www.usor.utah.gov/division-of-rehabilitation-services",,,"Assist individuals with disabilities to prepare for and obtain employment and increase their independence","Dependant on services provided","Eligibility for services determined at intake procedure, guidelines for eligibility on website",," "," ",
,"Division of Rehabilitation Services (Voc Rehab) Roosevelt","Assistance for individuals with disabilities","1100 E Lagoon    Roosevelt UT  84066-3099",,"435-722-3573 Voice/TTY",,"www.usor.utah.gov",,,"Assist individuals with disabilities to prepare for and obtain employment and increase their independence","Dependant on services provided","Eligibility for services determined at intake procedure, guidelines for eligibility on website",,,,
,"Division of Services for People with Disabilities (DSPD) Vernal","Children and Adults with qualifying disabilities","980 W Market Drive  Vernal UT  84078",,"435-789-9336","435-789-6639","www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,,,,
"Senior Citizens","Uintah Basin Area Agency on Aging","Services for Seniors, disabled adults and their caregivers","330 E 100 S       Roosevelt UT  84066",,"435-722-4518","435-722-4890","www.hsdaas.utah.gov",,,"In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,,"Daggett, Duchesne Counties",,"x",
,"Council on Aging/Golden Age Center Uintah County","Services for Seniors, disabled adults and their caregivers","155 S 100 W           Vernal UT  84078",,"435-789-2169","435-789-2171","www.hsdaas.utah.gov",,,"In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,,"Uintah County",,"x",
,"Rise, Inc. ","Services for People with Disabilities and their families","671 W 100 N           Vernal UT  84078",,"435-789-4567",,"http://www.riseinc.net/","letusknow@utahrise.com",,"Provide support and services to adults and children with developmental disabilities and their families",,"Eligibility determined through the Department of Human Services, Division of Services for People with Disabilities",,,,
"Substance Abuse ","Alcoholics Anonymous (AA) ","Group meetings for alcohol dependency",,,"435-722-4296",,"www.utahaa.org",,"Call for meetings and locations","Conduct Open and Closed Group Sessions in a 12 Step Program, Locate local meetings and times on web site or by calling 435-722-4296.",,,,,,
"Tribal Services","Bureau of Indian Affairs, Uintah Ouray Agency",,,,"435-722-4300",,,,,,,,,,,
,"Bureau of Indian Affairs, Uintah Ouray Agency (Financial assistance)",,,,"435-722-4306",,,,,,,,,,,
,"Uintah Ouray Indian Health Services",,,,"435-722-5122",,,,,,,,,,,
,"Ute Indian Tribe Main Office",,,,"435-722-5141",,,,,,,,,,,
