"entity","contact","title","zipcode","phone","location_1"
"Mendon City","Sydney K. Larsen",,"84325","(435) 753-3326","125 West 100 South
Mendon, UT 
(41.70587761900049, -111.9804396829997)"
"Woodland Hills City","Brenda Trewet","City Recorder","84653","(801) 423-1962","200 S. Woodland Hills Drive
Woodland Hills, UT 
(40.0252675050005, -111.65367494899971)"
"Bluffdale City","Wayne Mortimer",,"84065","(801) 254-2200","14175 South Redwood Road
Bluffdale City, UT 
(40.49367023600047, -111.93872477699966)"
"Junction City","Rickey Dalton","Junction Town Mayor","84740","(435) 577-2029","125 North 300 West
Junction, UT 
(38.238629269000455, -112.2256340029997)"
"Kanosh City","Terry Higgs","Mayor","84637","(435) 759-2415","45 North Main
Kanosh, UT 
(38.802384815000494, -112.43772189099968)"
"Vernal City","Kenneth L. Bassett","City Manager / City Recorder","84078","(435) 789-2255","374 East Main
Vernal, UT 
(40.455779030000485, -109.52166200499971)"
"Hatch City","Kevin Eldredge","Mayor","84735","(435) 735-4364","49 W Center
Hatch, UT 
(37.64975275600045, -112.43545901699969)"
"South Jordan City","Anna M. West","City Recorder","84095","(801) 254-3742 1202","1600 West Towne Center Drive
South Jordan City, UT 
(40.55859040400048, -111.93722808899969)"
"Helper City","Dean Armstrong","Mayor","84526","(435) 472-5391","73 South Main
Helper, UT 
(39.68578010600049, -110.85457508099967)"
"Manila City","Chuck Dickinson",,"84046","(435) 784-3143","
Manila, UT 
(40.98721076400045, -109.72271562099968)"
"Providence City","Alma Leonhardt",,"84332","(435) 752-9046","40 South 100 East
Providence, UT 
(41.70714858600047, -111.81527391199967)"
"Paradise City","Lee Atwood","Mayor","84328","(435) 245-6737","9035 South 100 West
Paradise, UT 
(41.56775129400046, -111.83001735899967)"
"South Weber City","Joseph E. Gertge","Mayor","84405","(801) 479-3177","1600 East South Weber Drive
South Weber, UT 
(41.13281675900049, -111.93800293799967)"
"Nibley City","Larry Anhder","City Administrator","84321","(435) 752-0431","625 West 3200 South
Nibley, UT 
(41.67496089100047, -111.84766418399971)"
"River Heights City","Victor R. Jensen","Mayor","84321","(435) 752-2646","520 South 500 East
River Heights, UT 
(41.72224377300046, -111.82231870299967)"
"Uintah City","Lawrence Flitton","Mayor","84405","(801) 479-4130","2191 East 6550 South
Uintah, UT 
(41.14413332100048, -111.92284172399968)"
"Amalga City","David P. Wood",,"84335","(435) 563-6361","8490 North 1400 West
Amalga, UT 
(41.848302685000476, -111.89368965599971)"
"North Ogden City","S. Annette Spendlove","City Recorder","84414","(801) 782-7211","505 East 2600 North
North Ogden, UT 
(41.305822657000476, -111.9647905439997)"
"Hanksville City","Stanley Alvey",,"84734",,"
Hanksville, UT 
(38.37441373500047, -110.71163773899968)"
"Elsinore City","Valerie Hopper","Mayor","84724","(435) 527-3306","15 E 200 N
Elsinore, UT 
(38.68605600500047, -112.1483078499997)"
"Roosevelt City","H. Orman Sullivan","Mayor","84066","(435) 722-5001","255 S State St. (36-8)
Roosevelt, UT 
(40.29603531800046, -109.99179618399967)"
"New Harmony City","Joel Webster","Mayor",,"(435) 865-7522","133 East Center
New Harmony, UT 
(37.47801851900044, -113.30489083799966)"
"Ballard City","Vaughn Parrish","Mayor","84066","(435) 722-3393","2381 E 1000 S
Ballard, UT 
(40.287841080000476, -109.9561833359997)"
"Gunnison City","Janell Braithwaite","City Recorder","84634","(435) 528-7969","38 West Center Box 790
Gunnison, UT 
(39.155194623000455, -111.81978166199968)"
"Myton City","Kalecia Fowler","City Recorder","84052","(435) 722-2711","160 East Main
Myton, UT 
(40.19453173800048, -110.0604760979997)"
"East Carbon City","Dale Andrews","Mayor","84520","(435) 888-6613","101 W GENEVA DR
East Carbon, UT 
(39.54254547800048, -110.4224877589997)"
"South Ogden City","Leesa Kapetanov","City Recorder","84403","(801) 622-2709","3950 Adams Ave.
South Ogden, UT 
(41.191410291000466, -111.96828426199971)"
"Beaver City","Anonas Yardley","City Recorder",,"(435) 438-2451","Box 271 30 West 300 North
Beaver, UT 
(38.27821291300046, -112.64564357099971)"
"Leeds City","Robert W. Goldsberry","Clerk/Recorder","84746","(435) 879-2447","218 North Main St
Leeds, UT 
(37.238805966000484, -113.35887408799971)"
"Boulder Town","Keith Gailey","Mayor","84716","(435) 335-7300","351 N 100 E
Boulder, UT 
(37.909052784000494, -111.4231580069997)"
"West Point City","Kyle  W. Laws","City Manager","84015","(801) 776-0970","3200 West 300 North
West Point, UT 
(41.11814691100045, -112.08749969199971)"
"West Haven City","Shanda Reney","City Recorder","84401","(801) 731-4519","4150 S 3900 W
West Haven, UT 
(41.18788597600047, -112.07401184499969)"
"Santa Clara City","Chris Shelley","Recorder","84765","(435) 673-6712 4","2603 Santa Clara Drive
Santa Clara, UT 
(37.129205529000444, -113.6451343069997)"
"Salt Lake City","Cindi Mansell","City Recorder","84111","(801) 535-7671","451 S State Street RM 415
Salt Lake City, UT 
(40.760010959000454, -111.88818454399967)"
"Scipio City","Burtis Quarnberg","Mayor","84656","(435) 758-2464","160 North State Street
Scipio, UT 
(39.24769443500048, -112.10389974099968)"
"Cedar Fort City","J. Howard Anderson","Mayor","84013","(801) 310-0184","192 West 100 South
Cedar Fort, UT 
(40.3255984110005, -112.1104804469997)"
"Pleasant Grove City","Amanda R. Fraughton","City Recorder","84062","(801) 785-5045 12","70 South 100 East
Pleasant Grove, UT 
(40.3629381450005, -111.73888564099968)"
"Emery City","Michael J. Williams","Mayor","84522","(435) 286-2417","15 South Center Street
Emery, UT 
(38.92275176300046, -111.24857480199967)"
"Grantsville City","Joel K. Linares","City Attorney","84029","(435) 884-4615","429 East Main Street
Grantsville, UT 
(40.59976799800046, -112.44554944199967)"
"Mapleton City","CAMILLE BROWN","CITY RECORDER","84664","(801) 806-9106","125 West Community Center Way
Mapleton, UT 
(40.130401881000466, -111.5782766209997)"
"Rocky Ridge City","Andy Allred","mayor","84645","(435) 660-9220","HC 60 Box 217
Rocky Ridge, UT "
"Syracuse City","Brody Bovero","City Manager","84075","(801) 825-1477","1979 W. 1900 S.
Syracuse, UT 
(41.08625232100047, -112.06582173299967)"
"Garland City","Sharlet Anderson","Recorder","84312","(435) 257-3118","72 North Main
Garland, UT 
(41.74174753800048, -112.1626322509997)"
"Aurora City","Lawrence Mason",,"84620","(435) 529-3579","
Aurora, UT 
(38.91862325800048, -111.93518913799971)"
"Fruit Heights City","R. Brandon Green","City Manager","84037","(801) 546-0861","910 South Mountain Road
Fruit Heights, UT 
(41.02006671000049, -111.90716542199971)"
"Henefer City","Jim Rees",,"84033","(435) 336-2906","
Henefer, UT 
(41.01744214400048, -111.49870766199967)"
"Morgan City","Julie A. Lee","Recorder","84050","(801) 829-3461 1","90 West Young Street
Morgan, UT 
(41.035577747000445, -111.67890961299969)"
"Monroe City","R. Kirt Nilsson","Mayor Monroe City","84754","(435) 527-4621","10 North Main Street
Monroe, UT 
(38.63218967600045, -112.12136579599968)"
"Hyrum City","Gordon Olson","Mayor","84319","(435) 245-6033","83 West Main Street
Hyrum, UT 
(41.634028239000486, -111.85292011199971)"
"Farr West City","Jimmie Pappageorge","Mayor","84404","(801) 731-4187","1896 North 1800 W
Farr West, UT 
(41.28958834500048, -112.02518941799968)"
"Orem City","Donna Weaver","City Recorder","84057","(801) 229-7298","56 N State
Orem, UT 
(40.2978745100005, -111.69529948199971)"
"Hyde Park City","David Kooyman",,"84321","(435) 563-6507","113 East Center St
Hyde Park, UT 
(41.79908482000047, -111.8163511359997)"
"Redmond City","Linda Mickelsen","Mayor","84652","(435) 529-3278","45 West Main
Redmond, UT 
(39.005943121000485, -111.86530180799969)"
"Centerfield City","Darwin Jensen",,"84622","(435) 528-3530","
Centerfield, UT 
(39.12760343000048, -111.81919871099967)"
"Centerville City","Marsha L. Morrow","City Recorder","84014","(801) 295-3477 6431","250 N. Main
Centerville, UT 
(40.91982699400046, -111.87894016099972)"
"Riverdale City","Larry Hansen","City Administrator","84405","(801) 394-5541 1233","4600 S Weber River Dr
Riverdale, UT 
(41.177487570000494, -111.99283015299972)"
"Holladay City","Stephanie N. Carlson","City Recorder","84117","(801) 272-9450","4580 South 2300 East
Holladay, UT 
(40.67158345100046, -111.8245966499997)"
"Tabiona City","Jerry Turnbow","Mayor","84072","(435) 848-5481","38152 W 3950 N
Tabiona, UT 
(40.3515210540005, -110.70951631699967)"
"Apple Valley Town","Alice Baugh","Town Clerk","84737",,"6802 E. Meadow Lark Lane
Apple Valley, UT 
(37.10170340300044, -113.1286386749997)"
"Mayfield City","Catherine Bartholomew","Mayfield Town Recorder","84643","(435) 528-7031","52 North Main
Mayfield, UT 
(39.114974970000446, -111.70866365399968)"
"Circleville City","Joe Dalton",,"84723","(435) 577-2446","140 S Center St
Circleville, UT 
(38.169528529000445, -112.27248401299971)"
"Wellsville City","Thomas G. Bailey","Mayor","84339","(435) 245-3686","75 East Main St
Wellsville, UT 
(41.6387675740005, -111.93226047599967)"
"Washington Terrace City","Laura Gamon","City Treasurer/HR","84405","(801) 395-8285","5249 S South Pointe Dr
Washington Terrace, UT 
(41.168472057000486, -111.9706135409997)"
"Woods Cross City","Gary K. Uresk","City Administrator","84087","(801) 292-4421","1555 South 800 West
Woods Cross, UT 
(40.90579995900049, -111.90206723599971)"
"Town of Alta","Tom Pollard","Mayor",,"(801) 363-5105","10201 E. Highway 210
Alta, UT 
(40.58976034200049, -111.63912923299966)"
"Kamas City","Lewis P. Marchant","Mayor","84036","(435) 783-4630","170 N Main
Kamas, UT 
(40.64568155800049, -111.28075457599971)"
"Holden City","Brent Bennett","Mayor","84636","(435) 795-2213","56 North Main
Holden, UT 
(39.100259734000474, -112.27089155399972)"
"Hurricane City","Thomas B. Hirschi","Mayor","84737","(435) 635-2811","147 North 870 West
Hurricane, UT 
(37.17850936400049, -113.30455321899967)"
"Rockville City","Dan McGuire","Mayor",,"(435) 772-0992","188 W Main St.
Rockville, UT 
(37.161008507000474, -113.04652159999966)"
"Laketown City","McKay Willis","Mayor","84038","(435) 946-9000","60 E Center
Laketown, UT 
(41.82549690400049, -111.32107970099969)"
"Woodruff Town","Anelisa Bell","Clerk","84086","(435) 793-4201","195 S. Main
Woodruff, UT 
(41.5201106180005, -111.16294550599969)"
"Kanab City","Joe Decker","City Manager","84741","(435) 644-2534","76 North Main Street
Kanab, UT 
(37.04935009500048, -112.52853635499969)"
"Moroni City","Lawrence Scott Robertson","Mayor",,"(435) 436-8359","36 North Center Street
Moroni, UT 
(39.525808215000495, -111.5837711269997)"
"Murray City","Frank M. Nakamura","City Attorney","84107","(801) 264-2640","5025 S State Street Rm. 106
Murray City, UT 
(40.66234009600049, -111.88828479299968)"
"Pleasant View City","Laurie Hellstrom","Recorder","84414","(801) 782-8529","520 West Elberta Dr
Pleasant View, UT 
(41.31921838800048, -111.98896855899972)"
"Perry City","Gerald Nelson","Mayor","84302","(435) 723-6461","3005 South 1200 West
Perry City, UT 
(41.455249411000466, -112.04452383599971)"
"Lynndyl City","Jese Ruiz",,"84640","(435) 857-2425","277 East Center
Lynndyl, UT 
(39.51927756200047, -112.37085766999968)"
"Francis City","Paul Christensen","Mayor","84036","(435) 783-6236","2317 S Spring Hollow
Kamas, UT 
(40.643151831000466, -111.27968757999969)"
"Ophir City","Walter Shubert",,"84074","(435) 882-0603","
Ophir, UT 
(40.3694035260005, -112.25651982399967)"
"Glendale City","Bill Spencer",,"84729","(435) 648-2341","
Glendale, UT 
(37.31874051300048, -112.59753730799969)"
"Ivins City","R. Daren Barney",,"84738","(435) 628-1711","55 North Main Street
Ivins, UT 
(37.169248137000466, -113.67962717899968)"
"Cedar Hills City","Kim E. Holindrake","City Recorder","84062","(801) 785-9668","3925 W Cedar Hills Drive
Cedar Hills, UT 
(40.41498436800049, -111.75275110099972)"
"Big Water City","Willy Marshall","Mayor",,"(435) 675-3760","15 Aaron Burr
Big Water, UT 
(37.079094041000474, -111.6644857599997)"
"Cannonville City","Alma Fletcher","Mayor","84718","(435) 679-8784","25 South Red Rock Drive
Cannonville, UT 
(37.56625381100048, -112.0558912629997)"
"Blanding City","Jeremy Redd","City Administrator","84511","(435) 678-2791 302","50 West 100 South
Blanding, UT 
(37.62398274900045, -109.47891238999966)"
"Spanish Fork City","Kent R. Clark","City Recorder","84660","(801) 804-4520","40 S Main Street
Spanish Fork, UT 
(40.10942112400045, -111.65482673599968)"
"Ferron City","Gil Conover","Mayor","84523","(435) 384-2350","15 E Main St
Ferron, UT 
(39.0900138450005, -111.13165859799972)"
"North Logan City","Jeff Jorgensen","City Administrator","84341","(435) 752-1310","2076 North 1200 East
North Logan, UT 
(41.76849438200048, -111.8044975629997)"
"Vernon City","Richard Shumway","Mayor","84080","(435) 839-3473","780 Fredrickson Lane
Vernon, UT 
(40.050422383000466, -112.4426983089997)"
"Wallsburg City","Roger Keller","Mayor","84082","(435) 654-1001","70 W Main Canyon Rd
Wallsburg, UT 
(40.38772829400045, -111.42385069399967)"
"Lehi City","Connie J. Ashton","City Recorder","84043","(801) 768-7100 254","153 North 100 East
Lehi, UT 
(40.38969161900047, -111.84751097599968)"
"North Salt Lake City","Shanna Schaefermeyer","Mayor","84054","(801) 936-3877","20 S. Highway 89
North Salt Lake, UT 
(40.8408158740005, -111.9107900089997)"
"Goshen City","Dorothy Sprague","Mayor","84633","(801) 667-9910","10 W Main
Goshen, UT 
(39.952887973000486, -111.90051634299971)"
"Virgin City","John Grow","Mayor","84779","(435) 635-4695","101 South Mill St
Virgin, UT 
(37.19959381600046, -113.18849654699972)"
"Salem City","Jeffrey Nielson","City Recorder/Finance Director","84653","(801) 423-2770","30 West 100 South
Salem, UT 
(40.053088371000456, -111.67397996399967)"
"Eureka City","Lloyd Conder","Mayor","84628","(435) 433-6915","15 N Church Street
Eureka, UT 
(39.953768536000496, -112.12254303299972)"
"Elk Ridge City","Dennis Dunn","Mayor","84651","(801) 423-2300","80 E Park Dr
Elk Ridge, UT 
(40.01461368100047, -111.68124970999969)"
"Kannarville City","Randy Williams","Mayor","84742","(435) 867-1852","40 South Main Street
Kanarrarville, UT 
(37.53677252600045, -113.18318591999969)"
"Trenton Town","Edward Lee Cottle","Mayor","84338","(435) 563-9929","1207 South 400 East
Trenton, UT 
(41.89558007900047, -111.93303711399972)"
"Naples City","Dean Baker",,"84078","(435) 789-9090","1420 East 2850 South
Naples, UT 
(40.41209910100048, -109.49979393599966)"
"Henrieville City","Carlon Johnson",,"84736","(435) 679-8581","
Henrieville, UT 
(37.56254327100049, -111.99539732999972)"
"Enterprise City","S. Lee Bracken","Mayor","84725","(435) 878-2221","375 South 200 East
Enterprise, UT 
(37.56749089700048, -113.71666565799967)"
"Farmington City","Holly Gadd","City Recorder","84025","(801) 451-2383 205","160 South Main Street
Farmington, UT 
(40.978024984000456, -111.88762568799967)"
"Millville City","Michael Johnson","Mayor","84326","(435) 750-0924","510 East 300 South
Millville, UT 
(41.67603361200048, -111.8098609919997)"
"Park City","Marci Heil","City Recorder","84060","(435) 615-5007","445 Marsac Avenue
Park City, UT 
(40.64372613600045, -111.49429198499968)"
"Cottonwood Heights","Kory Solorio","City Recorder","84047","(801) 944-7020","1265 E. Fort Union Blvd. #250
Cottonwood Heights, UT 
(40.626127133000466, -111.8556210329997)"
"Fayette City","Shawn Crane",,"84630","(435) 528-7440","
Fayette, UT 
(39.224563584000464, -111.84802772099971)"
"West Jordan City","Melanie Briggs","City Recorder","84088","(801) 569-5117","8000 S. Redwood Road 3rd Floor
West Jordan City, UT 
(40.60600042900046, -111.93877662899968)"
"Leamington City","Jim Rasch",,"84638","(435) 857-1200","
Leamington, UT 
(39.53528269400044, -112.2799894529997)"
"Moab City","Rachel Stenta","City Recorder","84532","(435) 259-5121","217 E. Center Street
Moab, UT 
(38.57329810400046, -109.54545042599966)"
"Mt. Pleasant City","Sandra Bigler","Mayor","84647","(435) 462-2456","115 W. Main
Mt. Pleasant, UT 
(39.54673476200048, -111.4576388589997)"
"Minersville City","Robert Craw","mayor","84752","(435) 386-2242","60 w main
Minersville, UT 
(38.21552862200048, -112.92506497399967)"
"Brian Head Town","Bryce Haderlie","Town Manager","84719","(435) 677-2029","56 N HWY 143
Brian Head, UT 
(37.70497499400045, -112.84862871699971)"
"Alton City","Claren Heaton","mayor","84710","(435) 648-2635","11 south 100 west
Alton, UT 
(37.4388605260005, -112.4848856159997)"
"Huntington City","Jackie Wilson","Mayor","84528","(435) 687-2436","20 South Main
Huntington, UT 
(39.325980109000454, -110.96461568999968)"
"Panguitch City","Janet Oldham","Mayor","84759","(435) 676-8585","25 South 200 East
Panguitch, UT 
(37.822385098000495, -112.43167109499967)"
"Fairview City","Don Worley",,"84629","(435) 427-3281","
Fairview, UT 
(39.63046085400049, -111.4392587159997)"
"Kingston City","Carlos Jessen",,"84743","(435) 577-2967","111 South 100 West
Kingston, UT 
(38.20660409900046, -112.18921555299971)"
"Tremonton City","Elizabeth Miller","Assistant Clerk","84337","(435) 257-2636","102 S Tremont St
Tremonton, UT 
(41.7104912850005, -112.16609017499968)"
"Castle Valley City","Damian Bollermann","Mayor",,"(435) 259-9828","HC 64 Box 2705 #2 Castle Valley Drive
Castle Valley, UT 
(38.63458047300048, -109.40433706199968)"
"Richfield City","Michele Jolley","City Recorder","84701","(435) 896-6439","75 E Center Street
Richfield, UT 
(38.76811136800046, -112.0834319489997)"
"Stockton City","Barry Thomas","Mayor","84071","(435) 882-3877","18 N Johnson St. Box 240
Stockton, UT 
(40.45151508100048, -112.3601452159997)"
"Bountiful City","Kim J. Coleman","City Recorder","84010",,"790 South 100 East
Bountiful, UT 
(40.88094985000049, -111.8784270219997)"
"Paragonah City","Connie Robinson","Mayor","84760","(435) 477-8979","44 North 100 West
Paragonah, UT 
(37.886564674000454, -112.77676861599969)"
"Provo City","Janene Weiss","City Recorder","84601","(801) 852-6524","351 West Center Street
Provo, UT 
(40.23366006800046, -111.66480204099969)"
"Payson City","Jeanette Curtis","City Recorder","84651","(801) 465-5205","439 W Utah Avenue
Payson, UT 
(40.04360278700045, -111.73867021699971)"
"Tooele City","Michelle Y. Pitt","City Recorder","84074","(435) 843-2110","90 North Main St
Tooele, UT 
(40.53220023600045, -112.29852477299971)"
"Snowville City","Mike Morgan","Mayor","84336","(435) 872-8501","20 W Main
Snowville, UT 
(41.965577743000495, -112.71094026199967)"
"Charleston Town","Sheryl Lambert","Town Clerk","84032","(435) 654-7177","3454 West 3400 South
Charleston, UT 
(40.4663277410005, -111.46888071399968)"
"Glenwood City","Jake Albrecht","Mayor",,"(435) 896-0260","175 E. 300 N.
Glenwood, UT 
(38.76728985900047, -111.98739898699966)"
"Hooper City","Glenn Barrow","Mayor","84315","(801) 732-1064","5580 West 4600 South
Hooper City, UT 
(41.178888445000496, -112.11405021599967)"
"Marriott-Slaterville City","Becky Burt","City Recorder","84404","(801) 627-1919","1570 West 400 North
Marriott-Slaterville, UT 
(41.26732556100046, -112.01809780599967)"
"Enoch City","Robert Rassmussen","Mayor","84720","(435) 586-1119","900 E Midvalley Rd
Enoch, UT 
(37.76468606800046, -113.04365010799967)"
