"company","mailing_address","company_city","phone","license","valid_date","description","location_1"
"REDI-SERVICES, LLC","P.O. BOX 310","LYMAN","307 787-6333","H14041","2015-07-22T00:00:00.000","INSTALL & SERVICE W/EXT.","
, WY 82937
(41.34184721400004, -110.31783987999995)"
"ELITE FIRE PROTECTION INC.","88 N LEE LANE","ST GEORGE","385-214-4007","H5040","2015-09-29T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84790
(37.08085674100005, -113.55843622699996)"
"TAYLOR BROTHERS OF UTAH, INC","3782 W 2340 S","WEST VALLEY CITY","801-972-1188","H13521","2016-03-25T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84119
(40.69923828100008, -111.94877679899997)"
"UTAH HOOD CLEANING","770 E MAIN ST #316","LEHI","801-717-8773","H16471","2015-04-17T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84043
(40.404816363000066, -111.86183758399994)"
"BROWN BROTHERS SERVICES","1324 W 1800 S","LOGAN","435 764-4150","H10841","2014-12-21T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84321
(41.72839628400004, -111.83498979499996)"
"ALARM CONTROL SYSTEMS","2166 SO 900 EAST","SALT LAKE CITY","801 486-8731","H20","2016-01-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84106
(40.705429914000035, -111.85817908999996)"
"SIMPLEX GRINNELL LP","2702 SO. 1030 WEST #60","SALT LAKE CITY","801-262-9406","H41","2016-01-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84107
(40.661658328000044, -111.88116851399997)"
"DRL INVEST DBA BYRDS FIRE PROT","P.O. BOX 57551","MURRAY","801 263-1705","H11","2015-07-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84157
(40.66363965100004, -111.888276943)"
"DIRECT ATTACK FIRE AND SAFETY","815 S. ANNABELLA RD","RICHFIELD","435-979-0313","H15921","2014-10-16T00:00:00.000","KITCHEN EXHAUST CLEANING","
, UT 84701
(38.76948664300005, -112.07845783299996)"
"FREEDOM FIRE SYSTEMS","40 N 300 E #203","ST GEORGE","435-319-0289","H4830","2015-08-19T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84770
(37.115977420000036, -113.60079568499998)"
"A+ FIRE SYSTEMS","1350 WEST 1200 NORTH","ST. GEORGE","435 668-6560","H13421","2015-03-04T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84770
(37.115977420000036, -113.60079568499998)"
"FIRETROL PROTECTION SYSTEMS","3696 WEST 900 SOUTH, STE A","SALT LAKE CITY","801-485-6900","H39","2016-02-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84115
(40.715458186000035, -111.88832908299997)"
"KOETTER FIRE PROTECTION INTNTL","10351 OLYMPIC DRIVE","DALLAS","214-358-3593","H4420","2015-06-03T00:00:00.000","INSTALL & SERVICE W/EXT.","
, TX 75220
(32.86643169100006, -96.86722794899998)"
"WOODCLIFFE  HLDNGS/INTERSTATE","PO BOX 486","PAGE","928 645-0880","H9201","2016-01-31T00:00:00.000","KITCHEN EXHAUST CLEANING","
, AZ 86040
(36.91650690800003, -111.46136711699995)"
"STEAM TEAM 2/SES FIRE PROTECT","705 SO REDWOOD RD LOT 95","SALT LAKE CITY","801 484-8028","H1267","2015-10-15T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84104
(40.746577116000026, -111.93907874699994)"
"ALLIANCE FIRE & SAFETY, INC","615 N 3050 E #A9","ST. GEORGE","435 669-4039","H2294","2016-01-03T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84790
(37.08085674100005, -113.55843622699996)"
"TONG'S FIRE - ELSINORE BRANCH","P.O. BOX 135","ELSINORE","435-590-3500","H16461","2015-04-16T00:00:00.000","INSTALL & SVCE BRANCH W/ EXT.","
, UT 84724
(38.66554976700007, -112.14352863599998)"
"UNITED FIRE INC.","4526 COPPER VALLEY LANE","WEST JORDAN","801-748-0696","H14571","2016-01-18T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84088
(40.595488240000066, -111.96099929999997)"
"INTERSTATE FIRE PROTECTION","PO BOX 7216","BUNKERVILLE","702 346-5078","H25","2015-08-07T00:00:00.000","INSTALL & SERVICE W/EXT.","
, NV 89007
(36.771127369000055, -114.12665866599997)"
"STATE OF UTAH/DFCM","RM 4130 STATE OFFICE BLDG","SALT LAKE CITY","801 538-3547","H49","2016-09-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84114
(40.72590792500006, -111.94012589299996)"
"CLARK'S HOME FIRE SAFETY","PO BOX 821","WELLINGTON","435 650-0554","H14411","2016-02-19T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84542
(39.542975832000025, -110.72797798399995)"
"CORP OF THE PRESIDING BISHOP","50 E NORTH TEMPLE","SALT LAKE CITY","801 240-5008","H21","2016-03-05T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84150
(40.72590792500006, -111.94012589299996)"
"AMERICAN FIRE EQUIPMENT CORP.","3107 W VIRGINIA AVE","PHOENIX","602-433-2484","H4670","2015-07-15T00:00:00.000","INSTALL & SERVICE W/EXT.","
, AZ 85009
(33.45598376200007, -112.12896852199998)"
"INDUSTRIAL HOOD CLEANING","5246 W STOCKTON STREET","KEARNS","801-969-3272","H3490","2014-08-20T00:00:00.000","HOOD CLEANING CONCERN","
, UT 84118
(40.652286151000055, -112.00951997599998)"
"A+ FIRE SYSTEMS","1350 WEST 1200 NORTH","ST. GEORGE","435 668-6560","H13421","2015-03-10T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84770
(37.115977420000036, -113.60079568499998)"
"TONG'S FIRE - ELSINORE BRANCH","P.O. BOX 135","ELSINORE","435-590-3500","H16461","2015-02-27T00:00:00.000","SERVICE  W/EXTINGUISHERS","
, UT 84724
(38.66554976700007, -112.14352863599998)"
"COMMAND FIRE EXTINGUISHERS INC","1513 SO 1220 WEST","WOODS CROSS","801 294-6276","H83","2015-11-12T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84087
(40.88406612500006, -111.90776863699995)"
"A-1 FIRE SPRINKLERS","P O BOX 27782","SALT LAKE CITY","801 265-1374","H38","2015-02-18T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84127
(40.72590792500006, -111.94012589299996)"
"ALLSTAR FIRE PROTECTION, INC.","PO BOX 982036","PARK CITY","801 664-6944","H9091","2015-10-03T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84098
(40.72696810600007, -111.53960763099997)"
"TRI-STATE FIRE PROTECTION","1999 NORTH 2100 WEST","ST. GEORGE","435 673-2073","H35","2015-04-27T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84770
(37.115977420000036, -113.60079568499998)"
"CACHE VALLEY FIRE EXT INC","BOX 11","NEWTON","435 563-5236","H112","2015-09-09T00:00:00.000","HOOD CLEANING CONCERN W/EXT","
, UT 84327
(41.86257874300003, -111.98838586899996)"
"WASATCH FIRE PROTECTION","PO BOX 9441","SALT LAKE CITY","801 265-1374","H73","2015-05-09T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84119
(40.69923828100008, -111.94877679899997)"
"BOSS FIRE PROTECTION CO.","7127 SOUTH 400 WEST #5","MIDVALE","801 254-9383","H10231","2015-09-17T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84047
(40.617148092000036, -111.88374944699996)"
"SUREFIRE  SUPPRESSION","PO BOX 572031","MURRAY","801-252-6188","H14701","2015-05-05T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84107
(40.661658328000044, -111.88116851399997)"
"FLARE FIRE PROTECTION","1202 N 925 E","OGDEN","801-388-6446","H4170","2015-04-16T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84404
(41.26585741300005, -111.98805999399997)"
"WOODCLIFFE  HLDNGS/INTERSTATE","PO BOX 486","PAGE","928 645-0880","H9201","2015-12-02T00:00:00.000","INSTALL & SERVICE W/EXT.","
, AZ 86040
(36.91650690800003, -111.46136711699995)"
"STATE FIRE DC SPECIALTIES","5370 E IDAHO ST, ELKO,NV 89801","SALT LAKE CITY","801 288-2100","H9","2016-04-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84115
(40.715458186000035, -111.88832908299997)"
"INTEGRITY FIRE PROTECTION","PO BOX 743, MIDVALE, UT 84047","WEST VALLEY CITY","801-244-4066","H4430","2015-06-04T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84119
(40.69923828100008, -111.94877679899997)"
"XSTREAM  PRESSURE","PO BOX 103","MENDON","435 881-9226","H10521","2014-11-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84325
(41.73192877300005, -111.98451881499994)"
"WESTFIRE INC.","1905 WEST 4700 SOUTH #219","TAYLORSVILLE","801 582-8000","H2049","2015-06-28T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84118
(40.652286151000055, -112.00951997599998)"
"TRI COUNTY FIRE PROTECTION","3159 BARON LANE","RIFLE","970 625-4533","H9891","2016-04-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, CO 81650
(39.551709293000044, -107.79031976499999)"
"CERTIFIED FIRE PROTECTION","3140 SOUTH 460 WEST","SALT LAKE CITY","801 281-0746","H1738","2016-01-01T00:00:00.000","INSTALL & SERVICE W/EXT.","
, UT 84115
(40.715458186000035, -111.88832908299997)"
