"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"People With Disabilities","Early Intervention Program, South Utah University","Assistance to infants with disabilities and their parents","381 W University Blvd SUU Campus      Cedar City UT  84720",,"435-586-6070",,"http://www.suu.edu/ed/headstart/SUU-HeadStartEarlyInterventionStaff.html","Access on web site, click on program coordinator",,"Early Intervention services including full testing of early child health and development.  ","Sliding fee scale. If receiving WIC, Medicaid, CHIP, FEP/TANF fee is waived","Call or check website for eligibility requirements","Beaver, Garfield, Iron and Kane counties",,
,"Division of Rehabilitation Services (Voc Rehab) Southern Utah District, Cedar City","Assistance for individuals with disabilities","925 S Main      Cedar City UT 84720-3726",,"435-586-9995 or toll free 1-800-281-9945 Voice/TTY",,"http://www.usor.utah.gov/division-of-rehabilitation-services",,"M-F 8:00am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, guidelines for eligibility on website","southwestern Utah area",,"x"
,"Division of Services for People with Disabilities (DSPD) Kanab","Children and Adults with qualifying disabilities",,,"435-772-0877",,"www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,,,"x"
,"Division of Services for People with Disabilities (DSPD) Cedar City","Children and Adults with qualifying disabilities","106 N 100 E      Cedar City UT 84720",,"435-865-5650","435-865-5666","www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,,,
,"Turn Community Services","Services for individuals with disabilities and their families","295 S 200 E      Cedar City UT 84720",,"435-586-1128","435-586-8978","http://www.turn.nu/","Access on web site",,"Assistance for individuals with disabilities and their families",,"Eligibility determined by DSPD ","Richfield, Kanab, Beaver, Cedar City, Enterprise, Panquitch areas","yes","x"
,"Rise, Inc. ","Services for People with Disabilities and their families","50 E 100 S Ste 302 St. George UT 84770",,"435-673-1108","435-656-3925","http://www.riseinc.net/","letusknow@utahrise.com",,"Provide support and services to adults and children with developmental disabilities and their families",,"Eligibility determined through the Department of Human Services, Division of Services for People with Disabilities","southwestern Utah area","Spanish","x"
"Senior Citizens","Five-County Area Agency on Aging","Services for Seniors, disabled adults and their caregivers","1070 W 1600 S     Bldg B                  St. George UT 84770","PO Box 1550     St. George UT 84771-1550","435-673-3548","435-673-3540","www.brag.utah.gov/aging.html","mguymon@seualg.dst.ut.us",,"In-Home Service, Senior Companion Program, Health Insurance Info, Senior Centers, Senior Resource Guide, Caregiver Support, Information & Referral, Ombudsman",,"Residence of Beaver, Garfield, Iron, Kane, Washington counties","Beaver, Garfield, Iron, Kane and Washington counties","yes","x"
"Substance Abuse","Alcoholics Anonymous (AA) ","Group meetings for alcohol dependency",,,"435-674-47911",,"www.utahaa.org","Access on web site","Call for meetings and locations","Conduct Open and Closed Group Sessions in a 12 Step Program, Locate local meetings and times ",,,"Iron, Beaver counties",,
"Tribal Services","Paiute Indian Tribe",,,,"435-586-1112",,"http://indian.utah.gov/related_organizations/resources.html",,,,,,,,
,"U.S. Division of Indian Affairs",,"180 N 200 E #111  St George UT 84770",,"435-674-9720",,"http://indian.utah.gov/related_organizations/resources.html",,,,,,,,
