"project_number","project_title","project_group","project_type","project_work","contractor","contact_name","contact_email","contact_phone","estimated_start_date","estimated_end_date","time_elapsed","work_completed"
"83100645","Local Streets Reconstruction 2021 #1","Civil A","Roadway","Reconstruction","Jordan Valley Construction","Leah Smith","leah.smith@slcgov.com","801-535-6251","2021-05-03T12:00:00.000","2022-08-15T12:00:00.000","99","85"
"513505551","12-inch Water Main - 600 South - 600 East to West PL","Water","Utility","Utilities",,,,,"2022-07-28T12:00:00.000","2023-06-30T12:00:00.000",,
"513505505","400 North 14-inch HDPE - 8000 W to 7400 W to 700 N - NWQ Rail Plat A","Water","Utility","Utilities",,,,,"2021-10-08T12:00:00.000","2023-06-30T12:00:00.000",,
"513505206","State St/North Temple reconnect main at Intersection of North Temple and State Street","Water","Utility","Utilities",,,,,"2020-10-01T12:00:00.000","2023-06-30T12:00:00.000",,
"513505550","Jefferson St Partial Water Main Upsize - 854 S Jefferson St","Water","Utility","Utilities",,,,,"2022-07-28T12:00:00.000","2023-06-30T12:00:00.000",,
"513505553","SLC Airport - 1580 North Water 12-Inch PVC Water Main at 1580 N 4000 W - DONATED","Water","Utility","Utilities",,,,,"2021-11-16T12:00:00.000","2023-06-30T12:00:00.000",,
"FAC22027","Memorial House Coolerado Replacement","Architectural","Facility","HVAC",,,,,"2022-04-25T12:00:00.000","2022-10-25T12:00:00.000","80","80"
"525003073","Azure Place Sewer Main - 640 N 300 W -  PRIVATE","Sewer","Utility","Utilities",,,,,"2022-07-13T12:00:00.000","2023-06-30T12:00:00.000",,
"513302149","Butler Hills Subdivision- PUT2022-00462 at 7467 Butler Hills Drive","Water","Utility","Utilities",,,,,"2022-07-29T12:00:00.000","2023-06-30T12:00:00.000",,
"534701118","8000 West Drainage Swale - SLC GLC Port Rail Plat A from 400 North to North Temple","Storm","Utility","Utilities",,,,,"2021-10-08T12:00:00.000","2023-06-30T12:00:00.000",,
"513505554","The Iris 400 North Water Main – 440 W to 490 W – DONATED - REIMBURSEMENT","Water","Utility","Utilities",,,,,"2022-08-19T12:00:00.000","2023-06-30T12:00:00.000",,
"512450094","Stairs Mt Dell Dam at PWTP","Water","Utility","Utilities",,,,,"2022-10-03T12:00:00.000","2023-06-30T12:00:00.000",,
"513505549","Watermain upsizing for West Temple Townhomes (PUT2022-00689) at 1689 S West Temple St","Water","Utility","Utilities",,,,,"2022-07-13T12:00:00.000","2023-06-30T12:00:00.000",,
"534701117","400 North 7400 West Drainage Swale - SLC GLC Port Rail Plat A","Storm","Utility","Utilities",,,,,"2021-10-08T12:00:00.000","2023-06-30T12:00:00.000",,
"525003039","700 North 24-Inch Sewer Main 7200 West to PS2","Sewer","Utility","Utilities",,,,,"2021-10-08T12:00:00.000","2023-06-30T12:00:00.000",,
"534701180","The Iris 400 North Storm Main – 440 W to 480 W - DONATED","Storm","Utility","Utilities",,,,,"2022-08-19T12:00:00.000","2023-06-30T12:00:00.000",,
"SUB20067","The Quadrant Phase 1 Subdivision","Permitting","Subdivision","Subdivision Review",,,,,"2021-06-25T12:00:00.000","2022-12-30T12:00:00.000",,
"534701120","300 N overpass PUT2021-01689","Storm","Utility","Utilities",,,,,"2021-10-20T12:00:00.000","2023-06-30T12:00:00.000",,
"534701124","Drainage Swale for Landmark Commerce Bldg B (PUT2021-01605) - DONATED","Storm","Utility","Utilities",,,,,"2021-10-29T12:00:00.000","2023-06-30T12:00:00.000",,
"513505555","300 W Bishops Place 8-inch PVC Water  PUT2022-01282 - DONATED - REIMBURSEMENT","Water","Utility","Utilities",,,,,"2022-08-18T12:00:00.000","2023-06-30T12:00:00.000",,
"SUB21025","Mountain View Industrial Park Plat 1","Permitting","Subdivision","Subdivision Review",,,,,"2022-08-25T12:00:00.000","2022-12-30T12:00:00.000",,
"534701123","7200 West 700 North Storm Drain Crossing - Master Plan - DONATED","Storm","Utility","Utilities",,,,,"2021-10-27T12:00:00.000","2023-06-30T12:00:00.000",,
"SUB21027","700 N: 6550 W to 8000 W","Permitting","Subdivision","Subdivision Review",,,,,"2022-08-25T12:00:00.000","2022-12-30T12:00:00.000",,
"SUB21026","SLC Port GLC Rail Plat A","Permitting","Subdivision","Subdivision Review",,,,,"2022-08-25T12:00:00.000","2022-12-30T12:00:00.000",,
"SUB21018","The Quadrant Plat A","Permitting","Subdivision","Subdivision Review",,,,,"2022-08-25T12:00:00.000","2022-12-30T12:00:00.000",,
"SUB21054","Perry Airport Subdivision","Permitting","Subdivision","Subdivision Review",,,,,"2022-08-25T12:00:00.000","2022-12-30T12:00:00.000",,
"513000051","New Irrigation Conduit on Harvard Avenue","Water","Utility","Utilities",,,,,"2022-11-01T12:00:00.000","2023-06-30T12:00:00.000",,
"534701121","150 South Storm Drain Roadway Drainage at 5960 West - DONATED","Storm","Utility","Utilities",,,,,"2021-10-20T12:00:00.000","2023-06-30T12:00:00.000",,
"534701181","Cleanout Box Rehabilitation - 400 S from 800 W to Jordan River","Storm","Utility","Utilities",,,,,"2022-11-01T12:00:00.000","2023-06-30T12:00:00.000",,
"SUB20052","SLC Port GLC Plat B","Permitting","Subdivision","Subdivision Review",,,,,"2021-04-09T12:00:00.000","2022-12-30T12:00:00.000",,
"512700037","Little Dell Dam - Install New Drains on the Portal, Parleys Canyon","Water","Utility","Utilities",,,,,"2022-11-03T12:00:00.000","2023-06-30T12:00:00.000",,
"SUB21023","Copper Crossing Plat 3","Permitting","Subdivision","Subdivision Review",,,,,"2022-01-01T12:00:00.000","2022-12-30T12:00:00.000",,
"512627476","Big Cottonwood WTP Rebuild","Water","Utility","Utilities",,,,,"2022-07-01T12:00:00.000","2025-06-30T12:00:00.000",,
"513505556","Upper Conduit Repair - Phase 2 - Construction - Bike path north side of I-80/I-215 Interchange","Water","Utility","Utilities",,,,,"2022-10-03T12:00:00.000","2023-06-30T12:00:00.000",,
"513302145","800 East - Krista Bear Lane - 8-inch Water Main - PUT2020-01794 - DONATED","Water","Utility","Utilities",,,,,"2021-11-08T12:00:00.000","2023-06-30T12:00:00.000",,
"512700035","Little Dell Dam - New Entrance Security Gate, Parleys Canyon","Water","Utility","Utilities",,,,,"2022-10-04T12:00:00.000","2023-06-30T12:00:00.000",,
"513505511","Izzy North PUT2021-00750 at  537 E 2100 S - DONATED","Water","Utility","Utilities",,,,,"2021-11-02T12:00:00.000","2023-06-30T12:00:00.000",,
"512260095","City Creek Treatment Plant Upgrades - CM/GC at 2200 N City Creek Canyon, SLC","Water","Utility","Utilities",,,,,"2023-07-04T12:00:00.000","2026-06-30T12:00:00.000",,
"512700036","Twin Lakes Dam - Gate Repairs at Brighton, Utah","Water","Utility","Utilities",,,,,"2022-10-03T12:00:00.000","2023-06-30T12:00:00.000",,
"534701182","Central West Apartments Storm main extension (PUT2020-00781) at 579 W 200 S","Storm","Utility","Utilities",,,,,"2022-09-01T12:00:00.000","2023-06-30T12:00:00.000",,
"810219","SLVSWMF, North Slope Final Cover","Civil A","Landfill","Landfill","Whitaker Construction","Not Determined","nobody@nowhere.com","801-123-1234","2021-05-04T12:00:00.000","2022-10-28T12:00:00.000","65","85"
"RDW21051","Bus Stop Enhancements 2022","Civil A","Roadway","Not Specified",,,,,"2022-04-01T12:00:00.000","2022-10-01T12:00:00.000","0","0"
"512627485","SLA Replacement - Cottonwoods Connection","Water","Utility","Utilities",,,,,"2023-07-03T12:00:00.000","2024-06-28T12:00:00.000",,
"512700032","Storage Reservoirs - Control Panel Replacement","Water","Utility","Utilities",,,,,"2022-06-20T12:00:00.000","2023-06-30T12:00:00.000",,
"513505529","Install new 12-inch watermain for Eighth Exchange (PUT2021-02641)","Water","Utility","Utilities",,,,,"2022-05-09T12:00:00.000","2023-06-30T12:00:00.000",,
"534701142","Industry 700 South 15 inch Storm Main 460 W to 500 W","Storm","Utility","Utilities",,,,,"2022-05-10T12:00:00.000","2023-06-30T12:00:00.000",,
"513505530","University West Village -12-inch DIP Water Main at 1945 East Sunnyside Ave","Water","Utility","Utilities",,,,,"2022-05-09T12:00:00.000","2023-06-30T12:00:00.000",,
"513505531","1400 South 8-inch PVC Pipe from 900 West to 1000 West","Water","Utility","Utilities",,,,,"2022-08-02T12:00:00.000","2023-06-30T12:00:00.000",,
"513000050","East Jordan Ext 15x6 Box Culvert Young Brothers at 918 E South Union, Midvale, UT","Water","Utility","Utilities",,,,,"2022-05-31T12:00:00.000","2023-06-30T12:00:00.000",,
"534701148","36-inch ADS culvert for Iron Horse Building #2 (PUT2021-00599) at 3828 W California Ave","Storm","Utility","Utilities",,,,,"2022-06-10T12:00:00.000","2023-06-30T12:00:00.000",,
"525003057","300 South - Copper Crossing Plat 4 - 15-inch PVC - PUT2021-02113 - DONATED","Sewer","Utility","Utilities",,,,,"2022-06-03T12:00:00.000","2023-06-30T12:00:00.000",,
"513505534","Ashton, 1100 E, Simpson-ATRE Sugar House-12” DIP-PUT2021-02572 - 3 street frontages","Water","Utility","Utilities",,,,,"2022-06-08T12:00:00.000","2023-06-30T12:00:00.000",,
"513302139","Craig Circle 8-inch Water Main at 3675 S Craig Circle","Water","Utility","Utilities",,,,,"2022-05-09T12:00:00.000","2023-06-30T12:00:00.000",,
"525003072","West Quarter Phase 2 Sewer Manhole 260 W 200 S","Sewer","Utility","Utilities",,,,,"2022-07-06T12:00:00.000","2023-06-30T12:00:00.000",,
"513505548","100 S 500 W Main Break Repair - EMERGENCY PROJECT","Water","Utility","Utilities",,,,,"2022-07-07T12:00:00.000","2023-06-30T12:00:00.000",,
"534701149","Stormdrain piping for Charlies Produce Addition (PUT2022-00289) AT 993 S 3600 W","Storm","Utility","Utilities",,,,,"2022-06-14T12:00:00.000","2023-06-30T12:00:00.000",,
"RDW20038","300 N 500 W Pedestrian Bridge","Architectural","Roadway","Pedestrian Enhancement",,,,,"2021-10-05T12:00:00.000","2023-03-31T12:00:00.000","75","45"
"513505524","1000 West - 1400 to 1700 South Water Main Replacement & 1400 South - 900 W to 1000 W","Water","Utility","Utilities",,,,,"2022-07-10T12:00:00.000","2023-06-30T12:00:00.000",,
"513505535","1000 W North Temple - 8-inch C900 water main 20 LF","Water","Utility","Utilities",,,,,"2022-06-16T12:00:00.000","2023-06-30T12:00:00.000",,
"PRK22037","Dee Glen Smith (Oak Hills) Tennis Center – Re-Bid","Architectural","Facility","Facility Improvement",,,,,"2022-07-26T12:00:00.000","2023-02-03T12:00:00.000",,
