"service_type","agency_name","health_needs_targeted","location","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
,"Pioneer Valley Hospital","Hospital Care","3460 S 4155 W     West Valley City UT 84120 ","801-964-3100",,"http://www.pioneervalleyhospital.com/","info@iasishealthcare.com ","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"Primary Children's Medical Center","Hospital Care Specialized to serve Children","100 N Medical Drive Salt Lake City UT  84113","801-662-1000",,"http://intermountainhealthcare.org/xp/public/primary/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs for children","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"Salt Lake Regional Medical Center","Hospital Care","1050 E South Temple Salt Lake City UT 84102 ","801-350-4111",,"http://www.saltlakeregional.com/","info@iasishealthcare.com","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"Shriners Hospital for Children","Hospital Care Specialized to serve Children","1275 Fairfax Road   Salt Lake City UT 84103","801-536-3500 or toll free 1-800-841-0204",,"http://www.shrinershq.org/","Access on web site",,"Serves children with range of health care needs including orthopedic or reconstructive burn plastic surgery needs. ","None","Must be a child under the age of 18 with qualifying medical conditions. Applications required, eligibility requirement outlined on web site.","Utah, Idaho, Nevada, Wyoming, Colorado, Arizona, New Mexico, and regions of Mexico","Yes","x"
,"St. Mark's Hospital","Hospital Care","1200 E 3900 S       Salt Lake City UT 84124","801-268-7111",,"http://www.stmarkshospital.com/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"University of Utah Hospital and Clinics","Hospital and Clinic care","50 N Medical Drive   Salt Lake City UT 84123","801-581-2121",,"http://healthcare.utah.edu/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Intermountain west","Yes","x"
,"Veterans Affairs - George E Wahlen Medical Center","Hospital Care for Veterans","500 Foothill Blvd    Salt Lake City UT 84148","801-582-1565",,"http://www.saltlakecity.va.gov/",,"24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs",,"Must be a veteran","Intermountain west","Yes","x"
"Home Health/ Hospice","Community Nursing Service, Hospice","Home Health Nursing and Hospice","6949 S High Teck Dr   Midvale UT 84047","801-233-6100 or toll free 1-800-466-2186","801-233-6110","www.cnsvna.org","Access on web site",,"Home Health Care, including rehab, home nursing, IV services, immunizations,  home health education, Hospice Care","Dependant on services provided","Home health care must be ordered by attending physician","Salt Lake valley ","Yes","x "
,"Intermountain Healthcare Home Health","Home Health Nursing and Hospice","2250 S 1300 W Ste A Salt Lake City UT 84119","801-977-9900 or toll free 1-800-527-1118","801-977-9956","www.intermountainhealthcare.org","Access on web site","M-F 7:30am - 6:00pm","Home Health care, including rehab, home nursing, IV services, social work services, medical equipment, nutritional services, hospice care.","Dependant on Services Provided","Home health care must be ordered by attending physician","Tooele, Salt Lake  and southern Davis counties","Yes","x"
,"Rocky Mountain Home Care; Rocky Mountain Hospice","Home Health Nursing and Hospice","5250 S Commerce Dr Suite 270          Murray UT 84107","801-397-4900 or toll free; 1-800-574-7666 Home Health; 1-800-390-2778 Hospice ","801-397-4959 Home Health; 801-397-4959 Hospice",,,"Services available 24 hours a day ","Home Health Care, including rehab, home nursing, IV services, social services, home health education, Hospice Care","Dependant on Services Provided","Home health care must be ordered by attending physician","Salt Lake valley ","Yes","x"
,"VistaCare Hospice","Hospice Care","1111 Brickyard Rd Ste 102                        Salt Lake City UT 84106","801-467-7772 or toll free 1-866-317-8921","801-467-7799","http://www.vistacare.com/locations/site.php?43","Access on web site",,"Hospice/End of life care",,"Call for eligibility requirements","Salt Lake Valley and other locations, call for other counties served ","Yes","x"
"Clinics","Central City Community Health Center","Primary medical care to low income and uninsured individuals","461 S 400 E           Salt Lake City UT 84102","801-539-8634",,"http://www.auch.org/membership/chc.html","Access on web site","M-F 8:00am - 5:00pm","Primary medical care to low income and uninsured people on a sliding fee scale","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances","Accepts previous clients within the last 2 years, immediate family members of current clients, or pregnant women. New clients are accepted with insurance.","Central Salt Lake City","Yes","x"
,"Copperview Community Health Center","Primary medical care to low income and uninsured individuals","8446 Harrison St    Midvale UT 84084","801-566-5494",,"http://www.auch.org/membership/chc.html","Access on web site",,"Primary medical care to low income and uninsured people on a sliding fee scale","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances","Accepts previous clients within the last 2 years, immediate family members of current clients, or pregnant women. New clients are accepted with insurance.","Southern Salt Lake Valley","Yes","x"
,"Oquirrh View Community Health Center","Primary medical care to low income and uninsured individuals","4745 S 3200 W     Salt Lake City UT 84118","801-964-6214",,"http://www.auch.org/membership/chc.html","Access on web site ",,"Primary medical care to low income and uninsured people on a sliding fee scale","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances","Accepts previous clients within the last 2 years, immediate family members of current clients, or pregnant women. New clients are accepted with insurance.","Western Salt Lake Valley","Yes","x"
,"Stephen D. Ratcliffe Northwest Community Health Center","Primary medical and dental care to low income or uninsured individuals","1365 W 1000 N     Salt Lake City UT 84116","801-328-5750",,"http://www.auch.org/membership/chc.html","Access on web site",,"Primary medical care to low income and uninsured people on a sliding fee scale","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances","Accepts previous clients within the last 2 years, immediate family members of current clients, or pregnant women. New clients are accepted with insurance.","Northern Salt Lake Valley","Yes ","x"
,"Health Clinics of Utah","Health Services to government assistance programs recipients","South Main Public Health Center       3195 S Main St #200       Salt Lake City UT 84115","801-468-0354","801-468-0353",,,"M-F 7:30am - 3:30pm ","Health Services to recipients of government programs.","Copay or Medicaid fees charged for services not covered by benefit plan","Services are for those who receive Medicaid, Medicare, PNC, or CHIP benefits. ","Salt Lake valley ","Yes","x"
,"Indian Walk-In Center","Primary medical, dental, and prenatal care to American Indian/Alaskan Native people","120 W 1300 S        Salt Lake City UT 84115","801-486-4877 or toll free 1-800-OUR-IWIC(687-4942)",,"http://www.auch.org/membership/iwic.html",,"M,T,W,F 8:30am - 4:30pm; H 8:30am - 3:00pm Closed for lunch.","Primary, dental, medical, prenatal care. HIV/AIDS testing, counseling, and education. Referral, Health Education and Information available. ","None","American Indians/Alaskan Natives in the Salt Lake area. Census and tribal enrollment numbers are required.","Salt Lake valley ","Yes","x"
,"David E. Salisbury Intermountain Neighborhood Clinic","Primary health care to low income and uninsured individuals","855 W California Ave Salt Lake City UT 84104","801-977-0502",,"http://intermountainhealthcare.org/xp/public/about-intermountain/chp/chpclinics.xml","Access on web site","M & F 9:00am - 4:00pm; T, W, H 9:00am - 6:00 pm","Primary medical and urgent care ","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances",,"No geographic restrictions","Yes","x"
,"Intermountain North Temple Clinic","Primary health care to low income and uninsured individuals","54 N 800 W            Salt Lake City UT 84116","801-359-0901",,"http://intermountainhealthcare.org/xp/public/about-intermountain/chp/chpclinics.xml","Access on web site","M-Sat 10:00am - 7:30pm; Sun 12:00pm - 6:00pm","Primary medical and urgent care ","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances",,"No geographic restrictions","Yes","x"
,"Intermountain Pamela J Atkinson Clinic","Primary health care to low income and uninsured individuals","1090 South Roberta St (Lincoln Elementary) Salt Lake City UT 84111","801-578-8376",,"http://intermountainhealthcare.org/xp/public/about-intermountain/chp/chpclinics.xml","Access on web site","M-H 8:00am - 4:00pm; F 8:00am - Noon","Primary medical and urgent care ","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances","Must be a resident in zip codes; 84101, 84102, 84105, 84106, 84111 and 84115 as well as students of Lincoln Elementary School and their families.","Zip codes 84101, 84102, 84105, 84106, 84111, 84115, and Lincoln Elementary","Yes","x"
,"Intermountain Rose Park Elementary Clinic","Primary health care to low income and uninsured individuals","1130 W Sterling Dr (930 North)             Salt Lake City UT 84116","801-364-2434",,"http://intermountainhealthcare.org/xp/public/about-intermountain/chp/chpclinics.xml","Access on web site","M & H 2:00pm - 7:00pm; W & F  9:00am - 3:00pm ","Primary medical and urgent care ","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP, some private insurances","Must be a resident in zip codes;  84116, 84114, 84103 as well as students of Rose Park Elementary and their families.","Zip codes 84116, 84114, 84103 and Rose Park Elementary","Yes","x"
,"Maliheh Free Clinic","Free Primary Medical Services for uninsured families","415 E 3900 S         Salt Lake City UT 84107","801-266-3700",,"http://www.malihehfreeclinic.org/","Access on web site","T-F 9:00am-12:00pm, 1:00pm -4:00pm. Closed for lunch.  By appointment only.","Primary medical care to low income and uninsured people","None","Children and adults in families below %150 of poverty line and do not have health insurance and are not eligible for Medicare, Medicaid or other health insurance assistance.","Greater Salt Lake Area","Yes","x"
,"Midvale Family Health Center","Primary Medical care ","Midvale Middle School 7852 South Pioneer St Midvale UT 84047","801-561-2211",,,,"M-H 9:00am-12:00pm, 1:00pm -4:00pm. Closed for lunch.  Urgent Pediatric walk-ins 8:30am-9:00am; 1:00pm - 1:30pm ","Provides primary medical care by a licensed family nurse practitioner and licensed clinical social worker.","Sliding Fee Scale, Medicaid, Medicare, PCN, CHIP,  private insurances",,,"Yes","x"
,"Refugee Health Program","Health services for refugee community","288 N 1460 W        Salt Lake City UT 84114","801-538-6096","801-538-9913","www.utah.gov","Access on web site","M-F 8:00am - 5:00pm","Provide blood work, blood pressure screening, access health history, update immunizations, TB Screening and follow up therapy, Referral, communicable disease evaluation.","None","Varies according to service","Statewide","Yes","x"
,"Seraphine Clinic","Primary medical care","6216 S Redwood Rd   Salt Lake City UT 84123-6630 ","801-963-6966","801-963-6366","http://www.seraphineclinic.com/en_faq.htm","Access on web site","M-F 9:00am - 6:00pm; Sat 9:00am - 2:00pm","Primary medical care to low income and uninsured people",,,"Salt Lake Valley ","Yes","x"
,"Utah Partners for Health","Primary medical care and women's health ","8211 W 3500 S     Magna UT 84044","801-250-9638 ext 131",,"http://www.upfh.com/contact.asp","Access on web site","Daily 8:00am - 10:00pm","Provides primary medical care, clinical breast exams and pap smears for women","Varies by service, low fee per visit","Must be a resident of Magna, Kearns or west side of West Valley City boundaries (except for breast exams and pap smears); be currently uninsured; have household income less than 80% of median income for Utah (call for details), unable to qualify for state or federal aid. ","Magna, Kearns, west side of West Valley City","Yes","x"
,"Wasatch Homeless Health Care Program 4th Street Clinic","Primary health care to homeless individuals and families","404 S 400 W          Salt Lake City UT 84101","801-364-0058","801-364-0161","http://www.fourthstreetclinic.org/","Access on web site","M & W 8:00am-7:00pm; T, H, F 8:00am - 5:00pm; Sat 9:00am - 11:00am","Primary care including urgent care, pediatrics, immunizations, cancer & tuberculosis screening, chronic disease management, pharmacy services, behavioral health services, substance abuse screening. Specialty care also available. Referrals to off site services. ","None.  Medicare, Medicaid, PCN, & CHIP ","Services for homeless population only. Appointments necessary for most services. Urgent walk-in services available M-F 8:00am - 8:30am, Sat 9:00am - 11:00am.","Salt Lake Valley","Yes","x"
"Mental Health/ Counseling","Assessment, Counseling & Educational Services","Mental Health and Substance Abuse services","3808 S West Temple Ste 1 A                  Salt Lake City UT 84115","801-265-8000",,"http://www.acestreatment.org/","acesinc@xmission.com ",,"Mental health and substance abuse services, services for DUI offenders and other legal problems, domestic violence treatment. ","Sliding fee scale ","Call for appointment ",,"Yes, Spanish","x"
,"Caring Connections-Health Science Center","Grief Counseling","10 S 2000 E           Salt Lake City UT 84112-5880","801-585-9522",,"http://www.nurs.utah.edu/caringconnections/about.htm",,,"Grief counseling services for children, adults, and families",,"Call for details",,"yes","x"
,"Catholic Community Services of Utah (CCS)","Counseling, Substance Abuse treatment and referral services","250 E 300 S, Ste 380 Salt Lake City UT 84111","801-977-9119","801-977-8227","www.ccsutah.org",,,"Counseling services through variety of programs including refugee, immigration, substance abuse, pediatric, and other services. See web site and/or contact main office for more information.","Dependent on services provided","Call for eligibility requirements","Statewide","Yes","x, call ahead for assistance"
,"Center for Family Development (CFD)","Mental Health services","1747 S 900 W        Salt Lake City UT 84104","801-466-8353","801-466-2615",,"Access on web site","M-H 9:00am - 8:00pm;  F 9:00am -12:00pm","Outpatient individual and group therapy for victims and perpetrators of sexual and physical abuse. ","Sliding fee scale",,"Statewide","yes","x"
,"Child & Family Empowerment Services","Mental Health services","1578 W 1700 S Ste 200                        Salt Lake City UT 84104","801-972-2711",,"http://childfamilyempowerment.com/proctor_training.html","cfeservices4@aol.com",,"Mental Health services children, adolescents, and adults. Individual and group therapy available.",,,,"yes","x"
,"Clinical Services and Substance Abuse Prevention and Treatment Services","Mental Health and substance abuse services for youth","SL County Division of Youth Services            177 W Price Ave    South Salt Lake UT 84115-4345 ","801-269-7500","801-269-7565","http://www.slcoyouth.org/","Access on web site","24 hours a day/ 7 days a week","24 hour crisis intervention for youth and families, abused & neglected children, victims of child abuse. Crisis resident shelter, therapy and counseling. Substance abuse and prevention services. Christmas Box House and Children's' Justice Center.",,"Call or see web site for eligibility requirement and intake procedure. ","Salt Lake, Tooele, Summit counties","yes","x"
,"Cornerstone Counseling Center ","Mental Health and Substance Abuse Services","660 S 200 E Ste 308  Salt Lake City UT 84111-3853","801-355-2846","801-359-3244","http://www.cornerstoneslc.com/","Access on web site","M-H 9:00am - 5:00pm; F 10:00am - 5:00pm","Adult and Youth outpatient services for substance abuse and violence treatment.  Specialized abuse treatment available for mothers and their children. Domestic violence program for abusers, victims, and child witnesses of domestic violence.  General outpatient mental health services. HIV testing and counseling.","Sliding fee scale. Self pay, Medicaid, and private insurance ","Eligibility determined at initial assessment","Salt Lake County area","yes","x"
,"Family Counseling Center","Mental Health and Substance Abuse services ","5250 S Commerce Dr Suite 250           Murray UT 84107","801-261-3500","801-261-2111","www.familycounselingcenterutah.com",": FCC10@xmission.com",,"Comprehensive mental health and substance abuse services for individuals, couples, and families.","Sliding fee scale","Eligibility determined at initial assessment","Statewide",,"x"
,"Family Support Center","Mental Health and Counseling services","777 W Center St     Midvale UT 84047","801-255-6881","801-562-9347","http://www.familysupportcenter.org/","Access on web site","24 hour services ","Counseling services for individuals, couples, and families, Parenting classes and education, Referral and Prevention information.  Crisis Nursery available.","Sliding fee scale",,,,"x"
,"Heartworks Counseling Services","Mental Health and Therapy services","124 S 400 E Ste 400 Salt Lake City UT  84111","801-355-7444 or toll free 1-800-839-7444","801-355-7454","www.cssutah.org/therapy/",,"M-F 8:30am - 7:00pm","Therapy services for children, adolescents, and adults. Individual and group therapy available a range of behavioral/emotional problems. Parenting classes available.","Sliding fee scale. Self pay, Medicaid, Medicare and private insurance ","Appointments necessary.",,"yes","x"
,"Highland Ridge Hospital","Psychiatric and Chemical dependency treatment center ","180 W 7309 S       Midvale UT 84047","801-569-2153 or toll free 1-800-821-HELP",,"http://www.highlandridgehospital.com/",,"24 hours a day/ 7 days a week","Comprehensive inpatient and partial hospitalization for mental illness, substance abuse and other mental health issues. Pharmacy services. ","Dependant on Services Provided","Eligibility determined at initial assessment","Statewide",,"x"
,"Holy Cross Ministries","Mental Health Services","860 E 4500 S Ste 204  Salt Lake City UT 84107","801-261-3440","801-261-3990","www.holycrossministries.org","Access on web site","M-F 8:30am - 5:00pm","Counseling for individuals and adults, Education, and immigrations services available. ","Sliding fee scale dependent on service provided",,"Utah, Davis, Salt Lake, Summit, Tooele,  and Wasatch counties","Yes","x"
,"IHC Behavioral Health Network","Mental Health and Substance Abuse services","36 S State             Salt Lake City UT 84111","801-442-2000",,"http://intermountainhealthcare.org/xp/public/facilities/behavioralhealth.xml",,"24 hours, 7 days a week","Comprehensive mental health and substance abuse services for individuals, couples, and families. Locations in facilities thought the state.","Dependant on Services Provided","Apply by phone ","Statewide","yes","x"
,"Intermountain Specialized Abuse Treatment Center (ISAT)","Mental Health and Substance Abuse Services","3809 S West Temple Ste 1B                   Salt Lake City UT 84165","801-268-4454 or toll free 1-800-303-9805","801-268-2176","http://www.isatcenter.org/","Access on web site",,"Counseling for individuals, couples, families and group therapy. Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, Domestic Violence Victims and Offenders.",,"Eligibility determined at initial assessment","Salt Lake Valley",,"x"
,"Jewish Family Services","Counseling services","#2 N Medical Drive  Salt Lake City UT 84113","801-581-1330","801-581-1334",,,"M-F 9:00am - 5:00pm or by appointment","Counseling services to individuals, couples, and families including those moving from public assistance to work. Counseling for aging and their families, refugee services for those from former Soviet Union and Iran. Holocaust survivor services.","Sliding fee scale, self pay and private insurance accepted","Call for eligibility requirements","Statewide","Russian","x"
,"LDS Family Services","Counseling, Resource and Support Group services, Adoption Services","132 S State St Ste 100 Salt Lake City UT 84111","801-240-6500",,"www.providentliving.org",,"M-F 8:00am - 5:00pm; Sat 8:00am - 1:00pm; T & H evenings 5:00pm - 10:00pm","Counseling and Resources for individuals, couples and families. Assistance for birth parents facing unplanned pregnancy, Help for couples interested in adoption, Addiction Recovery Program. Eating Disorders, Anger Managers, AMAC program, Educational Related family classes","Fees are dependant on services provided and/or insurance coverage",,"Statewide","Spanish","x"
,"NAMI National Alliance on Mental Illness","Support, Education, Advocacy for those with mental illness and their families","450 S 900 E #160   Salt Lake City UT 84102","801-323-9900","801-323-9799","http://www.namiut.org/","Access on web site","M-F 9:00am - 5:00pm ","Support groups throughout Utah for people with mental illness and for family and friends. Provider training, medication program, advocacy, and educational programs","none","Must apply by phone or walk in","Statewide","Spanish","x"
,"Shepherd's Staff Christian Counseling Center","Counseling services","731 E 8600 S       Sandy UT 84094-6312","801-561-9987 or toll free 800-530-1934",,"http://www.ssccc.com/","Access on web site","Call office for appointment","Individual, couple/marriage therapy, family and group therapy. Testing, and educational and enrichment seminars available","Sliding fee scale","Apply by phone ",,,"x"
,"Trauma Awareness and Treatment Center","Specialized Mental Health services due to trauma","32 W Winchester St Ste 101 Murray UT 84107","801-263-6367","801-263-6367","http://www.traumaawareness.org/","traumawareness@yahoo.com",,"Mental Health services children, adolescents, and adults who are survivors of trauma.","Medicaid and private insurance accepted","Call for eligibility requirements or see web site for eligibility requirements under Intake Procedures.","Statewide",,"x"
,"University of Utah Neuropsychiatric Institute","Psychiatric Hospital","U of U Health Sciences Center                           501 S Chipeta Way    Salt Lake City UT 84108","801-538-2500","801-582-8471","http://healthcare.utah.edu/uni/","Access on web site",,"Outpatient mental health services and Inpatient hospitalization for mental illness, substance abuse and depression. Pharmacy services. ","Dependant on Services Provided",,"Statewide","yes","x"
,"Utah Youth Village","Residential group home for adolescents","5800 S Highland Dr  Salt Lake City UT 84121","801-272-9980","801-272-9976","http://www.youthvillage.org/",,"Call for appointment","Group home for boys and girls experiencing range of emotional problems and needs, individual, group, and family therapy, parent training, and foster home placements.",,"Eligibility for services determined at intake procedure","Statewide","yes","x"
,"Valley Mental Health","Mental Health and Substance Abuse services","5965 S 900 E         Salt Lake City UT 84121","801-263-7100 or 24 hour crisis line 801-261-1442",,"www.valleymentalhealth.org","Access on web site",,"Comprehensive mental health and substance abuse treatment and services for people of all ages who are experiencing serious mental illness and behavior problems. ","Dependant on Services Provided","Call for eligibility requirements or see web site for eligibility requirements under Intake Procedures.","Salt Lake, Tooele, Summit counties","Spanish","x"
,"Vet Center","Counseling and outreach services for veterans and their families","1354 E 3300 S       Salt Lake City UT 84106","801-584-1294","801-487-6243","http://www.vetcenter.va.gov/",,"M-F 8:00am - 4:30pm","Counseling, information's and referrals, and outreach services for veterans and their significant others.","none","War zone veterans or veterans who have experienced sexual assault or harassment. Services denied for dishonorable discharges.","Northern Utah",,"x"
,"Wasatch Canyons ","Mental Health and Substance Abuse services","5770 S 1500 W     Murray UT 84123","801-265-3109",,"http://intermountainhealthcare.org/xp/public/facilities/behavioralhealth.xml",,,"Comprehensive mental health and substance abuse treatment and services for people of all ages who are experiencing serious mental illness and behavior problems. ","Dependant on Services Provided","Eligibility requirements determined at intake procedure","Salt Lake Valley area","yes","x"
"Domestic Violence","Project Sanctuary ","Domestic Violence Shelter","7839 S 2700 W      West Jordan UT 84088","801-255-5501",,,,"24 hours a day ","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available.",,"Call for eligibility requirements","Salt Lake Valley",,
,"South Valley Sanctuary","Domestic Violence Shelter","PO Box 1028       West Jordan UT 84084-1028","801-255-1095",,"www.southvalleysanctuary.com",,"24 hours a day","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available.",,"Call for eligibility requirements","Salt Lake Valley",,
,"Women In Jeopardy Program, YWCA","Domestic Violence Shelter","322 E 300 S           Salt Lake City UT 84111","801-355-2804",,"www.ywca.org",,"24 hours a day","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available.",,"Call for eligibility requirements","Salt Lake Valley",,
"People With Disabilities","Division of Rehabilitation Services (Voc Rehab) Redwood ","Assistance for individuals with disabilities","1595 W 500 S       Salt Lake City UT 84104-5238","801-887-9500 Voice/TTY",,"www.usor.utah.gov",,"M-F 8:00am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, call for guidelines. Eligibility requirements also on website.","Downtown Area","Spanish","x"
,"Division of Rehabilitation Services (Voc Rehab) Salt Lake Downtown","Assistance for individuals with disabilities","660 S 200 E, Ste 400 Salt Lake City UT 84111-3844","801-238-4560 Voice/TTY",,"www.usor.utah.gov",,"M-F 8:00am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, call for guidelines. Eligibility requirements also on website.","Downtown Area","Spanish","x"
,"Division of Rehabilitation Services (Voc Rehab) South Valley","Assistance for individuals with disabilities","926 W Baxter Dr (10600 S)            South Jordan UT 84095-8687","801-446-2560 or toll free 1-800-625-7519 Voice/TTY",,"www.usor.utah.gov",,"M-F 8:00am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, call for guidelines. Eligibility requirements also on website.","South Lake County area","Spanish","x"
,"Division of Rehabilitation Services (Voc Rehab) Valley West","Assistance for individuals with disabilities","5522 S 3200 W      Taylorsville UT 84118","801-957-8200 Voice/TTY",,"www.usor.utah.gov",,"M-F 8:00am - 5:00pm","Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, call for guidelines. Eligibility requirements also on website.","South Lake County area","Spanish","x"
,"Division of Services for People with Disabilities (DSPD) Salt Lake City","Children and Adults with qualifying disabilities","655 E 4500 S, Ste 200 Salt Lake City UT 84107","801-264-7920","801-264-7672","www.hsdspd.state.ut.us",,"M-F 8:00am - 5:00pm","Assistance for Children and Adults with qualifying disabilities",,"Eligibility for services determined at intake procedure",,"Spanish","x"
,"Rise, Inc. ","Services for People with Disabilities and their families","7575 S 900 E      Midvale UT 84047","801-208-1031","801-208-1987","http://www.riseinc.net/","letusknow@utahrise.com",,"Provide support and services to adults and children with developmental disabilities and their families",,"Eligibility determined through the Department of Human Services, Division of Services for People with Disabilities",,"yes","x"
"Pregnancy  ","Planned Parenthood Association of Utah  Salt Lake City","Reproductive health care services ","654 S 900 E           Salt Lake City UT  84102","801-322-5571",,"www.plannedparenthood.com/utah","Access on web site","M-H 9:00am - 8:00pm, F 10:30am - 5:00pm, Sat 9:00am - 5:00pm","Birth Control and Pregnancy, Reproductive and Sexual health care,  Family Planning,  Education and Information resources and referrals","Sliding Scale, insurance accepted",,"Downtown Area","Yes","x"
,"Planned Parenthood Association of Utah   South Jordan  ","Reproductive health care services ","1091 W South Jordan Parkway #100      South Jordan UT 84095","801-973-9675",,"www.plannedparenthood.com/utah","Access on web site","M-F 1:00am - 6:00pm","Birth Control and Pregnancy, Reproductive and Sexual health care,  Family Planning,  Education and Information resources and referrals","Sliding Scale, insurance accepted",,"South Valley Area","Yes","x"
