"reference_period","type_of_service","aggregation_level","county","state_fips","county_fips","number_of_fee_for_service_beneficiaries","number_of_providers","average_number_of_users_per_provider","percentage_of_users_out_of_ffs_beneficiaries","average_number_of_providers_per_county","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_0_to_2_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_3_to_4_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_5_to_9_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_10_to_19_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_20_or_more_providers","location_1"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Box Elder","49","3","5334","4","92.5","6.94","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Cache","49","5","7662","3","185.3","7.30","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Sanpete","49","39","4109","2","51","2.50","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Washington","49","53","24937","31","530.79999999999995","66","31","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Morgan","49","29","1028","2","40.5","7.90","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Tooele","49","45","5569","7","60.9","7.60","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Sanpete","49","39","4270","6","48","6.70","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Juab","49","23","1557","2","20.5","2.63","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Duchesne","49","13","2422","1","129","5.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Cache","49","5","7662","10","64.400000000000006","8.40","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Emery","49","15","1890","1","36","1.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Sanpete","49","39","4109","2","47.5","2.31","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Carbon","49","7","3965","2","68","3.40","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Box Elder","49","3","5334","5","36.799999999999997","3.45","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Utah","49","49","32112","15","131.5","6.10","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Salt Lake","49","35","83658","44","890","46.80","44","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Weber","49","57","23541","23","33.78","3.30","23","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","San Juan","49","37","1991","1","103","5.20","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Kane","49","25","1791","1","34","1.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Wayne","49","55","580","7","39.700000000000003","47.90","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Kane","49","25","1766","2","43.5","4.90","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Grand","49","19","1906","1","117","6.14","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Salt Lake","49","35","83658","18","63.6","1.40","18","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Wasatch","49","51","2281","4","47.5","8.30","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Millard","49","27","2244","1","44","1.96","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Morgan","49","29","1015","1","34","3.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Iron","49","21","5847","8","43.88","6","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Tooele","49","45","5533","7","43.9","5.50","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","STATE","--ALL--","49",,"255344","96","215.31","8.09","33.840000000000003","5.87","8.48","7.82","12.99","64.83","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","San Juan","49","37","2015","4","30.5","6.05","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Davis","49","11","25699","23","525.9","47.10","23","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Iron","49","21","5847","2","178","6.09","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Davis","49","11","25990","21","40.619999999999997","3.28","21","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Rich","49","33","327","1","25","7.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Davis","49","11","25699","12","90.8","4.20","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Wayne","49","55","599","1","32","5.34","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Uintah","49","47","3041","2","49.5","3.30","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Juab","49","23","1510","2","47","6.20","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Box Elder","49","3","5326","8","51.6","7.80","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Sevier","49","41","3640","2","147.5","8.10","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Uintah","49","47","3041","2","95.5","6.30","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","STATE","--ALL--","49",,"245542","76","43.87","1.36","13.21","9.48","8.85","3.85","43.85","33.97","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","San Juan","49","37","1980","3","32.299999999999997","4.90","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Garfield","49","17","1099","1","72","6.55","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Daggett","49","9","192","4","22.8","47.40","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Summit","49","43","3806","4","59.25","6.23","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Rich","49","33","327","1","21","6.40","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Tooele","49","45","5569","7","41.4","5.20","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Davis","49","11","25699","23","35.96","3.22","23","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Summit","49","43","3806","2","31","1.63","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Duchesne","49","13","2415","0",,"1.30","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Juab","49","23","1537","6","63.3","24.70","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Box Elder","49","3","5326","5","3.6","0.30","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","STATE","--ALL--","49",,"254258","61","2047.7","49.10","28.4","0","0.90","7.20","26.30","65.60","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Washington","49","53","24950","8","207.8","6.70","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Wasatch","49","51","2281","3","24.7","3.20","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","San Juan","49","37","2015","1","109","5.41","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","STATE","--ALL--","49",,"254408","78","92.81","2.85","24.3","9.74","10.05","5.11","10.03","65.07","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","STATE","--ALL--","49",,"251367","81","88.25","2.84","24.77","12.24","7.51","5.11","9.93","65.22","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Juab","49","23","1537","1","76","4.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Carbon","49","7","3989","2","76","3.81","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Millard","49","27","2247","1","47","2.10","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Piute","49","31","412","4","70.3","68.20","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Wayne","49","55","593","0",,"2.70","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","San Juan","49","37","1980","3","42.3","6.40","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Wasatch","49","51","2308","2","74","6.40","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Iron","49","21","5719","5","82","7.20","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Cache","49","5","7657","14","305.70999999999998","55.90","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Wasatch","49","51","2329","1","164","7.04","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Beaver","49","1","1089","1","66","6.10","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Washington","49","53","24950","9","115.6","4.20","9","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Sevier","49","41","3640","2","110","6","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","San Juan","49","37","1991","0",,"0.80","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Carbon","49","7","3922","3","104","8","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Uintah","49","47","3041","2","16.5","1.10","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Beaver","49","1","1089","8","87.25","64.10","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Summit","49","43","3806","4","53.5","5.62","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","STATE","--ALL--","49",,"253309","96","104.46","3.96","18.28","19.44","3.02","12.18","32.43","32.93","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Sevier","49","41","3640","2","46.5","2.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Duchesne","49","13","2415","1","43","1.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Cache","49","5","7662","3","21.3","0.80","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Utah","49","49","32366","11","107.8","3.70","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Beaver","49","1","1089","6","114.3","63","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Kane","49","25","1801","1","33","1.83","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","STATE","--ALL--","49",,"252248","99","101","4","18.8","18.60","3.80","2.10","42.30","33.20","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Kane","49","25","1801","3","39","6.50","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Davis","49","11","25822","14","55.5","3","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Summit","49","43","3753","3","84.3","6.70","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Morgan","49","29","1049","1","54","5.15","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Emery","49","15","1890","3","39.299999999999997","6.20","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Sanpete","49","39","4270","3","79.7","5.60","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Sanpete","49","39","4109","5","58.4","7.10","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","STATE","--ALL--","49",,"252100","72","236.9","6.80","11.8","14.50","10.60","9.90","65","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Summit","49","43","3760","4","59.8","6.40","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Summit","49","43","3806","4","60","6.31","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Salt Lake","49","35","82580","40","87.5","4.20","40","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Carbon","49","7","3922","2","63.5","3.20","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Morgan","49","29","1015","0",,"2.60","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Tooele","49","45","5619","7","42","5.23","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Sanpete","49","39","4128","3","35.33","2.57","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Kane","49","25","1766","3","48","8.20","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Washington","49","53","25523","10","15.9","0.62","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Uintah","49","47","3162","2","99.5","6.29","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Weber","49","57","23685","13","157.38","8.64","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Emery","49","15","1916","3","22.3","3.50","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Weber","49","57","23684","21","32.479999999999997","2.88","21","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Wayne","49","55","599","0",,"2.67","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Tooele","49","45","5533","2","107.5","3.90","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Salt Lake","49","35","83412","22","120.55","3.18","22","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Duchesne","49","13","2422","0",,"1.30","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Wasatch","49","51","2281","1","153","6.70","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Summit","49","43","3753","14","146.19999999999999","54.50","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Utah","49","49","32462","27","37.56","3.12","27","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Piute","49","31","413","1","20","4.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Utah","49","49","32366","15","143.69999999999999","6.70","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Beaver","49","1","1089","0",,"2.11","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Beaver","49","1","1096","1","55","5","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Weber","49","57","23685","13","21.62","1.19","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Weber","49","57","23541","12","59.5","3","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Tooele","49","45","5569","2","107","3.80","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Beaver","49","1","1089","1","53","4.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Davis","49","11","25990","14","23.86","1.29","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Carbon","49","7","3965","3","111.3","8.40","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Millard","49","27","2268","3","34.33","4.54","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Salt Lake","49","35","82580","19","315","7.30","19","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Washington","49","53","24937","12","137.5","6.60","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Garfield","49","17","1099","3","25.67","7.01","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
