"hospital_name","provider_number","period","claim_type","avg_spending_per_episode_hospital","avg_spending_per_episode_state","avg_spending_per_episode_nation","percent_of_spending_hospital","percent_of_spending_state","percent_of_spending_nation","measure_start_date","measure_end_date","location_1"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","685","644","664","3.32","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3998","3520","3087","18.72","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 through 30 days After Discharge from Index Hospital Admission","Carrier","816","760","1078","3.82","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 to 3 days Prior to Index Hospital Admission","Carrier","383","432","488","2.11","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","4519","3520","3087","26.52","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","1187","939","759","5.56","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","During Index Hospital Admission","Carrier","715","1464","1511","5.35","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 through 30 days After Discharge from Index Hospital Admission","Carrier","827","760","1078","4.09","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","2863","2068","2602","12.59","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","22","12","9","0.09","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 through 30 days After Discharge from Index Hospital Admission","Hospice","131","115","119","0.77","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","1 to 3 days Prior to Index Hospital Admission","Carrier","610","432","488","2.75","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 through 30 days After Discharge from Index Hospital Admission","Carrier","625","760","1078","3.91","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","596","644","664","3.79","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","During Index Hospital Admission","Inpatient","10708","10176","8997","48.24","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","14","12","9","0.06","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","80","126","107","0.70","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","During Index Hospital Admission","Inpatient","8565","10176","8997","44.45","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","During Index Hospital Admission","Carrier","1568","1464","1511","7.88","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 through 30 days After Discharge from Index Hospital Admission","Carrier","759","760","1078","3.09","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 to 3 days Prior to Index Hospital Admission","Inpatient","4","4","5","0.02","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","60","126","107","0.31","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","During Index Hospital Admission","Inpatient","6602","10176","8997","44.58","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","1 through 30 days After Discharge from Index Hospital Admission","Hospice","40","115","119","0.22","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 to 3 days Prior to Index Hospital Admission","Outpatient","50","192","113","0.24","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 to 3 days Prior to Index Hospital Admission","Carrier","335","432","488","1.74","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","During Index Hospital Admission","Carrier","1011","1464","1511","5.01","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","2047","3520","3087","15.32","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 to 3 days Prior to Index Hospital Admission","Outpatient","23","192","113","0.15","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","2394","3520","3087","12.03","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 to 3 days Prior to Index Hospital Admission","Outpatient","39","192","113","0.17","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","4770","3520","3087","20.30","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 to 3 days Prior to Index Hospital Admission","Outpatient","379","192","113","1.66","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","822","939","759","3.34","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","775","2068","2602","6.48","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 through 30 days After Discharge from Index Hospital Admission","Carrier","845","760","1078","4.10","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","2","1","2","0.01","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 to 3 days Prior to Index Hospital Admission","Outpatient","145","192","113","0.70","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","8","12","9","0.05","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 to 3 days Prior to Index Hospital Admission","Carrier","309","432","488","2.70","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","During Index Hospital Admission","Carrier","1663","1464","1511","7.79","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","116","126","107","0.73","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","1 to 3 days Prior to Index Hospital Admission","Outpatient","15","192","113","0.09","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","2655","3520","3087","17.67","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1122","2068","2602","6.62","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","During Index Hospital Admission","Durable Medical Equipment","21","28","23","0.10","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","905","939","759","4.55","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","1 to 3 days Prior to Index Hospital Admission","Carrier","167","432","488","1.86","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","Complete Episode","Total","22199","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","8","12","9","0.03","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 to 3 days Prior to Index Hospital Admission","Hospice","1","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","21","12","9","0.10","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","153","126","107","1.40","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","5","12","9","0.03","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 through 30 days After Discharge from Index Hospital Admission","Carrier","757","760","1078","3.93","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 through 30 days After Discharge from Index Hospital Admission","Carrier","786","760","1078","4.64","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","3","16","13","0.02","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","22","16","13","0.10","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","During Index Hospital Admission","Durable Medical Equipment","34","28","23","0.23","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","Complete Episode","Total","19280","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","During Index Hospital Admission","Carrier","1063","1464","1511","5.52","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 to 3 days Prior to Index Hospital Admission","Outpatient","99","192","113","0.74","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3015","3520","3087","13.26","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","3005","2068","2602","12.23","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","10","12","9","0.05","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","648","939","759","3.81","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","55","16","13","0.30","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 through 30 days After Discharge from Index Hospital Admission","Hospice","169","115","119","1.08","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","During Index Hospital Admission","Inpatient","6100","10176","8997","53.20","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","During Index Hospital Admission","Inpatient","12043","10176","8997","51.26","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","162","126","107","0.95","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","During Index Hospital Admission","Durable Medical Equipment","21","28","23","0.24","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","904","939","759","3.95","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","During Index Hospital Admission","Carrier","1111","1464","1511","6.55","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
