"hospital_name","provider_id","fiscal_year","domain_1_score","ahrq_psi_90_score","domain_1_start_date","domain_1_end_date","domain_2_score","clabsi_score","cauti_score","domain_2_start_date","domain_2_end_date","total_hac_score","footnotes","location_1"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","2015","9","9","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","9",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","2015","9","9","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","9",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","2015","3","3","2011-07-01T00:00:00.000","########","3","1","5","2012-01-01T00:00:00.000","########","3",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","2015","10","10","2011-07-01T00:00:00.000","########","10","10","10","2012-01-01T00:00:00.000","########","10",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","2015","9","9","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","9",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","2015","10","10","2011-07-01T00:00:00.000","########","8.5","7","10","2012-01-01T00:00:00.000","########","9.0250000000000004",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","2015","6","6","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","6",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","2015","2","2","2011-07-01T00:00:00.000","########","3.5","4","3","2012-01-01T00:00:00.000","########","2.9750000000000001",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","2015","10","10","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","10",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","2015","9","9","2011-07-01T00:00:00.000","########","8","6","10","2012-01-01T00:00:00.000","########","8.35",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"OREM COMMUNITY HOSPITAL","460043","2015","7","7","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","7",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","2015","10","10","2011-07-01T00:00:00.000","########","7.5","6","9","2012-01-01T00:00:00.000","########","8.375",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","2015","9","9","2011-07-01T00:00:00.000","########","10","Not Available","10","2012-01-01T00:00:00.000","########","9.65",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","2015","10","10","2011-07-01T00:00:00.000","########","8.5","9","8","2012-01-01T00:00:00.000","########","9.0250000000000004",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","2015","7","7","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","7",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","2015","2","2","2011-07-01T00:00:00.000","########","5.5","7","4","2012-01-01T00:00:00.000","########","4.2750000000000004",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","2015","7","7","2011-07-01T00:00:00.000","########","4","Not Available","4","2012-01-01T00:00:00.000","########","5.05",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","2015","8","8","2011-07-01T00:00:00.000","########","3.5","1","6","2012-01-01T00:00:00.000","########","5.0750000000000002",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","2015","7","7","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","7",,"
, UT 
(39.36070123200005, -111.58712831499997)"
"LONE PEAK HOSPITAL","460060","2015",,,"2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########",,,"
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","2015","8","8","2011-07-01T00:00:00.000","########","Not Available","Not Available","Not Available","2012-01-01T00:00:00.000","########","8",,"
, UT 
(39.36070123200005, -111.58712831499997)"
