"project_id","project_name","project_description","website","category_id","subcategory_id","district_id","project_stage_id","project_image","project_detail_1_n","project_start_date","project_end_date","icon","initiative_icon","budget","amount_spent","budget_indicator","schedule_indicator","budget_range","budget_indicator_narrative","budget_text","schedule_indicator_narrative","optional_indicator_narrative","schedule_text"
"447-17073","Var Sidwalks 4 North","Construction of Sidewalk, Drive Approach, Curb, Curb and Gutter, and ADA Ramps at Various Locations - Contract No. 2017-4 North",,"Sidewalk",,"1, 2","P",,,"2017-09-22T08:00:00.000","2019-09-23T15:15:00.000",,,"350000.0",,,"In-Progress",,,,,,
"447-17014","Grand River Revitalization Project","Improvements Along the GRAND RIVER from Fulton Street to I-196 (Grand River Revitalization Project). To learn more about this project, visit https://grandrapidswhitewater.org

The Scope of this project is permits and project implementation including MEPA and MDEQ permits, finalize design development, final design phase services, securing construction manager services, project phasing determination, easements, grant and funding identification, project accounting, and administration up to the initial ground breaking.",,"River",,"1, 2","C",,,"2018-05-01T08:00:00.000","2038-04-28T11:55:00.000",,,"200000.0","200000.0",,"In-Progress",,,,,,
"447-17108","Sidewalk in Three Mile Road","Sidewalk Improvements in Three Mile Road from Monore Avenue to Coit Avenue and from Northwood Street to Plainfield Avenue",,"Sidewalk",,"2","P",,,"2019-05-01T08:00:00.000","2020-12-15T08:30:00.000",,,"591000.0",,,"In-Progress",,,,,,
"447-16081","Reconstruction of Ionia Ave And Construction of I-196 WB on-ramp",,,"Streets",,"2",,,,,"2025-04-11T08:30:00.000",,,"1870700.0",,,"In-Progress",,,,,,
"447-16095","Lafayette - Hastings to 500 S of Bradford","Reconstruction of LAFAYETTE AVENUE from Hastings Street to 500' South of Bradford Street",,"Streets",,"2","C",,,"2017-03-01T08:00:00.000","2021-08-09T15:00:00.000",,,"1712000.0","1712000.0",,"Completed",,,,,,
"447-16094","State Street (Reconstruction)","Reconstruction of STATE STREET from Lafayette Avenue to Madison Avenue",,"Streets",,"2","D",,,,"2019-09-09T16:50:00.000",,,,,,"In-Progress",,,,,,
"447-13027","13027- Burton, Fuller, MIchigan, & Monroe","Resurfacing of BURTON STREET from Plymouth Ave. to Breton Ave., FULLER AVENUE from Malta St. to Leonard St., MICHIGAN STREET from Lafayette Ave. to College Ave. and MONROE AVENUE from Louis St. to I-196",,"Streets",,"2, 3","P",,,"2014-06-06T08:00:00.000","2022-03-08T08:15:00.000",,,"1789300.0",,,"In-Progress",,,,,,
"447-19071","Reconstruction of NORWICH AVENUE from Curve Street to Hayden Street",,,"Streets",,"1",,,,,"2023-03-09T16:15:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19025","Improvements to Ah-Nab-Awen Park","This will be a preliminary design phase for Master Planning for the entire park",,"Park",,"1","D",,,,"2023-01-06T11:45:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-18117","THREE MILE ROAD - Fuller Avenue to East City Limits Improvements",,,"Streets",,"2","D",,,,"2022-05-19T09:18:00.000",,,"979000.0","0.0",,"In-Progress",,,,,,
"447-19067","GODFREY - Grand River to 100 feet S of CSX Railroad Tracks (Reconstruction)","This is a reconstruction project.",,"Streets",,"1",,,,,"2023-01-20T17:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19079","Improvements to the Veterans Park Building","Improvements to the building at Veterans Memorial Park.",,"Park",,"2",,,,,"2023-01-17T17:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19069","Sewer Separation in Norwich, Oxford, Curve, Hall, and Chestnut","This is a reconstruction project. For more details, please copy and paste this link: https://www.grandrapidsmi.gov/Residents/Road-Construction/Godfrey-Ave-SW-South-City-Limits-to-Oxford-St-SW",,"Streets",,"1","C",,,"2020-08-08T08:00:00.000","2023-10-13T08:45:00.000",,,"8583000.0","0.0",,"In-Progress",,,,,,
"447-18079","Glen Echo Sedimentation Study",,,"Streets",,,"D",,,,"2022-06-01T08:30:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19092","FULTON STREET Arthur to Wallinwood Reconstruction","This is a reconstruction project.",,"Streets",,"2",,,,,"2023-04-06T09:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-18101","WALKER-Stocking to Leonard (Resurface)",,,"Streets",,,"D",,,,"2024-07-08T17:00:00.000",,,"2243000.0","0.0",,"In-Progress",,,,,,
"447-19094","Reconstruction of Valley Avenue from 4th Street to Walker Avenue","This is a reconstruction project. For more project details copy and paste this link: 

https://www.grandrapidsmi.gov/Residents/Road-Construction/Valley-Ave-NW-4th-St-NW-to-Walker-Ave-NW",,"Streets",,,,,,,"2023-04-14T09:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19065","Non-Motorized Pathway in Hastings","This is a mobility project. For more information please copy and paste this link: 

https://www.grandrapidsmi.gov/Residents/Road-Construction/Hastings-St-NE-Livingston-Ave-NE-and-Lafayette-Ave-NE",,"Streets",,"2",,,,,"2023-03-02T08:15:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19090","Rotomill_Resurfacing of Hall Street from Sylvan Avenue to 1275 feet East of Plymouth Avenue",,,"Streets",,"3",,,,,"2023-01-27T08:30:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-19091","Rotomill-Resurfacing and Water Main Replacement in Franklin Street from Division Avenue to East City Limits","This is a resurfacing project. Contractors remove the road surface and replace it with one or more layers of asphalt. They also upgrade the sidewalks.

For more detailed project information, copy and past this link into your web browser.

https://www.grandrapidsmi.gov/Residents/Road-Construction/Franklin-St-SE-Division-Ave-S-to-east-City-limits",,"Streets",,"1, 3",,,,,"2023-02-09T08:30:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-18091","EMERALD AVENUE and CEDAR STREET Reconstruction",,,"Streets",,,"P",,,"2019-09-30T08:00:00.000","2021-06-02T17:00:00.000",,,"2450000.0","0.0",,"In-Progress",,,,,,
"447-18093","MADISON AVENUE - Cottage Grove to Adams Reconstruction",,,"Streets",,"3","D",,,,"2022-05-11T17:00:00.000",,,"970500.0","0.0",,"In-Progress",,,,,,
"447-18037","LED Street Lighting Conversion - Phase 1","Citywide Project - This is Phase one of the citywide replacement of all street lights with LED light fixtures.",,"Streets",,"1, 2, 3","D",,,,"2020-12-31T17:00:00.000",,,"97000.0","0.0",,"In-Progress",,,,,,
"447-19114","Picnic Shelter Addition at Bike Park",,,"Park",,"1",,,,,"2022-04-07T13:30:00.000",,,,,,"In-Progress",,,,,,
"447-20020","PROSPECT AVE from Burton to Griggs Reconstruction",,,"Streets",,"2",,,,,"2023-06-07T14:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20017","Reconstruction of Eastern Avenue from Burton Street to Ardmore Street",,,"Streets",,"2",,,,,"2022-11-10T17:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20021","Reconstruction of FULLER AVENUE from Adams Street to Alexander Street",,,"Streets",,"2",,,,,"2023-06-07T14:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20018","Reconstruction of HOUSEMAN AVENUE from Leonard Street to Spencer Street",,,"Streets",,"2",,,,,"2023-06-07T14:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20016","Reconstruction of Ottawa Avenue from Newberry Street to Mason Street and from Walbridge Street (Vacated) to Coldbrook Street",,,"Streets",,"2",,,,,"2023-03-22T10:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20019","Reconstruction of STRAIGHT AVENUE from Wealthy Street to Butterworth Street and WEALTHY STREET from Straight Avenue to 400_ West of Front Street",,,"Streets",,"1",,,,,"2023-06-07T14:00:00.000",,,,"0.0",,"In-Progress",,,,,,
"447-20001","Reconstruction of Prince Street from Madison Avenue to Eastern Avenue",,,"Streets",,"3",,,,,"2023-03-03T08:15:00.000",,,"2599500.0","0.0",,"In-Progress",,,,,,
