"fiscal_year","resident_district","event_district","discipline","race_code","contractor","sponsored_project","type_of_contract","award","city_facility","total_audience"
"2017",,"1",,"Black/African American","Kris Keyz",,"Community Initiative","5000.00",,"0"
"2017",,"8",,"Black/African American","La Pena/ Bydee Art",,"Community Initiative","5000.00",,"97"
"2017",,"1",,"Native (unspecified)","La Pena/ Habitat: Quarry",,"Community Initiative","3750.00",,"1467"
"2017",,,,"Hispanic/Latino","La Pena/ Las Pinatas",,"Community Initiative","5000.00",,"875"
"2017",,"9",,"White","Lights. Camera. Help.",,"Community Initiative","3750.00",,"0"
"2017",,"9",,"White","Local Economies Council",,"Community Initiative","3750.00",,"1000"
"2017",,"1",,,"Lone Star Lambdas",,"Community Initiative","5000.00",,"0"
"2017",,"1",,,"Nick Schnitzer",,"Community Initiative","5000.00",,"250"
"2017",,"1",,"Black/African American","Outreach Productions",,"Community Initiative","3750.00",,"200"
"2017",,,,"White","Pump Project/We Were There",,"Community Initiative","5000.00",,"550"
"2017",,"1",,"Black/African American","Shunrtra Kincheon",,"Community Initiative","3750.00",,"75"
"2017",,,,"White","Steve Wiman",,"Community Initiative","5000.00",,"223"
"2017",,"9",,"White","Texas Juggling Society",,"Community Initiative","5000.00",,"640"
"2017",,"6",,"Black/African American","VORTEX/ Ashe Arts",,"Community Initiative","5000.00","Carver","200"
"2017",,"8",,,"VORTEX/ Drum the Program",,"Community Initiative","5000.00","Rosewood/Duffie Center","400"
"2017",,"5",,"White","VSA arts of Texas/ Mindy Moore",,"Community Initiative","5000.00",,"53"
"2017",,"5",,,"VSA arts of Texas/ Theron Parker",,"Community Initiative","5000.00",,"140"
"2017",,,,"White","Wade Beesley",,"Community Initiative","5000.00",,"422"
"2017",,,,"White","Waller Creek Conservancy",,"Community Initiative","5000.00",,"10000"
"2017",,"1",,"Black/African American","World African Music and Arts Festival",,"Community Initiative","5000.00",,"260"
"2017",,"1","Multidisciplinary","Black/African American","African American Cultural Heritage District (Six Square Austin's Black Cultural District)",,"Cultural Heritage Funding Program","13400","CARVER, City Streets","332"
"2017",,"6","Music","Black/African American","Austin Caribbean Cultural Exchange",,"Cultural Heritage Funding Program","4334","DECLINED AWARD",
"2017",,"3","Multidisciplinary","Black/African American","Capitol View Arts/ Joseph Thompson (formerly sponsored by Austin Creative Alliance)",,"Cultural Heritage Funding Program","6003","Givens Park & Rec Center","650"
"2017",,"1","Dance","Black/African American","Dance Africa Fest",,"Cultural Heritage Funding Program",,,"280"
"2017",,"1","Music","Black/African American","Digital Workforce Academy, Inc/ Urban Music Festival",,"Cultural Heritage Funding Program","75000","Town Lake Auditorium Shores","7000"
"2017",,"7","Music","Black/African American","Eastside Kings Blues Festival",,"Cultural Heritage Funding Program","14000",,"1600"
"2017",,"1","Music","Black/African American","Salvage Vanguard Theater/ RAS Day",,"Cultural Heritage Funding Program","26600","MACC","321"
"2017",,"7","Dance","Asian","Texas Folklife/ Austin Bellydance Convention",,"Cultural Heritage Funding Program","24285",,"788"
"2017",,"7","Music","Hispanic/Latino","Texas Folklife/ Huapango Sin Fronteras",,"Cultural Heritage Funding Program","18200",,"850"
"2017",,"6","Multidisciplinary","Hispanic/Latino","Voces Latinas",,"Cultural Heritage Funding Program","12900","MACC","141"
"2017","5","9","Music","Hispanic/Latino","Alison Baker & Eduerdo Caspia",,"Capacity Building","5000","Y","101"
"2017","9","3","Film","Hispanic/Latino","Andrea Zarate",,"Capacity Building","5000","N","30"
"2017","9","10","Visual Art","Asian","Austin Creative Alliance","Jieun Beth Kim/ Sara Madandar /Christina Coleman","Capacity Building","5000","N",
"2017","10","10","Dance","Asian","Austin Japanese Minyo Group",,"Capacity Building","2500","N","350"
"2017","6","6","Music","Black/African American","Austin Revitalization Authority","Connie Jo Kirk","Capacity Building","3750","N",
"2017","3","3","Music","Hispanic/Latino","Fiestas Patrias of Austin","Cinco de Mayo - Julius Velasquez","Capacity Building","2500","Y","825"
"2017","6","6","Music","Asian","Jingqun Shao",,"Capacity Building","2500","N","150"
"2017","9","9","Dance","Asian","Kanaka Sathasivan",,"Capacity Building","5000","N","257"
"2017","7","7","Dance","Asian","Korean Community Center","Kyong C Ganaha","Capacity Building","2500","N","139"
"2017","1","1","Music","Hispanic/Latino","Mauricio Callejas (Centroamericanto Fest)",,"Capacity Building","3750",,"250"
"2017","6","6","Visual Art","Black/African American","Olaniyi Akindiya",,"Capacity Building","2500","N","436"
"2017",,"9","Music","Hispanic/Latino","Rancho Alegre Radio",,"Capacity Building","3750","N","1200"
"2017","3","3","Visual Art","Hispanic/Latino","Raul Valdez",,"Capacity Building","2500",,
"2017","8","8","Dance","Asian","Setsuko Hiener- Kuniyoshi Ryukyu Dance School (Okinawa)",,"Capacity Building","2500","N","350"
"2017","5","5","Visual Art","Hispanic/Latino","Wanda Ann Montemayor",,"Capacity Building","2500","N","143"
"2017","9","9","Music","Hispanic/Latino","Xavier Jara/Carlos Ufret",,"Capacity Building","3750","Y","218"
"2017",,"2","Media Arts","Black/African American","A Clever Production",,"Core Funding","4125","50",
"2017",,"3","Dance","Hispanic/Latino","Academia (AZTLAN) de Danza y Folklore",,"Core Funding","9365","865",
"2017",,"10","Dance","Hispanic/Latino","Academy of Tango - Texas",,"Core Funding","7600","222",
"2017",,"3","Multidisciplinary",,"allgo",,"Core Funding","53077","757",
"2017",,"5","Media Arts",,"Alliance for Young Future Filmmakers",,"Core Funding","4700","594",
"2017",,"3","Dance",,"Allison Orr Dance Inc (DBA Forklift Danceworks)",,"Core Funding","110000","1,531",
"2017",,"5","Music",,"Amala Foundation",,"Core Funding","9175","183",
"2017",,"7","Music","White","American federation of Musicians local# 433",,"Core Funding","16900",,
"2017",,"4","Music",,"Anthropos Arts",,"Core Funding","74269","3,522",
"2017",,"3","Multidisciplinary","White","ARCOS Foundation for the Arts, Inc.","Interdisciplanary Performance Training and Development","Core Funding","9100","197",
"2017",,"3","Dance","White","Ariel Dance Theatre",,"Core Funding","18059","354",
"2017",,"1","Literature","Asian","Asian American Resource Center Nonprofit","Asian American Heritage Festival","Core Funding","8800","230",
"2017",,"1","Media Arts","Asian","Asian American Resource Center Nonprofit","Austin Asian American Film Festival","Core Funding","18050","1,215",
"2017",,"9","Visual Art","White","Austin Area Art From the Streets","Art From the Streets 2017-2017 Exhibition Season","Core Funding","49559","3,560",
"2017",,"3","Music","White","Austin Baroque Orchestra","ABO's 6th Season","Core Funding","3562","434",
"2017",,"1","Theatre","White","Austin Busker Project, Inc.","DECLINED","Core Funding","5800",,
"2017",,"3","Multidisciplinary","White","Austin Celtic Association",,"Core Funding","68596","4,200",
"2017",,"10","Music",,"Austin Chamber Ensemble",,"Core Funding","8048","198",
"2017",,"7","Music","White","Austin Chamber Music Center",,"Core Funding","107400","43,735",
"2017",,"10","Music","White","Austin Children's Choir",,"Core Funding","12804","153",
"2017",,"9","Multidisciplinary",,"Austin Children's Museum (Thinkery)",,"Core Funding","195500","452,979",
"2017",,"10","Music","White","Austin Civic Chorus Inc dba Chorus Austin",,"Core Funding","57500","2,043",
"2017",,"7","Music","White","Austin Civic Orchestra Society",,"Core Funding","27231","2,830",
"2017",,"7","Music","White","Austin Civic Wind Ensemble",,"Core Funding","14051","4,800",
"2017",,"10","Music","White","Austin Classical Guitar",,"Core Funding","182200","23,447",
"2017",,"1","Music",,"Austin Community Steelband",,"Core Funding","26850","17,025",
"2017",,"3","Theatre",,"Austin Creative Alliance","7 Towers Theatre Company","Core Funding","5450","1,373",
"2017",,"3","Dance","Asian","Austin Creative Alliance","Agni The Dance Company","Core Funding","9100","3,500",
"2017",,"3","Dance","Hispanic/Latino","Austin Creative Alliance","A'lante Flamenco","Core Funding","15700","1,883",
"2017",,"3","Dance",,"Austin Creative Alliance","AM Arts","Core Funding","3594","1,198",
"2017",,"3","Music","White","Austin Creative Alliance","Amphion Youth Choir","Core Funding","6152","524",
"2017",,"3","Dance","Asian","Austin Creative Alliance","Anuradha Naimpally","Core Funding","19350","1,500",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","Artistic Education Co.","Core Funding","3700","350",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","artMEAT","Core Funding","1000","315",
"2017",,"3","Multidisciplinary",,"Austin Creative Alliance","Austin Children's Theater","Core Funding","17400","2,500",
"2017",,"3","Media Arts","White","Austin Creative Alliance","Austin WebFest","Core Funding","7000","250",
"2017",,"3","Music","White","Austin Creative Alliance","Balcones Community Orchestra","Core Funding","15950","1,215",
"2017",,"3","Visual Art","White","Austin Creative Alliance","Blue Cow Studios","Core Funding","6400","124",
"2017",,"3","Music","White","Austin Creative Alliance","Bob Livingston's Cowboys & Indians","Core Funding","17400","35,692",
"2017",,"3","Music","White","Austin Creative Alliance","Central Texas Medical Orchestra","Core Funding","9100","925",
"2017",,"3","Theatre","White","Austin Creative Alliance","Crank Collective","Core Funding","4800","566",
"2017",,"3","Dance","White","Austin Creative Alliance","Dance Waterloo MOVED TO CI","Core Funding","3700",,
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","Dystheatre","Core Funding","5952","680",
"2017",,"3","Theatre","White","Austin Creative Alliance","En Route Productions","Core Funding","7900","1,358",
"2017",,"3","Theatre",,"Austin Creative Alliance","Glass Half Full Theatre","Core Funding","18700","675",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","Grapes of Wrath 75 Project","Core Funding","17469","344",
"2017",,"3","Theatre","White","Austin Creative Alliance","ImprovEd Arts","Core Funding","7600","1,410",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","Jason Phelps","Core Funding","11515","76",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","John Pointer","Core Funding","5125",,
"2017",,"3","Media Arts",,"Austin Creative Alliance","JUEGOS RANCHEROS     DECLINED","Core Funding","1000",,
"2017",,"3","Theatre","Black/African American","Austin Creative Alliance","JWHill Productions LLC","Core Funding","11725","350",
"2017",,"3","Theatre","White","Austin Creative Alliance","Last Act Theatre Company","Core Funding","6175","259",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","Montopolis Productions","Core Funding","14537","495",
"2017",,"3","Music","White","Austin Creative Alliance","Mother Falcon Music Lab","Core Funding","5688","504",
"2017",,"9","Dance","White","Center For Women & Their Work","Jennifer Sherburn","Core Funding","18050","2,080",
"2017",,"3","Visual Art",,"Austin Creative Alliance","North Austin Creatives       DECLINED","Core Funding","1000",,
"2017",,"3","Theatre","White","Austin Creative Alliance","Oh Dragon Theatre Company   DECLINED","Core Funding","3263",,
"2017",,"3","Theatre","White","Austin Creative Alliance","One Ounce Opera","Core Funding","3750","197",
"2017",,"3","Theatre","White","Austin Creative Alliance","paper chairs","Core Funding","17400","953",
"2017",,"3","Dance","White","Austin Creative Alliance","Performa/Dance","Core Funding","4348","243",
"2017",,"3","Theatre","White","Austin Creative Alliance","Present Company","Core Funding","16100","1,800",
"2017",,"3","Theatre","White","Austin Creative Alliance","Shrewd Productions","Core Funding","14772","964",
"2017",,"3","Theatre","White","Austin Creative Alliance","Sky Candy","Core Funding","18050","1,166",
"2017",,"3","Theatre","White","Austin Creative Alliance","Southwest Theatre Productions","Core Funding","3700","758",
"2017",,"3","Media Arts","White","Austin Creative Alliance","Support Austin Music","Core Funding","6700","203",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","Tangerine          MOVED TO CI","Core Funding","1011",,
"2017",,"3","Theatre","White","Austin Creative Alliance","The City Theatre","Core Funding","19125","6,000",
"2017",,"3","Theatre",,"Austin Creative Alliance","Theatre en Bloc","Core Funding","18375","1,234",
"2017",,"3","Theatre","White","Austin Creative Alliance","Twin Alchemy Theatre Collective","Core Funding","3171","129",
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance","VERGE Art Events   MOVED TO CI","Core Funding","1734",,
"2017",,"3","Multidisciplinary","White","Austin Creative Alliance",,"Core Funding","102200","3,968",
"2017",,"4","Visual Art","White","Austin Creative Reuse",,"Core Funding","4239","264",
"2017",,"1","Dance","White","Austin Dance Ensemble",,"Core Funding","7000","2,143",
"2017",,"1","Media Arts","White","Austin Film Festival",,"Core Funding","207100","27,293",
"2017",,"4","Visual Art","White","Austin Fine Arts Alliance AKA Art Alliance Austin",,"Core Funding","104800","10,177",
"2017",,"5","Media Arts","White","Austin Gay & Lesbian  Film AKA aGLIFF",,"Core Funding","39050","10,000",
"2017",,"10","Music",,"Austin Jazz Workshop Inc.",,"Core Funding","49281","14,000",
"2017",,"7","Theatre","White","Austin Lyric Opera dba Austin Opera",,"Core Funding","198400","31,175",
"2017",,"10","Multidisciplinary","White","Austin Museum of Digital Art",,"Core Funding","8070",,
"2017",,,"Multidisciplinary","White","Austin Museum Partnership Inc","DECLINED","Core Funding","1238",,
"2017",,"3","Music","White","Austin Music Foundation",,"Core Funding","58000","2,729",
"2017",,"3","Music","White","Austin New Music Co-op",,"Core Funding","8400","149",
"2017",,"1","Theatre","Black/African American","Austin Playhouse","Spectrum Theatre Company","Core Funding","7300","623",
"2017",,"4","Theatre","White","Austin Playhouse",,"Core Funding","118825","22,682",
"2017",,"7","Literature","White","Austin Poets International, INC.",,"Core Funding","13466","625",
"2017",,"10","Media Arts","White","Austin Polish Society",,"Core Funding","15125","650",
"2017",,"9","Media Arts","Black/African American","Austin School of Film DBA Motion Media Arts Center","Alexandra Thomas","Core Funding","1000","0",
"2017",,"9","Media Arts",,"Austin School of Film DBA Motion Media Arts Center",,"Core Funding","79400","58,000",
"2017",,"1","Theatre","White","Austin Scottish Rite Theater",,"Core Funding","97000","18,439",
"2017",,"4","Theatre","White","Austin Script Works dba ScriptWorks","Candyce Rusk, ROSETTA","Core Funding","9750","292",
"2017",,,"Theatre","White","Austin Script Works dba ScriptWorks","Sarah Loucks","Core Funding","3750","252",
"2017",,"4","Theatre","White","Austin Script Works dba ScriptWorks",,"Core Funding","28521","1,233",
"2017",,"3","Theatre","White","Austin Shakespeare",,"Core Funding","99600","9,708",
"2017",,"8","Theatre","White","Austin Street Corner Arts Collective",,"Core Funding","9818","678",
"2017",,"1","Theatre","White","Austin Summer Musical for Children","Austin Summer Musical for Children","Core Funding","12600","1,675",
"2017",,"8","Music","White","Austin Symphonic Band","Austin Symphonic Band 16-17 Season","Core Funding","24000","1,703",
"2017",,"1","Music","White","Austin Symphony Orchestra Society","Organizational Support","Core Funding","201300","234,882",
"2017",,"9","Dance",,"Austin Tango Society","Austin Spring Tango 2017 Spring Festival","Core Funding","4800","337",
"2017",,"9","Multidisciplinary",,"Austin Theatre Alliance (THE)","Austin Theatre Alliance Season Support","Core Funding","198400","200,613",
"2017",,"6","Theatre","White","Austin Theatre Project, Inc.",,"Core Funding","23700","1,421",
"2017",,"3","Visual Art","White","Austin Toy Museum","Austin Toy Museum","Core Funding","7300","1,426",
"2017",,"9","Visual Art",,"Austin Visual Arts Association (AVAA)","AVAA Programs","Core Funding","48110","10,000",
"2017",,"9","Visual Art","Black/African American","Austin Visual Arts Association (AVAA)","Greater Tomorrow Youth Art Program","Core Funding","18295","120",
"2017",,"2","Theatre","White","B. Iden Payne Awards Council","B. Iden Payne Awards Council","Core Funding","1750","225",
"2017",,"9","Dance","White","Ballet Austin",,"Core Funding","210000","112,730",
"2017",,"3","Dance","Hispanic/Latino","Ballet East Dance Company","Fall, Spring and Cinco de Mayo Productions","Core Funding","49400","2,500",
"2017",,"1","Theatre","Hispanic/Latino","Ballet East Dance Company","ProyectoTeatro","Core Funding","18050","1,416",
"2017",,"3","Multidisciplinary","Black/African American","Ballet East Dance Company","Sister Moses Project - DECLINED","Core Funding","1000",,
"2017",,"3","Multidisciplinary","Black/African American","Ballet East Dance Company","Uprise Productions","Core Funding","17725","8,677",
"2017",,"8","Multidisciplinary",,"Barton Springs Conservancy",,"Core Funding","5500","600",
"2017",,"3","Music","White","Beyond the Grade",,"Core Funding","9400","125",
"2017",,"3","Multidisciplinary","White","Big Medium","Allyson Lipkin    MOVED TO CI","Core Funding","2844",,
"2017",,"3","Multidisciplinary",,"Big Medium","Antumbrae Intermedia Events + Installations     DECLINED","Core Funding","1375",,
"2017",,"3","Multidisciplinary","White","Big Medium","ATM Gallery","Core Funding","3631","1,000",
"2017",,"3","Music",,"Big Medium","Attendance Records","Core Funding","3438","2,000",
"2017",,"3","Visual Art","White","Big Medium","Brian David Johnson","Core Funding","8200","600",
"2017",,"3","Visual Art",,"Big Medium","Colin McIntyre","Core Funding","17400","575",
"2017",,"3","Multidisciplinary",,"Big Medium","Emily Marks Playground Project Part 1 ""Austin Verses Malibu Stacy""","Core Funding","8800",,
"2017",,"3","Multidisciplinary","White","Big Medium","fields magazine  MOVED TO CI","Core Funding","1336",,
"2017",,"3","Visual Art","White","Big Medium","John Pike","Core Funding","8050","1,000",
"2017",,"3","Media Arts",,"Big Medium","Juanita Butler","Core Funding","4178","25",
"2017",,"3","Multidisciplinary",,"Big Medium","Maker Faire Austin","Core Funding","8800","5,903",
"2017",,"3","Multidisciplinary","White","Big Medium","Matthew Steinke","Core Funding","3750","270",
"2017",,"3","Multidisciplinary",,"Big Medium","Museum of Human Achievement","Core Funding","18050","6,000",
"2017",,"3","Media Arts",,"Big Medium","Outside Voice","Core Funding","9400","3,000",
"2017",,"3","Visual Art",,"Big Medium","Print Austin","Core Funding","14769","8,000",
"2017",,"3","Music",,"Big Medium","Solstice Festival (Vincent ""Matt"" Ford)","Core Funding","6425","1,362",
"2017",,"3","Visual Art","White","Big Medium","Susan Scafati","Core Funding","3125","15,000",
"2017",,"3","Theatre","White","Big Medium","Tiny Black Hearts","Core Funding","3100","150",
"2017",,"3","Visual Art",,"Big Medium","Valerie Fowler","Core Funding","5923","3,122",
"2017",,"3","Multidisciplinary",,"BIG MEDIUM",,"Core Funding","107400","120,000",
"2017",,"3","Visual Art","White","Bike Texas","Equilibre","Core Funding","2406","2,800",
"2017",,"9","Media Arts","Black/African American","Black Film Collective (BFC)","Capital City Black Film Festival","Core Funding","7900","152",
"2017",,"10","Music",,"Black Fret","Black Fret Artist Program","Core Funding","25754","700",
"2017",,,"Dance",,"Blue Lapis Light, Inc.","2016-2017 Season","Core Funding","79600","7,150",
"2017",,,"Literature",,"Borderlands Texas Poetry","Borderlands Texas Poetry Review","Core Funding","5200","15,000",
"2017",,"7","Theatre","White","Buzz Productions","Buzz Productions","Core Funding","8078","394",
"2017",,"9","Music","White","Capital City Men's Chorus","CCMC Season 28","Core Funding","23885","824",
"2017",,"9","Media Arts","White","Capital of Texas Public Telecommunications Council AKA KLRU","Arts in Context","Core Funding","28400","0",
"2017",,"9","Music","White","Capitol Broadcasting Association Inc dba KMFA Classical 89.5","Listen Local","Core Funding","28354","437,595",
"2017",,,"Multidisciplinary","Black/African American","Capitol View Arts",,"Core Funding","15894","3,117",
"2017",,"4","Multidisciplinary","White","Celtic Cultural Center of Texas",,"Core Funding","27750","2,000",
"2017",,"9","Multidisciplinary",,"Center For Women & Their Work","Alyssa Taylor Wendt","Core Funding","11867","600",
"2017",,"9","Visual Art","White","Center For Women & Their Work","Art of the Pot, LLC","Core Funding","18700","600",
"2017",,"9","Multidisciplinary","White","Center For Women & Their Work","Asian American Community Partnership","Core Funding","14795","4,500",
"2017",,"9","Media Arts",,"Center For Women & Their Work","Big Green Machine","Core Funding","9506","40",
"2017",,"9","Music","White","Center For Women & Their Work","Bob Hoffnar","Core Funding","18700","385",
"2017",,"9","Music","White","Center For Women & Their Work","Chris Cogburn / No Idea Festival","Core Funding","18700","825",
"2017",,"8","Multidisciplinary","Asian","Center For Women & Their Work","Color Arc Productions (A Girl Named Soo by Christine Hoang)","Core Funding","4711","650",
"2017",,"9","Visual Art","White","Center For Women & Their Work","Denise Prince","Core Funding","19025","2,592",
"2017",,"9","Media Arts","White","Center For Women & Their Work","Experimental Response Cinema","Core Funding","3550","700",
"2017",,"9","Theatre",,"Center For Women & Their Work","Generic Ensemble Company","Core Funding","10794","761",
"2017",,"9","Dance","White","Center For Women & Their Work","Heloise Gold","Core Funding","17725","210",
"2017",,"9","Media Arts","Hispanic/Latino","Center For Women & Their Work","Jayson Oaks MOVED TO CI - ALSO DECLINED CI FUNDING","Core Funding","1100",,
"2017",,"9","Visual Art","White","Center For Women & Their Work","Jules Buck Jones","Core Funding","14361","412",
"2017",,"9","Multidisciplinary","White","Center For Women & Their Work","Lauren Gurgiolo","Core Funding","18375","145",
"2017",,"9","Dance",,"Center For Women & Their Work","Lauren Tietz    DECLINED","Core Funding","2722",,
"2017",,"9","Multidisciplinary",,"Center For Women & Their Work","Project Abundant Life","Core Funding","2850","108",
"2017",,"9","Multidisciplinary","White","Center For Women & Their Work","Rattletree","Core Funding","18375","200",
"2017",,"9","Multidisciplinary","White","Center For Women & Their Work","Rino Pizzi","Core Funding","10969","50",
"2017",,"9","Dance","White","Center For Women & Their Work","Shay Ishii Dance Company: Dancestry Restored  MOVED TO CI","Core Funding","2745",,
"2017",,"9","Visual Art","White","Center For Women & Their Work","Women Printmakers of Austin WPA","Core Funding","19025","9,000",
"2017",,"9","Multidisciplinary",,"Center For Women & Their Work","Yuliya Lanina","Core Funding","17400","540",
"2017",,"9","Multidisciplinary",,"CENTER FOR WOMEN & THEIR WORK",,"Core Funding","104800","22,245",
"2017",,"9","Dance","White","Chaddick Dance Company","Chaddick Dance Theater 2017 Home Season","Core Funding","10656","300",
"2017",,"9","Visual Art","White","Cherrywood Urban Landscape and Arts League (Chula League)",,"Core Funding","33996","12,243",
"2017",,"10","Media Arts","Hispanic/Latino","Cine Las Americas","Cine Las Americas","Core Funding","56455","2,500",
"2017",,"9","Music","White","Classical Guitar Alive","Music In Medicine community outreach program","Core Funding","26002","23,181",
"2017",,"5","Music",,"Classical Music For the World",,"Core Funding","14953","900",
"2017",,"9","Media Arts","White","Coalition of Texans with Disabilities",,"Core Funding","9100","193",
"2017",,"3","Multidisciplinary","White","Co-Lab Projects","Art of the Brew     MOVED TO CI","Core Funding","1913",,
"2017",,"3","Theatre","White","Co-Lab Projects","Party World Rasslin'   DECLINED","Core Funding","1951",,
"2017",,"3","Visual Art",,"Co-Lab Projects",,"Core Funding","28305","24,500",
"2017",,"7","Multidisciplinary","White","COLLIDE",,"Core Funding","22113","3,500",
"2017",,"6","Dance","White","Conservatory Dance Theatre","16th Annual Austin Children's Nucracker/The Lion, The Witch and The Wardrobe/Midsummer Night's Dream","Core Funding","24150","2,100",
"2017",,"4","Music",,"Conspirare Inc","2016-17 Season","Core Funding","189700","6,000",
"2017",,"1","Theatre","White","Different Stages",,"Core Funding","24617","2,375",
"2017",,"1","Visual Art",,"Dimension Gallery","Dimension Sculpture Garden","Core Funding","8500","1,985",
"2017",,"9","Multidisciplinary",,"E4 Youth, Inc.","Music Legacy Project","Core Funding","8800","200",
