"rin","primary_key","date_occurred","time_occurred","location","area_command","nature_of_contact","reason_desc","r2r_level","master_subject_id","subject_sex","subject_race","subject_ethnicity","subject_conduct_desc","subject_resistance","weapon_used_1","weapon_used_2","weapon_used_3","weapon_used_4","weapon_used_5","number_shots","effect_on_officer","officer_organization_desc","officer_commission_date","officer_yrs_of_service","x_coordinate","y_coordinate","council_district","census_tract","zip","county","county_desc"
"7575049","20192501815","2019-09-07T00:00:00.000",,"7522 N IH 35 SVRD SB","ID","5-VIEWED OFFENSE [non MV-Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","1230475: 20192501815",,,,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","AGGRESSIVE RESISTANCE","CED - PRONGS-ENTER # CYCLES (use #shots field)",,,,,"1","NO COMPLAINT OF INJURY/PAIN","AUTO THEFT INTERDICTION PROPERTY CRIMES INVEST","2003-06-27T00:00:00.000","16","3125968","10096642","4","-","78752","1","TRAVIS COUNTY"
"7574705","20192510234","2019-09-08T00:00:00.000","0207","401 E 6TH ST","GE","5-VIEWED OFFENSE [non MV-Stop]","IN CUSTODY, MAINTAINING CONTROL","3","459848329: 20192510234","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"MINOR INJURY","GEORGE 400 REG I EVENING","2012-07-13T00:00:00.000","7","3115439","10070324","9","-","78701","1","TRAVIS COUNTY"
"7593716","20192860109","2019-10-13T00:00:00.000",,"413 E 6TH ST","GE","5-VIEWED OFFENSE [non MV-Stop]","IN CUSTODY, MAINTAINING CONTROL","4","255092825: 20192860109","M","W","H","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","AGGRESSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","CHARLIE 500 REG III PATROL","2017-12-22T00:00:00.000","2","3115573","10070283","9","11","78701","1","TRAVIS COUNTY"
"7608346","20193130701","2019-11-09T00:00:00.000",,"3500 W WELLS BRANCH PKWY","88","4-DISPATCHED CALL [non MV Stop]","IN CUSTODY, MAINTAINING CONTROL","4","459728551: 20193130701","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,,"ADAM 200 REG II PATROL","2007-04-27T00:00:00.000","13","3127503","10133654",,"18.64","78728","1","TRAVIS COUNTY"
"7615072","20193260796","2019-11-22T00:00:00.000","1402","11000 N MOPAC EXPY SVRD SB","AD","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","459865740: 20193260796","F","W","N","EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","PASSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,,"ADAM 200 REG II PATROL","2000-04-20T00:00:00.000","20","3116360","10118885","7","17.54","78759","1","TRAVIS COUNTY"
"7618066","20193331103","2019-11-29T00:00:00.000","1740","109 W ANDERSON LN SVRD EB","ID","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","334825364: 20193331103","F","B","N","EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","IDA 400 REG I PATROL","2012-11-30T00:00:00.000","7","3125258","10098506","4","18","78752","1","TRAVIS COUNTY"
"7632799","20193611156","2019-12-27T00:00:00.000",,"1144 AIRPORT BLVD","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","219218733: 20193611156","M","W","H",,"DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","CHARLIE 400 REG III PATROL","2017-06-23T00:00:00.000","3","3128398","10072590","3","-","78702","1","TRAVIS COUNTY"
"7466947","2019410178","2019-02-10T00:00:00.000","0209","403 E 6TH ST","GE","5-VIEWED OFFENSE [non MV-Stop]","IN CUSTODY, MAINTAINING CONTROL","3","322964269: 2019410178","M","W","H","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","GEORGE 600 REG I EVENING","2012-07-13T00:00:00.000","7","3115468","10070315","9","-","78701","1","TRAVIS COUNTY"
"7451893","2019100970","2019-01-10T00:00:00.000","1503","3310 DUNLIEGH DR","FR","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","297032028: 2019100970","M","W","H",,"DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","FRANK 200 REG IV PATROL","2011-10-07T00:00:00.000","7","3085646","10045684","8","17.29","78745","1","TRAVIS COUNTY"
"7470461","2019471875","2019-02-16T00:00:00.000","0058","8885 RESEARCH BLVD SVRD NB","ED","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","459432872: 2019471875","M","W","H","EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","EDWARD 700 REG II PATROL","2007-04-27T00:00:00.000","12","3120732","10108224","4","18.20","78758","1","TRAVIS COUNTY"
"7482957","2019722237","2019-03-13T00:00:00.000",,"516 E 6TH ST","GE","5-VIEWED OFFENSE [non MV-Stop]","IN CUSTODY, MAINTAINING CONTROL","4","135283326: 2019722237","F","W","H","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","PREPARATORY RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,,"AUTO THEFT INTERDICTION PROPERTY CRIMES INVEST","2005-07-08T00:00:00.000","14","3115992","10070366","9","11.00","78701","1","TRAVIS COUNTY"
"7486920","2019800147","2019-03-21T00:00:00.000","0234","3701 N IH 35 SVRD NB","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","301336720: 2019800147","M","W","H","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","PREPARATORY RESISTANCE","CED - PRONGS-ENTER # CYCLES (use #shots field)",,,,,"1","NO COMPLAINT OF INJURY/PAIN","CHARLIE 400 REG III PATROL","2016-10-28T00:00:00.000","2","3121318","10080196","9","-","78722","1","TRAVIS COUNTY"
"7488915","2019831275","2019-03-24T00:00:00.000",,"9133 NORTHGATE BLVD","ED","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","301662826: 2019831275","F","W","N","EDP/MENTALLY UNSTABLE","PASSIVE RESISTANCE",,,,,,,"NO COMPLAINT OF INJURY/PAIN","EDWARD 700 REG II PATROL","2017-06-23T00:00:00.000","2","3121931","10108440","4","18.20","78758","1","TRAVIS COUNTY"
"7495091","2019951953","2019-04-05T00:00:00.000","2200","NORTHGATE BLVD / W RUNDBERG LN","ED","1-TRAFFIC STOP [Motor Vehicle Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","459428023: 2019951953","F","B","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","ADAM DISTRICT REPS  REG II PATROL","2014-03-21T00:00:00.000","5","3122010","10108736","4","-","78758","1","TRAVIS COUNTY"
"7497078","20191001704","2019-04-10T00:00:00.000",,"614 N COMMONS FORD RD","BA","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO DEFEND REPORTING OFFICER","4","459170074: 20191001704","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","AGGRESSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","BAKER 800 NIGHT REG I PATROL","2016-10-28T00:00:00.000","2","3068873","10095557","6","17.83","78733","1","TRAVIS COUNTY"
"7497078","20191001704","2019-04-10T00:00:00.000","0042","614 N COMMONS FORD RD","BA","4-DISPATCHED CALL [non MV Stop]","IN CUSTODY, MAINTAINING CONTROL","4","459170074: 20191001704","M","W","N","EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","AGGRESSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","IDA 300 REG I PATROL","2017-12-22T00:00:00.000","1","3068873","10095557","6","17.83","78733","1","TRAVIS COUNTY"
"7496982","20191001750","2019-04-10T00:00:00.000","1920","900 RUTLAND DR","ED","3-TACTICAL OPERATION [non-MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","384045103: 20191001750","M","B","N",,"DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","STREET NARCOTICS TEAM 1 OCD","2001-08-10T00:00:00.000","18","3127578","10106801","4","-","78758","1","TRAVIS COUNTY"
"7496982","20191001750","2019-04-10T00:00:00.000","1920","900 RUTLAND DR","ED","3-TACTICAL OPERATION [non-MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","384045103: 20191001750","M","B","N",,"DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","STREET NARCOTICS TEAM 2 OCD","2013-03-22T00:00:00.000","6","3127578","10106801","4","-","78758","1","TRAVIS COUNTY"
"7497052","20191001753","2019-04-10T00:00:00.000","1553","8307 GARCREEK CIR","CH","4-DISPATCHED CALL [non MV Stop]","OTHER (DOCUMENT IN SUPPLEMENT)","4","199491983: 20191001753","F","W","N","EDP/MENTALLY UNSTABLE","PREPARATORY RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","IDA 400 REG I PATROL","2015-11-13T00:00:00.000","3","3149853","10080967","1","22","78724","1","TRAVIS COUNTY"
"7497052","20191001753","2019-04-10T00:00:00.000","2000","8307 GARCREEK CIR","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","199491983: 20191001753","F","W","N","EDP/MENTALLY UNSTABLE","PASSIVE RESISTANCE; DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","CHARLIE 400 REG III PATROL","2016-10-28T00:00:00.000","2","3149853","10080967","1","22","78724","1","TRAVIS COUNTY"
"7497052","20191001753","2019-04-10T00:00:00.000","1922","8307 GARCREEK CIR","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","199491983: 20191001753","F","W","N","EDP/MENTALLY UNSTABLE","PASSIVE RESISTANCE; DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","CHARLIE 400 REG III PATROL","2016-10-28T00:00:00.000","2","3149853","10080967","1","22","78724","1","TRAVIS COUNTY"
"7497181","20191002053","2019-04-10T00:00:00.000","2210","10700 BURNET RD","AD","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","459535878: 20191002053","M","B","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","ADAM 500 REG II PATROL","2014-12-12T00:00:00.000","4","3119882","10115742","7","-","78758","1","TRAVIS COUNTY"
"7497181","20191002053","2019-04-10T00:00:00.000","2210","10700 BURNET RD","AD","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","459535878: 20191002053","M","B","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,"0","MINOR INJURY","DWI TEAM 3 REG III HWY ENFORCEMENT","2014-12-12T00:00:00.000","4","3119882","10115742","7","-","78758","1","TRAVIS COUNTY"
"7449408","201910020","2019-01-01T00:00:00.000","0007","9307 N LAMAR BLVD","ED","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","238027115: 201910020","M","W","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","EDWARD 300 REG II PATROL","2015-03-20T00:00:00.000","4","3127917","10105255","4","-","78753","1","TRAVIS COUNTY"
"7449408","201910020","2019-01-01T00:00:00.000","0007","9307 N LAMAR BLVD","ED","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","238027115: 201910020","M","W","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","EDWARD 500 REG II PATROL","2017-12-22T00:00:00.000","1","3127917","10105255","4","-","78753","1","TRAVIS COUNTY"
"7451893","2019100970","2019-01-10T00:00:00.000","1500","3310 DUNLIEGH DR","FR","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","297032028: 2019100970","M","W","H",,"DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","METRO TAC REGION 4","2009-01-02T00:00:00.000","10","3085646","10045684","8","17.29","78745","1","TRAVIS COUNTY"
"7451893","2019100970","2019-01-10T00:00:00.000",,"3310 DUNLIEGH DR","FR","1-TRAFFIC STOP [Motor Vehicle Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","297032028: 2019100970","M","W","H",,"DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE","CED - PRONGS-ENTER # CYCLES (use #shots field)","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,"1","MINOR INJURY","FRANK 200 REG IV PATROL","2010-04-23T00:00:00.000","9","3085646","10045684","8","17.29","78745","1","TRAVIS COUNTY"
"7451893","2019100970","2019-01-10T00:00:00.000","1500","3310 DUNLIEGH DR","FR","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","297032028: 2019100970","M","W","H","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","CED - PRONGS MISSED-ENTER # CYCLES (use #shots field)","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,"1",,"METRO TAC REGION 4","2013-05-17T00:00:00.000","6","3085646","10045684","8","17.29","78745","1","TRAVIS COUNTY"
"7451893","2019100970","2019-01-10T00:00:00.000","1503","3310 DUNLIEGH DR","FR","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","297032028: 2019100970","M","W","H",,"DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","FRANK 400 REG IV PATROL","2017-06-23T00:00:00.000","2","3085646","10045684","8","17.29","78745","1","TRAVIS COUNTY"
"7497489","20191010636","2019-04-11T00:00:00.000","1023","5029 MANOR RD","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO DEFEND REPORTING OFFICER","4","179700764: 20191010636","M","B","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","CHARLIE 100 REG III PATROL","2015-03-20T00:00:00.000","4","3131715","10081963","1","21","78723","1","TRAVIS COUNTY"
"7451930","2019101094","2019-01-10T00:00:00.000",,"13000 HYMEADOW DR","AD","4-DISPATCHED CALL [non MV Stop]","TO RESTRAIN FOR SUBJECTS SAFETY","3","459709957: 2019101094","F","B","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","ADAM 500 REG II PATROL","2009-01-02T00:00:00.000","10","3098058","10140935","6","204.08","78729","2","WILLIAMSON COUNTY"
"7451930","2019101094","2019-01-10T00:00:00.000",,"13000 HYMEADOW DR","AD","4-DISPATCHED CALL [non MV Stop]","IN CUSTODY, MAINTAINING CONTROL","4","459709957: 2019101094","F","B","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","ADAM 500 REG II PATROL","2017-12-22T00:00:00.000","1","3098058","10140935","6","204.08","78729","2","WILLIAMSON COUNTY"
"7451930","2019101094","2019-01-10T00:00:00.000","1555","13000 HYMEADOW DR","AD","4-DISPATCHED CALL [non MV Stop]","TO RESTRAIN FOR SUBJECTS SAFETY","3","459709957: 2019101094","F","B","N","EDP/MENTALLY UNSTABLE","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","ADAM 500 REG II PATROL","2017-12-22T00:00:00.000","1","3098058","10140935","6","204.08","78729","2","WILLIAMSON COUNTY"
"7497494","20191011226","2019-04-11T00:00:00.000",,"4600 WEST GATE BLVD","DA","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","306971003: 20191011226","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","AGGRESSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"COMPLAINT OF INJURY/PAIN","DAVID 600 EVENINGS REG IV PATROL","2012-11-30T00:00:00.000","6","3096253","10056551","5","17.50","78745","1","TRAVIS COUNTY"
"7497603","20191011330","2019-04-11T00:00:00.000",,"3909 N IH 35 SVRD NB","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","4","459528100: 20191011330","M","W","H","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","CHARLIE 600 REG III EVENING SHIFT","2016-10-28T00:00:00.000","2","3122010","10081176","9","-","78722","1","TRAVIS COUNTY"
"7497603","20191011330","2019-04-11T00:00:00.000","1829","3909 N IH 35 SVRD NB","CH","4-DISPATCHED CALL [non MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","459528100: 20191011330","M","W","H","EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","CHARLIE 400 REG III PATROL","2016-10-28T00:00:00.000","2","3122010","10081176","9","-","78722","1","TRAVIS COUNTY"
"7497550","20191011340","2019-04-11T00:00:00.000","1630","GEORGIAN DR / JENNIFER LN","ED","3-TACTICAL OPERATION [non-MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","1903146: 20191011340","M","W","H",,"DEFENSIVE RESISTANCE","CED - DRIVE STUN-ENTER # CYCLES (use #shots field)",,,,,"1","NO COMPLAINT OF INJURY/PAIN","GANG SUPPRESSION UNIT OCD","2008-01-04T00:00:00.000","11","3126474","10100697","4","18","78753","1","TRAVIS COUNTY"
"7497550","20191011340","2019-04-11T00:00:00.000",,"GEORGIAN DR / JENNIFER LN","ED","3-TACTICAL OPERATION [non-MV Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","1903146: 20191011340","M","W","H",,"DEFENSIVE RESISTANCE","CED - PRONGS-ENTER # CYCLES (use #shots field)",,,,,"1",,"GANG SUPPRESSION UNIT OCD","2014-03-21T00:00:00.000","5","3126474","10100697","4","18","78753","1","TRAVIS COUNTY"
"7497485","20191011352","2019-04-11T00:00:00.000","1407","SCOTTSDALE RD / E MARTIN LUTHER KING JR BLVD","CH","1-TRAFFIC STOP [Motor Vehicle Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","459050389: 20191011352","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","METRO TAC REGION I","2003-06-27T00:00:00.000","16","3134343","10077828","1","21","78721","1","TRAVIS COUNTY"
"7497485","20191011352","2019-04-11T00:00:00.000",,"SCOTTSDALE RD / E MARTIN LUTHER KING JR BLVD","CH","1-TRAFFIC STOP [Motor Vehicle Stop]","NECESSARY TO EFFECT ARREST / DETENTION","3","459050389: 20191011352","M","W","N","SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)",,,,,,"NO COMPLAINT OF INJURY/PAIN","METRO TAC REGION I","2008-06-20T00:00:00.000","11","3134343","10077828","1","21","78721","1","TRAVIS COUNTY"
