"pool_name","status","open_date","weekday","weekend","closure_days","pool_type","phone","location_1","website"
"Dove Springs","Closed",,"Closed","Closed",,"Community","512-974-9331","5801 Ainez Dr
Austin, TX 
(30.18812383100004, -97.73920481399995)","Dove Springs Pool (http://www.austintexas.gov/department/dove-springs-pool)"
"Civitan","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","513 Vargas Rd
Austin, TX 
(30.237021979000076, -97.69142730499999)","Civitan Pool (http://www.austintexas.gov/department/civitan-pool)"
"Walnut Creek","Open",,"Closed","12:00PM-7:00PM",,"Regional","512-834-0824","12138 N Lamar Blvd
Austin, TX 
(30.398443986000075, -97.67950234099999)","http://www.austintexas.gov/department/walnut-creek-pool"
"West Austin","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","1317 W 10th St
Austin, TX 
(30.27739562900007, -97.75705321199996)","West Austin Pool (http://www.austintexas.gov/department/west-austin-pool)"
"Stacy Wading","Closed",,"Closed","Closed",,"Wading","512-974-9331","1401 Sunset Lane
Austin, TX 
(30.241312486000027, -97.74557365799996)","Little Stacy Wading Pool (http://www.austintexas.gov/department/little-stacy-wading-pool)"
"Clarksville Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","1811 W 11th St
Austin, TX 
(30.282105005000062, -97.76410287199997)","Clarksville Splash Pad (http://www.austintexas.gov/department/clarksville-splash-pad)"
"Givens","Closed",,"Closed","Closed",,"Community","512-974-9331","3811 E 12th St
Austin, TX 
(30.27832090800007, -97.69072592299995)","Givens Pool (http://www.austintexas.gov/department/givens-pool)"
"Canyon Vista","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","8455 Spicewood Springs
Austin, TX 
(30.427132347000054, -97.78468953899994)","Canyon Vista Pool website (http://www.austintexas.gov/department/canyon-vista-pool)"
"Barton Springs","Open",,"5:00AM-10:00PM","5:00AM-10:00PM","Thursday","Regional","512-867-3080","2131 William Barton Dr
Austin, TX 
(30.265983430000063, -97.76862557799996)","http://www.austintexas.gov/department/barton-springs-pool"
"Rosewood","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","2300 Rosewood Ave
Austin, TX 
(30.271339, -97.713836)","Rosewood Pool (http://www.austintexas.gov/department/rosewood-pool)"
"Dittmar","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","1009 W Dittmar Dr
Austin, TX 
(30.185743134000063, -97.80106115899997)","Dittmar Pool (http://www.austintexas.gov/department/dittmar-pool)"
"Lott Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","1180 Curves
Austin, TX 
(30.269695108000064, -97.73017088999995)","Lott Splash Pad (http://www.austintexas.gov/department/lott-splash-pad)"
"Kennemer","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","200 Dawson Rd
Austin, TX 
(30.36075515300007, -97.70649799899996)","Kennemer Pool (http://www.austintexas.gov/department/kennemer-pool)"
"Stacy","Open",,"6:00AM-8:00PM","12:00PM-7:00PM","N/A","Neighborhood","512-445-0304","700 E Live Oak St
Austin, TX 
(30.239596177000067, -97.74730836399999)","http://austintexas.gov/department/big-stacy-pool"
"Ricky Guerrero Splashpad","Open","2022-05-25T00:00:00.000","9:00AM-8:00PM","9:00AM-8:00PM",,"Splash Pad","512-974-9331","1100 Brodie Street
Austin, TX 
(30.246923898000034, -97.76367140099995)","Ricky Guerrero Splash Pad (http://www.austintexas.gov/department/ricky-guerrero-splash-pad)"
"Bartholomew","Open",,"12:15PM-8:00PM","12:00PM-7:00PM","N/A","Regional","512-974-1650","1800 E 51st St
Austin, TX 
(30.302395535000073, -97.69739842999996)","http://www.austintexas.gov/department/bartholomew-pool"
"Martin","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","1626 Nash Hernandez Sr Dr
Austin, TX 
(30.250938086000076, -97.73110151999998)","Martin Pool (http://www.austintexas.gov/department/martin-pool)"
"Ramsey","Closed",,"Closed","Closed",,"Neighborhood","512-974-9331","4201 Burnet Rd
Austin, TX 
(30.31187897700005, -97.74379847899996)","http://www.austintexas.gov/department/ramsey-pool"
