Facility Name,Street Address,Hours,Website,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,Zip Codes,Zoning Review Cases_data
South Austin WIC Clinic,"2508 Durwood St.
Austin, Texas 78704
(30.239252, -97.760073)","Monday and Tuesday 7:30am to 7:00 p.m., closed noon to 1:00 p.m.; Wednesday and Thursday 7:30am to 4:30 pm, closed noon to 12:30 p.m.; (Closed second Wednesday of each month); Friday 7:30am to noon; Second Saturday of each month 8:00am to noon",http://www.austintexas.gov/department/south-austin-wic-clinic,3,9,3,47,217,75,2859,2731
St. John Community Center,"7500 Blessing Avenue
Austin, Texas 78752
(30.332632, -97.693348)",Monday to Thursday 8 a.m. â 6 p.m.; Friday 8 a.m. to noon,http://www.austintexas.gov/department/st-johns-community-center,4,40,9,43,63,3,3641,202
St. Johns WIC Clinic,"7500 Blessing Avenue
Austin, Texas 78752
(30.332635, -97.69335)","Monday and Tuesday 7:30 a.m. to 7 p.m., closed noon to 1 p.m.; Wednesday and Thursdays 7:30 a.m. to 4:30 p.m., closed noon to 12:30 p.m. (Closed second Wednesday of each month); Fridays 7:30am to noon; Second Saturday of each month 8 a.m. to noon",http://www.austintexas.gov/department/st-johns-wic-clinic,4,40,9,43,63,3,3641,202
Betty Dunkerley Health Campus Building B,"7201 Levander Loop
Austin, Texas 78702
(30.251305664000483, -97.69174879199966)",Sunday - Saturday 7:00am to 7:00pm,,3,4,3,31,309,62,2864,1563
AK Black Health Center ,"928 Blackson Avenue
Austin, Texas 78752
(30.333683, -97.698535)",,,4,40,9,43,63,3,3641,202
"Betty Dunkerley Campus, Building E ","7201 Levander Loop, Building E
Austin, Texas 78702
(30.252944, -97.690225)",,,3,4,3,31,309,62,2864,1563
First Workers Day Labor Center ,"4916 N IH 35
Austin, Texas 78751
(30.308436, -97.711863)",,http://www.austintexas.gov/online-form/first-workers-day-labor-job-request,9,6,10,68,318,65,3640,1081
Montopolis Recreation Community Center ,"1200 Montopolis Dr.
Austin, Texas 78741
(30.232386, -97.699893)","Monday - Thursday: 11 AM - 9 PM, Friday 11 AM - 6 PM, Saturday 10 AM - 4 PM, Sunday: Closed ",,3,8,3,46,365,55,3256,
"Betty Dunkerley Campus Building H, Administrative Services ","7201 Levander Loop, Building H
Austin, Texas 78702
(30.253738, -97.689104)",,,3,4,3,31,309,62,2864,1563
"Betty Dunkerley Health Campus, Building C","7201 Levander Loop, Bulding C
Austin, Texas 78702
(30.251614, -97.690013)",,,3,4,3,31,309,62,2864,1563
