"name_of_hauler","type_of_hauler","phone","website"
"Grime Time, LLC","Landfill","512-387-5802
214-457-1860","http://www.grimetime.com"
"GTT & Preferred Landscaping, Inc","Recycle","512-288-2867","http://www.gttatx.com"
"Haulbrooke","Landfill, Recycle","210-716-0000","http://www.haulbrooke.com"
"Heart Of Texas Demolition, LLC","Landfill","512-276-2494","http://www.heartoftexasdemo.com"
"Heritage Tree Care, LLC","Organics","512-921-8452","http://www.txheritagetreecare.com"
"H&H Foradory Construction, Inc","Landfill, Recycle, Organics","512-243-2378","http://www.hhforadory.com"
"Hook 'Em Rolloff","Recycle","512-751-8864",
"Hook N Haul Dumpsters / JS Dumpsters","Landfill","512-876-0271","http://hooknhauldumpsters.com/"
"Jeff Neal Design","Recycle, Organics","512-844-2653","http://www.jeffnealdesign.com"
"Joe's Organics, LLC","Recycle, Organics","512-537-3993","http://www.joesorganics.com"
"JR Schneider Construction Inc","Recycle","512-327-5517
512-327-5535","http://www.jrschneiderconstruction.com/"
"Junk King Austin","Landfill, Recycle","512-964-1145","http://www.junk-king.com"
"Just Right Lawns","Recycle, Organics","512-962-6759","http://www.justrightlawns.com"
"Kuts & Kleans, Inc","Landfill","512-848-7001",
"Landmarc Contractors","Landfill","512-844-1081",
"Landwest Design Group, Ltd","Landfill","512-263-3464","http://www.landwest.com"
"Lossen Bros","Landfill","512-845-3076","http://www.lossenbrosinc.com"
"MB Landscape Solutions","Recycle, Organics","512-627-5830",
"Medxcel Facilities Management, LLC","Landfill, Recycle, Organics","317-975-7457","http://www.medxcel.com"
"Mend Services","Landfill, Recycle, Organics","512-986-0893","http://www.mendservices.com"
"MGN Disposal","Landfill","512-718-0298",
"M J T Construction, Inc","Landfill","512-376-2002
FAX 512-398-2481",
"Monson Trucking, Inc","Landfill","512-845-2599",
"Moonshot Compost","Organics","713-955-0011","http://www.moonshotcompost.com"
"Mr Patch & Repair/Mr Rolloff Dumpster","Landfill, Organics","512-792-9539","https://www.mrrolloffdumpsterrental.com/"
"Nation Waste","Landfill, Recycle","512-876-0637","http://www.nationwaste.us"
"Organics by Gosh / Employee Owned Nursery Enterprises, Ltd","Organics","512-276-1211","http://www.organicsbygosh.com/"
"Organix Recycling","Recycle","708-326-3900","http://www.organixrecycling.com"
"Priority Landscapes","Organics","512-436-0664",
"PRT / Paper Retriever of Texas","Recycle","210-662-7446","http://www.paperretrieveroftexas.com"
"P&R Tree Services, LLC","Organics","512-845-1682",
"PS Landscapes","Organics","512-335-4769",
"PT Construction, LLC","Landfill","512-296-9300",
"R3EWaste - Austin","Recycling","512-714-3939","http://www.r3ewaste.com"
"Recon Services, Inc.","Landfill, Recycle","512-894-4441","http://www.reconservicesinc.com/"
"redbox+ Of Greater Austin / Lonestar Essential Services, LLC","Landfill, Recycle, Organics","512-400-6025","http://www.redboxplus.com"
"Red Rock Recycling, LLC","Recycle","844-343-3505","http://www.redrockrecycling.com"
"Ridwell, Inc","Recycle","206-457-2741","http://www.ridwell.com"
"Ridwell, Inc","Recycle","206-457-2741","http://www.ridwell.com"
"River City Rolloffs, Inc.","Recycle","512-832-8300","http://rivercityrolloffs.com/"
"RoadRunner Recycling, Inc","Recycling","888/871/7623 x712","http://www.roadrunnerwm.com"
"Rockin' Disposal","Landfill, Recycle","512-953-7256",
"Rubbish, Inc","Landfill","512-298-5445","http://www.rubbish-inc.com"
"Seedlings Gardening, Inc","Organics","512-298-9396","http://www.seedlingsgardening.com"
"Southern Star Trucking, Inc","Landfill, Recycle, Organics","512-272-8663",
"Sunrise Tree Services","Organics","512-784-5333","http://www.sunrisetreeservices.com"
"Talkin Trash, LLC",,"623-498-7202",
"TB Haul-Off","Landfill","512-461-0519","http://www.tbhauloff.com"
"TexaScapes, Inc","Landfill, Organics","512-472-0207","http://www.texascapes.com"
"Texas Disposal Systems, Inc.","Landfill, Recycle, Organics","512-421-1300","http://www.texasdisposal.com"
"The Davey Tree Expert Co","Organics","512-451-4986","http://www.davey.com/local-offices/austin-tree-service/"
"Total Demolition","Landfill, Recycle","512-247-9485",
"Trade Ready, LLC","Landfill, Recycle, Organics","512-705-1435","http://www.trade-ready.com"
"Tree King Services","Recycle","512-587-9247",
"Two Men And A Truck","Landfill, Recycle","512-416-6800","http://www.twomen.com"
"United Site Services","Landfill","737-237-4573","http://www.unitedsiteservices.com"
"Unity Contractor Services, Inc","Recycle","512-926-8065","http://www.unitycs.com"
"Vargas Lawn Services, LLC","Organics","512-762-2508",
"Vasquez Trash Haul, LLC","Landfill","512-247-9271",
"Vesta Waste Services, LLC","Landfill, Recycle","316-305-0593","http://www.vestawaste.com"
"Waste Connections Lone Star, Inc","Landfill, Recycle","512-282-3508","http://www.wasteconnections.com"
"Waste Management of Texas, Inc.","Landfill, Recycle, Organics","512-272-6232","http://www.wm.com"
"Wilson Roofing Company","Landfill, Recycle","512-263-3157","http://www.wilsonroofing.com"
"Yardworks Austin","Landfill, Organics","512-626-8525","http://www.yardworksaustin.com"
"Yoyo's Tree Professionals","Organics","512-587-3674","http://www.yoyostreeservices.com"
