"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","material","sump","curb_op","height","depressed","depression_a","st_length","st_width","width","inlet_loc","depth_to_bottom","manhole","inlet_type","marked","globalid","edit_status","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","gutter_break","gps_pdop","gps_satqual","marked_date","catch_basket","gps_date","gps_time","unit","dem_calculated_sump","maximo_asset_number","maximo_site_id"
"POINT (-97.799621385706 30.254218088341)","4946572","0","1","191475","1869043","1",,"1996-11-06T00:00:00.000Z","1996","ASBLTEL",,"CARMIJO","2013-04-26T13:23:09.000Z","PSTARKEL","2018-02-27T08:04:39.000Z","RODAVILA","BAR","F21","613H","218850","OTHER","OTHER","PHYS_INSP","ASBLTEL","GPS","3096497.5625","10065303.2144","DIG08","SUB-M","640.90002441","640.47998047","N","CONCRETE","635.40002441","192","6","F","0","45","45",,"SAG","54","PRESENT","S4","NOTMARKED","f12cf9d3-13d0-4166-846f-f3de01b163e8","ENTERED","2022-02-08T14:52:51.000Z","ACTIVE","2","N","JENNIFER WOERTZ",,,"12042008_2_034.jpg","0",,,,"0",,,,,"1093199","WPD"
"POINT (-97.764299268674 30.264036591919)","4948881","0","1","192568","424543","126",,"2000-07-20T00:00:00.000Z","2000","APPLANEL",,"CARMIJO","2012-08-21T11:57:38.000Z","PCAMPMAN","2014-12-22T14:18:36.000Z","RODAVILA","LBL","H22","584Y","3329917","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3107566.7025","10069127.0638","DIG08","SUB-M","467.27999878","466.85998535","N","CONCRETE","458.3999939","252","5","T","6","257","25","18","GRADE","90","PRESENT","G1","GOOD","b99c432e-d15d-408f-b296-4b1933504234","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N","ERIN ATKINSON",,,"11252008_4_028.jpg","0",,,"2015-10-15T00:00:00.000Z","0",,,,,"1095435","WPD"
"POINT (-97.725417548566 30.345288174454)","4938262","0","1","76571","19387","204",,"1953-03-31T00:00:00.000Z","1953","SSM",,"HCHOU","2008-12-11T00:00:00.000Z","HCHOU","2008-12-11T00:00:00.000Z","DDAVIS","SHL","K29","525Q","315760","CITY","CITY","PHYS_INSP","DEM","GPS","3119140.7993","10098961.098","DIG07","SUB-M",,"731.02001953","N","CONCRETE","727.84997559","120","6","T","6","120","24","18","GRADE","38","COVERED","G1","GOOD","c6d412cd-9ec3-40f9-bac6-b008d26d8a68","ENTERED","2022-02-08T14:52:49.000Z","ACTIVE","2","N","DLEWIS","2008-10-03T00:00:00.000Z",,"07052007_4_073.jpg","0",,,"2014-07-15T00:00:00.000Z","0",,,,,"1078092","WPD"
"POINT (-97.647736116047 30.289005799477)","4935819","0","1","190366","507107","354",,"1997-03-31T00:00:00.000Z","1997","ASBLTEL",,"TBARRINGTON","2012-12-25T15:11:52.000Z","TBARRINGTON","2012-12-25T15:16:59.000Z","RODAVILA","WLN","N24","587F","163767","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3144134.3988","10079076.3631","DIG08","SUB-M","473.02999878","473.23001099","N","CONCRETE","469.05999756","120","6","T","6","120","32","18","GRADE","43","PRESENT","G1","GOOD","c0e7e8e2-8606-4f9c-ba2f-949665c3dd9d","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N","HEATHER DAVIS",,,"11052008_2_072.jpg","0",,,"2017-09-15T00:00:00.000Z","0",,,,,"1091422","WPD"
"POINT (-97.760025239201 30.229754421715)","4955746","0","1","233270","833816","298",,"1975-09-30T00:00:00.000Z","1975","PLANNOEL","2000","JLOEFFLER","2010-04-14T00:00:00.000Z","APRUITT","2014-03-04T13:46:12.000Z","RODAVILA","EBO","H19","614Z","119850","CITY","CITY","PLANNOEL","APPLANEL","GPS_AERIAL",,,"NOGPS","NOGPS",,"622.82000732","N","NODATA","617.40002441",,,"N",,"120",,,"NODATA",,"NODATA","NODATA","NODATA","724c0bcb-bc93-4715-9d79-68d2a7b5e121","ENTERED","2022-03-08T21:02:52.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.650656373418 30.368671029076)","4943633","0","1","185562","729189","289",,"2007-04-17T00:00:00.000Z","2007","APPLANEL",,"TBARRINGTON","2013-09-30T10:49:41.000Z","TBARRINGTON","2013-09-30T11:06:16.000Z","SJOHNSON","WLN","N31","497X","3258882","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3142514.3231","10108019.025","DIG08","SUB-M","649.85998535","650.26000977","N","CONCRETE","645.85998535","122","7","T","6","120","47","17","GRADE","42","PRESENT","G1","GOOD","508b747d-4bb7-4d05-82d1-19dd2f125492","ENTERED","2022-02-08T14:52:51.000Z","ACTIVE","2","N","JESSE MARTINEZ",,,"08282008_4_048.jpg","0",,,,"0",,,,,"1088902","WPD"
"POINT (-97.920682831858 30.181667734485)","4949579","0","1","200078","917993","357",,"2005-10-11T00:00:00.000Z","2005","APPLANEL",,"TBARRINGTON","2014-08-01T10:22:24.000Z","TBARRINGTON","2014-08-01T10:26:52.000Z","RODAVILA","SLA","WZ15","670H","3183157","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3058855.9369","10038073.7644","DIG08","SUB-M","933.66998291","933.85998535","N","CONCRETE","929.82000732","120","6","T","6","120","42","18","GRADE","41","PRESENT","G1","NOTMARKED","c1387303-c1a2-403b-886c-82b3747f9c3b","ENTERED","2022-02-08T14:52:52.000Z","ACTIVE","2","N","DANIEL WHEAT",,,"03232009_5_011.jpg","0",,,,"0",,,,,"1102129","WPD"
"POINT (-97.783132263629 30.227918213451)","4974991","0","1","21490","543570","184",,,,"NO_SOURCE","1997","RMOELLMER","2007-08-10T00:00:00.000Z","CGORE","2013-03-06T14:29:09.000Z","DDAVIS","WBO","G19","614W","905168","OTHER","OTHER","NO_SOURCE","NO_SOURCE","ESM",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,,,,"NODATA",,"NODATA","NODATA","NODATA","b50ebbcc-5987-451d-94a3-80f8eae4f776","ENTERED","2022-02-08T14:52:55.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.845587683407 30.15466436571)","4943202","0","1","198347","1263250","90",,"2006-10-31T00:00:00.000Z","2006","ASBLTEL",,"VVINCENT","2016-02-26T10:28:17.000Z","SJOHNSON","2016-03-25T14:25:39.000Z","SJOHNSON","SLA","D12","702C","3210138","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3082805.03","10028782.36","DIG08","SUB-M","763.70001221","763.84997559","N","CONCRETE","759.70001221","128","6","T","6","120","43","17","GRADE","43","PRESENT","G1","NOTMARKED","35891e76-4d40-4dcc-ba25-ffdc9a967a67","ENTERED","2022-02-08T14:52:54.000Z","ACTIVE","2",,"JENNIFER WOERTZ",,,"02252009_1_063.jpg","0",,,,"0",,,,,"1101314","WPD"
"POINT (-97.580645502037 30.327374096589)","4930975","0","1","2093097","2200867","325",,"2019-11-18T00:00:00.000Z","2019","APPLANEL",,"GLOCKWOOD","2020-11-18T14:24:45.000Z","GLOCKWOOD","2021-04-21T17:04:24.000Z","SBURZYNSKI","GIL","S27","559A","5706729","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","539.57000732","543.40997314","N","CONCRETE","535.07000732",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","67b902d6-05d1-493c-b2ee-da31b180f12f","ENTERED","2022-03-08T21:02:55.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.801008235499 30.208307315894)","4950068","0","1","193725","815282","26",,"1987-05-21T00:00:00.000Z","1987","APPLANEL",,"RHANEY","2014-02-03T15:11:21.000Z","RHANEY","2014-02-04T09:43:36.000Z","RODAVILA","WMS","F17","643R","234535","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3096439.8694","10048600.2481","DIG08","SUB-M","707.5","707.22998047","N","CONCRETE","703.40002441","127","5","T","4","121","47","16","GRADE","54","PRESENT","G1","GOOD","d892d5a4-139b-4af6-8295-b50f426656d1","ENTERED","2022-02-08T14:52:52.000Z","ACTIVE","2","N","JENNIFER WOERTZ",,,"12182008_5_043.jpg","0",,,"2011-06-15T00:00:00.000Z","0",,,,,"1092953","WPD"
"POINT (-97.755358086333 30.24324694741)","4953514","0","1","19007","2182066","208","No field evidence","1930-10-20T00:00:00.000Z","1930","SSM","1959","DDAVIS","2009-03-13T00:00:00.000Z","GDELANO","2020-09-02T17:27:34.000Z","GDELANO","EBO","H20","614R","252705","CITY","CITY","SSM","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"562.84002686","N","NODATA",,,,"N",,"36",,,"NODATA",,"NODATA","NODATA","NODATA","fe7780b6-8e9f-41b8-a090-5441aa84d675","ENTERED","2022-03-08T21:02:52.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.664798189808 30.386804445647)","4962251","0","1","184091","2129186","190",,"1985-01-30T00:00:00.000Z","1985","APPLANEL",,"TBARRINGTON","2013-12-11T11:17:27.000Z","JAMARTINEZ","2019-09-16T14:59:08.000Z","SBURZYNSKI","WLN","N32","497J","231460","CITY","CITY","PHYS_INSP","APPLANEL","APPLANEL","3137897.6544","10114504.77","DIG08","SUB-M","626.2199707","625.7800293","N","CONCRETE","622.2199707","122","7","T","5","121","32","18","GRADE","40","PRESENT","G1","MARKED","b6402ea3-5265-4465-90b6-2a0c5704ef66","ENTERED","2022-02-08T14:52:52.000Z","ACTIVE","2","N","ALBERT GENE ALLEN JR",,,"08072008_3_034.jpg","0",,,,"0",,,,,"1086811","WPD"
"POINT (-97.68695812359 30.378170611815)","4960246","0","1","183234",,,,,,"NO_SOURCE",,"JESSE MARTINEZ",,"SDE","2016-06-16T16:22:42.000Z","J.T. STEWART","LWA","M31","496U","3051625","OTHER","OTHER","PHYS_INSP","DEM","GPS","3130987.2862","10111198.7413","DIG08","SUB-M",,"766.08001709","N","CONCRETE","762.90997314","126","7","T","7","120","47","17","SAG","38","PRESENT","S1","NOTMARKED","bc2ba117-291c-4ece-ac98-6669f38e135f","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","2","N",,,,"07302008_4_015.jpg","0",,,,"0",,,,,"1088771","WPD"
"POINT (-97.655481534674 30.436578977703)","4962745","0","1","1907619","2096226","298",,"2017-06-26T00:00:00.000Z","2017","APPLANEL",,"STHOMAS","2019-05-08T16:00:02.000Z","GDELANO","2019-06-13T13:08:59.000Z","GDELANO","HRS","N36","467B","5617218","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"809.59997559","N","NODATA","803.29998779",,,"N",,"120",,,"NODATA",,"PRESENT","NODATA","NODATA","d0394b8c-6e94-44fc-815e-10fcb333e98a","ENTERED","2022-03-08T21:02:53.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.741234722682 30.262406328936)","4942031","0","1","300724","900370","15",,"2009-10-23T00:00:00.000Z","2009","APPLANEL",,"JHOLDER","2011-07-14T10:27:08.000Z","DDAVIS","2014-07-10T10:45:15.000Z","RODAVILA","WLR","J22","585W","92330","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3114857.98","10068705.07","DIG10","SUB-M","463.3999939","463.45999146","N","CONCRETE","459.48001099","123","4","T","4","121",,"14","GRADE","41","PRESENT","G1","GOOD","8d5a5739-d5e3-481d-ad89-e236724d1fe8","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N","BILL BUTLER","2010-10-15T00:00:00.000Z","ERIN ATKINSON","10152010_4_031.jpg",,"2.6","1","2015-09-15T00:00:00.000Z","0","2010-10-15T00:00:00.000Z","14:46","4",,"401190744","WPD"
"POINT (-97.796856662071 30.236506008546)","4969696","0","1","411999","337050","328",,,,"NO_SOURCE",,"NPULLIAS","2012-04-17T12:31:55.000Z","NPULLIAS","2012-04-17T14:03:55.000Z","DDAVIS","BAR","F19","613V","675255","OTHER","OTHER","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","NODATA",,,,"N",,,,,"NODATA",,"NODATA","NODATA","NODATA","0a9f199e-215b-46b1-a3e8-0b55a0c07cc5","ENTERED","2022-02-08T14:52:55.000Z","ACTIVE","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.890141220248 30.168873591376)","4943670","0","1","915256","1073170","173",,"2013-05-20T00:00:00.000Z","2013","APPLANEL",,"VVINCENT","2015-03-13T14:16:57.000Z","DWARDEN","2015-03-24T16:48:59.000Z","SJOHNSON","SLA","B14","671Q","5065430","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","843.38000488","844.79998779","N","NODATA","839.72998047",,,"N",,"120",,,"NODATA",,"NODATA","NODATA","NODATA","2618d077-b46b-4799-9c0f-78a3781c9f38","ENTERED","2022-03-08T21:02:51.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.715935522918 30.23116791204)","4933358","0","1","182928","297264","206",,"1983-06-16T00:00:00.000Z","1983","APPLANEL",,"TBARRINGTON","2012-01-31T13:39:17.000Z","TBARRINGTON","2012-02-08T07:41:18.000Z","SJOHNSON","CCW","K19","615Z","206313","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3123110.24","10057534.1106","DIG08","SUB-M",,"485.88000488","N","CONCRETE","481.79998779","112","5","T","3","112","39","37","GRADE","53","PRESENT","G1R","GOOD","f9f5b68b-1ce6-4b00-ab36-66cf4006285e","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N","DARREN TJEPKEMA",,,"07252008_2_019.jpg","19",,,"2014-03-15T00:00:00.000Z","0",,,,,"1083539","WPD"
"POINT (-97.697169380585 30.251138907951)","4943295","0","1","854349","1256850","5","Safety grate over inlet opening","1962-08-30T00:00:00.000Z","1962","APPLANEL",,"MLEACH","2014-11-19T14:29:16.000Z","GDELANO","2016-02-19T14:33:50.000Z","DDAVIS","COL","L21","616F","251336","CITY","CITY","APPLANEL","APPLANEL","PHYS_INSP",,,"NOGPS","NOGPS",,"454.94000244","N","CONCRETE","450.20001221",,,"N",,"60",,,"NODATA",,"PRESENT","NODATA","NODATA","f6379bb3-5d0a-43df-a803-23bbec8c240e","ENTERED","2022-03-08T21:02:51.000Z","ACTIVE","0",,,,,,,,,,"0",,,,,,
"POINT (-97.696405203574 30.415250436989)","4954861","0","1","185669","1016226","114",,"1984-06-16T00:00:00.000Z","1984","APPLANEL",,"REVANS","2015-01-05T10:02:10.000Z","REVANS","2015-01-05T11:11:46.000Z","SJOHNSON","WLN","L35","466P","3133564","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3127689.5456","10124609.685","DIG08","SUB-M","732.29998779","732.47998047","N","CONCRETE","728.29998779","122","7","T","6","120","31","37","GRADE","48","PRESENT","G1R","GOOD","f06501e3-b9ec-4d15-bbad-57f8ee8f6ab5","ENTERED","2022-02-08T14:52:53.000Z","ACTIVE","2",,"JESSE MARTINEZ",,,"09022008_4_057.jpg","21",,,"2012-10-15T00:00:00.000Z","0",,,,,"1087438","WPD"
"POINT (-97.739183674437 30.352790295395)","4949584","0","1","75381","143263","36","broken nut manhole","1961-01-01T00:00:00.000Z","1961","PLANNOEL",,"RODAVILA","2007-07-24T00:00:00.000Z","EDUBIN","2010-11-24T00:00:00.000Z","DDAVIS","SHL","J29","525K","208658","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3114737.5134","10101577.544","DIG07","SUB-M",,"688.13000488","N","CONCRETE","684.79998779","128","7","T","6","120","24","17","GRADE","40","PRESENT","G1","MARKED","87560d90-72a0-4be0-bca4-eeea4aa2a22f","ENTERED","2022-02-08T14:52:48.000Z","ACTIVE","2","N","DLEWIS","2008-10-20T00:00:00.000Z",,"06292007_4_036.jpg","0",,,,"0",,,,,"1077266","WPD"
"POINT (-97.661016773122 30.394089578346)","4952733","0","1","190160","999250","290",,"1986-04-16T00:00:00.000Z","1986","APPLANEL",,"AJURADO","2014-12-09T12:53:51.000Z","AJURADO","2014-12-15T12:08:52.000Z","SJOHNSON","WLN","N33","497E","329806","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3139025.9538","10117182.1363","DIG08","SUB-M","714.45001221","714.61999512","N","CONCRETE","710.45001221","122","6","T","5","120","32","18","GRADE","49","PRESENT","G1","MARKED","48783cbd-410b-4393-89d3-8bc9a812cae7","ENTERED","2022-02-08T14:52:53.000Z","ACTIVE","2",,"MUYIWA SAMI",,,"11042008_4_022.jpg","0",,,,"0",,,,,"1091177","WPD"
"POINT (-97.791526523675 30.492450461724)","4944946","0","1","188335","1956050","58","Silt fence obstructing","2008-03-28T00:00:00.000Z","2008","ASBLTEL",,"ACOLEMAN","2016-10-20T15:21:46.000Z","SJOHNSON","2018-06-13T14:52:25.000Z","SJOHNSON","SBR","G41","404J","3345451","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3097073.1637","10151981.15","DIG08","SUB-M","909.67999268","909.7800293","N","CONCRETE","905.67999268","119","6","T","6","119","46","18","GRADE","40","PRESENT","G1","GOOD","19e5f88d-8d13-4fc6-9019-55b5b99744d0","ENTERED","2022-02-08T14:52:54.000Z","ACTIVE","2",,"BILL BUTLER",,,"10082008_2_017.jpg","0",,,"2012-11-15T00:00:00.000Z","0",,,,,"1089766","WPD"
"POINT (-97.694285657962 30.196449508341)","4955602","0","1","199891","1045970","308",,"2006-05-02T00:00:00.000Z","2006","ASBLTEL",,"REVANS","2015-02-06T11:20:39.000Z","REVANS","2015-02-26T08:04:28.000Z","SJOHNSON","ONI","L16","646X","3220516","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3130245.1025","10045072.4081","DIG08","SUB-M","528.63000488","528.34997559","N","CONCRETE","525.60998535","124","6","T","6","120","42","18","GRADE","42","PRESENT","G1","NOTMARKED","88bf518a-84e3-4f1e-8e31-c6237166b2d5","ENTERED","2022-02-08T14:52:53.000Z","ACTIVE","2",,"GEETHA GANESAN",,,"03192009_4_116.jpg","0",,,,"0",,,,,"1102798","WPD"
"POINT (-97.669462755669 30.286141144446)","4941397","0","1","182797","337032","297","'No Dumping' on manhole cover","1980-02-08T00:00:00.000Z","1980","APPLANEL",,"TBARRINGTON","2012-01-20T08:13:06.000Z","LBELL","2012-04-13T10:19:07.000Z","DDAVIS","WLN","M24","586H","3507309","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3137303.9444","10077869.9513","DIG08","SUB-M","567.65002441","567.5","N","CONCRETE","564.27001953","120","7","T","5","120","31","35","SAG","34","PRESENT","S1R","GOOD","e9b94ca5-4445-4326-9bed-788930474867","ENTERED","2022-02-08T14:52:50.000Z","ACTIVE","2","N","MICHAEL CHISUM",,,"07222008_2_011.jpg","30",,,"2012-10-15T00:00:00.000Z","0",,,,,"1083937","WPD"
"POINT (-97.779391566119 30.300801743969)","4944344","0","1","10039","1687250","27",,,,"NO_SOURCE",,"DDAVIS","2008-02-25T00:00:00.000Z","MAMARAL","2017-04-14T11:51:11.000Z","GDELANO","LKA","G25","554X","251081","CITY","CITY","NO_SOURCE","NO_SOURCE","PHYS_INSP",,,"NOGPS","NOGPS",,"579.34002686","N","NODATA",,,,"N",,,,,"NODATA",,"NODATA","NODATA","NODATA","35a3ed56-ef2d-4553-824f-183430f4c737","ENTERED","2022-03-08T21:02:51.000Z","ACTIVE","0","N",,,,,,,,,"0",,,,,,
