"term","definition","language"
"Fiscal Year","A fiscal year is a one-year period that companies and governments use for financial reporting and budgeting. A fiscal year is most used for accounting purposes to prepare financial statements.","English"
"Inclusion","The practice or policy of providing equal access to opportunities and resources for people who might otherwise be excluded or marginalized, such as those who have physical or mental disabilities and members of other minority groups.","English"
"Incorporated Group","A collection of individuals formally organized as a group and has filed a Certificate of Formation with the State of Texas, to create or perform work, activities, or services.","English"
"Independent Promoter","Independent Promoter must meet all of the following requirements:  No more than 3 staff, and at least 2 years documentation showing that applicant has curated and promoted live shows featuring musicians and bands and must not be contractually tied to one venue.","English"
"In-kind","Services or goods contributed to an individual artist or organization for which one would otherwise have to pay. Services or goods provided by artists in a funded project, contract agency employees, or board members are not considered in-kind services.","English"
"Intersectionality","The connectivity of an individual’s various social identities that contributes to the specific type of systemic oppression, discrimination, and/or privilege they experience. These overlapping identities include race, gender, sexual orientation, and class, among others. Source: Americans for the Arts","English"
"LGBTQIA+","People who identify as lesbian, gay, bisexual, transgender, queer (or those questioning their gender identity or sexual orientation), intersex, and asexual (or their allies).","English"
"Marketing","Publicity, and/or promotion specifically identified with the activity. Includes costs of newspapers, radio and television advertising, printing, and mailing of brochures, flyers, and posters directly connected to promotion, publicity, or advertising.","English"
"Metropolitan Statistical Area (MSA)","The Metropolitan Statistical Area, or MSA, is the Austin–Round Rock Metropolitan Statistical Area, which includes Travis, Williamson, Hays, Bastrop, and Caldwell Counties.","English"
"Multi Race or Ethnicity","Multi Race or Ethnicity: must include minimum of two different options of the above race/ ethnic heritage categories.","English"
"Music Industry Worker","Defined as an individual whose current or primary occupation is or has been within the music industry, including staff and associated personnel working in disciplines and sectors of the music industry (i.e., venue / recording studio / record label operators and staff, sound engineers, light technicians, publishers, managers, agents, radio, etc.).","English"
"Neighborhood-based Art","Neighborhood-based Art: art generated and based in a setting specific to a particular neighborhood","English"
"Non-Binary","An umbrella term for people who do not experience gender within the gender binary and transcend commonly held concepts of gender through their own expression and identities. Other terms for this might include gender expansive, gender creative, or genderqueer. Some non-binary people also identify as Transgender, and may also experience overlap with different gender expressions, such as being gender non-conforming.  Source: City of Austin (COA) Stonewall Equality Employee Network (SEEN)","English"
"Nonprofit Organization","Nonprofit organization may mean a foundation, corporation, institution, or association, organized for a public benefit; not to generate profit for owners, investors, or individuals.","English"
"Permanent Employee","Persons employed year-round and paid on a regular schedule.","English"
"Place-based Entity","Place-based Entity: incorporated group, unincorporated group, or non-profit that is representative of a specific geographic community, and is engaged in meeting human, educational, environmental, or public safety needs of that community.  Place-based entities can also be loose collaboratives of individuals coming together for a common purpose to identify an area or space with cultural and/or historical significance, and work to protect and activate that space through community empowerment and creative engagement activities.","English"
"Predominantly White Institution/ Organization","Predominantly White Institution/ Organization: Institutions/organizations whose histories, policies, practices, and ideologies center on whiteness or the white majority. Predominantly white institutions, by design, tend to implicitly and/or explicitly marginalize the identities, perspectives, and practices of people of color. Source: Americans for the Arts","English"
"Primary Race or Ethnicity","Race refers to a group sharing outward physical characteristics and some commonalities of culture and history. Ethnicity refers to markers acquired from the group with which one shares cultural, traditional, and familial bonds. Source: Webster Dictionary and US Census","English"
"Professional Musician","Professional Musician: At least 2 years of documentation of regular performances as a professional musician, either solo or part of a band, in live performances to public audiences, or 6 released recordings (singles), or 6 promotionally released music videos.","English"
"Public Art","Public Art is a permanent or temporary installation of art in a publicly visible and/or accessible location","English"
"Race or Ethnicity Not Listed","Includes persons whose race is not encompassed in the race or ethnicity definitions above.","English"
"Racial Equity Lens","A racial equity lens is the set of questions we ask ourselves, or process of paying disciplined attention to race and ethnicity, throughout the decision-making process. The lens interrupts the impact of unintended consequences by taking into consideration the lived experiences and perspectives of the racially diverse communities we intend to serve. Source: Americans for the Arts and Michigan Dept of Civil Rights","English"
"Representation","Representation is/are the images, words, text, and ideas that shape how a group of people are perceived by others; to have representation is to have those stories and how they are told in the hands of the people being represented.","English"
"Review Panel","A Review Panel is a curated selection of advisors, with demonstrated experience in their area of expertise, that are invited to review and score funding applications. This process intends to ensure fairness in the application review process, as well as a consistent quality of arts and cultural programming supported by the City of Austin.","English"
"Social Disadvantage","Socially disadvantaged individuals are those who have been subjected to racial or ethnic prejudice or cultural bias within American society because of their identities as members of groups and without regard to their individual qualities. The social disadvantage must stem from circumstances beyond their control. 
Individuals not members of one of the listed designated groups may establish social disadvantage based on personal experiences of substantial and chronic social disadvantage in American society, not in other countries, which is the result of a distinguishing feature (i.e., race, ethnic origin, gender, physical disability) that has contributed to the social disadvantage. The individual's social disadvantage must have negatively impacted on his or her entry into or advancement in the business world. Source: Code of Federal Regulations defining Social Disadvantage","English"
"Sponsored Project","A sponsored project is any externally funded activity that has a defined scope of work or set of objectives.  Sponsored projects can come in various forms, including but not limited to grants, contracts and cooperative agreements.","English"
"Strategic Direction 23 (SD23)","Strategic Direction 2023 (SD23): strategic direction adopted by the City of Austin in 2018, to guide the city through the year 2023 with a shared vision and priority outcomes (economic opportunity and affordability, mobility, culture and lifelong learning, safety, health and environment, and government that works for all)","English"
"They/them/theirs","Gender-neutral pronouns. Used to denote and provide inclusive space for all gender identities.","English"
"Tourist","A tourist is a person who is traveling or visiting a place for pleasure.","English"
"Under-represented","A subset of a population that holds a smaller percentage within a significant subgroup than the subset holds in the general population.","English"
"Unincorporated Group","A group not incorporated within the State of Texas.  Applications on behalf of unincorporated groups are treated as individual artist applicants.","English"
"Woman-identifying","People who identify as women.","English"
"Actividad","La actividad puede ser un evento, serie o temporada de trabajo.","Español"
"Ley de Estadounidenses con Discapacidades (Americans with Disabilities Act, ADA)","La Ley de Estadounidenses con Discapacidades (Americans with Disabilities Act, ADA) es una legislación de derechos civiles que prohíbe la discriminación contra las personas con discapacidades en las actividades de la vida diaria. La ADA establece que las personas con discapacidades, al igual que todas las demás personas, gozan de las mismas oportunidades de obtener un empleo, adquirir bienes y servicios y participar en los programas del gobierno estatal y local.","Español"
"Ingresos anuales","Es el “total de ingresos” (o el “ingreso bruto”) más el “costo de los bienes vendidos”. Estas cifras se encuentran normalmente en los formularios de declaración de impuestos al Servicio de Rentas Internas (Internal Revenue Service, IRS), correspondientes al negocio en cuestión. Para determinar el promedio de los ingresos anuales se toman como base los últimos tres ejercicios fiscales completos del negocio o (salvo en los programas de préstamos comerciales y de préstamos en caso de desastres) los cinco ejercicios fiscales completos. Si un negocio no ha operado durante cinco años, se multiplica el promedio semanal de sus ingresos por 52 para determinar el promedio de sus ingresos anuales.  La Agencia Federal de Pequeños Negocios de Estados Unidos (Small Business Administration, SBA) calcula los ingresos anuales de conformidad con el Código de Reglamentos Federales (Code of Federal Regulations, CFR), Título 13, Sección 121.104.","Español"
"Artista","Un artista es alguien que emplea su imaginación y su proceso creador para manifestar algo original, sin importar el medio, el tipo de práctica, el propósito o el producto de tal creación.","Español"
"Organización de arte y cultura","Aquella organización con clasificación Federal 501 (c) o constituida dentro del estado de Texas, con la misión primordial de producir, presentar o promover el arte y la cultura.","Español"
"Organización de servicios de arte","Aquella organización que presta servicios relacionados con la presentación, ejecución, gestión y exhibición de las artes.","Español"
"Desarrollo de audiencia","El desarrollo de audiencia es una actividad que se lleva a cabo para satisfacer las necesidades de las audiencias existentes y potenciales y contribuye a que las organizaciones establezcan relaciones con las nuevas audiencias. Puede incluir el mercadeo, la programación, la educación, la atención al cliente y la distribución.","Español"
"Negro, indígena, persona de color (Black, Indigenous, People of Color, BIPOC)","BIPOC, por sus siglas en inglés, significa negro, indígena, persona de color.","Español"
"Gastos de capital","El dinero que invierte un negocio u organización para adquirir o mantener activos fijos, tales como terrenos, edificaciones y equipos.","Español"
"Ciudad","Hace referencia a la ciudad de Austin, un lugar habitado de mayor tamaño, población o importancia que un pueblo o aldea.","Español"
"Cohorte","Programa modelo dentro del cual un grupo de participantes recibe un aprendizaje compartido y establece nuevos contactos.","Español"
"Colaborador","Persona natural o jurídica que trabaja mancomunadamente en una actividad o proyecto. La colaboración tiene lugar cuando las personas naturales o jurídicas trabajan juntas para generar o crear algo.","Español"
"Comercial","Relacionado o utilizado en la compraventa de bienes y servicios.","Español"
"Entidad comunitaria","Grupo incorporado o no incorporado o sin fines de lucro que representa una determinada comunidad o un segmento significativo de esta, y que se dedica a satisfacer las necesidades humanas, educativas, ambientales o de seguridad pública de la comunidad en cuestión.","Español"
"Duración del contrato","El período de vigencia del contrato, sujeto a la rescisión conforme a sus términos y condiciones.","Español"
"Delegados de la convención","Personas que asistan a una convención.","Español"
"Negocio creativo","Entidad sin fines de lucro cuya misión primordial consiste en producir, presentar o promover el arte y la cultura, tales como estudios de arte, estudios de música, galerías y organizaciones parecidas.","Español"
"Colaboración creativa","Proyecto artístico en el cual dos o tres colaboradores (sean personas, organizaciones o grupos) comparten tanto la dirección creadora como las responsabilidades de su ejecución.","Español"
"Economía creativa","La economía creativa es la actividad económica que depende de personas y organizaciones que utilizan su creatividad para generar empleo, ingresos, recursos comunitarios y compromiso cultural. Fuente: Estadounidenses por el Arte, actividad económica.","Español"
"Apropiación cultural","La adopción con desconocimiento o inapropiada de las costumbres, prácticas e ideas, entre otros, de un pueblo o sociedad por los integrantes de otro pueblo o sociedad que suele ser más dominante.","Español"
"Arte cultural","El uso consciente de las destrezas e imaginación creadora, especialmente en la producción de objetos y experiencias de estética (música, danza, teatro, folklore, literatura, artes escénicas, artes visuales y medios de comunicación, entre otros).","Español"
"Patrimonio cultural","El patrimonio cultural incorpora los valores, las políticas y las prácticas que garantizan que las personas (incluso aquellas que históricamente no han tenido la representación que les corresponde por motivos de raza u origen étnico, discapacidad, orientación sexual, sexo, identidad de género, situación socioeconómica, geografía, condición de ciudadanía o religión) estén representadas en el diseño de políticas sobre el arte; el apoyo de artistas; el fomento de espacios accesibles y florecientes para la expresión, y la distribución equitativa de recursos programáticos, financieros e informativos. Fuente: Declaración de patrimonio cultural de Estadounidenses por el Arte","Español"
"Producción cultural","Evento planificado y gestionado o experiencia que se enmarca dentro de la categoría de arte y cultura.","Español"
"Turismo cultural","Tipo de actividad turística en la que la motivación esencial del visitante es aprender, descubrir, experimentar y consumir las atracciones o productos tangibles e intangibles en un destino turístico. Estas atracciones o productos guardan relación con un conjunto de rasgos distintivos, sean materiales, intelectuales, espirituales y emocionales, de una sociedad que abarca el arte y la arquitectura, el patrimonio histórico y cultural, el legado culinario, la literatura, la música, las industrias creadoras y las culturas del vivir con sus estilos de vida, sistemas de valores, creencias y tradiciones. Fuente: Organización Mundial del Turismo de las Naciones Unidas","Español"
"Organización cultural","La organización cultural sirve a una comunidad cultural en particular, conformada y dirigida primordialmente por los integrantes de esa comunidad. Este tipo de organización demuestra un conocimiento profundo de las vivencias de la comunidad, lo cual abarca, entre otras cosas, el impacto que tiene el racismo o la discriminación estructural e individual en la comunidad; el conocimiento de determinadas disparidades documentadas en la comunidad y la manera en que esto incide en la estructura de su programa o servicio; la capacidad para describir las prácticas culturales de la comunidad; las creencias o las prácticas de salud y seguridad; la identidad, el orgullo o la resiliencia cultural positiva, la dinámica de la inmigración y los credos religiosos, y la manera en que estos servicios se han adaptado a esas normas culturales.

La organización cultural también puede ser una organización artística cuyos esfuerzos reflejan la administración de un patrimonio cultural arraigado, tal como se refleja en las costumbres, las tradiciones, el idioma, la historia, el arte y las instituciones del grupo representado.","Español"
"Situación fiscal morosa","El solicitante que no ha cumplido o no ha satisfecho todos los requisitos de otro programa de financiamiento del Departamento de Fomento","Español"
"Diversidad","La suma de las diferencias individuales, que incluyen entre otras cosas, edad, etnia, identidad de género y expresión, competencias, raza, religión, orientación sexual, situación socioeconómica y educación.","Español"
"Desventaja económica","Las personas con desventajas económicas son aquellas socialmente desfavorecidas, cuya capacidad para competir en el sistema de la libre empresa está obstaculizada por falta de capital y pocas oportunidades de obtener un crédito en comparación con otros en la misma línea o en una línea semejante de negocios. Fuente: Código de Reglamentos Federales","Español"
"Vulnerable económicamente","Personas y organizaciones en mayor riesgo de fracaso financiero durante un desequilibrio económico ocasionado por factores externos.","Español"
"Instituciones educativas","Escuelas, instituciones de educación superior y universidades públicas o privadas.","Español"
"Músico profesional emergente","El artista que inicia su carrera profesional y que no se consolida aún como “músico profesional”, tal como se define en esta sección.","Español"
"Equidad","Calidad o proceso de ser justo e imparcial, que rectifica activamente los desequilibrios de poder que han creado o que se derivan de la injusticia sistémica, el colonialismo y la opresión. Véase también Equidad cultural.","Español"
"Jurisdicción extraterritorial (extraterritorial jurisdiction, ETJ)","Comprende el terreno no incorporado en un radio de cinco (5) millas del límite de la ciudad a todo efecto y que no se encuentra dentro de los límites de la ciudad ni de la ETJ de otra ciudad. La ETJ de Austin se extiende actualmente hacia cuatro (4) condados, a saber: Travis, Williamson, Hays y Bastrop.","Español"
"Patrocinador fiscal","Empresa sin fines de lucro bajo la sección 501(c) que solicita apoyo financiero en nombre de otra organización o persona a fin de que esta última pueda recibir los beneficios de exención de ingresos.","Español"
"Año fiscal","Un año fiscal es el período de un año que las empresas y los gobiernos utilizan a los efectos de presentación de informes financieros y elaboración del presupuesto. Se utiliza principalmente para propósitos de contabilidad para elaborar los estados financieros.","Español"
"Inclusión","La práctica o política de brindar igual acceso a las oportunidades y los recursos a las personas que de otra manera estarían excluidas o marginadas, como aquellas con discapacidades físicas o mentales y los integrantes de otros grupos minoritarios.","Español"
"Grupo incorporado","Conjunto de personas organizadas formalmente como grupo y que ha presentado un Certificado de Incorporación ante el estado de Texas para crear o llevar a cabo labores, actividades o prestar servicios.","Español"
"Promotor independiente","El promotor independiente deberá cumplir con todos los siguientes requisitos:  tener no más de tres (3) empleados, documentar que durante al menos dos (2) años ha fungido de curador y promotor de espectáculos en vivo que presentan a músicos y bandas, y no estar atado contractualmente a un centro de espectáculos particular.","Español"
"En especie","Los servicios o bienes aportados a un artista u organización a quien por lo general se le tendría que pagar. Los servicios o bienes aportados por artistas en un proyecto financiado, empleados contratados de agencias o integrantes de la junta directiva no se consideran servicios en especie.","Español"
"Interseccionalidad","La conectividad de las diversas identidades sociales de una persona que contribuye al tipo específico de opresión sistémica, discriminación o privilegio que esta experimenta. Estas identidades superpuestas comprenden la raza, el sexo, la orientación sexual y la clase, entre otros aspectos.Fuente: Estadounidenses por el Arte.","Español"
"LGBTQIA+","Aquella persona que se identifica como lesbiana, gay, bisexual, transgénero, queer (o que cuestiona su identidad de género u orientación sexual), intersexual y asexual (o similares).","Español"
"Mercadeo","Publicidad y promoción identificada específicamente con la actividad. Abarca el costo de la publicidad en periódicos, radio y televisión, impresión y envío de folletos, volantes y afiches vinculados directamente con la promoción y publicidad.","Español"
"Área estadística metropolitana (Metropolitan Statistical Area, MSA)","Es el área estadística metropolitana de Austin-Round Rock, que incluye los condados de Travis, Williamson, Hays, Bastrop y Caldwell.","Español"
"Multirracial o multiétnico","Deberá incluir al menos dos distintas opciones de las categorías antes mencionadas de ascendencia racial o étnica.","Español"
"Trabajador de la industria musical","Se define como una persona cuyo oficio remunerado actual o principal es o ha sido dentro de la industria, lo cual incluye al personal y al personal asociado que labora en las disciplinas y los sectores de la industria musical (sede, estudio de grabación, operadores y personal del sello de grabación, ingenieros de sonido, técnicos de iluminación, gerentes, agentes, radio, etc.).","Español"
"Arte en el vecindario","El arte generado y asentado en un entorno específico a un vecindario en particular.","Español"
"No binario","Término general que se emplea para designar a aquellas personas que no conciben su género dentro de lo binario y que trascienden los conceptos comunes de género a través de su propia expresión e identidad. Otros términos son género expansivo, género creativo o género queer. Algunas personas no binarias se identifican asimismo como transgénero y pueden entremezclarse con distintas expresiones de género, género no conforme.  Fuente: Red de Igualdad en el Empleo de Stonewall (Stonewall Equality Employee Network, SEEN) de la ciudad de Austin.","Español"
"Organización sin fines de lucro","Significa una fundación, empresa, institución o asociación constituida en beneficio del público, que no genera ganancias a los propietarios, inversionistas ni personas.","Español"
"Empleado permanente","La persona empleada todo un año y que recibe remuneración regularmente.","Español"
"Entidad local","La entidad local es un grupo incorporado o no incorporado o sin fines de lucro que representa una determinada comunidad geográfica y que se dedica a satisfacer las necesidades humanas, educativas, ambientales o de seguridad pública de dicha comunidad.  Las entidades locales también pueden estar conformadas por un conglomerado de personas que se juntan con el propósito común de identificar un área o espacio con importancia cultural o histórica y trabajar para proteger y activar ese espacio a través del empoderamiento comunitario y del compromiso creador.","Español"
"Institución u organización predominantemente blanca","Institución u organización predominantemente blanca: aquella cuyas historias, políticas, prácticas e ideologías se centran en la perspectiva de los blancos o de mayoría blanca. Estas instituciones tienden a marginalizar deliberadamente, de modo implícito o explícito, las identidades, perspectivas y prácticas de las personas de color. Fuente: Estadounidenses por el Arte.","Español"
"Raza u origen étnico principal","La raza se refiere a un grupo que comparte características físicas visibles y algunos aspectos en común de cultura e historia. El origen étnico se refiere a los signos adquiridos del grupo con el cual se comparten lazos culturales, tradicionales y familiares. Fuente: Diccionario Webster y censo de Estados Unidos","Español"
"Músico profesional","Músico profesional: la persona que cuenta con documentación de al menos dos años que demuestre que ha actuado regularmente como músico profesional, bien sea como solista o como integrante de una banda, en presentaciones en vivo con público, o que ha lanzado seis (6) grabaciones (sencillos) o seis (6) videos musicales promocionales.","Español"
"Arte público","El arte público consta de una instalación permanente o temporal de arte en un espacio visible o accesible.","Español"
"Raza u origen étnico no incluidos en la lista","Comprende a las personas cuya raza no encaja en ninguna de las definiciones anteriores de raza o etnia.","Español"
"Lente de equidad racial","Es el conjunto de preguntas que nos hacemos o el proceso de prestar atención disciplinada a la raza y a la etnia a lo largo del proceso de toma de decisiones. El lente interrumpe el impacto de las consecuencias no intencionadas de tomar en consideración las vivencias y perspectivas de las comunidades racialmente diversas a las que intentamos servir. Fuente: Estadounidenses por el Arte y Departamento de Derechos Civiles de Michigan","Español"
"Representación","Son las imágenes, palabras, textos e ideas que moldean la forma en que un grupo de personas es percibido por otros; tener representación es tener aquellos relatos y cómo se dicen en las manos de las personas que son representadas.","Español"
"Panel examinador","Es una selección de asesores con experiencia comprobada en su área de conocimiento que se invitan a examinar y calificar las solicitudes de financiamiento. Este proceso tiende a garantizar la imparcialidad en el proceso de examen de las solicitudes, así como la calidad coherente de la programación artística y cultural que respalda la ciudad de Austin.","Español"
"Desventaja social","Las personas desfavorecidas socialmente son aquellas que han sido objeto de prejuicios por motivos de raza o etnia o culturales dentro de la sociedad estadounidense a causa de su identidad como integrantes de grupos y sin tomar en cuenta sus cualidades individuales. La desventaja social deberá derivarse de circunstancias que escapan del control de estas personas. 
Las personas que no pertenecen a ninguno de los grupos designados en la lista podrán establecer la desventaja social con base en sus experiencias personales de desventaja social sustancial y crónica en la sociedad estadounidense, no en otros países, a consecuencia de un rasgo distintivo (raza, etnia, sexo, discapacidad física), que contribuya a la desventaja social. La desventaja social de la persona deberá haber afectado su ingreso o avance en el mundo de los negocios. Fuente: Código de Reglamentos Federales en la definición de “desventaja social”.","Español"
"Proyecto patrocinado","Es cualquier actividad con financiamiento externo que tiene un alcance definido de trabajo o grupo de objetivos.  Los proyectos patrocinados vienen en diversas formas, tales con concesiones, contratos y convenios de cooperación.","Español"
"Orientación estratégica 23 (SD23)","Orientación estratégica 2023 (SD23): es la que adoptó la ciudad de Austin en 2018 para guiar la ciudad en todo el año 2023 con visión compartida y resultados prioritarios (oportunidad económica y accesibilidad, movilidad, cultura y aprendizaje de por vida, seguridad, salud y medio ambiente, y gobierno que trabaja para todos).","Español"
"Ellos, a ellos, de ellos","Pronombres genéricos. Denotan y brindan espacio incluyente para todas las identidades de género.","Español"
"Turista","La persona que viaja o visita un lugar con fines de esparcimiento.","Español"
"Subrrepresentado","Subconjunto de la población que ocupa un porcentaje más pequeño dentro de un subgrupo significativo dentro de la población en general.","Español"
"Grupo no incorporado","Grupo no incorporado en el estado de Texas.  Las solicitudes en nombre de los grupos no incorporados se tratan como las de artistas individuales.","Español"
"Woman-identifying","Personas que se identifican como mujeres.","Español"
"النشاط","يمكن أن يكون النشاط فعالية أو سلسلة أو موسم عمل.","عربى"
"قانون الأمريكيين لذوي الاحتياجات الخاصة (ADA)","قانون الأمريكيين لذوي الاحتياجات الخاصة (ADA) هو قانون فيدرالي للحقوق المدنية يحظر التمييز ضد الأشخاص ذوي الاحتياجات الخاصة في الأنشطة اليومية. يضمن قانون الأمريكيين لذوي الاحتياجات الخاصة (ADA) أن الأشخاص ذوي الاحتياجات الخاصة لديهم نفس الفرص مثل أي شخص آخر للاستمتاع بفرص العمل، وشراء السلع والخدمات، والمشاركة في برامج الحكومة المحلية وبالولايات.","عربى"
"العائدات السنوية","تمثل ""إجمالي الدخل"" (أو ""الدخل الإجمالي"") بالإضافة إلى ""تكلفة السلع المباعة."" يمكن العثور على هذه الأرقام عادة في نماذج عوائد الضرائب بمصلحة الضرائب الأمريكية (IRS) الخاصة بالشركة. فمتوسط العائدات على مدى السنوات المالية الثلاث الكاملة الأخيرة لأي شركة، أو (باستثناء برامج قروض الأعمال والقروض لمواجهة الكوارث) خمس سنوات مالية كاملة لتحديد متوسط العائدات السنوية. وإذا لم تكن أي شركة قيد التشغيل لمدة خمس سنوات، فاضرب متوسط إيراداتها الأسبوعية في 52 لتحديد متوسط العائدات السنوية. تحسب إدارة الأعمال الصغيرة (SBA) العائدات السنوية وفقا لـ 13 CFR 121.104.","عربى"
"الفنان","الفنان هو شخص يستخدم خياله وعملية إبداعه لإظهار شيء أصلي، بغض النظر عن الوسيلة أو نوع الممارسة أو الغرض أو نتيجة ذلك الإبداع.","عربى"
"منظمة الفنون والثقافة","منظمة تتمتع بالحالة الفيدرالية 501 (c) أو مندمجة في ولاية تكساس، وتتمثل مهمتها الأساسية في إنتاج الفنون والثقافة أو تقديمها أو الترويج لها.","عربى"
"منظمة خدمة الفنون","منظمة تقدم خدمات تتعلق بعرض الفنون وتنفيذها وإدارتها وعرضها.","عربى"
"تنشئة الجمهور","تنشئة الجمهور هو نشاط يتم الاضطلاع به لتلبية احتياجات الجماهير الحالية والمحتملة ويساعد المؤسسات على تنشئة علاقات مع جماهير جديدة. يمكن أن تشمل التسويق والبرمجة والتعليم وخدمة العملاء والتوزيع.","عربى"
"السود، السكان الأصليين، ذوو البشرة الملونة (BIPOC)","BIPOC يرمز إلى السود والسكان الأصليين وذوي البشرة الملونة.","عربى"
"النفقات الرأسمالية","الأموال التي تنفقها شركة أو منظمة ما على حيازة أو المحافظة على أصول ثابتة، مثل الأراضي والمباني والمعدات.","عربى"
"المدينة","إشارة إلى مدينة أوستن؛ خلاف ذلك، فهي مكان مأهول بحجم أو عدد سكان أو أهمية أكبر من بلدة أو قرية.","عربى"
