"folderrsn","parentrsn","issuedate","sub_type","permit_status","reason_for_request","fee_required","heritage_tree","public_tree","type_of_work","removal_of_regulated_tree","encroahment_of_root_zone","prune","tree_species","general_tree_conditions","type_of_application","trunk_diameter","appf_removed","non_appf_removed","replanted_mitigation","latitude","longitude"
"11734662",,"2017-06-06T00:00:00.000","Public","Active","Remove co-dom 19+16 inch Arizona Ash in the ROW at 11622 River Oaks Dr","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona Ash","4. Dead, diseased, or imminent hazard","Non-Development Related","27","0","27","0","30.37991280","-97.66656404"
"11734679",,"2017-06-06T00:00:00.000","Public","Active","Remove 20 in Sycamore with dead codominant stem targeting ROW at 2402 San Gabriel St","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Sycamore","4. Dead, diseased, or imminent hazard","Non-Development Related","20","20","0","0","30.28844688","-97.74795625"
"11737805",,"2017-06-27T00:00:00.000","Commercial","Active","leaning Hackberry over structure poses risk of damaging structure","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","14","14","0","0","30.33857436","-97.71797300"
"11737807",,"2017-06-27T00:00:00.000","Commercial","Active","Mulberry stem resting against structure will damage structure as it grows","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Mulberry","4. Dead, diseased, or imminent hazard","Non-Development Related","17","17","0","1.5","30.33857436","-97.71797300"
"11737808",,"2017-06-27T00:00:00.000","Commercial","Active","small Hackberry growing close to structure poses risk of damaging foundation","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","8.5","8.5","0","1.5","30.33857436","-97.71797300"
"11737916",,"2017-06-22T00:00:00.000","Public","Active","Remove 21 inch Arizona Ash in ROW at 7108 Mesa Dr. Recent scaffold failure, decay, lions-tailing, weak attachments","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona Ash","4. Dead, diseased, or imminent hazard","Non-Development Related","21","0","21","0","30.36113713","-97.76610202"
"11737479",,"2017-06-27T00:00:00.000","Commercial","Active","Remove dead tree at Estancis Brazilian Steak House.","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","live oak","4. Dead, diseased, or imminent hazard","Non-Development Related","34.5","34.5","0","0","30.39284042","-97.74717396"
"11737662",,"2017-06-27T00:00:00.000","Commercial","Active","Removal of two heritage size pecans","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Pecan, pecan","4. Dead, diseased, or imminent hazard","Non-Development Related","27.5, 27","54.5","0","0","30.26188664","-97.76051380"
"11741486",,"2017-06-30T00:00:00.000","Commercial","Active","Removal of protected Chinese tallow to allow for sidewalk and drainage repair.","No","No","No","Not Construction Related but Impacts Regulated Trees","Yes","No","Yes","Chinese tallow, chinese tallow","2. Fair","Non-Development Related","19.5, 29","0","48.5","0","30.36117520","-97.73766856"
"11744872",,"2017-07-11T00:00:00.000","Commercial","Active","remove dead and leaning live oaks and cedars","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","8""","8","0","0","30.40615868","-97.74399032"
"11747414",,"2017-06-30T00:00:00.000","Public","Active","21"" Hackberry Removal","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","21","21","0","0","30.41002644","-97.70955940"
"11747668",,"2017-06-28T00:00:00.000","Commercial","Active","Scope of work includes removal of 5 invasive trees (Ligustrums) identified as Tree numbers 1024, 1063, 1667, 1679, and 1681 in the attached plans.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Ligustrum, ligustrum, ligustrum, ligustrum, ligustrum","4. Dead, diseased, or imminent hazard","Development Related","6, 5, 5, 5, 5","0","20","0","30.31902734","-97.65763240"
"11748367",,"2017-06-29T00:00:00.000","Public","Active","Removal of 6 trees in parkland","No","Yes","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live oak, live oak, live oak, live oak, live oak, live oak","4. Dead, diseased, or imminent hazard","Non-Development Related","28"", 27"", 19.5"", 21.5"", 19.5"", 19.5""","135","0","0","30.18601927","-97.91399626"
"11747907",,"2017-07-11T00:00:00.000","Commercial","Active","Remove 3 Oak Wilt Mortalities at 4609 San Simeon","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak, Live Oak, Live Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","21.65, 21.33, 21.97","64.95","0","0","30.20893195","-97.85255190"
"11748370",,"2017-07-19T00:00:00.000","Commercial","Active","The property is installing a deck around a protected tree.","Yes","No","No","Not Construction Related but Impacts Regulated Trees","No","Yes","No","Live oak","1. Good","Non-Development Related","22","0","0","0","30.26258649","-97.72570180"
"11747865",,"2017-07-10T00:00:00.000","Commercial","Active","Remove one 18 inch DBH chinaberry tree. Tree is rubbing on roof and the root plate is beginning to fail.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Chinaberry","4. Dead, diseased, or imminent hazard","Non-Development Related","18","0","18","0","30.27240628","-97.75502259"
"11750964",,"2017-07-20T00:00:00.000","Commercial","Active","Removal of dead oak tree, see attached photos. Complete address is 1306 W Lynn St, Austin, TX 78703. There is a church and a school at this address. The tree is located at the school in the playground. We could not pull up the address on the property search.","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Post Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","28.7","28.7","0","0","30.28157260","-97.75917401"
"11750988",,"2017-07-07T00:00:00.000","Public","Active","Removal of 2 dead elms.","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","American Elm, American Elm","4. Dead, diseased, or imminent hazard","Non-Development Related","21, 21","42","0","0","30.39849472","-97.67984087"
"11751328",,"2017-07-20T00:00:00.000","Commercial","Active","Shabby Cedar removal","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Eastern Red Cedar","4. Dead, diseased, or imminent hazard","Non-Development Related","25.5","25.5","0","0","30.48249919","-97.76315419"
"11759671",,"2017-08-15T00:00:00.000","Commercial","Active","Expanding one story office to a three story office/residence generally within same footprintNew piers required and root zone impact will need to be addressed through airspading","Yes","Yes","No","Site Plan Exemption Related","No","Yes","No","Cedar Elm, Pecan, Live Oak, Live Oak","1. Good","Development Related","21, 20.5, 30, 41","0","0","0","30.27771371","-97.77116780"
"11764595",,"2017-07-31T00:00:00.000","Public","Active","Removal of 26in cedar elm","No","Yes","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","cedar elm","4. Dead, diseased, or imminent hazard","Non-Development Related","26","26","0","0","30.25525577","-97.69399934"
"11764081",,"2017-08-01T00:00:00.000","Public","Active","Removal of a declining Cottonwood.","No","No","Yes","Not Construction Related but Impacts Regulated Trees","Yes","No","Yes","Cottonwood","4. Dead, diseased, or imminent hazard","Non-Development Related","36","36","0","0","30.26527662","-97.75184099"
"11773699",,"2017-08-15T00:00:00.000","Commercial","Active","Removal of broken tree.","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Pecan","4. Dead, diseased, or imminent hazard","Non-Development Related","38","38","0","0","30.25148557","-97.68562875"
"11768483",,"2017-08-15T00:00:00.000","Public","Active","Remove dead 36"" dbh pecan tree","No","Yes","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","pecan","4. Dead, diseased, or imminent hazard","Non-Development Related","36","36","0","0","30.25603923","-97.69785496"
"11773451",,"2017-08-24T00:00:00.000","Commercial","Active","Cedar elm in parking lot is hollow at the base creating a hazardous situation. The tree is also suffering from girdling roots, canopy decline, an unbalanced crown, borer damage, and mistletoe infection. Tree is recommended for removal due to void beneath tree and lower stem decay.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cedar Elm","4. Dead, diseased, or imminent hazard","Non-Development Related","23","23","0","0","30.42078207","-97.75435895"
"11773511",,"2017-08-15T00:00:00.000","Commercial","Active","3 Tree Removal due to 2100 Nueces development next door","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak,Live Oak,Pecan","4. Dead, diseased, or imminent hazard","Development Related","23,12,23","0","0","0","30.28456861","-97.74426359"
"11773427",,"2017-08-29T00:00:00.000","Commercial","Active","Large Live Oak in severe decline needs to be removed.","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Live Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","24","24","0","0","30.42969602","-97.75737519"
"11773186",,"2017-08-24T00:00:00.000","Commercial","Active","ATTN: PATTI DODSON - Remove to grade 4 hackberry, 2 Chinaberry, and 2 mulberry trees. All trees are in decline and impeding construction staging site for Hilton skybridge on 4th street. Trees in parking lot at southeast corner of 4th and Red River","Yes","No","No","Site Plan Exemption Related","Yes","No","Yes","Hackberry, Hackberry, Mulberry, Chinaberry, Hackberry, Mulberry, Chinaberry, Hackberry","3. Poor","Non-Development Related","34, 19, 13, 11, 16,20,23,16","152","0","59","30.26445477","-97.73786497"
"11781976",,"2017-09-12T00:00:00.000","Public","Active","remove hazardous hackberry","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","33","33","0","0","30.25087074","-97.71930545"
"11782039",,"2017-09-12T00:00:00.000","Public","Active","Mostly dead, already has been topped off; about 70inches","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","sycamore","4. Dead, diseased, or imminent hazard","Non-Development Related","22.3","22.3","0","0","30.33297075","-97.72710265"
"11786348",,"2017-09-14T00:00:00.000","Public","Active","Removal of a 21","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Ashe juniper","4. Dead, diseased, or imminent hazard","Non-Development Related","21","21","0","0","30.24140649","-97.76868076"
"11794605",,"2017-09-25T00:00:00.000","Commercial","Active","Diseased tree removallarge red oak co-dominant 1/2 failed in back near dumpster","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Red Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","30","30","0","0","30.42978821","-97.75538291"
"11794959",,"2017-10-17T00:00:00.000","Commercial","Active","Removal of dead and declining protected live oaks","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","live oak","4. Dead, diseased, or imminent hazard","Non-Development Related","14","14","0","7","30.24987208","-97.89558258"
"11799991",,"2017-10-16T00:00:00.000","Commercial","Active","Remove splitting hackberry.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","24","24","0","0","30.34478545","-97.69558353"
"11799967",,"2017-10-05T00:00:00.000","Commercial","Active","Remove declining Bradford pear.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Bradford pear","4. Dead, diseased, or imminent hazard","Non-Development Related","17","18","0","0","30.35120859","-97.61475395"
"11800122",,"2017-10-16T00:00:00.000","Public","Active","Removal of American elm at Umlauf","No","Yes","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","American elm","4. Dead, diseased, or imminent hazard","Non-Development Related","24.5","24.5","0","0","30.26357285","-97.76614815"
"11806368",,"2017-11-03T00:00:00.000","Public","Active","Tree removal of 4 declining/hazardous hackberries and 1 hazardous red oak at All Saints Episcopal Church at 27th & Whitis.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Hackberry, hackberry, hackberry, hackberry, Red Oak","4. Dead, diseased, or imminent hazard","Non-Development Related","12, 17, 14, 10, 18","71","0","0","30.29157541","-97.73931456"
"11810148",,"2017-11-03T00:00:00.000","Public","Active","Prune more that 25% live canopy to gain required clearance over street in two protected Live Oaks in ROW","No","No","Yes","Not Construction Related but Impacts Regulated Trees","No","No","No","Live Oak, live Oak","1. Good","Non-Development Related","23, 21","0","0","0","30.44881525","-97.77878683"
"11810192",,"2017-10-26T00:00:00.000","Public","Active","Remove 43 inch Cottonwood in ROW with hollow trunk and see-through cavity.","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cottonwood","4. Dead, diseased, or imminent hazard","Non-Development Related","43","43","0","0","30.31160691","-97.70250771"
"11818485",,"2017-11-17T00:00:00.000","Commercial","Active","Tree over pruned multiple times, mainly dead needs removed, signs of disease in foliage.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Pecan","4. Dead, diseased, or imminent hazard","Non-Development Related","23.8","23.8","0","2","30.28846530","-97.74437298"
"11821857",,"2017-11-30T00:00:00.000","Commercial","Active","tree removal","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Pecan","4. Dead, diseased, or imminent hazard","Non-Development Related","22","22","0","22","30.30772772","-97.67445796"
"11822270",,"2017-11-14T00:00:00.000","Commercial","Active","Non-development request to remove a severely damaged 26","No","Yes","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Pecan","4. Dead, diseased, or imminent hazard","Non-Development Related","26","26","0","0","30.27271660","-97.72844115"
"11825071",,"2017-12-01T00:00:00.000","Commercial","Active","Remove declining willow to provide safe clearance for vehicular traffic.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Willow","4. Dead, diseased, or imminent hazard","Non-Development Related","13","13","0","6.5","30.46702277","-97.79767178"
"11824867",,"2017-11-21T00:00:00.000","Commercial","Active","removal of dead Pine tree","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","pine","4. Dead, diseased, or imminent hazard","Non-Development Related","30","0","30","0","30.28418216","-97.74681163"
"11828615",,"2017-12-05T00:00:00.000","Commercial","Active","hollow tree falling danger","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","maple","4. Dead, diseased, or imminent hazard","Non-Development Related","10","10","0","0","30.35758583","-97.73887366"
"11828391",,"2017-12-01T00:00:00.000","Commercial","Active","Removal of Cedar Elm, Per Don Gardner, Consulting Arborist, Poor condition, bad Co-dominant trunk","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cedar Elm","4. Dead, diseased, or imminent hazard","Non-Development Related","11.75","11.75","0","0","30.28064014","-97.74980209"
"11828397",,"2017-12-01T00:00:00.000","Commercial","Active","Removal of Cedar Elm, Per Don Gardner, Consulting Arborist, Poor-fair condition, Decay at old break","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cedar Elm","4. Dead, diseased, or imminent hazard","Non-Development Related","11","11","0","0","30.28064014","-97.74980209"
"11828417",,"2017-12-01T00:00:00.000","Commercial","Active","Removal of Cedar Elm, Per Don Gardner, Consulting Arborist, poor-fair condition, mistletoe, lean, co-dominant trunk","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cedar Elm","4. Dead, diseased, or imminent hazard","Non-Development Related","13","13","0","0","30.28084537","-97.74974986"
"11828423",,"2017-12-01T00:00:00.000","Commercial","Active","Removal of Cedar Elm, Per Don Gardner, Consulting Arborist, poor-fair condition, roots buried, over parking lot","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cedar Elm","4. Dead, diseased, or imminent hazard","Non-Development Related","10","10","0","0","30.28084537","-97.74974986"
"11828429",,"2017-12-01T00:00:00.000","Commercial","Active","Removal of Cedar Elm, Per Don Gardner, Consulting Arborist, poor-fair condition, roots buried.","No","No","No","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Cedar Elm","4. Dead, diseased, or imminent hazard","Non-Development Related","9","9","0","0","30.28084537","-97.74974986"
"11828680",,"2017-12-01T00:00:00.000","Public","Active","Removal of 2 trees in poor condition at Jimmy Clay Golf Course.","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Catalpa, Hackberry","4. Dead, diseased, or imminent hazard","Non-Development Related","22, 23","25","0","0","30.18845767","-97.73294891"
"11829140",,"2017-12-06T00:00:00.000","Public","Active","Removal of a 30.5","No","No","Yes","Dead, Diseased, or Imminent Hazard Tree(s)","Yes","No","Yes","Arizona ash","4. Dead, diseased, or imminent hazard","Non-Development Related","30.5","0","30.5","0","30.29204862","-97.74963341"
