"fiscal_year","item_description","total_ytd"
"2008","United Way Capial Area","10000"
"2008","Taniguchi Gardens Wiring For PARD","9634"
"2008","Summer Reading Program","5200"
"2008","Soul Fest","4828"
"2008","Black History Month Banners","1611"
"2008","ACL Banners","1359"
"2008","U.S. Hispanic Contractors Association","1000"
"2008","Blackland Neighborhood Event","500"
"2008","Utility Arborist Association","500"
"2008","Dental Boxes for Science Festival participants","153"
"2007","Austin Convention & Visitors","20000"
"2007","Trail of Lights Power AE Labor","101019"
"2007","Grants for Technology Opportunities","90000"
"2007","Operation Restore Hope","37021"
"2007","International Council for Local Environmental Initiatives","15000"
"2007","Greater Austin Chamber of Commerce","14000"
"2007","Urban Life Group","12000"
"2007","University of Texas at Austin - Discover Nature March 2007, and Outreach Lecture Series ","11500"
"2007","Intl'l Partnership of Greater Austin WCIT Banners","10000"
"2007","Seton - ""A New Day in the Sun"" for Brackenridge Hospital","10000"
"2007","Race for the Cure","7330"
"2007","Greater Austin Hispanic","6000"
"2007","Alliance to Save Energy","5000"
"2007","Evision Central Texas/ECT Awards","5000"
"2007","Lady Bird Johnson Wildflower","5000"
"2007","Southwest Key Program","5000"
"2007","Gonzalo Barrientos Event","5000"
"2007","Teaching Responsible Action","5000"
"2007","Keep Austin Beautiful","3000"
"2007","Human Rights Campaign","2500"
"2007","Ronald McDonald House","2500"
"2007","Austin Area Heritage Council","2500"
"2007","Austin Eastside Story","2377"
"2007","Family Eldercare","1500"
"2007","Town Lake Chapter Links Inc.","1500"
"2007","Leadership Austin","1200"
"2007","Austin Area Urban League, Inc.","1000"
"2007","Austin Chapter of the Links (Harlem Nights)","1000"
"2007","Diverse Arts Productions Group","1000"
"2007","Family Eldercare","1000"
"2007","Latinas Unidas Das Por El Arte","1000"
"2007","National Association of Black Accountants","1000"
"2007","Network of Asian Americans","1000"
"2007","Tx Lineman Rodeo Assoc.","1000"
"2007","Austin State Hospital","1000"
"2007","Fiesta de Independencia","500"
"2007","Metz Elementary","500"
"2007","Society of Hispanic Professional Engineers","500"
"2007","Texas Forest Service","500"
"2007","Utility Arborist Association","500"
"2007","Austin Police Women's Association","200"
"2014","Misc. Sponsorships","229281"
"2012","AISD-Hispanic Futures Conference","15000"
"2014","Austin Public Library - Summer Reading Program","18000"
"2015","Sickle Cell Sponsorship","86000"
"2011","LEAPS - City-wide HRD program for Leadership Education and Public Service","32137"
"2013","Sickle Cell Sponsorship","54000"
"2015","African American Men & Boys Conference - Harvest Foundation","75000"
"2015","Misc. Sponsorships","245536"
"2013","African American Men & Boys Conference - Harvest Foundation","75000"
"2014","Sickle Cell Sponsorship","54000"
"2007","LEAPS - City-wide HRD program for Leadership Education and Public Service","30000"
"2014","African American Men & Boys Conference - Harvest Foundation","75000"
"2009","LEAPS - City-wide HRD program for Leadership Education and Public Service","32137"
"2010","LEAPS - City-wide HRD program for Leadership Education and Public Service","32137"
"2013","Austin Public Library - Summer Reading Program","18000"
"2008","LEAPS - City-wide HRD program for Leadership Education and Public Service","30000"
"2015","Austin Public Library - Summer Reading Program","18000"
"2012","Austin Partners in Education","2129"
"2012","Promotion of the City's Policies and Programs Regarding Physical Fitness and Healthplus Activities.","15000"
"2010","National Forum for Black Public Administrators","4500"
"2010","Juneteenth","19968"
"2011","Diez y Seis Fiesta de la Independencia","932"
"2007","Juneteenth","7500"
"2014","Juneteenth","14000"
"2008","Diez y Seis Fiesta de la Independencia","475"
"2007","Diez y Seis Fiesta de la Independencia","1774"
"2009","Juneteenth","12767"
"2013","Juneteenth","37000"
"2010","African American Men and Boys Conference - AISD","25000"
"2015","Juneteenth","16000"
"2008","Juneteenth","7000"
"2012","Juneteenth","29131"
"2008","The Long Center for the Performing Arts","2925"
"2007","Austin Partners in Education","1000"
"2010","African American Men and Boys Conference - Harvest Foundation","75000"
"2009","African American Arts Technical Center","500"
"2007","Texas Public Power Association","1000"
"2011","Juneteenth","23784"
"2007","African American Arts Technical Center","500"
"2008","Install Holiday Lighting at Zilker Tree","240"
"2011","Texas Public Power Association M&CS Conference Sponsorship","1000"
"2010","Diez y Seis Fiesta de la Independencia","924"
"2009","Diez y Seis Fiesta de la Independencia","3097"
"2012","Texas Public Power Association M&CS Conference Sponsorship","5000"
"2010","First Night Austin Hanging of Banners","445"
"2011","The Long Center for the Performing Arts","50000"
"2009","National Forum for Black Public Administrators","25000"
