"response_id","timestamp","how_likely_would_you_be_to_recommend_working_with_the_innovation_office_to_a_friend_or_colleague","feedback","how_would_you_rate_the_time_you_spent_on_this_project","how_satisfied_are_you_with_the_partnership_during_this_project","how_satisfied_are_you_with_the_final_results_of_this_project","did_you_come_to_the_innovation_office_for_the_presentation","respondent_s_organization_optional","engagement","description_of_project_or_event","link_to_more_information_about_the_project_or_event"
"17","2016-12-20T08:28:45.000","10","I always looked forward to our meetings because they were interactive, fun, and I felt that my insights mattered. Also, I learned new nuances to recycling behaviors each time, which was really interesting. I liked the collaborative approach, and that these meetings offered me an opportunity to interact with others in my field, yet from different agencies. At first, this was one of the biggest draws to my interest in participating. It was a delightful deviation from the typical sit-n-listen meetings and really afforded participants the chance to interact in a way that not only helped the project (I hope!),  but that also strengthened our working relationships, which fosters cross-agency collaboration. I would add that while the remote participation is a good gesture, the nature of these meetings really requires in-person participation. I tried attending remotely once, and quickly realized that the value extends beyond the presentation - which is really the only part that can be digested while attending remotely. It is a tricky balance between wanting to be flexible for participants (and decreasing the need to add to Austin's traffic issues) and recognizing the magic that happens with face-to-face interaction.",,,,"Yes","Austin ISD ","ARR shareout","Share-out of research findings from the Recycling Behaviors project (December 15, 2016)","http://projects.austintexas.io/resource-recovery/"
"18","2016-12-20T08:33:56.000","8","Interesting process to develop solutions to real world problems.",,,,"Yes","ARR","ARR shareout","Share-out of research findings from the Recycling Behaviors project (December 15, 2016)","http://projects.austintexas.io/resource-recovery/"
"19","2016-12-20T10:35:01.000","10","It was fun and productive at the same time.",,,,"Yes","CPIO","ARR shareout","Share-out of research findings from the Recycling Behaviors project (December 15, 2016)","http://projects.austintexas.io/resource-recovery/"
"20","2017-06-16T16:37:11.000","9","I have enjoyed our time together over the past 3 hackathons and I'm grateful to work with folks that have a longstanding relationship with our event. As we worked to scale our efforts, I certainly felt a shift in the participation we saw from the innovation office. For the first time, the CoA played an active role as not only a partner and a sponsor. YAYYYY. For future years, I know that we ourselves are redefining what we need to keep the event running, but also successful. I certainly look forward to conversations about how we can really solidify our partnership. Thank you for your continued support. I know that you know what it takes to pull of this fun, unique, wacky event :P ",,,,,"St. Edward's University ","ATX Hack for Change 2017","Feedback on the Innovation Office's involvement as a partner in the 2017 ATX Hack for Change (June 2017)","http://atxhackforchange.org/"
"21","2017-06-16T20:13:21.000","8","Particularly appreciate the launch of GigaTECHs App competition at the hackathon.  Always grateful for the projects that the Innovation Office brings to the event.",,,,,"St. Edward's University","ATX Hack for Change 2017","Feedback on the Innovation Office's involvement as a partner in the 2017 ATX Hack for Change (June 2017)","http://atxhackforchange.org/"
"22","2017-06-19T08:08:26.000","10","I think that COA are great partners to have. I hope to continue our partnership for 2018. ",,,,,"St. Edward's ","ATX Hack for Change 2017","Feedback on the Innovation Office's involvement as a partner in the 2017 ATX Hack for Change (June 2017)","http://atxhackforchange.org/"
"23","2017-02-23T14:49:17.000","3",,,,,,,"Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"24","2017-02-23T14:51:46.000","6","Provide clearer instructions on how to execute our project in house instead of hiring a 3rd party.",,,,,,"Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"25","2017-02-23T14:56:19.000","8","I thought it was very informative and was thinking of recommending the test to my department.",,,,,"Capital Contracting Office","Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"26","2017-02-23T15:05:13.000","10","The presenters were very energetic. The lesson was relevant",,,,,,"Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"27","2017-02-23T15:26:07.000","10","I think you worked well together as a team and gave great real world examples",,,,,"City of Austin","Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"28","2017-02-24T09:22:21.000","8","Maybe clarifying the group task that we were asked to do a little more",,,,,"Austin Police Department ","Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"29","2017-02-27T15:34:12.000","8",,,,,,,"Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"30","2017-02-28T09:15:16.000","5",,,,,,,"Basadur-LEAPS","Workshop on creative problem solving preferences and creative tension (February 2017)",
"31","2017-06-09T14:30:04.000","10","It was excellent!",,,,,"NHCD","CFE June 9 2017","Facilitated meeting to explore Cities for Financial Empowerment grant opportunity (June 9, 2017)",
"32","2017-06-09T14:44:49.000","8","Thought it was great",,,,,,"CFE June 9 2017","Facilitated meeting to explore Cities for Financial Empowerment grant opportunity (June 9, 2017)",
"33","2017-06-09T15:20:13.000","9","Great start to an important project. I'm eager to continue the conversation.",,,,,"Digital Inclusion","CFE June 9 2017","Facilitated meeting to explore Cities for Financial Empowerment grant opportunity (June 9, 2017)",
"48","2017-01-12T11:40:22.000","9","This was a fantastic presentation. I took feverish notes and will utilize what I learned in my leadership roles. Thank you for presenting to our group. ",,,,,"Texas Department of Family and Protective Services","HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"34","2017-06-16T09:52:29.000","10","You grab hold of their attention during the ""creative animal"", ""six"" and ""belt"" exercises and the basadur composite profile of everyone but the attention starts to wane during the lecture portion. So, what we can learn from that is anytime we can involve the participants in some kind of hands-on, we improve on the learning experience....that's a constant challenge for us all. ",,,,,"CTM - Wei San","CTM Interns Basadur Training","Innovation methods and creative problem solving workshop given to interns in the Communications and Technology Management department (June 15, 2017)",
"35","2017-06-16T15:24:15.000","10","I think it was fantastic and helpful for the students. Lance, you did such a great job on engaging them in a new world that they weren't familiar in. ",,,,,"CTM","CTM Interns Basadur Training","Innovation methods and creative problem solving workshop given to interns in the Communications and Technology Management department (June 15, 2017)",
"37","2017-05-17T20:43:38.000","10","I appreciated the guidance from the Innovation Office. Angela and Daniel did a great job encouraging convergent and divergent thinking, along with a focus on clear communication with the other commissioners.

I also enjoyed that we were able to collectively synthesize our thoughts and narrow the areas of interest of the Commission. 

Occasionally I thought it would be helpful to have a little more time to complete the exercises, but I appreciate that the facilitators maintained a brisk pace for the meeting, as we had a great deal of material to discuss. ",,,,,,"CTTC May 10","Workplan retreat for the Community Technology and Telecommunications Commission (May 10, 2017)","https://drive.google.com/drive/folders/0BwfHaaR8uDRJSXNPWmN2M3VTTzQ?usp=sharing"
"38","2017-05-22T17:07:10.000","10","The format this year was more effective than last year. It helped to match the interests and knowledge of Commission members with Commission goals.",,,,,"Malcolm Yeatts D3 Commission member","CTTC May 10","Workplan retreat for the Community Technology and Telecommunications Commission (May 10, 2017)","https://drive.google.com/drive/folders/0BwfHaaR8uDRJSXNPWmN2M3VTTzQ?usp=sharing"
"39","2017-05-25T08:31:09.000","8","More time explaining the importance/reasoning behind idea generation and not blocking or holding back idea that have limitations. ",,,,,"ARR","DTI Prototyping & Testing Workshop","Prototyping & Usability Testing Workshop facilitated by Design, Technology, and Innovation Fellows program (May 24, 2017)","https://docs.google.com/presentation/d/1bCM2m7tkdCT1YHJVZBVizIfJfDiVY5m3i8zVIue4-K4/edit#slide=id.g224e4302ab_0_0"
"40","2017-05-25T10:04:04.000","4","Would increase time by about 1 hour, would spend more time explaining how to frame a question to get something other than a vague response or a yes/no.  Example openers to engage potential interviewees, example script would be helpful.  
Spend some time discussing options for focus of testing - for example, one could test just the concept at the first stage, or could already dive into separate tests using different language and compare results. Also, how to select interviewees.",,,,,,"DTI Prototyping & Testing Workshop","Prototyping & Usability Testing Workshop facilitated by Design, Technology, and Innovation Fellows program (May 24, 2017)","https://docs.google.com/presentation/d/1bCM2m7tkdCT1YHJVZBVizIfJfDiVY5m3i8zVIue4-K4/edit#slide=id.g224e4302ab_0_0"
"41","2017-05-26T10:01:21.000","7","Consider scheduling 2.5 - 3 hours for the next workshop so that it is not so rushed.",,,,,"ARR","DTI Prototyping & Testing Workshop","Prototyping & Usability Testing Workshop facilitated by Design, Technology, and Innovation Fellows program (May 24, 2017)","https://docs.google.com/presentation/d/1bCM2m7tkdCT1YHJVZBVizIfJfDiVY5m3i8zVIue4-K4/edit#slide=id.g224e4302ab_0_0"
"42","2017-05-26T16:01:39.000","10","The workshop was great but needed more time. Some participants were caught off-guard and uncomfortable with the testing process of approaching strangers. It would be good to communicate the workshop expectations ahead of time and provide an alternative for those that are especially uncomfortable. We don't want to deter people from testing at all!",,,,,,"DTI Prototyping & Testing Workshop","Prototyping & Usability Testing Workshop facilitated by Design, Technology, and Innovation Fellows program (May 24, 2017)","https://docs.google.com/presentation/d/1bCM2m7tkdCT1YHJVZBVizIfJfDiVY5m3i8zVIue4-K4/edit#slide=id.g224e4302ab_0_0"
"43","2017-06-13T11:48:43.000","6","I guess more time to demonstrate and outline the purpose and potential results of the workshop. More translation to the application of the skills learned in the workshop to a city program.",,,,,,"DTI Prototyping & Testing Workshop","Prototyping & Usability Testing Workshop facilitated by Design, Technology, and Innovation Fellows program (May 24, 2017)","https://docs.google.com/presentation/d/1bCM2m7tkdCT1YHJVZBVizIfJfDiVY5m3i8zVIue4-K4/edit#slide=id.g224e4302ab_0_0"
"44","2017-06-16T13:14:17.000","9",,,,,,,"ED Workforce Dev Community Engagement","Facilitation with Economic Development staff on the topic of community engagement around workforce development (June 2017)",
"45","2017-06-23T12:55:27.000","7","I observed keen expertise among facilitators and expert execution of duties.  Only potential improvement could have been to allow participants to compose their own notes, so that the facilitation role was more about forcing them to clarify and shorten their comments, while the Scribe captured the detail and support.",,,,,"EDD","ED Workforce Dev Community Engagement","Facilitation with Economic Development staff on the topic of community engagement around workforce development (June 2017)",
"46","2017-01-12T11:30:27.000","5",,,,,,,"HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"47","2017-01-12T11:31:11.000","10",,,,,,,"HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"49","2017-01-12T11:54:45.000","7",,,,,,,"HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"50","2017-01-12T12:01:39.000","8","Dynamic speakers with good use of power point.  I appreciated not going over topics the group wasn't interested in.  We were able to focus our discussion on what we believed was relevant to our unique circumstances.",,,,,"DSHS","HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"51","2017-01-12T12:12:20.000","10","Good mixture of interactive, powerpoint, and handouts. Having the problem-solving profile activity was quite useful. ",,,,,"Texas DSHS","HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"52","2017-01-12T13:12:39.000","5","I missed what your message was.",,,,,,"HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"53","2017-01-12T13:28:58.000","7",,,,,,,"HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"54","2017-01-12T13:49:06.000","10",,,,,,"Texas Health and Human Services Commission","HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"55","2017-01-17T11:49:10.000","9","I found the advice on how to achieve buy-in very helpful.",,,,,"DADS","HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"56","2017-01-17T11:49:40.000","9",,,,,,,"HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"57","2017-01-20T08:15:46.000","9",,,,,,"HHSC OIG","HHS Lead Academy","Texas HHS Leadership Academy workshop on Innovation Leadership (January 2017)",
"59","2016-11-18T15:52:17.000","5","Facilitation of small groups was weak (and in some places, groups did not have one) which impacted the outcome of the small group work; the room was too small for the breakouts (very crowded; would have been better to have had some move to the interior of the room using flipchart stands to hold the map);  unclear what the outcome was suppose to be",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"60","2016-11-18T15:57:15.000","5","Two things- 1. I would have liked to see people with lived experience having an active role in this conversation. 2. I honestly found this activity to be frustrating. It seemed that the baseline understanding of homelessness and local services was highly varied. Some knew alot, others knew very little. It was difficult to have a productive conversation without having a basic set of information to start from.",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"61","2016-11-18T15:57:39.000","8","Unfortunately speakers took too much of your workshop time so you lost those who had time constraints, including me.",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"62","2016-11-18T16:08:01.000","8","Have the questions written on the handout that people stick the post-its to. Ask people to think outside of the box try to come up with an answer that will not match someone else. Or read off the top 3 answers and ask people to not repeat any of those answers.",,,,,"Saint Mary Cathedral","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"63","2016-11-18T16:11:42.000","8","In the breakouts it was difficult to hear the other people in the groups, but I know that's a function of the room.  I like the exercise and approach, but heard almost nothing new in terms of observations, challenges, etc.  I look forward to having all this come together in something  concrete, actionable ways. ",,,,,"council staff","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"64","2016-11-18T16:17:58.000","5","Really need more time in the small groups, it was hard to see anything actionable coming out of this..",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"65","2016-11-18T16:18:25.000","8","More time for discussion with our groups.",,,,,"City of Austin","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"66","2016-11-18T16:48:27.000","10","Meeting people from different departments that could address a specific issue was very good.  Having a team to access the situation was great news.",,,,,"Town Lake Neighborhood Assoc.","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"67","2016-11-18T17:36:00.000","9","a second session, with some cross-pollination of groups, might provide some different insights",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"68","2016-11-18T20:33:05.000","10","I wasn't able to go because of a bad cold.  But will try to go in the future.",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"69","2016-11-18T20:34:19.000","10","Unfortunately, I was ill and couldn't attend, but my colleagues loved the workshop, particularly the session on human design.",,,,,"Emancipet","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"70","2016-11-19T06:42:19.000","10","More space.  Inviting currently and formerly homeless guests also.  Great networking opportunity.  A bit too much award giving.  Maybe advertise that the first 30 minutes will be devoted to them. ",,,,,"First Baptist Church ","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"71","2016-11-19T09:11:51.000","9","Schedule this on a day when it is the only agenda item. By the time we got to this valuable exercise we were ready to leave...",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"72","2016-11-19T14:08:54.000","8","I think it might have been helpful to provide a short primer on some of the primary causes of homelessness among those living in the Austin community.  Doing so might allow for more detailed feedback on solutions.",,,,,"ECHO","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"73","2016-11-19T14:13:15.000","8","Need more property owners to attend",,,,,"Rainier Management","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"74","2016-11-19T21:08:06.000","8","More time for breakout sessions",,,,,"First Baptist Church of Austin","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"75","2016-11-20T15:20:47.000","10",,,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"76","2016-11-20T15:47:58.000","10",,,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"77","2016-11-21T06:38:48.000","2",,,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"78","2016-11-21T07:35:07.000","8","The room was quite loud with so many people making it difficult to hear group members responses, but of course we could read them. The maps were (really) great but it was a little confusing that the questions we were answering were not the same as the questions on the map. I love the ""timeline"" on the maps pointing to the cycle of homelessness. The overall exercise was concise and thoughtful.",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"79","2016-11-21T08:53:44.000","6","Each group should have someone that knows all the agencies to save time.",,,,,"Having a few people that have experienced homelessness now or in the past is critical.","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"80","2016-11-21T08:56:17.000","10",,,,,,"Project Transitions","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"81","2016-11-21T09:10:16.000","5",,,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"82","2016-11-21T10:40:36.000","8",,,,,,"Austin Travis County Integral Care","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"83","2016-11-21T11:39:44.000","10","Overall, it was a very well organized workshop and I thoroughly enjoyed it. ",,,,,"Community Care Collaborative","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"84","2016-11-21T13:51:37.000","2","My group had a very poor facilitator. I wondered if each group was supposed to have a facilitator  or if someone simply took that role in my group. The person in my group did not listen to others, could not summarize the gist of conversations, spoke over others and said insensitive things. My recommendation is to have better facilitators at each group in the future. I think the whole exercise was a missed opportunity by virtue of not having good facilitators in each group.  ",,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"85","2016-11-21T14:45:11.000","9",,,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"86","2016-11-21T22:34:24.000","10",,,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"87","2016-11-22T08:58:29.000","8",,,,,,,"Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"88","2016-11-23T12:06:14.000","10","n/a",,,,,"New Milestones Foundation","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"89","2016-11-28T09:05:34.000","10","I really enjoyed the opportunity to meet other people interested in this issue; I would have enjoyed more time with the break-out groups to delve more deeply into concepts and potential solutions. ",,,,,"Council Member Leslie Pool's office, policy advisor","Homelessness wkshop Nov 2016","A Community Approach to Solving Homelessness workshop (November 15, 2016)","http://kxan.com/2016/11/15/austin-homelessness-forum-focusing-on-community-help/"
"90","2017-08-14T15:38:33.000","10","The facilitation that Lance provided was very professional and useful. The opening of doors through your connections was also invaluable.

Sometimes the email communications were very long and confusing. The action needed was sometimes difficult to find. A shorter note with the action item near the top would be helpful.",,,,,"Public Works","Idea Accelerator closeout","Retrospective on the Idea Accelerator program from participating teams (July 2017)","https://ideaaccelerator.bloomfire.com"
"91","2017-06-16T14:52:56.000","8","The last exercise would have been more beneficial if we could have used a library example. I think more tips about how to incorporate into meetings and such would also be helpful.",,,,,"Austin Public Library","Library Innovation 101 Training","Innovation methods and creative problem solving workshop given to Library staff (June 2017)",
"92","2017-06-19T10:05:05.000","10","Everyone needs to take this training for it to really work at our organization!",,,,,"Austin Public Library","Library Innovation 101 Training","Innovation methods and creative problem solving workshop given to Library staff (June 2017)",
"93","2017-06-19T12:48:38.000","10","I think it was well-paced with a good mix of information and activities. The content is superb. It will definitely help us be more innovative and productive in our organization.",,,,,"Austin Public Library","Library Innovation 101 Training","Innovation methods and creative problem solving workshop given to Library staff (June 2017)",
"94","2017-04-17T16:36:42.000","10","I'm not sure if I'm sold on the Sprint process but I think the innovation office did a good job of helping us work through the process and trying to keep us on track. ",,,,,,"Light Bike Lane","Sprint process for the Light the Bike Lane project (April 2017)","https://ideaaccelerator.bloomfire.com/groups/36343/series/36143-light-the-bike-lane-sprint"
