"documentid","program","reachcd","title","subtitle","sizekb","yearpub"
"290642","GENERAL","COL","A Statistical Analysis of Wastewater Effluent Potential Impacts on the Colorado River Downstream of Austin","SR-13-14","1063","2013"
"186284","EII","BAR1,LBL","Identifying Sediment Contamination Sources in the Barton Creek Watershed of Austin, Texas","SR-00-01","606","2000"
"186274","EII","CRN1,CTM1,DKR1,DKR3,DRE1,DRE2,ELM1,ELM2,GIL1,GIL2,GIL3,GIL4,GIL5,GIL6,HRS1,HRS2,LKA,WLL,MAR1,MAR2,NFD1,ONI4,RIN1,RIN2,RIN3,SFD1,SFD2,WLN2,WLN5","Environmental Integrity Index Phase 3 (2008) Watershed Summary Report","SR-09-06","18934","2009"
"186198","EII","BAR1,BAR2,BUL2,EAN1","Interim Water Quality Report","CM-84-01","8036","1984"
"206596","GENERAL","BAR1,ONI1,ONI2,ONI3,ONI4,ONI5,ONI6,WMS1,WMS2,WMS3","Flood Protection Planning Grant Application for the Onion Creek Watershed Interim Feasibility Study",,"77005","2002"
"186339","EII","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,BEE1,BEE2,BEE3,BER3,BLU3,CRN1,LBA1,LBA2,LBA3,LBE1,LKA,SLA1,SLA2,SLA3,TYN1,TYS1,WMS1,WMS2,WMS3","Tributary Water Quality Analysis Update 2002","SR-02-10","348","2002"
"186137","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,BER1,BER2,BER3,BLU3,ONI1,ONI2,ONI3,ONI4,ONI5,ONI6,SLA1,SLA2,SLA3,WMS1,WMS2,WMS3","Final Report on the South Austin Metropolitan Area of the Edwards Aquifer","CM-83-02","2458","1983"
"290640","GENERAL","GENERAL","Taking a SWAT at Changing Urban Creeks: A Combined Approach to Evaluate Changes in Flooding, Erosion, and Aquatic Life",,"551","2012"
"240264","GENERAL","GENERAL","Developing a Stream Stability Index","SR-15-09","4222","2015"
"225008","AST","BUL3","Results of Tracing for Pit Springs and Four Points near the Balcones Canyonlands Sam Hamilton and Bull Creek Preserves","SR-14-04","6482","2013"
"186338","ALI","LBL","The Town Lake Report Volume I and II","CM-04-05","19863","2004"
"196425","GENERAL","GENERAL","Conversion of Fecal Coliform to Escherichia Coli Bacteria in Austin, Tx","DR-13-01","266","2013"
"196478","EII","EAN1,LBL,LKA,SHL3,TYS1,WLR1,WLR2,WLR3","Supplemental Monitoring of Selected Water Bodies With Contact Recreation Impairments","SR-11-04","33376","2012"
"186204","GENERAL","BAR1,BRW1,BUL2,CRN1,DRN2,EAN1,LBL,LKA,PAN1,SHL3,TRK1,WMS2","Stormwater Pollutant Loading Characteristics for Various Land in the Austin Area","SR-90-02","25076","1990"
"186190","GENERAL","LBL,WBO1,WBO2,WLR1","Nonpoint Source Pollution Control in the City of Austin","CM-91-01","16685","1991"
"264872","GENERAL","GENERAL","The First 298 days with the iPads","DR-16-10","1021","2016"
"290636","GENERAL","GENERAL","Development of Sub-Daily Erosion and Sediment Transport Algorithms for SWAT",,"308","2011"
"206606","SAL","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,BEE3,BER1,BER2,BER3,BEW1,CMF1,CRN1,EAN1,EAN2,HAM1,LBA1,LBA2,LBA3,LBR1,LBR2,LKA,ONI4,ONI5,ONI6,SBG2,SLA1,SLA2,SLA3,WMS2,WMS3","Annual Report to USFWService NPDES Permit TXS000401 2002","CM-02-06","38641","2002"
"230083","GENERAL","GENERAL","Prioritizing and Managing Invasive Species in Austin","SR-13-03","580","2012"
"186228","SAL","BAR1","City of Austin's Captive Breeding Program","CM-02-05","39646","2002"
"186212","GENERAL","GENERAL","Austin Area Environmental Handbook","CM-87-01","44888","1987"
"206380","EII","GIL1,GIL2,GIL3,GIL4,GIL5,GIL6,HRS2,WLN5","Erosion Hazard Zone Mapping and Geomorphic Assessment Volume 2","CN-11-02","310586","2011"
"186166","GENERAL","BUL1,BUL2,BUL3,BUL4,BUL5,LKC2,LKC3,PAN1,RAT2,WBL1,WBL2,WLN4","Wastewater Service to the Bull Creek Watershed Environmental Impact Study","CM-84-06","27851","1984"
"186289","SAL","BEW1,BSY1,BUL1,BUL2,BUL3,BUL4,BUL5,DRN2,GIL6,LBA3,LKA,LKC3,LWA1,LWA4,PAN1,RAT2,SHL1,SHL2,SHL3,SHL4,WBL1,WBL2,WLN1,WLN2,WLN3,WLN4,WLN5","Jollyville Plateau Salamander Status Report","SR-11-10","2973","2011"
"196421","AST","BAR1,LBL","The Contribution of Blanco River Recharge to Barton Springs at Low Discharge","DR-12-03","12262","2012"
"186336","ALI","LBL","Town Lake Goals: Current Status","SR-04-05","73","2004"
"186239","EII","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,BEE3,BER1,BER2,BER3,BEW1,CMF1,CRN1,EAN1,EAN2,HAM1,LBA1,LBA2,LBA3,LBR1,LBR2,LKA,ONI4,ONI5,ONI6,SBG2,SLA1,SLA2,SLA3,WMS2,WMS3","Barton Springs Zone Scientific Inventory","CM-02-02","978","2002"
"196434","GENERAL","GENERAL","Inventory of Freshwater Mussels (Unionidae) in Austin","SR-11-02","215","2010"
"186358","GENERAL","GENERAL","State of the Environment Report 2004","CM-04-07","1787","2004"
"186340","GENERAL","BAR1","Ultrasonic Algal Control Literature Review","SR-10-11","46","2010"
"203917","GENERAL","BAR1,BLU1,EBO1,JOH1,LBL,WBO1,WLR1","Arundo Donax Herbicide Effectiveness Assessment","SR-13-07","2253","2013"
"186197","EII","BAR1,BAR2,BER1,BER2,BER3,BRW1,BUL2,CRN1,DRN2,EAN1,LBL,LKA,ONI4,PAN1,SHL3,SHL4,SLA1,SLA2,TRK1,WLN4,WMS2","The First Flush of Runoff and Its Effects on Control Structure Design","CM-90-01","7855","1990"
"196460","GENERAL","BMK2,TAN3,WLR1,WLR2,WLR3","Waller Creek Geologic Past and Present","N/A","23018","1992"
"186328","GENERAL","GENERAL","Water Resource Evaluation Standard Operating Procedures Manual","SR-04-04","750","2004"
"290632","GENERAL","GENERAL","Environmental Resource Management Quality Management Plan, version 3",,"622","2017"
"236447","GENERAL","GENERAL","Austin Programs and Activities Related to Management of Public Lands","An assessment of the value, benefits, level of care and service delivery issues related to public trees.","926","2014"
"207735","GENERAL","BAR2,BAR3,SLA3,WMS2,WMS3","Scenic Brook Drainage Study",,"140158","1999"
"223703","AST","ONI4","Preliminary Assessment of Dahlstrom Tract","Memo 03_31_2008","21514","2008"
"266620","AST","BAR1,EAN1","South Zilker Park Groundwater Tracing November 2013 and February 2014","DR-16-11","854","2016"
"186146","EII","LWA1,LWA2,LWA3,LWA4","Little Walnut Creek Watershed Erosion Assessment","CN-97-09","132600","1997"
"214827","GENERAL","BAR1,BAR2","Lead Content in Sediments Deposited Below a Storm Sewer","MEMO 1994-04-25","63","1994"
"225011","SAL","BAR1,LBL","Updated Analysis of Dissolved Oxygen Concentrations at Barton Springs","SR-14-11","745","2014"
"186355","GENERAL","GENERAL","State of the Environment Report 2000","CM-00-03","385","2000"
"223707","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,ONI1,ONI2,ONI3,ONI4,ONI5,ONI6,WMS2","Summary of 2005 Groundwater Dye Tracing, Barton Springs Segment of the Edwards Aquifer","BSEACD Report of Investigations 2006-0530","2852","2006"
"225009","AST","BER2","2013 Investigation of Flint Ridge Cave Surface Catchment","SR-14-07","2625","2014"
"186191","EII","BUL2,SHL1,SHL2,SHL3,SHL4","Shoal Creek Watershed Water Quality Retrofit Master Plan","CN-94-02","106776","1994"
"186153","SAL","BUL1,BUL2,BUL3,BUL4,BUL5,DRN2,LKA,LKC3,PAN1,SHL3,WBL1,WBL2","Summary Report Cumulative Impacts of Development on Water Quality and Endangered Species in the Bull Creek and West Bull Creek Watersheds","CM-93-03","33668","1993"
"196452","GENERAL","BAR1","Mathematical Explanation of the Multivariate Auto-Regressive State-Space (MARSS) Model Used in the Study of Barton Springs Salamander Populations","SR-12-02","215","2011"
"186291","SAL","BUL1,BUL2,BUL3,BUL4,BUL5,LKC1,LKC2,LKC3,RAT1,RAT2,SHL3,SHL4,WBL2,WLN4","Summary of Jollyville Plateau Salamander Data (1997-2006) and Status","SR-07-02","9158","2006"
"186211","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BEE3,BER1,BER2,BER3,BEW1,CMF1,CRN1,EAN1,EAN2,LBA1,LBA3,LBL,LBR1,LKA,SBG2,SLA1,SLA2,SLA3,WBO2,WBO3,WMS2,WMS3","Barton Springs Contributing Zone Retrofit Master Plan Study Interim Report","CN-94-01","105277","1994"
"268806","GENERAL","GENERAL","Integrated Solutions Development Study Watershed Master Plan Phase II Final Report Volume 1","CN-00-03","102100","2000"
"186381","GENERAL","GENERAL","Characterization of Stormwater Pollution for the Austin, Texas Area","CM-97-05","173686","1997"
"196415","SAL","BAR1,LBL","Preliminary Investigations on Synchrony and Counts of the Barton Springs Salamander","DR-12-02","6723","2012"
"196467","EII","BMK2,TAN3,WLR1,WLR2,WLR3","The Flora of Waller Creek","N/A","22596","1992"
"196445","GENERAL","COL","Identifying Source Populations of Freshwater Mussels in the Lower Colorado River","SR-11-16","102","2011"
"186290","SAL","BUL2,BUL3,BUL4,BUL5,LKA,SHL3","Jollyville Salamander Data Analysis","SR-03-02","5603","2004"
"223704","EII","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6","Nitrogen Isotope Study of Barton Creek","Memo 05_03_1994","310","1994"
"186168","GENERAL","GENERAL","Watershed Protection Master Plan Phase 1 Watersheds Report Vol II","CM-01-02","191771","2001"
"251324","GENERAL","GENERAL","Austin Invasive Management (AIM) Project Development Guide","SR-14-05","1971","2014"
"236449","GENERAL","GENERAL","Watershed Protection - Water Resources Evaluation - Standard Operating Procedures Manual","A guide to the methods and techniques for water quality monitoring","3359","2015"
"186376","EII","BAR2,BAR3,BAR4,BER1,LBA1,ONI1,ONI2,ONI3,ONI4,ONI5,RIN1,SBG1,SLA1,WMS1","Bioassessment Strategies for Nonpoint Source Polluted Creeks","CM-96-01","94605","1996"
"264873","ALI","LBL,LKA","Investigating the role of water and sediment chemistry on growth potential of Hydrilla and Cabomba in two Austin reservoirs Phase 2 report","SR-16-08","1424","2016"
"186263","SAL","BAR1,EAN1,LBL","Drinking Water Distribution Line Break Impacts on Barton Springs Salamander","SR-09-03","1005","2009"
"268808","EII","BAR6,BUL3,ONI6,RIN1","Cellulose decomposition experiment (CELLDEX) results from four Austin streams","DR-17-04","647","2016"
"203922","GENERAL","GENERAL","A Strategy for Prioritizing Response to Chlorinated Drinking Water Distribution Line Breaks","SR-13-15","482","2013"
"186368","GENERAL","SHL3","Northwest Park Emergency Project, Shoal Creek Channel Bed and Bank Stabilization. Northwest Park to Foster Lane Austin, Travis County, Texas","CN-01-03","134533","2001"
"186374","GENERAL","BAR1,BAR2,BRW1,BUL2,EAN1,JOH1,LBL,LKA,PAN1,SHL3,SHL4,TRK1,WBL2,WBO3,WLN4,WMS2","City of Austin Stormwater Monitoring Program 1985 Annual Status Report","CM-86-03","61373","1986"
"230084","AST","BUL3","Results of Tracing for Lanier and Hog Wallow Springs in the Balcones Canyonlands Preserve","SR-15-02","10798","2015"
"186282","EII","COL","Fluoride and Aquatic Environmental Impacts in Austin","SR-09-05","57","2009"
"196440","AST","RAT1,WLN4","Hydrogeologic Study of Fossil Garden, No Rent, Weldon, and Mcneil Bat Caves","SR-11-21","20476","2010"
"290635","GENERAL","GENERAL","Development and Integration of Sub-hourly Rainfall-Runoff Modeling Capability Within a Watershed Model",,"794","2010"
"186169","GENERAL","BUL1,BUL2,BUL3,BUL4,BUL5,DRN1,DRN2,EAN1,EAN2,LBL,LKA,LKC3,PAN1,SHL3,TYN1,TYS1,WBL1,WBL2,WBO1,WBO2,WLR1","Water Supply Suburban Watersheds Report Watershed Protection and Traffic Analysis","CM-99-02","64458","1999"
"196476","EII","BAR2,ONI5,WLN1","Recolonization and Succession of Macroinvertebrate Communities During Drought and Flood","SR-04-12","680","2006"
"186231","SAL","BAR1","Annual Report October 1, 2005- September 30, 2006 Endangered Species Act Section 10(a)1(B) Permit for the Incidental Take of the Barton Springs Salamander for the Operation and Maintenance of Barton Springs Pool and Adjacent Springs","CM-06-01","436","2006"
"186216","GENERAL","BUL1,BUL2,BUL3,BUL4,BUL5,WBL1,WBL2","Regional Development Study","CM-93-01","20358","1993"
"186322","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,ONI4,ONI5,ONI6,WMS2,WMS3,BER2,BER3,LBR2,LBR1,LBA2,LBA1","Evaluation of Existing Groundwater Models of the Barton Springs Segment of the Edwards Aquifer, Austin, Texas","SR-01-03","53","2001"
"240237","EII","GENERAL","Environmental Integrity Index Phase I and II (2013-2014) Watershed Summary Report","SR-15-08","75211","2015"
"186176","GENERAL","BAR1","Structural Assessment of the Barton Springs Pool Bypass Culvert","CN-06-01","46012","2006"
"186378","EII","BOG1,BOG2,BOG3","Boggy Creek Watershed Erosion Assessment","CN-97-02","114016","1997"
"240241","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,ONI4,ONI5,ONI6","Evaluation of potential for water quality impacts from unlined stormwater basins in the Barton Springs Recharge Zone","SR-15-13","785","2015"
"186143","GENERAL","GENERAL","Integrated Solutions Development Capital Solutions Interim Report Volume I Report","CN-98-03","92590","1998"
"196457","EII","LKC3","Modeling Benthic Algae Growth in Lake Creek, a High Nutrient Stream in Austin, TX","SR-12-07","744","2012"
"186342","GENERAL","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,BEE1,BEE2,BEE3,BER3,BLU3,CRN1,LBE1,LKA,SLA1,SLA2,SLA3,TYN1,WMS1,WMS2,WMS3","Land Use and Land Cover Analysis for Variable Buffer Scales in the Canyon Tributaries","SR-02-01","683","2002"
"206591","GENERAL","GENERAL","Landfills In The Austin Area",,"18736","1994"
"186292","SAL","BUL1,BUL2,BUL3,BUL4,BUL5,LKC1,LKC2,LKC3,RAT1,RAT2,SHL3,SHL4,WBL2,WLN4","Summary of Jollyville Plateau Salamander Data (1997-2005) and Status","SR-06-06","9061","2005"
"198301","GENERAL","GENERAL","Grow Green Native and Adapted Landscape Plants Guide","An earthwise guide for Central Texas","11055","2013"
"196416","EII","LKC3","Preliminary Data Review of the Effluent Study Phases I and II","DR-10-01","2013","2010"
"223702","AST","BAR1,LBL,WMS2","Dye Tracing Results from the Arbor Trails Sinkhole","BSEACD Report of Investigations 2013-0501","5461","2013"
"196417","EII","BAR1","Potential Water Quality Impacts of Barton Creek Water Entering Barton Springs Pool","DR-11-01","196","2011"
"196446","GENERAL","GENERAL","Watershed Scale Predictors of Freshwater Mussel Distribution in Austin, Texas","SR-11-17","250","2011"
"251325","GENERAL","GENERAL","Environmental Review for Volunteer Invasive Plant Management Projects","DR-15-11","150","2015"
"287467","ALI","COL","Lower Colorado River Basin Phase I, Texas, Interim Feasibility Report","Appendices","40702","2006"
"206339","GENERAL","GENERAL","Live Staking in Austin Texas Riparian Zone Restoration Projects","SR-12-15","314","2012"
"186349","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BAR6,WMS2","Urban Impacts on the Chemistry of Shallow Groundwater","JC-98-01","716","1998"
"213560","EII","GENERAL","The Flow Permanence Index: A Statistical Assessment of Flow Regime in Austin Streams","SR-13-12","3903","2013"
"206605","GENERAL","ONI2,WMS1,WMS2","Creek Bend Flood Control Study Williamson Creek Watershed",,"128323","1994"
"263437","GENERAL","GENERAL","Creation of Environmental Conservation Services Department","CC-89-01","1234","1989"
"206600","GENERAL","GENERAL","Erosion Hazard Zone Methodology and Channel Stabilization Criteria","For City of Austin Streams","22739","2004"
"186206","AST","BAR1,BAR2,BAR3,BAR4,BAR5,BEE3,BER1,BER2,BER3,BEW1,CMF1,CRN1,EAN1,EAN2,LBA1,LBA3,LBL,LBR1,LKA,SBG2,SLA1,SLA2,SLA3,WBO2,WBO3,WMS2,WMS3","Barton Springs Zone Retrofit Master Plan Study Final Report Vol. II Assessment of Water Quality","CM-95-02","74290","1995"
"210172","SAL","BAR1,LBL","Variation in Abundances of Eurycea sosorum and Eurycea waterlooensis with Examination of Influences of Flow Regime and Drought","SR-12-16","1238","2012"
"206592","SAL","GENERAL","Habitat Conservation Plan and Final Environmental Impact Statement",,"298547","1996"
"186303","EII","CCW2","Mabel Davis Pond Algae Bloom, Summer 2010","SR-10-12","172","2010"
"207736","EII","EBO1,EBO2,EBO3","Water Quality Retrofit Master Plan for the East Bouldin Creek Watershed","Volume I: Technical Considerations","12665","1993"
"195341","GENERAL","GENERAL","City of Austin Invasive Species Management Plan","Book 3 Appendices","8905","2015"
"186192","ALI","COL,LKA,LBL","Water Quality Data Analysis for Colorado River","CM-86-02","4311","1986"
"261628","GENERAL","BOG1","Zaragoza Rain Tank Passive Drawdown Flow Rate Determination","SR-16-07","848","2016"
"196392","AST","BER2,SLA1,WMS2","Use Of Cave Drips To Characterize Upland Recharge","National Cave and Karst Research Institute Symposium

National Cave and Karst Research Institute Symposium

National Cave and Karst Research Institute Symposium","2975","2013"
"186218","EII","GENERAL","Action Plan Items Related to EII Site Scores Fiscal Year 2006","SR-07-03","76","2006"
"186323","EII","GENERAL","A Revision of Environmental Integrity Index (EII) Diatom Metrics","SR-02-03","99","2002"
"186135","ALI","EBO1,EBO2,EBO3","Feasibility and Environmental Evaluation of Water Quality Control Alternatives for Town Lake, Austin, Texas Volume III","CM-92-03","86056","1992"
"242791","ALI","LBL,LKA","Investigating the role of water and sediment chemistry on growth potential of Hydrilla and Cabomba in two reservoirs of Austin","DR-16-03","1407","2015"
"186187","GENERAL","EAN1,LBL,LKA,TRK1","Executive Summary of the Final Report Nationwide Urban Runoff Program","CM-81-01","12288","1981"
"289777","GENERAL","SHL3","Green Infrastructure Plan Brentwood Study Area",,"26575","2017"
"186366","GENERAL","BOG1","Storm Water Pollution Prevention Plan Tillery Street Storm Drain Outfall Stablization","CN-09-01","43915","2009"
"203078","SAL","BAR1,LBL","Barton Springs Habitat Conservation Plan 2013","Plan for the Operation and Maintenance of Barton Springs Pool","12807","2013"
"196455","GENERAL","GENERAL","A Functional Approach to Riparian Restoration in Austin, Texas","SR-12-05","925","2012"
"287428","GENERAL","GENERAL","Performance Comparison of Stormwater Biofiltration Designs","CN-2011-01","7547","2011"
"186313","GENERAL","GENERAL","Potential Effects of On-Site Sewage Treatment Facilities on Surface and Ground Water Quality in Travis County, Texas","SR-05-04","1404","2005"
"196447","GENERAL","BUL3","Water Treatment Plant No. 4 (WTP4) Overview of Bull Creek Monitoring","SR-11-18","2269","2011"
"186220","EII","GENERAL","Action Plan Items Related to EII Site Scores Fiscal Year 2009","SR-10-05","151","2009"
"196466","EII","BMK2,TAN3,WLR1,WLR2,WLR3","Survey of the Aquatic Macrobenthos of Waller Creek","N/A","4026","1992"
"237168","GENERAL","GENERAL","Updated Riparian Functional Assessment, 2014","SR-15-10","1641","2015"
"202221","GENERAL","GENERAL","Hydrologic Performance of Different Extensive Green Roofs Under Different Simulated Rain Intensities in Austin, Texas","SR-13-20","663","2013"
"186224","GENERAL","BAR2,BUL1,SFB1,SHL1,WLN1","Analysis of Changes in Creek Storm Water Quality Following the Enactment of the Comprehensive Watershed Ordinance and the Urban Watershed Amendments","SR-07-08","2690","2007"
"287468","ALI","COL","Lower Colorado River Basin Phase I, Texas, Interim Feasibility Report","Report","46871","2006"
"186337","ALI","LBL","The Town Lake Report Update 2006","SR-07-04","2321","2007"
"186305","GENERAL","BAR1,LBL,WBO1,WBO2,WLR1","Predicting Phosphorus with the Parsimonious Model","SR-06-09","980","2006"
"196459","GENERAL","GENERAL","Wasp Modeling of the South Fork San Gabriel River, a Low Nutrient River with an Advanced Phosphorus Removal WWTP Discharge","SR-12-09","20717","2012"
"196439","EII","WLN1","One Year Analysis of Walnut Creek Above and Below the Freescale Discharge","SR-11-08","696","2011"
"196463","GENERAL","GENERAL","Native Grassland Training","TM-06-01","13279","2006"
"206377","EII","ELM1,ELM2,WLL","Erosion Hazard Zone Mapping and Geomorphic Assessment Volume 5","CN-11-05","61653","2011"
"203919","GENERAL","WLB2","Effects of Municipal Wastewater Effluent on Freshwater Mussel Growth and Survival","SR-13-02","823","2013"
"186265","AST","BAR1,EAN1,LBL","Effects of Low Spring Discharge on Water Quality at Barton, Eliza, and Old Mill Springs, Austin, Texas","SR-06-05","313","2006"
"186125","EII","BAR1, BAR2, BAR3, BAR4, BAR5,BAR6","Barton Creek Watershed Erosion Assessment","CN-97-01","61481","1997"
"290641","AST","BAR1","Is Barton Springs Polluted?",,"228","2005"
"186182","GENERAL","BLU3,SLA1,SLA3,WMS1,WMS2,WMS3","An Assessment of the City of Austin's Williamson Creek Water-Saver Kit Depot Distribution Project","CM-86-04","16670","1986"
"240240","AST","BAR1","Preliminary Analysis of Barton Springs Site-Specific Flow Data","DR-14-04","1186","2015"
"186215","GENERAL","BAR1,BUL2,BUL5,EAN1,LBL,SHL1,SHL2,SHL3,SHL4","Watershed Monitoring by Remote Sensing","CM-84-05","7609",
"186246","EII","BEW1,BSY1,BUL4,HAM1,LBA3","Impacts of City of Burnet Draft Wastewater Discharge Permit on Hamilton Creek and Lake Travis","SR-10-04","326","2010"
"186189","EII","ONI1,ONI2,WMS2,WMS3,SLA1,SLA2,SLA3,RIN1,MAR2,MAR1","Intensive Surveys of Watersheds Contributing to McKinney Falls","SR-93-01","6308","1993"
