"registrationnumber","registrationstatus","registeredaddress","city","state","zipcode","registeredunits","activitytype","activitydate","latitude","longitude","address","parcelid"
"2021-045500 OL","Active","6118 FAIRWAY ST","AUSTIN","TX","78741","125","Inspection Performed","2022-01-14T00:00:00.000","3127179.75","10056845.269999996","6118 FAIRWAY ST
AUSTIN, TX 78741
(3127179.75, 10056845.269999996)","0307150617"
"2021-045281 OL","Active","1912 E WILLIAM CANNON DR","AUSTIN","TX","78744","270","Inspection Performed","2022-01-21T00:00:00.000","3108106.75","10041682","1912 E WILLIAM CANNON DR
AUSTIN, TX 78744
(3108106.75, 10041682)","0423060401"
"2014-118063 OL","Closed","1600 WICKERSHAM LN","AUSTIN","TX","78741","792","NOV Sent","2021-08-06T00:00:00.000","3122229.75","10059265","1600 WICKERSHAM LN
AUSTIN, TX 78741
(3122229.75, 10059265)","0307110502"
"2020-139620 OL","Active","1901 E ANDERSON LN SVRD EB","AUSTIN","TX","78752","198","NOV Sent","2022-07-07T00:00:00.000","3133583.666875005","10093430.166875005","1901 E ANDERSON LN
AUSTIN, TX 78752
(3133583.666875005, 10093430.166875005)","0229210230"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-23T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2014-049581 OL","Closed","6118 FAIRWAY ST","AUSTIN","TX","78741","125","NOV Sent","2021-11-22T00:00:00.000","3127179.75","10056845.269999996","6118 FAIRWAY ST
AUSTIN, TX 78741
(3127179.75, 10056845.269999996)","0307150617"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-24T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","Inspection Performed","2021-11-24T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","NOV Sent","2021-11-24T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","NOV Sent","2021-11-23T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","NOV Sent","2021-11-24T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-22T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2016-036020 OL","Suspended","6711 WENTWORTH DR","AUSTIN","TX","78724","4","Inspection Performed","2021-11-23T00:00:00.000","3149483.25","10081045","6711 WENTWORTH DR
AUSTIN, TX 78724
(3149483.25, 10081045)","0217380302"
"2016-035997 OL","Active","8404 GARCREEK CIR","AUSTIN","TX","78724","4","Inspection Performed","2021-11-23T00:00:00.000","3149935","10081264","8404 GARCREEK CIR
AUSTIN, TX 78724
(3149935.0, 10081264)","0217380327"
"2016-035997 OL","Active","8404 GARCREEK CIR","AUSTIN","TX","78724","4","NOV Sent","2021-11-24T00:00:00.000","3149935","10081264","8404 GARCREEK CIR
AUSTIN, TX 78724
(3149935.0, 10081264)","0217380327"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-27T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","NOV Sent","2021-11-24T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-23T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2014-049581 OL","Closed","6118 FAIRWAY ST","AUSTIN","TX","78741","125","NOV Sent","2021-11-22T00:00:00.000","3127179.75","10056845.269999996","6118 FAIRWAY ST
AUSTIN, TX 78741
(3127179.75, 10056845.269999996)","0307150617"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","Inspection Performed","2021-08-04T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2014-049581 OL","Closed","6118 FAIRWAY ST","AUSTIN","TX","78741","125","NOV Sent","2021-08-05T00:00:00.000","3127179.75","10056845.269999996","6118 FAIRWAY ST
AUSTIN, TX 78741
(3127179.75, 10056845.269999996)","0307150617"
"2014-049581 OL","Closed","6118 FAIRWAY ST","AUSTIN","TX","78741","125","NOV Sent","2021-08-05T00:00:00.000","3127179.75","10056845.269999996","6118 FAIRWAY ST
AUSTIN, TX 78741
(3127179.75, 10056845.269999996)","0307150617"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","NOV Sent","2021-11-24T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2016-035997 OL","Active","8404 GARCREEK CIR","AUSTIN","TX","78724","4","Inspection Performed","2021-11-23T00:00:00.000","3149935","10081264","8404 GARCREEK CIR
AUSTIN, TX 78724
(3149935.0, 10081264)","0217380327"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-23T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2018-161485 OL","Active","1026 CLAYTON LN","AUSTIN","TX","78723","176","NOV Sent","2021-06-11T00:00:00.000","3126017.55","10089888.36","1026 CLAYTON LN
AUSTIN, TX 78723
(3126017.55, 10089888.36)","0225150335"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-24T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-22T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-24T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","Inspection Performed","2021-11-24T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2015-119115 OL","Closed","8600 N LAMAR BLVD","AUSTIN","TX","78758","476","Inspection Performed","2021-11-23T00:00:00.000","3125710.4899999946","10102520.14","8600 N LAMAR BLVD
AUSTIN, TX 78758
(3125710.4899999946, 10102520.14)","0238150805"
"2014-049579 OL","Active","1901 WILLOW CREEK DR","AUSTIN","TX","78741","256","Inspection Performed","2021-10-21T00:00:00.000","3119315.5","10058457","1901 WILLOW CREEK DR
AUSTIN, TX 78741
(3119315.5, 10058457)","0306070104"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2021-11-23T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2018-151137 OL","Active","5800 WELLINGTON DR","AUSTIN","TX","78723","86","Inspection Performed","2022-03-14T00:00:00.000","3131148.5","10086648","5800 WELLINGTON DR
AUSTIN, TX 78723
(3131148.5, 10086648)","0221190711"
"2017-126281 OL","Active","9024 NORTHGATE BLVD","AUSTIN","TX","78758","416","NOV Sent","2021-06-10T00:00:00.000","3121526","10108096","9024 NORTHGATE BLVD
AUSTIN, TX 78758
(3121526.0, 10108096)","0243100803"
"2015-144967 OL","Closed","1500 REAGAN HILL DR","AUSTIN","TX","78752","178","Inspection Performed","2021-06-11T00:00:00.000","3130452.25","10092522","1500 REAGAN HILL DR
AUSTIN, TX 78752
(3130452.25, 10092522)","0227190806"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2019-232660 OL","Suspended","8412 GARCREEK CIR","AUSTIN","TX","78724","4","Inspection Performed","2021-06-08T00:00:00.000","3150227","10081398","8412 GARCREEK CIR
AUSTIN, TX 78724
(3150227.0, 10081398)","0217380323"
"2016-036004 OL","Closed","6903 WENTWORTH DR","AUSTIN","TX","78724","4","Inspection Performed","2021-06-09T00:00:00.000","3149860.25","10081415","6903 WENTWORTH DR
AUSTIN, TX 78724
(3149860.25, 10081415)","0217380309"
"2017-126240 OL","Suspended","1118 AZIE MORTON RD","AUSTIN","TX","78704","3","Inspection Performed","2021-06-11T00:00:00.000","3105189","10067534","1118 AZIE MORTON RD
AUSTIN, TX 78704
(3105189.0, 10067534)","0103061116"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-08T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2017-126234 OL","Active","1190 AIRPORT BLVD","AUSTIN","TX","78702","130","Inspection Performed","2021-06-09T00:00:00.000","3127440.519999996","10073640.510000005","1190 AIRPORT BLVD
AUSTIN, TX 78702
(3127440.519999996, 10073640.510000005)","0209150202"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-08T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","Inspection Performed","2021-06-11T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-10T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-08T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2017-126281 OL","Active","9024 NORTHGATE BLVD","AUSTIN","TX","78758","416","Inspection Performed","2021-06-08T00:00:00.000","3121526","10108096","9024 NORTHGATE BLVD
AUSTIN, TX 78758
(3121526.0, 10108096)","0243100803"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2020-139645 OL","Active","8402 GARCREEK CIR","AUSTIN","TX","78724","4","Inspection Performed","2021-06-08T00:00:00.000","3149859.5","10081222","8402 GARCREEK CIR
AUSTIN, TX 78724
(3149859.5, 10081222)","0217380328"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-08T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","Inspection Performed","2021-06-10T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2017-126240 OL","Suspended","1118 AZIE MORTON RD","AUSTIN","TX","78704","3","Inspection Performed","2021-06-09T00:00:00.000","3105189","10067534","1118 AZIE MORTON RD
AUSTIN, TX 78704
(3105189.0, 10067534)","0103061116"
"2019-232660 OL","Suspended","8412 GARCREEK CIR","AUSTIN","TX","78724","4","Inspection Performed","2021-06-08T00:00:00.000","3150227","10081398","8412 GARCREEK CIR
AUSTIN, TX 78724
(3150227.0, 10081398)","0217380323"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-08T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2021-134860 OL","Active","8600 N LAMAR BLVD","AUSTIN","TX","78758","476","Inspection Performed","2021-11-23T00:00:00.000","3125710.4899999946","10102520.14","8600 N LAMAR BLVD
AUSTIN, TX 78758
(3125710.4899999946, 10102520.14)","0238150805"
"2014-032498 OL","Active","7201 WOOD HOLLOW DR","AUSTIN","TX","78731","390","NOV Sent","2018-06-28T00:00:00.000","3111009.8900000006","10102787.189999998","7201 WOOD HOLLOW DR
AUSTIN, TX 78731
(3111009.8900000006, 10102787.189999998)","0239010104"
"2022-021799 OL","Active","2801 COLLINS CREEK DR","AUSTIN","TX","78741","278","Inspection Performed","2020-12-03T00:00:00.000","3118624.599999994","10055212.879999995","2801 COLLINS CREEK DR
AUSTIN, TX 78741
(3118624.599999994, 10055212.879999995)","0309061001"
"2020-139653 OL","Active","8800 N IH 35 SVRD SB","AUSTIN","TX","78753","504","NOV Sent","2020-06-04T00:00:00.000","3129362.599999994","10101733.930000007","8800 N IH
AUSTIN, TX 78753
(3129362.599999994, 10101733.930000007)","0236170117"
"2014-057017 OL","Suspended","1512 WHELESS LN","AUSTIN","TX","78723","32","NOV Sent","2014-03-05T00:00:00.000","3129873.75","10089955","1512 WHELESS LN
AUSTIN, TX 78723
(3129873.75, 10089955)","0226170414"
"2022-021611 OL","Active","1319 MC KIE DR","AUSTIN","TX","78752","49","Inspection Performed","2022-07-06T00:00:00.000","3130048.5","10093383","1319 MC KIE DR
AUSTIN, TX 78752
(3130048.5, 10093383)","0229190901"
"2015-144185 OL","Active","1007 E RUNDBERG LN","AUSTIN","TX","78753","112","Inspection Performed","2021-06-11T00:00:00.000","3132081.5","10103006","1007 E RUNDBERG LN
AUSTIN, TX 78753
(3132081.5, 10103006)","0239200901"
"2017-126281 OL","Active","9024 NORTHGATE BLVD","AUSTIN","TX","78758","416","Inspection Performed","2021-06-10T00:00:00.000","3121526","10108096","9024 NORTHGATE BLVD
AUSTIN, TX 78758
(3121526.0, 10108096)","0243100803"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-08T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-08T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","Inspection Performed","2021-06-10T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2016-035997 OL","Active","8404 GARCREEK CIR","AUSTIN","TX","78724","4","Inspection Performed","2021-06-08T00:00:00.000","3149935","10081264","8404 GARCREEK CIR
AUSTIN, TX 78724
(3149935.0, 10081264)","0217380327"
"2014-049581 OL","Closed","6118 FAIRWAY ST","AUSTIN","TX","78741","125","Inspection Performed","2021-11-22T00:00:00.000","3127179.75","10056845.269999996","6118 FAIRWAY ST
AUSTIN, TX 78741
(3127179.75, 10056845.269999996)","0307150617"
"2020-139578 OL","Active","1500 REAGAN HILL DR","AUSTIN","TX","78752","178","Inspection Performed","2021-06-11T00:00:00.000","3130452.25","10092522","1500 REAGAN HILL DR
AUSTIN, TX 78752
(3130452.25, 10092522)","0227190806"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-09T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2016-035176 OL","Active","1704 NELMS DR","AUSTIN","TX","78744","382","NOV Sent","2021-06-10T00:00:00.000","3107921.62","10043296.25","1704 NELMS DR
AUSTIN, TX 78744
(3107921.62, 10043296.25)","0422060203"
"2020-139607 OL","Active","4411 AIRPORT BLVD","AUSTIN","TX","78722","89","Inspection Performed","2021-06-08T00:00:00.000","3123316.9599999934","10083006.739999995","4411 AIRPORT BLVD
AUSTIN, TX 78722
(3123316.9599999934, 10083006.739999995)","0218110101"
"2020-041835 OL","Active","8900 N IH 35 SVRD SB","AUSTIN","TX","78753","336","Inspection Performed","2021-11-24T00:00:00.000","3129387.9099999964","10102200.349999994","8900 N IH
AUSTIN, TX 78753
(3129387.9099999964, 10102200.349999994)","0234111501"
"2015-144698 OL","Closed","1515 WICKERSHAM LN","AUSTIN","TX","78741","270","Inspection Performed","2012-08-20T00:00:00.000","3122306","10058898","1515 WICKERSHAM LN
AUSTIN, TX 78741
(3122306.0, 10058898)","0307110121"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2019-04-24T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2018-163216 OL","Closed","1809 W RUNDBERG LN","AUSTIN","TX","78758","78","NOV Sent","2019-06-25T00:00:00.000","3122356.25","10108459","1809 W RUNDBERG LN
AUSTIN, TX 78758
(3122356.25, 10108459)","0244121501"
"2014-049579 OL","Active","1901 WILLOW CREEK DR","AUSTIN","TX","78741","256","NOV Sent","2020-03-18T00:00:00.000","3119315.5","10058457","1901 WILLOW CREEK DR
AUSTIN, TX 78741
(3119315.5, 10058457)","0306070104"
"2017-126078 OL","Active","9200 NORTH PLZ","AUSTIN","TX","78753","420","Inspection Performed","2018-11-28T00:00:00.000","3131540.5","10102640","9200 NORTH PLZ
AUSTIN, TX 78753
(3131540.5, 1.010264E+7)","0239200804"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2019-03-11T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2014-031137 OL","Active","1516 BURTON DR","AUSTIN","TX","78741","536","Inspection Performed","2020-08-27T00:00:00.000","3119061.9599999934","10060239.939999998","1516 BURTON DR
AUSTIN, TX 78741
(3119061.9599999934, 10060239.939999998)","0304070701"
"2017-126275 OL","Active","1301 W BEN WHITE BLVD SVRD EB","AUSTIN","TX","78745","33","Inspection Performed","2017-12-04T00:00:00.000","3102867.25","10055574","1301 W BEN WHITE BLVD
AUSTIN, TX 78745
(3102867.25, 10055574)","0409100229"
"2014-118066 OL","Active","1630 RUTLAND DR","AUSTIN","TX","78758","240","Inspection Performed","2019-03-11T00:00:00.000","3123027.5","10109223","1630 RUTLAND DR
AUSTIN, TX 78758
(3123027.5, 10109223)","0244120438"
"2015-112945 OL","Closed","7418 CAMERON RD","AUSTIN","TX","78752","38","Inspection Performed","2018-10-22T00:00:00.000","3130312","10093656","7418 CAMERON RD
AUSTIN, TX 78752
(3130312.0, 10093656)","0229190205"
"2019-164450 OL","Closed","911 BATTLE BEND BLVD","AUSTIN","TX","78745","70","NOV Sent","2020-09-28T00:00:00.000","3108412.25","10047115","911 BATTLE BEND BLVD
AUSTIN, TX 78745
(3108412.25, 10047115)","0417050732"
"2022-021799 OL","Active","2801 COLLINS CREEK DR","AUSTIN","TX","78741","278","Inspection Performed","2020-09-26T00:00:00.000","3118624.599999994","10055212.879999995","2801 COLLINS CREEK DR
AUSTIN, TX 78741
(3118624.599999994, 10055212.879999995)","0309061001"
"2017-126240 OL","Suspended","1118 AZIE MORTON RD","AUSTIN","TX","78704","3","Inspection Performed","2021-06-09T00:00:00.000","3105189","10067534","1118 AZIE MORTON RD
AUSTIN, TX 78704
(3105189.0, 10067534)","0103061116"
