"timestamp","how_likely_would_you_be_to_recommend_working_with_the_innovation_office_to_others","what_feedback_do_you_want_to_give_the_innovation_office_for_example_what_we_do_well_what_should_we_do_differently","what_services_did_the_innovation_office_provide_for_you_in_the_past_year_select_all_that_are_applicable","department_office_organization_optional","what_changes_if_any_have_you_observed_in_your_organization_team_project_since_working_with_us"
"2016-11-28T15:29:37.000","10","The exposure to the tools the IO has provided is excellent. The opportunity to work collaboratively across the organization is also very helpful. The IO is spread very thin, and as much as I think y'all would like to get involved in projects you are do not appear to have the bandwidth to do so. Having some kind of an innovation council or user group that met regularly might allow a larger number of employees to be exposed to the tools. ","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Sponsorship to attend training/conference, Setting up a Bloomfire knowledge management community","Organization Development","My team has used the tools and resources provided in virtually all of our work--we add new pieces into our toolbox each time one of us has an opportunity to learn about a new tool. "
"2016-11-28T15:31:13.000","10","I think this was a helpful team building exercise. ","Skills workshop(s)/training(s)","Downtown Austin Community Court","I think most staff members understood each others work styles/profiles prior to the meeting but it was helpful to see how strong  some of the personality traits were for some staff members.  This has been helpful to better understand how to work together as a team. "
"2016-11-28T15:48:43.000","10","Everyone is very responsive and really looking to move the project forward.  ","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Design research, Setting up a Bloomfire knowledge management community","EMS","I think there is a better understanding of the process of solving problems.  "
"2016-11-28T21:25:24.000","10","You guys are magnificent!  Each and every one of you!  Because of the current political climate in our particular profession - (police), our supervisory and managerial staff are understandably very risk averse.  No one wants to be singled out for taking a chance and finding that it is not supported up the chain of command or that it is criticized by the community.  Our police staff have to be more focused upon protecting their careers by not doing anything wrong, than focused upon advancing the profession with new and innovative ideas.  

Your Idea Accelerator was wonderful in injecting energy and possibilities into our world.  The fact that you simply asked us, here at the bottom of the pyramid, what we would like to do if given the support, the guidance, and the resources was enough to spark our creative juices and make us feel like we are important, intelligent beings who can come up with creative ideas to move our City forward.  The fact that you simply asked the question, and that you were willing to take our responses seriously was, in and of itself, a great morale boost.

You also removed many layers of bureaucracy that would have quickly snuffed the life out of any idea that I might have had on my own.  

Your office generates a fountain of  energy that is contagious and that breathes life into the system.   And you have concrete skills and tools that can help make things actually happen.  

Thank you for what you are doing, and thanks to the City of Austin staff who put this all in place.  Keep it up the good work! ","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project",,"Other staff have listened to our description of the project and have jumped on board and pitched in.  I am definitely feeling the ripple effects of the energy you put in to this and it is still rippling outward.  I no longer have to rely only to you for support, but my co-workers and supervisory staff are now enthusiastically a part of this project.  There is a lot of work ahead but we are already gaining from what is happening.  Thanks!"
"2016-11-29T08:04:37.000","10","Some of the Idea Accelerator questions seemed a bit redundant.  If at all possible, may want to streamline for next year.     However, this is just a minor issue. The IA program is fantastic.   Working with Daniel Honker and other Innovation office staff was a great pleasure.  They are very knowledgeable, professional, and so much fun.  They are rock stars!","Coaching/mentoring, Skills workshop(s)/training(s), Idea Accelerator project support","Financial Services / Capital COntracting Office (CCO) ","With their help I was able to get a new perspective of our processes through fresh eyes.  Cannot wait to implement the process improvements we planned to be more effective and efficient in providing services to our customers.  Thank you Innovation Office!"
"2016-11-29T08:31:28.000","10","None","I don't recall",,"None"
"2016-11-29T10:44:15.000","10","Show a genuine concern and desire for improving processes and systems.","Design research, Sponsorship to attend training/conference","DSD IT","Project is in the early stages but the Fellows' work is comprehensive and promising."
"2016-11-29T12:52:26.000","10","You listen well and are able to bring in different ways of stating what is said so that we actually hear what we are saying.","Consulting on a particular challenge/project, Facilitation of group sessions",,"Better communication."
"2016-11-30T13:13:46.000","10","I think your competitive selection process for training opportunities and consulting services is a great idea and effective. I think it would be helpful to have follow-up sessions to the training you offer to help answer questions we run into while practicing our new skills/knowledge. ","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Facilitation of group sessions, Sponsorship to attend training/conference, Setting up a Bloomfire knowledge management community","CTM, GIS","Design thinking and strategic cocreation are better understood and have been embraced by the GIS division in CTM and the Geographic Information Management Operating Board. They have also gained increased empathy for their customers/users needs through exposure to design thinking principles. The cocreation process has also increased transparency of board initiative/project prioritization."
"2016-12-01T11:48:40.000","10","Great resource for new tools to observe and evaluate our departments. Would like more folks to engage with your team so that fresh ideas can be generated.","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Facilitation of group sessions, Design research, Sponsorship to attend training/conference","Austin Energy Green Building","Looking at the bigger picture from a narrative perspective. More open-minded/team planning."
"2016-11-18T15:01:52.000","9","The Basadur exercise was well delivered by Daniel Honker.  Very organized - even in a limited time frame.  Daniel delivered the perfect amount of info within the time allotted.
We needed more time to have the full benefits of the exercise. ","Facilitation of group sessions",,"Great feedback - women who attended really enjoyed the process and have commented on their use in everyday problem solving."
"2016-11-28T15:39:54.000","9","Good at explaining your services, especially letting people know y'all will help, but someone else needs to champion the idea/effort. 
Y'all are good at approaching things differently; using graphics to describe things; and a general friendly and positive attitude. ","Coaching/mentoring, Consulting on a particular challenge/project, Facilitation of group sessions, Setting up a Bloomfire knowledge management community, idea accelerator ","Planning and Zoning ","Our dept's typical one year process can be cut down to two months with the Innovation Office's help."
"2016-11-28T16:17:30.000","9","I felt the entire Innovation group was very involved and concerned with making our project a success. It was an enormous process, and you were great at keeping the momentum going! Well done!! Suggestioned improvements for version 2.0: Some procedures were not as clear as they could have been. Through conversations with your office and through your online material I had certain understandings about how things would happen, only to later find out in key instances that was not the case, ie. funding procedures, timeframe to get consults with fellows. I also personally found the website to be hard to negotiate.","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Facilitation of group sessions","CPIO","Our project is going great, but a bit slow.  Most of my team has only been given small amounts of time to work on this during work (we are using that for team meetings). Bulk of the project has been done on our own time. I do not believe that our team's departments fully perceive the value of the Idea Accelerator (CPIO, CODE, APD, CTM is the exception).  Our team is very grateful to have been given a chance to work on a larger meaningful project, to be able to use our creativity and to work outside our normal job descriptions. Thanks!!!!"
"2016-11-18T13:51:54.000","8","Provide a shorter turn around for projects.  This first year there was quite a bit of academic/learning progress made which was needed as a new office and to set a baseline.  Within EMS we have to be very agile and make changes quickly and at times it seemed like we were having to make changes quicker that the project was making, concluding or performing.","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Facilitation of group sessions, Design research, Setting up a Bloomfire knowledge management community","Austin - Travis County EMS","Still working through the project.  With this project, it mandates cultural changes that may take an extended period of time. "
"2016-11-18T14:01:48.000","8","Always the enjoy the creative energy of the folks and the spaces. Getting a handle on the jargon takes a bit of getting used to (that is as much a quibble I can find; its not like other city groups don't have their own lingo). ","Skills workshop(s)/training(s), Facilitation of group sessions",,"We'll see what the work product leads to. "
"2016-11-18T14:10:27.000","8","The I.O. does a great job of convening the conversation, generating the buzz and getting exposure in front of CMO","Facilitation of group sessions","PWD/Office of the City Architect","Excitement, enthusiasm, a breath of fresh air"
"2016-11-18T17:29:23.000","8","The team does really well in facilitating User Stories/Empathy Mapping and helping solve big problems by having folks view different perspectives and approaches. ","Consulting on a particular challenge/project, Facilitation of group sessions",,"I think the team is great and enthusiastic, but sometimes the overload on articles or new trends in technology/innovation is a lot. Focusing on a monthly newsletter or aggregating article and distributing in a bite-size editorial would be nice. The one article being cross-posted over the course of two to three days on other Bloomfire sites clogs up communities sometimes hinders folks from reading important peer articles or questions from their work group/community."
"2016-11-20T17:49:54.000","8","I find that many people are not familiar with social innovation processes. Too much innovation-speak has a tendency to lose people. It's about collaborating, which many are already doing, but doing it a little differently.","Coaching/mentoring, Consulting on a particular challenge/project, Facilitation of group sessions, Design research, Sponsorship to attend training/conference, Setting up a Bloomfire knowledge management community",,"People have come to believe in the processes."
"2016-11-21T09:59:54.000","8","Facilitation is great, translating discussion to action steps (other than your own documentation process) leaves room for improvement","Coaching/mentoring, Skills workshop(s)/training(s), Facilitation of group sessions, Design research, Setting up a Bloomfire knowledge management community",,"Very supportive of team growth"
"2016-11-28T19:38:38.000","8","-","Skills workshop(s)/training(s), Consulting on a particular challenge/project, Facilitation of group sessions, Sponsorship to attend training/conference",,"-"
"2016-11-29T13:19:18.000","8","You guys are great at listening and asking good questions. Area for opportunity and is getting back to people and transitioning from providing the information/training to passing the torch when the client is ready. I think there could be some improvements in transition and making it more supportive. ","Skills workshop(s)/training(s), Setting up a Bloomfire knowledge management community",,"N/A"
"2016-11-22T14:43:43.000","7","Define the purpose of the office more clearly, i.e. facilitate opportunities for staff to develop innovation business process vs. develop innovative business processes and create organizational efficiencies.","Professional Opportunities",,"Slowly trying to adopt new technologies."
"2016-11-29T16:34:10.000","7","The Office has done a great job at the grassroots level--getting people energized and inspired about what Innovation methods offer in helping drive the organization forward. There are some areas of collaborating across teams that could be improved--making sure everyone is coordinating effectively to achieve common goals.","Coaching/mentoring, Skills workshop(s)/training(s), Consulting on a particular challenge/project, Facilitation of group sessions, Sponsorship to attend training/conference, Setting up a Bloomfire knowledge management community","CTM","A much greater awareness of ""the possible"" and actually learning the tools and methods to implement. A great positive change in the vocabulary and culture. "
"2016-11-18T13:49:02.000","5","Excellent at user research and moderation for City projects. A Bloomfire alternative with better design and functionality would be wonderful.","Facilitation of group sessions, Setting up a Bloomfire knowledge management community, A wonderful fellow! Support for Idea Accelerator work, organization of UX community of practice. ",,"Increased understanding user-centered design methods."
