Zone,Business Name,Phone,status,Oil,Oil Filter,Fluids,Tires,Batteries,Newspapers,Scrap Metal,Aluminum,Address,Zip Code,Zip Codes,Single Member Council Districts
Southeast,AutoZone,512-441-0712,1,Yes,Yes,,,Yes,,,,"1941 William Cannon Dr
Austin, Texas 78744
(30.187940967000486, -97.7640910129997)",78744,3258,2
South,AutoZone,512-291-9156,1,Yes,Yes,,,Yes,,,,"9509 Manchaca Rd
Austin, Texas 78748
(30.17674078300047, -97.82212110499967)",78748,3637,5
Northwest,AutoZone,512-335-3761,1,Yes,,,,,,,,"13450 Hwy
N Austin, Texas 78750
(30.431592304000446, -97.80136937099968)",78750,3639,6
South,AutoZone,512-447-3966,1,Yes,,,,,,,,"730 Stassney Ln
Austin, Texas 78745
(30.209010451000438, -97.78277066299967)",78745,3259,2
North,AutoZone,512-835-4748,1,Yes,,,,Yes,,,,"9905 Lamar Blvd
Austin, Texas 78753
(30.36886082300049, -97.69378104699967)",78753,3642,4
South,AutoZone,512-447-7078,1,Yes,,,,,,,,"2602 Congress Ave
Austin, Texas 78704
(30.236393459000453, -97.75564617599969)",78704,2859,3
East,AutoZone,512-477-3547,1,Yes,,,,,,,,"2735 7th St
Austin, Texas 78702
(30.260458084000447, -97.7109033479997)",78702,2857,3
East,Beaman Metal Co,512-385-6935,1,,,,,Yes,,Yes,,"409 5th St
Austin, Texas 78702
(30.251130146000435, -97.69682873899967)",78702,2857,3
West,Bee Cave Automotive,512-263-5082,1,Yes,Yes,,,Yes,,,,"14417 Hwy
W Austin, Texas 78738
(30.320803354000475, -97.96173917899966)",78738,3254,
North,Broz Automotive,512-453-2221,1,Yes,Yes,,,,,,,"7430 Burnett Rd
Austin, Texas 78757
(30.350220351000473, -97.7345004019997)",78757,3645,7
Northwest,Budget Lube & Car Wash,512-258-5545,1,Yes,Yes,,,Yes,,,,"8661 Spicewood Springs Rd
Austin, Texas 78750
(30.433691234000435, -97.77164139999968)",78750,3639,6
West,Charlie & Ann's Exxon,512-452-5422,1,Yes,,,,,,,,"5400 Balcones Dr
Austin, Texas 78731
(30.336061105000454, -97.75808070799968)",78731,3247,10
Southeast,City of Austin Landfill,512-243-1894,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"10108 Fm
Austin, Texas 78719
(30.136601191000466, -97.67324819399965)",78719,2863,
North,C Mc Metal Recycling,512--251-3407,1,,Yes,,,Yes,,Yes,,"1704 Howard Ln
Austin, Texas 78728
(30.42840301500047, -97.67969680999965)",78728,3244,
South,Commercial Metals,512-442-2384,1,,,,,Yes,,Yes,Yes,"710 Industrial Blvd
Austin, Texas 78745
(30.21499079600045, -97.75729024199967)",78745,3259,3
Northwest,"Covert Ford, Inc",512-345-6070,1,Yes,Yes,,,Yes,,,,"11514 Research Blvd
Austin, Texas 78758
(30.412896958000488, -97.7461896799997)",78758,3647,10
North,DNT Recycling,512-467-0063,1,,Yes,,,,,,,"629 St Jon's Ave
Austin, Texas 78752
(30.33232196300048, -97.7038066179997)",78752,3641,4
East,"Don A. Stewart, Inc",512-385-0510,1,Yes,Yes,,,Yes,,,,"7110 Ben White Blvd
Austin, Texas 78741
(30.21540100800047, -97.70005061499967)",78741,3256,3
Central,Ecology Action of Texas,512-322-5129,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"707 9th St
Austin, Texas 78701
(30.268770119000465, -97.73432064499968)",78701,2856,9
South,Econo Lube'N Tune,512-443-2122,1,Yes,Yes,,,Yes,,,,"2712 William Cannon Dr
Austin, Texas 78745
(30.20779018300044, -97.81683097699965)",78745,3259,5
East,Fleet Maintenance of Texas,512-477-3900,1,Yes,Yes,,,Yes,,,,"4812 7th St
Austin, Texas 78702
(30.254520995000462, -97.69940072799966)",78702,2857,3
North,Friendly Car Care,512-821-3300,1,Yes,Yes,,,,,,,"9110 Burnett Rd
Austin, Texas 78758
(30.375020924000466, -97.72606108599967)",78758,3646,7
East,Gardner Iron & Metal,512-477-3900,1,,,,,,,Yes,Yes,"1201 4th St
Austin, Texas 78702
(30.262550098000474, -97.73126018299968)",78702,2857,3
North,"Gordon Automotive, Inc",512-374-4100,1,Yes,Yes,,,Yes,,,,"8526 Burnett Rd
Austin, Texas 78757
(30.366959127000484, -97.7280261999997)",78757,3645,7
North,"Gordon Automotive, Inc",512-458-4245,1,Yes,Yes,,,Yes,,,,"8518 Burnet Rd
Austin, Texas 78757
(30.366883464000466, -97.72804667099967)",78757,3645,7
Southwest,Homann's Automotive,512-288-1298,1,Yes,Yes,,,Yes,,,,"8917 Circle Dr
Austin, Texas 78736
(30.23602110200045, -97.91410089399966)",78736,3252,
Southeast,Home Chemical Collection,512-974-4343,1,Yes,Yes,,,Yes,,,,"2514 Business Center Dr
Austin, Texas 78744
(30.21303076400045, -97.73832021699968)",78744,3258,2
South,Jiffy Lube,512-280-5823,1,Yes,Yes,,,Yes,,,,"8602 Brodie Ln
Austin, Texas 78745
(30.197620138000445, -97.84079038399966)",78745,3259,5
East,Jiffy Lube,512-445-2777,1,Yes,Yes,,,,,,,"1806 Riverside Dr
Austin, Texas 78741
(30.24331044000047, -97.72930015099968)",78741,3256,3
Northwest,Jiffy Lube,512-250-1515,1,Yes,Yes,,,,,,,"12621 Research Blvd
Austin, Texas 78759
(30.431780113000457, -97.76365347099966)",78759,3647,6
Northwest,Jiffy Lube,512-258-5075,1,Yes,,,,,,,,"13781 Hwy
N Austin, Texas 78750
(30.431592304000446, -97.80136937099968)",78750,3639,6
Northwest,Jiffy Lube,512-250-5150,1,Yes,Yes,,,,,,,"12212 FM
Austin, Texas 78758
(30.383593028000462, -97.7079865129997)",78758,3646,4
North,Jiffy Lube,512-832-8384,1,Yes,Yes,,,,,,,"1649 Ohlen Rd
Austin, Texas 78758
(30.36349003500044, -97.7164510509997)",78758,3646,4
North,Jiffy Lube,512-451-9709,1,Yes,Yes,,,,,,,"2711 Anderson Ln
Unit B Austin, Texas 78757
(30.358378924000476, -97.73575188899969)",78757,3645,7
North,Jiffy Lube,512-459-6434,1,Yes,Yes,,,,,,,"8725 Burnett Rd
Austin, Texas 78757
(30.370100678000483, -97.72718110399967)",78757,3645,7
North,Jiffy Lube,512-835-5823,1,Yes,Yes,,,,,,,"10111 Lamar Blvd
Unit B Austin, Texas 78753
(30.370960281000464, -97.6925803689997)",78753,3646,4
North,Jiffy Lube,512-836-3344,1,Yes,Yes,,,,,,,"10300 Lamar Blvd
Austin, Texas 78753
(30.37197083300049, -97.69201114099968)",78753,3646,4
North,Jiffy Lube,512-832-8384,1,Yes,Yes,,,,,,,"2516 Parmer Ln
Austin, Texas 78727
(30.41937112000045, -97.70258102699967)",78727,3646,7
North,Jiffy Lube,512-454-5823,1,Yes,Yes,,,,,,,"8509 Burnett Rd
Austin, Texas 78757
(30.36625546400046, -97.72815235999968)",78757,3645,7
Central,Jiffy Lube,512-451-3708,1,Yes,Yes,,,,,,,"3807 Guadalupe St
Austin, Texas 78751
(30.30295193900048, -97.73799574399965)",78751,2860,9
South,Jiffy Lube,512-442-0909,1,Yes,Yes,,,,,,,"1705 Ben White Blvd
Austin, Texas 78704
(30.22833076900048, -97.78585071299966)",78704,3259,5
Central,Jiffy Lube,512-451-3708,1,Yes,Yes,,,,,,,"3809 Gudalupe St
Austin, Texas 78751
(30.303010190000464, -97.73800103499968)",78751,2860,9
Central,Jiffy Lube,512-452-5773,1,Yes,Yes,,,,,,,"3401 Lamar Blvd
Austin, Texas 78705
(30.30296064200047, -97.74454023799967)",78705,2860,9
South,Jiffy Lube,512-292-9177,1,Yes,Yes,,,,,,,"9919 Manchaca Rd
Austin, Texas 78748
(30.172950925000464, -97.8240603969997)",78748,3637,5
South,Jiffy Lube,512-442-5823,1,Yes,Yes,,,,,,,"1111 William Cannon Dr
Austin, Texas 78745
(30.19933012600046, -97.79545037799966)",78745,3259,2
South,Jiffy Lube,512-444-5823,1,Yes,Yes,,,,,,,"1401 Lamar Blvd
Austin, Texas 78704
(30.25333068700047, -97.76318070999969)",78704,2859,5
West,Jiffy Lube,512-327-5736,1,Yes,Yes,,,,,,,"2826 FM
Austin, Texas 78727
(30.425852552000435, -97.71630719899969)",78727,3243,7
West,Lakeway Service Center,512-261-6633,1,Yes,Yes,,Yes,Yes,,,,"2200 Lakeway Blvd
Lakeway, Texas 78734
(30.357450922000453, -97.9797210699997)",78734,3250,
West,Lamb's Tire & Automtoive,512-345-6600,1,Yes,Yes,,Yes,,,,,"3564 Far West Blvd
Austin, Texas 78731
(30.35396065900045, -97.75413068399968)",78731,3247,10
East,Leo's Station,512-926-4110,1,Yes,Yes,,Yes,Yes,,,,"1149 Airport Blvd
Austin, Texas 78702
(30.273220233000472, -97.69781057899968)",78702,2864,3
South,Lube Pit Stop,512-444-8563,1,Yes,Yes,,,Yes,,,,"1951 Oltorf St
Austin, Texas 78741
(30.23095105900046, -97.73379059599966)",78741,3256,3
Southwest,Lube Pit Stop,512-892-7426,1,Yes,Yes,,,Yes,,,,"6410 Hwy
W Austin, Texas 78735
(30.254103175000466, -97.86540606199969)",78735,3251,8
South,Lube Pit Stop Fleet Service,512-440-1892,1,Yes,Yes,,,Yes,,,,"2223 Lamar Blvd
Austin, Texas 78704
(30.247410260000436, -97.77423109799969)",78704,2859,5
Northwest,MoPac Carwash & Lube,512-346-0438,1,Yes,Yes,,,,,,,"8650 MoPac Expy
Austin, Texas 78759
(30.374690219000456, -97.74043004699968)",78759,3647,10
North,National Transmission Center,512-459-6434,1,Yes,,,,,,,,"6506 Burnett Rd
Austin, Texas 78757
(30.34116110700046, -97.73881108999967)",78757,3645,7
Central,North Austin Recycling Center,512-385-9154,1,,Yes,,,,,,Yes,"3409 5th St
Austin, Texas 78702
(30.25443111700048, -97.7047807349997)",78702,2857,3
Southwest,Oak Hill Automotive,512-288-3366,1,Yes,Yes,,,Yes,,,,"9301 Hwy
W Austin, Texas 78735
(30.254103175000466, -97.86540606199969)",78735,3251,8
Southwest,Oak Hill Automotive,512-891-9975,1,Yes,Yes,,,Yes,,,,"5526 Hwy
W Austin, Texas 78735
(30.254103175000466, -97.86540606199969)",78735,3251,8
Central,Oil Works,512-459-7775,1,Yes,Yes,,,,,,,"4721 Airport Blvd
Austin, Texas 78751
(30.30732087800044, -97.71572050299966)",78751,3640,9
East,O'Reilly Auto Parts,512-442-2729,1,Yes,Yes,,,Yes,,,,"2505 Riverside Dr
Austin, Texas 78741
(30.23450008800046, -97.72412064199966)",78741,3256,3
East,O'Reilly Auto Parts,512-453-2256,1,Yes,Yes,,,,,,,"3909 IH
Austin, Texas 78722
(30.288663348000455, -97.71564675799965)",78722,2865,9
East,O'Reilly Auto Parts,512-928-8171,1,Yes,Yes,,,Yes,,,,"7112 Ed Bluestein Blvd
Austin, Texas 78723
(30.313183780000486, -97.66294169999969)",78723,3239,1
South,O'Reilly Auto Parts,512-280-5201,1,Yes,Yes,,,,,,,"9505 Manchaca Rd
Austin, Texas 78748
(30.177100295000457, -97.82190101899965)",78748,3637,5
Northwest,O'Reilly Auto Parts,512-219-7071,1,Yes,,,Yes,,,,,"13776 Hwy
Austin, Texas 78750
(30.431592304000446, -97.80136937099968)",78750,3639,6
North,O'Reilly Auto Parts,512-491-0021,1,Yes,,,,,,,,"8339 Research Blvd
Austin, Texas 78758
(30.357130588000473, -97.7155407469997)",78758,3646,4
South,O'Reilly Auto Parts,512-416-0802,1,Yes,Yes,,,,,,,"2409 Congress Ave
Austin, Texas 78704
(30.238228581000442, -97.75399616699968)",78704,2859,3
North,Pep Boys #749,512-339-1144,1,Yes,Yes,,Yes,Yes,,,,"8917 Research Blvd
Austin, Texas 78758
(30.370940692000488, -97.72059004899967)",78758,3646,4
South,Pep Boys #759,512-442-2214,1,Yes,Yes,,,,,,,"3909 Lamar Blvd
Austin, Texas 78704
(30.237100790000454, -97.79141047599967)",78704,2859,5
Northwest,Pep Boys #797,512-250-9293,1,Yes,Yes,,Yes,,,,,"13729 Research Blvd
Austin, Texas 78750
(30.458510696000474, -97.79239106799969)",78750,3639,6
South,Quick Lube,512-447-2556,1,Yes,Yes,,,Yes,,,,"6300 Manchaca Rd
Austin, Texas 78745
(30.209320415000434, -97.80440015499966)",78745,3259,5
South,"Rising Sun, Inc.",512-453-6292,1,Yes,Yes,,,Yes,,,,"1001 Lamar Blvd
Austin, Texas 78704
(30.25590027600049, -97.76158018899969)",78704,2859,5
West,Rollingwood Shell,512-327-0624,1,,,,,Yes,,,,"2800 Bee Caves Rd
Austin, Texas 78746
(30.271221023000464, -97.78872104899966)",78746,3260,
Northwest,Sam's Club,512-219-7071,1,Yes,,,,,,,,"9700 Capital of Texas Hwy
Austin, Texas 78759
(30.390160763000438, -97.74353083799969)",78759,3647,7
West,Shell Casis Village,512-478-1905,1,Yes,Yes,,Yes,,,,,"2701 Exposition Blvd
Austin, Texas 78703
(30.303300565000484, -97.76429035699965)",78703,2858,10
South,Shell Rapid Lube,512-339-3790,1,Yes,Yes,,,Yes,,,,"9706 Bilbrook Place
Austin, Texas 78748
(30.172750429000473, -97.81697040399968)",78748,3637,5
South,Southside Recycling,512-292-1022,1,,,,,,,Yes,,"8408 Congress Ave
Austin, Texas 78748
(30.26253332300047, -97.74480622299967)",78748,2856,9
Southeast,"Special Automotive Service, Inc.",512-243-1015,1,Yes,Yes,,,Yes,,,,"10462 FM
Austin, Texas 78759
(30.401251131000436, -97.75333968099966)",78759,3647,10
West,Tarrytown Texaco,512-472-9024,1,Yes,,,Yes,Yes,,,,"2400 Exposition Blvd
Austin, Texas 78703
(30.297001037000484, -97.76802029599969)",78703,2858,10
Southeast,"TDs Texas Disposal Systems, Inc.",512-243-4100,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"3016 FM
Austin, Texas 78747
(30.136162345000457, -97.7587492129997)",78747,3261,
North,Texaco X-Press Lube,512-339-1070,1,Yes,,,,,,,,"506 Rundberg Ln
Austin, Texas 78753
(30.35916091000047, -97.68994048999969)",78753,3642,4
Southeast,Tex-Con Oil Company,512-444-1941,1,Yes,Yes,,,Yes,,,,"4906 Burleson Rd
Austin, Texas 78744
(30.21197822400046, -97.72995848699969)",78744,3258,2
East,Travis County Drop Off,512-473-9114,1,Yes,Yes,,,Yes,,,,"9301 Johnny Morris Rd
Austin, Texas 78704
(30.326210362000438, -97.6278986749997)",78704,3240,
South,Volvo Clinic-River City,512-441-1334,1,Yes,Yes,,,Yes,,,,"4201 Congress Ave
Austin, Texas 78745
(30.220960771000478, -97.76516033099966)",78745,3259,3
South,Wal-Mart,512-443-6601,1,Yes,,,Yes,Yes,,,,"710 Ben White Blvd
Austin, Texas 78704
(30.218950038000457, -97.75540049999967)",78704,2859,3
Northwest,Wal-Mart,512-257-7689,1,Yes,Yes,,,Yes,,,,"13201 FM
N Austin, Texas 78717
(30.491740216000437, -97.76430647399968)",78717,2862,6
North,Wal-Mart,512-837-0886,1,Yes,Yes,,,Yes,,,,"12900 IH
Austin, Texas 78753
(30.371752889000447, -97.6805695279997)",78753,3642,4
Northeast,Wal-Mart,512-339-0906,1,Yes,Yes,,Yes,Yes,,,,"1030 Norwood Park Blvd
Austin, Texas 78753
(30.338820821000468, -97.69273016499966)",78753,3642,4
Southwest,Wal-Mart,512-892-1779,1,Yes,Yes,,,Yes,,,,"5017 Hwy
W Austin, Texas 78746
(30.290922751000437, -97.80956839699968)",78746,3260,
South,Wal-Mart,512-292-0219,1,Yes,Yes,,,Yes,,,,"9300 IH
Austin, Texas 78748
(30.16985351800048, -97.82531904099966)",78748,3637,5
West,Westlake Auto Care,512-327-0262,1,Yes,Yes,,Yes,Yes,,,,"98 Redbud Tr
Austin, Texas 78746
(30.292312816000447, -97.79831858999967)",78746,3260,
Central,Whole Foods Market,512-476-1206,1,,,,,,Yes,,,"525 Lamar Blvd
Austin, Texas 78703
(30.27120028200045, -97.75417101399967)",78703,2858,9
