"offense_case_type","offense_date","offense_time","charges_description","offense_street_name","offense_cross_street","case_closed","agency","officer_code","race","defendant_gender"
"CO","10/10/2018","9:20 AM","CONSUMING ALCOHOL IN A PUBLIC STREET","600 Block Sabine Street",,"Y","APD","4973","White","Male"
"CM","10/10/2018","12:57 AM","SIMPLE ASSAULT BY CONTACT","Guadalupe Street","West 26th Street","Y","APD","8416","White","Male"
"TR","10/10/2018","11:08 AM","PEDESTRIAN WALKING AGAINST LIGHT","7th Street And Neches Street",,"Y","APD","7430","Hispanic","Male"
"CM","10/10/2018","11:13 PM","Possession of Drug Paraphernalia","500 East 7th Street",,"N","APD","7844","Black","Male"
"TR","10/10/2018","9:30 AM","PEDESTRIAN CROSSING MIDBLOCK","700 Block Neches Street",,"Y","APD","7430","Hispanic","Male"
"CO","10/10/2018","12:15 PM","MANIFESTING - DRUGS","600 Block Neches Street",,"Y","APD","3454","Hispanic","Male"
"CO","10/10/2018","9:56 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","East 7th Street And Neches Street",,"Y","APD","7845","Black","Female"
"CO","10/10/2018","11:00 PM","CONSUMING ALCOHOL IN A PUBLIC STREET","500 Block East 7th Street",,"N","APD","7887","Black","Male"
"TR","10/10/2018","12:35 PM","PEDESTRIAN WALKING AGAINST LIGHT","East 7th Street Ad Neches Street",,"Y","APD","7785","Black","Female"
"CM","10/10/2018","11:22 PM","Possession of Drug Paraphernalia","700 Block Neches Street",,"N","APD","7597","Black","Female"
"CM","10/10/2018","9:20 AM","CONSUMING ALCOHOL ON PREMISES","600 Block Sabine Street",,"Y","APD","4973","White","Male"
"CM","10/10/2018","10:04 PM","Possession of Drug Paraphernalia","500 Block East 7th Street",,"Y","APD","7887","Hispanic","Male"
"TR","10/10/2018","12:00 AM","PEDESTRIAN ON ROADWAY","800 Block North Ih 35",,"N","APD","5617","White","Female"
"CM","10/10/2018","11:32 PM","Possession of Drug Paraphernalia","500 East 7th Street",,"N","APD","7611","Black","Male"
"CM","10/10/2018","10:06 AM","Possession of Drug Paraphernalia","100 Block West 6th Street",,"Y","APD","7433","Black","Male"
"TR","10/11/2018","8:52 AM","PEDESTRIAN WALKING AGAINST LIGHT","Neches Street And East 7th Street",,"Y","APD","7857","White","Male"
"TR","10/11/2018","3:30 PM","PEDESTRIAN ON ROADWAY","800 Block East 6th Street",,"Y","APD","7764","White","Female"
"CM","10/11/2018","2:45 AM","Possession of Drug Paraphernalia","300 Block East 7th Street",,"Y","APD","7844","Black","Male"
"CM","10/11/2018","8:52 AM","Possession of Drug Paraphernalia","Neches Street And East 7th Street",,"Y","APD","7857","White","Male"
"CM","10/12/2018","11:45 PM","PUBLIC INTOXICATION","400 Block East 6th Street",,"Y","APD","7324","Hispanic","Female"
"CM","10/12/2018","12:00 AM","PUBLIC INTOXICATION","700 Block West 6th Street",,"Y","APD","7946","White","Male"
"CO","10/12/2018","7:00 PM","LITTERING","500 Block East 7th Street",,"Y","APD","7796","Black","Male"
"CM","10/12/2018","12:00 AM","PUBLIC INTOXICATION","East 6th Street And San Jacinto Street",,"Y","APD","7400","Black","Female"
"CM","10/12/2018","2:40 AM","PUBLIC INTOXICATION","1213 Sabine Street",,"Y","APD","8110","White","Male"
"CM","10/12/2018","12:00 AM","PUBLIC INTOXICATION","700 Block West 6th Street",,"N","APD","7946","No Data","No Data"
"CM","10/12/2018","12:00 AM","PUBLIC INTOXICATION","501 East 6th Street",,"Y","APD","7850","Hispanic","Male"
"CM","10/12/2018","12:00 AM","PUBLIC INTOXICATION","1621 East 6th Street",,"N","APD","6290","White","Male"
"CM","10/12/2018","3:37 AM","PUBLIC INTOXICATION","500 Block East 7th Street",,"Y","APD","2641","Black","Male"
"CM","10/12/2018","11:45 PM","PUBLIC INTOXICATION","400 Block East 6th Street",,"Y","APD","7804","White","Male"
"TR","10/13/2018","7:43 AM","PEDESTRIAN ON ROADWAY","500 Block North Ih 35",,"Y","APD","4495","Black","Male"
"CM","10/13/2018","1:40 AM","DISORDERLY CONDUCT - FIGHTING","401 East 6th Street",,"Y","APD","7293","Hispanic","Female"
"CO","10/14/2018","12:30 PM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","500 Block Trinity Street",,"Y","APD","6145","White","Female"
"CM","10/14/2018","12:00 AM","PUBLIC INTOXICATION","200 Block West 3rd Street",,"Y","APD","7299","White","Male"
"CO","10/14/2018","8:15 AM","CONSUMING ALCOHOL IN A PUBLIC STREET","700 Block Neches Street",,"N","APD","3968","White","Male"
"CO","10/14/2018","12:30 PM","LITTERING","500 Block Trinity Street",,"Y","APD","6145","White","Female"
"TR","10/15/2018","2:19 PM","PEDESTRIAN WALKING AGAINST LIGHT","7th Street And North Ih 35",,"N","APD","7430","Black","Male"
"CM","10/15/2018","4:00 PM","Possession of Drug Paraphernalia","500 Block Trinity Street",,"N","APD","7870","Black","Male"
"CO","10/15/2018","2:03 PM","PEDESTRIAN IN ROADWAY/CITY ORDINANCE","600 Block North Ih 35",,"Y","APD","6966","Hispanic","Male"
"CO","10/15/2018","3:40 PM","CAMPING IN A PUBLIC PLACE","522 East 6th Street",,"Y","APD","7042","White","Male"
"CO","10/15/2018","3:40 PM","CAMPING IN A PUBLIC PLACE","522 East 6th Street",,"Y","APD","7042","White","Female"
"CO","10/15/2018","2:35 PM","PEDESTRIAN IN ROADWAY/CITY ORDINANCE","600 Block North Ih 35",,"N","APD","6966","Hispanic","Male"
"CM","10/17/2018","9:50 AM","DISORDERLY CONDUCT - FIGHTING","Neches Street","East 7th Street","Y","APD","3968","Black","Male"
"CM","10/17/2018","7:51 PM","FAILURE TO IDENTIFY - REFUSE","Brushy Street","6th Street","Y","APD","8747","White","Male"
"CO","10/18/2018","9:18 AM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","East 6th Street And Trinity Street",,"N","APD","7857","White","Male"
"CO","10/18/2018","9:32 AM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","600 Block Trinity Street",,"Y","APD","7870","Hispanic","Male"
"CO","10/18/2018","9:15 AM","CAMPING IN A PUBLIC PLACE","500 Block Trinity Street",,"N","APD","7870","Black","Male"
"CM","10/18/2018","1:06 AM","PUBLIC INTOXICATION","East 7th Street And","Red River Street","Y","APD","7756","White","Male"
"CM","10/18/2018","12:00 AM","PUBLIC INTOXICATION","300 Block East 6th Street",,"Y","APD","7699","White","Female"
"CO","10/18/2018","9:45 AM","HUMAN WASTE","East 6th Street And North Ih 35",,"Y","APD","7857","Black","Male"
"CO","10/18/2018","10:25 PM","LITTERING","700 Block East 6th Street",,"Y","APD","7775","Black","Male"
"CO","10/18/2018","9:40 AM","PEDESTRIAN IN ROADWAY/CITY ORDINANCE","900 Block East 6th Street",,"N","APD","7042","White","Male"
"CO","10/18/2018","9:17 AM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","500 Block Trinity Street",,"Y","APD","7430","White","Male"
"CM","10/18/2018","12:00 AM","DISREGARD ORDER OF A POLICE OFFICER","East 7th Street At San Jacinto Boulevard",,"N","APD","7804","Black","Male"
"TR","10/18/2018","8:15 AM","PEDESTRIAN CROSSING MIDBLOCK","800 Block East 6th Street",,"N","APD","7430","White","Male"
"CM","10/18/2018","9:32 AM","Consuming Alcohol Within 1000 Feet of a School","600 Block Trinity Street",,"Y","APD","7870","Hispanic","Male"
"CO","10/18/2018","9:15 AM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","500 Block Trinity Street",,"Y","APD","7042","White","Male"
"CO","10/18/2018","9:45 AM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","600 Block North Ih 35",,"Y","APD","6966","White","Male"
"CO","10/18/2018","8:45 AM","HUMAN WASTE","700 Block Red River Street",,"Y","APD","7870","Black","Male"
"CO","10/18/2018","9:15 AM","Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors","500 Block Trinity Street",,"N","APD","7870","Black","Male"
"CM","10/19/2018","7:56 PM","DISORDERLY CONDUCT-ABUSIVE LANGUAGE","East 6th Street And Congress Avenue",,"Y","APD","7796","Black","Male"
"CM","10/19/2018","7:56 PM","Possession of Drug Paraphernalia","East 6th Street And Congress Avenue",,"Y","APD","7796","Black","Male"
"CM","10/19/2018","2:30 AM","PUBLIC INTOXICATION","400 Block East 5th Street",,"Y","APD","5159","Hispanic","Male"
"CM","10/19/2018","1:38 AM","DISORDERLY CONDUCT - FIGHTING","500 Block Trinity Street",,"Y","APD","7945","White","Male"
"CM","10/19/2018","7:56 PM","FAILURE TO IDENTIFY - REFUSE","East 6th Street And Congress Avenue",,"Y","APD","7796","Black","Male"
"CM","10/19/2018","1:38 AM","DISORDERLY CONDUCT - FIGHTING","500 Block Trinity Street",,"Y","APD","7945","Mid East","Male"
"CM","10/19/2018","12:00 AM","PUBLIC INTOXICATION","500 Block San Jacinto Boulevard",,"N","APD","7759","White","Male"
"CM","10/19/2018","12:00 AM","PUBLIC INTOXICATION","East 7th Street At San Jacinto Boulevard",,"Y","APD","7615","No Data","Female"
"CM","10/20/2018","2:40 AM","DISREGARD ORDER OF PEACE OFFICER",,,"Y","APD","8546","Hispanic","Male"
"CM","10/20/2018","12:00 AM","PUBLIC INTOXICATION","300 Block East 6th Street",,"Y","APD","7608","Black","Male"
"CM","10/20/2018","12:00 AM","PUBLIC INTOXICATION","101 Red River Street",,"N","APD","6290","White","Male"
"CM","10/20/2018","12:00 AM","PUBLIC INTOXICATION","East 6th Street At Sdan Jacinto Boulevar",,"Y","APD","7780","White","Female"
"CM","10/20/2018","12:00 AM","PUBLIC INTOXICATION","600 Block Of East 5th Street",,"N","APD","2641","Hispanic","Male"
"CM","10/21/2018","12:00 AM","PUBLIC INTOXICATION","401 East 6th Street",,"Y","APD","7948","Hispanic","Male"
"CM","10/21/2018","12:00 AM","DISORDERLY CONDUCT - FIGHTING","500 Block East 7th Street",,"Y","APD","7608","White","Male"
"CO","10/22/2018","7:30 PM","CAMPING IN A PUBLIC PLACE","500 Block East 7th Street",,"Y","APD","7798","Hispanic","Female"
"CM","10/22/2018","8:11 PM","PUBLIC INTOXICATION","East 6th Street And San Jacinto","Boulevard","Y","APD","7798","White","Female"
"CM","10/22/2018","12:00 AM","PUBLIC INTOXICATION","500 Block East 7th Street",,"Y","APD","7491","White","Male"
"CM","10/23/2018","11:12 PM","PUBLIC INTOXICATION","219  West 7th Street",,"Y","APD","7608","White","Male"
"CM","10/23/2018","12:00 AM","PUBLIC INTOXICATION","69 Rainey Street",,"Y","APD","7611","Hispanic","Male"
"CM","10/23/2018","12:00 AM","Possession of Drug Paraphernalia","1600 Block East 2nd Street",,"N","APD","7544","White","Male"
"CO","10/24/2018","11:44 AM","CAMPING IN A PUBLIC PLACE","300  W 3RD ST",,"Y",,"4042","White","Male"
"CM","10/24/2018","12:18 AM","SIMPLE ASSAULT BY CONTACT","EAST 6TH STREET","TRINITY STREET","N","APD",,"Black","Male"
"CM","10/25/2018","1:12 AM","PUBLIC INTOXICATION","West 4th Street And","Lavaca Street","Y","APD","5159","No Data","Male"
"CM","10/25/2018","7:34 PM","Possession of Drug Paraphernalia","115 SANDRA MURAIDA WAY",,"N","APD","7245","White","Male"
"CM","10/25/2018","12:00 AM","PUBLIC INTOXICATION","4th Street And","Waller Street","Y","APD","7844","White","Male"
"CM","10/26/2018","12:00 AM","PUBLIC INTOXICATION","400 Block East 6th Street",,"Y","APD","7401","White","Female"
"CM","10/26/2018","7:45 PM","Possession of Drug Paraphernalia","East 7th Street And Red River Street",,"N","APD","7796","Black","Male"
"CM","10/26/2018","8:00 AM","Possession of Drug Paraphernalia","700 Block Red River Street",,"N","APD","3968","Hispanic","Female"
"CM","10/26/2018","1:17 AM","ALCOHOL - MINOR CONSUMING","600  RIO GRANDE",,"Y",,"5159","White","Female"
"CM","10/27/2018","11:40 PM","PUBLIC INTOXICATION","400 Block East 6th Street",,"Y","APD","7203","Hispanic","Male"
