"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Austin Energy","https://data.austintexas.gov/d/d9pb-3vh7","Residential Average Monthly kWh and Bills","dataset","15738","2016-05-12T00:00:00.000","Monthly","Utilities and City Services","austin energy,bill,residential bill,kwh,electric bill","Austin Energy","AEOpenDataPortal@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Household Affordability","N/A","N/A","N/A","1"
"Austin Transportation","https://data.austintexas.gov/d/b4k4-adkb","Traffic Cameras","dataset","13586","2019-05-07T00:00:00.000","Hourly","Transportation and Mobility","transportation,traffic,cameras,mobility","Austin Transportation","john.clary@austintexas.gov","Public Domain","City of Austin Transportation Department","http://www.austintexas.gov/department/arterial-management",,,,,,"5"
"Austin Energy","https://data.austintexas.gov/d/i26j-ai4z","311 Unified Data","dataset","12707","2019-05-08T00:00:00.000","Daily","Utilities and City Services","311,3-1-1,csr,sr,service request,service requests,austin311,austin 311","Austin 311","austin311@austintexas.gov","Public Domain","Austin 3-1-1","http://www.austintexas.gov/department/311",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Public Information Office","https://data.austintexas.gov/d/yph5-vg2u","City Social Media Inventory","dataset","10919","2019-05-02T00:00:00.000","As Needed","City Government","social media","AustinGo","coacommunications@austintexas.gov","Public Domain","City of Austin Communications and Public Information Office","http://austintexas.gov",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Financial Services","https://data.austintexas.gov/d/3ebq-e9iz","Purchase Order Quantity Price detail for Commodity/Goods procurements","dataset","9761","2019-05-06T00:00:00.000","Monthly","Budget and Finance","purchasing,commodities,financial,goods,commodity,price,procurement,transparency,austin finance online,buying,procure,city of austin,texas,central texas,financial services,open data,austin","Chris",,"Public Domain","City of Austin Financial Services","https://www.austintexas.gov/financeonline/finance/financial_docs.cfm?ws=1&pg=2",,,,,,"6"
"Austin Code Department","https://data.austintexas.gov/d/qe89-agqj","Haulers Licensed by City of Austin","dataset","9654","2019-04-17T00:00:00.000","As Needed","City Government","private,waste,recycling,hauler,garbage,trash,compost,organic,license,austin code","Mark Wensel","codecommunications@austintexas.gov","Public Domain","City of Austin, Code Department","http://austintexas.gov/code",,,,,,"5"
"Economic Development","https://data.austintexas.gov/d/tv4x-8thz","Economic Development Compliance: Texas Enterprise Zone Nominations","dataset","9612","2017-08-14T00:00:00.000","As Needed","City Government","state,texas,enterprise,zone,program","Melissa Alvarado","edd@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://www.austintexas.gov/economic-development-compliance",,"Workforce Development",,"Economic Opportunity and Affordability","Government that Works for All of Us","2"
"Economic Development","https://data.austintexas.gov/d/7neq-k7nf","Economic Development Compliance: Family Business Loans","dataset","9424","2016-09-22T00:00:00.000","As Needed","City Government","small business,loan,jobs","Melissa Alvarado","edd@austintexas.gov","Public Domain","City of Austin Economic Development Department Small Business Program","http://www.austintexas.gov/department/family-business-loan-program",,"Workforce Development",,"Economic Opportunity and Affordability",,"3"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/x5p7-qyuv","Affordable Housing Inventory (AHI)","dataset","9084","2019-04-09T00:00:00.000","Quarterly","Housing and Real Estate","affordable,housing,affordable housing,rhda,a&d,density bonus,s.m.a.r.t. housing,ahfc,mfi,nhcd","Josh Rudow","NHCD@austintexas.gov","Public Domain","Neighborhood Housing and Community Development Department","http://www.austintexas.gov/department/housing",,"Household Affordability",,"Economic Opportunity and Affordability",,"3"
"Communication and Technology Management","https://data.austintexas.gov/d/kumu-nbtd","911 Addressing - Street Name Master List","dataset","8681","2019-05-08T00:00:00.000","Daily","City Government","street name,address,active,reserved,reservation","EGS Data Services","Addressing@austintexas.gov","Public Domain","CTM - 911 Addressing",,,,,,,"6"
"Financial Services","https://data.austintexas.gov/d/8c6z-qnmj","Austin Finance Online eCheckbook","dataset","8395","2019-05-06T00:00:00.000","Weekly","Budget and Finance","financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments,city of austin","Chris","Mark.Caraway@austintexas.gov","Open Data Commons Open Database License","City of Austin","https://www.austintexas.gov/financeonline/checkbook/index.cfm",,,,,,"5"
"Austin Transportation","https://data.austintexas.gov/d/cqdh-farx","Traffic Count Study Area","dataset","8350","2015-08-07T00:00:00.000","As Needed","Transportation and Mobility","traffic,count,transportation,mobility,traffic study","jhrncir","transportation.data@austintexas.gov","Public Domain","City of Austin",,,"Compact & Connected","N/A","N/A",,"3"
"Austin Code Department","https://data.austintexas.gov/d/6wtj-zbtb","Austin Code Complaint Cases","dataset","8208","2019-05-07T00:00:00.000","Daily","City Government",,"opendataatx","ACDITStaff@austintexas.gov","Public Domain","Austin Code Department",,,,,,,"7"
"Municipal Court","https://data.austintexas.gov/d/8jyt-x94k","Municipal Court Caseload Information **Dataset removal in 2 months on September 1, 2014","dataset","8053","2014-07-23T00:00:00.000","Monthly","City Government","municipal,court,violation,traffic,tickets,cases,parking,criminal,ordinance","Luz Lozano","jim.warren@austintexas.gov","Public Domain","City of Austin, Municipal Court","https://www.austintexas.gov/AmcPublicInquiry/pubportal.aspx?ReturnUrl=%2fAmcPublicInquiry%2fsearch%2fdocketsearch.aspx",,"N/A","N/A","N/A","N/A","1"
"Austin Water","https://data.austintexas.gov/d/dhvz-stgx","Austin Water Authorized Irrigation Inspector List","dataset","8014","2019-03-26T00:00:00.000","As Needed","Utilities and City Services","austin water,irrigation,inspector,water,code,property owner","Erik Luna","heather.dalrymple@austintexas.gov","Public Domain","Austin Water","http://waterwiseaustin.org",,,,,,"5"
"Economic Development","https://data.austintexas.gov/d/qwjz-np8k","Creative Content Incentive Program Agreements","dataset","7956","2018-11-08T00:00:00.000","As Needed",,,"Melissa Alvarado","kyle.brandon@austintexas.gov","Public Domain",,,,,,,,"9"
"Communication and Technology Management","https://data.austintexas.gov/d/f5rm-df6x","Land Base","gis map","7647","2018-02-01T00:00:00.000","As Needed","Locations and Maps","land base,basepoly,lots,planning cadastre","EGS Data Services","geospatialdatadev@austintexas.gov","Public Domain","Communications and Technology Management/9-1-1 Addressing",,,"Land Development Regulations (CodeNEXT)","Green Infrastructure","Government that Works for All of Us","N/A","2"
"Planning and Zoning","https://data.austintexas.gov/d/5rzy-nm5e","Zoning","gis map","7507","2018-02-01T00:00:00.000","Monthly","Locations and Maps","zoning,planning cadastre,land use","EGS Data Services","stacy.meeks@austintexas.gov","Public Domain","Planning and Zoning",,,,,,,"6"
"Austin Water","https://data.austintexas.gov/d/87qq-mkwq","Austin Water Statistics","dataset","7498","2018-11-01T00:00:00.000","Quarterly","Utilities and City Services","water,wastewater,statistics,key facts,gis,customers,capacity","Erik Luna",,"Public Domain","Austin Water","http://www.AustinWater.org",,,,,,"6"
,"https://data.austintexas.gov/d/7d8e-dm7r","Dockless Vehicle Trips","dataset","7136","2019-05-08T00:00:00.000",,"Transportation and Mobility","scooters,bicycles,e-bike,dockless","Austin Transportation",,"Public Domain","City of Austin Transportation Department",,,,,,,"9"
"Small & Minority Business Rsrc","https://data.austintexas.gov/d/x442-h34c","Construction Plans in SMBR's Plan Room","dataset","6724","2019-02-27T00:00:00.000","Weekly","Utilities and City Services",,"Blender",,"Public Domain","SMBR",,,,,,,"8"
"Animal Services","https://data.austintexas.gov/d/kz4x-q9k5","Austin Animal Center Stray Map","dataset","6318","2019-05-08T00:00:00.000","As Needed","Health and Community Services","cat,dog,pet,stray,austin animal center,no kill,data,open government","Austin Animal Center","AnimalServicesOpenData@austintexas.gov","Public Domain","Austin Animal Center","http://austinanimalcenter.org",,"Healthy Austin","N/A","Health","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/3pzb-6mbr","Jurisdiction - Austin","gis map","5719","2019-04-17T00:00:00.000","Weekly","Locations and Maps","planning,cadastre,land use,appraisal,urban,comprehensive,agoltosocrata","EGS Data Services","geospatialdatadev@austintexas.gov","Public Domain","Communications and Technology Management",,,"Land Development Regulations (CodeNEXT)","N/A","Government that Works for All of Us","N/A","2"
"Austin Resource Recovery","https://data.austintexas.gov/d/qxkq-859w","Bulk Item Collection Routes","gis map","5708","2016-09-26T00:00:00.000","As Needed","Locations and Maps","bulk,collection,arr,austin resource recovery,route","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Austin Water","https://data.austintexas.gov/d/82dq-nkpk","Austin Water Approved Plant List","dataset","5287","2016-06-13T00:00:00.000","Biannually","Utilities and City Services","austin,water,plants,landscape,variance,xeriscape,schedule","Erik Luna","watercon@austintexas.gov","Public Domain","Austin Water","http://www.austintexas.gov/wateringvariances",,,,,,"5"
"Austin Police","https://data.austintexas.gov/d/spbg-9v94","Annual Crime Dataset 2015","dataset","5282","2016-11-28T00:00:00.000","As Needed","Public Safety","police,crime","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Financial Services","https://data.austintexas.gov/d/84ih-p28j","Contract Catalog","dataset","5125","2019-05-06T00:00:00.000","Monthly","Budget and Finance","contract,financial,construction contracts,professional services contracts,commodities contracts,sole source contracts,transparency,finance,purchase order,procurement,purchase,master agreement,service agreement,rotational,city of austin,financial services,austin,texas,central texas,purchasing office","Chris",,"Public Domain","City of Austin","https://www.austintexas.gov/financeonline/contract_catalog/index.cfm",,,,,,"6"
"Economic Development","https://data.austintexas.gov/d/shpc-w93a","Media Production & Development Zone Nominations","dataset","5068","2016-06-24T00:00:00.000","As Needed","City Government",,"Julia Campbell","edd@austintexas.gov","Public Domain","City of Austin Economic Development","http://www.austintexas.gov/economic-development-compliance",,"Creative Economy",,"Economic Opportunity and Affordability",,"4"
"Austin Code Department","https://data.austintexas.gov/d/afwp-v695","Austin Code Complaint Case Events","dataset","4817","2019-05-07T00:00:00.000","Daily","City Government",,"opendataatx","ACDITStaff@austintexas.gov","Public Domain","Austin Code Department",,,,,,,"7"
"Financial Services","https://data.austintexas.gov/d/g5k8-8sud","Program Budget Operating Budget Vs Expense Raw Data","dataset","4796","2019-05-06T00:00:00.000","Quarterly","Budget and Finance","budget,operating,proposed,actual,expenditures,finance,financial,reports,financial services,budget office,city of austin,austin,austin finance online,raw budget data,budget documents,controller","Chris",,"Public Domain","Communication and Technology Management",,,,,,,"7"
"Economic Development","https://data.austintexas.gov/d/pxe3-na7s","Economic Development Compliance: Chapter 380 Agreement Basic Information","dataset","4792","2018-11-08T00:00:00.000","As Needed","City Government",,"Julia Campbell","Julia.B.Campbell@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://www.austintexas.gov/edd",,,,,,"6"
"Public Works","https://data.austintexas.gov/d/ea6n-pgcf","[DEPRECATED] Sidewalk Network","gis map","4629","2017-04-19T00:00:00.000","As Needed","Locations and Maps","sidewalk,sidewalks,network,pedestrian,transportation,mobility,infrastructure","Public Works Department Publisher","PWDOpenData@austintexas.gov","Public Domain","Communications and Technology Department",,,"Compact & Connected","N/A","Mobility","Government that Works for All of Us","2"
"Austin Water","https://data.austintexas.gov/d/sxk7-7k6z","Austin Water - Residential Water Consumption","dataset","4321","2018-10-12T00:00:00.000","Annually","Utilities and City Services","aw,water,consumption,residential","Patricia Genty Andrade",,"Public Domain","Austin Water","http://www.austintexas.gov/department/water",,"Sustainable Water",,"N/A",,"4"
"Financial Services","https://data.austintexas.gov/d/uxwx-55kj","Current Small Business Enterprise, SBE, Certfied Vendors","dataset","4234","2019-05-06T00:00:00.000","Weekly","Budget and Finance","small business enterprise,sbe,small,business,enterprise,certified,certification,vendor,finance,smbr","carawaym","SMBRCertification@austintexas.gov","Open Data Commons Open Database License","City of Austin","https://www.austintexas.gov/financeonline/finance/index.cfm",,,,,,"5"
"Austin Resource Recovery","https://data.austintexas.gov/d/gpeq-wpdt","Stores Supplying Extra Trash Stickers","dataset","4152","2017-03-07T00:00:00.000","As Needed","Utilities and City Services","extra,garbage,trash,arr,sticker","ARROpenData","ARROpenData@austintexas.gov","Public Domain","ARR","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Watershed Protection","https://data.austintexas.gov/d/ec78-i9z5","Watersheds","dataset","4047","2019-05-01T00:00:00.000","As Needed","Environment","watersheds,austin,regulatory","Rob","robert.clayton@austintexas.gov","Public Domain","Watershed Protection Department Environmental Resource Management","http://www.austintexas.gov/department/watershed-protection",,,,,,"5"
"City Clerk","https://data.austintexas.gov/d/g4yx-aw9r","Campaign Finance - Transaction Detail Dataset","dataset","3924","2019-05-02T00:00:00.000","As Needed","City Government","election,financial,campaign finance,contributions,expenditures,city clerk","City of Austin - Elections","elections@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","N/A","Government that Works for All of Us","2"
"Austin Resource Recovery","https://data.austintexas.gov/d/4hh5-fx4w","Austin Recycles Games District Numbers","dataset","3876","2016-05-17T00:00:00.000","As Needed","Utilities and City Services","austin recycles games,pounds of recyclables,district","ARROpenData","ARROpenData@austintexas.gov","Public Domain","City of Austin's - Austin Resource Recovery","http://www.austintexas.gov/games",,"Healthy Austin","N/A","Health","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/ruj7-9gwq","Address Changes","dataset","3607","2019-05-08T00:00:00.000","As Needed","City Government",,"EGS Data Services",,"Public Domain",,,,,,,,"9"
"Public Information Office","https://data.austintexas.gov/d/ngdb-nm9b","Spirit of East Austin Project Inventory","dataset","3594","2016-06-24T00:00:00.000","As Needed","City Government","spirit of east austin,east austin","AustinGo","coacommunications@austintexas.gov","Public Domain","City of Austin Communications and Public Information Office","http://austintexas.gov/department/soea",,"Complete Communities (Imagine Austin vision)","N/A","Government that Works for All of Us","N/A","1"
"Parks & Recreation","https://data.austintexas.gov/d/xaxa-886r","Austin Pool Schedule","dataset","3583","2019-05-02T00:00:00.000","As Needed","Recreation and Culture","pools,poo schedule,summer,splash pad","Michael","parksmarketing@austintexas.gov","Public Domain","City of Austin Park and Recreation","http://www.austintexas.gov/pools",,"Complete Communities (Imagine Austin vision)","N/A","Cultural and Learning Opportunities","N/A","1"
"Planning and Zoning","https://data.austintexas.gov/d/apwj-7zty","Imagine Austin Indicators","dataset","3474","2018-08-23T00:00:00.000","As Needed","City Government","imagine austin,indicators,mobility,health,environment,economy,affordability","Sam Tedford","samantha.tedford@austintexas.gov","Public Domain","various",,,"Complete Communities (Imagine Austin vision)","Compact & Connected","Mobility","Economic Opportunity and Affordability","2"
"Austin Police","https://data.austintexas.gov/d/4c6h-tv2y","RETIRED - APD Incident Extract 2010","dataset","3443","2016-08-19T00:00:00.000","Daily","Public Safety",,"opendataatx",,"Public Domain","City of Austin",,,,,,,"8"
"Austin Energy","https://data.austintexas.gov/d/ewqz-mrzs","Bond Ratings","dataset","979","2019-01-15T00:00:00.000","Annually","Utilities and City Services","""bond ratings"",""credit quality"",debt","Austin Energy",,"Public Domain","Austin Energy",,,,,,,"7"
"City Clerk","https://data.austintexas.gov/d/b2pc-2s8n","Campaign Finance - Report Detail Dataset","dataset","3317","2019-05-02T00:00:00.000","As Needed","City Government","election,financial,campaign finance,contributions,expenditures,city clerk","City of Austin - Elections","elections@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","N/A","Government that Works for All of Us","2"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/xp28-5kft","2014 Austin Digital Assessment Individual Responses","dataset","3101","2015-06-16T00:00:00.000","As Needed","City Government","technology,digital inclusion,public access,training,literacy,online,community","Sharla Chamberlain","sharla.chamberlain@austintexas.gov","Public Domain","City of Austin Office of Telecommunications and Regulatory Affairs","http://austintexas.gov/digitalinclusion",,,,,,"5"
"Communication and Technology Management","https://data.austintexas.gov/d/8y67-8tue","Combining and overlay zoning districts","gis map","3052","2018-05-08T00:00:00.000","Monthly","Locations and Maps","combining,overlay,zoning,districts,gissynched","EGS Data Services","geospatialdatadev@austintexas.gov","Public Domain","Planning and Development Review Department",,,,,,,"6"
,"https://data.austintexas.gov/d/psyb-7yp4","Pilot Knob","gis map","3","2018-02-01T00:00:00.000",,"Locations and Maps","land base,basepoly,lots,planning cadastre","Kirk",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"9"
"Public Works","https://data.austintexas.gov/d/3es2-p358","Current FY Street Service Plan | Routine Street Maintenance","gis map","2943","2017-04-19T00:00:00.000","Annually","Locations and Maps","public works,streets,pavement,infrastructure management,service plan,transportation,mobility","Public Works Department Publisher","PWDOpenData@austintexas.gov","Public Domain","Public Works",,,"Compact & Connected",,,,"5"
"Economic Development","https://data.austintexas.gov/d/fc48-h8gp","Trust Fund Documents","dataset","2868","2018-09-05T00:00:00.000","As Needed","City Government","trust fund,documents","Melissa Alvarado","edd@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://www.austintexas.gov/edd",,,,"Government that Works for All of Us",,"4"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/xf72-sbj4","Austin Digital Assessment - Aggregated Responses by Geography","dataset","2741","2015-07-10T00:00:00.000","As Needed","City Government","technology,digitalinclusion,public access,training,literacy,online.community","Sharla Chamberlain","digital.inclusion@austintexas.gov","Public Domain","City of Austin Office of Telecommunications & Regulatory Affairs","http://austintexas.gov/digitalinclusion",,,,,,"5"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/hcnj-rei3","2014 Housing Market Analysis Data by Zip Code","dataset","2722","2015-08-07T00:00:00.000","As Needed","Building and Development","housing market study,affordability,housing","Lauren","jonathan.tomko@austintexas.gov","Public Domain","NHCD",,,,,,,"6"
"Parks & Recreation","https://data.austintexas.gov/d/9dct-ecg8","Mc Beth Recreation Center","dataset","2693","2019-01-11T00:00:00.000","As Needed","Recreation and Culture","recreation center,abilities,challenges,skills,leisure skills","Betty","parksmarketing@austintexas.gov","Public Domain","City of Austin Park and Recreation","http://www.austintexas.gov/McBeth",,"Complete Communities (Imagine Austin vision)","N/A","Cultural and Learning Opportunities","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/959k-a8yh","Google Analytics for www.austintexas.gov","dataset","2686","2013-05-03T00:00:00.000","Monthly","City Government","austingo,hits,pageviews,statistics,analytics","Divya Rathanlal","divya.rathanlal@austintexas.gov","Public Domain",,,,"N/A","N/A","N/A","N/A","3"
"Austin Police","https://data.austintexas.gov/d/sc6h-qr9f","Racial Profiling Dataset 2015- Citations","dataset","2651","2016-03-10T00:00:00.000","As Needed","Public Safety","police,racial profiling,citations","Ron MacKay","ron.mackay@austintexas.gov","Public Domain",,,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/uphq-h3jn","Watershed Floodplain Model","gis map","2644","2019-05-01T00:00:00.000","Monthly","Locations and Maps","watershed,floodplain","EGS Data Services","geospatialdatadev@austintexas.gov","Public Domain","City of Austin Watershed Protection Department Watershed Engineering Division",,,,,,,"6"
"Austin Transportation","https://data.austintexas.gov/d/p53x-x73x","Traffic Signals and Pedestrian Signals","dataset","2607","2019-05-07T00:00:00.000","Daily",,"transportation,transit,mobility,traffic signals,pedestrians,phbs,safety,atms","Austin Transportation","john.clary@austintexas.gov","Public Domain","Austin Transportation Department Arterial Management Division","http://transportation.austintexas.io",,,,,,"6"
"Public Works","https://data.austintexas.gov/d/bxbe-ndaw","Urban Trails","gis map","2597","2018-07-20T00:00:00.000","As Needed","Locations and Maps","public works,trails,urban trails,transportation,mobility","Public Works Department Publisher","PWDOpenData@austintexas.gov","Public Domain","HALFF ASSOCIATES; CITY OF AUSTIN PUBLIC WORKS DEPARTMENT NEIGHBORHOOD CONNECTIVITY DIVISION URBAN TRAILS PROGRAM",,,"Healthy Austin",,,,"5"
"Communication and Technology Management","https://data.austintexas.gov/d/d7wd-g9jm","Railroads","gis map","2485","2019-05-01T00:00:00.000","As Needed","Locations and Maps","railroads,train,tracks","EGS Data Services",,"Public Domain","Communications and Technology Management",,,,,,,"7"
"City Clerk","https://data.austintexas.gov/d/xbpn-n65g","Campaign Finance - Pre-Election Summary","dataset","2433","2019-05-02T00:00:00.000","As Needed","City Government","election,financial,campaign finance,city clerk","City of Austin - Elections","elections@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Economic Development","https://data.austintexas.gov/d/p6pb-jvsm","Economic Development Compliance: Chapter 380 Individual Payments and Compliance Reports","dataset","2426","2018-11-08T00:00:00.000","As Needed","City Government","payments,compliance,chapter 380,ch. 380","Julia Campbell","edd@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://www.austintexas.gov/economic-development-compliance",,"N/A","N/A","Economic Opportunity and Affordability","Government that Works for All of Us","1"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/ngxp-99y3","Affordable Housing Directory","dataset","2399","2019-02-27T00:00:00.000","Quarterly","Housing and Real Estate","affordable,housing,affordable housing,rhda,a&d,density bonus,s.m.a.r.t. housing,ahfc,mfi,nhcd","Josh Rudow","NHCD@austintexas.gov","Public Domain","Neighborhood Housing and Community Development Department","http://www.austintexas.gov/department/housing",,"Household Affordability",,"Economic Opportunity and Affordability",,"3"
"Animal Services","https://data.austintexas.gov/d/ykw4-j3aj","Declared  Dangerous Dogs","dataset","2395","2016-05-05T00:00:00.000","As Needed","Health and Community Services","dangerous,dogs,public safety,pets,animals","Austin Animal Center","AnimalServicesOpenData@austintexas.gov","Public Domain","City of Austin","http://www.austintexas.gov",,"Healthy Austin","Healthy Austin","Health","Health","1"
"Communication and Technology Management","https://data.austintexas.gov/d/j89x-dim4","Planimetrics 2015","gis map","420","2017-11-07T00:00:00.000","As Needed","City Government","planimetrics","EGS Data Services",,"See Terms of Use",,,,"N/A",,"N/A",,"6"
"Austin Energy","https://data.austintexas.gov/d/ss6t-rumq","Generation by Fuel Type","dataset","2378","2019-02-07T00:00:00.000","As Needed","Utilities and City Services","power,generation,fuel type,coal,natural gas and oil,nuclear,renewable,energy","Austin Energy",,"Public Domain","Austin Energy",,,,,,,"7"
"Austin Code Department","https://data.austintexas.gov/d/2fah-4p7e","Short Term Rental Locations","dataset","2377","2019-05-01T00:00:00.000","Monthly","City Government","str,housing,rentals,vacation,properties","Nate Brigmon","ACDITStaff@austintexas.gov","Public Domain","Austin Code Department","http://www.austintexas.gov/str",,"N/A","N/A","Economic Opportunity and Affordability","Safety","1"
"Austin Fire","https://data.austintexas.gov/d/64cq-wf5u","Austin Fire Stations","dataset","2368","2012-03-20T00:00:00.000","As Needed","Public Safety","fire,afd,stations,fire stations","opendataatx",,"Public Domain","City of Austin",,,,,,,"7"
"Austin Code Department","https://data.austintexas.gov/d/86z9-i27i","Repeat Offender Registrations","dataset","2344","2019-05-07T00:00:00.000","Daily","City Government",,"Shawn","ACDITStaff@austintexas.gov","Public Domain","Austin Code Department",,,,,,,"7"
