TCAD or WCAD Property ID (s),Auditor,Company,Duct System 1 - Type,Duct System 2 - Type,Duct System 1 - RValue,Duct System 2 - RValue,Duct System 1 - Return Sizing,Duct System 2 - Return Sizing,Duct System 1 - % Leakage,Duct System 2 - % Leakage,System 1 - Location Air Handler,System 2 - Location Air Handler,System 1 - Air Handler Type,System 2 - Air Handler Type,System 1 - Age (years),System 2 - Age (years),System 1 - EER,System 2 - EER,System 1 - sqft/ton,System 2 - sqft/ton,Water Heater - Fuel Type,Water Heating - Tank Type,Toilet Type,Programmable Thermostat Present,Window Screen Area Recommended (sqft),Furnace - Fuel Type,Audit Date,Attic R-Value,Recommended Additional R-Value,Year Built,Bedrooms,Conditioned (sqft),Attic (sqft),Home_Type,As of,Address,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,Zip Codes
553387,Brady Zaitoon,SQUARE HOUSE,Duct_Board,,6,,Adequate,,11,,Attic,,Horizontal,,11,,10,,597,,Gas,Tank,Water_Saving,Y,110,Gas,05/24/2013 12:00:00 AM,22,0,1997,3,1793,1793,Single Family,05/20/2014 12:00:00 AM,"5666 OAK BLVD
Austin, Tx 78735
(30.238274097000442, -97.84708020499966)",8,32,2,11,126,49,3251
323729,Scott Lawton Phillips,ENERGY ACTION,Duct_Board,,4,,Adequate,,21,,Attic,,Horizontal,,17,,9.5,,477,,Gas,Tank,Water_Saving,N,60,Elec,05/17/2010 12:00:00 AM,,26,1973,3,1192,1192,Single Family,05/20/2014 12:00:00 AM,"6606 BOLEYNWOOD DR
Austin, Tx 78745
(30.207466420000458, -97.8103528479997)",5,5,1,83,373,23,3259
242696,John Strand,STRAND BROTHERS,Sheet_Metal,,4,,Adequate,,26.1,,Closet,,Up Flow,,20,,6.5,,470,,Elec,Tank,Standard,N,0,Gas,10/18/2009 12:00:00 AM,6,32,1965,2,1176,1176,Single Family,05/20/2014 12:00:00 AM,"1300 CLEARFIELD DR
Austin, Tx 78758
(30.357486104000486, -97.71285817499967)",4,22,9,16,63,18,3646
126696,Jay Hill,ADVANCED ENERGY SOLUTIONS,Mylar_Flex,Mylar_Flex,6,6,Adequate,Adequate,12.5,9.8,Attic,Attic,Up Flow,Up Flow,16,20,10.5,11.5,453,453,Elec,Tank,Water_Saving,Y,0,Elec,02/04/2014 12:00:00 AM,38,,1998,5,5076,,Single Family,05/20/2014 12:00:00 AM,"5504 RAVINE RIDGE CV
Austin, Tx 78746
(30.335427660000448, -97.79469258599966)",,10,,,217,29,3260
136052,James Davis,ENERGY AUDIT MASTERS,Mylar_Flex,Mylar_Flex,6,6,Adequate,Adequate,19.1,17.9,Attic,Attic,Horizontal,Horizontal,,,10,13,644,387,Gas,Tank,Water_Saving,Y,316,Gas,08/09/2012 12:00:00 AM,30,8,1999,4,3414,1100,Single Family,05/20/2014 12:00:00 AM,"5402 N SCOUT ISLAND CIR
Austin, Tx 78731
(30.355903732000456, -97.78625248299966)",10,17,5,,217,66,3247
244283,Roland Huettel,"ECO.INSPECTIONS, INC",Sheet_Metal,,,,Adequate,,10,,Attic,,Horizontal,,,,,,730,,Gas,Tank,Water_Saving,Y,0,Gas,08/29/2011 12:00:00 AM,30,,1966,3,2557,2557,Single Family,05/20/2014 12:00:00 AM,"8013 PARKDALE DR
Austin, Tx 78757
(30.36158416100045, -97.7328450869997)",7,3,7,95,217,16,3645
246777,Jon Beard,"CONSERVATION SPECIALISTS OF AUSTIN, LLC",Sheet_Metal,,2,,Adequate,,18,,Garage,,Up Flow,,23,,7,,500,,Elec,Tank,Water_Saving,Y,0,Elec,06/04/2013 12:00:00 AM,8,30,1969,4,2488,1160,Single Family,05/20/2014 12:00:00 AM,"1000 FLORADALE DR
Austin, Tx 78753
(30.364546369000436, -97.67846884399967)",1,47,8,87,217,78,3642
120891,Jay Hill,ADVANCED ENERGY SOLUTIONS,Sheet_Metal,Sheet_Metal,4,4,Adequate,Adequate,30.7,30.7,Closet,Closet,Up Flow,Up Flow,18,18,9,9,831,831,Elec,Tank,Water_Saving,Y,114,Elec,11/14/2013 12:00:00 AM,9,29,1964,4,3325,,Single Family,05/20/2014 12:00:00 AM,"3502 TAYLORS DR
Austin, Tx 78703
(30.308676586000445, -97.77160844299965)",10,26,5,6,126,69,2858
349364,James Davis,ENERGY AUDIT MASTERS,Mylar_Flex,,6,,Adequate,,9.1,,Attic,,Horizontal,,,,9.5,,524,,Gas,Tank,Water_Saving,N,354,Gas,02/19/2013 12:00:00 AM,19,19,1992,3,2619,2619,Single Family,05/20/2014 12:00:00 AM,"10207 PINEHURST DR
Austin, Tx 78747
(30.147422777000486, -97.78136087099966)",5,36,1,,218,4,3261
195939,Allison Hay,GREEN GIRL AUSTIN,Sheet_Metal,,8,,Adequate,,42,,Closet,,Up Flow,,15,,12,,484,,Gas,Tank,Water_Saving,Y,60,Gas,09/07/2011 12:00:00 AM,28,0,1977,3,1210,1200,Single Family,05/20/2014 12:00:00 AM,"1025 NILE ROAD
Austin, Tx 78702
(30.268873318000487, -97.7131613849997)",1,7,8,69,309,1,2857
302327,Jay Hill,ADVANCED ENERGY SOLUTIONS,Sheet_Metal,,4,,Inadequate,,14.9,,Attic,,Horizontal,,,,,,549,,Elec,Tankless,Water_Saving,N,0,Elec,08/06/2012 12:00:00 AM,18,20,1942,3,1374,,Single Family,05/20/2014 12:00:00 AM,"915 W ANNIE
Austin, Tx 78704
(30.24914460800045, -97.7613988329997)",9,9,10,42,217,75,2859
350155,Jay Hill,ADVANCED ENERGY SOLUTIONS,Duct_Board,,4,,Inadequate,,10.3,,Attic,,Horizontal,,,,10.5,,589,,Elec,Tank,Water_Saving,Y,100,Elec,10/22/2012 12:00:00 AM,13,25,1979,3,2356,,Single Family,05/20/2014 12:00:00 AM,"10600 PINEHURST DR
Austin, Tx 78747
(30.143033355000455, -97.78892806499965)",5,36,1,,484,4,3261
332028,Jason French,GREEN AUSTIN ENERGY AUDITS,Mylar_Flex,,6,,Adequate,,17,,Attic,,Horizontal,,13,,10,,476,,Gas,Tank,Water_Saving,N,0,Gas,05/02/2013 12:00:00 AM,30,8,2000,3,1902,1902,Single Family,05/20/2014 12:00:00 AM,"6011 SALCON CLIFF DR
Austin, Tx 78749
(30.20541383800048, -97.87778839199967)",8,38,2,,531,53,3638
188104,Andy Pell,1 EARTH ENERGY AUDITS,Sheet_Metal,,4,,Adequate,,8,,Closet,,Up Flow,,11,,12,,453,,Elec,Tank,Standard,Y,0,Elec,02/01/2012 12:00:00 AM,,,1983,2,1360,,Condo,05/20/2014 12:00:00 AM,"40 N IH 35 5D4
Austin, Tx 78701
(30.269910351000476, -97.74363728299966)",9,52,10,60,217,24,2856
750740,Robert Hartung,ENERGY AUDIT MASTERS,Mylar_Flex,,6,,Adequate,,22.8,,Attic,,Horizontal,,9,,10.5,,416,,Gas,Tankless,Water_Saving,Y,72,Gas,07/28/2011 12:00:00 AM,30,8,1929,2,832,832,Single Family,05/20/2014 12:00:00 AM,"3905 JACKSON AVE 2
Austin, Tx 78731
(30.313056533000463, -97.7553287339997)",10,17,5,74,126,66,3247
254732,Matt Courtright,GREEN ZONE HOME,Sheet_Metal,,6,,Adequate,,13,,Closet,,Up Flow,,17,,10.5,,517,,Elec,Tank,Standard,Y,174,Gas,02/17/2014 12:00:00 AM,26,12,1976,3,1552,1242,Single Family,05/20/2014 12:00:00 AM,"11402 JUNE DR
Austin, Tx 78753
(30.375236850000476, -97.66431988799968)",1,47,8,,217,78,3642
R065595,Brady Zaitoon,SQUARE HOUSE,Duct_Board,,6,,Adequate,,15,,Attic,,Horizontal,,12,,10,,400,,Elec,Tank,Water_Saving,Y,0,Elec,06/12/2013 12:00:00 AM,20,0,1975,4,1600,1600,Single Family,05/20/2014 12:00:00 AM,"12560 PARKLAND DR
Austin, Tx 78729
(30.45414571000049, -97.78431834699967)",,30,,,540,46,3245
219018,Jay Hill,ADVANCED ENERGY SOLUTIONS,Sheet_Metal,,4,,Adequate,,20,,Closet,,Up Flow,,5,,11.5,,593,,Gas,Tank,Water_Saving,N,90,Elec,08/23/2013 12:00:00 AM,14,22,1968,3,1779,,Single Family,05/20/2014 12:00:00 AM,"5900 N HAMPTON
Austin, Tx 78723
(30.310900907000473, -97.68554213799968)",1,19,8,84,309,33,3239
437503,Jay Hill,ADVANCED ENERGY SOLUTIONS,Sheet_Metal,,4,,Adequate,,21.3,,Closet,,Up Flow,,16,,11.5,,490,,Gas,Tank,Water_Saving,Y,34,Gas,03/20/2013 12:00:00 AM,20,18,1950,3,1715,,Single Family,05/20/2014 12:00:00 AM,"1001 GARNER AVE
Austin, Tx 78704
(30.25850381200047, -97.76652495799965)",5,9,1,2,217,75,2859
223679,James Moore Mcdonough,"AUSTIN GREEN ENERGY AUDITS, LLC",Sheet_Metal,,4,,Adequate,,6,,Closet,,Up Flow,,,,,,526,,Elec,Tank,Standard,Y,30,Elec,09/30/2009 12:00:00 AM,28,10,1962,3,1315,1315,Single Family,05/20/2014 12:00:00 AM,"6704 NOTRE DAME DR
Austin, Tx 78723
(30.31772665900047, -97.68226606199966)",1,19,8,84,309,33,3239
133846,Chad Garrett,AUSTIN INSPECTORS EXCHANGE,Grey_Flex,,6,,Adequate,,32,,Closet,,Up Flow,,,,9,,509,,Elec,Tank,Standard,Y,116,Elec,06/23/2011 12:00:00 AM,17.6,20.4,1982,2,1018,500,Town Homes,05/20/2014 12:00:00 AM,"6905 OLD QUARRY LANE
Austin, Tx 78731
(30.352068614000473, -97.75795693899965)",10,17,5,,217,66,3247
325915,Amir Faghih,APPROVED ENERGY AUDITS,Sheet_Metal,,5,,Adequate,,18,,Closet,,Up Flow,,5,,10.5,,585,,Gas,Tank,Standard,Y,0,Gas,06/11/2009 12:00:00 AM,19,19,1970,4,1464,1464,Single Family,05/20/2014 12:00:00 AM,"6903 WHISPERING OAKS DR
Austin, Tx 78745
(30.20387529000044, -97.81008754099969)",5,5,1,,62,23,3259
131639,Andy Pell,1 EARTH ENERGY AUDITS,Sheet_Metal,Sheet_Metal,6,6,Adequate,Adequate,9,8,Closet,Attic,Horizontal,Horizontal,10,10,12,12,471,471,Gas,Tank,Water_Saving,Y,0,Elec,03/28/2011 12:00:00 AM,28,0,1985,5,2827,1544,Single Family,05/20/2014 12:00:00 AM,"6111 BONTERRA DR
Austin, Tx 78731
(30.348276135000447, -97.76613883999966)",10,17,5,,217,66,3247
223915,Efrain Ramirez,"EARTH ANGELS ENERGY AUDITS, LLC",Sheet_Metal,,4,,Adequate,,16,,Closet,,Up Flow,,20,,7,,400,,Gas,Tank,Water_Saving,N,82,Gas,01/25/2013 12:00:00 AM,6,32,1964,3,1200,1200,Single Family,05/20/2014 12:00:00 AM,"6903 BRYN MAWR DR
Austin, Tx 78723
(30.31480590600046, -97.6688384099997)",1,19,8,41,309,33,3239
164455,Sam Bruce,GREEN ZONE HOME,Mylar_Flex,,6,,Adequate,,14,,Attic,,Horizontal,,8,,11,,,,Elec,Tank,Water_Saving,Y,0,Elec,03/19/2013 12:00:00 AM,19,19,1979,4,2169,1569,Single Family,05/20/2014 12:00:00 AM,"11107 YUCCA DR
Austin, Tx 78759
(30.424973760000455, -97.78007578799969)",10,51,5,,540,58,3647
330076,Kevin Dunaway,DR GREEN ENERGY AUDITORS,Mylar_Flex,,6,,Inadequate,,46,,Garage,,Up Flow,,23,,9,,385.2,,Elec,Tank,Water_Saving,N,44,Elec,12/05/2009 12:00:00 AM,15,23,1971,3,963,963,Single Family,05/20/2014 12:00:00 AM,"809 KING ALBERT
Austin, Tx 78745
(30.20316464400048, -97.78732200499968)",2,5,4,65,373,23,3259
337087,Bill Deatrick,"360 HOME INSPECTION, LLC",Mylar_Flex,,6,,Adequate,,16,,Closet,,Up Flow,,21,,9.5,,768,,Elec,Tank,Standard,Y,171,Elec,03/12/2012 12:00:00 AM,26,12,1993,3,1920,1080,Single Family,05/20/2014 12:00:00 AM,"8505 BISBEE CT
Austin, Tx 78745
(30.195479011000486, -97.83386100999968)",5,5,1,,62,23,3259
116856,Chad Roesch,A-1 ENERGY AUDITS,Sheet_Metal,,,,Adequate,,16,,Closet,,Up Flow,,8,,12,,506,,Gas,Tank,Water_Saving,Y,0,Gas,06/02/2012 12:00:00 AM,30,8,1945,2,1520,1520,Single Family,05/20/2014 12:00:00 AM,"2422 KEATING LN
Austin, Tx 78703
(30.29617751100045, -97.76493666399966)",10,26,5,6,126,69,2858
303300,Kelly Lloyde,AAA AUSTIN AUDITS,,,,,Inadequate,,80,,Closet,,Up Flow,,10,,,,700,,Elec,Tank,Standard,N,16,Gas,10/16/2009 12:00:00 AM,,,1967,1,700,,Fourplex,05/20/2014 12:00:00 AM,"2307 BARTON VILLAGE 102
Austin, Tx 78704
(30.246061590000465, -97.78313274799967)",5,9,1,2,217,75,2859
329565,James Davis,ENERGY AUDIT MASTERS,Mylar_Flex,Mylar_Flex,5,5,Adequate,Adequate,22.6,17.8,Closet,Attic,Up Flow,Up Flow,,,11.5,9.5,502,266,Gas,Tank,Water_Saving,Y,110,Gas,01/31/2013 12:00:00 AM,13,25,1983,3,2155,1300,Single Family,05/20/2014 12:00:00 AM,"8300 HORNET DR
Austin, Tx 78749
(30.20120681600048, -97.8398659669997)",8,38,2,,62,53,3638
228768,Deron Neblett,1ST CHOICE ENERGY,Mylar_Flex,,8,,Inadequate,,22,,Attic,Attic,Horizontal,Horizontal,18,,9,,366,,Gas,Tank,Water_Saving,Y,183,Gas,01/28/2014 12:00:00 AM,19,19,1950,2,916,916,Single Family,05/20/2014 12:00:00 AM,"5700 ARROYO SECO
Austin, Tx 78756
(30.329945028000452, -97.73456248099967)",7,12,7,25,217,7,3644
309425,Lynn Howden,AUSTIN QUALITY GREEN ENERGY AUDITS,Duct_Board,,5,,Adequate,,45,,Attic,,Horizontal,,10,,10,,548,,Gas,Tank,Water_Saving,N,42,Elec,07/08/2013 12:00:00 AM,15,23,1980,4,1917,1050,Single Family,05/20/2014 12:00:00 AM,"8301 ROAN LANE
Austin, Tx 78736
(30.237693736000438, -97.89527738299967)",8,33,2,73,295,27,3252
739619,Andy Pell,1 EARTH ENERGY AUDITS,Duct_Board,,4,,Adequate,,25,,Closet,,Up Flow,,11,,11,,402,,Elec,Tank,Water_Saving,Y,0,Gas,06/28/2013 12:00:00 AM,19,19,1971,1,603,603,Condo,05/20/2014 12:00:00 AM,"400 W 35TH ST 204
Austin, Tx 78705
(30.300365584000474, -97.73727833199968)",9,43,10,19,217,50,2860
226928,Brady Zaitoon,ENERGY ACTION,Sheet_Metal,,4,,Adequate,,16.7,,Garage,,Up Flow,,9,,9.5,,592,,Elec,Tank,Water_Saving,Y,275,Elec,04/30/2012 12:00:00 AM,25,0,1970,3,2369,800,Single Family,05/20/2014 12:00:00 AM,"7212 MARYWOOD
Austin, Tx 78723
(30.320271955000464, -97.67545333699968)",1,19,8,41,309,33,3239
220558,Jeff Geissen,AUSTIN GREEN & CONSERVATION,Grey_Flex,,3,,Adequate,,41,,Closet,,Up Flow,,13,,7,,490,,Gas,Tank,Water_Saving,Y,120,Gas,05/27/2009 12:00:00 AM,10,28,1954,3,1224,1224,Single Family,05/20/2014 12:00:00 AM,"1309 RIDGEMONT DR
Austin, Tx 78723
(30.312745033000454, -97.70135282099966)",4,19,9,84,309,33,3239
141923,Rob Scott,GREEN COLLAR OPERATIONS,Mylar_Flex,Mylar_Flex,6,6,Inadequate,Inadequate,42.8,33,Closet,Attic,Up Flow,Horizontal,15,2,,,373.5,603.8,Gas,Tank,Water_Saving,Y,0,Gas,04/25/2013 12:00:00 AM,17.6,20.4,1998,5,4987,1825,Single Family,05/20/2014 12:00:00 AM,"7148 VALBURN DR
Austin, Tx 78731
(30.366855968000436, -97.77784198999967)",10,17,5,,217,66,3247
242560,Sam Bruce,GREEN ZONE HOME,,,,,Inadequate,,9,,Closet,,Up Flow,,,,,,,,Elec,Tank,Water_Saving,Y,15,Gas,02/11/2014 12:00:00 AM,,,1969,2,984,,Condo,05/20/2014 12:00:00 AM,"2425 ASHDALE DR 81
Austin, Tx 78757
(30.35945577700045, -97.73200297199969)",7,3,7,95,217,16,3645
466881,William Sherman,AXIS GREEN SERVICES,Mylar_Flex,,8,,Adequate,,11,,Closet,,Up Flow,,16,,4,,485,,Gas,Tank,Water_Saving,Y,94,Gas,02/19/2014 12:00:00 AM,30,8,1998,3,1454,554,Single Family,05/20/2014 12:00:00 AM,"11110 FRANKLINS TALE LOOP
Austin, Tx 78748
(30.156771322000452, -97.8300093099997)",5,37,1,,373,22,3637
126770,Robert Hartung,ENERGY AUDIT MASTERS,Mylar_Flex,Mylar_Flex,6,6,Adequate,Adequate,14.3,26.3,Attic,Attic,Horizontal,Horizontal,,20,10,10.5,406,460,Gas,Tank,Water_Saving,Y,404,Gas,07/11/2011 12:00:00 AM,19,19,1994,4,2946,1800,Single Family,05/20/2014 12:00:00 AM,"4007 HAMBLETONIAN
Austin, Tx 78746
(30.337197168000444, -97.80128264099966)",10,10,5,,217,29,3260
379070,Bill Deatrick,"360 HOME INSPECTION, LLC",Mylar_Flex,Mylar_Flex,6,6,Adequate,Adequate,20,12,Attic,Attic,Horizontal,Horizontal,15,15,6,6,479,549,Elec,Tank,Water_Saving,N,24,Elec,07/09/2011 12:00:00 AM,30,8,1999,4,4040,2393,Single Family,05/20/2014 12:00:00 AM,"3711 MC NEIL DR
Austin, Tx 78727
(30.43335244600047, -97.70393014499967)",7,24,7,,540,36,3243
R073924,Aaron Capps,AUSTINTEXAS ENERGY AUDITS,Grey_Flex,Mylar_Flex,6,6,Adequate,Adequate,31,37,Attic,Attic,Up Flow,Horizontal,9,21,10,,588,588,Elec,Tank,Standard,Y,0,Elec,08/22/2012 12:00:00 AM,17,21,1981,6,2352,800,Duplex,05/20/2014 12:00:00 AM,"12304 BURR RIDGE DR
Austin, Tx 78729
(30.448500872000466, -97.7805424449997)",6,30,6,,540,46,3245
