"fiscal_year","quarter","month","category","sub_category","material_source_donated_to","weight_in_pounds"
"2018","Quarter 3","June","Waste","Landfill","Landfill Materials from Compactor","62800"
"2018","Quarter 3","May","Recycling","Compost","Compost Materials from Compactor","26280"
"2018","Quarter 3","May","Recycling","Compost","Scrap Wood","4680"
"2018","Quarter 3","May","Recycling","Re-Use","5 Gallon Water Jugs","954"
"2018","Quarter 3","May","Recycling","Re-Use","Wood Pallets","5250"
"2018","Quarter 3","May","Recycling","Recycle","Cardboard - 8yd Dumpster","4000"
"2018","Quarter 3","May","Recycling","Recycle","Cardboard - Baled","20873"
"2018","Quarter 3","May","Recycling","Recycle","Compact Fluourescent Lamps","102"
"2018","Quarter 3","May","Recycling","Recycle","Kitchen Grease","575"
"2018","Quarter 3","May","Recycling","Recycle","Mixed Recyclables (8 yd Dumpster)","1900"
"2018","Quarter 3","May","Recycling","Recycle","Mixed Recyclables (Glass, plastic, aluminum, paper) from Compactor","16620"
"2018","Quarter 3","May","Recycling","Recycle","Paper","1172"
"2018","Quarter 3","May","Recycling","Recycle","Scrap Metal","1590"
"2018","Quarter 3","May","Waste","Incineration","Sterno Cans w/residual Fuel","777.2"
"2018","Quarter 3","May","Waste","Landfill","Landfill Materials from Compactor","67020"
"2018","Quarter 4","August","Recycling","Compost","Compost Materials from Compactor","12600"
"2018","Quarter 4","August","Recycling","Compost","Scrap Wood","1920"
"2018","Quarter 4","August","Recycling","Re-Use","5 Gallon Water Jugs","1664"
"2018","Quarter 4","August","Recycling","Re-Use","Electronic Equipment","1502"
"2018","Quarter 4","August","Recycling","Re-Use","Facility - Furnishings","720"
"2018","Quarter 4","August","Recycling","Re-Use","Facility Equipment","3989"
"2018","Quarter 4","August","Recycling","Re-Use","Facility Kitchen - Equipment","1090"
"2018","Quarter 4","August","Recycling","Re-Use","Food","896.34"
"2018","Quarter 4","August","Recycling","Re-Use","Wood Pallets","7740"
"2018","Quarter 4","August","Recycling","Recycle","Cardboard - Open Top","9401"
"2018","Quarter 4","August","Recycling","Recycle","Carpet","20850"
"2018","Quarter 4","August","Recycling","Recycle","Compact Fluourescent Lamps","105"
"2018","Quarter 4","August","Recycling","Recycle","Facility - Furnishings","10"
"2018","Quarter 4","August","Recycling","Recycle","Grease Trap","57970"
"2018","Quarter 4","August","Recycling","Recycle","Ink and Toner Cartridges","16"
"2018","Quarter 4","August","Recycling","Recycle","Mixed Recyclables (Glass, plastic, aluminum, paper) from Compactor","7600"
"2018","Quarter 4","August","Recycling","Recycle","Paper","703"
"2018","Quarter 4","August","Recycling","Recycle","Scrap Metal","6077"
"2018","Quarter 4","August","Waste","Incineration","Sterno Cans w/residual Fuel","185.4"
"2018","Quarter 4","August","Waste","Landfill","Landfill Materials from Compactor","65080"
"2018","Quarter 4","August","Waste","Landfill","Trash from Cardboard Open Top - per Reciever","219"
"2018","Quarter 4","July","Recycling","Compost","Compost Materials from Compactor","21940"
"2018","Quarter 4","July","Recycling","Compost","Scrap Wood","2140"
"2018","Quarter 4","July","Recycling","Re-Use","5 Gallon Water Jugs","1011.2"
"2018","Quarter 4","July","Recycling","Re-Use","Facility - Furnishings","490"
"2018","Quarter 4","July","Recycling","Re-Use","Food","320"
"2018","Quarter 4","July","Recycling","Re-Use","Wood Pallets","4230"
"2018","Quarter 4","July","Recycling","Recycle","Cardboard - Baled","8021"
"2018","Quarter 4","July","Recycling","Recycle","Electronic Equipment","423"
"2018","Quarter 4","July","Recycling","Recycle","Kitchen Grease","260"
"2018","Quarter 4","July","Recycling","Recycle","Mixed Recyclables (Glass, plastic, aluminum, paper) from Compactor","13320"
"2018","Quarter 4","July","Recycling","Recycle","Paper","1250"
"2018","Quarter 4","July","Recycling","Recycle","Scrap Metal","1720"
"2018","Quarter 4","July","Waste","Landfill","Landfill Materials from Compactor","40140"
"2018","Quarter 4","July","Waste","Landfill","Trash in Recycling","440"
"2018","Quarter 4","September","Recycling","Compost","Compost Materials from Compactor","10380"
"2018","Quarter 4","September","Recycling","Compost","Compostable Items from Open Top","84340"
"2018","Quarter 4","September","Recycling","Compost","Scrap Wood","1500"
"2018","Quarter 4","September","Recycling","Re-Use","5 Gallon Water Jugs","374.4"
"2018","Quarter 4","September","Recycling","Re-Use","Facility Equipment","780"
"2018","Quarter 4","September","Recycling","Re-Use","Facility Kitchen - Equipment","27895"
"2018","Quarter 4","September","Recycling","Re-Use","Food","510.97"
"2018","Quarter 4","September","Recycling","Re-Use","Marketing Equipment","10"
"2018","Quarter 4","September","Recycling","Re-Use","Show Remainder - Reuse","2518"
"2018","Quarter 4","September","Recycling","Re-Use","Wood Pallets","9810"
"2018","Quarter 4","September","Recycling","Recycle","Cardboard - Open Top","14400"
"2018","Quarter 4","September","Recycling","Recycle","Facility Office - Mixed Supplies","53.3"
"2018","Quarter 4","September","Recycling","Recycle","K-Cups","5"
"2018","Quarter 4","September","Recycling","Recycle","Kitchen Grease","390"
"2018","Quarter 4","September","Recycling","Recycle","Mixed Recyclables (Glass, plastic, aluminum, paper) from Compactor","29860"
"2018","Quarter 4","September","Recycling","Recycle","Paper","7032"
"2018","Quarter 4","September","Waste","Landfill","Landfill Materials from Compactor","19560"
