"bill_number","title","sponsor","final_status"
"HB 1216","Department of Agriculture - Urban Agriculture Grant Fund","Melissa Wells","Senate - Favorable Report by Education, Health, and Environmental Affairs"
"SB 0636","Maryland Department of Health - Waiver Programs - Waitlist and Registry Reduction (End the Wait Act)","Craig Zucker","Senate - Returned Passed"
"HB 1130","Health Occupations - Prohibition on Expiration of Licenses, Certificates, Permits, and Registrations","Shane Pendergrass","House - Hearing 3/03 at 1:30 p.m."
"HB 0022","Animal Welfare - Declawing Cats - Prohibited Acts","Lorig Charkoudian","House - Returned Passed"
"HB 1085","Renewable Energy Portfolio Standard - Qualifying Biomass and Thermal Biomass Systems","Jason Buckel","House - Unfavorable Report by Economic Matters"
"HB 1003","Public Safety - 3-1-1 Systems - Nonemergency Information","Ken Kerr","House - Hearing 3/04 at 1:00 p.m."
"SB 0386","Interstate Medical Licensure Compact - Sunset Extension and Reporting","Pamela Beidle","Senate - Returned Passed"
"SB 0967","Tax Sales - Final Judgments in Foreclosure Actions - Revisions","George Edwards","Senate - Hearing 3/16 at 1:00 p.m."
"HB 0155","State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists - Revisions","Sheree Sample-Hughes","House - Returned Passed"
"HB 0064","State Highways - Designated Shoulder Areas - Establishment and Use by Transit Buses","Carol Krimm","House - Hearing 1/20 at 1:00 p.m."
"HB 0756","Correctional Services - Transfers to Federal Authorities - Undocumented Immigrants (Protecting Marylanders From Violent Crime Act of 2022)","Kathy Szeliga","House - Hearing 2/15 at 1:00 p.m."
"HB 0252","Income Tax - Maryland Earned Income Tax Credit Assistance Program for Low-Income Families","Julie Palakovich Carr","House - Returned Passed"
"HB 0437","Criminal Law - False Statements - Public Safety Answering Points and Penalty","Terri Hill","Senate - Referred Judicial Proceedings"
"HB 0649","Environment - Discharge Permits - Inspections and Administrative Continuations","Sara Love","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 22"
"HB 0867","Alcoholic Beverage Tax - Ready-to-Drink Cocktails","Eric Ebersole","House - Hearing 2/22 at 1:00 p.m. (Ways and Means)"
"SB 0806","Child Care Providers and Employees - Bonuses","Nancy King","House - Referred Rules and Executive Nominations"
"HB 0611","Procurement - Prevailing Wage - Applicability","Kriselda Valderrama","House - Returned Passed"
"SB 0104","Vehicle Emissions Inspection Program - Not Subject to Inspection - Fee","Benjamin Kramer","Senate - Hearing 1/18 at 1:00 p.m."
"SB 0369","Income Tax - Maryland Earned Income Tax Credit Assistance Program for Low-Income Families","Nancy King","Senate - Passed Enrolled"
"HB 0930","Senator William H. Amoss Fire, Rescue, and Ambulance Funds - Property Acquisition and Construction of Facilities","Dana Stein","House - Returned Passed"
"SB 0020","Criminal Procedure - Out of Court Statements - Child Victims and Witnesses","Susan Lee","Senate - Passed Enrolled"
"HB 0596","Constitutional Amendment - Environmental Rights","Wanika Fisher","House - Hearing 2/23 at 1:00 p.m."
"HB 0696","Public Utilities - Electric School Bus Pilot Program","David Fraser-hidalgo","House - Passed Enrolled"
"SB 0871","Accessory Dwelling Unit Authorization and Promotion Act","Mary Washington","Senate - Hearing 3/03 at 1:00 p.m."
"SB 0008","Task Force to Study the Need for Enhanced Monitoring of Guardians of Vulnerable Minors","Delores Kelley","Senate - Hearing 1/26 at 1:00 p.m."
"SB 0753","Education and Labor and Employment - Cyber Warrior Diversity Program and Workforce Development for Cybersecurity","Katie Hester","House - Third Reading Passed (128-3)"
"SB 0919","Child Care Capital Support Revolving Loan Fund - Established","Nancy King","House - Referred Rules and Executive Nominations"
"SB 0429","Criminal Law - Stalking - Penalties","Susan Lee","Senate - Hearing 2/16 at 1:00 p.m."
"HB 0363","Attorney General - Climate Change Actions - Authorization","Sheila Ruth","House - Hearing 2/15 at 1:30 p.m."
"SB 0145","Cooperative Housing Corporations - Property Insurance Deductibles - Member Responsibility","Benjamin Kramer","Senate - Hearing 2/02 at 2:00 p.m."
"SB 0721","Labor and Employment - State Minimum Wage Rate - Acceleration","Jeff Waldstreicher","Senate - Hearing 3/10 at 1:00 p.m."
"HB 1382","Children - Family Child Care Homes and the Chief Medical Examiner - Use of Video Recording Devices and Reports (Bexley's Law)","Kevin Hornberger","House - Hearing 3/03 at 1:30 p.m."
"HB 0420","Retirement Tax Elimination Act of 2022","Carl Anderton","House - Hearing 2/23 at 1:00 p.m."
"HB 0396","Montgomery County Planning Board - Open Meetings - Video and Audio Streaming and Minutes PG/MC 101-22","Prince George's County Delegation and Montgomery County Delegation","House - Returned Passed"
"HB 0849","Economic Development - Eligibility for State Job Creation Incentives","Vaughn Stewart","House - Hearing 2/23 at 1:00 p.m."
"SB 0543","Property Tax - Constant Yield Tax Rate - Notice Requirements","Antonio Hayes","Senate - Hearing 2/16 at 1:00 p.m."
"SB 0223","Landlord and Tenant - Eviction Actions - Filing Surcharge and Prohibited Lease Provisions","President","Senate - Hearing 2/03 at 1:00 p.m."
"HB 0076","Community Solar Energy Generating Systems - Exemption From Property Taxes","Stephanie Smith","House - Returned Passed"
"HB 0638","State Government - Attorney General - Independent Investigations Division","Vanessa Atterbeary","House - Hearing 3/01 at 1:00 p.m."
"SB 0129","Access to Counsel in Immigration Proceedings Program","Shelly Hettleman","Senate - Hearing 2/03 at 1:00 p.m."
"HB 0046","Vehicle Emissions Inspection Program - Not Subject to Inspection - Fee","David Fraser-hidalgo","House - Hearing 1/20 at 1:00 p.m."
"HB 0055","Health Occupations - Nurse Anesthetists - Drug Authority","Bonnie Cullison","House - Returned Passed"
"SB 0283","Department of Human Services - Electric Universal Service Program - Eligibility","Mary Washington","House - Referred Economic Matters"
"HB 0935","Health and Health Insurance - Behavioral Health Services - Expansion (Behavioral Health System Modernization Act)","Heather Bagnall","House - Hearing 3/09 at 3:00 p.m. (Health and Government Operations)"
"HB 0540","Agriculture - University of Maryland Extension - Urban Farmer Assistance","Shaneka Henson","House - Returned Passed"
"SB 0986","Education - Low-Density Calculation - Mandated Funding","Stephen Hershey","Senate - First Reading Senate Rules"
"SB 0337","Motor Fuel Tax Rates - Consumer Price Index Adjustment - Repeal","Michael Hough","Senate - Hearing 2/08 at 2:30 p.m."
"SB 0306","Dental Hygienists - Consultation Requirements - Health Care Practitioners","Clarence Lam","Senate - Returned Passed"
"HB 0102","Vehicle Laws - Race and Speed Contests - Penalties","Mary Lehman","House - Hearing 1/20 at 1:00 p.m."
"SB 0200","Public Health - Prescription Drug Monitoring Program - Naloxone Medication Data","Finance","Senate - Returned Passed"
"HB 0860","Public Information Act - Police Officers - Procedures and Limitations","Dan Cox","House - Hearing 3/01 at 1:00 p.m."
"HB 1072","Assisted Living Program Licensing - Notice of Applicant Located in Common Ownership Community","Marvin Holmes","House - Withdrawn by Sponsor"
"HB 0177","9-1-1 Registry Program - Autism and Other Special Needs - Established","Sandy Bartlett","House - Withdrawn by Sponsor"
"SB 0307","Public Records - Retention and Inspection - Communications (Transparency in Public Records Act of 2022)","Clarence Lam","Senate - Hearing 2/15 at 1:00 p.m."
"HB 1124","Primary and Secondary Education - Local School Systems - Budget Reporting","Christopher Adams","House - Hearing 3/09 at 2:30 p.m."
"HB 1196","Tax Sales - Alternative Collection Programs","Chanel Branch","Senate - Third Reading Passed (47-0)"
"SB 0550","Correctional Facilities - Transgender, Nonbinary, and Intersex Inmates (Transgender Respect, Agency, and Dignity Act)","Jill Carter","Senate - Hearing 2/17 at 1:00 p.m."
"HB 0184","Environment - On-Farm Composting Facilities - Permit Exemption","Emily Shetty","House - Hearing 2/02 at 1:00 p.m."
"SB 0004","Cybersecurity Scholarship Program - Alterations","Katie Hester","Senate - Returned Passed"
"SB 0714","Health Occupations - Dental Assistants - Certification and Regulation","Edward Reilly","Senate - Hearing 2/22 at 1:00 p.m."
"SB 0094","Public Health - Maryland Suicide Fatality Review Committee","Adelaide Eckardt","Senate - Returned Passed"
"HB 0724","Access to Counsel in Evictions Special Fund - Funding","Ben Barnes","House - Hearing 2/16 at 1:00 p.m."
"HB 1227","Regulation of Tobacco Products - Synthetic Nicotine","Terri Hill","House - Withdrawn by Sponsor"
"SB 0214","Child Abuse and Neglect - Disclosure of Reports and Records","Judicial Proceedings","House - Hearing 3/31 at 1:00 p.m."
"SB 0463","Washington Metropolitan Area Transit Authority - Funding Formulas - Alteration (WMATA Dedicated Funding Amendment Act of 2022)","Brian Feldman","House - Hearing canceled"
"SB 0259","Procurement - Prevailing Wage - Applicability","Brian Feldman","House - Gubernatorial Veto Override (Legislative date: 4/8/2022) - Chapter 51"
"HB 0040","Condominiums - Disclosures to Unit Owners and Prohibited Provisions in Instruments","Courtney Watson","House - Returned Passed"
"HB 1038","Foreclosure Proceedings - Residential Mortgagors and Grantors - Access to Counsel","Nick Charles","House - Hearing 3/02 at 1:00 p.m."
"SB 0820","Child Abuse and Neglect - Investigations - Timeliness","Clarence Lam","Senate - Returned Passed"
"SB 0990","Electronic Smoking Devices - Prohibitions and Requirements","J.B. Jennings","Senate - Withdrawn by Sponsor"
"HB 0251","Consumer Protection - Maryland Consumer Reporting Act - Registration of Consumer Reporting Agencies and Regulations","Julie Palakovich Carr","House - Referred to interim study by Economic Matters"
"HB 1095","Economic Development - Maryland Technology Development Corporation - Rural Business Innovation Initiative Fund","Jason Buckel","House - Hearing 3/02 at 1:00 p.m."
"HB 0217","Task Force on Recycling Policy and Recycling and Waste Systems in Maryland","Sara Love","House - Hearing 2/02 at 1:00 p.m."
"SB 0637","Health and Health Insurance - Behavioral Health Services - Expansion (Behavioral Health System Modernization Act)","Malcolm Augustine","House - Referred Rules and Executive Nominations"
"HB 0764","Department of Human Services - Missing Children in Out-of-Home Placements - Reporting","Geraldine Valentino-Smith","Senate - Hearing 3/23 at 1:00 p.m."
"HB 0677","Homestead Property Tax Credit - Portability of Value to New Dwelling","Wayne Hartman","House - Hearing 2/15 at 1:00 p.m."
"HB 0698","Labor and Employment - State Minimum Wage Rate - Increase","Veronica Turner","House - Hearing 2/22 at 1:00 p.m."
"SB 0312","Health Occupations - Nurse Anesthetists - Drug Authority and Collaboration","Edward Reilly","Senate - Withdrawn by Sponsor"
"HB 1012","Police Immunity and Accountability Act","Jheanelle Wilkins","House - Hearing 3/01 at 1:00 p.m."
"HB 0545","Public Safety - Persistent Aerial Surveillance","Robin Grammer","House - Hearing 3/01 at 1:00 p.m."
"HB 1165","Capital Projects - High Performance and Green Buildings","Catherine Forbes","House - Hearing 2/22 at 1:00 p.m."
"HB 0776","Emergency Medical System Plan - Guidelines for Emergency Medical Services - Law Enforcement Canines","Rachel Munoz","House - Withdrawn by Sponsor"
"HB 0640","Labor and Employment - Healthy Working Families Act - Application","Ned Carey","House - Hearing canceled"
"HB 0937","Abortion Care Access Act","Ariana Kelly","House - Vetoed by the Governor (Policy)"
"SB 0888","Education - American Studies and Social Equity Standards Advisory Board - Academic Standards and Model Policy","Susan Lee","Senate - Hearing 3/08 at 1:00 p.m."
"HB 0421","Out""of""State Health Care Practitioners - Provision of Behavioral Health Services via Telehealth - Authorization","Carl Anderton","House - Hearing 2/10 at 1:30 p.m."
"SB 0186","Maryland AIDS Drug Assistance Program Fund","Education, Health, and Environmental Affairs","Senate - Returned Passed"
"HB 1066","Vehicle Laws - Lighting - Privately Owned Vehicles of Volunteer Fire Company Members","Dana Stein","Senate - Hearing 3/24 at 1:00 p.m."
"HB 0285","Property Tax Credit - Disabled Law Enforcement Officers and Rescue Workers - Federal Police and Criminal Investigators","Dana Jones","Senate - House Conference Committee Appointed (Delegates D. Barnes, C. Branch and Patterson)"
"HB 0151","Traffic Control Device Monitoring Systems - Authorization","Anne Healey","House - Withdrawn by Sponsor"
"HB 1329","Suicide Treatment Improvement Act","Jay Jalisi","House - Hearing 3/07 at 2:00 p.m."
"HB 0367","Landlord and Tenant - Repossession for Failure to Pay Rent - Rental Assistance Programs","Nicole Williams","House - Hearing 2/08 at 1:00 p.m."
"HB 0065","Election Law - Early Voting Centers - Bus Stops","Brian Crosby","House - Withdrawn by Sponsor"
"SB 0053","Juvenile Law - Child Interrogation Protection Act","Jill Carter","House - Gubernatorial Veto Override (Legislative date: 4/8/2022) - Chapter 50"
"SB 0121","Maryland Farms and Families Fund, Maryland Food and Agricultural Resiliency Mechanism Grant Program, and Maryland Farm-to-School Meal Grant Pilot Program - Alterations and Establishment","Katie Hester","Senate - Passed Enrolled"
"SB 0354","Bay Restoration Fund - Intended Use Plans and Privately Owned Wastewater Facilities","Sarah Elfreth","Senate - Passed Enrolled"
"SB 0201","State Department of Assessments and Taxation - Property Appraisal Aids and Record Retention (Microfilm to Digital Act of 2022)","Budget and Taxation","Senate - Returned Passed"
"SB 0883","Public Health - Sickle Cell Disease - Testing at a Community""Based Health Fair","Ron Watson","Senate - Hearing 3/16 at 1:00 p.m."
"HB 0386","Anne Arundel County and City of Annapolis - Small, Minority, and Women-Owned Businesses Account - Local State of Emergency","Dana Jones","Senate - Third Reading Passed (43-0)"
"HB 0086","Landlord and Tenant - Residential Leases - Tenant Rights and Protections (Tenant Protection Act of 2022)","Vaughn Stewart","House - Returned Passed"
"HB 0035","Election Law - Voting Systems Costs, Polling Places, and Primary Election Date - Requirements","Julie Palakovich Carr","Senate - Referred Education, Health, and Environmental Affairs"
"SB 0671","Economic Development - Eligibility for State Job Creation Incentives","Benjamin Kramer","Senate - Hearing 3/01 at 1:00 p.m."
"HB 0995","Early Childhood Development - Child Care Scholarship Program - Alterations","Jared Solomon","Senate - Third Reading Passed (43-0)"
"SB 0903","Renewable Energy Portfolio Standard - Qualifying Biomass and Thermal Biomass Systems","Stephen Hershey","Senate - Hearing 3/01 at 1:00 p.m."
"HB 0615","Real Property - Condominiums and Homeowners Associations - Dispute Settlement","Anne Healey","House - Returned Passed"
"HB 0589","Adult Protective Services - Workgroup to Study Best Practices for a Vulnerable Adult Registry in Maryland","Wanika Fisher","Senate - Referred Rules"
"HB 0501","Labor and Employment - Workers' Compensation Claims - Fees for Legal Services","Kriselda Valderrama","House - Unfavorable Report by Economic Matters"
"HB 0323","Real Property - Limitations on Summoning Law Enforcement or Emergency Services - Prohibition","Julie Palakovich Carr","Senate - Hearing 3/29 at 1:00 p.m."
"HB 1259","Accessory Dwelling Unit Authorization and Promotion Act","Lisa Belcastro","House - Hearing 3/08 at 1:00 p.m."
"SB 0138","Criminal Procedure - Expungement of Records - Expansion","Obie Patterson","Senate - Hearing 2/01 at 1:00 p.m."
"HB 0250","Private Well Safety Act of 2022","Vaughn Stewart","Senate - Motion Special Order until Later Today (Senator Hester) Adopted"
"SB 0760","Property Tax Exemption - Religious Group or Organization - Third-Party Leases","Antonio Hayes","House - Referred Rules and Executive Nominations"
"SB 0890","Abortion Care Access Act","Delores Kelley","House - Rereferred to Health and Government Operations"
"SB 0126","Environment - New Motor Vehicles - Pollution Fee","Benjamin Kramer","Senate - Hearing 2/15 at 1:00 p.m."
"SB 0582","Natural Resources - Recreation on Private Land - Hunting","Jack Bailey","Senate - Passed Enrolled"
"HB 0242","Montgomery County - Alcoholic Beverages - Consumption Only Marketplace Licenses MC 06""22","Montgomery County Delegation","House - Returned Passed"
"SB 0624","Assisted Living Programs - Assisted Living Referrers - Requirements and Prohibitions","Shelly Hettleman","Senate - Hearing 2/24 at 1:00 p.m."
"SB 0082","Certified Nursing Assistants - Licensing Requirements","Adelaide Eckardt","Senate - Unfavorable Report by Education, Health, and Environmental Affairs"
"HB 0048","Public Health - Maryland Suicide Fatality Review Committee","Lisa Belcastro","House - Approved by the Governor - Chapter 80"
"SB 0266","Department of Transportation - Vehicle Litter Reporting Program","Joanne Benson","Senate - Hearing 2/02 at 2:00 p.m."
"HB 0300","Budget Bill (Fiscal Year 2023)","Speaker","House - First Reading Appropriations"
"SB 0604","Maryland Electricians Act - Revisions","Cory McCray","Senate - Returned Passed"
"HB 1105","Public Safety - 9-1-1 Emergency Telephone System - Alterations","Terri Hill","Senate - Referred Rules"
"SB 0002","Mental Health Law - Petitions for Emergency Evaluation - Electronic Record","Malcolm Augustine","Senate - Returned Passed"
"SB 0524","Public Utilities - Energy Efficiency and Conservation Programs - Energy Performance Targets and Low-Income Housing","Brian Feldman","Senate - Returned Passed"
"SB 0103","State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech""Language Pathologists, and Music Therapists - Revisions","Malcolm Augustine","Senate - Returned Passed"
"HB 0161","Criminal Law - Exploitation of Vulnerable Adult or Elderly Individual - Undue Influence","Emily Shetty","Senate - Hearing 3/22 at 1:00 p.m."
"HB 0006","Maryland Medical Assistance Program - Dental Coverage for Adults","Bonnie Cullison","House - Returned Passed"
"SB 0169","State Autism Strategy - Revisions","Finance","House - Hearing 4/04 at 1:00 p.m."
"HB 0700","Environment - Products and Packaging - Labeling, Marketing, and Advertising for Recycling","Sara Love","House - Hearing 2/18 at 11:00 a.m. (Environment and Transportation)"
"HB 1208","Health Occupations - Health Care Workforce Expansion","Ariana Kelly","House - Passed Enrolled"
"HB 0392","Landlord and Tenant - Failure to Repair Serious and Dangerous Defects - Tenant Remedies (Tenant Justice Act)","Vaughn Stewart","House - Hearing 2/08 at 1:00 p.m."
"HB 0616","Cooperative Housing Corporations - Dispute Settlement and Eviction Procedures","Anne Healey","Senate - Hearing 3/22 at 1:00 p.m."
"HB 0812","Montgomery County - Board of Education - Data Disaggregation Policy and Racial Disparity Comparisons MC 24""22","Montgomery County Delegation","House - Returned Passed"
"SB 0382","Intercepted Communications - Admissibility of Evidence","Susan Lee","Senate - Hearing 2/10 at 1:00 p.m."
"SB 0389","Public Safety - Maryland Police Accountability Act Revisions and Clarifications","Michael Jackson","House - Hearing 4/08 at 9:00 a.m."
"HB 0011","Renewable Energy Portfolio Standard - Tier 1 Renewable Source - Alterations (Reclaim Renewable Energy Act of 2022)","Vaughn Stewart","House - Withdrawn by Sponsor"
"HB 0933","Child Care Scholarship Program - Alterations (Maryland Child Care Working Families Act)","Pamela Queen","House - Hearing 3/04 at 1:00 p.m."
"HB 0957","Criminal Procedure - Expungement - Felony Convictions","Nicole Williams","House - Hearing 2/22 at 1:00 p.m."
"HB 0963","Election Law - Absentee Ballots - Signature Verification and Verification Statements and Unsigned Ballot Statements","Haven Shoemaker","House - Hearing 3/08 at 1:00 p.m."
"HB 0592","Deer Management Permit - Hunting on State Land Leased by Permit Holder - Authorization","Jay Jacobs","House - Returned Passed"
"HB 0395","Public Records - Retention and Inspection - Communications (Transparency in Public Records Act of 2022)","Vaughn Stewart","House - Hearing 2/15 at 1:30 p.m."
"HB 0293","Behavioral Health Crisis Response Services - 9-8-8 Trust Fund","Karen Young","House - Returned Passed"
"HB 0104","Family Law - Child Custody and Visitation","Vanessa Atterbeary","Senate - Referred Judicial Proceedings"
"HB 0350","Underground Facilities Damage Prevention - Enforcement","Benjamin Brooks","House - Returned Passed"
"HB 1301","Nonpublic Educational Programs - Children With Disabilities - Costs of Teacher Salaries","Marc Korman","House - Hearing 3/10 at 1:00 p.m."
"SB 0143","Maryland Paint Stewardship","Chris West","Senate - Hearing 2/08 at 1:00 p.m."
"HB 0414","Economic Development - Project Restore Program and Fund","Carl Anderton","House - Hearing 2/23 at 1:00 p.m."
"SB 0968","Tax Sales - Foreclosure Actions - Assignment of Certificates of Sale","George Edwards","Senate - Hearing 3/16 at 1:00 p.m."
"SB 0256","Maryland Energy Administration - Resiliency Hub Grant Program and Fund","Pamela Beidle","Senate - Returned Passed"
"HB 0077","Motor Vehicles - Operation of Dirt Bikes - Prohibited Acts","Brenda Thiam","House - Unfavorable Report by Environment and Transportation"
"HB 0761","County Boards of Health and Baltimore City Health Department - Procedures and Appeals Process","Susan Krebs","House - Hearing 2/23 at 1:30 p.m."
"HB 0165","Education - Sexual Abuse and Assault Awareness and Prevention Program - Human and Sex Trafficking","Steve Johnson","Senate - Hearing 3/23 at 1:00 p.m."
"HB 0684","Maryland Medical Assistance Program - Psychiatric Inpatient Care - Admissions Restrictions (Psychiatric Hospital Admissions Equity Act)","Heather Bagnall","House - Returned Passed"
"HB 0704","Homeowners' Property Tax Credit - Eligibility - Net Worth","Jason Buckel","House - Hearing 2/15 at 1:00 p.m."
"HB 0004","Unemployment Insurance - Recovery of Benefits - Refund of Payments","Courtney Watson","House - Returned Passed"
"HB 1057","Prince George's County - Recreation Blue Ribbon Workgroup PG 406-22","Prince George's County Delegation","House - Returned Passed"
"HB 1309","Landlord and Tenant - Repossession for Failure to Pay Rent - Procedures","Christopher Adams","House - Hearing 3/02 at 1:00 p.m."
"SB 0413","Voting Rights Act of 2022 - Counties and Municipalities","Charles Sydnor","Senate - Hearing 2/23 at 1:00 p.m."
"HB 1083","County and Municipal Street Lighting Investment Act","Alfred Carr","House - Unfavorable Report by Economic Matters"
"SB 0783","Constitutional Amendment - Environmental Rights","William Smith","Senate - Hearing 3/09 at 1:00 p.m. (Judicial Proceedings)"
"HB 1334","Labor and Employment - Workforce Development - Cybersecurity","Ken Kerr","House - Hearing 3/10 at 1:00 p.m."
"HB 1248","Child Abuse and Neglect - Investigations - Timeliness","Geraldine Valentino-Smith","House - Passed Enrolled"
"SB 0280","Temporary Protective Orders - Electronic Filing and Video Conferencing Hearings","Shelly Hettleman","Senate - Returned Passed"
"SB 0720","State Board of Examiners of Nursing Home Administrators - Renaming, Licensure of Assisted Living Managers, and Penalties","Delores Kelley","Senate - Passed Enrolled"
"HB 0097","Workgroup on Black, Latino, Asian American Pacific Islander, and Other Underrepresented Behavioral Health Professionals","Marlon Amprey","House - Returned Passed"
"SB 0585","Public Safety - Warrants and Absconding","Cory McCray","Senate - Returned Passed"
"HB 0197","Cooperative Housing Corporations - Property Insurance Deductibles - Member Responsibility","Vaughn Stewart","House - Hearing 1/25 at 1:00 p.m."
"HB 0809","Property Tax Exemption - Disabled Veteran, Active Duty, and Surviving Spouse - Application Process","Nicholaus Kipke","House - Passed Enrolled"
"HB 0928","Discrimination in Housing - Citizenship, Immigration Status, and National Origin","Julie Palakovich Carr","House - Hearing 2/22 at 1:00 p.m."
"SB 0161","Courts - Prohibited Indemnity and Defense Liability Agreements","Chris West","House - Hearing 3/30 at 1:00 p.m."
"SB 0874","State Highway Administration - Pedestrian and Bicyclist Fatalities - Infrastructure Review (Vision Zero Implementation Act of 2022)","Jeff Waldstreicher","House - Favorable Adopted Second Reading Passed"
"SB 0038","Public Safety - Fire and Rescue - Veterinary Care of Retired Fire and Rescue K-9s","Benjamin Kramer","Senate - Returned Passed"
"HB 0068","Interagency Commission on School Construction - Systemic Renovation Projects - Eligibility","Courtney Watson","House - Hearing 2/01 at 1:00 p.m."
"HB 0691","Landlord and Tenant and Wrongful Detainer Actions - Eviction Prevention Services","Melissa Wells","House - Hearing 2/16 at 1:00 p.m. (Judiciary)"
"HB 0686","Public Schools - Health and Safety - Carbon Dioxide Monitoring in Classrooms (Safe School Indoor Air Act)","Jared Solomon","House - Hearing 2/25 at 1:00 p.m. (Environment and Transportation)"
"HB 1474","Local Government Tort Claims Act - Definition of Local Government","Sheree Sample-Hughes","House - Rereferred to Judiciary"
