"bill_no","title","enacted_bill","sponsors","co_sponsors","introduction_date","expiration_date_of_pending_bills","public_hearing_date","action_date","effective_date","effective_date_2","sunset_date","mc_code_chapter","mc_code_section","lmc_chapter_no","status","yeas","nays","abstain","absent","final_vote","executive_action","lead_analyst","veto_override_date","veto_override_vote","disapprove_date","voted_to_disapprove_vote","withdrawn_date"
"42-15E","Bond Authorization","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?991_1_1381_Bill_42-15E_Signed_20151105.pdf","Council President at the Request of the County Executive",,"2015-10-20T00:00:00.000",,"2015-10-27T00:00:00.000","2015-10-27T00:00:00.000","2015-11-05T00:00:00.000",,,"Adding to the Laws of Montgomery County",,"Ch. 49, LMC 2015","Enacted","Elrich, Floreen, Katz, Leventhal, Rice, Riemer",,,"Berliner, Hucker, Navarro","6 Yeas - 0 Nays","Approved 11/5/2015","Jacob Sesker",,,,,
"30-21E","Landlord-Tenant Relations - Restrictions During Emergencies - Extended Limitations Against Rent Increases and Late Fees","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2721_1_17828_Bill_30-21E_Signed_20211109.pdf","Jawando",,"2021-07-13T00:00:00.000",,"2021-09-14T00:00:00.000","2021-11-02T00:00:00.000","2021-11-09T00:00:00.000",,"2023-02-15T00:00:00.000",,"Section 29-55","Ch. 30, 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/9/2021",,,,,,
"5-13","Property Tax Credit - Accessibility Features","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?856_1_2533_Bill_5-13_Signed_20140701.pdf","Leventhal",,"2013-02-05T00:00:00.000",,"2013-02-26T00:00:00.000","2013-11-19T00:00:00.000","2014-07-01T00:00:00.000",,,"52","52-18T","Ch. 32 LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/02/2013","Amanda Mihill",,,,,
"51-20","Landlord-Tenant Relations - Window Guards","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2689_1_14353_Bill_51-20_Signed_20210419.pdf","Hucker","Albornoz, Navarro, Rice, Riemer, Katz, Jawando","2020-12-08T00:00:00.000",,"2021-01-12T00:00:00.000","2021-04-06T00:00:00.000","2022-01-01T00:00:00.000",,,,,"Ch. 8. LMC 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 1/19/2021",,,,,,
"19-20E","Administration - County Executive - Office of Labor Relations - Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2658_1_10689_Bill_19-20E_Signed_20200529.pdf","Council President at the Request of the County Executive",,"2020-04-14T00:00:00.000",,"2020-04-30T00:00:00.000","2020-05-19T00:00:00.000","2020-05-29T00:00:00.000",,,,,"Ch. 16. LMC 2020","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/29/20",,,,,,
"48-14","Purchases from Minority Owned Businesses - Procedures - Request for Proposals","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?933_1_1932_Bill_48-14_Signed_20150722.pdf","Rice, Leventhal, Elrich, Branson, Navarro, Riemer",,"2014-10-21T00:00:00.000",,"2014-12-02T00:00:00.000","2015-04-14T00:00:00.000","2015-07-22T00:00:00.000",,"2015-12-31T00:00:00.000","11B","11B-60","Ch. 20, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/22/2015","Robert Drummer",,,,,
"43-21E","Health � Advisory Board for Montgomery Cares Program � Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2733_1_18950_Bill_43-21E_Signed_20211216.pdf","Health and Human Services Committee",,"2021-11-09T00:00:00.000",,"2021-11-30T00:00:00.000","2021-12-07T00:00:00.000","2021-12-16T00:00:00.000",,,,,"Ch. 35, 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/16/2021",,,,,,
"10-18","Administration - Director of County Climate Policy - Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2562_1_315_Bill_10-18_Signed_20181001.pdf","Leventhal","Berliner, Hucker, Navarro","2018-03-20T00:00:00.000",,"2018-04-10T00:00:00.000","2018-09-18T00:00:00.000","2018-12-28T00:00:00.000",,,"Adding Ch. 2","Section 2-25C","Ch. 22. LMC 2018","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 9/28/18","Amanda Mihill",,,,,
"16-17E","Swimming Pools - Lifeguards - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1442_1_730_Bill_16-17E_Signed_20171110.pdf","Katz","Floreen, Elrich, Berliner","2017-05-16T00:00:00.000",,"2017-06-20T00:00:00.000","2017-10-31T00:00:00.000","2017-11-10T00:00:00.000",,,"Amending 51","51-1, 51-10","Ch. 30. LMC 2017","Enacted","Berliner, Elrich, Floreen, Katz, Leventhal, Rice, Riemer","Hucker, Navarro",,,"7 Yeas - 2 Nays","Approved 11/10/17","Amanda Mihill",,,,,
"9-21","Streets and Roads - Sidewalk Snow Removal - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2700_1_20059_Bill_9-21_Signed_20220225.pdf","Glass","Riemer, Katz, Hucker, Navarro","2021-02-23T00:00:00.000",,"2021-03-16T00:00:00.000","2022-02-15T00:00:00.000","2022-05-26T00:00:00.000",,,,,"Ch. 3, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 2/25/2022",,,,,,
"3-10E","Streets and roads - Sidewalks - Public hearing requirement","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?710_1_3711_Bill_3-10E_Signed_20100311.pdf","Floreen","Leventhal, Ervin","2010-01-19T00:00:00.000","2011-07-19T00:00:00.000","2010-02-09T00:00:00.000","2010-03-02T00:00:00.000","2010-03-11T00:00:00.000",,,"49, Streets and Roads","49-53 and 49-54","Ch. 3, LMC 2010","Enacted","Navarro, Knapp, Andrews, Floreen,  Elrich, Ervin, Leventhal, Trachtenberg","Berliner",,,"8 Yeas - 1 Nays","Approved 03/11/2010","Michael Faden",,,,,
"48-21","General Provision - County Symbols - County Tree � Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2739_1_20140_Bill_48-21_Signed_20220328.pdf","Council President at the Request of the County Executive",,"2021-12-14T00:00:00.000",,"2022-01-18T00:00:00.000","2022-03-15T00:00:00.000","2022-03-28T00:00:00.000",,,,,"Ch. 10, 2022","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Riemer",,,"Rice","8 Yeas - 0 Nays","Approved 3/28/2022",,,,,,
"27-11","Pedestrian and Traffic Safety Advisory Committee - Sunset Repeal","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?798_1_3045_Bill_27-11_Signed_20110207.pdf","Ervin","Berliner, Andrews, Navarro","2011-09-13T00:00:00.000","2013-03-13T00:00:00.000","2011-10-04T00:00:00.000","2011-10-25T00:00:00.000","2011-02-07T00:00:00.000",,,"49","49-81","Ch. 18, LMC 2011","Enacted","Andrews, Berliner, Elrich, Floreen, Leventhal, Navarro, Rice, Riemer",,,"Ervin","8 Yeas - 0 Nays","Approved 11/07/2011","Amanda Mihill",,,,,
"9-19E","Consolidated Retiree Health Benefits  Trust - Delegation of Duties","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2605_1_49_Bill_9-19E_Signed_20190725.pdf","Council President at the request of the Board of Trustees for the Consolidated Retiree Health Benefits Trust",,"2019-04-02T00:00:00.000",,"2019-04-30T00:00:00.000","2019-07-16T00:00:00.000","2019-07-25T00:00:00.000",,,"Amending Ch. 33","Sections 33-160 and 33-162","Ch. 12. LMC 2019","Enacted","Albornoz, Friedson, Hucker, Jawando, Katz, Navarro",,,"Glass, Riemer, Rice","6 Yeas - 0 Nays","Approved 7/25/19","Robert Drummer",,,,,
"15-17E","Silver Spring, Bethesda, Wheaton and Montgomery Hills Parking Lot Districts - Areas Defined - Tax Exemption","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1441_1_737_Bill_15-17E_Signed_20170701.pdf","Council President at the request of the County Executive",,"2017-05-02T00:00:00.000",,"2017-06-13T00:00:00.000","2017-06-27T00:00:00.000","2017-07-01T00:00:00.000",,,"Amending 60; Deleting 60","Sections 60-1 and 60-6; Sections 60-17, 60-18, 60-19, and 60-20","Ch. 20, LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 7/7/17","Josh Hamlin",,,,,
"4-10","Workforce Housing - Voluntary","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?713_1_3695_Bill_4-10_Signed_20100710.pdf","Planning Housing and Economic Development Committee",,"2010-02-02T00:00:00.000","2011-08-02T00:00:00.000","2010-03-02T00:00:00.000","2010-04-06T00:00:00.000","2010-07-10T00:00:00.000",,,"25A; 25B","25A-5; 25B-23 through 25B-28","Ch. 11, LMC 2010","Enacted","Navarro, Knapp, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal, Trachtenberg",,,,"9 Yeas - 0 Nays","Approved 04/10/2010","Jeffrey Zyontz",,,,,
"37-19","Economic Development Fund - Use of Fund and Remedies for Noncompliance","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2635_1_14317_Bill_37-19_Signed_20210325.pdf","Glass","Riemer, Jawando","2019-12-03T00:00:00.000",,"2020-01-14T00:00:00.000","2021-03-16T00:00:00.000","2021-06-24T00:00:00.000",,,"Amending Ch. 20: Adding Ch. 20","Amending Sections 20-75, 20-76E: Adding Section 20-76F","Ch. 5. LMC 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 3/25/2021",,,,,,
"22-10","Special Capital Improvements Project - Travilah Fire Station","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?731_1_3525_Bill_22-10_Signed_20100920.pdf","Council President at the Request of the County Executive",,"2010-04-20T00:00:00.000","2011-10-20T00:00:00.000","2010-06-15T00:00:00.000","2010-06-15T00:00:00.000","2010-09-20T00:00:00.000",,,"Adding to LMC 2010",,"Ch. 25, LMC 2010","Enacted","Navarro, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal",,,"Knapp, Trachtenberg","7 Yeas - 0 Nays","Approved 06/21/2010","Glenn Orlin",,,,,
"10-10E","Buildings - Energy Efficiency - Repeal","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?719_1_3630_Bill_10-10E_Signed_20100529.pdf","Council President at the Request of the County Executive",,"2010-03-23T00:00:00.000","2011-09-23T00:00:00.000","2010-04-13T00:00:00.000","2010-05-18T00:00:00.000","2010-05-29T00:00:00.000",,,"Chapter 8, Article VIII.; 2008 LMC, Ch7","5","Ch. 16, LMC 2010","Enacted","Navarro, Knapp, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal, Trachtenberg",,,,"9 Yeas - 0 Nays","Approved 05/29/2010","Amanda Mihill",,,,,
"6-16E","Taxation - Room Rental and Transient Tax Definitions","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1007_1_1241_Bill_6-16E_Signed_20160420.pdf","Council President at Request of the County Executive",,"2016-03-15T00:00:00.000",,"2016-04-05T00:00:00.000","2016-04-12T00:00:00.000","2016-04-20T00:00:00.000",,,"52","52-16","Ch. 14, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 4/20/2016","Jeffrey Zyontz",,,,,
"18-21","Police - Internal Affairs - Procedures and Reporting Requirements","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?2709_1_17842_Bill_18-21_Signed_20211119.pdf","Hucker","Jawando, Riemer, Glass, Navarro, Rice, Albornoz","2021-05-18T00:00:00.000",,"2021-06-22T00:00:00.000","2021-11-09T00:00:00.000","2022-02-18T00:00:00.000",,,,,"Ch. 32, 2021","Enacted","Albornoz, Friedson, Glass, Hucker, Jawando, Katz, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/19/2021",,,,,,
"30-13","Taxation - Property Tax Credit - Burtonsville Enterprise Zone Property","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?881_1_2351_Bill_30-13_Signed_20140318.pdf","Ervin, Rice, Berliner, Elrich, Navarro, Floreen, Andrews, Leventhal, Riemer",,"2013-11-05T00:00:00.000",,"2013-11-26T00:00:00.000","2013-12-10T00:00:00.000","2014-03-18T00:00:00.000",,,"52","52-18T","Ch. 35, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 12/17/2013","Amanda Mihill",,,,,
"31-12","Accessory Apartments - Licensing","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?841_1_2681_Bill_31-12_Signed_20130520.pdf","Planning Housing and Economic Development Committee",,"2012-11-13T00:00:00.000","2014-05-13T00:00:00.000","2012-12-04T00:00:00.000","2013-02-05T00:00:00.000","2013-05-20T00:00:00.000",,,"2; 29","2-112 and 2-140; 29-16, 29-19, and 29-26","Ch. 2, LMC 2013","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 2/12/2013","Jeffrey Zyontz",,,,,
"26-10","Special Capital Improvements Project - 6th District Police Station","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?735_1_3501_Bill_26-10_Signed_20100920.pdf","Council President at the Request of the County Executive",,"2010-04-20T00:00:00.000","2011-10-20T00:00:00.000","2010-06-15T00:00:00.000","2010-06-15T00:00:00.000","2010-09-20T00:00:00.000",,,"Adding to LMC 2010",,"Ch. 29, LMC 2010","Enacted","Navarro, Andrews, Floreen, Berliner, Elrich, Ervin, Leventhal",,,"Knapp, Trachtenberg","7 Yeas - 0 Nays","Approved 06/21/2010","Glenn Orlin",,,,,
"15-15","Taxes - Excise Tax - Electronic Cigarettes","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?963_1_1611_Bill_15-15_Signed_20150819.pdf","Hucker","Leventhal, Berliner, Riemer, Floreen, Katz, Elrich, Navarro, Rice","2015-04-14T00:00:00.000",,"2015-05-05T00:00:00.000","2015-05-13T00:00:00.000","2015-08-19T00:00:00.000",,,"52, Article XIII","52-95 through 52-100","Ch. 26, LMC 2015","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/20/2015","Amanda Mihill",,,,,
"37-16","Taxation - Development Impact Tax - Transportation and Public School Improvements - Amendments","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1040_1_988_Bill_37-16_Signed_20170301.pdf","Council President at the Request of the Montgomery County Planning Board",,"2016-08-02T00:00:00.000",,"2016-09-13T00:00:00.000","2016-11-15T00:00:00.000","2017-03-01T00:00:00.000",,,"Amending 52","52-47, 52-49, 52-53, 52-55,52-57,52-58,52-59,52-89,52-90,52-91,52-93, and 52-94","Ch. 36, LMC 2016","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 11/28/2016","Robert Drummer",,,,,
"7-11E","Stormwater Management - Revisions","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?776_1_3188_Bill_7-11E_Signed_20110510.pdf","Council President at the Request of the County Executive",,"2011-03-15T00:00:00.000","2012-09-15T00:00:00.000","2011-03-29T00:00:00.000","2011-05-03T00:00:00.000","2011-05-10T00:00:00.000",,,"19","19-26","Ch. 5, LMC 2011","Enacted","Andrews, Berliner, Elrich, Ervin, Floreen, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 05/10/2011","Amanda Mihill",,,,,
"8-17","Executive Branch � Business Solutions Group - Established","https://apps.montgomerycountymd.gov/CCLLIMS/downloadFilePage.aspx?1434_1_809_Bill_8-17_Signed_20170515.pdf","Berliner, Riemer","Elrich, Navarro, Katz, Rice","2017-04-04T00:00:00.000",,"2017-04-25T00:00:00.000","2017-05-02T00:00:00.000","2017-08-11T00:00:00.000",,,"2","2-25B","Ch. 13, LMC 2017","Enacted","Berliner, Elrich, Floreen, Hucker, Katz, Leventhal, Navarro, Rice, Riemer",,,,"9 Yeas - 0 Nays","Approved 5/12/2017","Robert Drummer",,,,,
