"application_type","permit_no","work_type","added_date","issued_date","final_date","expired_date","status","building_area","description","st_no","pre_dir","st_name","suffix","post_dir","city","state","zip","latitude","longitude","location","geolocation"
"USE & OCCUPANCY PERMIT","384910","OCCUPY","2021-12-16T12:12:43.000","2022-08-09T08:08:02.000","2022-08-09T08:08:02.000",,"Finaled","1","BREAKOUT U/O FROM CORE AND SHELL 383959THIS U/O COVERS FLOORS 11-17","4646",,"MONTGOMERY","AVE",,"BETHESDA","MD","20814","38.983651","-77.092909",,"POINT (-77.092909 38.983651)"
"USE & OCCUPANCY PERMIT","388058","OCCUPY","2022-06-01T11:06:05.000","2022-08-09T07:08:38.000","2022-08-09T07:08:38.000",,"Finaled","1","Retail Store (Clothing)","7101",,"DEMOCRACY",,,"BETHESDA","MD","20817","0","0",,"POINT (0 0)"
"USE & OCCUPANCY PERMIT","382928","OCCUPY","2021-08-13T08:08:05.000","2022-08-09T03:08:34.000","2022-08-09T03:08:34.000",,"Finaled","1","TOWNHOUSE","16136",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.12384","-77.16704",,"POINT (-77.16704 39.12384)"
"USE & OCCUPANCY PERMIT","382907","OCCUPY","2021-08-12T09:08:31.000","2022-08-09T03:08:26.000","2022-08-09T03:08:26.000",,"Finaled","1","2 over 2","16144",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.123954","-77.167125",,"POINT (-77.167125 39.123954)"
"USE & OCCUPANCY PERMIT","380710","OCCUPY","2021-04-08T01:04:36.000","2022-08-09T02:08:50.000","2022-08-09T02:08:50.000",,"Finaled","1","COMM TH","8168",,"TOMPKINS","ST",,"ROCKVILLE","MD","20855","39.123992","-77.166315",,"POINT (-77.166315 39.123992)"
"USE & OCCUPANCY PERMIT","380709","OCCUPY","2021-04-08T01:04:52.000","2022-08-09T02:08:43.000","2022-08-09T02:08:43.000",,"Finaled","1","COMM TH","8166",,"TOMPKINS","ST",,"ROCKVILLE","MD","20855","39.123953","-77.166288",,"POINT (-77.166288 39.123953)"
"USE & OCCUPANCY PERMIT","379825","OCCUPY","2021-02-25T11:02:09.000","2022-08-09T02:08:40.000","2022-08-09T02:08:40.000",,"Finaled","1","4 STORY TOWNHOUSE","8023",,"BAXTER","ST",,"ROCKVILLE","MD","20855","39.123782","-77.165938",,"POINT (-77.165938 39.123782)"
"USE & OCCUPANCY PERMIT","387773","OCCUPY","2022-05-12T03:05:00.000","2022-08-08T10:08:25.000","2022-08-08T10:08:25.000",,"Finaled","1","Chiropractic Practice","3852",,"INTERNATIONAL","DR",,"SILVER SPRING","MD","20906","39.102192","-77.075156",,"POINT (-77.075156 39.102192)"
"USE & OCCUPANCY PERMIT","387942","OCCUPY","2022-05-24T08:05:13.000","2022-08-08T03:08:58.000","2022-08-08T03:08:59.000",,"Finaled","1","Suite 600","8401",,"COLESVILLE","RD",,"SILVER SPRING","MD","20910","38.994983","-77.031757","Suite 600","POINT (-77.031757 38.994983)"
"USE & OCCUPANCY PERMIT","388955","OCCUPY","2022-07-20T11:07:27.000","2022-08-08T02:08:00.000","2022-08-08T02:08:01.000",,"Finaled","1",,"20400",,"CENTURY","BLVD",,"GERMANTOWN","MD","20874","39.191362","-77.265794","SUITE 5","POINT (-77.265794 39.191362)"
"USE & OCCUPANCY PERMIT","384911","OCCUPY","2021-12-16T12:12:44.000","2022-08-05T03:08:56.000","2022-08-05T03:08:56.000",,"Finaled","1","BREAKOUT U/O FROM CORE AND SHELL 383959 THIS U/O COVERS AMENITY LEVEL","4646",,"MONTGOMERY","AVE",,"BETHESDA","MD","20814","38.983651","-77.092909",,"POINT (-77.092909 38.983651)"
"USE & OCCUPANCY PERMIT","384912","OCCUPY","2021-12-16T12:12:45.000","2022-08-05T03:08:36.000","2022-08-05T03:08:36.000",,"Finaled","1","BREAKOUT U/O FROM CORE AND SHELL 383959 THIS U/O COVERS RESTAURANT LEVEL","4646",,"MONTGOMERY","AVE",,"BETHESDA","MD","20814","38.983651","-77.092909",,"POINT (-77.092909 38.983651)"
"USE & OCCUPANCY PERMIT","383959","OCCUPY","2021-10-13T09:10:05.000","2022-08-05T03:08:00.000","2022-08-05T03:08:00.000",,"Finaled","1","Hotel Core and Shell","4646",,"MONTGOMERY","AVE",,"BETHESDA","MD","20814","38.983651","-77.092909",,"POINT (-77.092909 38.983651)"
"USE & OCCUPANCY PERMIT","389063","OCCUPY","2022-07-26T03:07:51.000","2022-08-04T10:08:55.000","2022-08-04T10:08:55.000",,"Finaled","1","UNIT&nbsp;517 ONLY","8525",,"CHEVY CHASE LAKE","TER",,"CHEVY CHASE","MD","20815","38.995601","-77.075845","UNIT 517","POINT (-77.075845 38.995601)"
"USE & OCCUPANCY PERMIT","388272","OCCUPY","2022-06-10T01:06:51.000","2022-08-04T10:08:18.000","2022-08-04T10:08:18.000",,"Finaled","1","FAMILY DAYCARE 8-12","14404",,"BONIFANT PARK","PL",,"SILVER SPRING","MD","20906","39.093899","-77.04059",,"POINT (-77.04059 39.093899)"
"USE & OCCUPANCY PERMIT","389062","OCCUPY","2022-07-26T03:07:09.000","2022-08-04T08:08:03.000","2022-08-04T08:08:03.000",,"Finaled","1","UNIT 620 ONLY","8525",,"CHEVY CHASE LAKE","TER",,"CHEVY CHASE","MD","20815","38.995601","-77.075845","UNIT 620","POINT (-77.075845 38.995601)"
"USE & OCCUPANCY PERMIT","388945","OCCUPY","2022-07-20T10:07:03.000","2022-08-04T02:08:58.000","2022-08-04T02:08:58.000",,"Finaled","1","Existing use A-2 Restaurant to A-3 Gymnasium for Martial Arts","10149",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20903","39.021855","-76.976174",,"POINT (-76.976174 39.021855)"
"USE & OCCUPANCY PERMIT","386085","OCCUPY","2022-02-17T02:02:07.000","2022-08-02T10:08:16.000","2022-08-02T10:08:16.000",,"Finaled","1",,"6701",,"DEMOCRACY","BLVD",,"BETHESDA","MD","20817","39.022656","-77.136918",,"POINT (-77.136918 39.022656)"
"USE & OCCUPANCY PERMIT","380278","OCCUPY","2021-03-22T08:03:29.000","2022-08-01T11:08:32.000","2022-08-01T11:08:32.000",,"Finaled","1","4 STORY TOWNHOUSE","8173",,"RIVER","RD",,"BETHESDA","MD","20817","38.99632","-77.16562",,"POINT (-77.16562 38.99632)"
"USE & OCCUPANCY PERMIT","382942","OCCUPY","2021-08-13T02:08:49.000","2022-08-01T09:08:29.000","2022-08-01T09:08:29.000",,"Finaled","1",,"16140",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.123895","-77.167079",,"POINT (-77.167079 39.123895)"
"USE & OCCUPANCY PERMIT","386027","OCCUPY","2022-02-15T02:02:36.000","2022-08-01T09:08:25.000","2022-08-01T09:08:25.000",,"Finaled","1","2ND FLOOR","5454",,"NICHOLSON","LN",,"KENSINGTON","MD","20895","39.044689","-77.108646",,"POINT (-77.108646 39.044689)"
"USE & OCCUPANCY PERMIT","380275","OCCUPY","2021-03-22T08:03:32.000","2022-08-01T04:08:24.000","2022-08-01T04:08:24.000",,"Finaled","1","4 STORY TOWNHOUSE","8145",,"RIVER","RD",,"BETHESDA","MD","20817","38.996389","-77.165077",,"POINT (-77.165077 38.996389)"
"USE & OCCUPANCY PERMIT","382926","OCCUPY","2021-08-13T08:08:36.000","2022-08-01T02:08:54.000","2022-08-01T02:08:54.000",,"Finaled","1","TOWNHOUSE","16134",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.123878","-77.166963",,"POINT (-77.166963 39.123878)"
"USE & OCCUPANCY PERMIT","376910","OCCUPY","2020-08-31T08:08:46.000","2022-08-01T01:08:09.000","2022-08-01T01:08:10.000",,"Finaled","1",,"13115",,"WINGED FOOT","LN",,"GERMANTOWN","MD","20874","39.200014","-77.272235",,"POINT (-77.272235 39.200014)"
"USE & OCCUPANCY PERMIT","384935","OCCUPY","2021-12-17T12:12:23.000","2022-07-29T12:07:51.000","2022-07-29T12:07:51.000",,"Finaled","1","Residential Townhome","16236",,"BUSHWICK","PL",,"ROCKVILLE","MD","20855","39.125772","-77.167756",,"POINT (-77.167756 39.125772)"
"USE & OCCUPANCY PERMIT","384927","OCCUPY","2021-12-17T08:12:13.000","2022-07-29T12:07:39.000","2022-07-29T12:07:39.000",,"Finaled","1","TH","16244",,"BUSHWICK","PL",,"ROCKVILLE","MD","20855","39.125867","-77.167833",,"POINT (-77.167833 39.125867)"
"USE & OCCUPANCY PERMIT","384932","OCCUPY","2021-12-17T11:12:43.000","2022-07-29T12:07:19.000","2022-07-29T12:07:20.000",,"Finaled","1","Residential Townhome","16240",,"BUSHWICK","PL",,"ROCKVILLE","MD","20855","39.12582","-77.167794",,"POINT (-77.167794 39.12582)"
"USE & OCCUPANCY PERMIT","378624","OCCUPY","2020-12-15T01:12:34.000","2022-07-29T12:07:13.000","2022-07-29T12:07:13.000",,"Finaled","1","Educational Building","2020",,"QUEENSGUARD","RD",,"SILVER SPRING","MD","20906","39.086898","-77.04449",,"POINT (-77.04449 39.086898)"
"USE & OCCUPANCY PERMIT","388939","OCCUPY","2022-07-19T03:07:27.000","2022-07-29T12:07:03.000","2022-07-29T12:07:03.000",,"Finaled","1","SHARED OFFICE SPACES","10770",,"COLUMBIA","PIKE",,"SILVER SPRING","MD","20901","0","0",,"POINT (0 0)"
"USE & OCCUPANCY PERMIT","380114","OCCUPY","2021-03-15T10:03:32.000","2022-07-29T07:07:52.000","2022-07-29T07:07:52.000",,"Finaled","1",,"8029",,"BAXTER","ST",,"ROCKVILLE","MD","20855","39.123894","-77.166028",,"POINT (-77.166028 39.123894)"
"USE & OCCUPANCY PERMIT","379837","OCCUPY","2021-02-25T11:02:17.000","2022-07-29T07:07:40.000","2022-07-29T07:07:40.000",,"Finaled","1","TOWNHOME","8027",,"BAXTER","ST",,"ROCKVILLE","MD","20855","39.123857","-77.165997",,"POINT (-77.165997 39.123857)"
"USE & OCCUPANCY PERMIT","382908","OCCUPY","2021-08-12T09:08:30.000","2022-07-29T02:07:50.000","2022-07-29T02:07:50.000",,"Finaled","1","2 over 2","16138",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.123936","-77.167004",,"POINT (-77.167004 39.123936)"
"USE & OCCUPANCY PERMIT","388493","OCCUPY","2022-06-23T10:06:23.000","2022-07-29T02:07:02.000","2022-07-29T02:07:03.000",,"Finaled","1",,"8531",,"CONNECTICUT","AVE",,"CHEVY CHASE","MD","20815","38.995518","-77.0769",,"POINT (-77.0769 38.995518)"
"USE & OCCUPANCY PERMIT","379834","OCCUPY","2021-02-25T04:02:13.000","2022-07-28T10:07:10.000","2022-07-28T10:07:10.000",,"Finaled","1",,"8021",,"BAXTER","ST",,"ROCKVILLE","MD","20855","39.123741","-77.165906",,"POINT (-77.165906 39.123741)"
"USE & OCCUPANCY PERMIT","372613","OCCUPY","2019-12-04T10:12:34.000","2022-07-27T11:07:36.000","2022-07-27T11:07:36.000",,"Finaled","1","ORANGE THEORY FITNESS 1ST FLOOR","7955",,"WOODMONT","AVE",,"BETHESDA","MD","20814","38.98977","-77.096241",,"POINT (-77.096241 38.98977)"
"USE & OCCUPANCY PERMIT","380760","OCCUPY","2021-04-11T05:04:57.000","2022-07-27T02:07:57.000","2022-07-27T02:07:58.000",,"Finaled","1","COMM TH","8170",,"TOMPKINS","ST",,"ROCKVILLE","MD","20855","39.124029","-77.166345",,"POINT (-77.166345 39.124029)"
"USE & OCCUPANCY PERMIT","379348","OCCUPY","2021-02-04T10:02:08.000","2022-07-27T02:07:48.000","2022-07-27T02:07:49.000",,"Finaled","1",,"8152",,"TOMPKINS","ST",,"ROCKVILLE","MD","20855","39.124066","-77.166162",,"POINT (-77.166162 39.124066)"
"USE & OCCUPANCY PERMIT","384926","OCCUPY","2021-12-17T08:12:56.000","2022-07-27T02:07:45.000","2022-07-27T02:07:46.000",,"Finaled","1","TH","16252",,"BUSHWICK","PL",,"ROCKVILLE","MD","20855","39.125947","-77.167895",,"POINT (-77.167895 39.125947)"
"USE & OCCUPANCY PERMIT","379347","OCCUPY","2021-02-04T10:02:02.000","2022-07-27T02:07:19.000","2022-07-27T02:07:19.000",,"Finaled","1",,"8154",,"TOMPKINS","ST",,"ROCKVILLE","MD","20855","39.124027","-77.166134",,"POINT (-77.166134 39.124027)"
"USE & OCCUPANCY PERMIT","379462","OCCUPY","2021-02-10T02:02:41.000","2022-07-27T02:07:08.000","2022-07-27T02:07:08.000",,"Finaled","1",,"8156",,"TOMPKINS","ST",,"ROCKVILLE","MD","20855","39.12399","-77.166106",,"POINT (-77.166106 39.12399)"
"USE & OCCUPANCY PERMIT","385412","OCCUPY","2022-01-20T07:01:15.000","2022-07-27T01:07:51.000","2022-07-27T01:07:51.000",,"Finaled","1","PGA TOUR SUPERSTORE","5100",,"NICHOLSON","LN",,"KENSINGTON","MD","20895","39.044551","-77.105009",,"POINT (-77.105009 39.044551)"
"USE & OCCUPANCY PERMIT","388178","OCCUPY","2022-06-07T03:06:22.000","2022-07-26T10:07:17.000","2022-07-26T10:07:18.000",,"Finaled","1","TOWNHOUSE","16248",,"BUSHWICK","PL",,"ROCKVILLE","MD","20855","39.125908","-77.167863",,"POINT (-77.167863 39.125908)"
"USE & OCCUPANCY PERMIT","382925","OCCUPY","2021-08-13T08:08:18.000","2022-07-26T08:07:05.000","2022-07-26T08:07:05.000",,"Finaled","1","TOWNHOUSE","16148",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.124009","-77.16717",,"POINT (-77.16717 39.124009)"
"USE & OCCUPANCY PERMIT","382903","OCCUPY","2021-08-12T08:08:05.000","2022-07-26T08:07:02.000","2022-07-26T08:07:02.000",,"Finaled","1","2 OVER 2 UNIT","16142",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.123992","-77.167053",,"POINT (-77.167053 39.123992)"
"USE & OCCUPANCY PERMIT","384952","OCCUPY","2021-12-20T12:12:24.000","2022-07-25T06:07:06.000","2022-07-25T06:07:06.000",,"Finaled","1","Residential Homes","16256",,"BUSHWICK","PL",,"ROCKVILLE","MD","20855","39.125994","-77.16793",,"POINT (-77.16793 39.125994)"
"USE & OCCUPANCY PERMIT","383635","USE","2021-09-20T12:09:03.000","2022-07-22T06:07:06.000","2022-07-22T06:07:06.000",,"Finaled","1","VANILLA SPACE TO RESTAURANT","11620",,"ROCKVILLE","PIKE",,"ROCKVILLE","MD","20852","39.048016","-77.114088",,"POINT (-77.114088 39.048016)"
"USE & OCCUPANCY PERMIT","374840","OCCUPY","2020-05-07T11:05:40.000","2022-07-21T12:07:53.000","2022-07-21T12:07:53.000",,"Finaled","1","MPDU TH","11334",,"EMERALD PARK","RD",,"POTOMAC","MD","20854","39.041063","-77.155261",,"POINT (-77.155261 39.041063)"
"USE & OCCUPANCY PERMIT","382943","OCCUPY","2021-08-13T02:08:34.000","2022-07-21T07:07:45.000","2022-07-21T07:07:45.000",,"Finaled","1",,"16150",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.124104","-77.167141",,"POINT (-77.167141 39.124104)"
"USE & OCCUPANCY PERMIT","388703","USE","2022-07-06T04:07:17.000","2022-07-21T07:07:14.000","2022-07-21T07:07:14.000",,"Finaled","1","BUSINESS OFFICE / WAREHOUSE","11716",,"PARKLAWN","DR",,"ROCKVILLE","MD","20852","39.048009","-77.10338",,"POINT (-77.10338 39.048009)"
"USE & OCCUPANCY PERMIT","382944","OCCUPY","2021-08-13T03:08:01.000","2022-07-21T03:07:14.000","2022-07-21T03:07:15.000",,"Finaled","1",,"16152",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.124063","-77.167221",,"POINT (-77.167221 39.124063)"
"USE & OCCUPANCY PERMIT","386029","OCCUPY","2022-02-15T02:02:59.000","2022-07-20T12:07:40.000","2022-07-20T12:07:40.000",,"Finaled","1","CORE &amp; SHELL","5454",,"NICHOLSON","LN",,"KENSINGTON","MD","20895","39.044689","-77.108646",,"POINT (-77.108646 39.044689)"
"USE & OCCUPANCY PERMIT","388826","OCCUPY","2022-07-13T02:07:40.000","2022-07-20T11:07:56.000","2022-07-20T11:07:56.000",,"Finaled","1","Ph: 2 WESTSIDE BLUE 4 UNITS 413 / 512 / 513 / 612","8525",,"CHEVY CHASE LAKE","TER",,"CHEVY CHASE","MD","20815","38.995601","-77.075845",,"POINT (-77.075845 38.995601)"
"USE & OCCUPANCY PERMIT","388825","OCCUPY","2022-07-13T02:07:13.000","2022-07-20T11:07:38.000","2022-07-20T11:07:39.000",,"Finaled","1","16 UNITS ONLY - 218 / 219 / 222 / 318 / 322 / 323 / 419 / 423 / 519 / 521 / 522 / 523 / 618 / 619 / 621 / 623","8525",,"CHEVY CHASE LAKE","TER",,"CHEVY CHASE","MD","20815","38.995601","-77.075845",,"POINT (-77.075845 38.995601)"
"USE & OCCUPANCY PERMIT","386016","OCCUPY","2022-02-15T12:02:29.000","2022-07-20T10:07:53.000","2022-07-20T10:07:53.000",,"Finaled","1","FOOD COURT KIOSK","7101",,"DEMOCRACY","BLVD",,"BETHESDA","MD","20817","39.024358","-77.145864",,"POINT (-77.145864 39.024358)"
"USE & OCCUPANCY PERMIT","384946","OCCUPY","2021-12-20T09:12:09.000","2022-07-20T09:07:31.000","2022-07-20T09:07:32.000",,"Finaled","1",,"16260",,"BUSHWICK","PL",,"ROCKVILLE","MD","20855","39.12604","-77.167962",,"POINT (-77.167962 39.12604)"
"USE & OCCUPANCY PERMIT","382892","OCCUPY","2021-08-11T03:08:20.000","2022-07-20T08:07:49.000","2022-07-20T08:07:49.000",,"Finaled","1","TH","16154",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.12416","-77.167186",,"POINT (-77.167186 39.12416)"
"USE & OCCUPANCY PERMIT","382904","OCCUPY","2021-08-12T08:08:18.000","2022-07-19T02:07:22.000","2022-07-19T02:07:22.000",,"Finaled","1","2 OVER 2 UNIT","16156",,"CONNORS","WAY",,"ROCKVILLE","MD","20855","39.124119","-77.167264",,"POINT (-77.167264 39.124119)"
"USE & OCCUPANCY PERMIT","378610","OCCUPY","2020-12-14T05:12:36.000","2022-07-19T01:07:22.000","2022-07-19T01:07:22.000",,"Finaled","1","NEW 7-ELEVEN WITH FUEL PUMPS","22702",,"GOSNELL FARM","DR",,"BOYDS","MD","20841","39.228348","-77.289297",,"POINT (-77.289297 39.228348)"
"USE & OCCUPANCY PERMIT","388200","OCCUPY","2022-06-08T11:06:42.000","2022-07-18T11:07:18.000","2022-07-18T11:07:18.000",,"Finaled","1","Marketing Office","6710A",,"ROCKLEDGE","DR",,"BETHESDA","MD","20817","0","0",,"POINT (0 0)"
"USE & OCCUPANCY PERMIT","380258","OCCUPY","2021-03-19T02:03:32.000","2022-07-18T11:07:00.000","2022-07-18T11:07:00.000",,"Finaled","1","TOWNHOUSE","8165",,"RIVER","RD",,"BETHESDA","MD","20817","38.996347","-77.16543",,"POINT (-77.16543 38.996347)"
"USE & OCCUPANCY PERMIT","380277","OCCUPY","2021-03-22T08:03:28.000","2022-07-18T08:07:33.000","2022-07-18T08:07:34.000",,"Finaled","1","4 STORY TOWNHOUSE","8169",,"RIVER","RD",,"BETHESDA","MD","20817","38.996332","-77.16552",,"POINT (-77.16552 38.996332)"
"USE & OCCUPANCY PERMIT","380226","OCCUPY","2021-03-18T11:03:02.000","2022-07-18T08:07:14.000","2022-07-18T08:07:15.000",,"Finaled","1",,"8159",,"RIVER","RD",,"BETHESDA","MD","20817","38.996358","-77.165343",,"POINT (-77.165343 38.996358)"
"USE & OCCUPANCY PERMIT","380228","OCCUPY","2021-03-18T11:03:31.000","2022-07-18T08:07:11.000","2022-07-18T08:07:11.000",,"Finaled","1",,"8155",,"RIVER","RD",,"BETHESDA","MD","20817","38.996371","-77.165248",,"POINT (-77.165248 38.996371)"
"USE & OCCUPANCY PERMIT","386520","OCCUPY","2022-03-14T02:03:31.000","2022-07-15T10:07:32.000","2022-07-15T10:07:32.000",,"Finaled","1","GARAGE","5454",,"NICHOLSON","LN",,"KENSINGTON","MD","20895","39.044689","-77.108646",,"POINT (-77.108646 39.044689)"
"USE & OCCUPANCY PERMIT","386028","OCCUPY","2022-02-15T02:02:35.000","2022-07-15T10:07:28.000","2022-07-15T10:07:29.000",,"Finaled","1","1ST FLOOR","5454",,"NICHOLSON","LN",,"KENSINGTON","MD","20895","39.044689","-77.108646",,"POINT (-77.108646 39.044689)"
"USE & OCCUPANCY PERMIT","380276","OCCUPY","2021-03-22T08:03:27.000","2022-07-13T08:07:37.000","2022-07-13T08:07:38.000",,"Finaled","1","4 STORY TOWNHOUSE","8149",,"RIVER","RD",,"BETHESDA","MD","20817","38.996381","-77.165167",,"POINT (-77.165167 38.996381)"
"USE & OCCUPANCY PERMIT","388270","OCCUPY","2022-06-10T01:06:11.000","2022-07-12T09:07:48.000",,,"Issued","1","Dental Office","11325",,"SEVEN LOCKS","RD",,"POTOMAC","MD","20854","39.042058","-77.157574",,"POINT (-77.157574 39.042058)"
