"fiscal_year","type","tenants","location_name","location_address"
"FY25","Mid Year","Blue Novo, Inc","Silver Spring  Innovation Center","8074 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","Seneca Biopharma, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","SynAm Vaccine","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Catalyze North America, Inc.","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Applied Wireless LAN, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","BiOneCure Therapeutics, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","CellOptic, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","LexSource, Llc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Clinic Max, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","World in Sign Llc","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","fNIR, Inc","Rockville Innovation Center","155 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Intelligent Fusion Technology, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Zalgen Labs, Llc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Zane Networks, Llc","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY21","Mid Year","TEDCO Database","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Ataia Medical","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY24","Mid Year","Anova Intelligence","Silver Spring  Innovation Center","8073 Georgia Avenue, Silver Spring, MD 20910"
"FY19","Mid Year","Lumo Imaging, Llc","Rockville Innovation Center","153 Gibbs Street, 4th Floor, Rockville, MD 20850"
"FY21","Mid Year","Leads Bio Labs, Inc","Germantown Innovation Center","20271 Goldenrod Lane, 2nd Floor, Germantown, MD 20876"
"FY21","Mid Year","Thought Delivery","Silver Spring  Innovation Center","8070 Georgia Avenue, Silver Spring, MD 20910"
"FY20","Mid Year","LR Technologies","Rockville Innovation Center","154 Gibbs Street, 4th Floor, Rockville, MD 20850"
