"fire_station","fire_station_number","nature_of_911_call","monthly_total","year","month","month_num","station_address"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","4","2017","NOVEMBER","11","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","3","2018","JANUARY","1","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","3","2018","DECEMBER","12","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2018","MARCH","3","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","3","2018","JULY","7","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","3","2019","APRIL","4","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","9","2018","SEPTEMBER","9","10617 New Hampshire Ave Silver Spring, MD 20903"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","3","2019","APRIL","4","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2018","NOVEMBER","11","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2019","AUGUST","8","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","1","2019","NOVEMBER","11","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2018","MAY","5","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","5","2019","JULY","7","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","9","2018","FEBRUARY","2","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","2","2019","MAY","5","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2017","NOVEMBER","11","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","2","2018","AUGUST","8","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2019","MARCH","3","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","2","2019","OCTOBER","10","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2019","SEPTEMBER","9","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","3","2018","DECEMBER","12","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","1","2019","DECEMBER","12","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","5","2018","JANUARY","1","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2018","JUNE","6","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","3","2017","OCTOBER","10","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","4","2018","MARCH","3","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","3","2018","JULY","7","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","7","2019","FEBRUARY","2","10620 Connecticut Ave Kensington, MD 20895"
"Kensington Volunteer Fire Department (Station 5)","05","OVERDOSE","7","2018","OCTOBER","10","10620 Connecticut Ave Kensington, MD 20895"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","2","2018","APRIL","4","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","2","2018","FEBRUARY","2","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2019","MAY","5","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2019","MARCH","3","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","1","2018","DECEMBER","12","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","1","2018","MARCH","3","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2018","JULY","7","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2018","JANUARY","1","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","7","2018","JUNE","6","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2019","AUGUST","8","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","2","2018","OCTOBER","10","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","1","2019","SEPTEMBER","9","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","1","2019","OCTOBER","10","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","2","2017","NOVEMBER","11","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","1","2017","DECEMBER","12","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","1","2019","JANUARY","1","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","3","2019","JULY","7","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2019","NOVEMBER","11","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2019","JUNE","6","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","5","2018","NOVEMBER","11","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","3","2019","APRIL","4","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","3","2019","DECEMBER","12","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","3","2018","SEPTEMBER","9","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","4","2018","MAY","5","111 University Blvd East Silver Spring, MD 20901"
"Silver Spring Volunteer Fire Department (Station 16)","16","OVERDOSE","2","2018","AUGUST","8","111 University Blvd East Silver Spring, MD 20901"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","2","2018","FEBRUARY","2","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2019","FEBRUARY","2","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2019","JANUARY","1","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","3","2019","OCTOBER","10","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","4","2018","APRIL","4","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","3","2018","SEPTEMBER","9","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2018","DECEMBER","12","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","5","2019","MAY","5","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","2","2019","MARCH","3","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2019","JULY","7","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","2","2018","NOVEMBER","11","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2018","MAY","5","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2017","OCTOBER","10","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","2","2018","MARCH","3","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","4","2018","JULY","7","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","3","2019","NOVEMBER","11","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2018","JUNE","6","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2019","DECEMBER","12","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","2","2017","DECEMBER","12","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","3","2019","APRIL","4","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","4","2019","AUGUST","8","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2019","JUNE","6","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 33)","33","OVERDOSE","1","2018","OCTOBER","10","11430 Falls Rd. Potomac, MD 20854"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","3","2018","NOVEMBER","11","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","2","2019","JUNE","6","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2018","AUGUST","8","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2019","DECEMBER","12","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2018","MAY","5","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","3","2018","SEPTEMBER","9","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2018","FEBRUARY","2","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","4","2018","APRIL","4","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","2","2019","MAY","5","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","2","2019","JANUARY","1","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","7","2019","FEBRUARY","2","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","2","2019","NOVEMBER","11","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","3","2019","MARCH","3","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2017","OCTOBER","10","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2018","JANUARY","1","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2018","JULY","7","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","3","2019","AUGUST","8","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","2","2019","OCTOBER","10","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","4","2019","SEPTEMBER","9","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","1","2019","APRIL","4","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","4","2019","JULY","7","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","4","2018","OCTOBER","10","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","3","2018","MARCH","3","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","2","2017","NOVEMBER","11","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 31)","31","OVERDOSE","3","2017","DECEMBER","12","12100 Darnestown Rd North Potomac, MD 20878"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","10","2019","SEPTEMBER","9","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","3","2018","DECEMBER","12","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","5","2018","MARCH","3","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","10","2019","MARCH","3","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","2","2018","FEBRUARY","2","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","1","2017","DECEMBER","12","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","3","2019","DECEMBER","12","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","6","2018","SEPTEMBER","9","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","2","2018","APRIL","4","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","7","2018","JANUARY","1","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","2","2019","NOVEMBER","11","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","6","2019","AUGUST","8","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","9","2019","MAY","5","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","4","2018","AUGUST","8","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","7","2018","MAY","5","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","4","2019","JANUARY","1","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","6","2019","FEBRUARY","2","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","9","2019","JUNE","6","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","3","2019","OCTOBER","10","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","5","2017","NOVEMBER","11","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","2","2018","JUNE","6","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","2","2019","JULY","7","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","5","2018","OCTOBER","10","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","3","2018","JULY","7","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","5","2018","NOVEMBER","11","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","5","2017","OCTOBER","10","121 Rollins Ave Rockville, MD 20852"
"Rockville Volunteer Fire Department (Station 23)","23","OVERDOSE","5","2019","APRIL","4","121 Rollins Ave Rockville, MD 20852"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","5","2019","OCTOBER","10","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","5","2018","JUNE","6","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","6","2019","AUGUST","8","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","10","2018","JANUARY","1","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","4","2018","JULY","7","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","6","2019","FEBRUARY","2","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","6","2019","MAY","5","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","11","2019","JANUARY","1","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","4","2017","DECEMBER","12","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","9","2018","DECEMBER","12","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","8","2019","SEPTEMBER","9","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","7","2017","OCTOBER","10","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","4","2018","MARCH","3","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","7","2019","MARCH","3","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","9","2018","APRIL","4","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","5","2018","MAY","5","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","5","2019","DECEMBER","12","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","5","2018","NOVEMBER","11","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","4","2019","JULY","7","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","8","2019","JUNE","6","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","7","2019","APRIL","4","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","4","2018","OCTOBER","10","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","5","2018","FEBRUARY","2","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","2","2019","NOVEMBER","11","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","4","2018","AUGUST","8","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","6","2017","NOVEMBER","11","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 18)","18","OVERDOSE","4","2018","SEPTEMBER","9","12251 Georgia Ave Wheaton, MD 20902"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","4","2018","SEPTEMBER","9","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","2","2017","DECEMBER","12","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2017","OCTOBER","10","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","4","2019","FEBRUARY","2","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2018","JULY","7","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2019","JANUARY","1","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","2","2018","JUNE","6","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2019","JUNE","6","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","3","2018","NOVEMBER","11","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","2","2018","AUGUST","8","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","3","2018","FEBRUARY","2","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2018","OCTOBER","10","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","3","2019","MARCH","3","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","3","2019","DECEMBER","12","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","2","2018","DECEMBER","12","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","2","2017","NOVEMBER","11","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","3","2018","MAY","5","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2019","MAY","5","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","2","2019","NOVEMBER","11","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","2","2018","APRIL","4","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2019","APRIL","4","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","1","2018","MARCH","3","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","3","2019","SEPTEMBER","9","12500 Veirs Mill Rd Rockville, MD 20853"
"Kensington Volunteer Fire Department (Station 21)","21","OVERDOSE","4","2018","JANUARY","1","12500 Veirs Mill Rd Rockville, MD 20853"
"Hillandale Volunteer Fire Department (Station 24)","24","OVERDOSE","4","2019","FEBRUARY","2","13216 New Hampshire Ave Silver Spring, MD 20904"
