Name,Address 1,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Montgomery County Boundary
ODALIS RESTAURANT,8215 GEORGIA AVE,SILVER SPRING,20910,06/23/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,ODALIS RESTAURANT II LLC,Restaurant,Food,38.9921,-77.0262,"(38.9921, -77.0262)",5,5,7,3065,1,1
SUMMER HOUSE SANTA MONICA / STELLA BARRA PIZZERIA,11825 GRAND PARK AVE,ROCKVILLE,20852,06/12/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,ROCKVILLE RESTAURANT LLC,Restaurant,Food,39.0498,-77.117,"(39.0498, -77.117)",1,1,19,60,1,1
SOUTH HOUSE GARDEN,317 EAST DIAMOND AVE,GAITHERSBURG,20877,06/10/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Reinspection,SOUTH HOUSE GARDEN LLC,Restaurant,Food,39.1417,-77.1911,"(39.1417, -77.1911)",3,3,36,35,21,1
SIRIWAN THAI RESTAURANT,736 CLOVERLY ST.,SILVER SPRING,20905,06/10/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,"SIRIWAN THAI RESTAURANT, INC.",Restaurant,Food,39.1095,-76.9954,"(39.1095, -76.9954)",5,5,29,8,1,1
CALIFORNIA BISTRO,17609 REDLAND RD,DERWOOD,20855,06/08/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Re-inspection Billable,MITHOOO PIZZERIA LLC,Restaurant,Food,39.1443,-77.1441,"(39.1443, -77.1441)",3,3,54,51,1,1
BANANA LEAVES ASIAN CAFE BETHESDA,7816 OLD GEORGETOWN RD,BETHESDA,20814,06/07/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,BLAC LLC,Restaurant,Food,38.9876,-77.0996,"(38.9876, -77.0996)",1,1,12,111,1,1
LA UNION MARKET,8035-G SNOUFFER SCHOOL RD.,GAITHERSBURG,20879,06/02/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MONTGOMERY FOODS CORP.,Market,Food,39.1611,-77.1629,"(39.1611, -77.1629)",4,4,36,31,1,1
"GEORGETOWN BAGELRY, THE",5227 RIVER RD.,BETHESDA,20816,06/01/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,"CONSTANCE, INC.",Carry Out,Food,38.9658,-77.104,"(38.9658, -77.104)",1,1,12,107,1,1
NEW FORTUNE,16515 S. FREDERICK RD.,GAITHERSBURG,20877,06/01/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,"NEW FORTUNE, INC",Restaurant,Food,39.1272,-77.1826,"(39.1272, -77.1826)",3,3,36,35,1,1
"GEORGETOWN BAGELRY, THE",5227 RIVER RD.,BETHESDA,20816,05/28/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,"CONSTANCE, INC.",Carry Out,Food,38.9658,-77.104,"(38.9658, -77.104)",1,1,12,107,1,1
LOS POLLOS,6842 NEW HAMPSHIRE AVE,TAKOMA PARK,20912,05/25/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,MAKAJA CORP,Carry Out,Food,38.9747,-76.9956,"(38.9747, -76.9956)",5,5,4,3062,11,1
NEW FORTUNE,16515 S. FREDERICK RD.,GAITHERSBURG,20877,05/03/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"NEW FORTUNE, INC",Restaurant,Food,39.1272,-77.1826,"(39.1272, -77.1826)",3,3,36,35,1,1
FUSION BAR AND GRILL,15535 NEW HAMPSHIRE AVE,SILVER SPRING,20905,04/20/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,AMY HUANG / FUSION SPORTS BAR LLC,Restaurant,Food,39.1108,-76.9949,"(39.1108, -76.9949)",5,5,29,8,1,1
CINCO DE MAYO MEXICAN RESTAURANT,640 CENTER POINT WAY,GAITHERSBURG,20878,04/19/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CINCO DE MAYO KENTLANDS INC,Restaurant,Food,39.1221,-77.2343,"(39.1221, -77.2343)",3,3,36,33,21,1
MATTHEW'S GRILL,213 MUDDY BRANCH RD,GAITHERSBURG,20878,04/15/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,MATTHEWS GRILL INC,Restaurant,Food,39.1283,-77.2047,"(39.1283, -77.2047)",3,3,36,33,21,1
EL ESTERON RESTAURANT,8500 DAKOTA DR.,GAITHERSBURG,20877,04/13/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,WALTER R. ARIAS,Restaurant,Food,39.1272,-77.175,"(39.1272, -77.175)",3,3,36,35,1,1
SOLE D'ITALIA RESTAURANT,14324 LAYHILL RD.,SILVER SPRING,20906,04/05/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"ANTONICOLA, INC.",Restaurant,Food,39.0914,-77.0458,"(39.0914, -77.0458)",4,4,59,6,1,1
FIVE GUYS #0053,653 CENTER POINT WAY,GAITHERSBURG,20878,03/25/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,Out of Compliance,Comprehensive,"PYRAMID ENTERPRISES I, LLC",Restaurant,Food,39.1218,-77.2348,"(39.1218, -77.2348)",3,3,36,33,21,1
ALDANAS MERCADO LATINO,8411 SNOUFFER SCHOOL RD,GAITHERSBURG,20879,03/24/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,ROSA V DUQUE,Restaurant,Food,39.1675,-77.1723,"(39.1675, -77.1723)",4,4,36,31,1,1
JASON'S SUB SHOP,916 EAST WEST HWY,TAKOMA PARK,20912,02/28/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,QUN ZHANG,Restaurant,Food,38.9756,-76.9932,"(38.9756, -76.9932)",5,5,4,3062,11,1
WALGREENS,6906 ARLINGTON RD,BETHESDA,20814,02/25/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,WALGREENS STORE DEVELOPMENT,Market,Food,38.9789,-77.0992,"(38.9789, -77.0992)",1,1,12,111,1,1
TRUE RESPITE BREWING COMPANY,"7301 CALHOUN PLACE, STE 600",DERWOOD,20855,02/25/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,TRUE RESPITE BREWING COMPANY LLC,Market,Food,39.1082,-77.1474,"(39.1082, -77.1474)",3,3,27,51,1,1
MCDONALD'S,"106 UNIVERSITY BLVD.,W.",SILVER SPRING,20901,02/23/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,RAM FOODS INC,Restaurant,Food,39.0206,-77.0139,"(39.0206, -77.0139)",5,5,13,21,1,1
"TACOS, TORTAS & TEQULLA",8407 RAMSEY AVE,SILVER SPRING,20910,02/17/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,IVAN IRICANIN,Restaurant,Food,38.9939,-77.029,"(38.9939, -77.029)",5,5,7,3065,1,1
EL MARINERO CARRY-OUT,1319 UNIVERSITY BLVD.,TAKOMA PARK,20912,02/15/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,MARIA MILAGRO BENITEZ/ LUCERO INC,Carry Out,Food,38.988,-76.9871,"(38.988, -76.9871)",5,5,4,3062,11,1
DOLLAR GENERAL STORE # 18669,12619 WISTERIA DR STE J,GERMANTOWN,20874,02/15/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,DOLENCORP LLC,Market,Food,39.1718,-77.2612,"(39.1718, -77.2612)",2,2,39,39,1,1
DUMPLING BY BATIK,"200 MAIN ST, LOWER LEVEL",GAITHERSBURG,20878,02/15/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,ICHTHYS CORPORATION,Restaurant,Food,39.123,-77.2384,"(39.123, -77.2384)",3,3,36,33,21,1
EDIBLE ARRANGEMENT,3478 OLNEY LAYTONSVILLE RD,OLNEY,20832,02/14/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,ANVE OLNEY INC,Market,Food,39.1534,-77.0687,"(39.1534, -77.0687)",4,4,58,100,1,1
ETHIO ADDIS MARKET,8107 FENTON STREET,SILVER SPRING,20910,02/14/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,COTTAGE TRADING LLC,Market,Food,38.9907,-77.0236,"(38.9907, -77.0236)",5,5,7,3065,1,1
CITGO GAS STATION,14300 NEW HAMPSHIRE AVE,SILVER SPRING,20904,02/11/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,HAMMAD PETROLEUM LLC,Market,Food,39.0904,-77.0002,"(39.0904, -77.0002)",4,4,26,12,1,1
MCDONALD'S OF ASPEN HILL,13701 CONNECTICUT AVE.,WHEATON,20906,02/11/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,"JOSEPH E. MONTOYA & ASSOC., INC.",Restaurant,Food,39.0787,-77.0802,"(39.0787, -77.0802)",4,4,61,6,1,1
MOMO BAKERY,12015 GEORGIA AVE.,SILVER SPRING,20910,02/10/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,CHONG'S CORPORATION,Market,Food,39.0524,-77.0496,"(39.0524, -77.0496)",4,4,16,17,1,1
LITTLE CAESARS 1940-11,1137A UNVERSITY BLVD E,TAKOMA PARK,20912,02/10/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,"LC TAKOMA PARK, LLC",Carry Out,Food,38.9893,-76.99,"(38.9893, -76.99)",5,5,4,3062,11,1
JENNY CRAIG WEIGHT LOSS CENTRE 4410,835-G ROCKVILLE PK.,ROCKVILLE,20852,02/10/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,"JC USA, INC",Market,Food,39.0745,-77.1383,"(39.0745, -77.1383)",3,3,25,60,12,1
JO-ANN #106,2A BUREAU DR.,GAITHERSBURG,20878,02/10/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,JO-ANN STORES INC.,Market,Food,39.143,-77.2189,"(39.143, -77.2189)",3,3,36,33,21,1
TAQUERIA EL NOPALITO,20024 GOSHEN RD.,GAITHERSBURG,20879,02/09/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,TAQUERIA EL NOPALITO LLC,Restaurant,Food,39.1865,-77.1891,"(39.1865, -77.1891)",2,2,38,28,1,1
BIG LOTS #5300,20926 FREDERICK RD,GERMANTOWN,20876,02/09/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,BIG LOTS STORES INC,Market,Food,39.2022,-77.2497,"(39.2022, -77.2497)",2,2,39,36,1,1
SWEET FROG,20940-C FREDERICK RD,GERMANTOWN,20876,02/09/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,"NEELSVILLE FROG, LLC",Market,Food,39.2036,-77.2478,"(39.2036, -77.2478)",2,2,39,36,1,1
WENDY'S # 6636,17 VITAL WAY,SILVER SPRING,20904,02/09/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,WEND CENTRAL MARYLAND LLC,Restaurant,Food,39.0752,-77.0033,"(39.0752, -77.0033)",4,4,26,12,1,1
INTERNATIONAL MARKET,12335 GEORGIA AVE,SILVER SPRING,20906,02/09/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,F MARTINEZ MARKET CORP,Market,Food,39.0607,-77.0486,"(39.0607, -77.0486)",4,4,23,6,1,1
COLESVILLE BEER & WINE,13468 NEW HAMPSHIRE AVE.,SILVER SPRING,20904,02/09/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,"BYUNG H. PARK/COLESVILLE BEER & WINE, INC.",Market,Food,39.0773,-77.0028,"(39.0773, -77.0028)",4,4,26,12,1,1
MONTGOMERY COLLEGE GERMANTOWN BOOKSTORE # 1533,20200 OBSERVATION DR,GERMANTOWN,20876,02/09/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,FOLLETT HIGHER EDUCATION GROUP INC,Market,Food,39.1885,-77.2508,"(39.1885, -77.2508)",2,2,39,36,1,1
7-ELEVEN #28808,"1301 UNIVERSITY BLVD., E.",TAKOMA PARK,20912,01/27/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,ABESS INC,Market,Food,38.9882,-76.9873,"(38.9882, -76.9873)",5,5,4,3062,11,1
PHO VIET USA,4917 CORDELL AVE.,BETHESDA,20814,01/25/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,PHO VIET US INC,Restaurant,Food,38.989,-77.0988,"(38.989, -77.0988)",1,1,12,111,1,1
HORUS HOOKAH HOUSE,9009 GAITHER RD,GAITHERSBURG,20877,01/22/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Environmental,HORUS CAFE & LOUNGE LLC,Restaurant,Food,39.118,-77.1843,"(39.118, -77.1843)",3,3,36,35,1,1
TOWNEPLACE SUITES GAITHERSBURG,212 PERRY PARKWAY,GAITHERSBURG,20877,01/13/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,B.F. SAUL PROPERTY CO.,Restaurant,Food,39.1431,-77.2118,"(39.1431, -77.2118)",3,3,36,35,21,1
DULCINEO BAR & GRILL,9103 GAITHER RD,GAITHERSBURG,20877,01/13/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,DULCINEA BAR & GRILL LLC,Restaurant,Food,39.1178,-77.1865,"(39.1178, -77.1865)",3,3,36,35,1,1
ISLAND PRIDE OASIS,617 S. FREDERICK AVE,GAITHERSBURG,20877,01/12/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,JOAN BECKFORD/DANIEL BECKFORD,Restaurant,Food,39.1293,-77.1857,"(39.1293, -77.1857)",3,3,36,35,21,1
GLENMONT SUNOCO,12321 GEORGIA AVE,SILVER SPRING,20906,01/12/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,GLENMONT SUNOCO,Market,Food,39.0594,-77.05,"(39.0594, -77.05)",4,4,23,6,1,1
CANTON DELIGHT,18550 WOODFIELD RD.,GAITHERSBURG,20879,01/06/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CANTON DELIGHT INC,Restaurant,Food,39.1614,-77.1598,"(39.1614, -77.1598)",4,4,36,31,1,1
