"caseno","opendate","closedate","casedesc","caseyear","type","sub_type","street_no","street_name","city","zip","geolocation"
"20222155","2022-08-26T00:00:00.000","2022-08-30T00:00:00.000","Case Description From 311: SR Open date :08/25/2022 15:2: There is a Community Garden in the neighborhood. There is mulch being dumped on callers parents property. Caller said they  have spoken to the contractors that deliver the mulch and were responded with, that is where they will drop the mulch.  
They have spoken to the garden organizer and were told it is  contractor issue.","2022","Solid Waste","Residential","11119","VALLEY VIEW","Kensington","20895","POINT (-77.061033 39.038416)"
"20222165","2022-08-29T00:00:00.000","2022-08-30T00:00:00.000","Case Description From 311: SR Open date :08/29/2022 12:1: Resident reports that SR address had a party on 8/28/22 and dumped all their party trash and beer bottles in the ROW of 8510 and 8512 Baron ST.  Caller wished to have them reported for illegal dumping.  Says has pictures of the issue to share","2022","Solid Waste","Public Land","8504","Barron","TAKOMA PARK","20912","POINT (-76.998052 38.995257)"
"20222167","2022-08-29T00:00:00.000","2022-08-29T00:00:00.000","Tires on ROW near subject property.","2022","Solid Waste","Public Land","16905","Oakmont","GAITHERSBURG","20877","POINT (-77.17545 39.13312)"
"20222022","2022-07-28T00:00:00.000","2022-08-29T00:00:00.000","Case Description From 311: SR Open date :07/27/2022 14:5: caller has a complaint about RCS disposal.  301-407-0761-  this is a private company that collects trash - they are unloading trash on the street from one truck to another and left a pool of liquid material on the road that is breeding maggots.","2022","Solid Waste","Residential","2006","SEATTLE","Silver Spring","20905","POINT (-76.971609 39.095851)"
"20222148","2022-08-25T00:00:00.000","2022-08-26T00:00:00.000","Ed Rosenquist just called and stated there is another pile of branches dumped in the same area. Please contact DOT regarding the new pile.","2022","Solid Waste","Public Land","14404","Georgia","ROCKVILLE","20853","POINT (-77.079982 39.093497)"
"20222028","2022-07-29T00:00:00.000","2022-08-26T00:00:00.000","Case Description From 311: SR Open date :07/29/2022 09:2: A non resident was caught dumping furniture and other bulk items in the Damascus Gardens Condominium. We have a photo of him, the car and license plate. This illegal dumping will cost the community up to $1000 to be removed. We would like to prosecute the offender.","2022","Solid Waste","Residential","26008","Brigadier","DAMASCUS","20872","POINT (-77.204922 39.283451)"
"20222131","2022-08-22T00:00:00.000","2022-08-24T00:00:00.000","Case Description From 311: Anonymous complaint by pascaleq@verizon.net.  Trash on the driveway at 4500 sleaford corner lot is not following county rules.  Trashes  containers have no lids and full plastic  trash bag are sitting in the driveway.  Also, trash  containers are on county right away and not being pulled back out  as indicated in the county by laws.","2022","Solid Waste","Residential","4500","SLEAFORD","Bethesda","20814","POINT (-77.088994 38.98816)"
"20222133","2022-08-22T00:00:00.000","2022-08-23T00:00:00.000","Someone dumped branches at the turn-around at Carrolton Rd and the Georgia Ave. access road near the No Dumping Signs installed by DEP in 2021.","2022","Solid Waste","Public Land","14404","Georgia","ROCKVILLE","20853","POINT (-77.079982 39.093497)"
"20222124","2022-08-19T00:00:00.000","2022-08-23T00:00:00.000","Case Description From 311: There is a black futon-style couch with a metal frame set back in the bushes on the edge of a small packet park directly across the street from 1908 Lansdowne Way Silver Spring, MD 20910. It showed up on Sunday, Aug. 14.","2022","Solid Waste","Public Land","1908","LANSDOWNE","Silver Spring","20910","POINT (-77.042732 39.012251)"
"20222117","2022-08-18T00:00:00.000","2022-08-19T00:00:00.000","Case Description From 311: SR Open date :08/18/2022 10:5: Customer reporting illegal dumping in front of her address. She would like an inspector to investigate this and provide guidance for her to handle this matter. Situation: Last Thursday, a bag of trash was dropped in front of her house and this Thursday, 2 bags of trash dropped in front of her house.","2022","Solid Waste","Public Land","14820","OLD COLUMBIA","Burtonsville","20866","POINT (-76.943184 39.099465)"
"20222037","2022-08-01T00:00:00.000","2022-08-19T00:00:00.000","From: Buddy Henley <Buddy@henleyconstruction.com>
Sent: Friday, July 29, 2022 11:34:13 AM
To: Duvall, Charles <Charles.Duvall@montgomerycountymd.gov>
Subject: RE: Paramount Dr 
 
[EXTERNAL EMAIL]
Charles, 
 
The Paramount Dr property we spoke about two years ago, the street is a continual dump zone for someone who dumps asphalt millings there. In the 2 years since we have put the fence up and cleaned the area, they have dumped probably a foot or more of millings across Paramount drive and have now started dumping on my property again. And I suggest a foot or more as that is the amount we have to dig out to get our gates to close now� 
 
Is there anything the county can do to police the dumping on the street? 
 
Buddy Henley 
President
 
7940 Queenair Drive
Gaithersburg, MD 20879
O: 301.417.1006
henleyconstruction.com","2022","Solid Waste","Commercial","15814","Paramount","DERWOOD","20855","POINT (-77.162686 39.115688)"
"20222108","2022-08-17T00:00:00.000","2022-08-18T00:00:00.000","Case Description From 311: A boat on a trailer has been dumped on Manor View for the last 10 days. It is dirty and is an eyesore.","2022","Solid Waste","Public Land",,"Fieldcrest","GAITHERSBURG","20879",
"20222091","2022-08-12T00:00:00.000","2022-08-17T00:00:00.000","Case Description From 311: Vehicle dropped off large unit with shelves at our dumpsters. Not a resident here and it is not allowed by anyone to do this.","2022","Solid Waste","Dumpster",,"Caravan","GERMANTOWN","20874",
"20221971","2022-07-18T00:00:00.000","2022-08-17T00:00:00.000","Emilio Trucking LLC was observed dumping into a dumpster belonging to the Barrington Apartments 1970 Rosemary Hills Dr., Silver Spring. See related case 20221655","2022","Solid Waste","Dumpster","1970","Rosemary Hills","SILVER SPRING","20910","POINT (-77.042076 38.99964)"
"20221988","2022-07-21T00:00:00.000","2022-08-17T00:00:00.000","Case Description From 311: Illegal Dumping throughout the property and in the storage rooms that were broken into. Closed storage facility being used by the neighbor at the Mercedes Benz Repair shop. 11415
Lockwood Dr. No U&O. Junk vehicles throughout the property.","2022","Solid Waste","Commercial","11415","Lockwood","SILVER SPRING","20904","POINT (-76.9881 39.040811)"
"20222101","2022-08-15T00:00:00.000","2022-08-17T00:00:00.000","Case Description From 311: SR Open date :08/15/2022 08:3: Jennifer Burke two months ago she reported a boat that seems to be abandoned or dumped at the end of gravel pathway near Kensington Cabin Park and as of today it is still there. She states that the boat does not seem to belong to anyone living in the area and blocks the pathway. Number to VRS 3/6411 provided to report abandoned boat. Caller is requesting for SR to be sent to DEP as well for illegal dumping.","2022","Solid Waste","Public Land","10000","Kensington","KENSINGTON","20895",
"20221981","2022-07-20T00:00:00.000","2022-08-17T00:00:00.000","Case Description From 311: SR Open date :07/19/2022 11:5: caller wants complaint file because of cutting of the trees she stated they left big piles of debris, and piles of dirt and mulch which is causing her and animals to be ill","2022","Solid Waste","Residential","15715","River","GERMANTOWN","20874","POINT (-77.327196 39.077977)"
"20222107","2022-08-16T00:00:00.000","2022-08-17T00:00:00.000","Case Description From 311: Reporting a toilet in a apartment parking lot on grass near mailbox.

Caller did not provide contact  info.","2022","Solid Waste","Residential","4250","TAZEWELL","Burtonsville","20866","POINT (-76.924152 39.103002)"
"20222088","2022-08-11T00:00:00.000","2022-08-15T00:00:00.000","Case Description From 311: SR Open date :08/10/2022 15:3: Someone dumped an old red chair at the curb in front of my house. Unfortunately I didn?t see who did it or what vehicle they drove. I noticed the debris this morning when I left for work. I have a photo if that will help.","2022","Solid Waste","Public Land","12824","CAMELLIA","Silver Spring","20906","POINT (-77.043995 39.067193)"
"20221965","2022-07-15T00:00:00.000","2022-08-15T00:00:00.000","Case Description From 311: SR Open date :07/14/2022 15:3: Caller would like to report illegal dumping at her property caller has pictures and tag number","2022","Solid Waste","Residential","11600","LOCKWOOD","Silver Spring","20904","POINT (-76.982553 39.041473)"
"20222071","2022-08-08T00:00:00.000","2022-08-15T00:00:00.000","Case Description From 311: Caller reports that a vehicle constantly dumps their trash on the common area at the entrance of the townhome community at the intersection of Serpentine and Turquoise  TER. VA tag TYG-4217 **requestor asked for his information to be kept confidential","2022","Solid Waste","Residential","12701","TURQUOISE","Silver Spring","20904","POINT (-76.968472 39.064849)"
"20221929","2022-07-11T00:00:00.000","2022-08-12T00:00:00.000","From: Rosewood <triciakennedyrosewood@gmail.com> 
Sent: Monday, July 4, 2022 1:14 PM
To: Crutchfield, Keith <Keith.Crutchfield@montgomerycountymd.gov>; 'saje tacovenantsolutions.com' <saje@tacovenantsolutions.com>
Cc: 'Support Team' <Questions@tacovenantsolutions.com>
Subject: Illegal Dumping

Hello Keith, 

I hope you had a great 4th of July!  

Attached are some photos of a vehicle (MD tag 6E 19166) which illegally dumped trash on our property on 7/4/2022 at 11:44am and at 11:47am a second time.

Please fine them as I caught them starting to unload at one dumpster (in front of 8203 Whispering Oaks Way -they came from the direction of Flower Hill Way), then after I got them to remove the trash, they drove over an illegally parked in a Reserved parking space for about 2 minutes, then drove around to the farther trash bin at the intersection of the unnamed road off of Whispering Oaks and Streamside Drive and dumped their trash after I told them previously a $500 fine and that it was illegal.  They intentionally did this act knowing it was against the law and a fine would be imposed.

I am willing to testify or provide any other information you need. 

Thank you,

Tricia Kennedy
Vice President
Rosewood Residence at Flower Hill","2022","Solid Waste","Dumpster","8100","MOUNTAIN LAUREL","GAITHERSBURG","20879","POINT (-77.166369 39.157766)"
"20222082","2022-08-10T00:00:00.000","2022-08-12T00:00:00.000","Referral from Alan Soukup with DEP Intergovernmental Affairs Div.  Resident at 13308 Valley Dr., Rockville claims a neighbor believed to be 13309 Ridge Dr. has dumped branches, leaves, and trash in the waterway that is upstream of his property,  Some of this flows into the pond he owns and apparently causes a flooding problem.  The complainant says this same situation occurred about ten years ago and the County came out to rectify it.","2022","Solid Waste","Residential","13308","Valley","ROCKVILLE","20850","POINT (-77.199853 39.074874)"
"20222046","2022-08-02T00:00:00.000","2022-08-12T00:00:00.000","Case Description From 311: Requesting that a ""Do Not Litter"" sign be installed along Pepper Ridge Way near the service location.","2022","Solid Waste","No Dumping Signage",,"Washington Grove","GAITHERSBURG","20877",
"20222089","2022-08-11T00:00:00.000","2022-08-12T00:00:00.000","Case Description From 311: Anonymous caller reporting illegal dumping of construction materials cement blocks and shopping carts in area","2022","Solid Waste","Public Land",,"Father Hurley","GERMANTOWN","20874",
"20222008","2022-07-26T00:00:00.000","2022-08-09T00:00:00.000","Referral from DHCA Inspector Wright Jolly.  Solid waste and possible water pollution issues related to outside storage of car parts leaking fluids at 2511 Fairland Rd., Silver Spring","2022","Solid Waste","Commercial","2511","Fairland","SILVER SPRING","20904","POINT (-76.959637 39.077461)"
"20222003","2022-07-25T00:00:00.000","2022-08-09T00:00:00.000","Case Description From 311: caller would like to report illegal dumping at this location caller has a bag of trash with the personal information who he believes it the person dumping the trash","2022","Solid Waste","Residential","14911","CARROLTON","Rockville","20853","POINT (-77.087732 39.103461)"
"20221200","2022-02-18T00:00:00.000","2022-08-09T00:00:00.000","Case Description From 311: There is a treadmill (longtime) and now  a water heater dumped in the woods behind the incident address between the backyard and what used to be a section of Neelsville Church Road - now a paved walking trail accessible b vehicle from the intersection of Neelsville Church Rd and Scenery Drive","2022","Solid Waste","Residential","20319","MILL POND","Germantown","20876","POINT (-77.229332 39.192128)"
"20221271","2022-03-07T00:00:00.000","2022-08-08T00:00:00.000","Case Description From 311: There are commercial trucks that are always parked on Derwood road. these companies are  dumping truck tires in the bushes and on the grass.","2022","Solid Waste","Public Land","15954","DERWOOD","Derwood","20855","POINT (-77.160623 39.116574)"
"20222042","2022-08-02T00:00:00.000","2022-08-05T00:00:00.000","Case Description From 311: There was a Yamaha (motorcycle/dirt bike or small engine vehicle) engine dumped in the past 24 hours or so in a marsh in a ditch on side of road (Cow farm side). Located on the gravel section at the end of Riggs Rd before it connects to Greg Rd. It isn't at the intersection (about 100-200 yards away) but there is no building with address on the part of the road.","2022","Solid Waste","Public Land",,"Gregg","Brookeville","20833",
"20222053","2022-08-03T00:00:00.000","2022-08-04T00:00:00.000","Case Description From 311: SR Open date :08/03/2022 09:1: shopping cart at front of the property for 2wks.","2022","Solid Waste","Public Land","15300","JONES","Gaithersburg","20878","POINT (-77.264277 39.106863)"
"20222030","2022-07-29T00:00:00.000","2022-08-02T00:00:00.000","Case Description From 311: There is a bunch of trash and dropped home items at the corner of Dennis Ave and Julep Ave. SOme neighbors have filled their own trash bins to the brim but there is still a bunch of stuff on the ground.","2022","Solid Waste","Public Land","10303","JULEP","Silver Spring","20902","POINT (-77.03414 39.024527)"
"20221886","2022-07-01T00:00:00.000","2022-08-01T00:00:00.000","Case Description From 311: Mr. Rajabov, contractor, states that someone dumped a lot of trash in to the dumpster that  he has placed in worksite with address in SR. He states that in the trash he found mail with address 4528 Eads Pl NE Washington St 20019 and believes trash is from that place. He is requesting  assistance. Please contact Mr. Rajabov","2022","Solid Waste","Dumpster","4009","SANDY SPRING","Burtonsville","20866","POINT (-76.927426 39.111406)"
"20222014","2022-07-26T00:00:00.000","2022-08-01T00:00:00.000","Case Description From 311: SR Open date :07/26/2022 10:3: Heading north from the Kingsley trailhead on Clarksburg road there is some furniture that has been dumped on the side of the road.  it's been there over a week.","2022","Solid Waste","Public Land","23701","Clarksburg","Clarksburg","20871","POINT (-77.277954 39.245139)"
"20221739","2022-06-06T00:00:00.000","2022-08-01T00:00:00.000","Case Description From 311: SR Open date :06/06/2022 08:3: Large illegal dumping pile on Old Spencerville Road, near where it meets New Hampshire Avenue (west side of New Hampshire).  It is about 50 feet from New Hampshire.  This is a regular illegal dumping spot and perhaps blocking it with a guard rail would eliminate this in the future.  I have a photo which I will attempt to attach to this ticket.","2022","Solid Waste","Public Land",,"Old Spencerville","Spencerville","20868",
"20222016","2022-07-26T00:00:00.000","2022-07-29T00:00:00.000","Case Description From 311: Small couch wasnt picked up behind 3930 Ferrara Avenue","2022","Solid Waste","Residential","3930","FERRARA","Silver Spring","20906","POINT (-77.077114 39.052039)"
"20221868","2022-06-27T00:00:00.000","2022-07-28T00:00:00.000","Case Description From 311: A non-resident of Battery Gardens dumped trash with plastic, dumped in recycling dumpster.  See attached photos with address.
Note - no photos were attached to this online generated SR.","2022","Solid Waste","Residential","4938","BATTERY","Bethesda","20814","POINT (-77.099553 38.99248)"
"20222007","2022-07-26T00:00:00.000","2022-07-28T00:00:00.000","Case Description From 311: Anonymous complaint, large tire dropped in grass of location.. requested it be removed from in front of location","2022","Solid Waste","Residential","15683","Twin Valley","SILVER SPRING","20906","POINT (-77.05129 39.115154)"
"20221691","2022-05-26T00:00:00.000","2022-07-27T00:00:00.000","Case Description From 311: SR Open date :05/24/2022 16:1: Large bed dumped on creek bank at stone bridge. Other trash also dumped. This is a regular dump site.","2022","Solid Waste","Public Land",,"Oakview","SILVER SPRING","20903",
"20221990","2022-07-21T00:00:00.000","2022-07-26T00:00:00.000","Case Description From 311: Ms. Slater reporting mattress, couch, rugs, and other items illegally dumped along the roadway, near property address in SR, closest intersection is Gold Mine Rd. Please  contact Ms. Slater, she can also be reached at  301-452-9379(c)","2022","Solid Waste","Public Land","19421","Chandlee Mill","BROOKEVILLE","20833","POINT (-77.03271 39.175735)"
"20212819","2021-12-07T00:00:00.000","2022-07-25T00:00:00.000","Referral from MDE Inspector, Reuben Krofft, concerning solid waste accumulation on the Kevin Stanley property located at 27217 and 27211 Long Corner Rd., Damascus.","2021","Solid Waste","Farm Land","27211","Long Corner","MOUNT AIRY","21771",
"20221899","2022-07-05T00:00:00.000","2022-07-25T00:00:00.000","Case Description From 311: SR Open date :07/04/2022 19:5: Someone illegally dumped material into and around the dumpster at this location (a church building). Some of the dumped material includes hazardous waste such as oil. The oil was taken to the transfer station. Some other hazardous waste may still be in the dumpster.","2022","Solid Waste","Dumpster","17700","OLD BALTIMORE","OLNEY","20832","POINT (-77.049914 39.146986)"
"20221984","2022-07-21T00:00:00.000","2022-07-25T00:00:00.000","Case Description From 311: Big trash with glass. There is a table, chair, bicycle, etc.
There also is dumping by 1701 Featherwood Street- A mattress fan etc.","2022","Solid Waste","Public Land","1863","Featherwood","SILVER SPRING","20904","POINT (-76.972781 39.058529)"
"20221991","2022-07-21T00:00:00.000","2022-07-25T00:00:00.000","Resident complains about tree debris dumped on ROW between rear yards of 6000 and 6004 Lenox Rd.","2022","Solid Waste","Public Land","6004","Lenox","BETHESDA","20817","POINT (-77.121763 38.979973)"
"20221578","2022-05-02T00:00:00.000","2022-07-25T00:00:00.000","Case Description From 311: Evergreen Landscaping
Lic Plate 4DN5001 MD 
Caller has pictures of this above landscaping company going into the wooded area behind SR address home and dumping large amounts of yard waste-leaves, branches, and dirt.  They are doing this multiple times a week.  Caller says they have pictures of this happening and invites inspector to contact them for these pictures or guide them in the wooded area to their dumping location.","2022","Solid Waste","Residential","7808","HACKAMORE","POTOMAC","20854","POINT (-77.21717 38.988579)"
"20212827","2021-12-09T00:00:00.000","2022-07-25T00:00:00.000","Case Description From 311: We learned this morning that someone illegally dumped trash and wood and other metal into our property dumpster. Our dumpster was parked on our property for construction work. During an inspection, we found out the name and address of the individual Freddy Martinez, 14901 Athey Road, Burtonsville, Md 20866. We need your help to issue citations to these individuals and force them to remove illegal dumps.","2021","Solid Waste","Commercial","12905","OLD COLUMBIA","Silver Spring","20904","POINT (-76.963291 39.066985)"
"20221995","2022-07-22T00:00:00.000","2022-07-22T00:00:00.000","Referral from DHCA Inspector, Wright Jolly.  Closed public storage facility at 11421 Lockwood Dr., Silver Spring, is being used as a dumping ground.  Also, White Oak Auto Service is storing dysfunctional vehicles on this site.","2022","Solid Waste","Commercial","11421","LOCKWOOD","Silver Spring","20904","POINT (-76.988186 39.040777)"
"20221994","2022-07-21T00:00:00.000","2022-07-22T00:00:00.000","Case Description From 311: Shopping cart full of trash right outside of the fence by the light pole.","2022","Solid Waste","Public Land","4014","Sampson","SILVER SPRING","20906","POINT (-77.079831 39.053367)"
"20221970","2022-07-15T00:00:00.000","2022-07-19T00:00:00.000","________________________________________
From: jack comradefinancialgroup.com <jack@comradefinancialgroup.com>
Sent: Thursday, July 14, 2022 11:56:29 PM (UTC+00:00) Monrovia, Reykjavik
To: DEP MPIA-Requests <DEP.MPIA-Requests@montgomerycountymd.gov>
Cc: Charles Lasky <clasky@comsource.com>; jack comradefinancialgroup.com <jack@comradefinancialgroup.com>
Subject: MPIA Request / Removal of old broken Solar Panels stacked on side of home - possible toxic situation. 
[EXTERNAL EMAIL]
My neighbor located at 11035 Grassy Knoll Ter in Germantown MD 20876 has decided it was a good idea to place old used broken Solar Panels  
 
On the side of his home that are exposed uncovered and possibly leaking toxic by products into the ground in between our homes. 
 
These panels have been there for over a year and honestly I am getting tired of looking at them but after some research I am really worried 
 
They could be toxic. I am new to this neighborhood of only 5 years and they are an older couple that do not respond to waves, hello�s or other 
 
Attempts to address this. I am sure they are aware of the Rockville Transfer Station for recycling but decided the side of their home, in my view 
 
Is a good place to stack up old possibly toxic solar panels. I am not sure who to contact regarding this but it does concern me and I would like them
 
Removed if possible. I have CC�d the HOA to this email and just wanted to let you know. 
 
Thank you
 
Jack
 
 

Jack Fleming, Broker  | Comrade Financial Group LLC
11900 Parklawn Dr. #150 Rockville, MD 20852
12501 Prosperity Dr. #160 Silver Spring, MD 20904
Licensed in Maryland, D.C. and Virginia
LIFE | HEALTH | ANNUITY | IRA | 401K Rollovers | SEP IRA
(240) 855-4541 Main","2022","Solid Waste","Residential","11035","Grassy Knoll","GERMANTOWN","20876","POINT (-77.225739 39.179874)"
"20221472","2022-04-12T00:00:00.000","2022-07-19T00:00:00.000","Case Description From 311: SR Open date :04/12/2022 09:0: the neighbor behind my house is cleaning up their yard and dumping the yard waste (a lot of it) behind my house. i have talked to them but they will not clean it up- i need help
thank you","2022","Solid Waste","Residential","24749","CUTSAIL","Damascus","20872","POINT (-77.214937 39.262151)"
"20221822","2022-06-16T00:00:00.000","2022-07-18T00:00:00.000","Case Description From 311: 12901 Esworthy Rd is caller's address. Service Location Address is the offending neighbor. Also dumping onto another neighbor's lot, on Tax Account: 03752835, for parcel at 12626 TRAVILAH RD POTOMAC 20854. Neighbor is dumping limbs and yard waste over the property line onto caller's property.  Caller has fresh pile of limbs that was dumped on his lawn, caller witnessed him dumping it, about a week ago, and caller has witnessed this many times. This neighbor  walks across caller's property, to dump on the other property, as well, does all of this openly. Caller wishes to SPEAK TO INVESTIGATOR BEFORE INVESTIGATOR MAKES CONTACT WITH THE NEIGHBOR, AND WISHES TO BE KEPT CONFIDENTIAL UNTIL HE SPEAKS TO INVESTIGATOR, wishes to elaborate more on the situation, and to understand how the investigation will proceed. Please contact caller re this matter.","2022","Solid Waste","Residential","12905","ESWORTHY","Gaithersburg","20878","POINT (-77.283185 39.067716)"
"20221975","2022-07-18T00:00:00.000","2022-07-18T00:00:00.000","Case Description From 311: Anonymous Caller states that there are about 8 plastic bags  illegally dump at service location below","2022","Solid Waste","Residential","13367","Demetrias","GERMANTOWN","20874","POINT (-77.27796 39.1818)"
"20221910","2022-07-07T00:00:00.000","2022-07-18T00:00:00.000","Case Description From 311: Tire has been abandoned on sidewalk. Mishandling of trash happens at this community often.  Same goes for excessive trash around rainwater reservoir/pond, children playground.","2022","Solid Waste","Residential","18308","STREAMSIDE","Gaithersburg","20879","POINT (-77.168422 39.156814)"
"20221954","2022-07-14T00:00:00.000","2022-07-14T00:00:00.000","Case Description From 311: Once again, someone dumped construction debris on Dustin Road...across from 3620 Dustin Road...It appears to be a bucket of ceramic tile and two carpet remnants and other trash...normally I would pick this up myself and take it to the transfer station, but I am currently without a pick up truck and the carpets and trash are all wet...can someone from the county come and get this dumped trash. I live at 3605 Dustin Road and saw the dumping on my walk today.","2022","Solid Waste","Public Land","3620","DUSTIN","Burtonsville","20866","POINT (-76.933212 39.127947)"
"20221721","2022-06-02T00:00:00.000","2022-07-14T00:00:00.000","Case Description From 311: There is a pile in broken tiles and black garbage bags on the side of Crystal Rock Dr near the entrance of Crystal Rock Trail. It has been there fir at leaste 1-2 months.

This part of Crystal Rock Dr does not have any resident facing the street.  I had to give a Bldg # of anything on Crystal Rock Dr because I can not send the form without one.

That may be why this stretch of Crystal Rock is popular with illegal dumping!!! 

Below is the rough location. There is also an abandon car near by. 
Dropped pin
https://maps.app.goo.gl/xwnYqcRt3rwSKJvK8","2022","Solid Waste","Public Land",,"CRYSTAL ROCK","GERMANTOWN","20874",
"20221365","2022-03-28T00:00:00.000","2022-07-13T00:00:00.000","Case Description From 311: Caller is requesting no littering signs to be posted between the 19500 block and the 19600 block of Ginners Branch.","2022","Solid Waste","No Dumping Signage",,"Gunners Branch","Germantown","20876",
"20221914","2022-07-08T00:00:00.000","2022-07-12T00:00:00.000","Case Description From 311: unsure of what the debris is that was left but making a mess in the parking area. caller has pictures of the vehicle that did the illegal dumping. Provided SR#","2022","Solid Waste","Commercial",,"Nicholson","ROCKVILLE","20852",
"20221921","2022-07-08T00:00:00.000","2022-07-08T00:00:00.000","Case Description From 311: SR Open date :07/08/2022 13:3: Two metal beams right across from our house next to mailbox. One of the neighbors put it out, it was not pick up on Monday so Im assuming they did not report it.","2022","Solid Waste","Public Land","3718","FERRARA","Silver Spring","20906","POINT (-77.077241 39.049109)"
"20221785","2022-06-13T00:00:00.000","2022-07-08T00:00:00.000","Case Description From 311: There is an armchair dumped on the right of way next to the new Starbucks. It is just off the sidewalk on Randolph. It's been there for many years, I believe. If you are looking at the Starbucks entrance from Randolph road, it is to the right (just past the vehicle entrance)","2022","Solid Waste","Public Land","2315","Randolph","SILVER SPRING","20902","POINT (-77.048788 39.058798)"
"20221804","2022-06-14T00:00:00.000","2022-07-07T00:00:00.000","Case Description From 311: SR Open date :06/14/2022 10:4: Neighbor @5909 Bradley Blvd dumped tree debris, wood, on my property from a tree he cut on his yard.","2022","Solid Waste","Residential","5909","Bradley","BETHESDA","20814","POINT (-77.118146 38.992086)"
"20221878","2022-06-29T00:00:00.000","2022-07-06T00:00:00.000","Case Description From 311: SR Open date :06/29/2022 15:0: On NB GREENWOOD AVE, adjacent to 401 Domer Ave property line. Broken glass and smashed bottles dumped repeatedly overnight.","2022","Solid Waste","Public Land","401","DOMER","TAKOMA PARK","20912","POINT (-77.001652 38.996722)"
"20221740","2022-06-06T00:00:00.000","2022-07-06T00:00:00.000","Case Description From 311: No dumping sign requested here as items constantly dumped always at the intersection, 1495748962 : Caller states there has been dumping at this intersection twice in the last 2 weeks. caller wants to speak with DEP to know if a no dumping sign can be installed.","2022","Solid Waste","No Dumping Signage",,"Valley Stream","Burtonsville","20866",
