"application_type","permit_number","work_type","added_date","issue_date","final_date","expired_date","status","building_area","description_of_work","street_number","pre_direction","street_name","street_suffix","post_direction","city","state","zip_code","latitude","longitude","general_location","geolocation"
"NON CONFORMING USE CERTIFICATE","360012","INSPAP","2017-09-22T02:09:46.000","2017-09-26T01:09:45.000","2017-09-26T01:09:52.000",,"Finaled","0","Landscaping Business","4120",,"SANDY SPRING","RD",,"BURTONSVILLE","MD","20866","39.113465","-76.926203","Robert Berra Landscaping Business","POINT (-76.926203 39.113465)"
"NON CONFORMING USE CERTIFICATE","351755","INSPAP","2016-03-17T01:03:56.000","2016-03-18T11:03:59.000","2016-03-18T11:03:50.000",,"Finaled","0","NON-CONFORMING USE - 3&nbsp; COMMERCIAL VEHICLES PARKED ON PROPERTY AT ANY ONE TIME; ; 03-18-2016 - PROCESSED, HAND DELIVERED, COPY SENT TO IMAGING ON THIS DATE.","19651",,"MUNCASTER","RD",,"ROCKVILLE","MD","20855","39.179168","-77.116129",,"POINT (-77.116129 39.179168)"
"NON CONFORMING USE CERTIFICATE","322826","INSPAP","2014-09-16T09:09:32.000","2014-09-16T09:09:19.000",,,"Issued","0","1- 4 BEDROOM HOUSE, 2-2 BEDORRM APARTMENTS IN R-200 ZONING DISTRICT- NON-CONFIRMING USE","14310",,"OLD COLUMBIA","PIKE",,"BURTONSVILLE","MD","20866","39.091519","-76.94779",,"POINT (-76.94779 39.091519)"
"NON CONFORMING USE CERTIFICATE","314186","INSPAP","2014-05-02T02:05:12.000","2014-08-18T09:08:48.000",,,"Issued","0","NON-CONFIRMING HOME BASED BUSINESS - HOLSTON'S SEPTIC TANK SERVICE( CUSTOMER NOTIFIED - PAYMENT REQUIRED)05-06-2014- CHECK RECEIVED , PAYMENT PROCESSED ON THIS DATE; 08-18-2014- NON-CONFIRMING USE PREVIOUSLY APPROVED BY INVESTIGATOR ANDY JAKAB - 05-19-2014, HOWEVER, IT WAS SENT TO IMAGING AS A BENEFIT PERFORMANCE INSTEAD OF NON-CONFIRMING USE(USE PERMIT)(JR)","10711",,"BETHESDA CHURCH","RD",,"DAMASCUS","MD","20872","39.288767","-77.221026",,"POINT (-77.221026 39.288767)"
"NON CONFORMING USE CERTIFICATE","296063","INSPAP","2013-06-24T02:06:25.000","2013-12-09T03:12:02.000",,,"Issued","0","Landscape Contractor","15719",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20905","39.114167","-76.991254",,"POINT (-76.991254 39.114167)"
"NON CONFORMING USE CERTIFICATE","284574","INSPAP","2012-11-29T12:11:15.000","2012-12-07T09:12:35.000",,,"Issued","0",,"14929",,"DOVER","RD",,"ROCKVILLE","MD","20850","0","0",,"POINT (0 0)"
"NON CONFORMING USE CERTIFICATE","279291","INSPAP","2012-08-27T10:08:32.000","2012-09-13T01:09:49.000","2012-09-13T01:09:49.000",,"Finaled","88.43","A&amp;P Contractors has purchased a property to be used in connection&nbsp;with A&amp;P's Construction Inc's construction business since 1974.&nbsp; A Use and Occupancy was issued.&nbsp; In 1959 staff of MNCPPC write that there were several dwellings with a sheet metal shop at the rear of one of the residences.","20516",,"FREDERICK","RD",,"GERMANTOWN","MD","20876","39.192492","-77.244592",,"POINT (-77.244592 39.192492)"
"NON CONFORMING USE CERTIFICATE","278646","INSPAP","2012-08-13T04:08:47.000","2012-08-16T11:08:35.000","2012-08-16T11:08:35.000",,"Finaled","0","This property constitutes what&nbsp;is left of the property that was for many years a landscaping business on Norbeck Road.&nbsp; Pieces of the property were sold in 2010 &amp; 2011.&nbsp; A portion of the property was left however was separated from&nbsp;the piece of the property on which the house sits by Norbeck Road.&nbsp; That piece was used by the owners of the property until they sold property and house.&nbsp; The piece across Norbeck Rd&nbsp;will be used for landscaping property.&nbsp;","1350",,"NORBECK","RD",,"SILVER SPRING","MD","20905","39.119307","-77.018443",,"POINT (-77.018443 39.119307)"
"NON CONFORMING USE CERTIFICATE","272800",,"2012-02-03T02:02:34.000","2012-02-17T10:02:14.000",,,"Issued","0","Nonconforming Use application for Heyser Farms","14526",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20904","39.094534","-77.002246",,"POINT (-77.002246 39.094534)"
"NON CONFORMING USE CERTIFICATE","265031","USE","2010-03-23T04:03:25.000","2010-03-26T04:03:51.000",,,"Issued","0",,"26801",,"RIDGE","RD",,"DAMASCUS","MD","20872","39.29602","-77.203664",,"POINT (-77.203664 39.29602)"
"NON CONFORMING USE CERTIFICATE","264055",,"2009-12-09T01:12:27.000","2010-01-12T12:01:00.000",,,"Issued","0",,"1016",,"QUINCE ORCHARD","RD",,"GAITHERSBURG","MD","20878","39.124217","-77.248731",,"POINT (-77.248731 39.124217)"
"NON CONFORMING USE CERTIFICATE","230967","ALTER","2004-08-09T08:08:34.000","2009-04-06T12:04:00.000",,,"Issued","0",,"151",,"RITCHIE","AVE",,"SILVER SPRING","MD","20910","38.987923","-77.011621",,"POINT (-77.011621 38.987923)"
"NON CONFORMING USE CERTIFICATE","257283","INSPAP","2008-04-03T12:04:53.000","2008-10-20T07:10:20.000","2008-10-20T07:10:22.000",,"Finaled","0",,"8001",,"MACARTHUR","BLVD",,"CABIN JOHN","MD","20818","0","0",,"POINT (0 0)"
"NON CONFORMING USE CERTIFICATE","257322",,"2008-04-07T12:04:26.000","2008-04-07T12:04:58.000","2008-04-07T12:04:00.000",,"Finaled","0","Application date 4/1/1983                                                  Approval date 10/29/1985","9863",,"MAIN","ST",,"DAMASCUS","MD","20872","39.288323","-77.203135",,"POINT (-77.203135 39.288323)"
"NON CONFORMING USE CERTIFICATE","255190","INSPAP","2007-10-29T10:10:07.000","2007-11-15T09:11:00.000",,,"Issued","0","Parking, Storage & maintenance of commercial vehicles & construction supplies.","13757",,"TRAVILAH","RD",,"ROCKVILLE","MD","20850","39.080297","-77.238276",,"POINT (-77.238276 39.080297)"
"NON CONFORMING USE CERTIFICATE","253833","USE","2007-07-13T08:07:17.000","2007-08-21T08:08:00.000",,,"Issued","47916","Type of Use Landscaping Contractor & Parking Equipment / Date Use Began 1945 / Property Description: Lot Size 47916.00 / Improvements (Describe) Blacktop Driveway and Clear out all Debris / Present/Former Trade Names of Commercial Use L. H. Musser & Sons Inc","17120",,"LONGDRAFT","RD",,"GAITHERSBURG","MD","20878","39.13706","-77.244154",,"POINT (-77.244154 39.13706)"
"NON CONFORMING USE CERTIFICATE","253002","ALTER","2007-05-22T10:05:00.000","2007-05-24T09:05:00.000",,,"Issued","0","Two Unit Dwelling","3901",,"HAMPDEN","ST",,"KENSINGTON","MD","20895","39.031316","-77.078026",,"POINT (-77.078026 39.031316)"
"NON CONFORMING USE CERTIFICATE","252125",,"2007-03-12T03:03:24.000","2007-03-12T03:03:00.000",,,"Issued","0","Turf Farm along with garage, blacksnmith shop, storage buildings, barn and landscape operation.  Originally approved on October 14, 2004.","701",,"NORWOOD","RD",,"SILVER SPRING","MD","20905","39.11984","-77.021606","NORBECK ROAD","POINT (-77.021606 39.11984)"
"NON CONFORMING USE CERTIFICATE","245722",,"2006-05-09T03:05:44.000","2006-05-17T03:05:00.000","2006-05-17T03:05:00.000",,"Finaled","0","Retail Market (The Grosvenor Market)","10401",,"GROSVENOR","PL",,"ROCKVILLE","MD","20852","0","0",,"POINT (0 0)"
"NON CONFORMING USE CERTIFICATE","216907",,"2002-05-02T01:05:19.000","2006-04-21T01:04:00.000","2006-04-21T01:04:00.000",,"Finaled","0",,"19027",,"FREDERICK","RD",,"GAITHERSBURG","MD","20879","39.169029","-77.233577",,"POINT (-77.233577 39.169029)"
"NON CONFORMING USE CERTIFICATE","245071",,"2006-04-12T11:04:45.000","2006-04-20T05:04:06.000","2006-04-20T05:04:08.000",,"Finaled","0",,"19431",,"WALTER JOHNSON","RD",,"GERMANTOWN","MD","20874","39.17444","-77.269634",,"POINT (-77.269634 39.17444)"
"NON CONFORMING USE CERTIFICATE","245076",,"2006-04-12T01:04:43.000","2006-04-20T05:04:05.000","2006-04-20T05:04:08.000",,"Finaled","0",,"19421",,"WALTER JOHNSON","RD",,"GERMANTOWN","MD","20874","39.173776","-77.269533",,"POINT (-77.269533 39.173776)"
"NON CONFORMING USE CERTIFICATE","245075",,"2006-04-12T01:04:29.000","2006-04-20T04:04:16.000","2006-04-20T04:04:19.000",,"Finaled","0",,"19415",,"WALTER JOHNSON","RD",,"GERMANTOWN","MD","20874","39.17433","-77.270105",,"POINT (-77.270105 39.17433)"
"NON CONFORMING USE CERTIFICATE","242900",,"2006-01-30T12:01:49.000","2006-01-30T12:01:42.000",,,"Issued","0","14220 ""C"" COMUS ROAD-868 SQFT","14220",,"COMUS","RD",,"CLARKSBURG","MD","20871","0","0","""C""","POINT (0 0)"
"NON CONFORMING USE CERTIFICATE","242864","ALTER","2006-01-27T07:01:46.000","2006-01-27T02:01:28.000",,,"Issued","0","Jimmy's Auto Body and Painting","936",,"SLIGO","AVE",,"SILVER SPRING","MD","20910","38.990034","-77.025067",,"POINT (-77.025067 38.990034)"
"NON CONFORMING USE CERTIFICATE","242489",,"2006-01-11T09:01:19.000","2006-01-24T01:01:06.000","2006-01-24T01:01:40.000",,"Finaled","0","COMMERCIAL NURSERY-""PLANTS ALIVE!""","15710",,"LAYHILL","RD",,"SILVER SPRING","MD","20906","39.11333","-77.038388",,"POINT (-77.038388 39.11333)"
"NON CONFORMING USE CERTIFICATE","241824",,"2005-12-12T09:12:22.000","2005-12-19T01:12:00.000","2005-12-19T01:12:00.000",,"Finaled","0","Horticultural Nursery and Landscape Contractor","2214",,"SPENCERVILLE","RD",,"SPENCERVILLE","MD","20868","39.11818","-76.963827",,"POINT (-76.963827 39.11818)"
"NON CONFORMING USE CERTIFICATE","238733",,"2005-08-04T08:08:02.000","2005-08-25T10:08:23.000","2005-08-25T10:08:25.000",,"Finaled","0","Antique shop","16650",,"GEORGIA","AVE",,"OLNEY","MD","20832","39.130002","-77.071708",,"POINT (-77.071708 39.130002)"
"NON CONFORMING USE CERTIFICATE","238986",,"2005-08-12T03:08:33.000","2005-08-18T10:08:16.000","2005-08-18T10:08:22.000",,"Finaled","0","Horticulture Nursery","821",,"NORWOOD","RD",,"SILVER SPRING","MD","20905","39.12199","-77.024047",,"POINT (-77.024047 39.12199)"
"NON CONFORMING USE CERTIFICATE","235271","ALTER","2005-03-23T01:03:42.000","2005-03-24T09:03:23.000","2005-03-24T09:03:25.000",,"Finaled","0","Garden Gate Landscaping, Inc.","821",,"NORWOOD","RD",,"SILVER SPRING","MD","20905","39.12199","-77.024047",,"POINT (-77.024047 39.12199)"
"NON CONFORMING USE CERTIFICATE","233751",,"2005-01-14T10:01:48.000","2005-02-11T06:02:00.000","2005-02-11T06:02:00.000",,"Finaled","0",,"15301",,"HOLLY GROVE","RD",,"SILVER SPRING","MD","20905","39.109261","-77.017019",,"POINT (-77.017019 39.109261)"
"NON CONFORMING USE CERTIFICATE","232979",,"2004-11-29T02:11:38.000","2004-11-30T03:11:00.000","2004-11-30T03:11:00.000",,"Finaled","0",,"7023",,"MACARTHUR","BLVD",,"BETHESDA","MD","20816","0","0","*ADDRESS PREVIOUSLY NOT LISTED IN HANSEN-CREATED BY D.F.-THIS IS AN ISLAND IN THE POTOMAC*","POINT (0 0)"
"NON CONFORMING USE CERTIFICATE","230909","ALTER","2004-08-05T03:08:12.000","2004-09-21T10:09:49.000","2004-09-21T10:09:54.000",,"Finaled","0","Non-Conforming Use for Lots 11 and 13, Norwood Heights Subdivision  commercial parking lot","4828",,"WEST","LN",,"BETHESDA","MD","20814","38.983835","-77.097332","WEST AVENUE, NORWOOD HEIGHTS SUBDIVISION","POINT (-77.097332 38.983835)"
"NON CONFORMING USE CERTIFICATE","221587",,"2003-05-13T11:05:53.000","2003-05-13T11:05:40.000","2003-05-13T11:05:23.000",,"Finaled","0",,"5125",,"WISSIOMING","RD",,"BETHESDA","MD","20816","38.957864","-77.127336",,"POINT (-77.127336 38.957864)"
"NON CONFORMING USE CERTIFICATE","220595",,"2003-02-26T10:02:38.000","2003-02-26T12:02:00.000","2003-02-26T10:02:00.000",,"Finaled","0","Nonconforming use for 2 residences; one a former farm tenant house and the other a single family residence.","22415",,"WHITES FERRY","RD",,"DICKERSON","MD","20842","39.162889","-77.468676",,"POINT (-77.468676 39.162889)"
"NON CONFORMING USE CERTIFICATE","200266",,"1999-09-05T04:09:12.000","2002-04-15T12:04:00.000",,,"Open","0","Nonconforming use for the sale of materials including sod, manure, topsoil, mulch and compro.LANDSCAPE CONTRACTOR","16300",,"LAYHILL","RD",,"SILVER SPRING","MD","20906","39.124418","-77.029427",,"POINT (-77.029427 39.124418)"
"NON CONFORMING USE CERTIFICATE","216602","USE","2002-04-15T03:04:33.000","2002-04-15T12:04:00.000",,,"Issued","0","THIS PROPERTY IS A CERTIFIED NONCONFORMING USE FOR THE SALE OF SOD, MANURE, TOPSOIL, MULCH, AND COMPRO. THESE ITEMS MAY BE SOLD WHOLESALE ONLY.  NO RETAIL SALES ARE PERMITTED.","16300",,"LAYHILL","RD",,"SILVER SPRING","MD","20906","39.124418","-77.029427",,"POINT (-77.029427 39.124418)"
"NON CONFORMING USE CERTIFICATE","200064",,"1999-09-05T10:09:59.000","2002-04-15T04:04:50.000","2003-11-12T03:11:05.000",,"Finaled","0",,"15911",,"CHIEFTAIN","RD",,"DERWOOD","MD","20855","0","0",,"POINT (0 0)"
"NON CONFORMING USE CERTIFICATE","200359",,"1999-09-05T05:09:21.000","2001-12-07T12:12:00.000",,,"Open","0","Self storage use would be permitted as a nonconforming use. Hotel Furninture Sellout.","8001",,"NEWELL","ST",,"SILVER SPRING","MD","20910","38.988352","-77.030236",,"POINT (-77.030236 38.988352)"
"NON CONFORMING USE CERTIFICATE","212113",,"2001-05-31T10:05:04.000","2001-05-31T12:05:00.000",,,"Issued","0","NONCONFORMING USE FOR PARKING AND STORAGE OF CARS AND TRUCKS, NO CLOSER THAN 25 FEET TO THE U.S. 29 RIGHT OF WAY.SPORT CHEVROLET","3101",,"AUTOMOBILE","BLVD",,"SILVER SPRING","MD","20904","39.081333","-76.948139",,"POINT (-76.948139 39.081333)"
"NON CONFORMING USE CERTIFICATE","212114",,"2001-05-31T10:05:50.000","2001-05-31T12:05:00.000",,,"Issued","0","NONCONFORMING USE FOR THE BOARDING OF NO MORE THAN TWO HORSES","13814",,"DUFIEF MILL","RD",,"GAITHERSBURG","MD","20878","39.082773","-77.250413",,"POINT (-77.250413 39.082773)"
"NON CONFORMING USE CERTIFICATE","212063",,"2001-05-25T01:05:09.000","2001-05-31T12:05:00.000",,,"Open","0","Nonconforming use of property for the boarding of 2 horses","13814",,"DUFIEF MILL","RD",,"GAITHERSBURG","MD","20878","39.082773","-77.250413",,"POINT (-77.250413 39.082773)"
"NON CONFORMING USE CERTIFICATE","200386",,"1999-09-05T05:09:48.000","2001-01-31T03:01:00.000",,,"Issued","0","2/20/01 INSPECTED FOR ABANDONMENT OF NONCONFORMING USE/ 2 DWELLING UNITS THIS PROPERTY WAS CONDEMNED BY DHCD 8/17/00/ REPAIRS ARE BEING PERFORMED TO COMPLY WITH HOUSING.NO BUILDING OR ELECTRICAL PERMITS REQUIRED FOR WORK PEFORMED. PROPERTY UNOCCUPIED NOT ABANDONED SEE FILE WITH JAY CALLOWAY","816",,"PHILADELPHIA","AVE",,"SILVER SPRING","MD","20910","38.987184","-77.0227",,"POINT (-77.0227 38.987184)"
"NON CONFORMING USE CERTIFICATE","200131",,"1999-09-05T11:09:53.000","2001-01-25T12:01:00.000",,,"Open","0","3 buildings on the property; main is restricted to residential use, accessory building can be used for a personal office or storage of personal goods, guesthouse, which is incoroporated into the accessory building, may not be used as a rental unit, but can be occupied by a transient nonpaying visitor. The church building can be used for your photography studio -- nonconforming use and is subject to Mont. Co. Zoning Ordinance.","26200",,"FREDERICK","RD",,"CLARKSBURG","MD","20871","39.285849","-77.314441",,"POINT (-77.314441 39.285849)"
"NON CONFORMING USE CERTIFICATE","209757",,"2001-01-09T02:01:22.000","2001-01-09T12:01:00.000",,,"Issued","0","TWO (2) MEDICAL PRACTITIONERS; NONCONFORMING USE OF THE PROPERTY","9225",,"COLESVILLE","RD",,"SILVER SPRING","MD","20910","39.006842","-77.020891",,"POINT (-77.020891 39.006842)"
"NON CONFORMING USE CERTIFICATE","209484",,"2000-12-15T01:12:48.000","2000-12-15T02:12:00.000",,,"Issued","0","GENERAL CONTRACTORS BUSINESS FACILITY
PART OF LOT 3, BLOCK A 41,553 SQUARE FT.OR .9539 ACRE","16223",,"REDLAND","RD",,"ROCKVILLE","MD","20855","39.122972","-77.15597",,"POINT (-77.15597 39.122972)"
"NON CONFORMING USE CERTIFICATE","209485",,"2000-12-15T02:12:43.000","2000-12-15T02:12:00.000",,,"Issued","0","GENERAL CONTRACTORS BUSINESS FACILITY
PART OF LOT 4, BLOCK A, 41,522 SQUARE FT., OR .9532 ACRE","16227",,"REDLAND","RD",,"ROCKVILLE","MD","20855","39.123136","-77.155717",,"POINT (-77.155717 39.123136)"
"NON CONFORMING USE CERTIFICATE","206686",,"2000-08-21T12:08:30.000","2000-08-21T12:08:00.000",,,"Issued","0","Nonconforming use of the property as a two-family dwelling (two-serparate dwelling units);","507",,"ELM","AVE",,"TAKOMA PARK","MD","20912","38.974426","-77.000347",,"POINT (-77.000347 38.974426)"
"NON CONFORMING USE CERTIFICATE","205689",,"2000-06-26T08:06:49.000","2000-06-26T12:06:00.000",,,"Issued","0","NonConforming use of this property for a Landscape Contractor. Retail sales of firewood from the property must cease immediately, however, firewood on a wholesale basis from the property or delivery is permitted.","14821",,"LAYHILL","RD",,"SILVER SPRING","MD","20906","39.100068","-77.04059",,"POINT (-77.04059 39.100068)"
"NON CONFORMING USE CERTIFICATE","200032",,"1999-09-05T09:09:33.000","2000-05-25T12:05:00.000",,,"Open","0","Landscape contractor operation has been abandoned and is not permitted to be resumed. A wholesale nursery may continue to be operated from this property in accordance with Section 59-C-9.3","5317",,"BROOKEVILLE","RD",,"GAITHERSBURG","MD","20882","39.185109","-77.110389",,"POINT (-77.110389 39.185109)"
"NON CONFORMING USE CERTIFICATE","204293",,"2000-04-12T01:04:39.000","2000-04-12T01:04:23.000","2006-11-13T10:11:41.000",,"Finaled","0",,"19630",,"WATERS","RD",,"GERMANTOWN","MD","20874","39.178691","-77.273796",,"POINT (-77.273796 39.178691)"
"NON CONFORMING USE CERTIFICATE","202923",,"2000-01-21T11:01:31.000","2000-01-21T12:01:00.000","2009-08-24T10:08:07.000",,"Finaled","0","OFF STREET PARKING OF 4(FOUR) COMMERCIAL VEHICLES","1237","E","RANDOLPH","RD",,"SILVER SPRING","MD","20904","39.069447","-76.987712",,"POINT (-76.987712 39.069447)"
