"vacancynumber","department","jobtitle","numberofopenings","startdate","enddate","employmentcategory","recruitmenttype","professionalarea"
"IRC55362","Department of Health and Human Services","Community Services Aide III (Part-Time - Children Youth Family Services, Street Outreach Network), Grade 18","2","2022-08-18T00:00:00.000","2022-09-08T00:00:00.000","PARTTIME","Closing Date","Trades and Labor"
"IRC55382","Department of Transportation, Division of Transit Services","Transit Bus Operator, Grade 15","30","2022-08-19T00:00:00.000","2022-10-03T00:00:00.000","FULLTIME","Closing Date","Trades and Labor"
"IRC55161","Department of Police","Police Captain","1","2022-07-28T00:00:00.000","2022-09-12T00:00:00.000","FULLTIME","Closing Date","Montgomery County Government Employees Only"
"IRC53815","Department of Recreation","Afterschool Program Site Director or Soccer4Change League Coordinator (Recreation Assistant VIII), Grade S8","50","2022-03-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC54522","Department of Transportation/Traffic Engineering Design & Operation/Transportation Management Section","Engineer Technician I/II, Grade 17/18","2","2022-06-09T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55201","Department of Technology Enterprises & Business Solutions/ Office of Digital Transformation, Geographic Information Systems","Geographic Information Systems (GIS) Manager, Grade M3","1","2022-08-18T00:00:00.000","2022-09-01T00:00:00.000","FULLTIME","Closing Date","Managerial Executive"
"IRC53897","Department of Transportation, Division of Transportation Engineering, Transportation Planning and Design Section","Senior Planning Specialist, Grade 25","1","2022-04-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54017","Office of Management and Budget","Fiscal and Policy Analyst III, Grade N28","8","2022-04-14T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55302","Alcohol  Beverage Services","Program Manager II; Licensure Manager - Grade 25","1","2022-08-15T00:00:00.000","2022-08-29T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC51002","Department of Transportation, Transportation Planning and Design Section","Capital Projects Manager, Grade 28","2","2021-10-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54400","Department of Transportation/Traffic Engineering & Operations/Transportation Management Section","Traffic Management Technician I, Grade 15","4","2022-05-27T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC48582","Department of Housing and Community Affairs","Manager II (Chief of Housing), Grade M2","1","2021-05-24T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC54441","Department of Permitting Services","Senior Permitting Services Specialist (Land Development/Water Resources and Right of Way), Grade 26","3","2022-06-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54142","Department of Fire and Rescue Service/ Training Academy","Firefighter/Rescuer I Recruit, Grade F1","100","2022-06-30T00:00:00.000","2022-08-31T00:00:00.000","FULLTIME","Closing Date","Public Safety"
"IRC52322","Department of Permitting Services","Permitting and Code Compliance Inspector - Commercial, Grade 23","2","2021-12-06T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54387","Department of Transportation, Division of Traffic Engineering and Operations","Engineer III/II/I (Fiber - Telecom), Grade 25/22/19","1","2022-06-08T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC49344","Department of Health and Human Services","Social Worker III (Child Welfare Services), Grade 24","10","2021-06-23T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC53897","Department of Transportation, Division of Transportation Engineering, Transportation Planning and Design Section","Senior Planning Specialist, Grade 25","1","2022-04-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55404","Office of County Council","Legislative Services Coordinator; Grade 17","1","2022-08-23T00:00:00.000","2022-09-13T00:00:00.000","FULLTIME","Closing Date","Clerical/Administrative"
"IRC55365","Department of Correction and Rehabilitation","Laboratory Assistant, Grade 14","1","2022-08-22T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC49522","Department of Fire & Rescue Service/Training Academy","Public Safety Instructor, Grade 20","1","2021-07-21T00:00:00.000",,"FULLTIME","Open Continuous","Public Safety"
"IRC55346","Department of Recreation","Recreation Assistant IV (Grade S4)","50","2022-08-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC55363","Department of Police, Management and Budget Division","Management and Budget Specialist III (Financial and Grants Management Section), Grade 25","1","2022-08-18T00:00:00.000",,"FULLTIME","Open Until Filled","Montgomery County Government Employees Only"
"IRC54380","Department of Transportation, Division of Traffic Engineering & Operations","Engineer III/II/I (ATMS), Grade 25/22/19","1","2022-06-08T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54388","Department of Permitting Services","Information Technology Specialist III (Generalist), Grade N26","1","2022-06-02T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC49343","Department of Housing and Community Affairs","Housing Code Inspector III, Grade 23","8","2021-06-23T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54388","Department of Permitting Services","Information Technology Specialist III (Generalist), Grade N26","1","2022-06-02T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC54221","Department of Permitting Services","Information Technology Specialist III (GIS Analyst and Cloud Application Administrator), Grade N26","1","2022-05-17T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC54684","Department of Correction and Rehabilitation","Correctional Health Nurse II, Grade 24","3","2022-06-16T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC54221","Department of Permitting Services","Information Technology Specialist III (GIS Analyst and Cloud Application Administrator), Grade N26","1","2022-05-17T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC55462","Community Engagement Cluster/Commission for Women","Program Manager I (Programs and Events Manager); grade 23","1","2022-08-25T00:00:00.000","2022-09-08T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC50646","Department of Permitting Services","Senior Permitting Services Specialist (Fire Protection), Grade 26","1","2021-09-07T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55482","Department of Transportation, Division of Transit Services","Manager III (Depot Chief), Grade M3","1","2022-08-26T00:00:00.000","2022-09-12T00:00:00.000","FULLTIME","Closing Date","Managerial Executive"
"IRC50006","Office of Human Resources","Psychologist, (Police) Grade 29","1","2021-08-04T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC55040","Office of the County Attorney","Assistant County Attorney III (Zoning, Land Use and Economic Development), Grade N32","1","2022-07-18T00:00:00.000","2022-09-19T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC54265","Office of Community Partnerships, Volunteer Center","Senior Fellow, Grade N23","1","2022-05-20T00:00:00.000",,"PARTTIME","Open Until Filled","Temporary/Seasonal/Substitute"
"IRC53682","Department of Recreation","Lifeguard (Recreation Assistant III), Grade S3","50","2022-03-07T00:00:00.000","2022-10-31T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC54982","Department of Health and Human Services","Nurse Practitioner (Public Health Services, Mobile Health Clinic), Grade 26","1","2022-07-08T00:00:00.000","2022-09-08T00:00:00.000","FULLTIME","Closing Date","Health and Social Services"
"IRC55215","Department of Recreation","Recreation Coordinator (Multiple Program Areas), Grade 18","5","2022-08-05T00:00:00.000",,"FULLTIME","Open Continuous","General Professional"
"IRC49343","Department of Housing and Community Affairs","Housing Code Inspector III, Grade 23","8","2021-06-23T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54265","Office of Community Partnerships, Volunteer Center","Senior Fellow, Grade N23","1","2022-05-20T00:00:00.000",,"PARTTIME","Open Until Filled","Temporary/Seasonal/Substitute"
"IRC53706","Department of General Services","Equipment Maintenance Crew Chief, Grade 22","3","2022-03-08T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53706","Department of General Services","Equipment Maintenance Crew Chief, Grade 22","3","2022-03-08T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC55212","Montgomery County Employee Retirement Plans","Retirement Analyst/Senior Retirement Analyst, Grade N23/N26","1","2022-08-04T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55013","Department of Technology & Enterprise Business Solutions","MLS Manager II (Head, Project Management Office), M2","1","2022-07-12T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC55348","Department of Recreation","Recreation Assistant VI (Grade S6)","50","2022-08-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC54882","Office of Public Information/PIO 23 MC311","Training Specialist, Grade 21","1","2022-08-18T00:00:00.000","2022-09-01T00:00:00.000","FULLTIME","Closing Date","Montgomery County Government Employees Only"
"IRC46176","Department of Health and Human Services","Therapist I/II (Behavioral Health and Crisis Services), Grade 23/24","10","2020-10-14T00:00:00.000",,"PARTTIME","Closing Date","Health and Social Services"
"IRC55049","Department of Health and Human Services","Social Worker III (Aging and Disability Services, Social Services to Adults), Grade 24","1","2022-07-19T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC55045","Department of Environmental Protection, Recycling and Resource Management Division","Program Manager I (Safety and Environmental Compliance Manager), Grade 23","1","2022-07-19T00:00:00.000","2022-09-20T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC53384","Department of General Services","Mechanic Technician I/Apprentice, Grade 16/12","8","2022-02-07T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53960","Department of Technology & Enterprise Business Solutions/Office of Change Management","Change Management Specialist, Grade 27","2","2022-04-08T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC46176","Department of Health and Human Services","Therapist I/II (Behavioral Health and Crisis Services), Grade 23/24","10","2020-10-14T00:00:00.000",,"PARTTIME","Closing Date","Health and Social Services"
"IRC46176","Department of Health and Human Services","Therapist I/II (Behavioral Health and Crisis Services), Grade 23/24","10","2020-10-14T00:00:00.000",,"PARTTIME","Closing Date","Health and Social Services"
"IRC54246","Department of Fire and Rescue Service/Fleet","Emergency Vehicle Mechanic Technician II, Grade 20","1","2022-05-19T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53762","Department of Finance","Accountant/Auditor Supervisor (General Accounting Supervisor), Grade N26","2","2022-03-11T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55349","Department of Recreation","Recreation Assistant VII (Grade S7)","50","2022-08-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC53813","Board of Elections","Program Manager I, (Operations Division Chief), Grade 23","1","2022-03-28T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55220","Department of Recreation","Recreation Supervisor (Multiple Program Areas), Grade N23","1","2022-08-05T00:00:00.000",,"FULLTIME","Open Continuous","General Professional"
"IRC55162","Department of Police","Senior Forensic Scientist (Firearms Examination Unit), Grade 26","1","2022-08-01T00:00:00.000","2022-08-29T00:00:00.000","FULLTIME","Closing Date","Public Safety"
"IRC53692","Department of Recreation","TeenWorks Program Staff (Recreation Assistant I), Grade S1","50","2022-03-07T00:00:00.000","2022-10-31T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC53684","Department of Recreation","Cashier (Recreation Assistant IV), Grade S4","50","2022-03-07T00:00:00.000","2022-10-31T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC50006","Office of Human Resources","Psychologist, (Police) Grade 29","1","2021-08-04T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC55210","Department of Environmental Protection, Energy, Climate & Compliance Division, Office of Energy and Climate","Program Manager I (Building Data Analytics), Grade 23","1","2022-08-03T00:00:00.000","2022-09-01T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC55213","Department of Police","Police Officer - Lateral Class","1","2022-08-06T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC55209","Department of General Services","Printing Technician I (Central Duplicating), Grade 13","1","2022-08-02T00:00:00.000","2022-08-31T00:00:00.000","FULLTIME","Closing Date","Trades and Labor"
"IRC54282","Department of Health and Human Services","Social Worker III (Services to End and Prevent Homelessness), Grade 24","1","2022-05-21T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC53686","Department of Recreation","Swim Instructor (Recreation Assistant III), Grade S3","50","2022-03-07T00:00:00.000","2022-10-31T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC55211","Department of Recreation","Recreation Specialist (Multiple Program Areas), Grade 21","5","2022-08-05T00:00:00.000",,"FULLTIME","Open Continuous","General Professional"
"IRC55347","Department of Recreation","Recreation Assistant V (Grade S5)","50","2022-08-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC54284","Department of Health and Human Services","Environmental Health Specialist I/II/III (Public Health Services, Health Care Facilities/Licensure and Regulatory Services), Grade 20/23/24","2","2022-05-21T00:00:00.000","2022-09-22T00:00:00.000","FULLTIME","Closing Date","Health and Social Services"
"IRC55207","Department of Public Libraries","Senior Librarian, Grade N25","3","2022-08-03T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55442","Department of General Services","Manager III (Fleet Management Services, Materials Management Section Chief), Grade M3","1","2022-08-25T00:00:00.000","2022-09-25T00:00:00.000","FULLTIME","Closing Date","Managerial Executive"
"IRC55402","Department of Technology & Enterprise Business Solutions (TEBS) /Office of Broadband Programs, FiberNet Engineering & Operations","Enterprise Technology Expert, Grade 34","1","2022-08-23T00:00:00.000","2022-09-06T00:00:00.000","FULLTIME","Open Until Filled","Information Technology"
"IRC55206","Department of Public Libraries","Administrative Specialist II, Grade N21","1","2022-08-03T00:00:00.000","2022-09-06T00:00:00.000","FULLTIME","Closing Date","Montgomery County Government Employees Only"
