Facility Owner,Site,Address,City,State,Zip,Location,Zip Codes,Municipalities,Communities,Councils
Montgomery County Public Schools,"Clemente, Roberto MS",18808 Waring Station Road,Germantown,MD,20874,"18808 Waring Station Road
Germantown, MD 20874
(39.165732, -77.246476)",39,1,39,2
Montgomery County Public Schools,Clopper Mill ES,18501 Cinnamon Drive,Germantown,MD,20874,"18501 Cinnamon Drive
Germantown, MD 20874
(39.162624, -77.266025)",39,1,39,2
Montgomery County Public Schools,Cloverly ES,800 Briggs Chaney Road,Silver Spring,MD,20904,"800 Briggs Chaney Road
Silver Spring, MD 20904
(39.107003, -76.994489)",8,1,26,5
Montgomery County Public Schools,Cold Spring ES,9201 Falls Chapel Way,Potomac,MD,20854,"9201 Falls Chapel Way
Potomac, MD 20854
(39.059623, -77.187461)",53,1,20,3
Montgomery County,Colesville Elementary School,14015 New Hampshire AVE,Silver Spring,MD,20904,"14015 New Hampshire AVE
Silver Spring, MD 20904
(39.08653, -76.999326)",12,1,26,5
MNCPPC,Colesville Local Park,610 Hobbs DR,Silver Spring,MD,20904,"610 Hobbs DR
Silver Spring, MD 20904
(39.084973, -76.998131)",12,1,26,5
Montgomery County Public Schools,College Gardens ES,1700 Yale Place,Rockville,MD,20850,"1700 Yale Place
Rockville, MD 20850
(39.102779, -77.161985)",71,12,25,3
MNCPPC,Columbia Local Park,14900 Old Columbia PIKE,Silver Spring,MD,20866,"14900 Old Columbia PIKE
Silver Spring, MD 20866
(39.100746, -76.941385)",47,1,30,5
MNCPPC,Concord Local Park,7216 Hidden Creek RD,Bethesda,MD,20817,"7216 Hidden Creek RD
Bethesda, MD 20817
(38.982136, -77.150372)",103,1,12,1
Montgomery County,Council Office Building,100 Maryland AVE,Rockville,MD,20850,"100 Maryland AVE
Rockville, MD 20850
(39.082088, -77.151215)",71,12,25,3
Montgomery County Public Schools,Cresthaven ES,1234 Cresthaven Drive,Silver Spring,MD,20903,"1234 Cresthaven Drive
Silver Spring, MD 20903
(39.027461, -76.986753)",15,1,18,5
MNCPPC,Cross Creek Club Local Park,3530 Briggs Chaney RD,Silver Spring,MD,20904,"3530 Briggs Chaney RD
Silver Spring, MD 20904
(39.07276, -76.938764)",12,1,53,5
Montgomery County Public Schools,"Daly, James ES",20301 Brandermill Drive,Germantown,MD,20876,"20301 Brandermill Drive
Germantown, MD 20876
(39.190227, -77.23234)",36,1,39,2
Libraries,Damascus Community Library,9701 Main ST,Damascus,MD,20872,"9701 Main ST
Damascus, MD 20872
(39.287238, -77.200174)",42,1,51,2
Recreation,Damascus Community Recreation Center,25520 Oak Drive,Damascus,MD,20872,"25520 Oak Drive
Damascus, MD 20872
(39.275463, -77.21483)",42,1,51,2
Montgomery County Public Schools,Damascus ES,10201 Bethesda Church Road,Damascus,MD,20872,"10201 Bethesda Church Road
Damascus, MD 20872
(39.283545, -77.208415)",42,1,51,2
Montgomery County Public Schools,Damascus HS,25921 Ridge Road,Damascus,MD,20872,"25921 Ridge Road
Damascus, MD 20872
(39.281699, -77.211481)",42,1,51,2
Montgomery County Public Schools,Darnestown ES,15030 Turkey Foot Road,Gaithersburg,MD,20878,"15030 Turkey Foot Road
Gaithersburg, MD 20878
(39.102688, -77.284252)",33,1,28,1
MNCPPC,Darnestown Local Park,14211 Darnestown RD,Darnestown,MD,20874,"14211 Darnestown RD
Darnestown, MD 20874
(39.105606, -77.295624)",39,1,28,1
Libraries,Davis Community Library,6400 Democracy BLVD,Bethesda,MD,20817,"6400 Democracy BLVD
Bethesda, MD 20817
(39.02349, -77.128782)",103,1,12,1
Montgomery County,Dennis Ave ES,2000 Dennis Avenue,Silver Spring,MD,20902,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043408)",17,1,10,5
MNCPPC,Dewey Local Park,11720 Dewey RD,Silver Spring,MD,20906,"11720 Dewey RD
Silver Spring, MD 20906
(39.047255, -77.088219)",6,1,56,4
Montgomery County Public Schools,Diamond ES,4 Marquis Drive,Gaithersburg,MD,20878,"4 Marquis Drive
Gaithersburg, MD 20878
(39.134859, -77.238468)",33,21,36,3
MNCPPC,Dickerson Local Park,22121 Dickerson School RD,Dickerson,MD,20842,"22121 Dickerson School RD
Dickerson, MD 20842
(39.218266, -77.421918)",74,1,48,2
Montgomery County Public Schools,"Drew, Dr. Charles ES",1200 Swingingdale Drive,Silver Spring,MD,20905,"1200 Swingingdale Drive
Silver Spring, MD 20905
(39.091174, -76.986769)",8,1,29,5
Montgomery County Public Schools,Dufief ES,15001 DuFief Drive,Gaithersburg,MD,20878,"15001 DuFief Drive
Gaithersburg, MD 20878
(39.1015, -77.23849)",33,1,24,2
MNCPPC,Dufief Local Park,11336 Brandyhall LN,Darnestown,MD,20878,"11336 Brandyhall LN
Darnestown, MD 20878
(39.103625, -77.236319)",33,1,24,2
Montgomery County Public Schools,Eastern MS,"300 University Blvd., East",Silver Spring,MD,20901,"300 University Blvd., East
Silver Spring, MD 20901
(39.010789, -77.001228)",21,1,8,5
MNCPPC,East Norbeck Local Park,3131 Norbeck RD,Silver Spring,MD,20906,"3131 Norbeck RD
Silver Spring, MD 20906
(39.112492, -77.065335)",6,1,60,4
Montgomery County Public Schools,East Silver Spring ES,631 Silver Spring Avenue,Silver Spring,MD,20910,"631 Silver Spring Avenue
Silver Spring, MD 20910
(38.991995, -77.015191)",3065,1,7,5
Montgomery County Public Schools,"Edison, Thomas HS of Technology",12501 Dalewood Drive,Wheaton,MD,20906,"12501 Dalewood Drive
Wheaton, MD 20906
(39.061137, -77.068353)",6,1,23,4
MNCPPC,Ednor Local Park,17030 Clear Creek DR,Silver Spring,MD,20905,"17030 Clear Creek DR
Silver Spring, MD 20905
(39.136678, -76.983948)",8,1,32,5
Montgomery County Public Schools,"Einstein, Albert HS",11135 Newport Mill Road,Kensington,MD,20895,"11135 Newport Mill Road
Kensington, MD 20895
(39.039987, -77.069991)",25,1,15,4
MNCPPC,English Manor Nghbrhd Park,4511 Bestor DR,Rockville,MD,20853,"4511 Bestor DR
Rockville, MD 20853
(39.091355, -77.091032)",58,1,61,3
Montgomery County Public Schools,"Ewing, Blair G. Center (Mark Twain School)",14501 Avery Road,Rockville,MD,20853,"14501 Avery Road
Rockville, MD 20853
(39.094519, -77.123697)",71,12,25,3
Montgomery County,Executive Office Building,101 Monroe ST,Rockville,MD,20850,"101 Monroe ST
Rockville, MD 20850
(39.082836, -77.148966)",71,12,25,3
Montgomery County Public Schools,Fairland Center,13313 Old Columbia Pike,Silver Spring,MD,20904,"13313 Old Columbia Pike
Silver Spring, MD 20904
(39.075025, -76.958349)",12,1,53,5
Montgomery County Public Schools,Fairland ES,14315 Fairdale Road,Silver Spring,MD,20905,"14315 Fairdale Road
Silver Spring, MD 20905
(39.091489, -76.957172)",8,1,53,5
MNCPPC,Fairland Recreational Park,3928 Greencastle Road,Burtonsville,MD,20866,"3928 Greencastle Road
Burtonsville, MD 20866
(39.083852, -76.930926)",47,1,30,5
Montgomery County Public Schools,Fallsmead ES,1800 Greenplace Terrace,Rockville,MD,20850,"1800 Greenplace Terrace
Rockville, MD 20850
(39.07873, -77.177201)",71,12,25,3
MNCPPC,Falls Road Local Park,12600 Falls Road RD,Potomac,MD,20854,"12600 Falls Road RD
Potomac, MD 20854",,,,
MNCPPC,Farmland Drive LP (Farmland ES),7000 Old Gate RD,Rockville,MD,20852,"7000 Old Gate RD
Rockville, MD 20852
(39.047805, -77.1448)",60,1,19,1
Montgomery County Public Schools,Farmland ES,7000 Old Gate Road,Rockville,MD,20852,"7000 Old Gate Road
Rockville, MD 20852
(39.047805, -77.1448)",60,1,19,1
Montgomery County Public Schools,"Farquhar, William MS",16915 Batchellors Forest Road,Olney,MD,20832,"16915 Batchellors Forest Road
Olney, MD 20832
(39.135238, -77.04572)",100,1,60,4
Montgomery County,Fernwood ES (Woods Academy),6801 Greentree RD,Bethesda,MD,20817,"6801 Greentree RD
Bethesda, MD 20817
(39.007831, -77.1384)",103,1,12,1
MNCPPC,Fernwood Local Park,6640 Marywood RD,Bethesda,MD,20817,"6640 Marywood RD
Bethesda, MD 20817
(39.009221, -77.136689)",103,1,12,1
Montgomery County Public Schools,Fields Road ES,One School Drive,Gaithersburg,MD,20878,"One School Drive
Gaithersburg, MD 20878",,,,
MNCPPC,Fleming Local Park,9925 Fleming AVE,Bethesda,MD,20814,"9925 Fleming AVE
Bethesda, MD 20814
(39.019005, -77.11182)",111,1,12,1
Montgomery County Public Schools,Flower Hill ES,18425 Flower Hill Way,Gaithersburg,MD,20879,"18425 Flower Hill Way
Gaithersburg, MD 20879
(39.159444, -77.17198)",31,1,36,4
MNCPPC,Flower Hill Local Park,8308 Mountain Laurel LN,Gaithersburg,MD,20879,"8308 Mountain Laurel LN
Gaithersburg, MD 20879
(39.1621, -77.171913)",31,1,36,4
Montgomery County Public Schools,Flower Valley ES,4615 Sunflower Drive,Rockville,MD,20853,"4615 Sunflower Drive
Rockville, MD 20853
(39.104924, -77.092995)",58,1,61,3
MNCPPC,Flower Valley Neigh Park,4510 Hornbeam DR,Rockville,MD,20853,"4510 Hornbeam DR
Rockville, MD 20853
(39.110542, -77.089671)",58,1,61,3
MNCPPC,Forest Grove Neigh. Park,9901 Dameron DR,Wheaton,MD,20902,"9901 Dameron DR
Wheaton, MD 20902
(39.018409, -77.034574)",17,1,10,5
Montgomery County Public Schools,Forest Knolls ES,10830 Eastwood Avenue,Silver Spring,MD,20901,"10830 Eastwood Avenue
Silver Spring, MD 20901
(39.033571, -77.020592)",21,1,17,5
Montgomery County Public Schools,Forest Oak MS,651 Saybrooke Oaks Blvd.,Gaithersburg,MD,20877,"651 Saybrooke Oaks Blvd.
Gaithersburg, MD 20877
(39.153357, -77.185735)",35,21,36,3
MNCPPC,Fountain Hills Local Park,18801 Liberty Mill RD,Germantown,MD,20874,"18801 Liberty Mill RD
Germantown, MD 20874
(39.163805, -77.279797)",39,1,39,2
Montgomery County Public Schools,Fox Chapel ES,19315 Archdale Road,Germantown,MD,20874,"19315 Archdale Road
Germantown, MD 20874
(39.172177, -77.243146)",36,1,39,2
MNCPPC,Fox Chapel Neigh. Park,19129 Staleybridge RD,Germantown,MD,20876,"19129 Staleybridge RD
Germantown, MD 20876
(39.170795, -77.242882)",36,1,39,2
Montgomery County Public Schools,"Frost, Robert MS",9201 Scott Drive,Rockville,MD,20850,"9201 Scott Drive
Rockville, MD 20850
(39.074551, -77.188673)",71,1,22,3
Montgomery County Public Schools,Gaithersburg ES,35 North Summit Avenue,Gaithersburg,MD,20877,"35 North Summit Avenue
Gaithersburg, MD 20877
(39.143829, -77.192954)",35,21,36,3
Montgomery County Public Schools,Gaithersburg HS,314 South Frederick Avenue,Gaithersburg,MD,20877,"314 South Frederick Avenue
Gaithersburg, MD 20877
(39.137541, -77.193851)",35,21,36,3
Montgomery County Public Schools,Gaithersburg MS,2 Teachers' Way,Gaithersburg,MD,20877,"2 Teachers' Way
Gaithersburg, MD 20877
(39.142587, -77.182734)",35,21,36,3
Libraries,Gaithersburg Regional Library,18330 Montgomery Village AVE,Gaithersburg,MD,20879,"18330 Montgomery Village AVE
Gaithersburg, MD 20879
(39.157594, -77.205133)",28,1,38,2
Montgomery County Public Schools,Galway ES,12612 Galway Drive,Silver Spring,MD,20904,"12612 Galway Drive
Silver Spring, MD 20904
(39.064105, -76.944982)",12,1,21,5
Montgomery County Public Schools,Garrett Park ES,4810 Oxford Street,Kensington,MD,20895,"4810 Oxford Street
Kensington, MD 20895",,,,
Montgomery County,Georgetown Hill ES (Ivymount),11614 Seven Locks Rd.,Rockville,MD,20854,"11614 Seven Locks Rd.
Rockville, MD 20854
(39.046638, -77.161296)",53,1,20,1
Montgomery County Public Schools,Georgian Forest ES,3100 Regina Drive,Silver Spring,MD,20906,"3100 Regina Drive
Silver Spring, MD 20906
(39.075656, -77.06235)",6,1,23,4
MNCPPC,Georgian Forest Local Park,2720 Silverdale DR,Silver Spring,MD,20906,"2720 Silverdale DR
Silver Spring, MD 20906
(39.07427, -77.057419)",6,1,23,4
Recreation,Germantown Community Center,18905 Kingsview Drive,Germantown,MD,20874,"18905 Kingsview Drive
Germantown, MD 20874
(39.164971, -77.287073)",39,1,39,2
Montgomery County Public Schools,Germantown ES,19110 Liberty Mill Road,Germantown,MD,20874,"19110 Liberty Mill Road
Germantown, MD 20874
(39.168991, -77.275664)",39,1,39,2
Libraries,Germantown Library,19840 Century Boulevard,Germantown,MD,20874,"19840 Century Boulevard
Germantown, MD 20874
(39.182045, -77.26526)",39,1,39,2
Montgomery County Public Schools,"Gibbs, William B., Jr. ES",12615 Royal Crown Drive,Germantown,MD,20876,"12615 Royal Crown Drive
Germantown, MD 20876
(39.204805, -77.259711)",36,1,39,2
Montgomery County Public Schools,Glenallan ES,12520 Heurich Road,Silver Spring,MD,20902,"12520 Heurich Road
Silver Spring, MD 20902
(39.062127, -77.041276)",17,1,23,4
MNCPPC,Glenfield Local Park,12800 Layhill RD,Silver Spring,MD,20906,"12800 Layhill RD
Silver Spring, MD 20906
(39.065282, -77.048016)",6,1,23,4
Montgomery County Public Schools,Glen Haven ES,10900 Inwood Avenue,Silver Spring,MD,20902,"10900 Inwood Avenue
Silver Spring, MD 20902
(39.033022, -77.035951)",17,1,16,4
MNCPPC,Glen Hills Local Park,12511 Circle DR,Rockville,MD,20850,"12511 Circle DR
Rockville, MD 20850
(39.066524, -77.208203)",71,1,22,3
MNCPPC,Glenmont Local Park,3201 Randolph RD,Silver Spring,MD,20906,"3201 Randolph RD
Silver Spring, MD 20906
(39.059107, -77.064633)",6,1,23,4
MNCPPC,Good Hope Local Park,14715 Good Hope,Silver Spring,MD,20905,"14715 Good Hope
Silver Spring, MD 20905
(39.096556, -76.986725)",8,1,26,5
Montgomery County Public Schools,Goshen ES,8701 Warfield Road,Gaithersburg,MD,20879,"8701 Warfield Road
Gaithersburg, MD 20879
(39.193538, -77.180303)",29,1,46,2
Montgomery County Public Schools,Great Seneca Creek ES,13010 Dairymaid Drive,Germantown,MD,20874,"13010 Dairymaid Drive
Germantown, MD 20874
(39.154277, -77.270697)",39,1,39,2
Montgomery County Public Schools,Greencastle ES,13611 Robey Road,Silver Spring,MD,20904,"13611 Robey Road
Silver Spring, MD 20904
(39.081083, -76.942196)",12,1,53,5
Montgomery County Public Schools,Greenwood ES,3336 Gold Mine Road,Brookeville,MD,20833,"3336 Gold Mine Road
Brookeville, MD 20833
(39.166063, -77.065049)",99,1,58,4
MNCPPC,Greenwood LP/ES,18700 Georgia AVE,Brookeville,MD,20833,"18700 Georgia AVE
Brookeville, MD 20833
(39.164548, -77.060947)",99,1,58,4
Montgomery County Public Schools,Grosvenor Center,4710 Saul Road,Kensington,MD,20895,"4710 Saul Road
Kensington, MD 20895
(39.022051, -77.094268)",25,1,15,1
MNCPPC,Gunner's Branch Local Park,18509 Cinnamon DR,Gaithersburg,MD,20874,"18509 Cinnamon DR
Gaithersburg, MD 20874
(39.162533, -77.265735)",39,1,39,2
MNCPPC,Gunner's Lake Local Park,12671 Grey Eagle CT,Germantown,MD,20874,"12671 Grey Eagle CT
Germantown, MD 20874
(39.168174, -77.263049)",39,1,39,2
Montgomery County Public Schools,Hadley Farms MS (Phoenix II),7401 Hadley Farms Dr.,Gaithersburg,MD,20879,"7401 Hadley Farms Dr.
Gaithersburg, MD 20879
(39.180933, -77.155728)",31,1,36,4
