Building Name,Program Name,Phone Number,Days of Operation,Hours of Operation,Street Number,Street Name,Zip,Link,New Georeferenced Column,Council Districts_from_i23j_3mj8,Council Districts,Councils,Communities,Zip Codes,Municipalities,Service Regions
DHHS Adult Behavioral Health Services,Adult Drug Court Treatment Program,240-777-9141,Monday - Friday,8:30 AM - 5:00 PM,981,Rollins Avenue,20852,http://www.montgomerycountymd.gov/hhs/,"981 Rollins Avenue
Rockville, MD 20852
(39.058231, -77.116347)",1,1,1,25,60,12,3
DHHS Administrative Offices,Senior Care Program,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
DHHS Offices at 1401 Rockville Pike,Tobacco Cessation & Education Program,240-777-1222,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
MidCounty DHHS Building,"Public Assistance Programs – TCA, TDAP",240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Neighborhood Service Center at Catholic Charities,Emergency Eviction Prevention,240-777-0311,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
MidCounty DHHS Building,Child Abuse and Neglect Hotline,240-777-4417,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
DHHS Offices,Screening and Assessment Services for Children and Adolescents,240-777-1430,Monday - Friday,8:30 AM - 5:00 PM,7300,Calhoun Place,20855,http://www.montgomerycountymd.gov/hhs/,"7300 Calhoun Pl
Rockville, MD 20855
(39.107769, -77.148192)",3,3,3,27,51,1,4
DHHS Offices at 255 Rockville Pike,Access to Behavioral Health Services - Outpatient Mental Health & Substance Abuse,240-777-1770,Monday - Friday,8:30 AM - 5:00 PM,255,Rockville Pike,20850,http://www.montgomerycountymd.gov/hhs/,"255 Rockville Pike
Rockville, MD 20850
(39.084716, -77.147943)",3,3,3,25,71,12,3
DHHS Offices at 1401 Rockville Pike,Fetal & Infant Mortality Review Board (FIMR or Improved Pregnancy Outcomes),240-777-3967,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Silver Spring Center,Child and Adolescent Mental Health,240-777-1432,Monday - Friday,8:30 AM - 5:00 PM,8818,Georgia Avenue,20910,http://www.montgomerycountymd.gov/hhs/,"8818 Georgia Avenue
Silver Spring, MD 20910
(39.000666, -77.033282)",5,5,5,7,3065,1,1
Community Based Services,Respite Care,301-816-9647,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Takoma East Silver Spring (TESS) Center,TESS Community Services Center,240-773-8260,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
Takoma East Silver Spring (TESS) Center,Public Assistance Programs – Food Supplement (Food Stamps),240-777-0311,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
MidCounty DHHS Building,24 Hour Crisis Center,240-777-4000,Monday - Sunday,12:00 AM - 11:59 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Dennis Avenue Health Center,STD/HIV Testing Program,240-777-1760,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
DHHS Administrative Offices,School Health Services,240-777-1550,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
Takoma East Silver Spring (TESS) Center,Emergency Eviction Prevention,240-777-0311,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
MidCounty DHHS Building,Shelter Services,240-777-3289,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
DHHS Adult Behavioral Health Services,Medication Assisted Treatment,240-777-1770,Monday - Friday/Saturday,7:30 AM - 10:00 AM/8:00 AM - 10:00 AM,981,Rollins Avenue,20852,http://www.montgomerycountymd.gov/hhs/,"981 Rollins Avenue
Rockville, MD 20852
(39.058231, -77.116347)",1,1,1,25,60,12,3
MidCounty DHHS Building,Child Welfare Services Program,240-777-3500,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
DHHS Administrative Offices,Long Term Care Ombudsman Program,240-777-3369,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
"Neighborhood Service Center at Family Services, Inc.",Public Assistance Programs – Food Supplement (Food Stamps),240-777-0311,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 209",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
DHHS Administrative Offices,Adult Evaluation and Review Services,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
DHHS Administrative Offices,Commission on Aging,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
Neighborhood Service Center at Catholic Charities,Medical Assistance Programs,240-777-0311,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
Takoma East Silver Spring (TESS) Center,Medical Care for Unisured Kids (Care for Kids),301-628-3450,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
Community Based Services,Home Care/In Home Aide Services,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Community Based Services,Adult Public Guardianship,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Silver Spring Health Center,Dental Services,240-777-1878,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
UpCounty Regional Services Center,STD/HIV Testing Program,240-777-1760,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
Neighborhood Service Center at Catholic Charities,Public Assistance Programs – Food Supplement (Food Stamps),240-777-0311,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
School Health Services Center/Rocking Horse Road Center,Immunization Program,240-777-1757,"Monday, Wednesday, Friday",8:30 AM - 11:30 AM,4910,Macon Road,20852,http://www.montgomerycountymd.gov/hhs/,"4910 Macon Road
Rockville, MD 20852
(39.052009, -77.09837)",4,4,4,19,60,1,3
Silver Spring Health Center,Pregnancy Testing,240-777-3160,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
MidCounty DHHS Building,Medical Assistance Programs,240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Community Based Services,Flu Prevention,240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
UpCounty Regional Services Center,Shelter Services,240-777-3289,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
DHHS Colesville Center,Dental Services,240-777-1877,Monday - Friday,9:00 AM - 5:30 PM,14015,New Hampshire Avenue,20904,http://www.montgomerycountymd.gov/hhs/,"14015 New Hampshire Avenue
Silver Spring, MD 20904
(39.086489, -76.999331)",5,5,5,26,12,1,2
UpCounty Regional Services Center,Immunization Program,240-777-1757,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
DHHS Administrative Offices,Adult Protective Services/Case Management,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
DHHS Offices at 1401 Rockville Pike,Individual and Family Support,240-777-1216,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Offices at 1401 Rockville Pike,"Cancer Screening (Colorectal, Prostate, Oral)",240-777-1222,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
Silver Spring Health Center,Childhood Lead Posioning,240-777-3160,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
DHHS Silver Spring Center,Shelter Services,240-777-3289,Monday - Friday,8:30 AM - 5:00 PM,8818,Georgia Avenue,20910,http://www.montgomerycountymd.gov/hhs/,"8818 Georgia Avenue
Silver Spring, MD 20910
(39.000666, -77.033282)",5,5,5,7,3065,1,1
Dennis Avenue Health Center,Vital Records,240-773-1207,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
"Neighborhood Service Center at Family Services, Inc.",Medical Assistance Programs,240-777-0311,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 204",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
MidCounty DHHS Building,Abused Persons Program,240-777-4210,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Takoma East Silver Spring (TESS) Center,"Public Assistance Programs – TCA, TDAP",240-777-0311,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
Neighborhood Service Center at Catholic Charities,Eligibility Determination for Public Health Programs & Medical Assistance -Service Eligibility Units,240-777-0311,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
DHHS Adult Behavioral Health Services,Outpatient Addiction and Mental Health Services,240-777-1770,Monday - Friday,8:30 AM - 5:00 PM,981,Rollins Avenue,20852,http://www.montgomerycountymd.gov/hhs/,"981 Rollins Avenue
Rockville, MD 20852
(39.058231, -77.116347)",1,1,1,25,60,12,3
UpCounty Regional Services Center,Emergency Eviction Prevention,240-777-0311,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
"Neighborhood Service Center at Family Services, Inc.","Public Assistance Programs – TCA, TDAP",240-777-0311,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 203",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
UpCounty Regional Services Center,"Public Assistance Programs – TCA, TDAP",240-777-0311,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
Community Based Services,Restaurant Facility Inspections,240-777-3986,Monday - Friday,8:00 AM - 4:00 PM,255,Rockville Pike,20850,http://www.montgomerycountymd.gov/hhs/,"255 Rockville Pike
Rockville, MD 20850
(39.084716, -77.147943)",3,3,3,25,71,12,3
Neighborhood Service Center at Catholic Charities,Shelter Services,240-777-3289,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
Dennis Avenue Health Center,TB Control Program,240-777-1800,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
MidCounty Regional Services Center,Adult Behavioral Health Program,240-777-1770,Monday - Friday,8:30 AM - 5:00 PM,2424,Reedie Drive,20902,http://www.montgomerycountymd.gov/hhs/,"2424 Reedie Drive
Wheaton, MD 20902
(39.03856, -77.051326)",4,4,4,16,17,1,4
Community Based Services,Healthy Montgomery (community health improvement planning and statistics),,,,,,,http://www.healthymontgomery.org/,,,,,,,,
Community Based Services,Children with Special Needs Care Coordination,301-628-3487,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Community Based Services,Medical Care for Homeless Adults,240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Community Based Services,Adult Medical Care for Uninsured (Montgomery Cares Program),240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Community Based Services,Teen Pregnancy Prevention,240-777-1570,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Community Based Services,Street Outreach Network,240-777-1264,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
DHHS Silver Spring Center,"Public Assistance Programs – TCA, TDAP",240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,8818,Georgia Avenue,20910,http://www.montgomerycountymd.gov/hhs/,"8818 Georgia Avenue
Silver Spring, MD 20910
(39.000666, -77.033282)",5,5,5,7,3065,1,1
DHHS Administrative Offices,Social Services to Adults,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
DHHS Offices at 1401 Rockville Pike,Dental Services,240-777-1876,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
MidCounty DHHS Building,Foster Care Information Meeting,240-777-1664,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Dennis Avenue Health Center,Immunization Program,240-777-1757,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
UpCounty Regional Services Center,Pregnancy Testing,240-777-3160,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
UpCounty Regional Services Center,Maryland Children's Health Insurance Program (eligibility determination),240-777-0311,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
DHHS Offices at 1401 Rockville Pike,Autism Waiver Service Coordination,240-777-1216,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
Silver Spring Health Center,Immunization Program,240-777-1757,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
Takoma East Silver Spring (TESS) Center,Eligibility Determination for Public Health Programs & Medical Assistance -Service Eligibility Units,240-777-0311,Monday - Thursday/Friday,9:30 AM - 7:00 PM/8:30 AM - 5 PM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
DHHS Administrative Offices,Aging and Disability Community Residential Services,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
Dennis Avenue Health Center,HIV Care and Case Management,240-777-1245,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
DHHS Silver Spring Center,Medical Assistance Programs,240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,8818,Georgia Avenue,20910,http://www.montgomerycountymd.gov/hhs/,"8818 Georgia Avenue
Silver Spring, MD 20910
(39.000666, -77.033282)",5,5,5,7,3065,1,1
Silver Spring Health Center,Suburban Maryland Welcome Back Center,240-777-3168,Monday - Friday,8:00 AM - 4:00 PM,8630,Fenton Street,20910,http://www.montgomerycountymd.gov/hhs/,"8630 Fenton Street
Silver Spring, MD 20910
(38.998159, -77.028188)",5,5,5,7,3065,1,1
"Neighborhood Service Center at Family Services, Inc.",Emergency Eviction Prevention,240-777-0311,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 207",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
Takoma East Silver Spring (TESS) Center,Neighborhood Service Centers,240-773-8260,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
DHHS Offices,Child Care Subsidy Programs,240-777-1155,Monday - Friday,7:30 AM - 5:00 PM,7300,Calhoun Place,20855,http://www.montgomerycountymd.gov/hhs/,"7300 Calhoun Pl
Rockville, MD 20855
(39.107769, -77.148192)",3,3,3,27,51,1,4
Takoma East Silver Spring (TESS) Center,Shelter Services,240-777-3289,Monday - Friday,9:00 AM - 11:00 AM,8513,Piney Branch Road,20901,http://www.montgomerycountymd.gov/hhs/,"8513 Piney Branch Road
Silver Spring, MD 20901
(38.998312, -77.002758)",5,5,5,8,21,1,1
Children's Resource Center,Child Care Resource and Referral Center,240-777-3110,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
Neighborhood Service Center at Catholic Charities,Medical Care for Unisured Kids (Care for Kids),301-628-3450,"Wednesday, Friday",9:00 AM - 3:00 PM,12247,Georgia Avenue,20906,http://www.montgomerycountymd.gov/hhs/,"12247 Georgia Avenue
Silver Spring, MD 20906
(39.056182, -77.049856)",4,4,4,23,17,1,4
"Neighborhood Service Center at Family Services, Inc.",Neighborhood Service Centers,240-777-0311,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 208",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
MidCounty DHHS Building,Utility Assistance Program,240-777-4450,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Dennis Avenue Health Center,Disease Control,240-777-1755,Monday - Friday,8:00 AM - 4:00 PM,2000,Dennis Avenue,20902,http://www.montgomerycountymd.gov/hhs/,"2000 Dennis Avenue
Silver Spring, MD 20902
(39.025621, -77.043409)",5,5,5,10,17,1,4
DHHS Offices at 1401 Rockville Pike,Breast & Cervical Cancer Screening & Treatment (Women’s Cancer Control Program),240-777-1750,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Administrative Offices,Senior Nutrition Program,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
"Neighborhood Service Center at Family Services, Inc.",Medical Care for Unisured Kids (Care for Kids),301-628-3450,Monday-Thursday/Friday,9:00 AM - 3:00 PM/9:00 AM - 2:00 PM,200,"Girard Street, Suite 210",20877,http://www.montgomerycountymd.gov/hhs/,"200 Girard Street
Gaithersburg, MD 20877
(39.141551, -77.182926)",3,3,3,36,35,21,5
