Farm,Address,City,Zip,Description,Website,Time,Saturday Only,Saturday and Sunday,Handicap Parking,Food Refreshments,Artwork & Crafts,Animals,Christmas Trees,Fruits and Vegetables,Pick-Your-Own,Hayrides,Winery,Education Center,Pumpkins,Flowers,Buses and Groups,Contact Number,Contact,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities
SOLEADO LAVENDER FARM,23611 Harris Rd W,Dickerson,20842,Soleado Lavender Farm is a sustainable lavender farm located near the entrance to SugarloafMountain. We sell a range of lavender bath and home products that we make on the farm. TheFarm offers fun events and activities for the whole family. This year’s Farm Tour we will beopen Saturday and Sunday from 11:00 am to 4:00 pm,http://www.soleadolavender.com,11:00 am to 4:00 pm,,Y,,Y,Y,,,,,,,,,Y,,301-922-5964,Sophia Watkins,"23611 Harris Rd W
Dickerson 20842
(39.241674, -77.397074)",2,2,48,74,1
CAMP OLYMPIA,5511 Muncaster Mill Rd,Rockville,20855,"Come visit a Montgomery County landmark for our 58th Anniversary. CAMP OYMPIA hasbeen serving children and adults through our year-round horseback riding center, year-roundnursery/kindergarten and our exciting summer sports day camp. On Farm Tour Day you areinvited to see a variety of demonstrations including riding, sports and swimming performedby staff and campers. Different demonstrations will be offered every half hour. Pony ridesthroughout the day $.",http://www.camp-olympia.com,10:00 am to 3:00 pm,Y,,,,,Y,,,,,,,,,,301-926-9281,,"5511 Muncaster Mill Rd
Rockville 20855
(39.119653, -77.108716)",4,4,55,51,1
BUTLER’S ORCHARD,22222 Davis Mill Rd,Germantown,20876,"A family farm providing good, green fun and local produce for over 65 years! Enjoy free hayrides, Veggie races, giant slides, pedal tractors. Food $. Visit our Farm Market for free samples. Seasonal pick-your-own crops include strawberries, blueberries, flowers, pumpkins and Christmas trees. Fresh seasonal produce, preserves, gifts, baked goods in our Market. 36th Annual Pumpkin Festival all October weekends. This year’s Farm Tour we will have activities from 10:00 am to 4:00 pm.",http://www.ButlersOrchard.com.,10:00 am to 4:00 pm,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,301-972-3299,Butler Family,"22222 Davis Mill Rd
Germantown 20876
(39.2216, -77.222817)",2,2,44,36,1
HOMESTEAD FARM,15604 Sugarland Rd,Poolesville,20837,"Pick-your-own fruit farm growing a variety of crops throughout summer and fall. Hayridesduring pumpkin season in the fall. This weekend come pick-your-own peaches and thornlessblackberries. Farm market has pre-picked produce, preserves, and honey. Family owned andoperated farm. Visit our goats and other animals. We will be open Saturday and Sunday from9:00 am to 6:00 pm with pick-your-own areas closing at 5:00 pm. Sign up for our email list",http://www.Homestead-Farm.net,9:00 am to 6:00 pm,,Y,Y,Y,,Y,,Y,Y,Y,,,,,,301-977-3761,Allnutt Family,"15604 Sugarland Rd
Poolesville 20837
(39.112865, -77.352022)",1,1,34,97,1
ROCK HILL ORCHARD,28600 Ridge Rd,Mount Airy,21771,"Peaches and ice cream? Visit our farm to pick-your-own peaches then walk to the dairy andwatch our cows being milked with our robotic milker. We also have cut-your-own bouquets,pick-your-own vegetables and blackberries. Hayrides are free through the farm & orchard.Meet our beekeeper with his educational observation beehive while you’re enjoying adelicious dish of our own homemade ice cream topped with our own juicy tree-ripenedpeaches. Fruit and fresh vegetables, milk from our grass-fed Guernsey cows, honey, jams &jellies will be for sale at our farm market. This year’s Farm Tour we will be open Saturday10:00 am to 6:00 pm and Sunday 10:00 am to 5:00 pm. Come back in the fall for apples,pumpkins and our 9 acres corn maze.",http://www.rockhillorchard.com,10:00 am to 5:00 pm,,Y,Y,Y,,,,Y,Y,Y,,Y,Y,Y,,301-831-7427,Fendrick Family,"28600 Ridge Rd
Mount Airy 21771
(39.327516, -77.193095)",2,2,52,1769,1
WATERS ORCHARD,22529 Wildcat Rd,Germantown,20876,"Come visit the most beautiful apple orchard in the county! We offer 16 unique varieties ofapples for picking from September – early November on Sat. and Sun. from 9:00 am to 4:00pm. Over 10,000 apple trees are planted utilizing the tall spindle system resulting in a wall offruit.",http://www.WatersOrchard.com,12:00 to 4:00 pm,Y,,,,,,,,,,,Y,,,,301-253-4956,"Susan Butler and Washington White, IV","22529 Wildcat Rd
Germantown 20876
(39.226075, -77.206413)",2,2,44,36,1
"HEYSER FARMS, INC.",14526 New Hampshire Ave,Silver Spring,20904,"Visit the farm as we enter our 70th season! Walk through our orchard and gardens, enjoy awagon ride around the farm & sample delicious fresh fruits including some of the bestpeaches around. Check out our Spencerville RED apple products, including hard cider andwine. We’ll have antique farm equipment on display & some local artists showcasing theirwares. We are open year-around and in December we have fresh cut Frasier Firs from Indian,PA. The Christmas tree capital of the world! This year’s Farm Tour we’ll be open Saturdayfrom 9:00 am to 7:00 pm, and Sunday 10:00 am to 4:00 pm. See you at the farm! For moreinformation on this event please visit our website",http://www.spencervillered.com,10:00 am to 4:00 pm,,Y,,Y,Y,,Y,Y,,,Y,,,Y,,301-384-7859,Mike Heyser,"14526 New Hampshire Ave
Silver Spring 20904
(39.094691, -77.001709)",4,4,26,8,1
FIELD & FIDDLE FESTIVAL,20900 Martinsburg Rd,Dickerson,20842,"The wildly popular Field & Fiddle Festival is a great way to end your farm touring on Saturdaynight 6:00 pm to 10:00 pm. Fun for the whole family includes live music & dancing, screeningof award winning film “Growing Legacy”, games, raffle baskets, offerings from food & farmvendors, BBQ & Wood fired pizza & more! For tickets & more information contact:ellen@mocoalliance.org",,6:00 pm to 10:00 pm.,Y,,,Y,,,,,,,,,,,,248-683-9678,Linden Farm,"20900 Martinsburg Rd
Dickerson 20842
(39.200024, -77.445206)",1,1,48,74,1
KINGSBURY’S ORCHARD,19415 Peach Tree Rd.,Dickerson,20842,"Kingsbury’s Orchard is a family owned and operated farm dating back to 1907. We growmore than 50 varieties of peaches, 20 varieties of apples and a wide selection of cherries,nectarines and Asian pears. This year’s Farm Tour we will be open Saturday and Sunday from9:00 am to 6:00 pm. For additional information, please visit our website",http://www.kingsburysorchard.com,9:00 am to 6:00 pm,,,,,,,,Y,,,,,,,,301-972-8755,Gene Kingsbury,"19415 Peach Tree Rd.
Dickerson 20842
(39.173297, -77.387293)",2,2,48,77,1
BUTTON FARM LIVING HISTORY CENTER,16820 Black Rock Rd,Germantown,20874,"Maryland’s only living history center depicting 19th century plantation life. Tour our BankBarn, Farmhouse, Museum Garden and Slave Cemetery. Enjoy hands-on history, heritagebreed animals and purchase fresh produce. This year’s Farm Tour we will be open SaturdayONLY from 12:00 pm to 4:00 pm.",http://www.buttonfarm.org,12:00 pm to 4:00 pm,Y,,,,Y,,,Y,,,,,,,,301-916-7090,Button Farm,"16820 Black Rock Rd
Germantown 20874
(39.132743, -77.307822)",2,2,39,39,1
MADISON FIELDS,21355 Big Woods Rd,Dickerson,20842,"Madison House Autism Foundation’s 400+ acre farm, Madison Fields, offers farm activitiesand riding lessons for all. Learn how we integrate equine therapy for children and adults withautism or special needs with farm experiences that provide respite for families. Breathtakingfarm views, ADA accessible state-of-the-art riding arena, horse boarding, riding sign-up,equestrian demonstrations, farm animal petting, free refreshments, family friendly. Thisyear’s Farm Tour we will be open Saturday and Sunday from 10:00 am to 4:00 pm. Check outMadison Fields on our Facebook page.",,10:00 am to 4:00 pm,,Y,Y,,Y,Y,,,,,,Y,,,,301-349-4007,Doug Balls,"21355 Big Woods Rd
Dickerson 20842
(39.208966, -77.416893)",2,2,48,74,1
