"report_number","local_case_number","agency_name","acrs_report_type","crash_date_time","hit_run","route_type","mile_point","mile_point_direction","lane_direction","lane_number","lane_type","number_of_lanes","direction","distance","distance_unit","road_grade","nontraffic","road_name","cross_street_type","cross_street_name","off_road_description","municipality","related_non_motorist","at_fault","collision_type","weather","surface_condition","light","traffic_control","driver_substance_abuse","non_motorist_substance_abuse","first_harmful_event","second_harmful_event","fixed_oject_struck","junction","intersection_type","intersection_area","road_alignment","road_condition","road_division","latitude","longitude","geolocation"
"EJ7893001G","220037656","Gaithersburg Police Depar","Injury Crash","2022-08-31T08:39:00.000","No","Maryland (State)","14.7","North","North","2",,"2","North","0","FEET","LEVEL","No","FREDERICK RD","Municipality","MARYLAND AVE",,"GAITHERSBURG",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.14501415","-77.20281132","
,  
(39.14501415, -77.20281132)"
"MCP2830005C","220037478","Montgomery County Police","Property Damage Crash","2022-08-31T08:06:00.000","No","County","6.63","East","East","3",,"5","West","50","FEET","LEVEL","No","RANDOLPH RD","Maryland (State)","NEW HAMPSHIRE AVE",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","ONE-WAY TRAFFICWAY","39.075638","-77.002758","
,  
(39.075638, -77.002758)"
"MCP2372004Q","220037641","Montgomery County Police","Injury Crash","2022-08-31T06:45:00.000","No","Maryland (State)","4.96","North","North","1",,"3","North","0","FEET","LEVEL","No","ROCKVILLE PIKE","County","TUCKERMAN LA",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION RELATED","FOUR-WAY INTERSECTION","INTERSECTION RELATED","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.02963424","-77.12971363","
,  
(39.02963424, -77.12971363)"
"MCP289200CT","220037595","Montgomery County Police","Property Damage Crash","2022-08-30T18:19:00.000","No","US (State)","1.51","North","South","2",,"2","North","10","FEET","LEVEL","No","COLESVILLE RD","County","DALE DR",,"N/A",,"DRIVER","SAME DIRECTION SIDESWIPE","CLEAR","DRY","DAYLIGHT","N/A","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION RELATED","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","38.99644955","-77.0103553","
,  
(38.99644955, -77.0103553)"
"MCP1378011X","220037414","Montgomery County Police","Injury Crash","2022-08-30T17:06:00.000","No","Maryland (State)","7.87","North","North","3",,"3","North","0","FEET","LEVEL","No","CONNECTICUT AVE","Unknown","ENT TO ASPEN HILLS SHOPPING CTR",,"N/A",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLOUDY","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","OTHER VEHICLE","N/A","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.0780829","-77.0807511","
,  
(39.0780829, -77.0807511)"
"MCP9318002B","220036779","Montgomery County Police","Injury Crash","2022-08-30T16:40:00.000","No",,,,,"0",,"0",,,,,"Yes",,,,"PARKING LOT OF 10131 COLESVILLE RD",,"PEDESTRIAN","DRIVER","OTHER","CLEAR",,"DAYLIGHT","N/A","NONE DETECTED","NONE DETECTED","PEDESTRIAN","N/A","N/A",,,,,,,"39.0204235","-77.00826271","
,  
(39.0204235, -77.00826271)"
"MCP3256001H","220037565","Montgomery County Police","Injury Crash","2022-08-30T16:04:00.000","Yes","County","0","West","South","1",,"1","West","0","FEET","LEVEL","No","FALLING CREEK RD","County","OLD COLUMBIA PIKE",,"N/A","BICYCLIST","DRIVER","SAME DIR REAR END","RAINING","WET","DAYLIGHT","NO CONTROLS","UNKNOWN","NONE DETECTED","BICYCLE","N/A","N/A","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.045525","-76.99053333","
,  
(39.045525, -76.99053333)"
"MCP23610022","220037562","Montgomery County Police","Injury Crash","2022-08-30T15:53:00.000","No","County","0","West","East","0","OTHER","1","West","486","FEET","LEVEL","No","WALKERS CHOICE RD","County","MONTGOMERY VILLAGE AVE",,"N/A","PEDESTRIAN","DRIVER","OTHER","RAINING","WET","DAYLIGHT","STOP SIGN","NONE DETECTED","NONE DETECTED","PEDESTRIAN","N/A","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","N/A","TWO-WAY, NOT DIVIDED","39.161571","-77.20324","
,  
(39.161571, -77.20324)"
"MCP30370043","220037547","Montgomery County Police","Injury Crash","2022-08-30T15:04:00.000","No","County","0","West","West","1",,"1","West","1","MILE","LEVEL","No","LEWISDALE RD","County","PRICES DISTILLERY RD",,"N/A",,"DRIVER","SAME DIR REAR END","N/A","DRY","DAYLIGHT","OTHER","NONE DETECTED",,"OTHER VEHICLE","OTHER VEHICLE","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.23407667","-77.28294167","
,  
(39.23407667, -77.28294167)"
"MCP26030048","220037524","Montgomery County Police","Injury Crash","2022-08-30T12:29:00.000","No","County","0.33","East","West","1",,"1","West","20","FEET","LEVEL","No","CLUB HOUSE RD","County","BRASSIE PL",,"N/A",,"DRIVER","HEAD ON","CLEAR","DRY","DAYLIGHT","NO CONTROLS","N/A",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","N/A","CURVE LEFT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.173202","-77.201541","
,  
(39.173202, -77.201541)"
"MCP2016006H","220037515","Montgomery County Police","Injury Crash","2022-08-30T12:04:00.000","No","County","1.55","East","West","0","LEFT TURN LANE","3","East","0","FEET","N/A","No","E GUDE DR","Maryland (State)","FREDERICK RD",,"N/A",,"DRIVER","SAME DIR REAR END","N/A","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A, NONE DETECTED",,"OTHER VEHICLE","OTHER VEHICLE","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.0791168","-77.152256","
,  
(39.0791168, -77.152256)"
"MCP33300009","220037519","Montgomery County Police","Property Damage Crash","2022-08-30T11:13:00.000","Yes",,"0",,"Unknown","0","N/A","0","North","100","FEET","LEVEL","No","PARK POTOMAC AVE",,"CADBURY AVE",,"N/A",,"DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","N/A","N/A",,"PARKED VEHICLE","PARKED VEHICLE","OTHER TRAFFIC BARRIER","N/A","N/A","N/A","OTHER","NO DEFECTS","OTHER","39.061314","-77.157507","
,  
(39.061314, -77.157507)"
"MCP2372004P","220037498","Montgomery County Police","Injury Crash","2022-08-30T10:26:00.000","No","Maryland (State)","11.705","East","West","2",,"2","East","0","FEET","LEVEL","No","RIVER RD","Ramp","RAMP 2 FR MD 190 WB TO IS 495 NB",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION RELATED","T-INTERSECTION","INTERSECTION RELATED","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.02963424","-77.12971363","
,  
(39.02963424, -77.12971363)"
"MCP30260080","220037494","Montgomery County Police","Property Damage Crash","2022-08-30T09:21:00.000","No","Maryland (State)","3.48","East","North","1",,"1","East","0","FEET","HILL CREST","No","EAST WEST HWY","Maryland (State)","16TH ST",,"N/A","OTHER","DRIVER","SINGLE VEHICLE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED","NONE DETECTED","FIXED OBJECT","N/A","BUILDING","INTERSECTION","FOUR-WAY INTERSECTION",,"STRAIGHT","NO DEFECTS","OTHER","38.99676112","-77.03980417","
,  
(38.99676112, -77.03980417)"
"DD5628005K","220037473","Rockville Police Departme","Property Damage Crash","2022-08-30T08:07:00.000","No","Municipality","0.23","South","East","1",,"2","South","0","FEET","LEVEL","No","MONROE ST","Maryland (State)","E JEFFERSON ST",,"N/A",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","N/A","39.082039","-77.149114","
,  
(39.082039, -77.149114)"
"MCP30260081","220037474","Montgomery County Police","Injury Crash","2022-08-30T08:00:00.000","No","Maryland (State)","0.02","North","North","2",,"3","North","10","FEET","HILL UPHILL","No","16TH ST","Maryland (State)","COLESVILLE RD",,"N/A",,"DRIVER","SAME DIRECTION SIDESWIPE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"FIXED OBJECT","OTHER VEHICLE","CURB","INTERSECTION RELATED","ROUNDABOUT",,"CURVE LEFT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","38.99452875","-77.0363205","
,  
(38.99452875, -77.0363205)"
"MCP3319001C","220037302","Montgomery County Police","Injury Crash","2022-08-30T07:46:00.000","No","County","0.49","North","West","0","N/A","2","North","0","FEET","LEVEL","No","RITCHIE AVE","Maryland (State)","PINEY BRANCH RD",,"N/A",,"UNKNOWN","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","STOP SIGN","N/A",,"OTHER VEHICLE","OTHER VEHICLE","N/A","INTERSECTION","FOUR-WAY INTERSECTION",,"STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","38.9881266","-77.0122854","
,  
(38.9881266, -77.0122854)"
"DD5620007S","220037465","Rockville Police Departme","Property Damage Crash","2022-08-30T07:25:00.000","No","Other Public Roadway","0.735","West","West","1",,"1","West","10","FEET","LEVEL","No","ELMCROFT BLVD","Unknown","LADYSHIRE LA",,"N/A",,"DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","N/A","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","N/A","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.07764885","-77.07080351","
,  
(39.07764885, -77.07080351)"
"MCP1099004L","220037462","Montgomery County Police","Property Damage Crash","2022-08-30T06:53:00.000","No","County","1.42","South","West","2",,"3","South","0","FEET","LEVEL","No","MIDCOUNTY HWY","County","SHADY GROVE RD",,"N/A",,"DRIVER","HEAD ON LEFT TURN","N/A","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION",,"STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET","39.1595115","-77.2086215","
,  
(39.1595115, -77.2086215)"
"MCP31580041","220037454","Montgomery County Police","Property Damage Crash","2022-08-30T02:59:00.000","No","County","0.55","North","South","1",,"1","South","25","FEET","LEVEL","No","STRAWBERRY KNOLL RD","Other Public Roadway","QUAIL VALLEY BLVD",,"N/A",,"DRIVER","OTHER","CLEAR","DRY","DARK LIGHTS ON","STOP SIGN","N/A",,"PARKED VEHICLE","N/A","N/A","N/A","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.16641039","-77.18113603","
,  
(39.16641039, -77.18113603)"
"MCP30760042","220037453","Montgomery County Police","Injury Crash","2022-08-30T00:40:00.000","No","US (State)","5.11","North","North","3",,"3","North","0","FEET","LEVEL","No","COLUMBIA PIKE","County","STEWART LA",,"N/A",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DARK LIGHTS ON","FLASHING TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.04283211","-76.98958074","
,  
(39.04283211, -76.98958074)"
"DD5575002D","220037447","Rockville Police Departme","Injury Crash","2022-08-29T22:32:00.000","No","Maryland (State)","9.17","North","South","3",,"3","North","0","FEET","LEVEL","No","ROCKVILLE PIKE","Maryland (State)","VEIRS MILL RD",,"N/A",,"DRIVER","ANGLE MEETS LEFT HEAD ON","CLEAR","DRY","DARK LIGHTS ON","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FIVE-POINT OR MORE","INTERSECTION","OTHER","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.080923","-77.145933","
,  
(39.080923, -77.145933)"
"MCP3096003G","220037433","Montgomery County Police","Property Damage Crash","2022-08-29T20:20:00.000","No","Maryland (State)","12.62","North","North","1",,"3","North","0","FEET","LEVEL","No","FREDERICK RD","County","SHADY GROVE RD",,"N/A",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DARK LIGHTS ON","TRAFFIC SIGNAL","N/A, NONE DETECTED",,"OTHER VEHICLE","OTHER VEHICLE","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.12254067","-77.17763782","
,  
(39.12254067, -77.17763782)"
"MCP3317000S","220037431","Montgomery County Police","Injury Crash","2022-08-29T19:00:00.000","No","US (State)","3.81","North","North","3",,"3","North","0","FEET","LEVEL","No","COLUMBIA PIKE","County","LOCKWOOD DR",,"N/A",,"DRIVER","SAME DIRECTION SIDESWIPE","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION",,"STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.038842","-76.9981125","
,  
(39.038842, -76.9981125)"
"MCP3059008K","220037406","Montgomery County Police","Injury Crash","2022-08-29T17:11:00.000","No","County","1.76","East","South","2",,"2","East","0","FEET","GRADE DOWNHILL","No","SNOWDEN FARM PKWY","Unknown","FOREMAN BLVD",,"N/A",,"DRIVER","ANGLE MEETS RIGHT TURN","CLEAR","DRY","DAYLIGHT","STOP SIGN","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION",,"CURVE LEFT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.231831","-77.258454","
,  
(39.231831, -77.258454)"
"MCP31920031","220037402","Montgomery County Police","Property Damage Crash","2022-08-29T17:01:00.000","No","Maryland (State)","3.86","East","West","1",,"3","East","0","FEET","LEVEL","No","VEIRS MILL RD","County","FERRARA AVE",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.052948","-77.077044","
,  
(39.052948, -77.077044)"
"MCP32550047","220037395","Montgomery County Police","Injury Crash","2022-08-29T16:30:00.000","No","County","0.265","North","North","1",,"2","North","0","FEET","LEVEL","No","GOSHEN RD","Unknown","WILLOW CREEK DR",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","NO CONTROLS","N/A",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.1556484","-77.1931274","
,  
(39.1556484, -77.1931274)"
"MCP3096003F","220037397","Montgomery County Police","Injury Crash","2022-08-29T16:21:00.000","No","Maryland (State)","0.515","South","East","1",,"1","South","0","FEET","LEVEL","No","METRO ACCESS RD","Unknown","ENT TO SHADY GROVE METRO (AHEAD)",,"N/A",,"DRIVER","SAME DIRECTION LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","T-INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.11727819","-77.16492683","
,  
(39.11727819, -77.16492683)"
"MCP289200CS","220037387","Montgomery County Police","Property Damage Crash","2022-08-29T15:46:00.000","No","County","2.42","West","East","1",,"1","West","50","FEET","LEVEL","No","DENNIS AVE","County","BRUNSWICK AVE",,"N/A",,"DRIVER","SAME DIRECTION SIDESWIPE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"PARKED VEHICLE","N/A","N/A","N/A","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.0254062","-77.0462776","
,  
(39.0254062, -77.0462776)"
"MCP24500043","220037384","Montgomery County Police","Property Damage Crash","2022-08-29T15:30:00.000","No","County","1.09","East","East","1",,"1","East","0","FEET","LEVEL","No","E FRANKLIN AVE","County","BURGESS LA",,"N/A",,"DRIVER","SAME DIRECTION SIDESWIPE","N/A","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","OTHER VEHICLE","N/A","INTERSECTION","T-INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.01354","-76.99955","
,  
(39.01354, -76.99955)"
"MCP2492001V","220037391","Montgomery County Police","Fatal Crash","2022-08-29T14:48:00.000","No","Municipality","0.42","South","South","1",,"2","North","245","FEET","LEVEL","No","ORCHARD RIDGE DR","Municipality","WINTER WALK DR",,"GAITHERSBURG",,"DRIVER","SINGLE VEHICLE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","N/A",,"OFF ROAD","FIXED OBJECT","BUILDING","NON INTERSECTION","N/A","N/A","CURVE RIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.127478","-77.228533","
,  
(39.127478, -77.228533)"
"MCP913000CZ","220037373","Montgomery County Police","Property Damage Crash","2022-08-29T12:11:00.000","No","County","0.23","North","South","1",,"1","North","50","FEET","LEVEL","No","BRADFORD RD","County","PLYMOUTH ST",,"N/A",,"DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"PARKED VEHICLE","N/A","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.001755","-77.005972","
,  
(39.001755, -77.005972)"
"MCP913000CY","220037363","Montgomery County Police","Property Damage Crash","2022-08-29T11:36:00.000","No","Maryland (State)","2.68","North","North","3",,"4","South","100","FEET","LEVEL","No","PINEY BRANCH RD","Unknown","PRINCE GEORGES CO/L",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","N/A","T-INTERSECTION","INTERSECTION RELATED","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.001612","-76.983012","
,  
(39.001612, -76.983012)"
"DD5633007M","220037335","Rockville Police Departme","Injury Crash","2022-08-29T11:00:00.000","No","Maryland (State)","7.78","North","South","0","LEFT TURN LANE","4","North","0","FEET","LEVEL","No","ROCKVILLE PIKE","Municipality","TEMPLETON PL",,"ROCKVILLE",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.07676629","-77.11714305","
,  
(39.07676629, -77.11714305)"
"MCP3272001L","220037313","Montgomery County Police","Injury Crash","2022-08-29T10:30:00.000","No","County","0.14","South","West","1",,"1","North","500","FEET","LEVEL","No","CRESTHAVEN DR","County","ROYAL RD",,"N/A","PEDESTRIAN","DRIVER","HEAD ON","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED","NONE DETECTED","PARKED VEHICLE","PARKED VEHICLE","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.0275","-76.98692","
,  
(39.0275, -76.98692)"
