Branch,Webpage,Address,City,Zip,Phone,TTY Phone,Bus 4,Bus 5,Bus 6,Bus 7,Bus 9,Bus 12,Bus 14,Bus 15,Bus 16,Bus 17,Bus 19,Bus 20,Bus 23,Bus 26,Bus 29,Bus 33,Bus 34,Bus 36,Bus 45,Bus 47,Bus 48,Bus 53,Bus 55,Bus 56,Bus 58,Bus 59,Bus 76,Bus 90,Bus 97,Bus 98,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Service Regions
Chevy Chase,http://montgomerycountymd.gov/Library/branches/chevychase.html,8005 Connecticut Avenue,Chevy Chase,20815,240-773-9590,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"8005 Connecticut Avenue
Chevy Chase 20815
(38.991122, -77.077082)",1,1,5,110,1,3
Germantown,http://montgomerycountymd.gov/Library/branches/Germantown.html,19840 Century Blvd.,Germantown,20874,240-777-0110,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,"19840 Century Blvd
Germantown 20874
(39.181509, -77.26622)",2,2,39,39,1,5
Long Branch,http://montgomerycountymd.gov/Library/branches/LongBranch.html,8800 Garland Avenue,Silver Spring,20901,240-777-0910,301-565-7662,n,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"8800 Garland Avenue
(39.000532, -77.00071)",5,5,8,21,1,1
Olney,http://montgomerycountymd.gov/Library/branches/Olney.html,3500 Olney-Laytonsville Road,Olney,20832,240-773-9545,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,"3500 Olney-Laytonsville Road
Olney 20832
(39.154143, -77.068771)",4,4,58,100,1,4
Connie Morella,http://montgomerycountymd.gov/Library/branches/bethesda.html,7400 Arlington Road,Bethesda,20814,240-777-0970,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,"7400 Arlington Road
Bethesda 20814
(38.983745, -77.098579)",1,1,12,111,1,3
Kensington Park,http://montgomerycountymd.gov/Library/branches/KensingtonPark.html,4201 Knowles Avenue,Kensington,20895,240-773-9515,,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,"4201 Knowles Avenue
Kensington 20895
(39.028767, -77.081619)",1,1,15,25,1,4
Damascus,http://montgomerycountymd.gov/Library/branches/damascus.html,9701 Main Street,Damascus,20872,240-773-9444,301-253-0148,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,"9701 Main Street
Damascus 20872
(39.287238, -77.200174)",2,2,51,42,1,5
Marilyn Praisner,http://montgomerycountymd.gov/Library/branches/Praisner.html,14910 Old Columbia Pike,Burtonsville,20866,240-773-9460,301-421-5460,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"14910 Old Columbia Pike
Burtonsville 20866
(39.100886, -76.941241)",5,5,30,47,1,2
Little Falls,http://montgomerycountymd.gov/Library/branches/LittleFalls.html,5501 Massachusetts Avenue,Bethesda,20816,240-773-9520,301-320-8813,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"5501 Massachusetts Ave
Bethesda 20816
(38.958704, -77.110737)",1,1,12,107,1,3
White Oak,http://montgomerycountymd.gov/Library/branches/WhiteOak.html,11701 New Hampshire Avenue,Silver Spring,20904,240-773-9555,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"11701 New Hampshire Avenue
(39.047701, -76.992799)",5,5,18,12,1,2
Davis,http://montgomerycountymd.gov/Library/branches/davis.html,6400 Democracy Blvd.,Bethesda,20817,240-777-0922,301-897-2203,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,"6400 Democracy Blvd
Bethesda 20817
(39.023488, -77.128789)",1,1,12,103,1,3
