"application_type","permit_number","work_type","processed_date","issued_date","final_date","status","description_of_work","street_number","pre_direction","street_name","street_suffix","post_direction","city","state","zip_code","latitude","longitude","general_location","geolocation"
"FLOODPLAIN STATUS REQUEST","208203","INFO","2001-01-09T02:01:45.000",,,"Open",,"18417",,"KINGSHILL","RD",,"GERMANTOWN","MD","20874","39.158138","-77.288584",,"POINT (-77.288584 39.158138)"
"FLOODPLAIN STATUS REQUEST","213387","INFO","2001-08-17T12:08:17.000",,,"Open","Determined flood plain boundry for owner",,,,,,,,,"0","0","18515 LOCUST POINT CT, MILLRACE, MONTGOMERY VILLAGE","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","210297","INFO","2001-02-16T11:02:01.000",,,"Open","Floodplain Status Request for 8017 Rocky Road, Gaithersburg, MD  20882-4121","8017",,"ROCKY","RD",,"GAITHERSBURG","MD","20882","39.236098","-77.165971",,"POINT (-77.165971 39.236098)"
"FLOODPLAIN STATUS REQUEST","205561","INFO","2001-01-09T02:01:11.000",,,"Open",,"7900",,"SPICEBERRY","CIR",,"GAITHERSBURG","MD","20877","39.151262","-77.161615",,"POINT (-77.161615 39.151262)"
"FLOODPLAIN STATUS REQUEST","209753","INFO","2001-01-09T02:01:42.000",,,"Open","FEMA Flood plain cetification for Parcel 850 &848.","15520",,"GEORGIA","AVE",,"ROCKVILLE","MD","20853","39.110812","-77.076465",,"POINT (-77.076465 39.110812)"
"FLOODPLAIN STATUS REQUEST","203015","INFO","2000-02-01T02:02:14.000",,,"Open","floodplain status request for residential vacant lot.  Lot 1 has a floodplain easement;his lot looks o.k. FEMA did not do a study.",,,,,,,,,"0","0","HAWLINGS RD OFF OF NEW HAMPSHIRE AVENUE, LOT 2","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","200766","INFO","2001-01-09T02:01:55.000",,,"Open","Request for residential floodzone","4200",,"LEATHERWOOD","TER",,"BURTONSVILLE","MD","20866","39.098819","-76.922109",,"POINT (-76.922109 39.098819)"
"FLOODPLAIN STATUS REQUEST","227417","INFO","2004-03-17T09:03:00.000",,,"Open","Flood plain on property.  Must have suvey to show if flood plain does not impact the house.","9613",,"BELLEVUE","DR",,"BETHESDA","MD","20814","39.013945","-77.097444",,"POINT (-77.097444 39.013945)"
"FLOODPLAIN STATUS REQUEST","213187","INFO","2001-08-07T04:08:07.000",,,"Open",,"7401",,"LINDBERGH","DR",,"GAITHERSBURG","MD","20879","39.163569","-77.156906",,"POINT (-77.156906 39.163569)"
"FLOODPLAIN STATUS REQUEST","221399","INFO","2003-05-05T09:05:03.000",,,"Open",,"7990",,"GEORGIA","AVE",,"SILVER SPRING","MD","20910","38.98675","-77.027192",,"POINT (-77.027192 38.98675)"
"FLOODPLAIN STATUS REQUEST","216456",,"2002-04-09T03:04:02.000",,,"Open",,,,,,,,,,"0","0","2135 EDGEWATER PKW","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","208139","INFO","2001-01-09T02:01:09.000",,,"Open",,"9856",,"MAINSAIL","DR",,"GAITHERSBURG","MD","20879","39.192308","-77.206027",,"POINT (-77.206027 39.192308)"
"FLOODPLAIN STATUS REQUEST","210265","INFO","2001-02-14T12:02:22.000",,,"Open",,"9316",,"GARDEN","CT",,"POTOMAC","MD","20854","39.009095","-77.216432",,"POINT (-77.216432 39.009095)"
"FLOODPLAIN STATUS REQUEST","201413","INFO","2001-01-09T02:01:25.000",,,"Open","aspen hill park","13412",,"ORIENTAL","CT",,"ROCKVILLE","MD","20853","39.077455","-77.099711",,"POINT (-77.099711 39.077455)"
"FLOODPLAIN STATUS REQUEST","221605","INFO","2003-05-14T09:05:15.000",,,"Open","Request for flood plain on lot P4/D which is adjacent to 9745 The Corral Drive.","10860",,"SPRING KNOLL","DR",,"POTOMAC","MD","20854","39.022748","-77.224784",,"POINT (-77.224784 39.022748)"
"FLOODPLAIN STATUS REQUEST","216947","INFO","2002-05-07T03:05:00.000",,,"Open","Property in Takoma Park City Limits on the old Montgomery side.","411",,"BOSTON","AVE",,"TAKOMA PARK","MD","20912","38.984635","-77.016367",,"POINT (-77.016367 38.984635)"
"FLOODPLAIN STATUS REQUEST","222921","INFO","2003-07-07T03:07:42.000",,,"Open",,"2812",,"RANDOLPH","RD",,"SILVER SPRING","MD","20902","39.059221","-77.060006",,"POINT (-77.060006 39.059221)"
"FLOODPLAIN STATUS REQUEST","202595","INFO","2000-01-06T09:01:15.000",,,"Open","floodplain request for residential property.  Mortgage Company requiring applicant to purchase flood insurance.  Floodzone Co. determined zone A.  The corner of the property is slighty impacted by the Kilgour branch 100 year floodplain.  They are going to submit a letter of map amendment to FEMA.","11415",,"BEDFORDSHIRE","AVE",,"POTOMAC","MD","20854","39.043381","-77.204777",,"POINT (-77.204777 39.043381)"
"FLOODPLAIN STATUS REQUEST","210260","INFO","2001-02-14T10:02:23.000",,,"Open",,"19301",,"WATKINS MILL","RD",,"MONTGOMERY VILLAGE","MD","20886","39.173194","-77.207397",,"POINT (-77.207397 39.173194)"
"FLOODPLAIN STATUS REQUEST","203473","INFO","2000-03-06T01:03:45.000",,,"Open",,"14401",,"JAYSTONE","DR",,"SILVER SPRING","MD","20905","39.096741","-77.028263",,"POINT (-77.028263 39.096741)"
"FLOODPLAIN STATUS REQUEST","212182","INFO","2001-06-06T08:06:48.000",,,"Open",,"4210",,"HAVARD","ST",,"SILVER SPRING","MD","20906","39.060924","-77.0849",,"POINT (-77.0849 39.060924)"
"FLOODPLAIN STATUS REQUEST","203494","INFO","2001-01-09T02:01:17.000",,,"Open",,"8716",,"EGGERT","DR",,"BETHESDA","MD","20817","38.978347","-77.178573",,"POINT (-77.178573 38.978347)"
"FLOODPLAIN STATUS REQUEST","203020","INFO","2000-02-01T02:02:01.000",,,"Open","Granville Campbell took call.  Wrote No floodplain problem may be FPBRL & FPDP required then",,,,,,,,,"0","0","WILLINGTON DRIVE, ROCKY BROOK PARK/QUAINT ACRES/SPRINGBROOK/ LOT 7 BLOCK 4 ADJACENT PARCEL B, WHICH BELONGS TO P&P","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","210392","INFO","2001-02-23T01:02:45.000",,,"Open","Flood Zone Request for 13019 Mill House Ct.","13019",,"MILL HOUSE","CT",,"GERMANTOWN","MD","20874","39.155744","-77.267757",,"POINT (-77.267757 39.155744)"
"FLOODPLAIN STATUS REQUEST","211075","INFO","2001-03-30T01:03:25.000",,,"Open","Floodplain status request for 3331 Hewitt Avenue (Hewitt Gardens Apartments).","3331",,"HEWITT","AVE",,"SILVER SPRING","MD","20906","39.079694","-77.067628",,"POINT (-77.067628 39.079694)"
"FLOODPLAIN STATUS REQUEST","206814","INFO","2001-01-09T02:01:55.000",,,"Open","property has a FEMA 100 yr fp at the rear property line.  Also a 25' brl on the property (adjacent to Chevy Chase Club - may need to refer to that fp study","47","W","LENOX","ST",,"CHEVY CHASE","MD","20815","38.971271","-77.08309",,"POINT (-77.08309 38.971271)"
"FLOODPLAIN STATUS REQUEST","203504","DISTUR","2000-03-06T10:03:59.000",,,"Open",,"26531",,"HOWARD CHAPEL","RD",,"DAMASCUS","MD","20872","0","0",,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","232419","INFO","2008-09-12T02:09:25.000",,,"Open","Info request","19318",,"TATTERSHALL","DR",,"GERMANTOWN","MD","20874","39.179725","-77.292781",,"POINT (-77.292781 39.179725)"
"FLOODPLAIN STATUS REQUEST","213151","INFO","2001-08-06T04:08:43.000",,,"Open","Refinance","2031",,"HICKORY HILL","LN",,"SILVER SPRING","MD","20906","39.073051","-77.041251",,"POINT (-77.041251 39.073051)"
"FLOODPLAIN STATUS REQUEST","212389","INFO","2001-06-20T09:06:00.000",,,"Open","Info Request

Faxed info to Allstate 8/9/01 NVP","11414",,"GEORGIA","AVE",,"SILVER SPRING","MD","20902","39.042291","-77.052237",,"POINT (-77.052237 39.042291)"
"FLOODPLAIN STATUS REQUEST","212179","INFO","2001-06-05T04:06:46.000",,,"Open",,"3605",,"JOHN CARROLL","DR",,"OLNEY","MD","20832","39.146593","-77.072548",,"POINT (-77.072548 39.146593)"
"FLOODPLAIN STATUS REQUEST","213762","INFO","2001-09-19T01:09:03.000",,,"Open","request for floodplain info ,  floodplain on property but may not touch house","10117",,"LLOYD","RD",,"POTOMAC","MD","20854","39.05805","-77.208942",,"POINT (-77.208942 39.05805)"
"FLOODPLAIN STATUS REQUEST","217505","INFO","2002-06-18T01:06:12.000",,,"Open","Requested panel and copy of area to send w/ certificate to FEMA.","1957",,"HICKORY HILL","LN",,"SILVER SPRING","MD","20906","39.073194","-77.039853",,"POINT (-77.039853 39.073194)"
"FLOODPLAIN STATUS REQUEST","208208",,"2001-01-09T02:01:15.000",,,"Open",,,,,,,,,,"0","0",,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","230114","INFO","2004-06-28T01:06:00.000",,,"Open","There is a county flood plain approx. 20 feet wide on the back of the property.","8210",,"KINGSGATE","RD",,"POTOMAC","MD","20854","38.992619","-77.221922",,"POINT (-77.221922 38.992619)"
"FLOODPLAIN STATUS REQUEST","212621","INFO","2001-07-02T12:07:50.000",,,"Open","Flood plain is up on back of property.  The hous is not in the flood plain.","9511","E","STANHOPE","RD",,"KENSINGTON","MD","20895","39.010257","-77.076404",,"POINT (-77.076404 39.010257)"
"FLOODPLAIN STATUS REQUEST","212563","INFO","2001-06-28T01:06:33.000",,,"Open",,"9305",,"CHADBURN","PL",,"MONTGOMERY VILLAGE","MD","20886","39.194404","-77.19072",,"POINT (-77.19072 39.194404)"
"FLOODPLAIN STATUS REQUEST","205555","INFO","2001-01-09T02:01:41.000",,,"Open",,"2703",,"SUNBIRD","TER",,"SILVER SPRING","MD","20906",,,,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","203474","INFO","2000-03-06T02:03:54.000",,,"Open",,"15000",,"SOUTHLAWN","LN",,"ROCKVILLE","MD","20850","39.103438","-77.136526",,"POINT (-77.136526 39.103438)"
"FLOODPLAIN STATUS REQUEST","204227",,"2000-04-07T04:04:17.000",,,"Open",,"2703",,"SUNBIRD","TER",,"SILVER SPRING","MD","20906",,,,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","208147","INFO","2001-01-09T02:01:40.000",,,"Open",,,,"HILLSDALE","DR",,,"MD","00000",,,,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","202622","INFO","2000-01-06T03:01:16.000",,,"Open","I lost my notes on this project.  I think this is a new development therefore the property should not be in a floodplain","15012",,"BIRMINGHAM","DR",,"BURTONSVILLE","MD","20866","39.10309","-76.915164",,"POINT (-76.915164 39.10309)"
"FLOODPLAIN STATUS REQUEST","203517","INFO","2000-03-06T11:03:00.000",,,"Open",,"14208",,"TRILLIUM","TER",,"SILVER SPRING","MD","20906","39.090548","-77.060879",,"POINT (-77.060879 39.090548)"
"FLOODPLAIN STATUS REQUEST","203376","INFO","2001-01-09T02:01:02.000",,,"Open",,"8716",,"EGGERT","DR",,"BETHESDA","MD","20817","38.978347","-77.178573",,"POINT (-77.178573 38.978347)"
"FLOODPLAIN STATUS REQUEST","206795","INFO","2001-01-09T02:01:12.000",,,"Open",,"1615",,"BONIFANT","RD",,"SILVER SPRING","MD","20906","39.094075","-77.038403",,"POINT (-77.038403 39.094075)"
"FLOODPLAIN STATUS REQUEST","219782","INFO","2002-12-10T11:12:16.000",,,"Open",,"19318",,"TATTERSHALL","DR",,"GERMANTOWN","MD","20874","39.179725","-77.292781",,"POINT (-77.292781 39.179725)"
"FLOODPLAIN STATUS REQUEST","220555","INFO","2003-02-24T08:02:27.000",,,"Open",,"6410",,"ROCKLEDGE","DR",,"BETHESDA","MD","20817","39.023734","-77.133648",,"POINT (-77.133648 39.023734)"
"FLOODPLAIN STATUS REQUEST","208204","INFO","2001-01-09T02:01:49.000",,,"Open","FEMA floodplain requested","6809",,"PERSIMMON TREE","RD",,"BETHESDA","MD","20817","38.97909","-77.170171",,"POINT (-77.170171 38.97909)"
"FLOODPLAIN STATUS REQUEST","216912","INFO","2002-05-02T04:05:45.000",,,"Open",,"13140",,"BROADMORE","RD",,"SILVER SPRING","MD","20904","39.072761","-76.99035",,"POINT (-76.99035 39.072761)"
"FLOODPLAIN STATUS REQUEST","203499","INFO","2000-03-06T10:03:23.000",,,"Open",,,,,,,,,,"0","0","18930 WOODFIELD RD GAITHERSBURG","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","203200","INFO","2001-01-09T02:01:58.000",,,"Open",,"18930",,"WOODFIELD","RD",,"GAITHERSBURG","MD","20879","39.166897","-77.156157",,"POINT (-77.156157 39.166897)"
"FLOODPLAIN STATUS REQUEST","202620","INFO","2000-01-06T02:01:23.000",,,"Open",,"12842",,"LITTLETON","ST",,"SILVER SPRING","MD","20906","39.068387","-77.081271",,"POINT (-77.081271 39.068387)"
"FLOODPLAIN STATUS REQUEST","208146","INFO","2001-01-09T02:01:36.000",,,"Open","white flint ind. park","4900",,"NICHOLSON","CT",,"KENSINGTON","MD","20895","39.044888","-77.10222",,"POINT (-77.10222 39.044888)"
"FLOODPLAIN STATUS REQUEST","215141","INFO","2002-01-08T03:01:59.000",,,"Open",,"18906",,"MILLS CHOICE","RD",,"MONTGOMERY VILLAGE","MD","20886","39.167421","-77.208473",,"POINT (-77.208473 39.167421)"
"FLOODPLAIN STATUS REQUEST","206812","INFO","2001-01-09T02:01:44.000",,,"Open",,"7801",,"BRICKYARD","RD",,"POTOMAC","MD","20854","38.988484","-77.211323",,"POINT (-77.211323 38.988484)"
"FLOODPLAIN STATUS REQUEST","201414","INFO","2001-01-09T02:01:32.000",,,"Open","p743 poolesville 10 acre lot","14920",,"MT NEBO","RD",,"POOLESVILLE","MD","20837","39.100489","-77.447339",,"POINT (-77.447339 39.100489)"
"FLOODPLAIN STATUS REQUEST","203515","INFO","2000-03-06T11:03:43.000",,,"Open",,"17729",,"NORWOOD","RD",,"SANDY SPRING","MD","20860","39.147604","-77.029096",,"POINT (-77.029096 39.147604)"
"FLOODPLAIN STATUS REQUEST","254125","INFO","2007-08-03T08:08:26.000",,,"Open","Zone X, 24031C0370D.","1702",,"IMPERIAL","DR",,"SILVER SPRING","MD","20902","39.022857","-77.036904",,"POINT (-77.036904 39.022857)"
"FLOODPLAIN STATUS REQUEST","221606","INFO","2003-05-14T09:05:49.000",,,"Open",,"5705",,"BROOKSIDE","DR",,"CHEVY CHASE","MD","20815","38.96658","-77.105081",,"POINT (-77.105081 38.96658)"
"FLOODPLAIN STATUS REQUEST","210562","INFO","2001-03-05T08:03:58.000",,,"Open",,"10246",,"PARKWOOD","DR",,"KENSINGTON","MD","20895","39.02626","-77.090643",,"POINT (-77.090643 39.02626)"
"FLOODPLAIN STATUS REQUEST","209707","INFO","2001-01-09T02:01:42.000",,,"Open","Floodplain inquiry on existing building. No floodplain determination could be made. Tax maps are not detailed enough in this area. Copies of the mapes were sent to the homeowner. Request prompted by homeowner's insurance company.",,,,,,,,,"0","0","9461 HORIZON RUN ROAD","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","212385","INFO","2001-06-19T02:06:00.000",,,"Open","floodplain status","6917",,"ARLINGTON","RD",,"BETHESDA","MD","20814","38.978466","-77.098576",,"POINT (-77.098576 38.978466)"
"FLOODPLAIN STATUS REQUEST","203485","INFO","2000-03-06T02:03:18.000",,,"Open",,"20405",,"WHITES FERRY","RD",,"POOLESVILLE","MD","20837","39.147651","-77.426945",,"POINT (-77.426945 39.147651)"
"FLOODPLAIN STATUS REQUEST","205556","INFO","2001-01-09T02:01:45.000",,,"Open",,"10601",,"FALLS","RD",,"POTOMAC","MD","20854","0","0",,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","218913","INFO","2002-09-23T01:09:25.000",,,"Open","Perspective buyer.
According to FEMA map the lot appeares not to be in the floodplain, but the Tax map(HN563) shows a floodplain on the lot from an MNCPPC Study.","3201",,"COQUELIN","TER",,"CHEVY CHASE","MD","20815","38.99597","-77.065633",,"POINT (-77.065633 38.99597)"
"FLOODPLAIN STATUS REQUEST","202619","INFO","2001-01-09T02:01:46.000",,,"Open","new development not on map - therefore, property is not impacted by 100 year floodplain","12023",,"TREELINE","WAY",,"ROCKVILLE","MD","20852","39.052387","-77.133252",,"POINT (-77.133252 39.052387)"
"FLOODPLAIN STATUS REQUEST","202610","INFO","2000-01-06T01:01:28.000",,,"Open","floodplain status request for South Germantown Soccer Plex.  No floodplain on property except for Parcel 125.",,,,,,,,,"0","0","SCHAEFFER RD & BURDETTE LA, GERMANTOWN S. GERMANTOWN RECREATIONAL PARK","POINT (0 0)"
