"license_number","city","zip","date_filed","date_closed","type_of_case","type_of_complaint","case_disposition","geolocation"
"45301","GERMANTOWN","20874","2022-07-26T00:00:00.000","2022-08-01T00:00:00.000","OLTA-TSF","Maintenance- General","Referred to a Montgomery County Agency","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45295","SILVER SPRING","20910","2022-07-22T00:00:00.000","2022-07-28T00:00:00.000","OLTA-TMF","Rent Increase","Complaint withdrawn","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45294","SILVER SPRING","20902","2022-07-22T00:00:00.000","2022-08-25T00:00:00.000","OLTA-TMF","Security Deposit","Refund (payments/deposits)","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45288","SILVER SPRING","20906","2022-07-21T00:00:00.000","2022-08-11T00:00:00.000","OLTA-TMF","Money Damage - General","Acceptable explanation","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"45289","SILVER SPRING","20903","2022-07-21T00:00:00.000","2022-07-27T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
SILVER SPRING,  20903
(39.016139, -76.982897)"
"45291","SILVER SPRING","20904","2022-07-21T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TSF","Security Deposit","Complaint noted for the record","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"45282","SILVER SPRING","20910","2022-07-15T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TMF","Maintenance - Water Damages","Referred to a Montgomery County Agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45275","SILVER SPRING","20902","2022-07-11T00:00:00.000","2022-08-05T00:00:00.000","OLTA-TMF","Security Deposit","Refund (payments/deposits)","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45273","GERMANTOWN","20874","2022-07-08T00:00:00.000","2022-07-12T00:00:00.000","OLTA-TMF","Rent Increase","Refund/Rent Credit","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45272","ROCKVILLE","20852","2022-07-08T00:00:00.000","2022-07-11T00:00:00.000","OLTA-TMF","No Jurisdiction-Geographical","No jurisdiction","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"45268","OLNEY","20832","2022-07-07T00:00:00.000","2022-08-10T00:00:00.000","OLTA-TSF","Lease Agreement Tenant Rights","Complaint withdrawn","
OLNEY,  20832
(39.152328, -77.073205)"
"45259","SILVER SPRING","20910","2022-06-30T00:00:00.000",,"OLTA-TMF","Rent Increase","Acceptable explanation","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45260","GERMANTOWN","20876","2022-06-30T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TSF","Security Deposit","Settlement Agreement","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"45257","SILVER SPRING","20902","2022-06-30T00:00:00.000","2022-08-23T00:00:00.000","OLTA-TMF","Parking","Other- no communication from tenant","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45252","GERMANTOWN","20874","2022-06-28T00:00:00.000","2022-07-11T00:00:00.000","OLTA-TMF","Rent Increase","Duplicate Case","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45251","GERMANTOWN","20874","2022-06-28T00:00:00.000","2022-08-17T00:00:00.000","OLTA-TMF","Quit and Vacate","Complaint noted for the record","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45246","GERMANTOWN","20874","2022-06-27T00:00:00.000","2022-07-18T00:00:00.000","OLTA-TMF","Security Deposit","Legal Action Filed","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45247","SILVER SPRING","20904","2022-06-27T00:00:00.000","2022-08-31T00:00:00.000","OLTA-TMF","Money Damages - Spoiled Food","Referred to a MD State Government agency","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"45239","TAKOMA PARK","20912","2022-06-24T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TMF","Rent Increase","Acceptable explanation","
TAKOMA PARK,  20912
(38.982019, -77.000534)"
"45236","GERMANTOWN","20874","2022-06-24T00:00:00.000","2022-06-24T00:00:00.000","OLTA-TSF","Fee","Other- no communication from tenant","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45241","SILVER SPRING","20906","2022-06-24T00:00:00.000","2022-06-27T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Settlement Agreement","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"45240","BETHESDA","20816","2022-06-24T00:00:00.000","2022-06-27T00:00:00.000","OLTA-TMF","No Jurisdiction - Room Rental","Non-jurisdiction-Room Rental","
BETHESDA,  20816
(38.958638, -77.115455)"
"45232","GAITHERSBURG","20879","2022-06-24T00:00:00.000","2022-07-20T00:00:00.000","OLTA-TMF","No Jurisdiction-Geographical","Non-jurisdiction-Geographic Location","
GAITHERSBURG,  20879
(39.169098, -77.182742)"
"45224","ROCKVILLE","20850","2022-06-22T00:00:00.000","2022-06-22T00:00:00.000","OLTA-TSF","Rent Payment History","Non-jurisdiction-Geographic Location","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"45227","TAKOMA PARK","20912","2022-06-22T00:00:00.000","2022-06-27T00:00:00.000","OLTA-TMF","No Jurisdiction-Geographical","Non-jurisdiction-Geographic Location","
TAKOMA PARK,  20912
(38.982019, -77.000534)"
"45228","SILVER SPRING","20910","2022-06-22T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TMF","Maintenance- General","Other- no communication from tenant","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45225","ROCKVILLE","20852","2022-06-22T00:00:00.000","2022-07-25T00:00:00.000","OLTA-TMF","Noise","Service performed or corrected","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"45229","SILVER SPRING","20902","2022-06-22T00:00:00.000","2022-08-22T00:00:00.000","OLTA-TSF","Rent Increase","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45219","SILVER SPRING","20906","2022-06-21T00:00:00.000","2022-06-29T00:00:00.000","OLTA-TMF","Failure to Pay Rent","Acceptable explanation","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"45222","ROCKVILLE","20855","2022-06-21T00:00:00.000","2022-07-22T00:00:00.000","OLTA-TSF","Quit and Vacate","Complaint withdrawn","
ROCKVILLE,  20855
(39.134606, -77.141459)"
"45220","ROCKVILLE","20852","2022-06-21T00:00:00.000","2022-08-09T00:00:00.000","OLTA-TMF","Security Deposit","Acceptable explanation","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"45216","SILVER SPRING","20910","2022-06-17T00:00:00.000","2022-07-19T00:00:00.000","OLTA-TMF","Quit and Vacate","Other- no communication from tenant","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45214","ROCKVILLE","20852","2022-06-17T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TMF","Fee","Other- no communication from tenant","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"45210","SILVER SPRING","20910","2022-06-15T00:00:00.000","2022-08-30T00:00:00.000","OLTA-TMF","Rent Increase","Service performed or corrected","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45209","SILVER SPRING","20902","2022-06-15T00:00:00.000","2022-08-16T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45211","SILVER SPRING","20910","2022-06-15T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TMF","Fee","Lease provision honored","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45205","SILVER SPRING","20910","2022-06-13T00:00:00.000","2022-06-27T00:00:00.000","OLTA-TMF","Fee","Lease provision honored","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45206","BURTONSVILLE","20866","2022-06-13T00:00:00.000","2022-06-27T00:00:00.000","OLTA-TSF","Security Deposit","Duplicate Case","
BURTONSVILLE,  20866
(39.103016, -76.935049)"
"45207","BURTONSVILLE","20866","2022-06-13T00:00:00.000","2022-08-24T00:00:00.000","OLTA-TSF","Lease Agreement","Other- no communication from tenant","
BURTONSVILLE,  20866
(39.103016, -76.935049)"
"45204","GERMANTOWN","20874","2022-06-13T00:00:00.000","2022-06-14T00:00:00.000","OLTA-TSF","No Jurisdiction - Tenant Vs. Tenant","Referred to a Montgomery County Agency","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45203","SILVER SPRING","20904","2022-06-13T00:00:00.000","2022-06-13T00:00:00.000","OLTA-LSF","Failure to Pay Rent","Non-jurisdiction-Room Rental","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"45193","SILVER SPRING","20910","2022-06-09T00:00:00.000","2022-06-10T00:00:00.000","OLTA-TMF","Security Deposit","Complaint withdrawn","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45185","GAITHERSBURG","20878","2022-06-09T00:00:00.000","2022-06-09T00:00:00.000","OLTA-TSF","No Jurisdiction-Geographical","No jurisdiction","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"45187","SILVER SPRING","20904","2022-06-09T00:00:00.000","2022-08-11T00:00:00.000","OLTA-TMF","Lease Agreement","Service performed or corrected","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"45186","SILVER SPRING","20904","2022-06-09T00:00:00.000","2022-06-22T00:00:00.000","OLTA-TMF","Lease Agreement","Service performed or corrected","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"45180","ROCKVILLE","20850","2022-06-08T00:00:00.000","2022-06-08T00:00:00.000","OLTA-TSF","No Jurisdiction-Geographical","No jurisdiction","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"45182","GERMANTOWN","20874","2022-06-08T00:00:00.000","2022-08-01T00:00:00.000","OLTA-TMF","Security Deposit","Acceptable explanation","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45181","SILVER SPRING","20901","2022-06-08T00:00:00.000","2022-06-08T00:00:00.000","OLTA-TMF","Quit and Vacate","Complaint noted for the record","
SILVER SPRING,  20901
(39.020211, -77.009764)"
"45170","ROCKVILLE","20850","2022-06-07T00:00:00.000","2022-08-30T00:00:00.000","OLTA-TMF","Money Damage - General","Refund/Rent Credit","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"45177","CHEVY CHASE","20815","2022-06-07T00:00:00.000","2022-06-07T00:00:00.000","OLTA-TMF","Fee","Complaint withdrawn","
CHEVY CHASE,  20815
(38.982537, -77.079131)"
"45171","SILVER SPRING","20910","2022-06-07T00:00:00.000","2022-06-28T00:00:00.000","OLTA-TMF","Fee","Complaint withdrawn","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45172","SILVER SPRING","20904","2022-06-07T00:00:00.000","2022-06-28T00:00:00.000","OLTA-TMF","Lease Agreement-Early Termination","Complaint withdrawn","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"45164","GAITHERSBURG","20878","2022-06-06T00:00:00.000","2022-06-29T00:00:00.000","OLTA-TMF","Quit and Vacate","Lease provision honored","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"45168","CHEVY CHASE","20815","2022-06-06T00:00:00.000","2022-07-06T00:00:00.000","OLTA-TMF","Lease Agreement","Acceptable explanation","
CHEVY CHASE,  20815
(38.982537, -77.079131)"
"45169","SILVER SPRING","20910","2022-06-06T00:00:00.000","2022-07-14T00:00:00.000","OLTA-TMF","Lease Agreement-Early Termination","Acceptable explanation","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45166","POTOMAC","20854","2022-06-06T00:00:00.000","2022-08-03T00:00:00.000","OLTA-TMF","Maintenance- General","Other- no communication from tenant","
POTOMAC,  20854
(39.038266, -77.203413)"
"45158","ADELPHI","20783","2022-06-03T00:00:00.000","2022-06-03T00:00:00.000","OLTA-TMF","Maintenance- General","Non-jurisdiction-Geographic Location","
ADELPHI,  20783
(38.996724, -76.970103)"
"45156","SILVER SPRING","20902","2022-06-02T00:00:00.000","2022-06-13T00:00:00.000","OLTA-TMF","Lease Agreement Tenant Rights","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45152","SILVER SPRING","20902","2022-06-02T00:00:00.000","2022-07-13T00:00:00.000","OLTA-TMF","Quit and Vacate","Lease provision honored","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45154","SILVER SPRING","20906","2022-06-02T00:00:00.000","2022-08-12T00:00:00.000","OLTA-TMF","Lease Agreement","Other- no communication from tenant","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"45151","BETHESDA","20817","2022-06-02T00:00:00.000","2022-08-10T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
BETHESDA,  20817
(38.998099, -77.143306)"
"45155","SILVER SPRING","20902","2022-06-02T00:00:00.000","2022-07-06T00:00:00.000","OLTA-TMF","Quit and Vacate","Complaint withdrawn","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45149","GERMANTOWN","20874","2022-06-01T00:00:00.000","2022-07-25T00:00:00.000","OLTA-TSF","Rent Increase","Refund/Rent Credit","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45148","ROCKVILLE","20850","2022-06-01T00:00:00.000","2022-06-05T00:00:00.000","OLTA-TSF","Rent Increase","Non-jurisdiction-Geographic Location","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"45145","SILVER SPRING","20910","2022-05-26T00:00:00.000","2022-06-08T00:00:00.000","OLTA-TMF","Maintenance- General","Referred to a MD State Government agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45146","ROCKVILLE","20852","2022-05-26T00:00:00.000","2022-06-08T00:00:00.000","OLTA-TMF","Lease Agreement","Complaint noted for the record","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"45140","SILVER SPRING","20906","2022-05-25T00:00:00.000","2022-06-09T00:00:00.000","OLTA-TMF","Fee","Acceptable explanation","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"45139","GERMANTOWN","20874","2022-05-24T00:00:00.000","2022-06-14T00:00:00.000","OLTA-TMF","Lease Agreement","Service performed or corrected","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45133","POTOMAC","20854","2022-05-19T00:00:00.000","2022-08-02T00:00:00.000","OLTA-TSF","Security Deposit","Referred to Landlord-Tenant Commission","
POTOMAC,  20854
(39.038266, -77.203413)"
"45135","GERMANTOWN","20874","2022-05-19T00:00:00.000","2022-05-20T00:00:00.000","OLTA-TSF","Lease Agreement","Referred to a MD State Government agency","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45134","ROCKVILLE","20852","2022-05-19T00:00:00.000","2022-08-02T00:00:00.000","OLTA-TMF","Fee","Service performed or corrected","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"44129","SILVER SPRING","20910","2022-05-13T00:00:00.000","2022-07-28T00:00:00.000","OLTA-TMF","Security Deposit","Refund (payments/deposits)","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44124","SILVER SPRING","20906","2022-05-12T00:00:00.000","2022-05-17T00:00:00.000","OLTA-TSF","Eviction","Acceptable explanation","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"44118","ROCKVILLE","20850","2022-05-09T00:00:00.000","2022-05-09T00:00:00.000","OLTA-TMF","Miscellaneous/Foreclosure, T want to buy","Non-jurisdiction-Geographic Location","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"44122","ROCKVILLE","20850","2022-05-09T00:00:00.000","2022-06-05T00:00:00.000","OLTA-TSF","Maintenance - Heat","Other- no communication from tenant","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"44119","ROCKVILLE","20852","2022-05-09T00:00:00.000","2022-06-01T00:00:00.000","OLTA-TMF","Quit and Vacate","Acceptable explanation","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"44120","ROCKVILLE","20852","2022-05-09T00:00:00.000","2022-08-09T00:00:00.000","OLTA-TMF","Security Deposit","Acceptable explanation","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"44110","ROCKVILLE","20853","2022-05-04T00:00:00.000","2022-05-06T00:00:00.000","OLTA-LSF","Eviction","Referred to a MD State Government agency","
ROCKVILLE,  20853
(39.096485, -77.092945)"
"44108","ROCKVILLE","20850","2022-05-04T00:00:00.000","2022-06-05T00:00:00.000","OLTA-TMF","Harassment","Acceptable explanation","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"44106","SILVER SPRING","20904","2022-05-04T00:00:00.000","2022-06-01T00:00:00.000","OLTA-TSF","Eviction","Acceptable explanation","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"44104","ROCKVILLE","20851","2022-05-03T00:00:00.000","2022-07-12T00:00:00.000","OLTA-TMF","Noise","No jurisdiction","
ROCKVILLE,  20851
(39.07701, -77.123831)"
"44102","SILVER SPRING","20904","2022-05-02T00:00:00.000","2022-06-01T00:00:00.000","OLTA-TSF","Quit and Vacate","Acceptable explanation","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"44099","GERMANTOWN","20874","2022-04-29T00:00:00.000","2022-06-10T00:00:00.000","OLTA-LSF","Walk through Inspections","Acceptable explanation","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"44100","BETHESDA","20814","2022-04-29T00:00:00.000","2022-06-13T00:00:00.000","OLTA-TMF","Retaliatory Eviction","Acceptable explanation","
BETHESDA,  20814
(39.003061, -77.102949)"
"44095","GERMANTOWN","20876","2022-04-28T00:00:00.000","2022-04-29T00:00:00.000","OLTA-TMF","Money Damage - General","Acceptable explanation","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"44096","SILVER SPRING","20910","2022-04-28T00:00:00.000","2022-08-23T00:00:00.000","OLTA-TMF","Lease Agreement","Complaint withdrawn","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44094","SILVER SPRING","20903","2022-04-28T00:00:00.000","2022-04-29T00:00:00.000","OLTA-TMF","Lease Agreement","Non-jurisdiction-Geographic Location","
SILVER SPRING,  20903
(39.016139, -76.982897)"
"44092","SILVER SPRING","20910","2022-04-27T00:00:00.000","2022-05-17T00:00:00.000","OLTA-TSF","Quit and Vacate","Other- no communication from tenant","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44093","SILVER SPRING","20906","2022-04-27T00:00:00.000","2022-05-03T00:00:00.000","OLTA-TMF","Fee","Service performed or corrected","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"44085","SILVER SPRING","20904","2022-04-21T00:00:00.000","2022-06-22T00:00:00.000","OLTA-TSF","Rent Increase","Refund/Rent Credit","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"44084","SILVER SPRING","20904","2022-04-21T00:00:00.000","2022-07-27T00:00:00.000","OLTA-TMF","Rent Payment History","Refund (payments/deposits)","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"44083","SILVER SPRING","20902","2022-04-21T00:00:00.000","2022-05-19T00:00:00.000","OLTA-TSF","Ratio Utility Billing","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44081","ROCKVILLE","20852","2022-04-19T00:00:00.000","2022-09-06T00:00:00.000","OLTA-TMF","Security Deposit","Referred to Landlord-Tenant Commission","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"44082","SILVER SPRING","20910","2022-04-19T00:00:00.000","2022-05-24T00:00:00.000","OLTA-TMF","Lease Agreement","Lease provision honored","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44080","SILVER SPRING","20902","2022-04-15T00:00:00.000","2022-05-19T00:00:00.000","OLTA-LSF","Ratio Utility Billing","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44079","GAITHERSBURG","20878","2022-04-14T00:00:00.000","2022-04-19T00:00:00.000","OLTA-TMF","Maintenance - Infestation","Referred to a Montgomery County Agency","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"44078","SILVER SPRING","20906","2022-04-14T00:00:00.000","2022-05-10T00:00:00.000","OLTA-TSF","Retaliatory Eviction","Service performed or corrected","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"44074","SILVER SPRING","20910","2022-04-06T00:00:00.000","2022-04-07T00:00:00.000","OLTA-TMF","Noise","Referred to a MD State Government agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44071","ROCKVILLE","20852","2022-04-05T00:00:00.000","2022-05-16T00:00:00.000","OLTA-TMF","Fee","Refund/Rent Credit","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"44073","GERMANTOWN","20876","2022-04-05T00:00:00.000","2022-06-01T00:00:00.000","OLTA-TSF","Lease Agreement-Early Termination","Complaint noted for the record","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"44072","SILVER SPRING","20902","2022-04-05T00:00:00.000","2022-06-01T00:00:00.000","OLTA-TSF","Security Deposit","Refund (payments/deposits)","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44069","SILVER SPRING","20902","2022-04-04T00:00:00.000","2022-05-19T00:00:00.000","OLTA-TMF","Ratio Utility Billing","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44070","SILVER SPRING","20910","2022-04-04T00:00:00.000","2022-04-05T00:00:00.000","OLTA-TMF","Maintenance- General","Refer to Code Enforcement","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44068","GERMANTOWN","20876","2022-04-01T00:00:00.000","2022-04-05T00:00:00.000","OLTA-TSF","Eviction","No jurisdiction","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"44064","SILVER SPRING","20904","2022-03-31T00:00:00.000","2022-04-28T00:00:00.000","OLTA-TMF","Maintenance - Plumbing","Referred to a Montgomery County Agency","
SILVER SPRING,  20904
(39.066507, -76.979098)"
"44062","SILVER SPRING","20910","2022-03-30T00:00:00.000","2022-03-31T00:00:00.000","OLTA-LMF","Failure to Pay Rent","Referred to a MD State Government agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44058","ROCKVILLE","20852","2022-03-29T00:00:00.000","2022-04-28T00:00:00.000","OLTA-TMF","Noise","No jurisdiction","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"44057","GAITHERSBURG","20877","2022-03-29T00:00:00.000","2022-04-06T00:00:00.000","OLTA-TMF","Fee","Acceptable explanation","
GAITHERSBURG,  20877
(39.140752, -77.187359)"
"44059","SILVER SPRING","20902","2022-03-29T00:00:00.000","2022-04-01T00:00:00.000","OLTA-TMF","Fee","Other referral (private attorney/legal aid/etc.)","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44060","SILVER SPRING","20902","2022-03-29T00:00:00.000","2022-06-01T00:00:00.000","OLTA-TSF","Security Deposit","Refund (payments/deposits)","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44054","SILVER SPRING","20910","2022-03-28T00:00:00.000","2022-04-07T00:00:00.000","OLTA-TMF","Money Damages - Fire","Referred to a Montgomery County Agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44055","SILVER SPRING","20910","2022-03-28T00:00:00.000",,"OLTA-TMF","Money Damages - Fire","Referred to a Montgomery County Agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44056","SILVER SPRING","20910","2022-03-28T00:00:00.000","2022-04-07T00:00:00.000","OLTA-TMF","Money Damages - Fire","Referred to a Montgomery County Agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44053","SILVER SPRING","20902","2022-03-28T00:00:00.000","2022-05-19T00:00:00.000","OLTA-TSF","Ratio Utility Billing","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44049","SILVER SPRING","20902","2022-03-25T00:00:00.000","2022-03-27T00:00:00.000","OLTA-TSF","Rent Increase","Complaint withdrawn","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"44051","SILVER SPRING","20910","2022-03-25T00:00:00.000","2022-04-07T00:00:00.000","OLTA-TMF","Money Damages - Fire","Referred to a Montgomery County Agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44052","SILVER SPRING","20910","2022-03-25T00:00:00.000","2022-04-07T00:00:00.000","OLTA-TMF","Money Damages - Fire","Referred to a Montgomery County Agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44048","GERMANTOWN","20874","2022-03-24T00:00:00.000","2022-06-14T00:00:00.000","OLTA-TMF","Security Deposit","Refund (payments/deposits)","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"44037","ROCKVILLE","20852","2022-03-23T00:00:00.000","2022-03-29T00:00:00.000","OLTA-TSF","Maintenance - Appliance","Service performed or corrected","
ROCKVILLE,  20852
(39.050009, -77.125351)"
"44041","SILVER SPRING","20910","2022-03-23T00:00:00.000","2022-04-07T00:00:00.000","OLTA-TMF","Money Damages - Fire","Referred to a Montgomery County Agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"44040","ROCKVILLE","20852","2022-03-23T00:00:00.000","2022-03-28T00:00:00.000","OLTA-TMF","Fee","Complaint withdrawn","
ROCKVILLE,  20852
(39.050009, -77.125351)"
