Date of Complaint,Date of Closure,Street,City,State,ZIP,Cable Provider,Billing,Service,Internet,Telephone Answering Time,Reception,Construction,Marketing,Installation,Cable Service Availability,Cable Line Related,Telephone Service,Other,Type,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities
01/11/2016,03/28/2016,Cloister Drive,Rockville,MD,20852,Comcast,,,,,,,,,,,,1,Complaint,"Cloister Drive
Rockville, MD 20852",,,,,
01/11/2016,01/28/2016,Anamosa Drive,Derwood,MD,20855,Comcast,1,,1,,1,,1,,,,,,Complaint,"Anamosa Drive
Derwood, MD 20855",,,,,
01/11/2016,01/13/2016,Yellowwood Drive,Clarksburg,MD,20871,Comcast,1,,,,,,,,,,,,Complaint,"Yellowwood Drive
Clarksburg, MD 20871",,,,,
01/11/2016,03/28/2016,First Avenue,Silver Spring,MD,20910,Comcast,1,,,,,,,,,,,,Complaint,"First Avenue
Silver Spring, MD 20910",,,,,
01/11/2016,01/14/2016,West Virginia Avenue,Bethesda,MD,20814,Verizon,,1,,,,,,,,,,,Complaint,"West Virginia Avenue
Bethesda, MD 20814",,,,,
01/11/2016,01/15/2016,Ellsworth Drive,Silver Spring,MD,20910,Verizon,,,,,,,,,,1,,,Complaint,"Ellsworth Drive
Silver Spring, MD 20910",,,,,
01/11/2016,01/13/2016,Triple Crown Place,North Potomac,MD,20878,Verizon,1,,,,,,,,,,,,Complaint,"Triple Crown Place
North Potomac, MD 20878",,,,,
01/11/2016,01/19/2016,Ellsworth Drive,Silver Spring,MD,20910,Comcast,,,,,,,,,,1,,,Complaint,"Ellsworth Drive
Silver Spring, MD 20910",,,,,
01/11/2016,01/14/2016,Willard Avenue,Chevy Chase,MD,20815,Verizon,1,,,,,,,,,,,,Complaint,"Willard Avenue
Chevy Chase, MD 20815",,,,,
01/12/2016,01/12/2016,Ravenwood Court,Silver Spring,MD,20902,Inquiry,,,,,,,,,,,,1,Complaint,"Ravenwood Court
Silver Spring, MD 20902",,,,,
01/12/2016,01/13/2016,Monticello Avenue,Silver Spring,MD,20902,Comcast,1,,,,,,,,,,,,Complaint,"Monticello Avenue
Silver Spring, MD 20902",,,,,
01/13/2016,01/20/2016,Carry Back Place,North Potomac,MD,20878,Comcast,,,,,,,,,,,,1,Complaint,"Carry Back Place
North Potomac, MD 20878",,,,,
01/13/2016,01/13/2016,Friendship Blvd,Chevy Chase,MD,20815,Comcast,1,,,,,,,,,,,,Complaint,"Friendship Blvd
Chevy Chase, MD 20815",,,,,
01/13/2016,01/18/2016,Greenwood Avenue,Takoma Park,MD,20912,RCN,1,,,,,,,,,,,,Complaint,"Greenwood Avenue
Takoma Park, MD 20912",,,,,
01/13/2016,01/19/2016,Carmichael Avenue,Bethesda,MD,20817,Comcast,,,,,,,,,,1,,,Complaint,"Carmichael Avenue
Bethesda, MD 20817",,,,,
01/13/2016,01/20/2016,Jericho Drive,Gaithersburg,MD,20879,Comcast,,,,,,,,,,,,1,Complaint,"Jericho Drive
Gaithersburg, MD 20879",,,,,
01/13/2016,01/15/2016,Long Draft Road,Gaithersburg,MD,20878,RCN,1,,,,,,,,,,,,Complaint,"Long Draft Road
Gaithersburg, MD 20878",,,,,
01/14/2016,01/20/2016,Langbrook Place,Rockville,MD,20851,Comcast,,,,,,,1,,,,,,Complaint,"Langbrook Place
Rockville, MD 20851",,,,,
01/15/2016,01/21/2016,Century Blvd,Germantown,MD,20874,Verizon,,,,,,,,,,1,,,Complaint,"Century Blvd
Germantown, MD 20874",,,,,
01/15/2016,02/08/2016,Arlington Road,Bethesda,MD,20814,Comcast,,,,,,,,,,1,,,Complaint,"Arlington Road
Bethesda, MD 20814",,,,,
01/19/2016,01/20/2016,Neerwinder Court,Germantown,MD,20874,Comcast,1,,,,1,,,,,,,,Complaint,"Neerwinder Court
Germantown, MD 20874",,,,,
01/21/2016,01/28/2016,Plum Creek Drive,Gaithersburg,MD,20882,Comcast,1,,,,,,,,,,,,Complaint,"Plum Creek Drive
Gaithersburg, MD 20882",,,,,
01/21/2016,01/21/2016,Kenilworth Avenue,Garrett Park,MD,20896,Comcast,1,,,,,,,,,,,,Complaint,"Kenilworth Avenue
Garrett Park, MD 20896",,,,,
01/21/2016,01/25/2016,Rising Ridge Road,Bethesda,MD,20817,Comcast,1,,,,,,,,,,,,Complaint,"Rising Ridge Road
Bethesda, MD 20817",,,,,
01/22/2016,01/22/2016,Habersham Circle,Silver Spring,MD,20906,Verizon,,,,,,,,,,1,,,Complaint,"Habersham Circle
Silver Spring, MD 20906",,,,,
01/28/2016,02/01/2016,Longhorn Crescent,Rockville,MD,20850,Comcast,,,,,,,,,,1,,,Complaint,"Longhorn Crescent
Rockville, MD 20850",,,,,
01/28/2016,01/28/2016,Bel Pre Road,Silver Spring,MD,20906,Verizon,1,,,,,,,,,,,,Complaint,"Bel Pre Road
Silver Spring, MD 20906",,,,,
01/28/2016,01/28/2016,Norbeck Road,Silver Spring,MD,20906,Inquiry,1,,,,,,,,,,,,Complaint,"Norbeck Road
Silver Spring, MD 20906",,,,,
01/28/2016,01/29/2016,Lamberton Drive,Silver Spring,MD,20902,Verizon,,1,1,,1,,,,,,1,,Complaint,"Lamberton Drive
Silver Spring, MD 20902",,,,,
01/28/2016,01/29/2016,Plum Creek Drive,Gaithersburg,MD,20882,Comcast,,,,,,,,,,1,,,Complaint,"Plum Creek Drive
Gaithersburg, MD 20882",,,,,
01/28/2016,01/28/2016,Mapleview Drive,Silver Spring,MD,20902,Inquiry,,,,,1,,,,,,,,Complaint,"Mapleview Drive
Silver Spring, MD 20902",,,,,
01/28/2016,02/01/2016,Newbridge Drive,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Newbridge Drive
Potomac, MD 20854",,,,,
01/29/2016,01/29/2016,Livington Street,Silver Spring,MD,20902,Comcast,,,1,,1,,,,,,,,Complaint,"Livington Street
Silver Spring, MD 20902",,,,,
02/01/2016,02/01/2016,Newbridge Drive,Potomac,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"Newbridge Drive
Potomac, MD 20854",,,,,
02/01/2016,02/02/2016,Castle Blvd,Silver Spring,MD,20904,Comcast,1,,,,,,,,,,,,Complaint,"Castle Blvd
Silver Spring, MD 20904",,,,,
02/01/2016,02/03/2016,Montrose Road,Rockville,MD,20852,Comcast,1,,,,,,,,,,,,Complaint,"Montrose Road
Rockville, MD 20852",,,,,
02/01/2016,02/03/2016,Homecrest Road,Silver Spring,MD,20906,Comcast,1,,,,,,,,,,,,Complaint,"Homecrest Road
Silver Spring, MD 20906",,,,,
02/01/2016,02/03/2016,Brinkwood Road,Brookeville,MD,20833,Comcast,1,,,,,,,,,,,,Complaint,"Brinkwood Road
Brookeville, MD 20833",,,,,
02/01/2016,02/01/2016,Parkedge Drive,Rockville,MD,20852,Verizon,1,,,,,,,,,,,,Complaint,"Parkedge Drive
Rockville, MD 20852",,,,,
02/03/2016,02/18/2016,S Leisure World Blvd,Silver Spring,MD,20906,Comcast,1,,,,,,,,,,,,Complaint,"S Leisure World Blvd
Silver Spring, MD 20906",,,,,
02/03/2016,02/04/2016,Connecticut Avenue,Kensington,MD,20895,Comcast,1,,,,,,,,,,,,Complaint,"Connecticut Avenue
Kensington, MD 20895",,,,,
02/03/2016,02/05/2016,Boilingbrook Pkwy,Rockville,MD,20852,Verizon,1,,,,,,,,,,,,Complaint,"Boilingbrook Pkwy
Rockville, MD 20852",,,,,
02/03/2016,02/03/2016,Hampton Hollow Drive,Silver Spring,MD,20904,Comcast,1,,,,,,,,,,,,Complaint,"Hampton Hollow Drive
Silver Spring, MD 20904",,,,,
02/03/2016,02/03/2016,Westbury Road,Rockville,MD,20853,Inquiry,,,,,,1,,,,,,,Complaint,"Westbury Road
Rockville, MD 20853",,,,,
02/04/2016,02/12/2016,Charred Oak Drive,Bethesda,MD,20817,Comcast,,,,,1,,,1,,,,,Complaint,"Charred Oak Drive
Bethesda, MD 20817",,,,,
02/04/2016,02/04/2016,Charlcote Road,Bethesda,MD,20817,Comcast,1,,,,,,,,,,,,Complaint,"Charlcote Road
Bethesda, MD 20817",,,,,
02/04/2016,02/05/2016,Crooked Creek Drive,Rockville,MD,20850,Verizon,,,,,,1,,,,,,,Complaint,"Crooked Creek Drive
Rockville, MD 20850",,,,,
02/04/2016,02/09/2016,Kirstin Court,Olney,MD,20832,Verizon,,,,,,,,,,,,1,Complaint,"Kirstin Court
Olney, MD 20832",,,,,
02/04/2016,02/09/2016,Greenvale Street,Chevy Chase,MD,20815,Verizon,1,,,,,,,,,,,,Complaint,"Greenvale Street
Chevy Chase, MD 20815",,,,,
02/05/2016,02/25/2016,Nebel Street,Rockville,MD,20852,Comcast,,,,,,,,,,1,,,Complaint,"Nebel Street
Rockville, MD 20852",,,,,
02/05/2016,02/22/2016,Crimson Lane,Silver Spring,MD,20904,Verizon,1,,,,,,,,,,,,Complaint,"Crimson Lane
Silver Spring, MD 20904",,,,,
02/05/2016,02/09/2016,Ashburton Lane,Bethesda,MD,20817,Verizon,,,,,,,,,,1,,,Complaint,"Ashburton Lane
Bethesda, MD 20817",,,,,
02/05/2016,02/05/2016,Winter Spoon Lane,Germantown,MD,20874,Inquiry,1,,,,,,,,,,,,Complaint,"Winter Spoon Lane
Germantown, MD 20874",,,,,
02/08/2016,02/15/2016,,,MD,,Verizon,,,,,,,,,,1,,,Complaint,"MD
(38.946466, -76.687282)",,,,2915,
02/08/2016,02/12/2016,Clifton Road,Silver Spring,MD,20904,Verizon,,,,,,,,,,1,,,Complaint,"Clifton Road
Silver Spring, MD 20904",,,,,
02/08/2016,02/17/2016,Dumfries Circle,Olney,MD,20832,Verizon,,,,,,,,,,1,,,Complaint,"Dumfries Circle
Olney, MD 20832",,,,,
02/08/2016,02/10/2016,Ottawa Place,sol,MD,20910,Comcast,,,1,,,,,,,,,,Complaint,"Ottawa Place
sol, MD 20910",,,,,
02/10/2016,02/10/2016,Lullaby Road,Germantown,MD,20874,Comcast,,,,,,,,,,1,,,Complaint,"Lullaby Road
Germantown, MD 20874",,,,,
02/10/2016,02/10/2016,Stirling Road,Silver Spring,MD,20901,Inquiry,1,,,,,,,,,,,,Complaint,"Stirling Road
Silver Spring, MD 20901",,,,,
02/10/2016,02/18/2016,Leopold Terrace,Rockville,MD,20855,Comcast,,,,,,1,,,,,,,Complaint,"Leopold Terrace
Rockville, MD 20855",,,,,
02/10/2016,02/11/2016,Carroll Avenue,Takoma Park,MD,20912,Comcast,1,,,,,,,,,,,,Complaint,"Carroll Avenue
Takoma Park, MD 20912",,,,,
02/10/2016,02/12/2016,Woodbine Street,Chevy Chase,MD,20815,Comcast,,,,,,,1,,,,,,Complaint,"Woodbine Street
Chevy Chase, MD 20815",,,,,
02/10/2016,02/10/2016,Pleasant Gate Lane,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Pleasant Gate Lane
Potomac, MD 20854",,,,,
02/11/2016,02/15/2016,Swan Stream Court,Gaithersburg,MD,20877,Comcast,,,,,,,,,,,,1,Complaint,"Swan Stream Court
Gaithersburg, MD 20877",,,,,
02/11/2016,02/11/2016,Pooks Hill Road,Bethesda,MD,20814,Inquiry,1,,,,,,,,,,,,Complaint,"Pooks Hill Road
Bethesda, MD 20814",,,,,
02/11/2016,02/11/2016,Bel Pre Road,Silver Spring,MD,20906,Verizon,1,,,,,,,,,,,,Complaint,"Bel Pre Road
Silver Spring, MD 20906",,,,,
02/12/2016,02/19/2016,Gable Ridge Terrace,Rockville,MD,20850,Verizon,,,1,,,,,,,,1,,Complaint,"Gable Ridge Terrace
Rockville, MD 20850",,,,,
02/12/2016,02/17/2016,Springvale Road,Silver Spring,MD,20910,Verizon,1,,,,,,,,,,,,Complaint,"Springvale Road
Silver Spring, MD 20910",,,,,
02/17/2016,02/18/2016,Ashwood Drive,Kensington,MD,20895,Comcast,1,,,,,,,,,,,,Complaint,"Ashwood Drive
Kensington, MD 20895",,,,,
02/18/2016,03/01/2016,Chennault Way,Gaithersburg,MD,20879,Verizon,,,1,,,,,,,,,,Complaint,"Chennault Way
Gaithersburg, MD 20879",,,,,
02/18/2016,02/18/2016,E Lenox Street,Chevy Chase,MD,20815,Comcast,1,,,,,,,,,,,,Complaint,"E Lenox Street
Chevy Chase, MD 20815",,,,,
02/19/2016,03/14/2016,Stoney Point Place,Germantown,MD,20876,Comcast,1,,,,,,,,,,,,Complaint,"Stoney Point Place
Germantown, MD 20876",,,,,
02/19/2016,02/23/2016,Georgia Avenue,Silver Spring,MD,20906,Verizon,1,,,,,,,,,,1,,Complaint,"Georgia Avenue
Silver Spring, MD 20906",,,,,
02/19/2016,02/23/2016,,Germantown,MD,,Verizon,,,,,,1,,,,,,,Complaint,"Germantown, MD
(39.176944, -77.270161)",2,2,39,39,1
02/19/2016,02/22/2016,High Street,Brookeville,MD,20833,Comcast,,,,,,,,,,,,,Complaint,"High Street
Brookeville, MD 20833",,,,,
02/22/2016,02/24/2016,Sonata Way,Silver Spring,MD,20901,Verizon,,,,,,,,,,1,,,Complaint,"Sonata Way
Silver Spring, MD 20901",,,,,
02/22/2016,02/24/2016,Randolph Road,Silver Spring,MD,20902,Comcast,1,,,,,,,,,,,,Complaint,"Randolph Road
Silver Spring, MD 20902",,,,,
02/22/2016,02/24/2016,Cherry Hill Road,Beltsville,MD,20705,Verizon,,,1,,,,,,,,,,Complaint,"Cherry Hill Road
Beltsville, MD 20705",,,,,
02/22/2016,03/14/2016,Janet Road,Silver Spring,MD,20906,Comcast,,,1,,,,,,,,,,Complaint,"Janet Road
Silver Spring, MD 20906",,,,,
02/22/2016,02/24/2016,Ingram Terrace,Silver Spring,MD,20906,Comcast,1,,,,,,,,,,,,Complaint,"Ingram Terrace
Silver Spring, MD 20906",,,,,
02/22/2016,02/25/2016,,,MD,20815,Comcast,,,,,,,,,,1,,,Complaint,"MD 20815
(38.982537, -77.079131)",1,1,5,110,20
02/23/2016,02/25/2016,Monroe Street,Rockville,MD,20850,Comcast,1,,,,,,,,,,,,Complaint,"Monroe Street
Rockville, MD 20850",,,,,
02/23/2016,02/23/2016,Owens Road,Brookeville,MD,20833,Comcast,1,,,,,,,,,,,,Complaint,"Owens Road
Brookeville, MD 20833",,,,,
02/24/2016,02/24/2016,Chilham Place,Potomac,MD,20854,Comcast,,,,,,,1,,,,,,Complaint,"Chilham Place
Potomac, MD 20854",,,,,
02/24/2016,02/24/2016,St Elmo Avenue,Bethesda,MD,20814,Inquiry,1,,,,,,,,,,,,Complaint,"St Elmo Avenue
Bethesda, MD 20814",,,,,
02/24/2016,03/09/2016,Court House Square,Rockville,MD,20850,Comcast,1,,,,,,,,,,,,Complaint,"Court House Square
Rockville, MD 20850",,,,,
02/24/2016,02/25/2016,Maple Avenue,Takoma Park,MD,20912,Comcast,1,,,,,,,,,,,,Complaint,"Maple Avenue
Takoma Park, MD 20912",,,,,
02/24/2016,02/29/2016,Triple Crown Place,North Potomac,MD,20878,Verizon,1,,,,,,,,,,,,Complaint,"Triple Crown Place
North Potomac, MD 20878",,,,,
02/24/2016,02/29/2016,Flintstone Lane,Silver Spring,MD,20905,Comcast,1,,,,,,,,,,,,Complaint,"Flintstone Lane
Silver Spring, MD 20905",,,,,
02/24/2016,03/18/2016,,,MD,20904,Comcast,,,,,,,,,,,,1,Complaint,"MD 20904
(39.066507, -76.979098)",5,5,53,12,1
02/25/2016,02/27/2016,Golf Course Drive,Germantown,MD,20874,Verizon,,,,,,,,,,,,1,Complaint,"Golf Course Drive
Germantown, MD 20874",,,,,
02/25/2016,02/25/2016,Connecticut Avenue,Chevy Chase,MD,20815,Comcast,,,,1,1,,,,,,,,Complaint,"Connecticut Avenue
Chevy Chase, MD 20815",,,,,
02/25/2016,04/16/2016,Megans Way,Olney,MD,20832,Comcast,,,,,,,,,,,,1,Complaint,"Megans Way
Olney, MD 20832",,,,,
02/25/2016,03/02/2016,Parkland Drive,Rockville,MD,20853,Verizon,,,1,,1,,,,,,1,,Complaint,"Parkland Drive
Rockville, MD 20853",,,,,
02/29/2016,03/01/2016,Keeneland Place,Gaithersburg,MD,20878,Comcast,1,,,,,,,,,,,,Complaint,"Keeneland Place
Gaithersburg, MD 20878",,,,,
02/29/2016,03/01/2016,Kenilworth Drive,Chevy Chase,MD,20815,Comcast,,1,1,,,,,,,,,,Complaint,"Kenilworth Drive
Chevy Chase, MD 20815",,,,,
02/29/2016,02/29/2016,Brick Manor Circle,Silver Spring,MD,20905,Inquiry,1,,,,,,,,,,,,Complaint,"Brick Manor Circle
Silver Spring, MD 20905",,,,,
02/29/2016,02/29/2016,Quarry Ridge Way,Bethesda,MD,20817,Inquiry,1,,,,,,,,,,,,Complaint,"Quarry Ridge Way
Bethesda, MD 20817",,,,,
02/29/2016,03/11/2016,Pooks Hill Road,Bethesda,MD,20814,Comcast,,1,1,,1,,,,,,,,Complaint,"Pooks Hill Road
Bethesda, MD 20814",,,,,
02/29/2016,03/03/2016,Lamberton Drive,Silver Spring,MD,20902,Verizon,1,,,,,,,,,,,,Complaint,"Lamberton Drive
Silver Spring, MD 20902",,,,,
03/01/2016,03/01/2016,S Frederick Avenue,Gaithersburg,MD,20877,Comcast,1,,,,,,,,,,,,Complaint,"S Frederick Avenue
Gaithersburg, MD 20877",,,,,
03/01/2016,03/04/2016,Miles Road,Burtonsville,MD,20866,Verizon,,,,,,,,,,1,,,Complaint,"Miles Road
Burtonsville, MD 20866",,,,,
03/01/2016,03/03/2016,St Andrews Way,Silver Spring,MD,20901,Verizon,1,,,,,,,,,,,,Complaint,"St Andrews Way
Silver Spring, MD 20901",,,,,
03/01/2016,03/07/2016,McKisson Court,Silver Spring,MD,20906,Verizon,,,,,,,,,,1,,,Complaint,"McKisson Court
Silver Spring, MD 20906",,,,,
03/01/2016,03/04/2016,Marie Court,Silver Spring,MD,20904,Comcast,,,,,,,,,,,1,,Complaint,"Marie Court
Silver Spring, MD 20904",,,,,
03/02/2016,03/04/2016,Gordon Road,Silver Spring,MD,20904,Comcast,,,,,,,,,,,1,,Complaint,"Gordon Road
Silver Spring, MD 20904",,,,,
03/02/2016,03/04/2016,Landis Way,Rockville,MD,20850,Verizon,,,,,,1,,,,,,,Complaint,"Landis Way
Rockville, MD 20850",,,,,
03/02/2016,03/16/2016,Turncrest Drive,Potomac,MD,20854,Verizon,,,,,,,,,,,,1,Complaint,"Turncrest Drive
Potomac, MD 20854",,,,,
03/02/2016,03/06/2016,Baldwin Court,Bethesda,MD,20817,Verizon,,,,,,,,,,1,,,Complaint,"Baldwin Court
Bethesda, MD 20817",,,,,
03/03/2016,03/08/2016,Duke Street,Rockville,MD,20850,Comcast,,,1,,,,,,,,,,Complaint,"Duke Street
Rockville, MD 20850",,,,,
03/03/2016,03/07/2016,Centerhill Street,Silver Spring,MD,20902,Comcast,1,,,,,,,,,,,,Complaint,"Centerhill Street
Silver Spring, MD 20902",,,,,
03/04/2016,03/09/2016,Cross Ridge Drive,Germantown,MD,20874,Verizon,1,,,,,,,,,,,,Complaint,"Cross Ridge Drive
Germantown, MD 20874",,,,,
03/04/2016,03/07/2016,Franwall Avenue,Silver Spring,MD,20902,Verizon,,,,,,,,,,1,,,Complaint,"Franwall Avenue
Silver Spring, MD 20902",,,,,
03/04/2016,03/04/2016,Traville Garden Circle,Rockville,MD,20850,Comcast,1,,,,,,,,,,,,Complaint,"Traville Garden Circle
Rockville, MD 20850",,,,,
03/04/2016,03/08/2016,Hammersmith Circle,Silver Spring,MD,20906,Comcast,1,,,,,,,,,,,,Complaint,"Hammersmith Circle
Silver Spring, MD 20906",,,,,
03/07/2016,03/10/2016,Valley View Avenue,Kensington,MD,20895,Verizon,,,,,,,,,,,,,Complaint,"Valley View Avenue
Kensington, MD 20895",,,,,
03/07/2016,03/15/2016,Valley View Avenue,Kensington,MD,20895,Comcast,,,,,,,,,,1,,,Complaint,"Valley View Avenue
Kensington, MD 20895",,,,,
03/08/2016,03/09/2016,Taveshire Way,Bethesda,MD,20817,Verizon,,,,,,,,,,1,,,Complaint,"Taveshire Way
Bethesda, MD 20817",,,,,
03/08/2016,03/14/2016,Crownsgate Circle,Germantown,MD,20874,Comcast,,,,,,,,,,1,,,Complaint,"Crownsgate Circle
Germantown, MD 20874",,,,,
03/08/2016,03/09/2016,Wilson Avenue,Rockville,MD,20850,Comcast,1,,,,,,,,,,,,Complaint,"Wilson Avenue
Rockville, MD 20850",,,,,
03/08/2016,03/09/2016,Battery Place,Bethesda,MD,20814,Verizon,1,,,,,,,,,,,,Complaint,"Battery Place
Bethesda, MD 20814",,,,,
03/08/2016,03/10/2016,Strand Drive,Rockville,MD,20852,Verizon,,,1,,,,,,,,,,Complaint,"Strand Drive
Rockville, MD 20852",,,,,
03/08/2016,03/09/2016,Montgomery Avenue,Bethesda,MD,20814,Comcast,1,,,,,,,,,,,,Complaint,"Montgomery Avenue
Bethesda, MD 20814",,,,,
03/08/2016,03/18/2016,,,MD,20817,Comcast,,,,,,,,,,,,1,Complaint,"MD 20817
(38.998099, -77.143306)",1,1,12,103,1
03/09/2016,03/17/2016,Mount Pisgah Lane,Silver Spring,MD,20903,Comcast,1,,,,,,,,,,,,Complaint,"Mount Pisgah Lane
Silver Spring, MD 20903",,,,,
03/09/2016,03/10/2016,Crimson Lane,Silver Spring,MD,20904,Verizon,1,,,,,,,,,,,,Complaint,"Crimson Lane
Silver Spring, MD 20904",,,,,
03/09/2016,03/09/2016,Collingdale Way,Montgomery Village,MD,20886,Inquiry,1,,,,,,,,,,,,Complaint,"Collingdale Way
Montgomery Village, MD 20886",,,,,
03/09/2016,03/09/2016,Ashmont Terrace,Silver Spring,MD,20906,Comcast,1,,,,,,,,,,,,Complaint,"Ashmont Terrace
Silver Spring, MD 20906",,,,,
03/09/2016,03/09/2016,Dufief Court,Gaithersburg,MD,20878,Comcast,1,,,,,,,,,,,,Complaint,"Dufief Court
Gaithersburg, MD 20878",,,,,
03/09/2016,03/22/2016,Crestfield Drive,Rockville,MD,20850,Comcast,,,1,,,,,,,1,,,Complaint,"Crestfield Drive
Rockville, MD 20850",,,,,
03/09/2016,03/11/2016,,,MD,20874,Comcast,,,,,,,,,,,,1,Complaint,"MD 20874
(39.158483, -77.280856)",2,2,39,39,1
03/11/2016,03/15/2016,,,MD,,Verizon,,,,,,,,,,,,1,Complaint,"MD
(38.946466, -76.687282)",,,,2915,
03/11/2016,03/11/2016,Drake Drive,Rockville,MD,20853,Comcast,1,,,,,,,,,,,,Complaint,"Drake Drive
Rockville, MD 20853",,,,,
03/14/2016,03/14/2016,Winter Park Court,Gaithersburg,MD,20879,Comcast,1,,,,,,,,,,,,Complaint,"Winter Park Court
Gaithersburg, MD 20879",,,,,
03/14/2016,03/18/2016,Pyrite Lane,Brookeville,MD,20833,Comcast,,1,1,,1,,,,,,,,Complaint,"Pyrite Lane
Brookeville, MD 20833",,,,,
03/14/2016,03/18/2016,Swiss Stone Court,Burtonsville,MD,20866,Comcast,,,,,,,,,,,,,Complaint,"Swiss Stone Court
Burtonsville, MD 20866",,,,,
03/14/2016,03/15/2016,Soapstone Lane,Silver Spring,MD,20905,Verizon,1,,,,,,,,,,,,Complaint,"Soapstone Lane
Silver Spring, MD 20905",,,,,
03/14/2016,03/15/2016,Gaither Road,Gaithersburg,MD,20877,Verizon,,,,,,,,,,1,,,Complaint,"Gaither Road
Gaithersburg, MD 20877",,,,,
03/15/2016,03/17/2016,Janet Road,Silver Spring,MD,20906,Verizon,,,,,,,,,,,1,,Complaint,"Janet Road
Silver Spring, MD 20906",,,,,
03/15/2016,03/22/2016,Broadwood Drive,Rockville,MD,20851,Comcast,,,1,,,,,,,,1,,Complaint,"Broadwood Drive
Rockville, MD 20851",,,,,
03/15/2016,03/17/2016,State Court,Gaithersburg,MD,20877,Comcast,1,,,,,,,,,,,,Complaint,"State Court
Gaithersburg, MD 20877",,,,,
03/16/2016,03/21/2016,N Leisure World Blvd,Silver Spring,MD,20906,Comcast,1,,,,,,,,,,,,Complaint,"N Leisure World Blvd
Silver Spring, MD 20906",,,,,
03/17/2016,03/22/2016,Village Square Terrace,Rockville,MD,20852,Comcast,1,,,,,,,,,,,,Complaint,"Village Square Terrace
Rockville, MD 20852",,,,,
03/17/2016,03/17/2016,Carriage House Terrace,Silver Spring,MD,20904,Comcast,1,,,,,,,,,,,,Complaint,"Carriage House Terrace
Silver Spring, MD 20904",,,,,
03/17/2016,03/22/2016,Rockland Avenue,Rockville,MD,20851,Comcast,1,,,,,,,,,,,,Complaint,"Rockland Avenue
Rockville, MD 20851",,,,,
03/18/2016,03/23/2016,Damascus Road,Gaithersburg,MD,20882,Comcast,,,,,,,,,1,,,,Complaint,"Damascus Road
Gaithersburg, MD 20882",,,,,
03/18/2016,03/22/2016,Orion Club Drive,Ashton,MD,20881,Comcast,,,,,,,,,,1,,,Complaint,"Orion Club Drive
Ashton, MD 20881",,,,,
03/18/2016,03/25/2016,Bradshaw Drive,Silver Spring,MD,20905,Comcast,,,,,,,1,,,,,,Complaint,"Bradshaw Drive
Silver Spring, MD 20905",,,,,
