"name","month","quarter","year","filing_frequency","due_date","taxable_amount","tax_due","interest","penalty","total_amount_due"
"Bethesda North Marriott Hotel & Conference Center #337V9","5",,"2022","M","2022-06-30T00:00:00.000","1588523.86","111196.67","0","0","111196.67"
"Rockville Hospitality, LLC","5",,"2022","M","2022-06-30T00:00:00.000","354043.49","24783.04","0","0","24783.04"
"EXTENDED STAY AMERICA #2504","5",,"2022","M","2022-06-30T00:00:00.000","101696.62","7118.76","0","0","7118.76"
"BEST WESTERN PLUS ROCKVILLE","5",,"2022","M","2022-06-30T00:00:00.000","306530","21457.1","0","0","21457.1"
"Sage Client 227 LLC","5",,"2022","M","2022-06-30T00:00:00.000","907522.47","63526.57","0","0","63526.57"
"Doubletree Hotel","5",,"2022","M","2022-06-30T00:00:00.000","708877.85","49621.44","0","0","49621.44"
"AIL Hospitality LLC dba Sleep Inn Hotel","5",,"2022","M","2022-06-30T00:00:00.000","164684.14","11527.88","0","0","11527.88"
"United Corporate Housing","5",,"2022","M","2022-06-30T00:00:00.000","0","0","0","0","0"
"ELSS LLC","5",,"2022","M","2022-06-30T00:00:00.000","381027","26671.89","0","0","26671.89"
"DHM Rockville LLC","5",,"2022","M","2022-06-30T00:00:00.000","968237.12","67776.59","0","0","67776.59"
"Residence Inn by Marriott Silver Spring #57188","5",,"2022","M","2022-06-30T00:00:00.000","342734.14","23991.38","0","0","23991.38"
"Sheraton Silver Spring Hotel","5",,"2022","M","2022-06-30T00:00:00.000","0","0","0","0","0"
"Cambria Hotel Rockville","5",,"2022","M","2022-06-30T00:00:00.000","390892.52","27362.47","0","0","27362.47"
"Gaithersburg Operator, LLC","5",,"2022","M","2022-06-30T00:00:00.000","785671.25","54996.98","0","0","54996.98"
"Priceline.com LLC","5",,"2022","M","2022-06-30T00:00:00.000","86548.01","6058.36","0","0","6058.36"
"Holiday Inn Express Germantown","5",,"2022","M","2022-06-30T00:00:00.000","457310.28","32011.71","0","0","32011.71"
"Silver Hospitality Inc","5",,"2022","M","2022-06-30T00:00:00.000","179649.51","12575.46","0","0","12575.46"
"TripAdvisor LLC","5",,"2022","M","2022-06-30T00:00:00.000","0","0","0","0","0"
"Courtyard by Marriott - Silver Spring Downtown","5",,"2022","M","2022-06-30T00:00:00.000","738316.45","51682.15","0","0","51682.15"
"Hilton Garden Inn Silver Spring","4",,"2022","M","2022-05-31T00:00:00.000","384067.13","26884.69","0","0","26884.69"
"EXTENDED STAY AMERICA #2529","4",,"2022","M","2022-05-31T00:00:00.000","88575.86","6200.31","0","0","6200.31"
"BEST WESTERN PLUS ROCKVILLE","4",,"2022","M","2022-05-31T00:00:00.000","250535.86","17537.51","0","0","17537.51"
"EXTENDED STAY AMERICA #2528","4",,"2022","M","2022-05-31T00:00:00.000","103875.14","7271.25","0","0","7271.25"
"Sheraton Silver Spring Hotel","4",,"2022","M","2022-05-31T00:00:00.000","0","0","0","0","0"
"ELSS LLC","4",,"2022","M","2022-05-31T00:00:00.000","358685.86","25108.01","0","0","25108.01"
"Hampton Inn & Suites","4",,"2022","M","2022-05-31T00:00:00.000","273010.26","19110.71","0","0","19110.71"
"T-R 1775 Rockville Owner LLC dba Rockville Even Hotel","4",,"2022","M","2022-05-31T00:00:00.000","273516.44","19146.15","0","0","19146.15"
"Bedford Court","4",,"2022","M","2022-05-31T00:00:00.000","840","58.8","0","0","58.8"
"Courtyard by Marriott Silver Spring #311F1","4",,"2022","M","2022-05-31T00:00:00.000","355674","24897.18","0","0","24897.18"
"Maryland National Capital Park & Planning Commission","4",,"2022","M","2022-05-31T00:00:00.000","5721.99","400.53","4.01","20.03","424.57"
"Bethesda Marriott #33728","4",,"2022","M","2022-05-31T00:00:00.000","1000622","70043.54","0","0","70043.54"
"Hotel Tonight, LLC","4",,"2022","M","2022-05-31T00:00:00.000","13366.12","935.62","0","0","935.62"
"Tusculum Farm Enterprises, LLC","4",,"2022","M","2022-05-31T00:00:00.000","10651","745.57","0","0","745.57"
"BW RRI III","4",,"2022","M","2022-05-31T00:00:00.000","278363.62","19485.45","0","0","19485.45"
"Congressional Country Club","4",,"2022","M","2022-05-31T00:00:00.000","54348","3804.36","0","0","3804.36"
"Rockville Hospitality, LLC","4",,"2022","M","2022-05-31T00:00:00.000","254374.48","17806.21","0","0","17806.21"
"Canopy by Hilton-Washington DC-North Bethesda","4",,"2022","M","2022-05-31T00:00:00.000","583960.18","40877.21","0","0","40877.21"
"Airbnb Inc","4",,"2022","M","2022-05-31T00:00:00.000","1541266.48","107888.65","0","0","107888.65"
"TripAdvisor LLC","4",,"2022","M","2022-05-31T00:00:00.000","0","0","0","0","0"
"DHM Rockville LLC","4",,"2022","M","2022-05-31T00:00:00.000","600580.95","42040.66","0","0","42040.66"
"Bethesda Hotel Associates LLC","4",,"2022","M","2022-05-31T00:00:00.000","601151.12","42080.57","0","0","42080.57"
"Residence Inn by Marriott Silver Spring #57188","4",,"2022","M","2022-05-31T00:00:00.000","205535.86","14387.51","0","0","14387.51"
"Courtyard by Marriott Bethesda/Chevy Chase","4",,"2022","M","2022-05-31T00:00:00.000","656471.16","45952.98","0","0","45952.98"
"TMG II BETHESDA HOTEL OPERATING COMPANY LLC","4",,"2022","M","2022-05-31T00:00:00.000","1159964.71","81197.52","0","0","81197.52"
"Doubletree Hotel","4",,"2022","M","2022-05-31T00:00:00.000","621785.5","43524.98","0","0","43524.98"
"Cambria Hotel Rockville","4",,"2022","M","2022-05-31T00:00:00.000","351629.55","24614.06","0","0","24614.06"
"Courtyard by Marriott - Silver Spring Downtown","4",,"2022","M","2022-05-31T00:00:00.000","545983.29","38218.83","0","0","38218.83"
"Holiday Inn Gaithersburg","4",,"2022","M","2022-05-31T00:00:00.000","0","0","0","0","0"
"LCOF Silver Spring Operating, LLC","4",,"2022","M","2022-05-31T00:00:00.000","548112.5","38367.87","0","0","38367.87"
"Sage Client 227 LLC","4",,"2022","M","2022-05-31T00:00:00.000","595292.93","41670.5","0","0","41670.5"
"United Corporate Housing","4",,"2022","M","2022-05-31T00:00:00.000","0","0","0","0","0"
"Fairfield Inn & Suites - Germantown","4",,"2022","M","2022-05-31T00:00:00.000","207564.26","14529.49","0","0","14529.49"
"AIL Hospitality LLC dba Radisson Hotel","4",,"2022","M","2022-05-31T00:00:00.000","165437.43","11580.62","0","0","11580.62"
"Courtyard by Marriott Gaithersburg Washingtonian Center #311DQ","4",,"2022","M","2022-05-31T00:00:00.000","548565.43","38399.58","0","0","38399.58"
"American Inn Bethesda","4",,"2022","M","2022-05-31T00:00:00.000","114171.3","7991.99","0","0","7991.99"
"Holiday Inn Express Germantown","4",,"2022","M","2022-05-31T00:00:00.000","314805","22036.35","0","0","22036.35"
"Marriott Bethesda Downtown #33816","4",,"2022","M","2022-05-31T00:00:00.000","955644.14","66895.08","0","0","66895.08"
"GAI Enterprises, LLC. DBA - Motel 6","4",,"2022","M","2022-05-31T00:00:00.000","181470.87","12702.96","0","0","12702.96"
"EXTENDED STAY AMERICA #9662","4",,"2022","M","2022-05-31T00:00:00.000","114520.49","8016.43","0","0","8016.43"
"Gaithersburg Marriott Washingtonian Center #337K6","4",,"2022","M","2022-05-31T00:00:00.000","698875","48921.25","0","0","48921.25"
"Churchill Corporate Services Inc","4",,"2022","M","2022-05-31T00:00:00.000","13320","932.4","0","0","932.4"
"Courtyard by Marriott Rockville #311D1","4",,"2022","M","2022-05-31T00:00:00.000","285238","19966.66","0","0","19966.66"
"HomeAway.com, Inc.","4",,"2022","M","2022-05-31T00:00:00.000","103195.42","7223.67","0","0","7223.67"
"AIL Hospitality LLC dba Sleep Inn Hotel","4",,"2022","M","2022-05-31T00:00:00.000","125687.29","8798.11","0","0","8798.11"
"Silver Hospitality Inc","4",,"2022","M","2022-05-31T00:00:00.000","163819.05","11467.33","0","0","11467.33"
"Priceline.com LLC","4",,"2022","M","2022-05-31T00:00:00.000","67641.81","4734.92","0","0","4734.92"
"SpringHill Suites by Marriott Gaithersburg #196A3","4",,"2022","M","2022-05-31T00:00:00.000","259960.71","18197.24","0","0","18197.24"
"Global Serviced Apartments LLC","4",,"2022","M","2022-05-31T00:00:00.000","28077","1965.39","0","0","1965.39"
"Aramark Sports & Entertainment Services, LLC","4",,"2022","M","2022-05-31T00:00:00.000","135583","9490.81","0","0","9490.81"
"RGALTD T/A Comfort Inn","4",,"2022","M","2022-05-31T00:00:00.000","233688.29","16358.18","0","0","16358.18"
"The Bethesdan Hotel","4",,"2022","M","2022-05-31T00:00:00.000","568714.34","39810","0","0","39810"
"Hampshire Lodging Inc","4",,"2022","M","2022-05-31T00:00:00.000","244560.79","17119.25","0","0","17119.25"
"EXTENDED STAY AMERICA #9663","4",,"2022","M","2022-05-31T00:00:00.000","111830.45","7828.13","0","0","7828.13"
"TownePlace Suites at Gaithersburg","4",,"2022","M","2022-05-31T00:00:00.000","134179.04","9392.53","0","0","9392.53"
"EXTENDED STAY AMERICA #2504","4",,"2022","M","2022-05-31T00:00:00.000","68666.73","4806.67","0","0","4806.67"
"Bethesda North Marriott Hotel & Conference Center #337V9","4",,"2022","M","2022-05-31T00:00:00.000","1233446.29","86341.24","0","0","86341.24"
"Chevy Chase Club","4",,"2022","M","2022-05-31T00:00:00.000","79395","5557.65","0","0","5557.65"
"Gaithersburg Operator, LLC","4",,"2022","M","2022-05-31T00:00:00.000","624921.29","43744.49","0","0","43744.49"
"Residence Inn by Marriott Bethesda Downtown #57136","4",,"2022","M","2022-05-31T00:00:00.000","551560.86","38609.26","0","0","38609.26"
"MAA","4",,"2022","M","2022-05-31T00:00:00.000","0","0","0","0","0"
"Tusculum Farm Enterprises, LLC","3",,"2022","M","2022-04-30T00:00:00.000","11131.74","779.22","0","0","779.22"
"The Bethesdan Hotel","3",,"2022","M","2022-04-30T00:00:00.000","590118.92","41308.32","413.08","2065.42","43786.82"
"Silver Hospitality Inc","3",,"2022","M","2022-04-30T00:00:00.000","139260.97","9748.26","0","0","9748.26"
"Gaithersburg Marriott Washingtonian Center #337K6","3",,"2022","M","2022-04-30T00:00:00.000","760867.14","53260.69","0","0","53260.69"
"AIL Hospitality LLC dba Sleep Inn Hotel","3",,"2022","M","2022-04-30T00:00:00.000","92547.5","6478.32","0","0","6478.32"
"SpringHill Suites by Marriott Gaithersburg #196A3","3",,"2022","M","2022-04-30T00:00:00.000","199589.14","13971.23","0","0","13971.23"
"TripAdvisor LLC","3",,"2022","M","2022-04-30T00:00:00.000","0","0","0","0","0"
"Sheraton Silver Spring Hotel","3",,"2022","M","2022-04-30T00:00:00.000","0","0","0","0","0"
"Marriott Bethesda Downtown #33816","3",,"2022","M","2022-04-30T00:00:00.000","675175","47262.25","0","0","47262.25"
"Fairfield Inn & Suites - Germantown","3",,"2022","M","2022-04-30T00:00:00.000","193741.68","13561.91","0","0","13561.91"
"LCOF Silver Spring Operating, LLC","3",,"2022","M","2022-04-30T00:00:00.000","378882.37","26521.76","0","0","26521.76"
"Gaithersburg Operator, LLC","3",,"2022","M","2022-04-30T00:00:00.000","467389.6","32717.27","0","0","32717.27"
"Priceline.com LLC","3",,"2022","M","2022-04-30T00:00:00.000","53525.14","3746.75","0","0","3746.75"
"ELSS LLC","3",,"2022","M","2022-04-30T00:00:00.000","214896.57","15042.75","0","0","15042.75"
"Maryland National Capital Park & Planning Commission","3",,"2022","M","2022-04-30T00:00:00.000","10905","763.35","7.63","38.17","809.15"
"American Inn Bethesda","3",,"2022","M","2022-04-30T00:00:00.000","87951.65","6156.61","0","0","6156.61"
"Courtyard by Marriott Gaithersburg Washingtonian Center #311DQ","3",,"2022","M","2022-04-30T00:00:00.000","465487.71","32584.13","0","0","32584.13"
"BEST WESTERN PLUS ROCKVILLE","3",,"2022","M","2022-04-30T00:00:00.000","150370","10525.9","0","0","10525.9"
"Sage Client 227 LLC","3",,"2022","M","2022-04-30T00:00:00.000","415544.53","29088.11","0","0","29088.11"
"Bedford Court","3",,"2022","M","2022-04-30T00:00:00.000","100","7","0","0","7"
"Hilton Garden Inn Silver Spring","3",,"2022","M","2022-04-30T00:00:00.000","311050.22","21773.51","0","0","21773.51"
"Courtyard by Marriott - Silver Spring Downtown","3",,"2022","M","2022-04-30T00:00:00.000","489865.58","34290.59","0","0","34290.59"
"Holiday Inn Express Germantown","3",,"2022","M","2022-04-30T00:00:00.000","305224.96","21365.74","0","0","21365.74"
"EXTENDED STAY AMERICA #9663","3",,"2022","M","2022-04-30T00:00:00.000","83952.59","5876.68","0","0","5876.68"
"Residence Inn by Marriott Silver Spring #57188","3",,"2022","M","2022-04-30T00:00:00.000","237600.29","16632.02","0","0","16632.02"
"Cambria Hotel Rockville","3",,"2022","M","2022-04-30T00:00:00.000","248827.41","17417.91","0","0","17417.91"
"Hampshire Lodging Inc","3",,"2022","M","2022-04-30T00:00:00.000","200470.72","14032.95","0","0","14032.95"
"Rocket Travel Inc.","3",,"2022","M","2022-04-30T00:00:00.000","11277.5","789.42","0","0","789.42"
"Global Serviced Apartments LLC","3",,"2022","M","2022-04-30T00:00:00.000","53170.85","3721.95","0","0","3721.95"
"EXTENDED STAY AMERICA #2529","3",,"2022","M","2022-04-30T00:00:00.000","81069.08","5674.83","0","0","5674.83"
"Hampton Inn & Suites","3",,"2022","M","2022-04-30T00:00:00.000","275127.13","19258.89","0","0","19258.89"
"HomeAway.com, Inc.","3",,"2022","M","2022-04-30T00:00:00.000","61684.82","4317.93","0","0","4317.93"
"Canopy by Hilton-Washington DC-North Bethesda","3",,"2022","M","2022-04-30T00:00:00.000","527709","36939.63","0","0","36939.63"
"EXTENDED STAY AMERICA #9662","3",,"2022","M","2022-04-30T00:00:00.000","96563.98","6759.47","0","0","6759.47"
"Rockville Hospitality, LLC","3",,"2022","M","2022-04-30T00:00:00.000","275127.27","19258.9","0","0","19258.9"
"Congressional Country Club","3",,"2022","M","2022-04-30T00:00:00.000","34410","2408.7","0","0","2408.7"
"Bethesda Marriott #33728","3",,"2022","M","2022-04-30T00:00:00.000","768408.86","53788.62","0","0","53788.62"
"Bethesda North Marriott Hotel & Conference Center #337V9","3",,"2022","M","2022-04-30T00:00:00.000","1442932.14","101005.24","0","0","101005.24"
"Chevy Chase Club","3",,"2022","M","2022-04-30T00:00:00.000","55575","3890.25","0","0","3890.25"
"MAA","3",,"2022","M","2022-04-30T00:00:00.000","0","0","0","0","0"
"TMG II BETHESDA HOTEL OPERATING COMPANY LLC","3",,"2022","M","2022-04-30T00:00:00.000","1170832.71","81958.28","0","0","81958.28"
"AIL Hospitality LLC dba Radisson Hotel","3",,"2022","M","2022-04-30T00:00:00.000","125170.96","8761.96","0","0","8761.96"
"Courtyard by Marriott Silver Spring #311F1","3",,"2022","M","2022-04-30T00:00:00.000","297077.71","20795.43","0","0","20795.43"
"BW RRI III","3",,"2022","M","2022-04-30T00:00:00.000","259392.02","18157.44","0","0","18157.44"
"T-R 1775 Rockville Owner LLC dba Rockville Even Hotel","3",,"2022","M","2022-04-30T00:00:00.000","248596.22","17401.73","0","0","17401.73"
"TownePlace Suites at Gaithersburg","3",,"2022","M","2022-04-30T00:00:00.000","120141.28","8409.88","0","0","8409.88"
"Airbnb Inc","3",,"2022","M","2022-04-30T00:00:00.000","1692718.23","118490.27","0","0","118490.27"
"RGALTD T/A Comfort Inn","3",,"2022","M","2022-04-30T00:00:00.000","200179.86","14012.59","0","0","14012.59"
"EXTENDED STAY AMERICA #2528","3",,"2022","M","2022-04-30T00:00:00.000","75598.91","5291.92","0","0","5291.92"
"Holiday Inn Gaithersburg","3",,"2022","M","2022-04-30T00:00:00.000","0","0","0","0","0"
"A-TBC Bethesda Owner, LLC dba Doubletree Bethesda Hotel","3",,"2022","M","2022-04-30T00:00:00.000","0","0","0","0","0"
"Churchill Corporate Services Inc","3",,"2022","M","2022-04-30T00:00:00.000","1925","134.75","0","0","134.75"
"Doubletree Hotel","3",,"2022","M","2022-04-30T00:00:00.000","544434.11","38110.38","0","0","38110.38"
"EXTENDED STAY AMERICA #2504","3",,"2022","M","2022-04-30T00:00:00.000","52399.21","3667.94","0","0","3667.94"
"DHM Rockville LLC","3",,"2022","M","2022-04-30T00:00:00.000","412908.13","28903.56","0","0","28903.56"
"Courtyard by Marriott Rockville #311D1","3",,"2022","M","2022-04-30T00:00:00.000","244018.57","17081.29","0","0","17081.29"
"Aramark Sports & Entertainment Services, LLC","3",,"2022","M","2022-04-30T00:00:00.000","90366.14","6325.62","0","0","6325.62"
"Bethesda Hotel Associates LLC","3",,"2022","M","2022-04-30T00:00:00.000","476673.73","33367.16","0","0","33367.16"
"GAI Enterprises, LLC. DBA - Motel 6","3",,"2022","M","2022-04-30T00:00:00.000","165255.14","11567.85","0","0","11567.85"
"Hotel Tonight, LLC","3",,"2022","M","2022-04-30T00:00:00.000","12669.71","886.87","0","0","886.87"
"Courtyard by Marriott Bethesda/Chevy Chase","3",,"2022","M","2022-04-30T00:00:00.000","515347.48","36074.32","0","0","36074.32"
"Residence Inn by Marriott Bethesda Downtown #57136","3",,"2022","M","2022-04-30T00:00:00.000","474171.71","33192.01","0","0","33192.01"
"Bethesda Hotel Associates LLC","2",,"2022","M","2022-03-31T00:00:00.000","271166.15","18981.63","0","0","18981.63"
"Global Serviced Apartments LLC","2",,"2022","M","2022-03-31T00:00:00.000","37023.31","2591.63","0","0","2591.63"
"Gaithersburg Operator, LLC","2",,"2022","M","2022-03-31T00:00:00.000","294074.89","20585.24","0","0","20585.24"
"Cambria Hotel Rockville","2",,"2022","M","2022-03-31T00:00:00.000","177279.39","12409.55","0","0","12409.55"
"EXTENDED STAY AMERICA #2504","2",,"2022","M","2022-03-31T00:00:00.000","29087.55","2036.12","0","0","2036.12"
"Gaithersburg Marriott Washingtonian Center #337K6","2",,"2022","M","2022-03-31T00:00:00.000","424796.57","29735.75","0","0","29735.75"
"Holiday Inn Gaithersburg","2",,"2022","M","2022-03-31T00:00:00.000","0","0","0","0","0"
"Residence Inn by Marriott Bethesda Downtown #57136","2",,"2022","M","2022-03-31T00:00:00.000","277677.43","19437.42","0","0","19437.42"
"EXTENDED STAY AMERICA #9663","2",,"2022","M","2022-03-31T00:00:00.000","45721.49","3200.5","0","0","3200.5"
"Sheraton Silver Spring Hotel","2",,"2022","M","2022-03-31T00:00:00.000","0","0","0","0","0"
"Hampshire Lodging Inc","2",,"2022","M","2022-03-31T00:00:00.000","180968.27","12667.77","0","0","12667.77"
"MAA","2",,"2022","M","2022-03-31T00:00:00.000","0","0","0","0","0"
"Bedford Court","2",,"2022","M","2022-03-31T00:00:00.000","600","42","0","0","42"
"American Inn Bethesda","2",,"2022","M","2022-03-31T00:00:00.000","68703.78","4809.26","0","0","4809.26"
"Silver Hospitality Inc","2",,"2022","M","2022-03-31T00:00:00.000","106068.81","7424.81","0","0","7424.81"
"BEST WESTERN PLUS ROCKVILLE","2",,"2022","M","2022-03-31T00:00:00.000","108101.44","7567.1","0","0","7567.1"
"Churchill Corporate Services Inc","2",,"2022","M","2022-03-31T00:00:00.000","0","0","0","0","0"
"Hampton Inn & Suites","2",,"2022","M","2022-03-31T00:00:00.000","143812","10066.84","0","0","10066.84"
"Canopy by Hilton-Washington DC-North Bethesda","2",,"2022","M","2022-03-31T00:00:00.000","322212","22554.84","0","0","22554.84"
"GAI Enterprises, LLC. DBA - Motel 6","2",,"2022","M","2022-03-31T00:00:00.000","218439.22","15290.74","0","0","15290.74"
"Congressional Country Club","2",,"2022","M","2022-03-31T00:00:00.000","14877","1041.39","0","0","1041.39"
"Rocket Travel Inc.","2",,"2022","M","2022-03-31T00:00:00.000","3294.57","230.61","0","0","230.61"
"A-TBC Bethesda Owner, LLC dba Doubletree Bethesda Hotel","2",,"2022","M","2022-03-31T00:00:00.000","557027.29","38991.91","0","0","38991.91"
"Doubletree Hotel","2",,"2022","M","2022-03-31T00:00:00.000","259653.03","18175.71","0","0","18175.71"
"Courtyard by Marriott Gaithersburg Washingtonian Center #311DQ","2",,"2022","M","2022-03-31T00:00:00.000","341401.29","23898.09","0","0","23898.09"
"TMG II BETHESDA HOTEL OPERATING COMPANY LLC","2",,"2022","M","2022-03-31T00:00:00.000","1032006.43","72240.45","0","0","72240.45"
"Chevy Chase Club","2",,"2022","M","2022-03-31T00:00:00.000","24690","1728.3","0","0","1728.3"
"SpringHill Suites by Marriott Gaithersburg #196A3","2",,"2022","M","2022-03-31T00:00:00.000","168970.71","11827.94","0","0","11827.94"
"Courtyard by Marriott Rockville #311D1","2",,"2022","M","2022-03-31T00:00:00.000","178296.14","12480.72","0","0","12480.72"
"AIL Hospitality LLC dba Radisson Hotel","2",,"2022","M","2022-03-31T00:00:00.000","87236.03","6106.52","0","0","6106.52"
"Courtyard by Marriott Bethesda/Chevy Chase","2",,"2022","M","2022-03-31T00:00:00.000","319479.76","22363.58","0","0","22363.58"
"EXTENDED STAY AMERICA #9662","2",,"2022","M","2022-03-31T00:00:00.000","111058.48","7774.09","0","0","7774.09"
"Rockville Hospitality, LLC","2",,"2022","M","2022-03-31T00:00:00.000","176768.75","12373.81","0","0","12373.81"
"Holiday Inn Express Germantown","2",,"2022","M","2022-03-31T00:00:00.000","239430.32","16760.12","0","0","16760.12"
"Residence Inn by Marriott Silver Spring #57188","2",,"2022","M","2022-03-31T00:00:00.000","258264.14","18078.48","0","0","18078.48"
"Aramark Sports & Entertainment Services, LLC","2",,"2022","M","2022-03-31T00:00:00.000","70639","4944.73","0","0","4944.73"
"Tusculum Farm Enterprises, LLC","2",,"2022","M","2022-03-31T00:00:00.000","10654.4","745.8","0","0","745.8"
"RGALTD T/A Comfort Inn","2",,"2022","M","2022-03-31T00:00:00.000","128095.57","8966.68","0","0","8966.68"
